county,office,district,candidate,party,precinct,precinct_name,early_voting,election_day,votes
Sterling,Governor,,"Cedric Wayne Davis, Sr.",DEM,3,sterling library,0,0,0
Sterling,Governor,,Grady Yarbrough,DEM,3,sterling library,0,0,0
Sterling,Governor,,Guadalupe Valdez,DEM,3,sterling library,0,0,0
Sterling,Governor,,James Jolly Clark,DEM,3,sterling library,0,0,0
Sterling,Governor,,Jeffrey Alan Payne,DEM,3,sterling library,0,1,1
Sterling,Governor,,Joseph William Mumbach,DEM,3,sterling library,0,0,0
Sterling,Governor,,Robert Andrew  White,DEM,3,sterling library,0,0,0
Sterling,Governor,,Thomas John Wakely,DEM,3,sterling library,0,0,0
Sterling,Governor,,Adrian Ocegueda,DEM,4,sterling depot,0,0,0
Sterling,Governor,,"Cedric Wayne Davis, Sr.",DEM,4,sterling depot,0,0,0
Sterling,Governor,,Grady Yarbrough,DEM,4,sterling depot,0,0,0
Sterling,Governor,,Guadalupe Valdez,DEM,4,sterling depot,0,1,1
Sterling,Governor,,James Jolly Clark,DEM,4,sterling depot,0,0,0
Sterling,Governor,,Jeffrey Alan Payne,DEM,4,sterling depot,0,0,0
Sterling,Governor,,Joseph William Mumbach,DEM,4,sterling depot,0,0,0
Sterling,Governor,,Robert Andrew  White,DEM,4,sterling depot,0,0,0
Sterling,Governor,,Thomas John Wakely,DEM,4,sterling depot,0,0,0
Sterling,Attorney General,,Justin Adatto  Nelson,DEM,1,community center,0,4,4
Sterling,Attorney General,,Justin Adatto  Nelson,DEM,2,court house,0,1,1
Sterling,Attorney General,,Justin Adatto  Nelson,DEM,3,sterling library,0,1,1
Sterling,Attorney General,,Justin Adatto  Nelson,DEM,4,sterling depot,0,1,1
Sterling,U.S. House,11,Eric Brandon Pfalzgraf,DEM,1,community center,0,1,1
Sterling,U.S. House,11,Virginia Louise Leeder,DEM,1,community center,0,3,3
Sterling,U.S. House,11,Eric Brandon Pfalzgraf,DEM,2,court house,0,1,1
Sterling,U.S. House,11,Virginia Louise Leeder,DEM,2,court house,0,0,0
Sterling,U.S. House,11,Eric Brandon Pfalzgraf,DEM,3,sterling library,0,1,1
Sterling,U.S. House,11,Virginia Louise Leeder,DEM,3,sterling library,0,0,0
Sterling,U.S. House,11,Eric Brandon Pfalzgraf,DEM,4,sterling depot,0,1,1
Sterling,U.S. House,11,Virginia Louise Leeder,DEM,4,sterling depot,0,0,0
Sterling,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,1,community center,0,2,2
Sterling,Railroad Commissioner,,Roman James Alfred McAllen,DEM,1,community center,0,2,2
Sterling,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,2,court house,0,1,1
Sterling,Railroad Commissioner,,Roman James Alfred McAllen,DEM,2,court house,0,0,0
Sterling,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,3,sterling library,0,1,1
Sterling,Railroad Commissioner,,Roman James Alfred McAllen,DEM,3,sterling library,0,0,0
Sterling,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,4,sterling depot,0,0,0
Sterling,Railroad Commissioner,,Roman James Alfred McAllen,DEM,4,sterling depot,0,1,1
Sterling,Commissioner of Agriculture,,Jimmie Hogan,REP,1,Community Center,10,7,17
Sterling,Commissioner of Agriculture,,Sidney Miller,REP,1,Community Center,30,28,58
Sterling,Commissioner of Agriculture,,Trey Blocker,REP,1,Community Center,5,8,13
Sterling,Commissioner of Agriculture,,Jimmie Hogan,REP,2,Courthouse,7,10,17
Sterling,Commissioner of Agriculture,,Sidney Miller,REP,2,Courthouse,22,14,36
Sterling,Commissioner of Agriculture,,Trey Blocker,REP,2,Courthouse,7,3,10
Sterling,Commissioner of Agriculture,,Jimmie Hogan,REP,3,Sterling Library,11,9,20
Sterling,Commissioner of Agriculture,,Sidney Miller,REP,3,Sterling Library,31,16,47
Sterling,Commissioner of Agriculture,,Trey Blocker,REP,3,Sterling Library,12,7,19
Sterling,Commissioner of Agriculture,,Jimmie Hogan,REP,4,Sterling Depot,7,9,16
Sterling,Commissioner of Agriculture,,Sidney Miller,REP,4,Sterling Depot,23,15,38
