candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
Ryan Guillen,State Representative,31,DEM,Brooks,3,19,117,163,299
,Under Votes,,,Brooks,3,4,44,38,86
,Over Votes,,,Brooks,3,0,0,0,0
,Straight Party,,REP,Brooks,4,0,5,10,15
,Straight Party,,DEM,Brooks,4,4,13,14,31
,Straight Party,,LIB,Brooks,4,0,0,0,0
,Under Votes,,,Brooks,4,5,20,33,58
,Over Votes,,,Brooks,4,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Brooks,4,1,13,25,39
Beto O'Rourke,U.S. Senate,,DEM,Brooks,4,8,24,32,64
Neal M. Dikeman ,U.S. Senate,,LIB,Brooks,4,0,0,0,0
,Under Votes,,,Brooks,4,0,1,0,1
,Over Votes,,,Brooks,4,0,0,0,0
Tim Westley,U.S. House,15,REP,Brooks,4,0,10,21,31
Vincente Gonzalez,U.S. House,15,DEM,Brooks,4,8,24,34,66
Anthony Cristo,U.S. House,15,LIB,Brooks,4,0,0,0,0
,Under Votes,,,Brooks,4,1,4,2,7
,Over Votes,,,Brooks,4,0,0,0,0
Gregg Abbott,Governor,,REP,Brooks,4,1,15,28,44
Lupe Valdez,Governor,,DEM,Brooks,4,7,21,28,56
Mark Jay Tippetts ,Governor,,LIB,Brooks,4,0,0,0,0
,Under Votes,,,Brooks,4,1,2,1,4
,Over Votes,,,Brooks,4,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Brooks,4,0,11,25,36
Mike Collier,Lieutenant Governor,,DEM,Brooks,4,8,25,30,63
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Brooks,4,0,0,0,0
,Under Votes,,,Brooks,4,1,2,2,5
,Over Votes,,,Brooks,4,0,0,0,0
Ken Paxton ,Attorney General,,REP,Brooks,4,0,13,23,36
Justin Nelson,Attorney General,,DEM,Brooks,4,8,22,31,61
Michael Ray Harris,Attorney General,,LIB,Brooks,4,0,0,1,1
,Under Votes,,,Brooks,4,1,3,2,6
,Over Votes,,,Brooks,4,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Brooks,4,0,12,24,36
Joi Chevalier ,Comptroller of Public Accounts,,DEM,Brooks,4,8,23,29,60
Ben Sanders,Comptroller of Public Accounts,,LIB,Brooks,4,0,0,1,1
,Under Votes,,,Brooks,4,1,3,3,7
,Over Votes,,,Brooks,4,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Brooks,4,0,11,23,34
Miguel Suazo,Commissioner of the General Land Office,,DEM,Brooks,4,8,23,31,62
Matt Pina,Commissioner of the General Land Office,,LIB,Brooks,4,0,1,2,3
,Under Votes,,,Brooks,4,1,3,1,5
,Over Votes,,,Brooks,4,0,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Brooks,4,0,11,25,36
Roman McAllen,Railroad Commissioner,,DEM,Brooks,4,8,23,28,59
Mike Wright ,Railroad Commissioner,,LIB,Brooks,4,0,1,2,3
,Under Votes,,,Brooks,4,1,3,2,6
,Over Votes,,,Brooks,4,0,0,0,0
Ryan Guillen,State Representative,31,DEM,Brooks,4,8,26,36,70
,Under Votes,,,Brooks,4,1,12,21,34
,Over Votes,,,Brooks,4,0,0,0,0
,Straight Party,,REP,Brooks,5,3,4,7,14
,Straight Party,,DEM,Brooks,5,2,4,11,17
,Straight Party,,LIB,Brooks,5,0,0,1,1
,Under Votes,,,Brooks,5,1,7,5,13
,Over Votes,,,Brooks,5,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Brooks,5,3,10,11,24
Beto O'Rourke,U.S. Senate,,DEM,Brooks,5,3,5,12,20
Neal M. Dikeman ,U.S. Senate,,LIB,Brooks,5,0,0,0,0
,Under Votes,,,Brooks,5,0,0,1,1
,Over Votes,,,Brooks,5,0,0,0,0
Tim Westley,U.S. House,15,REP,Brooks,5,3,4,7,14
Vincente Gonzalez,U.S. House,15,DEM,Brooks,5,3,11,16,30
Anthony Cristo,U.S. House,15,LIB,Brooks,5,0,0,0,0
,Under Votes,,,Brooks,5,0,0,1,1
,Over Votes,,,Brooks,5,0,0,0,0
Gregg Abbott,Governor,,REP,Brooks,5,3,9,13,25
Lupe Valdez,Governor,,DEM,Brooks,5,3,6,10,19
Mark Jay Tippetts ,Governor,,LIB,Brooks,5,0,0,0,0
,Under Votes,,,Brooks,5,0,0,1,1
,Over Votes,,,Brooks,5,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Brooks,5,3,8,9,20
Mike Collier,Lieutenant Governor,,DEM,Brooks,5,3,7,14,24
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Brooks,5,0,0,0,0
,Under Votes,,,Brooks,5,0,0,1,1
,Over Votes,,,Brooks,5,0,0,0,0
Ken Paxton ,Attorney General,,REP,Brooks,5,3,8,8,19
Justin Nelson,Attorney General,,DEM,Brooks,5,3,7,15,25
Michael Ray Harris,Attorney General,,LIB,Brooks,5,0,0,0,0
,Under Votes,,,Brooks,5,0,0,1,1
,Over Votes,,,Brooks,5,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Brooks,5,3,8,8,19
Joi Chevalier ,Comptroller of Public Accounts,,DEM,Brooks,5,3,7,14,24
Ben Sanders,Comptroller of Public Accounts,,LIB,Brooks,5,0,0,1,1
,Under Votes,,,Brooks,5,0,0,1,1
,Over Votes,,,Brooks,5,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Brooks,5,3,8,8,19
Miguel Suazo,Commissioner of the General Land Office,,DEM,Brooks,5,3,7,14,24
Matt Pina,Commissioner of the General Land Office,,LIB,Brooks,5,0,0,1,1
,Under Votes,,,Brooks,5,0,0,1,1
,Over Votes,,,Brooks,5,0,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Brooks,5,3,7,8,18
Roman McAllen,Railroad Commissioner,,DEM,Brooks,5,3,8,15,26
Mike Wright ,Railroad Commissioner,,LIB,Brooks,5,0,0,0,0
,Under Votes,,,Brooks,5,0,0,1,1
,Over Votes,,,Brooks,5,0,0,0,0
Ryan Guillen,State Representative,31,DEM,Brooks,5,3,10,19,32
,Under Votes,,,Brooks,5,3,5,5,13
,Over Votes,,,Brooks,5,0,0,0,0
,Straight Party,,REP,Brooks,6,0,14,10,24
,Straight Party,,DEM,Brooks,6,15,71,81,167
,Straight Party,,LIB,Brooks,6,0,0,2,2
,Under Votes,,,Brooks,6,18,85,78,181
,Over Votes,,,Brooks,6,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Brooks,6,3,34,33,70
Beto O'Rourke,U.S. Senate,,DEM,Brooks,6,29,132,129,290
Neal M. Dikeman ,U.S. Senate,,LIB,Brooks,6,0,0,3,3
,Under Votes,,,Brooks,6,1,3,6,10
,Over Votes,,,Brooks,6,0,1,0,1
Tim Westley,U.S. House,15,REP,Brooks,6,2,24,17,43
Vincente Gonzalez,U.S. House,15,DEM,Brooks,6,29,136,142,307
Anthony Cristo,U.S. House,15,LIB,Brooks,6,0,2,3,5
,Under Votes,,,Brooks,6,2,8,9,19
,Over Votes,,,Brooks,6,0,0,0,0
Gregg Abbott,Governor,,REP,Brooks,6,8,47,49,104
Lupe Valdez,Governor,,DEM,Brooks,6,24,116,112,252
Mark Jay Tippetts ,Governor,,LIB,Brooks,6,0,0,2,2
,Under Votes,,,Brooks,6,1,7,8,16
,Over Votes,,,Brooks,6,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Brooks,6,5,29,27,61
Mike Collier,Lieutenant Governor,,DEM,Brooks,6,26,122,121,269
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Brooks,6,0,9,4,13
,Under Votes,,,Brooks,6,2,10,19,31
,Over Votes,,,Brooks,6,0,0,0,0
Ken Paxton ,Attorney General,,REP,Brooks,6,2,34,27,63
Justin Nelson,Attorney General,,DEM,Brooks,6,28,123,122,273
Michael Ray Harris,Attorney General,,LIB,Brooks,6,0,4,5,9
,Under Votes,,,Brooks,6,3,9,17,29
,Over Votes,,,Brooks,6,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Brooks,6,2,28,25,55
Joi Chevalier ,Comptroller of Public Accounts,,DEM,Brooks,6,28,124,121,273
Ben Sanders,Comptroller of Public Accounts,,LIB,Brooks,6,0,6,6,12
,Under Votes,,,Brooks,6,3,12,19,34
,Over Votes,,,Brooks,6,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Brooks,6,4,40,33,77
Miguel Suazo,Commissioner of the General Land Office,,DEM,Brooks,6,26,116,118,260
Matt Pina,Commissioner of the General Land Office,,LIB,Brooks,6,0,4,8,12
,Under Votes,,,Brooks,6,2,10,12,24
,Over Votes,,,Brooks,6,1,0,0,1
Christi Craddick,Railroad Commissioner,,REP,Brooks,6,3,29,24,56
Roman McAllen,Railroad Commissioner,,DEM,Brooks,6,28,126,119,273
Mike Wright ,Railroad Commissioner,,LIB,Brooks,6,0,4,6,10
,Under Votes,,,Brooks,6,2,11,22,35
,Over Votes,,,Brooks,6,0,0,0,0
Ryan Guillen,State Representative,31,DEM,Brooks,6,27,146,141,314
,Under Votes,,,Brooks,6,6,24,30,60
,Over Votes,,,Brooks,6,0,0,0,0
,Straight Party,,REP,Brooks,7,0,3,10,13
,Straight Party,,DEM,Brooks,7,3,4,19,26
,Straight Party,,LIB,Brooks,7,0,0,0,0
,Under Votes,,,Brooks,7,1,11,22,34
,Over Votes,,,Brooks,7,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Brooks,7,0,8,23,31
Beto O'Rourke,U.S. Senate,,DEM,Brooks,7,4,10,28,42
Neal M. Dikeman ,U.S. Senate,,LIB,Brooks,7,0,0,0,0
,Under Votes,,,Brooks,7,0,0,0,0
,Over Votes,,,Brooks,7,0,0,0,0
Tim Westley,U.S. House,15,REP,Brooks,7,0,9,10,19
Vincente Gonzalez,U.S. House,15,DEM,Brooks,7,4,8,38,50
Anthony Cristo,U.S. House,15,LIB,Brooks,7,0,1,1,2
,Under Votes,,,Brooks,7,0,0,2,2
,Over Votes,,,Brooks,7,0,0,0,0
Gregg Abbott,Governor,,REP,Brooks,7,0,8,19,27
Lupe Valdez,Governor,,DEM,Brooks,7,4,9,30,43
Mark Jay Tippetts ,Governor,,LIB,Brooks,7,0,0,1,1
,Under Votes,,,Brooks,7,0,1,1,2
,Over Votes,,,Brooks,7,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Brooks,7,0,10,17,27
Mike Collier,Lieutenant Governor,,DEM,Brooks,7,4,7,30,41
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Brooks,7,0,0,1,1
,Under Votes,,,Brooks,7,0,1,2,3
,Over Votes,,,Brooks,7,0,0,1,1
Ken Paxton ,Attorney General,,REP,Brooks,7,0,8,16,24
Justin Nelson,Attorney General,,DEM,Brooks,7,4,9,31,44
Michael Ray Harris,Attorney General,,LIB,Brooks,7,0,0,2,2
,Under Votes,,,Brooks,7,0,1,2,3
,Over Votes,,,Brooks,7,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Brooks,7,0,10,15,25
Joi Chevalier ,Comptroller of Public Accounts,,DEM,Brooks,7,4,6,31,41
Ben Sanders,Comptroller of Public Accounts,,LIB,Brooks,7,0,1,2,3
,Under Votes,,,Brooks,7,0,1,3,4
,Over Votes,,,Brooks,7,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Brooks,7,1,10,20,31
Miguel Suazo,Commissioner of the General Land Office,,DEM,Brooks,7,3,8,29,40
Matt Pina,Commissioner of the General Land Office,,LIB,Brooks,7,0,0,0,0
,Under Votes,,,Brooks,7,0,0,2,2
,Over Votes,,,Brooks,7,0,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Brooks,7,0,8,15,23
Roman McAllen,Railroad Commissioner,,DEM,Brooks,7,4,9,32,45
Mike Wright ,Railroad Commissioner,,LIB,Brooks,7,0,0,1,1
,Under Votes,,,Brooks,7,0,1,3,4
,Over Votes,,,Brooks,7,0,0,0,0
Ryan Guillen,State Representative,31,DEM,Brooks,7,4,12,36,52
,Under Votes,,,Brooks,7,0,6,15,21
,Over Votes,,,Brooks,7,0,0,0,0
,Straight Party,,REP,Brooks,8,1,25,9,35
,Straight Party,,DEM,Brooks,8,8,75,39,122
,Straight Party,,LIB,Brooks,8,0,0,0,0
,Under Votes,,,Brooks,8,15,69,56,140
,Over Votes,,,Brooks,8,0,0,1,1
Ted Cruz,U.S. Senate,,REP,Brooks,8,4,50,30,84
Beto O'Rourke,U.S. Senate,,DEM,Brooks,8,18,115,72,205
Neal M. Dikeman ,U.S. Senate,,LIB,Brooks,8,0,0,0,0
,Under Votes,,,Brooks,8,2,4,3,9
,Over Votes,,,Brooks,8,0,0,0,0
Tim Westley,U.S. House,15,REP,Brooks,8,3,32,15,50
Vincente Gonzalez,U.S. House,15,DEM,Brooks,8,19,132,79,230
Anthony Cristo,U.S. House,15,LIB,Brooks,8,1,0,0,1
,Under Votes,,,Brooks,8,1,5,11,17
,Over Votes,,,Brooks,8,0,0,0,0
Gregg Abbott,Governor,,REP,Brooks,8,4,58,36,98
Lupe Valdez,Governor,,DEM,Brooks,8,19,106,58,183
Mark Jay Tippetts ,Governor,,LIB,Brooks,8,0,0,1,1
,Under Votes,,,Brooks,8,1,5,10,16
,Over Votes,,,Brooks,8,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Brooks,8,5,46,26,77
Mike Collier,Lieutenant Governor,,DEM,Brooks,8,17,112,62,191
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Brooks,8,0,3,3,6
,Under Votes,,,Brooks,8,2,8,14,24
,Over Votes,,,Brooks,8,0,0,0,0
Ken Paxton ,Attorney General,,REP,Brooks,8,3,39,24,66
Justin Nelson,Attorney General,,DEM,Brooks,8,19,119,65,203
Michael Ray Harris,Attorney General,,LIB,Brooks,8,1,2,1,4
,Under Votes,,,Brooks,8,1,9,15,25
,Over Votes,,,Brooks,8,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Brooks,8,5,40,24,69
Joi Chevalier ,Comptroller of Public Accounts,,DEM,Brooks,8,16,115,64,195
Ben Sanders,Comptroller of Public Accounts,,LIB,Brooks,8,1,4,1,6
,Under Votes,,,Brooks,8,2,10,16,28
,Over Votes,,,Brooks,8,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Brooks,8,7,48,32,87
Miguel Suazo,Commissioner of the General Land Office,,DEM,Brooks,8,15,113,60,188
Matt Pina,Commissioner of the General Land Office,,LIB,Brooks,8,1,0,0,1
,Under Votes,,,Brooks,8,1,8,13,22
,Over Votes,,,Brooks,8,0,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Brooks,8,5,38,21,64
Roman McAllen,Railroad Commissioner,,DEM,Brooks,8,18,117,65,200
Mike Wright ,Railroad Commissioner,,LIB,Brooks,8,0,1,4,5
,Under Votes,,,Brooks,8,1,13,15,29
,Over Votes,,,Brooks,8,0,0,0,0
Ryan Guillen,State Representative,31,DEM,Brooks,8,22,135,80,237
,Under Votes,,,Brooks,8,2,34,25,61
,Over Votes,,,Brooks,8,0,0,0,0
,Straight Party,,REP,Brooks,9,0,8,12,20
,Straight Party,,DEM,Brooks,9,8,29,37,74
,Straight Party,,LIB,Brooks,9,0,0,1,1
,Under Votes,,,Brooks,9,7,64,46,117
,Over Votes,,,Brooks,9,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Brooks,9,0,30,34,64
Beto O'Rourke,U.S. Senate,,DEM,Brooks,9,15,70,60,145
Neal M. Dikeman ,U.S. Senate,,LIB,Brooks,9,0,0,0,0
,Under Votes,,,Brooks,9,0,1,1,2
,Over Votes,,,Brooks,9,0,0,1,1
Tim Westley,U.S. House,15,REP,Brooks,9,0,22,19,41
Vincente Gonzalez,U.S. House,15,DEM,Brooks,9,14,75,69,158
Anthony Cristo,U.S. House,15,LIB,Brooks,9,0,0,0,0
,Under Votes,,,Brooks,9,1,4,7,12
,Over Votes,,,Brooks,9,0,0,1,1
Gregg Abbott,Governor,,REP,Brooks,9,5,40,43,88
Lupe Valdez,Governor,,DEM,Brooks,9,10,57,44,111
Mark Jay Tippetts ,Governor,,LIB,Brooks,9,0,0,0,0
,Under Votes,,,Brooks,9,0,4,7,11
,Over Votes,,,Brooks,9,0,0,2,2
Dan Patrick,Lieutenant Governor,,REP,Brooks,9,0,24,31,55
Mike Collier,Lieutenant Governor,,DEM,Brooks,9,14,70,56,140
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Brooks,9,0,0,1,1
,Under Votes,,,Brooks,9,1,7,7,15
,Over Votes,,,Brooks,9,0,0,1,1
Ken Paxton ,Attorney General,,REP,Brooks,9,0,28,28,56
Justin Nelson,Attorney General,,DEM,Brooks,9,14,66,58,138
Michael Ray Harris,Attorney General,,LIB,Brooks,9,0,1,0,1
,Under Votes,,,Brooks,9,1,6,9,16
,Over Votes,,,Brooks,9,0,0,1,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Brooks,9,0,25,23,48
Joi Chevalier ,Comptroller of Public Accounts,,DEM,Brooks,9,14,68,58,140
Ben Sanders,Comptroller of Public Accounts,,LIB,Brooks,9,0,0,3,3
,Under Votes,,,Brooks,9,1,8,11,20
,Over Votes,,,Brooks,9,0,0,1,1
George P. Bush,Commissioner of the General Land Office,,REP,Brooks,9,2,27,32,61
Miguel Suazo,Commissioner of the General Land Office,,DEM,Brooks,9,12,68,56,136
Matt Pina,Commissioner of the General Land Office,,LIB,Brooks,9,1,1,0,2
,Under Votes,,,Brooks,9,0,5,7,12
,Over Votes,,,Brooks,9,0,0,1,1
Christi Craddick,Railroad Commissioner,,REP,Brooks,9,1,23,25,49
Roman McAllen,Railroad Commissioner,,DEM,Brooks,9,13,71,59,143
Mike Wright ,Railroad Commissioner,,LIB,Brooks,9,1,0,1,2
,Under Votes,,,Brooks,9,0,7,10,17
,Over Votes,,,Brooks,9,0,0,1,1
Ryan Guillen,State Representative,31,DEM,Brooks,9,14,80,71,165
,Under Votes,,,Brooks,9,1,21,25,47
,Over Votes,,,Brooks,9,0,0,0,0
