candidate,office,district,party,county,precinct,early_voting,election_day,provisional,votes
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 1 Three Corners,5,17,0,22
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 1 Three Corners,4,5,0,9
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 1 Three Corners,2,0,0,2
Robert Nichols ,State Senate ,3,REP,Jasper,Box 1 Three Corners,8,17,0,25
Shirley Layton,State Senate ,3,DEM,Jasper,Box 1 Three Corners,3,5,0,8
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 1 Three Corners,0,0,0,0
James White,State Representative ,19,REP,Jasper,Box 1 Three Corners,8,17,0,25
Sherry Williams,State Representative ,19,DEM,Jasper,Box 1 Three Corners,3,5,0,8
,Registered Voters,,,Jasper,Box 2 Ebenezer,0,0,0,0
,Ballots Cast,,,Jasper,Box 2 Ebenezer,257,159,0,416
,Straight Party,,REP,Jasper,Box 2 Ebenezer,158,91,0,249
,Straight Party,,DEM,Jasper,Box 2 Ebenezer,10,3,0,13
,Straight Party,,LIB,Jasper,Box 2 Ebenezer,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,Box 2 Ebenezer,235,147,0,382
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 2 Ebenezer,22,9,0,31
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 2 Ebenezer,0,0,0,0
Brian Babin,U.S. House,36,REP,Jasper,Box 2 Ebenezer,235,149,0,384
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 2 Ebenezer,22,9,0,31
Greg Abbott,Governor ,,REP,Jasper,Box 2 Ebenezer,235,151,0,386
Lupe Valdez,Governor ,,DEM,Jasper,Box 2 Ebenezer,22,7,0,29
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 2 Ebenezer,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 2 Ebenezer,230,147,0,377
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 2 Ebenezer,24,10,0,34
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 2 Ebenezer,2,1,0,3
Ken Paxton,Attorney General ,,REP,Jasper,Box 2 Ebenezer,234,151,0,385
Justin Nelson,Attorney General ,,DEM,Jasper,Box 2 Ebenezer,21,7,0,28
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 2 Ebenezer,2,0,0,2
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 2 Ebenezer,232,147,0,379
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 2 Ebenezer,21,9,0,30
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 2 Ebenezer,4,1,0,5
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 2 Ebenezer,227,144,0,371
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 2 Ebenezer,24,9,0,33
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 2 Ebenezer,6,4,0,10
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 2 Ebenezer,231,148,0,379
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 2 Ebenezer,20,8,0,28
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 2 Ebenezer,6,1,0,7
Robert Nichols ,State Senate ,3,REP,Jasper,Box 2 Ebenezer,233,145,0,378
Shirley Layton,State Senate ,3,DEM,Jasper,Box 2 Ebenezer,22,11,0,33
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 2 Ebenezer,2,1,0,3
James White,State Representative ,19,REP,Jasper,Box 2 Ebenezer,235,147,0,382
Sherry Williams,State Representative ,19,DEM,Jasper,Box 2 Ebenezer,22,10,0,32
,Registered Voters,,,Jasper,Box 3 Browndell,0,0,0,0
,Ballots Cast,,,Jasper,Box 3 Browndell,371,200,4,575
,Straight Party,,REP,Jasper,Box 3 Browndell,218,100,0,318
,Straight Party,,DEM,Jasper,Box 3 Browndell,22,24,0,46
,Straight Party,,LIB,Jasper,Box 3 Browndell,2,0,0,2
Ted Cruz,U.S. Senate,,REP,Jasper,Box 3 Browndell,312,162,2,476
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 3 Browndell,57,35,2,94
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 3 Browndell,1,0,0,1
Brian Babin,U.S. House,36,REP,Jasper,Box 3 Browndell,315,165,2,482
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 3 Browndell,55,32,2,89
Greg Abbott,Governor ,,REP,Jasper,Box 3 Browndell,317,164,2,483
Lupe Valdez,Governor ,,DEM,Jasper,Box 3 Browndell,49,31,1,81
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 3 Browndell,4,1,1,6
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 3 Browndell,310,160,2,472
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 3 Browndell,52,35,2,89
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 3 Browndell,9,2,0,11
Ken Paxton,Attorney General ,,REP,Jasper,Box 3 Browndell,308,163,2,473
Justin Nelson,Attorney General ,,DEM,Jasper,Box 3 Browndell,58,33,2,93
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 3 Browndell,4,2,0,6
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 3 Browndell,312,162,2,476
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 3 Browndell,52,31,1,84
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 3 Browndell,6,3,1,10
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 3 Browndell,310,158,2,470
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 3 Browndell,51,36,1,88
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 3 Browndell,10,4,1,15
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 3 Browndell,314,160,2,476
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 3 Browndell,51,32,1,84
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 3 Browndell,6,3,1,10
Robert Nichols ,State Senate ,3,REP,Jasper,Box 3 Browndell,313,165,2,480
Shirley Layton,State Senate ,3,DEM,Jasper,Box 3 Browndell,53,31,1,85
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 3 Browndell,2,1,1,4
James White,State Representative ,19,REP,Jasper,Box 3 Browndell,313,163,2,478
Sherry Williams,State Representative ,19,DEM,Jasper,Box 3 Browndell,55,33,2,90
,Registered Voters,,,Jasper,Box 4 Rayburn,0,0,0,0
,Ballots Cast,,,Jasper,Box 4 Rayburn,334,91,0,425
,Straight Party,,REP,Jasper,Box 4 Rayburn,178,58,0,236
,Straight Party,,DEM,Jasper,Box 4 Rayburn,21,4,0,25
,Straight Party,,LIB,Jasper,Box 4 Rayburn,3,1,0,4
Ted Cruz,U.S. Senate,,REP,Jasper,Box 4 Rayburn,284,81,0,365
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 4 Rayburn,49,8,0,57
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 4 Rayburn,0,2,0,2
Brian Babin,U.S. House,36,REP,Jasper,Box 4 Rayburn,282,83,0,365
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 4 Rayburn,50,8,0,58
Greg Abbott,Governor ,,REP,Jasper,Box 4 Rayburn,288,84,0,372
Lupe Valdez,Governor ,,DEM,Jasper,Box 4 Rayburn,44,7,0,51
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 4 Rayburn,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 4 Rayburn,281,78,0,359
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 4 Rayburn,49,10,0,59
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 4 Rayburn,1,2,0,3
Ken Paxton,Attorney General ,,REP,Jasper,Box 4 Rayburn,278,79,0,357
Justin Nelson,Attorney General ,,DEM,Jasper,Box 4 Rayburn,50,10,0,60
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 4 Rayburn,4,1,0,5
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 4 Rayburn,281,80,0,361
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 4 Rayburn,43,7,0,50
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 4 Rayburn,3,1,0,4
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 4 Rayburn,280,84,0,364
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 4 Rayburn,43,6,0,49
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 4 Rayburn,5,1,0,6
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 4 Rayburn,281,80,0,361
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 4 Rayburn,43,7,0,50
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 4 Rayburn,4,2,0,6
Robert Nichols ,State Senate ,3,REP,Jasper,Box 4 Rayburn,282,83,0,365
Shirley Layton,State Senate ,3,DEM,Jasper,Box 4 Rayburn,46,7,0,53
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 4 Rayburn,1,0,0,1
James White,State Representative ,19,REP,Jasper,Box 4 Rayburn,290,83,0,373
Sherry Williams,State Representative ,19,DEM,Jasper,Box 4 Rayburn,41,7,0,48
,Registered Voters,,,Jasper,Box 5 Harrisburg,0,0,0,0
,Ballots Cast,,,Jasper,Box 5 Harrisburg,47,46,4,97
,Straight Party,,REP,Jasper,Box 5 Harrisburg,24,24,0,48
,Straight Party,,DEM,Jasper,Box 5 Harrisburg,6,2,0,8
,Straight Party,,LIB,Jasper,Box 5 Harrisburg,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,Box 5 Harrisburg,37,44,2,83
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 5 Harrisburg,10,1,2,13
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 5 Harrisburg,0,0,0,0
Brian Babin,U.S. House,36,REP,Jasper,Box 5 Harrisburg,38,42,2,82
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 5 Harrisburg,9,3,2,14
Greg Abbott,Governor ,,REP,Jasper,Box 5 Harrisburg,37,43,2,82
Lupe Valdez,Governor ,,DEM,Jasper,Box 5 Harrisburg,9,1,2,12
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 5 Harrisburg,1,1,0,2
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 5 Harrisburg,37,41,2,80
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 5 Harrisburg,10,3,2,15
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 5 Harrisburg,0,2,0,2
Ken Paxton,Attorney General ,,REP,Jasper,Box 5 Harrisburg,35,43,2,80
Justin Nelson,Attorney General ,,DEM,Jasper,Box 5 Harrisburg,10,1,2,13
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 5 Harrisburg,2,1,0,3
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 5 Harrisburg,35,41,2,78
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 5 Harrisburg,10,1,1,12
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 5 Harrisburg,1,2,1,4
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 5 Harrisburg,32,43,2,77
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 5 Harrisburg,11,1,2,14
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 5 Harrisburg,4,2,0,6
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 5 Harrisburg,35,44,2,81
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 5 Harrisburg,10,1,1,12
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 5 Harrisburg,2,0,1,3
Robert Nichols ,State Senate ,3,REP,Jasper,Box 5 Harrisburg,36,41,2,79
Shirley Layton,State Senate ,3,DEM,Jasper,Box 5 Harrisburg,10,2,2,14
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 5 Harrisburg,0,1,0,1
James White,State Representative ,19,REP,Jasper,Box 5 Harrisburg,39,44,2,85
Sherry Williams,State Representative ,19,DEM,Jasper,Box 5 Harrisburg,8,2,2,12
,Registered Voters,,,Jasper,Box 6 Jasper,0,0,0,0
,Ballots Cast,,,Jasper,Box 6 Jasper,442,150,4,596
,Straight Party,,REP,Jasper,Box 6 Jasper,177,46,0,223
,Straight Party,,DEM,Jasper,Box 6 Jasper,79,41,0,120
,Straight Party,,LIB,Jasper,Box 6 Jasper,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,Box 6 Jasper,305,97,2,404
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 6 Jasper,130,52,2,184
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 6 Jasper,3,0,0,3
Brian Babin,U.S. House,36,REP,Jasper,Box 6 Jasper,310,97,2,409
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 6 Jasper,123,52,2,177
Greg Abbott,Governor ,,REP,Jasper,Box 6 Jasper,321,97,3,421
Lupe Valdez,Governor ,,DEM,Jasper,Box 6 Jasper,116,51,1,168
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 6 Jasper,1,1,0,2
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 6 Jasper,292,89,2,383
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 6 Jasper,136,59,2,197
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 6 Jasper,2,0,0,2
Ken Paxton,Attorney General ,,REP,Jasper,Box 6 Jasper,298,95,2,395
Justin Nelson,Attorney General ,,DEM,Jasper,Box 6 Jasper,129,53,2,184
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 6 Jasper,3,1,0,4
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 6 Jasper,296,96,2,394
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 6 Jasper,123,49,2,174
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 6 Jasper,4,4,0,8
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 6 Jasper,299,94,2,395
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 6 Jasper,124,51,2,177
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 6 Jasper,8,4,0,12
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 6 Jasper,295,93,2,390
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 6 Jasper,130,52,2,184
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 6 Jasper,2,3,0,5
Robert Nichols ,State Senate ,3,REP,Jasper,Box 6 Jasper,301,94,2,397
Shirley Layton,State Senate ,3,DEM,Jasper,Box 6 Jasper,129,55,2,186
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 6 Jasper,1,0,0,1
James White,State Representative ,19,REP,Jasper,Box 6 Jasper,327,100,4,431
Sherry Williams,State Representative ,19,DEM,Jasper,Box 6 Jasper,107,50,0,157
,Registered Voters,,,Jasper,Box 7 Holly Springs,0,0,0,0
,Ballots Cast,,,Jasper,Box 7 Holly Springs,279,73,0,352
,Straight Party,,REP,Jasper,Box 7 Holly Springs,100,19,0,119
,Straight Party,,DEM,Jasper,Box 7 Holly Springs,81,25,0,106
,Straight Party,,LIB,Jasper,Box 7 Holly Springs,0,1,0,1
Ted Cruz,U.S. Senate,,REP,Jasper,Box 7 Holly Springs,167,36,0,203
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 7 Holly Springs,109,35,0,144
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 7 Holly Springs,0,1,0,1
Brian Babin,U.S. House,36,REP,Jasper,Box 7 Holly Springs,169,35,0,204
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 7 Holly Springs,105,34,0,139
Greg Abbott,Governor ,,REP,Jasper,Box 7 Holly Springs,168,38,0,206
Lupe Valdez,Governor ,,DEM,Jasper,Box 7 Holly Springs,103,33,0,136
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 7 Holly Springs,4,1,0,5
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 7 Holly Springs,162,36,0,198
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 7 Holly Springs,110,36,0,146
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 7 Holly Springs,4,0,0,4
Ken Paxton,Attorney General ,,REP,Jasper,Box 7 Holly Springs,165,34,0,199
Justin Nelson,Attorney General ,,DEM,Jasper,Box 7 Holly Springs,108,37,0,145
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 7 Holly Springs,1,0,0,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 7 Holly Springs,165,35,0,200
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 7 Holly Springs,105,36,0,141
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 7 Holly Springs,4,0,0,4
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 7 Holly Springs,167,37,0,204
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 7 Holly Springs,103,33,0,136
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 7 Holly Springs,3,1,0,4
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 7 Holly Springs,164,35,0,199
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 7 Holly Springs,106,36,0,142
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 7 Holly Springs,3,1,0,4
Robert Nichols ,State Senate ,3,REP,Jasper,Box 7 Holly Springs,167,35,0,202
Shirley Layton,State Senate ,3,DEM,Jasper,Box 7 Holly Springs,106,35,0,141
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 7 Holly Springs,2,1,0,3
James White,State Representative ,19,REP,Jasper,Box 7 Holly Springs,176,41,0,217
Sherry Williams,State Representative ,19,DEM,Jasper,Box 7 Holly Springs,99,30,0,129
,Registered Voters,,,Jasper,Box 8 West Jasper #2,0,0,0,0
,Ballots Cast,,,Jasper,Box 8 West Jasper #2,357,106,0,463
,Straight Party,,REP,Jasper,Box 8 West Jasper #2,114,35,0,149
,Straight Party,,DEM,Jasper,Box 8 West Jasper #2,78,40,0,118
,Straight Party,,LIB,Jasper,Box 8 West Jasper #2,1,0,0,1
Ted Cruz,U.S. Senate,,REP,Jasper,Box 8 West Jasper #2,202,54,0,256
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 8 West Jasper #2,154,50,0,204
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 8 West Jasper #2,0,0,0,0
Brian Babin,U.S. House,36,REP,Jasper,Box 8 West Jasper #2,207,54,0,261
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 8 West Jasper #2,147,50,0,197
Greg Abbott,Governor ,,REP,Jasper,Box 8 West Jasper #2,210,58,0,268
Lupe Valdez,Governor ,,DEM,Jasper,Box 8 West Jasper #2,144,44,0,188
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 8 West Jasper #2,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 8 West Jasper #2,193,50,0,243
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 8 West Jasper #2,154,52,0,206
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 8 West Jasper #2,4,1,0,5
Ken Paxton,Attorney General ,,REP,Jasper,Box 8 West Jasper #2,196,51,0,247
Justin Nelson,Attorney General ,,DEM,Jasper,Box 8 West Jasper #2,149,50,0,199
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 8 West Jasper #2,4,1,0,5
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 8 West Jasper #2,195,50,0,245
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 8 West Jasper #2,147,49,0,196
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 8 West Jasper #2,7,1,0,8
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 8 West Jasper #2,201,50,0,251
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 8 West Jasper #2,146,47,0,193
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 8 West Jasper #2,5,2,0,7
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 8 West Jasper #2,197,50,0,247
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 8 West Jasper #2,151,50,0,201
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 8 West Jasper #2,3,1,0,4
Robert Nichols ,State Senate ,3,REP,Jasper,Box 8 West Jasper #2,200,53,0,253
Shirley Layton,State Senate ,3,DEM,Jasper,Box 8 West Jasper #2,147,49,0,196
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 8 West Jasper #2,2,0,0,2
James White,State Representative ,19,REP,Jasper,Box 8 West Jasper #2,221,62,0,283
Sherry Williams,State Representative ,19,DEM,Jasper,Box 8 West Jasper #2,128,44,0,172
,Registered Voters,,,Jasper,Box 9 Buna East,0,0,0,0
,Ballots Cast,,,Jasper,Box 9 Buna East,549,483,14,1046
,Straight Party,,REP,Jasper,Box 9 Buna East,292,270,0,562
,Straight Party,,DEM,Jasper,Box 9 Buna East,27,30,0,57
,Straight Party,,LIB,Jasper,Box 9 Buna East,1,2,0,3
Ted Cruz,U.S. Senate,,REP,Jasper,Box 9 Buna East,491,415,13,919
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 9 Buna East,51,57,1,109
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 9 Buna East,2,4,0,6
Brian Babin,U.S. House,36,REP,Jasper,Box 9 Buna East,492,419,14,925
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 9 Buna East,50,55,0,105
Greg Abbott,Governor ,,REP,Jasper,Box 9 Buna East,496,431,14,941
Lupe Valdez,Governor ,,DEM,Jasper,Box 9 Buna East,46,42,0,88
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 9 Buna East,1,4,0,5
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 9 Buna East,475,395,14,884
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 9 Buna East,61,68,0,129
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 9 Buna East,7,7,0,14
Ken Paxton,Attorney General ,,REP,Jasper,Box 9 Buna East,478,408,14,900
Justin Nelson,Attorney General ,,DEM,Jasper,Box 9 Buna East,57,58,0,115
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 9 Buna East,4,8,0,12
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 9 Buna East,478,404,12,894
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 9 Buna East,50,55,2,107
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 9 Buna East,5,11,0,16
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 9 Buna East,471,405,13,889
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 9 Buna East,46,55,1,102
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 9 Buna East,18,13,0,31
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 9 Buna East,482,400,12,894
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 9 Buna East,49,56,2,107
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 9 Buna East,7,13,0,20
Robert Nichols ,State Senate ,3,REP,Jasper,Box 9 Buna East,480,406,9,895
Shirley Layton,State Senate ,3,DEM,Jasper,Box 9 Buna East,52,58,1,111
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 9 Buna East,3,3,0,6
James White,State Representative ,19,REP,Jasper,Box 9 Buna East,488,414,10,912
Sherry Williams,State Representative ,19,DEM,Jasper,Box 9 Buna East,52,56,0,108
,Registered Voters,,,Jasper,Box 10 Call Junction,0,0,0,0
,Ballots Cast,,,Jasper,Box 10 Call Junction,432,469,8,909
,Straight Party,,REP,Jasper,Box 10 Call Junction,223,268,0,491
,Straight Party,,DEM,Jasper,Box 10 Call Junction,35,14,0,49
,Straight Party,,LIB,Jasper,Box 10 Call Junction,0,1,0,1
Ted Cruz,U.S. Senate,,REP,Jasper,Box 10 Call Junction,371,433,4,808
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 10 Call Junction,50,30,0,80
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 10 Call Junction,5,6,0,11
Brian Babin,U.S. House,36,REP,Jasper,Box 10 Call Junction,371,435,4,810
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 10 Call Junction,54,31,0,85
Greg Abbott,Governor ,,REP,Jasper,Box 10 Call Junction,375,439,4,818
Lupe Valdez,Governor ,,DEM,Jasper,Box 10 Call Junction,49,24,0,73
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 10 Call Junction,2,5,0,7
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 10 Call Junction,361,426,4,791
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 10 Call Junction,60,33,0,93
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 10 Call Junction,3,9,0,12
