county,precinct,office,district,party,candidate,votes,election_day,early_voting,,
Brewster,8,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,9,3,6,,Early
Brewster,8,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,74,39,35,,Early
Brewster,1,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,93,36,57,,Early
Brewster,1,Railroad Commissioner,,DEM,Roman James Alfred McAllen,109,45,64,,Early
Brewster,2,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,91,27,64,,Early
Brewster,2,Railroad Commissioner,,DEM,Roman James Alfred McAllen,106,48,58,,Early
Brewster,3,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,22,18,4,,Early
Brewster,3,Railroad Commissioner,,DEM,Roman James Alfred McAllen,26,23,3,,Early
Brewster,4,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,63,31,32,,Early
Brewster,4,Railroad Commissioner,,DEM,Roman James Alfred McAllen,99,47,52,,Early
Brewster,5,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,6,6,0,,Early
Brewster,5,Railroad Commissioner,,DEM,Roman James Alfred McAllen,4,2,2,,Early
Brewster,6,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,51,36,15,,Early
Brewster,6,Railroad Commissioner,,DEM,Roman James Alfred McAllen,54,36,18,,Early
Brewster,7,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,13,7,6,,Early
Brewster,7,Railroad Commissioner,,DEM,Roman James Alfred McAllen,11,9,2,,Early
Brewster,8,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,31,15,16,,Early
Brewster,8,Railroad Commissioner,,DEM,Roman James Alfred McAllen,49,25,24,,Early
Brewster,1,U.S. House,23,DEM,Angela Ann Villescaz,10,4,6,,Early
Brewster,1,U.S. House,23,DEM,Gina Maria Ortiz Jones,141,64,77,,Early
Brewster,1,U.S. House,23,DEM,Harry Jay Hulings,42,14,28,,Early
Brewster,1,U.S. House,23,DEM,Judith Ann Canales,10,3,7,,Early
Brewster,1,U.S. House,23,DEM,Ricardo Jose Trevio,20,9,11,,Early
Brewster,2,U.S. House,23,DEM,Angela Ann Villescaz,9,4,5,,Early
Brewster,2,U.S. House,23,DEM,Gina Maria Ortiz Jones,136,58,78,,Early
Brewster,2,U.S. House,23,DEM,Harry Jay Hulings,43,15,28,,Early
Brewster,2,U.S. House,23,DEM,Judith Ann Canales,12,3,9,,Early
Brewster,2,U.S. House,23,DEM,Ricardo Jose Trevio,31,10,21,,Early
Brewster,3,U.S. House,23,DEM,Angela Ann Villescaz,2,2,0,,Early
Brewster,3,U.S. House,23,DEM,Gina Maria Ortiz Jones,35,30,5,,Early
Brewster,3,U.S. House,23,DEM,Harry Jay Hulings,10,8,2,,Early
Brewster,3,U.S. House,23,DEM,Judith Ann Canales,0,0,0,,Early
Brewster,3,U.S. House,23,DEM,Ricardo Jose Trevio,12,10,2,,Early
Brewster,4,U.S. House,23,DEM,Angela Ann Villescaz,12,6,6,,Early
Brewster,4,U.S. House,23,DEM,Gina Maria Ortiz Jones,124,60,64,,Early
Brewster,4,U.S. House,23,DEM,Harry Jay Hulings,23,11,12,,Early
Brewster,4,U.S. House,23,DEM,Judith Ann Canales,12,2,10,,Early
Brewster,4,U.S. House,23,DEM,Ricardo Jose Trevio,19,11,8,,Early
Brewster,5,U.S. House,23,DEM,Angela Ann Villescaz,2,1,1,,Early
Brewster,5,U.S. House,23,DEM,Gina Maria Ortiz Jones,9,9,0,,Early
Brewster,5,U.S. House,23,DEM,Harry Jay Hulings,1,0,1,,Early
Brewster,5,U.S. House,23,DEM,Judith Ann Canales,0,0,0,,Early
Brewster,5,U.S. House,23,DEM,Ricardo Jose Trevio,4,3,1,,Early
Brewster,6,U.S. House,23,DEM,Angela Ann Villescaz,12,6,6,,Early
Brewster,6,U.S. House,23,DEM,Gina Maria Ortiz Jones,79,55,24,,Early
Brewster,6,U.S. House,23,DEM,Harry Jay Hulings,12,7,5,,Early
Brewster,6,U.S. House,23,DEM,Judith Ann Canales,7,6,1,,Early
Brewster,6,U.S. House,23,DEM,Ricardo Jose Trevio,22,18,4,,Early
Brewster,7,U.S. House,23,DEM,Angela Ann Villescaz,3,2,1,,Early
Brewster,7,U.S. House,23,DEM,Gina Maria Ortiz Jones,24,15,9,,Early
Brewster,7,U.S. House,23,DEM,Harry Jay Hulings,4,4,0,,Early
Brewster,7,U.S. House,23,DEM,Judith Ann Canales,0,0,0,,Early
Brewster,7,U.S. House,23,DEM,Ricardo Jose Trevio,3,3,0,,Early
Brewster,8,U.S. House,23,DEM,Angela Ann Villescaz,6,4,2,,Early
Brewster,8,U.S. House,23,DEM,Gina Maria Ortiz Jones,66,33,33,,Early
Brewster,8,U.S. House,23,DEM,Harry Jay Hulings,14,5,9,,Early
Brewster,8,U.S. House,23,DEM,Judith Ann Canales,3,1,2,,Early
Brewster,8,U.S. House,23,DEM,Ricardo Jose Trevio,12,7,5,,Early
Brewster,1,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,99,39,60,,Early
Brewster,1,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,103,43,60,,Early
Brewster,2,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,109,43,66,,Early
Brewster,2,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,90,33,57,,Early
Brewster,3,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,30,26,4,,Early
Brewster,3,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,17,14,3,,Early
Brewster,4,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,92,47,45,,Early
Brewster,4,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,71,30,41,,Early
Brewster,5,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,8,7,1,,Early
Brewster,5,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,4,3,1,,Early
Brewster,6,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,57,36,21,,Early
Brewster,6,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,51,36,15,,Early
Brewster,7,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,16,11,5,,Early
Brewster,7,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,8,5,3,,Early
Brewster,8,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,31,16,15,,Early
Brewster,8,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,47,25,22,,Early
Brewster,1,Governor,,DEM,Adrian Ocegueda,4,2,2,,Early
Brewster,1,Governor,,DEM,"Cedric Wayne Davis, Sr.",8,3,5,,Early
Brewster,1,Governor,,DEM,Grady Yarbrough,36,18,18,,Early
Brewster,1,Governor,,DEM,Guadalupe Valdez,84,33,51,,Early
Brewster,1,Governor,,DEM,James Jolly Clark,4,2,2,,Early
Brewster,1,Governor,,DEM,Jeffrey Alan Payne,10,2,8,,Early
Brewster,1,Governor,,DEM,Joseph William Mumbach,4,0,4,,Early
Brewster,1,Governor,,DEM,Robert Andrew  White,46,16,30,,Early
Brewster,1,Governor,,DEM,Thomas John Wakely,14,9,5,,Early
Brewster,2,Governor,,DEM,Adrian Ocegueda,9,4,5,,Early
Brewster,2,Governor,,DEM,"Cedric Wayne Davis, Sr.",4,1,3,,Early
Brewster,2,Governor,,DEM,Grady Yarbrough,32,16,16,,Early
Brewster,2,Governor,,DEM,Guadalupe Valdez,109,44,65,,Early
Brewster,2,Governor,,DEM,James Jolly Clark,2,2,0,,Early
Brewster,2,Governor,,DEM,Jeffrey Alan Payne,9,5,4,,Early
Brewster,2,Governor,,DEM,Joseph William Mumbach,1,0,1,,Early
Brewster,2,Governor,,DEM,Robert Andrew  White,45,11,34,,Early
Brewster,2,Governor,,DEM,Thomas John Wakely,5,5,0,,Early
Brewster,3,Governor,,DEM,Adrian Ocegueda,1,1,0,,Early
Brewster,3,Governor,,DEM,"Cedric Wayne Davis, Sr.",2,2,0,,Early
Brewster,3,Governor,,DEM,Grady Yarbrough,3,3,0,,Early
Brewster,3,Governor,,DEM,Guadalupe Valdez,27,24,3,,Early
Brewster,3,Governor,,DEM,James Jolly Clark,0,0,0,,Early
Brewster,3,Governor,,DEM,Jeffrey Alan Payne,2,2,0,,Early
Brewster,3,Governor,,DEM,Joseph William Mumbach,0,0,0,,Early
Brewster,3,Governor,,DEM,Robert Andrew  White,17,12,5,,Early
Brewster,3,Governor,,DEM,Thomas John Wakely,5,4,1,,Early
Brewster,4,Governor,,DEM,Adrian Ocegueda,8,4,4,,Early
Brewster,4,Governor,,DEM,"Cedric Wayne Davis, Sr.",8,3,5,,Early
Brewster,4,Governor,,DEM,Grady Yarbrough,21,15,6,,Early
Brewster,4,Governor,,DEM,Guadalupe Valdez,87,39,48,,Early
Brewster,4,Governor,,DEM,James Jolly Clark,6,1,5,,Early
Brewster,4,Governor,,DEM,Jeffrey Alan Payne,8,6,2,,Early
Brewster,4,Governor,,DEM,Joseph William Mumbach,2,1,1,,Early
Brewster,4,Governor,,DEM,Robert Andrew  White,28,14,14,,Early
Brewster,4,Governor,,DEM,Thomas John Wakely,9,3,6,,Early
Brewster,5,Governor,,DEM,Adrian Ocegueda,1,0,1,,Early
Brewster,5,Governor,,DEM,"Cedric Wayne Davis, Sr.",0,0,0,,Early
Brewster,5,Governor,,DEM,Grady Yarbrough,0,0,0,,Early
Brewster,5,Governor,,DEM,Guadalupe Valdez,10,9,1,,Early
Brewster,5,Governor,,DEM,James Jolly Clark,0,0,0,,Early
Brewster,5,Governor,,DEM,Jeffrey Alan Payne,2,1,1,,Early
Brewster,5,Governor,,DEM,Joseph William Mumbach,1,1,0,,Early
Brewster,5,Governor,,DEM,Robert Andrew  White,0,0,0,,Early
Brewster,5,Governor,,DEM,Thomas John Wakely,2,2,0,,Early
Brewster,6,Governor,,DEM,Adrian Ocegueda,5,5,0,,Early
Brewster,6,Governor,,DEM,"Cedric Wayne Davis, Sr.",7,4,3,,Early
Brewster,6,Governor,,DEM,Grady Yarbrough,14,11,3,,Early
Brewster,6,Governor,,DEM,Guadalupe Valdez,53,30,23,,Early
Brewster,6,Governor,,DEM,James Jolly Clark,4,3,1,,Early
Brewster,6,Governor,,DEM,Jeffrey Alan Payne,2,1,1,,Early
Brewster,6,Governor,,DEM,Joseph William Mumbach,0,0,0,,Early
Brewster,6,Governor,,DEM,Robert Andrew  White,25,20,5,,Early
Brewster,6,Governor,,DEM,Thomas John Wakely,10,8,2,,Early
Brewster,7,Governor,,DEM,Adrian Ocegueda,0,0,0,,Early
Brewster,7,Governor,,DEM,"Cedric Wayne Davis, Sr.",0,0,0,,Early
Brewster,7,Governor,,DEM,Grady Yarbrough,7,4,3,,Early
Brewster,7,Governor,,DEM,Guadalupe Valdez,14,10,4,,Early
Brewster,7,Governor,,DEM,James Jolly Clark,0,0,0,,Early
Brewster,7,Governor,,DEM,Jeffrey Alan Payne,0,0,0,,Early
Brewster,7,Governor,,DEM,Joseph William Mumbach,0,0,0,,Early
Brewster,7,Governor,,DEM,Robert Andrew  White,3,3,0,,Early
Brewster,7,Governor,,DEM,Thomas John Wakely,1,1,0,,Early
Brewster,8,Governor,,DEM,Adrian Ocegueda,5,4,1,,Early
Brewster,8,Governor,,DEM,"Cedric Wayne Davis, Sr.",4,2,2,,Early
Brewster,8,Governor,,DEM,Grady Yarbrough,3,2,1,,Early
Brewster,8,Governor,,DEM,Guadalupe Valdez,48,26,22,,Early
Brewster,8,Governor,,DEM,James Jolly Clark,1,1,0,,Early
Brewster,8,Governor,,DEM,Jeffrey Alan Payne,2,1,1,,Early
Brewster,8,Governor,,DEM,Joseph William Mumbach,1,0,1,,Early
Brewster,8,Governor,,DEM,Robert Andrew  White,24,8,16,,Early
Brewster,8,Governor,,DEM,Thomas John Wakely,1,0,1,,Early
Brewster,1,Commissioner of Agriculture,,DEM,Kimberly Dawn Olson,182,75,107,,Early
Brewster,2,Commissioner of Agriculture,,DEM,Kimberly Dawn Olson,187,70,117,,Early
Brewster,3,Commissioner of Agriculture,,DEM,Kimberly Dawn Olson,40,34,6,,Early
Brewster,4,Commissioner of Agriculture,,DEM,Kimberly Dawn Olson,149,78,71,,Early
Brewster,5,Commissioner of Agriculture,,DEM,Kimberly Dawn Olson,10,8,2,,Early
Brewster,6,Commissioner of Agriculture,,DEM,Kimberly Dawn Olson,104,68,36,,Early
Brewster,7,Commissioner of Agriculture,,DEM,Kimberly Dawn Olson,21,13,8,,Early
Brewster,8,Commissioner of Agriculture,,DEM,Kimberly Dawn Olson,78,38,40,,Early
Brewster,1,U.S. House,23,REP,Alma Arredondo-Lynch,88,30,58,,Early
Brewster,1,U.S. House,23,REP,William Hurd,207,102,105,,Early
Brewster,2,U.S. House,23,REP,Alma Arredondo-Lynch,26,17,9,,Early
Brewster,2,U.S. House,23,REP,William Hurd,79,51,28,,Early
Brewster,3,U.S. House,23,REP,Alma Arredondo-Lynch,10,4,6,,Early
Brewster,3,U.S. House,23,REP,William Hurd,37,27,10,,Early
Brewster,4,U.S. House,23,REP,Alma Arredondo-Lynch,38,19,19,,Early
Brewster,4,U.S. House,23,REP,William Hurd,96,56,40,,Early
Brewster,5,U.S. House,23,REP,Alma Arredondo-Lynch,2,1,1,,Early
Brewster,5,U.S. House,23,REP,William Hurd,4,3,1,,Early
Brewster,6,U.S. House,23,REP,Alma Arredondo-Lynch,17,14,3,,Early
Brewster,6,U.S. House,23,REP,William Hurd,54,47,7,,Early
Brewster,7,U.S. House,23,REP,Alma Arredondo-Lynch,0,0,0,,Early
Brewster,7,U.S. House,23,REP,William Hurd,0,0,0,,Early
Brewster,8,U.S. House,23,REP,Alma Arredondo-Lynch,5,1,4,,Early
Brewster,8,U.S. House,23,REP,William Hurd,24,15,9,,Early
Brewster,1,Attorney General,,REP,Warren Paxton,269,121,148,,Early
Brewster,2,Attorney General,,REP,Warren Paxton,89,57,32,,Early
Brewster,3,Attorney General,,REP,Warren Paxton,35,26,9,,Early
Brewster,4,Attorney General,,REP,Warren Paxton,109,65,44,,Early
Brewster,5,Attorney General,,REP,Warren Paxton,3,2,1,,Early
Brewster,6,Attorney General,,REP,Warren Paxton,66,56,10,,Early
Brewster,7,Attorney General,,REP,Warren Paxton,0,0,0,,Early
Brewster,8,Attorney General,,REP,Warren Paxton,22,12,10,,Early
Brewster,1,Commissioner of the General Land Office,,REP,George Bush,119,60,59,,Early
Brewster,1,Commissioner of the General Land Office,,REP,Jerry Patterson,108,43,65,,Early
Brewster,1,Commissioner of the General Land Office,,REP,Richard Range,16,8,8,,Early
Brewster,1,Commissioner of the General Land Office,,REP,William Edwards,37,15,22,,Early
Brewster,2,Commissioner of the General Land Office,,REP,George Bush,34,22,12,,Early
Brewster,2,Commissioner of the General Land Office,,REP,Jerry Patterson,49,31,18,,Early
Brewster,2,Commissioner of the General Land Office,,REP,Richard Range,4,2,2,,Early
Brewster,2,Commissioner of the General Land Office,,REP,William Edwards,13,9,4,,Early
Brewster,3,Commissioner of the General Land Office,,REP,George Bush,19,14,5,,Early
Brewster,3,Commissioner of the General Land Office,,REP,Jerry Patterson,14,7,7,,Early
Brewster,3,Commissioner of the General Land Office,,REP,Richard Range,8,5,3,,Early
Brewster,3,Commissioner of the General Land Office,,REP,William Edwards,2,1,1,,Early
Brewster,4,Commissioner of the General Land Office,,REP,George Bush,57,35,22,,Early
Brewster,4,Commissioner of the General Land Office,,REP,Jerry Patterson,43,21,22,,Early
Brewster,4,Commissioner of the General Land Office,,REP,Richard Range,6,3,3,,Early
Brewster,4,Commissioner of the General Land Office,,REP,William Edwards,21,12,9,,Early
Brewster,5,Commissioner of the General Land Office,,REP,George Bush,1,0,1,,Early
Brewster,5,Commissioner of the General Land Office,,REP,Jerry Patterson,3,2,1,,Early
Brewster,5,Commissioner of the General Land Office,,REP,Richard Range,1,1,0,,Early
Brewster,5,Commissioner of the General Land Office,,REP,William Edwards,1,1,0,,Early
Brewster,6,Commissioner of the General Land Office,,REP,George Bush,24,21,3,,Early
Brewster,6,Commissioner of the General Land Office,,REP,Jerry Patterson,30,27,3,,Early
Brewster,6,Commissioner of the General Land Office,,REP,Richard Range,8,7,1,,Early
Brewster,6,Commissioner of the General Land Office,,REP,William Edwards,3,1,2,,Early
Brewster,7,Commissioner of the General Land Office,,REP,George Bush,0,0,0,,Early
Brewster,7,Commissioner of the General Land Office,,REP,Jerry Patterson,0,0,0,,Early
Brewster,7,Commissioner of the General Land Office,,REP,Richard Range,0,0,0,,Early
Brewster,7,Commissioner of the General Land Office,,REP,William Edwards,0,0,0,,Early
Brewster,8,Commissioner of the General Land Office,,REP,George Bush,8,2,6,,Early
Brewster,8,Commissioner of the General Land Office,,REP,Jerry Patterson,11,9,2,,Early
Brewster,8,Commissioner of the General Land Office,,REP,Richard Range,2,1,1,,Early
Brewster,8,Commissioner of the General Land Office,,REP,William Edwards,4,1,3,,Early
Brewster,1,Commissioner of Agriculture,,REP,Jimmie Hogan,71,34,37,,Early
Brewster,1,Commissioner of Agriculture,,REP,Sidney Miller,133,60,73,,Early
Brewster,1,Commissioner of Agriculture,,REP,Trey Blocker,50,21,29,,Early
Brewster,2,Commissioner of Agriculture,,REP,Jimmie Hogan,25,21,4,,Early
Brewster,2,Commissioner of Agriculture,,REP,Sidney Miller,49,28,21,,Early
Brewster,2,Commissioner of Agriculture,,REP,Trey Blocker,13,3,10,,Early
Brewster,3,Commissioner of Agriculture,,REP,Jimmie Hogan,8,4,4,,Early
Brewster,3,Commissioner of Agriculture,,REP,Sidney Miller,22,16,6,,Early
Brewster,3,Commissioner of Agriculture,,REP,Trey Blocker,11,8,3,,Early
Brewster,4,Commissioner of Agriculture,,REP,Jimmie Hogan,26,17,9,,Early
Brewster,4,Commissioner of Agriculture,,REP,Sidney Miller,63,35,28,,Early
Brewster,4,Commissioner of Agriculture,,REP,Trey Blocker,28,13,15,,Early
Brewster,5,Commissioner of Agriculture,,REP,Jimmie Hogan,2,1,1,,Early
Brewster,5,Commissioner of Agriculture,,REP,Sidney Miller,4,3,1,,Early
Brewster,5,Commissioner of Agriculture,,REP,Trey Blocker,0,0,0,,Early
Brewster,6,Commissioner of Agriculture,,REP,Jimmie Hogan,14,12,2,,Early
Brewster,6,Commissioner of Agriculture,,REP,Sidney Miller,30,26,4,,Early
Brewster,6,Commissioner of Agriculture,,REP,Trey Blocker,20,17,3,,Early
Brewster,7,Commissioner of Agriculture,,REP,Jimmie Hogan,0,0,0,,Early
Brewster,7,Commissioner of Agriculture,,REP,Sidney Miller,0,0,0,,Early
Brewster,7,Commissioner of Agriculture,,REP,Trey Blocker,0,0,0,,Early
Brewster,8,Commissioner of Agriculture,,REP,Jimmie Hogan,7,4,3,,Early
Brewster,8,Commissioner of Agriculture,,REP,Sidney Miller,10,6,4,,Early
Brewster,8,Commissioner of Agriculture,,REP,Trey Blocker,6,3,3,,Early
Brewster,1,Governor,,REP,Barbara Krueger,21,10,11,,Early
Brewster,1,Governor,,REP,Gregory Abbott,270,122,148,,Early
Brewster,1,Governor,,REP,Larry Kilgore,4,0,4,,Early
Brewster,2,Governor,,REP,Barbara Krueger,7,4,3,,Early
Brewster,2,Governor,,REP,Gregory Abbott,94,61,33,,Early
Brewster,2,Governor,,REP,Larry Kilgore,5,4,1,,Early
Brewster,3,Governor,,REP,Barbara Krueger,3,0,3,,Early
Brewster,3,Governor,,REP,Gregory Abbott,40,27,13,,Early
Brewster,3,Governor,,REP,Larry Kilgore,0,0,0,,Early
Brewster,4,Governor,,REP,Barbara Krueger,14,4,10,,Early
Brewster,4,Governor,,REP,Gregory Abbott,115,68,47,,Early
Brewster,4,Governor,,REP,Larry Kilgore,1,1,0,,Early
Brewster,5,Governor,,REP,Barbara Krueger,1,1,0,,Early
Brewster,5,Governor,,REP,Gregory Abbott,3,2,1,,Early
Brewster,5,Governor,,REP,Larry Kilgore,2,1,1,,Early
Brewster,6,Governor,,REP,Barbara Krueger,6,4,2,,Early
Brewster,6,Governor,,REP,Gregory Abbott,60,52,8,,Early
Brewster,6,Governor,,REP,Larry Kilgore,1,1,0,,Early
Brewster,7,Governor,,REP,Barbara Krueger,0,0,0,,Early
Brewster,7,Governor,,REP,Gregory Abbott,0,0,0,,Early
Brewster,7,Governor,,REP,Larry Kilgore,0,0,0,,Early
Brewster,8,Governor,,REP,Barbara Krueger,5,5,0,,Early
Brewster,8,Governor,,REP,Gregory Abbott,25,12,13,,Early
Brewster,8,Governor,,REP,Larry Kilgore,0,0,0,,Early
Brewster,1,Comptroller of Public Accounts,,REP,Glenn Hegar,256,117,139,,Early
Brewster,2,Comptroller of Public Accounts,,REP,Glenn Hegar,83,52,31,,Early
Brewster,3,Comptroller of Public Accounts,,REP,Glenn Hegar,35,25,10,,Early
Brewster,4,Comptroller of Public Accounts,,REP,Glenn Hegar,112,66,46,,Early
Brewster,5,Comptroller of Public Accounts,,REP,Glenn Hegar,3,2,1,,Early
Brewster,6,Comptroller of Public Accounts,,REP,Glenn Hegar,62,52,10,,Early
Brewster,7,Comptroller of Public Accounts,,REP,Glenn Hegar,0,0,0,,Early
Brewster,8,Comptroller of Public Accounts,,REP,Glenn Hegar,18,10,8,,Early
Brewster,1,U.S. Senate,,REP,Bruce Jacobson,19,9,10,,Early
Brewster,1,U.S. Senate,,REP,Geraldine Sam,8,2,6,,Early
Brewster,1,U.S. Senate,,REP,Mary Miller,11,4,7,,Early
Brewster,1,U.S. Senate,,REP,Rafael  Cruz,253,116,137,,Early
Brewster,1,U.S. Senate,,REP,Stefano de Stefano IV,3,1,2,,Early
Brewster,2,U.S. Senate,,REP,Bruce Jacobson,7,5,2,,Early
Brewster,2,U.S. Senate,,REP,Geraldine Sam,1,1,0,,Early
Brewster,2,U.S. Senate,,REP,Mary Miller,7,3,4,,Early
Brewster,2,U.S. Senate,,REP,Rafael  Cruz,90,59,31,,Early
Brewster,2,U.S. Senate,,REP,Stefano de Stefano IV,0,0,0,,Early
Brewster,3,U.S. Senate,,REP,Bruce Jacobson,6,1,5,,Early
Brewster,3,U.S. Senate,,REP,Geraldine Sam,1,1,0,,Early
Brewster,3,U.S. Senate,,REP,Mary Miller,6,1,5,,Early
Brewster,3,U.S. Senate,,REP,Rafael  Cruz,30,24,6,,Early
