candidate,office,district,party,county,precinct,votes,early_voting,early_voting_paper,early_voting_machine,election_day,election_day_paper,election_day_machine
James Duerr,U.S. House,27,IND,Lavaca,Precinct 9,4,0,0,0,4,2,2
Greg Abbott,Governor ,,REP,Lavaca,Precinct 9,689,260,149,111,429,266,163
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 9,83,36,29,7,47,35,12
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 9,2,1,0,1,1,1,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 9,630,249,144,105,381,240,141
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 9,125,41,29,12,84,53,31
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 9,12,3,1,2,9,6,3
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 9,649,247,139,108,402,253,149
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 9,113,45,35,10,68,46,22
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 9,7,3,2,1,4,2,2
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 9,668,256,146,110,412,254,158
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 9,88,36,28,8,52,39,13
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 9,11,4,3,1,7,4,3
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 9,653,251,146,105,402,247,155
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 9,89,34,26,8,55,41,14
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 9,23,7,2,5,16,11,5
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 9,658,252,142,110,406,252,154
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 9,91,37,30,7,54,39,15
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 9,16,4,3,1,12,9,3
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 9,660,249,139,110,411,256,155
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 9,97,40,32,8,57,41,16
,Registered Voters,,,Lavaca,Precinct 11,318,,,,,,
,Ballots Cast,,,Lavaca,Precinct 11,202,109,48,61,93,59,34
,Straight Party,,REP,Lavaca,Precinct 11,99,56,22,34,43,24,19
,Straight Party,,DEM,Lavaca,Precinct 11,12,8,7,1,4,4,0
,Straight Party,,LIB,Lavaca,Precinct 11,1,0,0,0,1,1,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 11,183,96,37,59,87,53,34
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 11,19,13,11,2,6,6,0
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 11,0,0,0,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 11,179,95,37,58,84,51,33
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 11,19,12,10,2,7,7,0
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 11,1,1,0,1,0,0,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 11,1,1,1,0,0,0,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 11,181,96,37,59,85,51,34
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 11,18,12,11,1,6,6,0
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 11,2,1,0,1,1,1,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 11,169,89,37,52,80,48,32
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 11,26,15,11,4,11,10,1
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 11,5,4,0,4,1,1,0
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 11,174,90,36,54,84,51,33
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 11,22,15,12,3,7,7,0
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 11,3,3,0,3,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 11,175,94,37,57,81,48,33
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 11,21,13,11,2,8,8,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 11,2,2,0,2,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 11,174,91,36,55,83,51,32
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 11,19,14,11,3,5,5,0
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 11,7,4,1,3,3,2,1
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 11,174,92,37,55,82,49,33
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 11,20,13,11,2,7,7,0
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 11,3,3,0,3,0,0,0
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 11,177,95,37,58,82,49,33
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 11,21,13,11,2,8,8,0
,Registered Voters,,,Lavaca,Precinct 12,362,,,,,,
,Ballots Cast,,,Lavaca,Precinct 12,214,146,80,66,68,47,21
,Straight Party,,REP,Lavaca,Precinct 12,119,83,42,41,36,23,13
,Straight Party,,DEM,Lavaca,Precinct 12,10,4,4,0,6,5,1
,Straight Party,,LIB,Lavaca,Precinct 12,0,0,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 12,193,133,69,64,60,41,19
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 12,19,11,9,2,8,6,2
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 12,2,2,2,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 12,195,137,71,66,58,40,18
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 12,16,8,8,0,8,6,2
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 12,0,0,0,0,0,0,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 12,2,1,1,0,1,1,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 12,196,136,70,66,61,42,19
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 12,17,10,9,1,7,5,2
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 12,1,1,1,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 12,185,130,68,62,55,38,17
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 12,24,14,11,3,10,7,3
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 12,3,1,1,0,2,2,0
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 12,182,128,67,61,54,36,18
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 12,26,13,10,3,13,10,3
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 12,5,4,3,1,1,1,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 12,192,135,71,64,57,39,18
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 12,15,8,7,1,7,5,2
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 12,2,1,1,0,1,1,0
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 12,190,132,70,62,58,40,18
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 12,16,9,7,2,7,5,2
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 12,4,3,2,1,1,1,0
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 12,182,127,64,63,55,38,17
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 12,22,13,11,2,9,7,2
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 12,5,3,3,0,2,1,1
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 12,191,133,69,64,58,40,18
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 12,20,11,10,1,9,7,2
,Registered Voters,,,Lavaca,Precinct 15,174,,,,,,
,Ballots Cast,,,Lavaca,Precinct 15,114,59,32,27,55,36,19
,Straight Party,,REP,Lavaca,Precinct 15,59,28,12,16,31,19,12
,Straight Party,,DEM,Lavaca,Precinct 15,9,8,8,0,1,0,1
,Straight Party,,LIB,Lavaca,Precinct 15,0,0,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 15,95,44,20,24,51,35,16
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 15,19,15,12,3,4,1,3
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 15,0,0,0,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 15,97,45,20,25,52,36,16
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 15,17,14,12,2,3,0,3
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 15,0,0,0,0,0,0,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 15,0,0,0,0,0,0,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 15,98,45,20,25,53,36,17
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 15,16,14,12,2,2,0,2
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 15,0,0,0,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 15,95,46,20,26,49,34,15
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 15,18,13,12,1,5,2,3
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 15,1,0,0,0,1,0,1
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 15,95,44,20,24,51,34,17
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 15,19,15,12,3,4,2,2
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 15,0,0,0,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 15,98,47,21,26,51,35,16
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 15,16,12,11,1,4,1,3
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 15,0,0,0,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 15,95,43,18,25,52,35,17
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 15,18,15,13,2,3,1,2
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 15,1,1,1,0,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 15,96,45,18,27,51,34,17
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 15,15,12,12,0,3,1,2
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 15,1,1,1,0,0,0,0
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 15,93,42,18,24,51,35,16
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 15,18,14,12,2,4,1,3
,Registered Voters,,,Lavaca,Precinct 16,458,,,,,,
,Ballots Cast,,,Lavaca,Precinct 16,299,147,91,56,152,91,61
,Straight Party,,REP,Lavaca,Precinct 16,182,100,60,40,82,44,38
,Straight Party,,DEM,Lavaca,Precinct 16,12,11,9,2,1,1,0
,Straight Party,,LIB,Lavaca,Precinct 16,0,0,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 16,268,126,78,48,142,84,58
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 16,30,21,13,8,9,6,3
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 16,0,0,0,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 16,269,127,78,49,142,83,59
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 16,28,19,13,6,9,8,1
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 16,0,0,0,0,0,0,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 16,1,0,0,0,1,0,1
Greg Abbott,Governor ,,REP,Lavaca,Precinct 16,273,127,78,49,146,87,59
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 16,24,20,13,7,4,3,1
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 16,2,0,0,0,2,1,1
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 16,260,126,78,48,134,80,54
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 16,39,21,13,8,18,11,7
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 16,0,0,0,0,0,0,0
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 16,266,126,78,48,140,83,57
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 16,29,20,13,7,9,6,3
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 16,2,0,0,0,2,1,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 16,270,128,78,50,142,84,58
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 16,23,17,11,6,6,4,2
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 16,2,0,0,0,2,1,1
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 16,262,123,73,50,139,82,57
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 16,22,16,12,4,6,3,3
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 16,8,4,4,0,4,3,1
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 16,267,127,78,49,140,82,58
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 16,29,18,12,6,11,8,3
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 16,1,0,0,0,1,1,0
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 16,266,125,78,47,141,82,59
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 16,27,17,11,6,10,8,2
,Registered Voters,,,Lavaca,Precinct 17,287,,,,,,
,Ballots Cast,,,Lavaca,Precinct 17,212,132,66,66,80,61,19
,Straight Party,,REP,Lavaca,Precinct 17,121,79,37,42,42,31,11
,Straight Party,,DEM,Lavaca,Precinct 17,9,7,3,4,2,2,0
,Straight Party,,LIB,Lavaca,Precinct 17,1,0,0,0,1,0,1
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 17,190,119,58,61,71,55,16
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 17,20,13,8,5,7,5,2
