county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting
Polk,16,Governor ,,REP,Barbara Krueger,81,,,
Polk,16,Governor ,,REP,SECEDE Kilgore,7,,,
Polk,16,Governor ,,REP,Greg Abbott,873,,,
Polk,17,Governor ,,REP,Barbara Krueger,14,,,
Polk,17,Governor ,,REP,SECEDE Kilgore,1,,,
Polk,17,Governor ,,REP,Greg Abbott,191,,,
Polk,18,Governor ,,REP,Barbara Krueger,9,,,
Polk,18,Governor ,,REP,SECEDE Kilgore,1,,,
Polk,18,Governor ,,REP,Greg Abbott,37,,,
Polk,19,Governor ,,REP,Barbara Krueger,18,,,
Polk,19,Governor ,,REP,SECEDE Kilgore,0,,,
Polk,19,Governor ,,REP,Greg Abbott,204,,,
Polk,20,Governor ,,REP,Barbara Krueger,15,,,
Polk,20,Governor ,,REP,SECEDE Kilgore,0,,,
Polk,20,Governor ,,REP,Greg Abbott,207,,,
Polk,21,Governor ,,REP,Barbara Krueger,18,,,
Polk,21,Governor ,,REP,SECEDE Kilgore,1,,,
Polk,21,Governor ,,REP,Greg Abbott,217,,,
Polk,1,Lieutenant Governor ,,REP,Dan Patrick,52,,,
Polk,1,Lieutenant Governor ,,REP,Scott Milder,11,,,
Polk,2,Lieutenant Governor ,,REP,Dan Patrick,43,,,
Polk,2,Lieutenant Governor ,,REP,Scott Milder,10,,,
Polk,3,Lieutenant Governor ,,REP,Dan Patrick,217,,,
Polk,3,Lieutenant Governor ,,REP,Scott Milder,73,,,
Polk,4,Lieutenant Governor ,,REP,Dan Patrick,225,,,
Polk,4,Lieutenant Governor ,,REP,Scott Milder,86,,,
Polk,5,Lieutenant Governor ,,REP,Dan Patrick,395,,,
Polk,5,Lieutenant Governor ,,REP,Scott Milder,93,,,
Polk,6,Lieutenant Governor ,,REP,Dan Patrick,734,,,
Polk,6,Lieutenant Governor ,,REP,Scott Milder,159,,,
Polk,7,Lieutenant Governor ,,REP,Dan Patrick,97,,,
Polk,7,Lieutenant Governor ,,REP,Scott Milder,49,,,
Polk,8,Lieutenant Governor ,,REP,Dan Patrick,87,,,
Polk,8,Lieutenant Governor ,,REP,Scott Milder,49,,,
Polk,9,Lieutenant Governor ,,REP,Dan Patrick,106,,,
Polk,9,Lieutenant Governor ,,REP,Scott Milder,29,,,
Polk,10,Lieutenant Governor ,,REP,Dan Patrick,164,,,
Polk,10,Lieutenant Governor ,,REP,Scott Milder,103,,,
Polk,11,Lieutenant Governor ,,REP,Dan Patrick,62,,,
Polk,11,Lieutenant Governor ,,REP,Scott Milder,20,,,
Polk,12,Lieutenant Governor ,,REP,Dan Patrick,16,,,
Polk,12,Lieutenant Governor ,,REP,Scott Milder,9,,,
Polk,13,Lieutenant Governor ,,REP,Dan Patrick,61,,,
Polk,13,Lieutenant Governor ,,REP,Scott Milder,16,,,
Polk,14,Lieutenant Governor ,,REP,Dan Patrick,112,,,
Polk,14,Lieutenant Governor ,,REP,Scott Milder,28,,,
Polk,15,Lieutenant Governor ,,REP,Dan Patrick,162,,,
Polk,15,Lieutenant Governor ,,REP,Scott Milder,25,,,
Polk,16,Lieutenant Governor ,,REP,Dan Patrick,705,,,
Polk,16,Lieutenant Governor ,,REP,Scott Milder,266,,,
Polk,17,Lieutenant Governor ,,REP,Dan Patrick,163,,,
Polk,17,Lieutenant Governor ,,REP,Scott Milder,45,,,
Polk,18,Lieutenant Governor ,,REP,Dan Patrick,36,,,
Polk,18,Lieutenant Governor ,,REP,Scott Milder,13,,,
Polk,19,Lieutenant Governor ,,REP,Dan Patrick,177,,,
Polk,19,Lieutenant Governor ,,REP,Scott Milder,34,,,
Polk,20,Lieutenant Governor ,,REP,Dan Patrick,183,,,
Polk,20,Lieutenant Governor ,,REP,Scott Milder,34,,,
Polk,21,Lieutenant Governor ,,REP,Dan Patrick,158,,,
Polk,21,Lieutenant Governor ,,REP,Scott Milder,81,,,
Polk,1,Attorney General ,,REP,Ken Paxton,53,,,
Polk,2,Attorney General ,,REP,Ken Paxton,50,,,
Polk,3,Attorney General ,,REP,Ken Paxton,251,,,
Polk,4,Attorney General ,,REP,Ken Paxton,275,,,
Polk,5,Attorney General ,,REP,Ken Paxton,441,,,
Polk,6,Attorney General ,,REP,Ken Paxton,831,,,
Polk,7,Attorney General ,,REP,Ken Paxton,123,,,
Polk,8,Attorney General ,,REP,Ken Paxton,121,,,
Polk,9,Attorney General ,,REP,Ken Paxton,120,,,
Polk,10,Attorney General ,,REP,Ken Paxton,216,,,
Polk,11,Attorney General ,,REP,Ken Paxton,70,,,
Polk,12,Attorney General ,,REP,Ken Paxton,15,,,
Polk,13,Attorney General ,,REP,Ken Paxton,67,,,
Polk,14,Attorney General ,,REP,Ken Paxton,132,,,
Polk,15,Attorney General ,,REP,Ken Paxton,175,,,
Polk,16,Attorney General ,,REP,Ken Paxton,847,,,
Polk,17,Attorney General ,,REP,Ken Paxton,194,,,
Polk,18,Attorney General ,,REP,Ken Paxton,39,,,
Polk,19,Attorney General ,,REP,Ken Paxton,206,,,
Polk,20,Attorney General ,,REP,Ken Paxton,204,,,
Polk,21,Attorney General ,,REP,Ken Paxton,200,,,
Polk,1,Comptroller of Public Accounts ,,REP,Glenn Hegar,52,,,
Polk,2,Comptroller of Public Accounts ,,REP,Glenn Hegar,48,,,
Polk,3,Comptroller of Public Accounts ,,REP,Glenn Hegar,237,,,
Polk,4,Comptroller of Public Accounts ,,REP,Glenn Hegar,259,,,
Polk,5,Comptroller of Public Accounts ,,REP,Glenn Hegar,433,,,
Polk,6,Comptroller of Public Accounts ,,REP,Glenn Hegar,805,,,
Polk,7,Comptroller of Public Accounts ,,REP,Glenn Hegar,119,,,
Polk,8,Comptroller of Public Accounts ,,REP,Glenn Hegar,113,,,
Polk,9,Comptroller of Public Accounts ,,REP,Glenn Hegar,120,,,
Polk,10,Comptroller of Public Accounts ,,REP,Glenn Hegar,205,,,
Polk,11,Comptroller of Public Accounts ,,REP,Glenn Hegar,62,,,
Polk,12,Comptroller of Public Accounts ,,REP,Glenn Hegar,18,,,
Polk,13,Comptroller of Public Accounts ,,REP,Glenn Hegar,65,,,
Polk,14,Comptroller of Public Accounts ,,REP,Glenn Hegar,125,,,
Polk,15,Comptroller of Public Accounts ,,REP,Glenn Hegar,169,,,
Polk,16,Comptroller of Public Accounts ,,REP,Glenn Hegar,828,,,
Polk,17,Comptroller of Public Accounts ,,REP,Glenn Hegar,185,,,
Polk,18,Comptroller of Public Accounts ,,REP,Glenn Hegar,34,,,
Polk,19,Comptroller of Public Accounts ,,REP,Glenn Hegar,197,,,
Polk,20,Comptroller of Public Accounts ,,REP,Glenn Hegar,200,,,
Polk,21,Comptroller of Public Accounts ,,REP,Glenn Hegar,190,,,
Polk,1,Commissioner of the General Land Office ,,REP,George P. Bush,42,,,
Polk,1,Commissioner of the General Land Office ,,REP,Davey Edwards,3,,,
Polk,1,Commissioner of the General Land Office ,,REP,Jerry Patterson,12,,,
Polk,1,Commissioner of the General Land Office ,,REP,Rick Range,2,,,
Polk,2,Commissioner of the General Land Office ,,REP,George P. Bush,33,,,
Polk,2,Commissioner of the General Land Office ,,REP,Davey Edwards,3,,,
Polk,2,Commissioner of the General Land Office ,,REP,Jerry Patterson,9,,,
Polk,2,Commissioner of the General Land Office ,,REP,Rick Range,5,,,
Polk,3,Commissioner of the General Land Office ,,REP,George P. Bush,187,,,
Polk,3,Commissioner of the General Land Office ,,REP,Davey Edwards,15,,,
Polk,3,Commissioner of the General Land Office ,,REP,Jerry Patterson,59,,,
Polk,3,Commissioner of the General Land Office ,,REP,Rick Range,17,,,
Polk,4,Commissioner of the General Land Office ,,REP,George P. Bush,202,,,
Polk,4,Commissioner of the General Land Office ,,REP,Davey Edwards,23,,,
Polk,4,Commissioner of the General Land Office ,,REP,Jerry Patterson,63,,,
Polk,4,Commissioner of the General Land Office ,,REP,Rick Range,13,,,
Polk,5,Commissioner of the General Land Office ,,REP,George P. Bush,309,,,
Polk,5,Commissioner of the General Land Office ,,REP,Davey Edwards,39,,,
Polk,5,Commissioner of the General Land Office ,,REP,Jerry Patterson,104,,,
Polk,5,Commissioner of the General Land Office ,,REP,Rick Range,23,,,
Polk,6,Commissioner of the General Land Office ,,REP,George P. Bush,591,,,
Polk,6,Commissioner of the General Land Office ,,REP,Davey Edwards,48,,,
Polk,6,Commissioner of the General Land Office ,,REP,Jerry Patterson,185,,,
Polk,6,Commissioner of the General Land Office ,,REP,Rick Range,48,,,
Polk,7,Commissioner of the General Land Office ,,REP,George P. Bush,98,,,
Polk,7,Commissioner of the General Land Office ,,REP,Davey Edwards,8,,,
Polk,7,Commissioner of the General Land Office ,,REP,Jerry Patterson,27,,,
Polk,7,Commissioner of the General Land Office ,,REP,Rick Range,8,,,
Polk,8,Commissioner of the General Land Office ,,REP,George P. Bush,88,,,
Polk,8,Commissioner of the General Land Office ,,REP,Davey Edwards,10,,,
Polk,8,Commissioner of the General Land Office ,,REP,Jerry Patterson,18,,,
Polk,8,Commissioner of the General Land Office ,,REP,Rick Range,5,,,
Polk,9,Commissioner of the General Land Office ,,REP,George P. Bush,89,,,
Polk,9,Commissioner of the General Land Office ,,REP,Davey Edwards,3,,,
Polk,9,Commissioner of the General Land Office ,,REP,Jerry Patterson,32,,,
Polk,9,Commissioner of the General Land Office ,,REP,Rick Range,2,,,
Polk,10,Commissioner of the General Land Office ,,REP,George P. Bush,192,,,
Polk,10,Commissioner of the General Land Office ,,REP,Davey Edwards,12,,,
Polk,10,Commissioner of the General Land Office ,,REP,Jerry Patterson,43,,,
Polk,10,Commissioner of the General Land Office ,,REP,Rick Range,12,,,
Polk,11,Commissioner of the General Land Office ,,REP,George P. Bush,54,,,
Polk,11,Commissioner of the General Land Office ,,REP,Davey Edwards,8,,,
Polk,11,Commissioner of the General Land Office ,,REP,Jerry Patterson,16,,,
Polk,11,Commissioner of the General Land Office ,,REP,Rick Range,2,,,
Polk,12,Commissioner of the General Land Office ,,REP,George P. Bush,14,,,
Polk,12,Commissioner of the General Land Office ,,REP,Davey Edwards,1,,,
Polk,12,Commissioner of the General Land Office ,,REP,Jerry Patterson,7,,,
Polk,12,Commissioner of the General Land Office ,,REP,Rick Range,1,,,
Polk,13,Commissioner of the General Land Office ,,REP,George P. Bush,44,,,
Polk,13,Commissioner of the General Land Office ,,REP,Davey Edwards,6,,,
Polk,13,Commissioner of the General Land Office ,,REP,Jerry Patterson,18,,,
Polk,13,Commissioner of the General Land Office ,,REP,Rick Range,1,,,
Polk,14,Commissioner of the General Land Office ,,REP,George P. Bush,97,,,
Polk,14,Commissioner of the General Land Office ,,REP,Davey Edwards,10,,,
Polk,14,Commissioner of the General Land Office ,,REP,Jerry Patterson,26,,,
Polk,14,Commissioner of the General Land Office ,,REP,Rick Range,3,,,
Polk,15,Commissioner of the General Land Office ,,REP,George P. Bush,141,,,
Polk,15,Commissioner of the General Land Office ,,REP,Davey Edwards,10,,,
Polk,15,Commissioner of the General Land Office ,,REP,Jerry Patterson,27,,,
Polk,15,Commissioner of the General Land Office ,,REP,Rick Range,6,,,
Polk,16,Commissioner of the General Land Office ,,REP,George P. Bush,667,,,
Polk,16,Commissioner of the General Land Office ,,REP,Davey Edwards,64,,,
Polk,16,Commissioner of the General Land Office ,,REP,Jerry Patterson,164,,,
Polk,16,Commissioner of the General Land Office ,,REP,Rick Range,26,,,
Polk,17,Commissioner of the General Land Office ,,REP,George P. Bush,136,,,
Polk,17,Commissioner of the General Land Office ,,REP,Davey Edwards,15,,,
Polk,17,Commissioner of the General Land Office ,,REP,Jerry Patterson,41,,,
Polk,17,Commissioner of the General Land Office ,,REP,Rick Range,10,,,
Polk,18,Commissioner of the General Land Office ,,REP,George P. Bush,31,,,
Polk,18,Commissioner of the General Land Office ,,REP,Davey Edwards,6,,,
Polk,18,Commissioner of the General Land Office ,,REP,Jerry Patterson,10,,,
Polk,18,Commissioner of the General Land Office ,,REP,Rick Range,1,,,
Polk,19,Commissioner of the General Land Office ,,REP,George P. Bush,117,,,
Polk,19,Commissioner of the General Land Office ,,REP,Davey Edwards,29,,,
Polk,19,Commissioner of the General Land Office ,,REP,Jerry Patterson,34,,,
Polk,19,Commissioner of the General Land Office ,,REP,Rick Range,21,,,
Polk,20,Commissioner of the General Land Office ,,REP,George P. Bush,132,,,
Polk,20,Commissioner of the General Land Office ,,REP,Davey Edwards,22,,,
Polk,20,Commissioner of the General Land Office ,,REP,Jerry Patterson,36,,,
Polk,20,Commissioner of the General Land Office ,,REP,Rick Range,15,,,
Polk,21,Commissioner of the General Land Office ,,REP,George P. Bush,167,,,
Polk,21,Commissioner of the General Land Office ,,REP,Davey Edwards,5,,,
Polk,21,Commissioner of the General Land Office ,,REP,Jerry Patterson,42,,,
Polk,21,Commissioner of the General Land Office ,,REP,Rick Range,8,,,
Polk,1,Commissioner of Agriculture ,,REP,Jim Hogan,16,,,
Polk,1,Commissioner of Agriculture ,,REP,Sid Miller,33,,,
Polk,1,Commissioner of Agriculture ,,REP,Trey Blocker,5,,,
Polk,2,Commissioner of Agriculture ,,REP,Jim Hogan,13,,,
Polk,2,Commissioner of Agriculture ,,REP,Sid Miller,27,,,
Polk,2,Commissioner of Agriculture ,,REP,Trey Blocker,9,,,
Polk,3,Commissioner of Agriculture ,,REP,Jim Hogan,79,,,
Polk,3,Commissioner of Agriculture ,,REP,Sid Miller,121,,,
Polk,3,Commissioner of Agriculture ,,REP,Trey Blocker,37,,,
Polk,4,Commissioner of Agriculture ,,REP,Jim Hogan,78,,,
Polk,4,Commissioner of Agriculture ,,REP,Sid Miller,128,,,
Polk,4,Commissioner of Agriculture ,,REP,Trey Blocker,37,,,
Polk,5,Commissioner of Agriculture ,,REP,Jim Hogan,127,,,
Polk,5,Commissioner of Agriculture ,,REP,Sid Miller,220,,,
Polk,5,Commissioner of Agriculture ,,REP,Trey Blocker,88,,,
Polk,6,Commissioner of Agriculture ,,REP,Jim Hogan,251,,,
Polk,6,Commissioner of Agriculture ,,REP,Sid Miller,388,,,
Polk,6,Commissioner of Agriculture ,,REP,Trey Blocker,154,,,
Polk,7,Commissioner of Agriculture ,,REP,Jim Hogan,36,,,
Polk,7,Commissioner of Agriculture ,,REP,Sid Miller,60,,,
Polk,7,Commissioner of Agriculture ,,REP,Trey Blocker,19,,,
Polk,8,Commissioner of Agriculture ,,REP,Jim Hogan,33,,,
Polk,8,Commissioner of Agriculture ,,REP,Sid Miller,65,,,
Polk,8,Commissioner of Agriculture ,,REP,Trey Blocker,16,,,
Polk,9,Commissioner of Agriculture ,,REP,Jim Hogan,34,,,
Polk,9,Commissioner of Agriculture ,,REP,Sid Miller,66,,,
Polk,9,Commissioner of Agriculture ,,REP,Trey Blocker,9,,,
Polk,10,Commissioner of Agriculture ,,REP,Jim Hogan,57,,,
Polk,10,Commissioner of Agriculture ,,REP,Sid Miller,147,,,
Polk,10,Commissioner of Agriculture ,,REP,Trey Blocker,25,,,
Polk,11,Commissioner of Agriculture ,,REP,Jim Hogan,20,,,
Polk,11,Commissioner of Agriculture ,,REP,Sid Miller,40,,,
Polk,11,Commissioner of Agriculture ,,REP,Trey Blocker,14,,,
Polk,12,Commissioner of Agriculture ,,REP,Jim Hogan,3,,,
Polk,12,Commissioner of Agriculture ,,REP,Sid Miller,17,,,
Polk,12,Commissioner of Agriculture ,,REP,Trey Blocker,2,,,
Polk,13,Commissioner of Agriculture ,,REP,Jim Hogan,20,,,
Polk,13,Commissioner of Agriculture ,,REP,Sid Miller,33,,,
Polk,13,Commissioner of Agriculture ,,REP,Trey Blocker,7,,,
Polk,14,Commissioner of Agriculture ,,REP,Jim Hogan,46,,,
Polk,14,Commissioner of Agriculture ,,REP,Sid Miller,74,,,
Polk,14,Commissioner of Agriculture ,,REP,Trey Blocker,7,,,
Polk,15,Commissioner of Agriculture ,,REP,Jim Hogan,53,,,
Polk,15,Commissioner of Agriculture ,,REP,Sid Miller,85,,,
Polk,15,Commissioner of Agriculture ,,REP,Trey Blocker,24,,,
Polk,16,Commissioner of Agriculture ,,REP,Jim Hogan,238,,,
Polk,16,Commissioner of Agriculture ,,REP,Sid Miller,443,,,
Polk,16,Commissioner of Agriculture ,,REP,Trey Blocker,109,,,
Polk,17,Commissioner of Agriculture ,,REP,Jim Hogan,53,,,
Polk,17,Commissioner of Agriculture ,,REP,Sid Miller,90,,,
Polk,17,Commissioner of Agriculture ,,REP,Trey Blocker,34,,,
Polk,18,Commissioner of Agriculture ,,REP,Jim Hogan,12,,,
Polk,18,Commissioner of Agriculture ,,REP,Sid Miller,20,,,
Polk,18,Commissioner of Agriculture ,,REP,Trey Blocker,7,,,
Polk,19,Commissioner of Agriculture ,,REP,Jim Hogan,43,,,
Polk,19,Commissioner of Agriculture ,,REP,Sid Miller,91,,,
Polk,19,Commissioner of Agriculture ,,REP,Trey Blocker,48,,,
Polk,20,Commissioner of Agriculture ,,REP,Jim Hogan,58,,,
Polk,20,Commissioner of Agriculture ,,REP,Sid Miller,98,,,
Polk,20,Commissioner of Agriculture ,,REP,Trey Blocker,31,,,
Polk,21,Commissioner of Agriculture ,,REP,Jim Hogan,51,,,
Polk,21,Commissioner of Agriculture ,,REP,Sid Miller,105,,,
