county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail,provisional
Van Zandt,1D,U.S. House,5,,David Williams,7,6,1,0,0
Van Zandt,1D,U.S. House,5,,Danny Campbell,7,6,1,0,0
Van Zandt,1D,U.S. House,5,,Sam Deen,150,109,38,3,0
Van Zandt,1D,U.S. House,5,,Earl Brunner,4,2,2,0,0
Van Zandt,1D,U.S. House,5,,Kenneth Sheets,9,7,2,0,0
Van Zandt,1D,U.S. House,5,,Lance Gooden,40,30,8,2,0
Van Zandt,1D,U.S. House,5,,Jason Wright,29,23,6,0,0
Van Zandt,1D,Governor,,,SECEDE Kilgore,4,4,0,0,0
Van Zandt,1D,Governor,,,Barbara Krueger,26,18,8,0,0
Van Zandt,1D,Governor,,,Greg Abbott,289,197,74,18,0
Van Zandt,1D,Lieutenant Governor,,,Scott Milder,92,64,26,2,0
Van Zandt,1D,Lieutenant Governor,,,Dan Patrick,223,154,55,14,0
Van Zandt,1D,Attorney General,,,Ken Paxton,264,178,70,16,0
Van Zandt,1D,Comptroller of Public Accounts,,,Glenn Hegar,239,166,57,16,0
Van Zandt,1D,Commissioner of the General Land Office,,,Davey Edwards,17,9,8,0,0
Van Zandt,1D,Commissioner of the General Land Office,,,Rick Range,25,18,6,1,0
Van Zandt,1D,Commissioner of the General Land Office,,,Jerry Patterson,80,56,19,5,0
Van Zandt,1D,Commissioner of the General Land Office,,,George P. Bush,185,128,45,12,0
Van Zandt,1D,Commissioner of Agriculture,,,Trey Blocker,49,28,18,3,0
Van Zandt,1D,Commissioner of Agriculture,,,Sid Miller,187,136,41,10,0
Van Zandt,1D,Commissioner of Agriculture,,,Jim Hogan,46,32,11,3,0
Van Zandt,1D,Railroad Commissioner,,,Christi Craddick,205,131,60,14,0
Van Zandt,1D,Railroad Commissioner,,,Weston Martinez,81,61,17,3,0
Van Zandt,1D,State Senate,2,,Bob Hall,170,117,41,12,0
Van Zandt,1D,State Senate,2,,Cindy Burkett,153,106,42,5,0
Van Zandt,1D,State Representative,2,,Dan Flynn,168,120,40,8,0
Van Zandt,1D,State Representative,2,,Bryan Slaton,154,102,42,10,0
Van Zandt,1E,Ballots Cast,,,Total,229,127,67,12,1
Van Zandt,1E,Ballots Cast,,REP,,180,105,63,11,1
Van Zandt,1E,Ballots Cast,,DEM,,49,22,4,1,0
Van Zandt,1E,U.S. Senate,,,"Bruce Jacobson, Jr.",14,9,5,0,0
Van Zandt,1E,U.S. Senate,,,Geraldine Sam,3,3,0,0,0
Van Zandt,1E,U.S. Senate,,,Ted Cruz,134,80,45,9,0
Van Zandt,1E,U.S. Senate,,,Stefano de Stefano,10,2,6,2,0
Van Zandt,1E,U.S. Senate,,,Mary Miller,10,7,2,0,1
Van Zandt,1E,U.S. House,5,,Bunni Pounds,21,11,6,4,0
Van Zandt,1E,U.S. House,5,,Charles Lingerfelt,1,1,0,0,0
Van Zandt,1E,U.S. House,5,,David Williams,3,2,1,0,0
Van Zandt,1E,U.S. House,5,,Danny Campbell,4,3,1,0,0
Van Zandt,1E,U.S. House,5,,Sam Deen,90,54,34,2,0
Van Zandt,1E,U.S. House,5,,Earl Brunner,1,1,0,0,0
Van Zandt,1E,U.S. House,5,,Kenneth Sheets,6,5,1,0,0
Van Zandt,1E,U.S. House,5,,Lance Gooden,37,17,14,5,1
Van Zandt,1E,U.S. House,5,,Jason Wright,3,2,1,0,0
Van Zandt,1E,Governor,,,SECEDE Kilgore,4,2,2,0,0
Van Zandt,1E,Governor,,,Barbara Krueger,20,11,9,0,0
Van Zandt,1E,Governor,,,Greg Abbott,144,89,46,8,1
Van Zandt,1E,Lieutenant Governor,,,Scott Milder,88,45,38,4,1
Van Zandt,1E,Lieutenant Governor,,,Dan Patrick,88,57,24,7,0
Van Zandt,1E,Attorney General,,,Ken Paxton,125,77,40,8,0
Van Zandt,1E,Comptroller of Public Accounts,,,Glenn Hegar,117,67,41,8,1
Van Zandt,1E,Commissioner of the General Land Office,,,Davey Edwards,5,5,0,0,0
Van Zandt,1E,Commissioner of the General Land Office,,,Rick Range,10,6,4,0,0
Van Zandt,1E,Commissioner of the General Land Office,,,Jerry Patterson,33,21,8,4,0
Van Zandt,1E,Commissioner of the General Land Office,,,George P. Bush,113,61,45,6,1
Van Zandt,1E,Commissioner of Agriculture,,,Trey Blocker,39,21,13,4,1
Van Zandt,1E,Commissioner of Agriculture,,,Sid Miller,81,48,27,6,0
Van Zandt,1E,Commissioner of Agriculture,,,Jim Hogan,25,16,9,0,0
Van Zandt,1E,Railroad Commissioner,,,Christi Craddick,99,55,38,5,1
Van Zandt,1E,Railroad Commissioner,,,Weston Martinez,40,26,9,5,0
Van Zandt,1E,State Senate,2,,Bob Hall,75,47,22,5,1
Van Zandt,1E,State Senate,2,,Cindy Burkett,98,51,41,6,0
Van Zandt,1E,State Representative,2,,Dan Flynn,96,51,39,6,0
Van Zandt,1E,State Representative,2,,Bryan Slaton,75,47,23,4,1
Van Zandt,2A,Ballots Cast,,,Total,1192,391,733,66,2
Van Zandt,2A,Ballots Cast,,REP,,1139,369,710,58,2
Van Zandt,2A,Ballots Cast,,DEM,,53,22,23,8,0
Van Zandt,2A,U.S. Senate,,,"Bruce Jacobson, Jr.",76,22,52,2,0
Van Zandt,2A,U.S. Senate,,,Geraldine Sam,17,4,13,0,0
Van Zandt,2A,U.S. Senate,,,Ted Cruz,876,296,530,49,1
Van Zandt,2A,U.S. Senate,,,Stefano de Stefano,34,7,25,2,0
Van Zandt,2A,U.S. Senate,,,Mary Miller,49,12,33,4,0
Van Zandt,2A,U.S. House,5,,Bunni Pounds,100,36,51,13,0
Van Zandt,2A,U.S. House,5,,Charles Lingerfelt,6,2,3,1,0
Van Zandt,2A,U.S. House,5,,David Williams,12,5,7,0,0
Van Zandt,2A,U.S. House,5,,Danny Campbell,9,1,8,0,0
Van Zandt,2A,U.S. House,5,,Sam Deen,826,259,528,37,2
Van Zandt,2A,U.S. House,5,,Earl Brunner,1,1,0,0,0
Van Zandt,2A,U.S. House,5,,Kenneth Sheets,18,10,6,2,0
Van Zandt,2A,U.S. House,5,,Lance Gooden,80,30,46,4,0
Van Zandt,2A,U.S. House,5,,Jason Wright,61,14,46,1,0
Van Zandt,2A,Governor,,,SECEDE Kilgore,15,6,9,0,0
Van Zandt,2A,Governor,,,Barbara Krueger,81,22,57,2,0
Van Zandt,2A,Governor,,,Greg Abbott,961,321,583,56,1
Van Zandt,2A,Lieutenant Governor,,,Scott Milder,369,101,252,15,1
Van Zandt,2A,Lieutenant Governor,,,Dan Patrick,702,243,416,42,1
Van Zandt,2A,Attorney General,,,Ken Paxton,860,286,520,53,1
Van Zandt,2A,Comptroller of Public Accounts,,,Glenn Hegar,759,239,471,48,1
Van Zandt,2A,Commissioner of the General Land Office,,,Davey Edwards,69,19,42,8,0
Van Zandt,2A,Commissioner of the General Land Office,,,Rick Range,92,18,72,2,0
Van Zandt,2A,Commissioner of the General Land Office,,,Jerry Patterson,249,87,142,20,0
Van Zandt,2A,Commissioner of the General Land Office,,,George P. Bush,573,185,360,27,1
Van Zandt,2A,Commissioner of Agriculture,,,Trey Blocker,170,45,117,8,0
Van Zandt,2A,Commissioner of Agriculture,,,Sid Miller,505,158,308,39,0
Van Zandt,2A,Commissioner of Agriculture,,,Jim Hogan,215,75,131,8,1
Van Zandt,2A,Railroad Commissioner,,,Christi Craddick,630,180,409,40,1
Van Zandt,2A,Railroad Commissioner,,,Weston Martinez,240,93,134,13,0
Van Zandt,2A,State Senate,2,,Bob Hall,561,193,332,35,1
Van Zandt,2A,State Senate,2,,Cindy Burkett,525,147,355,23,0
Van Zandt,2A,State Representative,2,,Dan Flynn,659,210,425,23,1
Van Zandt,2A,State Representative,2,,Bryan Slaton,433,140,257,35,1
Van Zandt,2B,Ballots Cast,,,Total,463,265,173,25,0
Van Zandt,2B,Ballots Cast,,REP,,429,241,166,22,0
Van Zandt,2B,Ballots Cast,,DEM,,34,24,7,3,0
Van Zandt,2B,U.S. Senate,,,"Bruce Jacobson, Jr.",17,5,11,1,0
Van Zandt,2B,U.S. Senate,,,Geraldine Sam,7,5,2,0,0
Van Zandt,2B,U.S. Senate,,,Ted Cruz,366,209,136,21,0
Van Zandt,2B,U.S. Senate,,,Stefano de Stefano,12,6,6,0,0
Van Zandt,2B,U.S. Senate,,,Mary Miller,5,4,1,0,0
Van Zandt,2B,U.S. House,5,,Bunni Pounds,71,51,19,1,0
Van Zandt,2B,U.S. House,5,,Charles Lingerfelt,7,4,1,2,0
Van Zandt,2B,U.S. House,5,,David Williams,6,2,3,1,0
Van Zandt,2B,U.S. House,5,,Danny Campbell,4,2,2,0,0
Van Zandt,2B,U.S. House,5,,Sam Deen,194,106,82,6,0
Van Zandt,2B,U.S. House,5,,Earl Brunner,1,1,0,0,0
Van Zandt,2B,U.S. House,5,,Kenneth Sheets,8,6,2,0,0
Van Zandt,2B,U.S. House,5,,Lance Gooden,73,34,32,7,0
Van Zandt,2B,U.S. House,5,,Jason Wright,47,27,19,1,0
Van Zandt,2B,Governor,,,SECEDE Kilgore,6,2,4,0,0
Van Zandt,2B,Governor,,,Barbara Krueger,15,9,6,0,0
Van Zandt,2B,Governor,,,Greg Abbott,382,217,143,22,0
Van Zandt,2B,Lieutenant Governor,,,Scott Milder,106,59,45,2,0
Van Zandt,2B,Lieutenant Governor,,,Dan Patrick,299,170,112,17,0
Van Zandt,2B,Attorney General,,,Ken Paxton,345,192,133,20,0
Van Zandt,2B,Comptroller of Public Accounts,,,Glenn Hegar,315,175,121,19,0
Van Zandt,2B,Commissioner of the General Land Office,,,Davey Edwards,39,24,15,0,0
Van Zandt,2B,Commissioner of the General Land Office,,,Rick Range,45,21,23,1,0
Van Zandt,2B,Commissioner of the General Land Office,,,Jerry Patterson,97,62,33,2,0
Van Zandt,2B,Commissioner of the General Land Office,,,George P. Bush,198,104,78,16,0
Van Zandt,2B,Commissioner of Agriculture,,,Trey Blocker,73,47,22,4,0
Van Zandt,2B,Commissioner of Agriculture,,,Sid Miller,190,99,84,7,0
Van Zandt,2B,Commissioner of Agriculture,,,Jim Hogan,73,44,27,2,0
Van Zandt,2B,Railroad Commissioner,,,Christi Craddick,248,136,98,14,0
Van Zandt,2B,Railroad Commissioner,,,Weston Martinez,95,55,39,1,0
Van Zandt,2B,State Senate,2,,Bob Hall,228,137,79,12,0
Van Zandt,2B,State Senate,2,,Cindy Burkett,189,95,84,10,0
Van Zandt,2B,State Representative,2,,Dan Flynn,227,120,95,12,0
Van Zandt,2B,State Representative,2,,Bryan Slaton,180,108,64,8,0
Van Zandt,2C,Ballots Cast,,,Total,548,357,160,30,1
Van Zandt,2C,Ballots Cast,,REP,,523,344,150,28,1
Van Zandt,2C,Ballots Cast,,DEM,,25,13,10,2,0
Van Zandt,2C,U.S. Senate,,,"Bruce Jacobson, Jr.",24,13,9,2,0
Van Zandt,2C,U.S. Senate,,,Geraldine Sam,13,11,2,0,0
Van Zandt,2C,U.S. Senate,,,Ted Cruz,444,299,121,23,1
Van Zandt,2C,U.S. Senate,,,Stefano de Stefano,6,2,4,0,0
Van Zandt,2C,U.S. Senate,,,Mary Miller,20,9,8,3,0
Van Zandt,2C,U.S. House,5,,Bunni Pounds,87,55,19,13,0
Van Zandt,2C,U.S. House,5,,Charles Lingerfelt,2,1,1,0,0
Van Zandt,2C,U.S. House,5,,David Williams,10,9,1,0,0
Van Zandt,2C,U.S. House,5,,Danny Campbell,16,11,5,0,0
Van Zandt,2C,U.S. House,5,,Sam Deen,215,141,72,2,0
Van Zandt,2C,U.S. House,5,,Earl Brunner,1,0,0,1,0
Van Zandt,2C,U.S. House,5,,Kenneth Sheets,14,8,6,0,0
Van Zandt,2C,U.S. House,5,,Lance Gooden,122,82,29,11,0
Van Zandt,2C,U.S. House,5,,Jason Wright,39,24,14,1,0
Van Zandt,2C,Governor,,,SECEDE Kilgore,5,3,2,0,0
Van Zandt,2C,Governor,,,Barbara Krueger,32,18,13,1,0
Van Zandt,2C,Governor,,,Greg Abbott,465,310,129,25,1
Van Zandt,2C,Lieutenant Governor,,,Scott Milder,126,77,43,6,0
Van Zandt,2C,Lieutenant Governor,,,Dan Patrick,385,259,103,22,1
Van Zandt,2C,Attorney General,,,Ken Paxton,428,279,125,24,0
Van Zandt,2C,Comptroller of Public Accounts,,,Glenn Hegar,384,249,113,22,0
Van Zandt,2C,Commissioner of the General Land Office,,,Davey Edwards,35,28,6,1,0
Van Zandt,2C,Commissioner of the General Land Office,,,Rick Range,41,27,13,1,0
Van Zandt,2C,Commissioner of the General Land Office,,,Jerry Patterson,100,65,29,6,0
Van Zandt,2C,Commissioner of the General Land Office,,,George P. Bush,298,193,86,19,0
Van Zandt,2C,Commissioner of Agriculture,,,Trey Blocker,87,56,25,6,0
Van Zandt,2C,Commissioner of Agriculture,,,Sid Miller,265,178,72,15,0
Van Zandt,2C,Commissioner of Agriculture,,,Jim Hogan,89,62,24,3,0
Van Zandt,2C,Railroad Commissioner,,,Christi Craddick,322,199,101,22,0
Van Zandt,2C,Railroad Commissioner,,,Weston Martinez,108,83,21,4,0
Van Zandt,2C,State Senate,2,,Bob Hall,299,206,78,15,0
Van Zandt,2C,State Senate,2,,Cindy Burkett,199,116,70,13,0
Van Zandt,2C,State Representative,2,,Dan Flynn,255,171,67,16,1
Van Zandt,2C,State Representative,2,,Bryan Slaton,244,157,75,12,0
Van Zandt,2D,Ballots Cast,,,Total,569,252,279,38,0
Van Zandt,2D,Ballots Cast,,REP,,529,225,270,34,0
Van Zandt,2D,Ballots Cast,,DEM,,40,27,9,4,0
Van Zandt,2D,U.S. Senate,,,"Bruce Jacobson, Jr.",25,5,17,3,0
Van Zandt,2D,U.S. Senate,,,Geraldine Sam,10,4,6,0,0
Van Zandt,2D,U.S. Senate,,,Ted Cruz,428,182,215,31,0
Van Zandt,2D,U.S. Senate,,,Stefano de Stefano,10,5,5,0,0
Van Zandt,2D,U.S. Senate,,,Mary Miller,32,20,12,0,0
Van Zandt,2D,U.S. House,5,,Bunni Pounds,88,21,59,8,0
Van Zandt,2D,U.S. House,5,,Charles Lingerfelt,3,3,0,0,0
Van Zandt,2D,U.S. House,5,,David Williams,7,6,1,0,0
Van Zandt,2D,U.S. House,5,,Danny Campbell,2,0,2,0,0
Van Zandt,2D,U.S. House,5,,Sam Deen,309,131,164,14,0
Van Zandt,2D,U.S. House,5,,Earl Brunner,0,0,0,0,0
Van Zandt,2D,U.S. House,5,,Kenneth Sheets,5,1,4,0,0
Van Zandt,2D,U.S. House,5,,Lance Gooden,52,27,18,7,0
Van Zandt,2D,U.S. House,5,,Jason Wright,48,24,21,3,0
Van Zandt,2D,Governor,,,SECEDE Kilgore,7,3,4,0,0
Van Zandt,2D,Governor,,,Barbara Krueger,37,18,19,0,0
Van Zandt,2D,Governor,,,Greg Abbott,462,197,231,34,0
Van Zandt,2D,Lieutenant Governor,,,Scott Milder,130,47,83,0,0
Van Zandt,2D,Lieutenant Governor,,,Dan Patrick,371,165,173,33,0
Van Zandt,2D,Attorney General,,,Ken Paxton,415,179,204,32,0
Van Zandt,2D,Comptroller of Public Accounts,,,Glenn Hegar,374,163,185,26,0
Van Zandt,2D,Commissioner of the General Land Office,,,Davey Edwards,50,18,32,0,0
Van Zandt,2D,Commissioner of the General Land Office,,,Rick Range,35,16,19,0,0
Van Zandt,2D,Commissioner of the General Land Office,,,Jerry Patterson,111,38,66,7,0
Van Zandt,2D,Commissioner of the General Land Office,,,George P. Bush,286,132,130,24,0
Van Zandt,2D,Commissioner of Agriculture,,,Trey Blocker,79,31,38,10,0
Van Zandt,2D,Commissioner of Agriculture,,,Sid Miller,262,104,138,20,0
Van Zandt,2D,Commissioner of Agriculture,,,Jim Hogan,87,39,47,1,0
Van Zandt,2D,Railroad Commissioner,,,Christi Craddick,312,129,162,21,0
Van Zandt,2D,Railroad Commissioner,,,Weston Martinez,106,40,58,8,0
Van Zandt,2D,State Senate,2,,Bob Hall,289,129,136,24,0
Van Zandt,2D,State Senate,2,,Cindy Burkett,212,83,119,10,0
Van Zandt,2D,State Representative,2,,Dan Flynn,285,116,156,13,0
Van Zandt,2D,State Representative,2,,Bryan Slaton,223,97,105,21,0
Van Zandt,3A,Ballots Cast,,,Total,353,118,218,16,1
Van Zandt,3A,Ballots Cast,,REP,,338,107,214,16,1
Van Zandt,3A,Ballots Cast,,DEM,,15,11,4,0,0
Van Zandt,3A,U.S. Senate,,,"Bruce Jacobson, Jr.",24,6,18,0,0
Van Zandt,3A,U.S. Senate,,,Geraldine Sam,1,1,0,0,0
Van Zandt,3A,U.S. Senate,,,Ted Cruz,262,87,162,13,0
Van Zandt,3A,U.S. Senate,,,Stefano de Stefano,5,2,1,2,0
Van Zandt,3A,U.S. Senate,,,Mary Miller,20,7,13,0,0
Van Zandt,3A,U.S. House,5,,Bunni Pounds,42,16,26,0,0
Van Zandt,3A,U.S. House,5,,Charles Lingerfelt,2,0,2,0,0
Van Zandt,3A,U.S. House,5,,David Williams,2,0,2,0,0
Van Zandt,3A,U.S. House,5,,Danny Campbell,2,1,1,0,0
Van Zandt,3A,U.S. House,5,,Sam Deen,217,66,140,10,1
Van Zandt,3A,U.S. House,5,,Earl Brunner,1,1,0,0,0
Van Zandt,3A,U.S. House,5,,Kenneth Sheets,10,5,3,2,0
Van Zandt,3A,U.S. House,5,,Lance Gooden,29,8,18,3,0
Van Zandt,3A,U.S. House,5,,Jason Wright,21,7,14,0,0
Van Zandt,3A,Governor,,,SECEDE Kilgore,1,1,0,0,0
Van Zandt,3A,Governor,,,Barbara Krueger,29,8,19,2,0
Van Zandt,3A,Governor,,,Greg Abbott,286,93,180,13,0
Van Zandt,3A,Lieutenant Governor,,,Scott Milder,108,27,77,3,1
Van Zandt,3A,Lieutenant Governor,,,Dan Patrick,215,79,123,13,0
Van Zandt,3A,Attorney General,,,Ken Paxton,270,91,166,13,0
Van Zandt,3A,Comptroller of Public Accounts,,,Glenn Hegar,252,85,154,13,0
Van Zandt,3A,Commissioner of the General Land Office,,,Davey Edwards,32,10,20,2,0
Van Zandt,3A,Commissioner of the General Land Office,,,Rick Range,27,7,19,1,0
Van Zandt,3A,Commissioner of the General Land Office,,,Jerry Patterson,92,33,57,2,0
Van Zandt,3A,Commissioner of the General Land Office,,,George P. Bush,143,46,89,8,0
Van Zandt,3A,Commissioner of Agriculture,,,Trey Blocker,50,19,27,4,0
Van Zandt,3A,Commissioner of Agriculture,,,Sid Miller,168,54,107,7,0
