county,precinct,office,district,party,candidate,votes,election_day,election_day_paper,early_voting,absentee
El Paso,2,Governor,,DEM,Adrian Ocegueda,34,19,0,13,2
El Paso,2,Governor,,DEM,Jeffrey Payne,10,5,0,4,1
El Paso,2,Governor,,DEM,James Jolly Clark,8,4,0,3,1
El Paso,2,Governor,,DEM,Joe Mumbach,6,4,0,2,0
El Paso,2,Governor,,DEM,Grady Yarbrough,5,0,0,5,0
El Paso,2,Governor,,DEM,Cedric Davis Sr,3,1,0,2,0
El Paso,2,Governor,,DEM,Andrew White,23,10,0,12,1
El Paso,2,Governor,,DEM,Tom Wakely,5,3,0,2,0
El Paso,2,Lieutenant Governor,,DEM,Michael Cooper,127,59,0,61,7
El Paso,2,Lieutenant Governor,,DEM,Mike Collier,63,25,0,34,4
El Paso,2,Attorney General,,DEM,Justin Nelson,167,72,0,86,9
El Paso,2,Comptroller Of Public Accounts,,DEM,Joi Chevalier,88,36,0,48,4
El Paso,2,Comptroller Of Public Accounts,,DEM,Tim Mahoney,95,44,0,45,6
El Paso,2,Commissioner Of General Land Office,,DEM,Miguel Suazo,152,68,0,77,7
El Paso,2,Commissioner Of General Land Office,,DEM,Tex Morgan,40,14,0,23,3
El Paso,2,Commissioner Of Agriculture,,DEM,Kim Olson,162,70,0,82,10
El Paso,2,Railroad Commissioner,,DEM,Roman Mcallen,120,53,0,60,7
El Paso,2,Railroad Commissioner,,DEM,Chris Spellmon,59,22,0,34,3
El Paso,2,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,152,65,0,77,10
El Paso,2,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,152,66,0,76,10
El Paso,2,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,148,64,0,74,10
El Paso,2,"Presiding Judge, Court Of Criminal Appeals",,DEM,Maria T. (Terry) Jackson,160,68,0,82,10
El Paso,2,"Judge, Court Of Criminal Appeals, Place 7",,DEM,Ramona Franklin,163,68,0,85,10
El Paso,2,State Representative,78,DEM,Joe Moody,177,73,0,93,11
El Paso,2,"Justice, 8th Court Of Appeals District, Place 2",,DEM,Yvonne Rodriguez,161,67,0,83,11
El Paso,2,"Justice, 8th Court Of Appeals District, Place 3",,DEM,Gina M Palafox,157,65,0,82,10
El Paso,2,District Judge 120th Judicial District,,DEM,Maria Salas Mendoza,157,67,0,80,10
El Paso,2,District Judge 168th Judicial District,,DEM,Marcos Lizarraga,152,62,0,81,9
El Paso,2,District Judge 171st Judicial District,,DEM,Bonnie Rangel,153,63,0,80,10
El Paso,2,District Judge 205th Judicial District,,DEM,Francisco X Domingue,151,62,0,80,9
El Paso,2,District Judge 210th Judicial District,,DEM,Alyssa G Perez,119,48,0,65,6
El Paso,2,District Judge 210th Judicial District,,DEM,Monique Velarde,70,33,0,32,5
El Paso,2,District Judge 243rd Judicial District,,DEM,Selena Solis,97,42,0,46,9
El Paso,2,District Judge 243rd Judicial District,,DEM,Feliciano Felix Cast,32,14,0,18,0
El Paso,2,District Judge 243rd Judicial District,,DEM,Roberto J Ramos,35,14,0,21,0
El Paso,2,District Judge 243rd Judicial District,,DEM,Luis Aguilar,35,16,0,17,2
El Paso,2,District Judge 327th Judicial District,,DEM,Linda Yee Chew,155,65,0,82,8
El Paso,2,El Paso County Judge,,DEM,Ricardo Samaniego,73,33,0,37,3
El Paso,2,El Paso County Judge,,DEM,John Cook,82,37,0,43,2
El Paso,2,El Paso County Judge,,DEM,Laura Enriquez,62,29,0,27,6
El Paso,2,Judge County Court At Law 1,,DEM,Ruth Reyes,119,46,0,65,8
El Paso,2,Judge County Court At Law 1,,DEM,Ruben Nunez,83,44,0,36,3
El Paso,2,Judge County Court At Law 2,,DEM,Julie Gonzalez,158,66,0,82,10
El Paso,2,Judge County Court At Law 3,,DEM,Javier Alvarez,158,67,0,82,9
El Paso,2,Judge County Court At Law 4,,DEM,Alex Gonzalez,148,64,0,75,9
El Paso,2,Judge County Court At Law 5,,DEM,Kristin Raquel Romer,54,26,0,22,6
El Paso,2,Judge County Court At Law 5,,DEM,Jesus Rodriguez,76,35,0,38,3
El Paso,2,Judge County Court At Law 5,,DEM,Mike Herrera,46,16,0,29,1
El Paso,2,Judge County Court At Law 5,,DEM,Danny Razo,25,12,0,13,0
El Paso,2,Judge County Court At Law 6,,DEM,M Sue Kurita,154,67,0,77,10
El Paso,2,Judge County Court At Law 7,,DEM,Patsy Lopez,97,37,0,53,7
El Paso,2,Judge County Court At Law 7,,DEM,Ruben Morales,99,49,0,47,3
El Paso,2,Judge County Criminal Court 1,,DEM,Alma Trejo,159,66,0,83,10
El Paso,2,Judge County Criminal Court 2,,DEM,Robert S Anchondo,151,67,0,76,8
El Paso,2,Judge County Probate Court 1,,DEM,Patricia B Chew,138,61,0,71,6
El Paso,2,Judge County Probate Court 1,,DEM,Darron Powell,61,28,0,29,4
El Paso,2,Judge County Probate Court 2,,DEM,Eduardo A Gamboa,158,68,0,81,9
El Paso,2,District Clerk,,DEM,Norma Favela Barcele,154,66,0,80,8
El Paso,2,County Clerk,,DEM,Delia Briones,169,70,0,89,10
El Paso,2,County Commissioner 4,,DEM,Carl L Robinson,149,63,0,77,9
El Paso,2,Justice Of The Peace 7,,DEM,Stephanie Frietze,152,68,0,76,8
El Paso,2,Justice Of The Peace 7,,DEM,James W Wolff,43,19,0,22,2
El Paso,2,County Chairman,,DEM,Iliana Holguin,169,71,0,88,10
El Paso,2,Referendum 1,,DEM,For (A Favor),216,91,0,116,9
El Paso,2,Referendum 1,,DEM,Against (En Contra),9,6,0,2,1
El Paso,2,Referendum 2,,DEM,For (A Favor),208,86,0,112,10
El Paso,2,Referendum 2,,DEM,Against (En Contra),12,7,0,4,1
El Paso,2,Referendum 3,,DEM,For (A Favor),209,84,0,115,10
El Paso,2,Referendum 3,,DEM,Against (En Contra),16,11,0,4,1
El Paso,2,Referendum 4,,DEM,For (A Favor),216,91,0,115,10
El Paso,2,Referendum 4,,DEM,Against (En Contra),10,5,0,4,1
El Paso,2,Referendum 5,,DEM,For (A Favor),199,84,0,105,10
El Paso,2,Referendum 5,,DEM,Against (En Contra),20,10,0,9,1
El Paso,2,Referendum 6,,DEM,For (A Favor),214,90,0,114,10
El Paso,2,Referendum 6,,DEM,Against (En Contra),13,7,0,5,1
El Paso,2,Referendum 7,,DEM,For (A Favor),213,88,0,115,10
El Paso,2,Referendum 7,,DEM,Against (En Contra),11,7,0,3,1
El Paso,2,Referendum 8,,DEM,For (A Favor),204,87,0,107,10
El Paso,2,Referendum 8,,DEM,Against (En Contra),23,10,0,11,2
El Paso,2,Referendum 9,,DEM,For (A Favor),199,81,0,107,11
El Paso,2,Referendum 9,,DEM,Against (En Contra),26,13,0,12,1
El Paso,2,Referendum 10,,DEM,For (A Favor),212,85,0,117,10
El Paso,2,Referendum 10,,DEM,Against (En Contra),12,9,0,2,1
El Paso,2,Referendum 11,,DEM,For (A Favor),207,84,0,112,11
El Paso,2,Referendum 11,,DEM,Against (En Contra),18,11,0,6,1
El Paso,2,Referendum 12,,DEM,For (A Favor),212,84,0,116,12
El Paso,2,Referendum 12,,DEM,Against (En Contra),9,8,0,1,0
El Paso,3,U.S. Senate,,REP,Mary Miller,5,2,0,3,0
El Paso,3,U.S. Senate,,REP,Stefano De Stefano,3,1,0,2,0
El Paso,3,U.S. Senate,,REP,Ted Cruz,71,29,0,37,5
El Paso,3,U.S. Senate,,REP,Geraldine Sam,2,1,0,1,0
El Paso,3,U.S. Senate,,REP,Bruce Jacobson Jr,3,1,0,2,0
El Paso,3,U.S. House,16,REP,Alia Garcia-Ureste,34,12,0,22,0
El Paso,3,U.S. House,16,REP,Rick Seeberger,49,22,0,22,5
El Paso,3,Governor,,REP,Greg Abbott,72,32,0,35,5
El Paso,3,Governor,,REP,Barbara Krueger,11,1,0,10,0
El Paso,3,Governor,,REP,Secede Kilgore,2,1,0,1,0
El Paso,3,Lieutenant Governor,,REP,Dan Patrick,59,25,0,29,5
El Paso,3,Lieutenant Governor,,REP,Scott Milder,22,9,0,13,0
El Paso,3,Attorney General,,REP,Ken Paxton,75,32,0,40,3
El Paso,3,Comptroller Of Public Accounts,,REP,Glenn Hegar,74,32,0,39,3
El Paso,3,Commissioner Of General Land Office,,REP,Jerry Patterson,19,7,0,12,0
El Paso,3,Commissioner Of General Land Office,,REP,Rick Range,8,3,0,3,2
El Paso,3,Commissioner Of General Land Office,,REP,Davey Edwards,8,3,0,5,0
El Paso,3,Commissioner Of General Land Office,,REP,George P Bush,46,20,0,23,3
El Paso,3,Commissioner Of Agriculture,,REP,Trey Blocker,26,12,0,13,1
El Paso,3,Commissioner Of Agriculture,,REP,Jim Hogan,29,11,0,17,1
El Paso,3,Commissioner Of Agriculture,,REP,Sid Miller,24,9,0,12,3
El Paso,3,Railroad Commissioner,,REP,Christi Craddick,48,21,0,23,4
El Paso,3,Railroad Commissioner,,REP,Weston Martinez,30,12,0,17,1
El Paso,3,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,72,32,0,37,3
El Paso,3,"Justice, Supreme Court, Place 4",,REP,John Devine,73,32,0,38,3
El Paso,3,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,72,32,0,37,3
El Paso,3,"Presiding Judge, Court Of Criminal Appeals",,REP,Sharon Keller,42,20,0,19,3
El Paso,3,"Presiding Judge, Court Of Criminal Appeals",,REP,David Bridges,32,13,0,18,1
El Paso,3,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara Parker Herve,71,31,0,37,3
El Paso,3,"Judge, Court Of Criminal Appeals, Place 8",,REP,Jay Brandon,35,15,0,20,0
