county,precinct,office,district,party,candidate,election_day,early_voting,mail,provisional,total
Wilson,103,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,103,President,,D,Tom Steyer ,0,1,0,0,1
Wilson,103,President,,D,Tulsi Gabbard ,1,0,0,0,1
Wilson,103,President,,D,Michael R. Bloomberg ,22,6,10,0,38
Wilson,103,President,,D,Robby Wells ,0,0,0,0,0
Wilson,103,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,103,President,,D,Pete Buttigieg ,0,6,0,0,6
Wilson,103,President,,D,Amy Klobuchar ,0,0,0,0,0
Wilson,103,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,103,President,,R,R DeLa Fuente Guerra ,1,0,0,0,1
Wilson,103,President,,R,Bill Weld ,1,0,1,0,2
Wilson,103,President,,R,Matthew John Matern ,0,0,0,0,0
Wilson,103,President,,R,Joe Walsh ,0,2,0,0,2
Wilson,103,President,,R,Bob Ely ,1,0,0,0,1
Wilson,103,President,,R,Donald J. Trump ,155,111,9,0,275
Wilson,103,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,103,President,,R,Uncommitted ,7,5,0,0,12
Wilson,104,President,,D,Bernie Sanders ,13,3,0,0,16
Wilson,104,President,,D,Michael Bennet ,0,0,0,0,0
Wilson,104,President,,D,Juli·n Castro ,0,1,0,0,1
Wilson,104,President,,D,Joseph R. Biden ,28,2,1,0,31
Wilson,104,President,,D,Cory Booker ,0,0,1,0,1
Wilson,104,President,,D,Elizabeth Warren ,4,6,0,0,10
Wilson,104,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,104,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,104,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,104,President,,D,Tom Steyer ,1,0,0,0,1
Wilson,104,President,,D,Tulsi Gabbard ,0,0,0,0,0
Wilson,104,President,,D,Michael R. Bloomberg ,9,4,3,0,16
Wilson,104,President,,D,Robby Wells ,0,0,0,0,0
Wilson,104,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,104,President,,D,Pete Buttigieg ,0,2,0,0,2
Wilson,104,President,,D,Amy Klobuchar ,0,0,1,0,1
Wilson,104,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,104,President,,R,R DeLa Fuente Guerra ,0,0,0,0,0
Wilson,104,President,,R,Bill Weld ,0,1,0,0,1
Wilson,104,President,,R,Matthew John Matern ,0,0,0,0,0
Wilson,104,President,,R,Joe Walsh ,0,1,0,0,1
Wilson,104,President,,R,Bob Ely ,2,1,0,0,3
Wilson,104,President,,R,Donald J. Trump ,132,104,2,0,238
Wilson,104,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,104,President,,R,Uncommitted ,5,5,0,0,10
Wilson,205,President,,D,Bernie Sanders ,20,7,5,0,32
Wilson,205,President,,D,Michael Bennet ,0,0,0,0,0
Wilson,205,President,,D,Juli·n Castro ,5,1,0,0,6
Wilson,205,President,,D,Joseph R. Biden ,42,6,6,0,54
Wilson,205,President,,D,Cory Booker ,0,0,0,0,0
Wilson,205,President,,D,Elizabeth Warren ,8,1,0,0,9
Wilson,205,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,205,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,205,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,205,President,,D,Tom Steyer ,2,1,0,0,3
Wilson,205,President,,D,Tulsi Gabbard ,0,0,0,0,0
Wilson,205,President,,D,Michael R. Bloomberg ,7,7,7,0,21
Wilson,205,President,,D,Robby Wells ,0,0,0,0,0
Wilson,205,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,205,President,,D,Pete Buttigieg ,0,2,0,0,2
Wilson,205,President,,D,Amy Klobuchar ,0,1,0,0,1
Wilson,205,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,205,President,,R,R DeLa Fuente Guerra ,0,1,0,0,1
Wilson,205,President,,R,Bill Weld ,2,0,0,0,2
Wilson,205,President,,R,Matthew John Matern ,0,0,0,0,0
Wilson,205,President,,R,Joe Walsh ,0,1,0,0,1
Wilson,205,President,,R,Bob Ely ,1,0,0,0,1
Wilson,205,President,,R,Donald J. Trump ,282,101,5,0,388
Wilson,205,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,205,President,,R,Uncommitted ,4,0,0,0,4
Wilson,206,President,,D,Bernie Sanders ,22,28,8,0,58
Wilson,206,President,,D,Michael Bennet ,1,0,0,0,1
Wilson,206,President,,D,Juli·n Castro ,1,6,7,0,14
Wilson,206,President,,D,Joseph R. Biden ,51,21,17,0,89
Wilson,206,President,,D,Cory Booker ,0,0,0,0,0
Wilson,206,President,,D,Elizabeth Warren ,15,7,3,0,25
Wilson,206,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,206,President,,D,John K. Delaney ,0,0,1,0,1
Wilson,206,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,206,President,,D,Tom Steyer ,1,1,1,0,3
Wilson,206,President,,D,Tulsi Gabbard ,0,0,1,0,1
Wilson,206,President,,D,Michael R. Bloomberg ,10,25,12,0,47
Wilson,206,President,,D,Robby Wells ,0,0,0,0,0
Wilson,206,President,,D,Roque De La Fuente ,0,1,0,0,1
Wilson,206,President,,D,Pete Buttigieg ,0,5,2,0,7
Wilson,206,President,,D,Amy Klobuchar ,0,3,1,0,4
Wilson,206,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,206,President,,R,R DeLa Fuente Guerra ,6,1,0,0,7
Wilson,206,President,,R,Bill Weld ,0,6,0,0,6
Wilson,206,President,,R,Matthew John Matern ,0,0,0,0,0
Wilson,206,President,,R,Joe Walsh ,4,1,0,0,5
Wilson,206,President,,R,Bob Ely ,2,0,0,0,2
Wilson,206,President,,R,Donald J. Trump ,179,263,11,0,453
Wilson,206,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,206,President,,R,Uncommitted ,7,17,1,0,25
Wilson,207,President,,D,Bernie Sanders ,17,22,2,0,41
Wilson,207,President,,D,Michael Bennet ,1,0,0,0,1
Wilson,207,President,,D,Juli·n Castro ,0,0,0,0,0
Wilson,207,President,,D,Joseph R. Biden ,42,17,7,0,66
Wilson,207,President,,D,Cory Booker ,0,0,0,0,0
Wilson,207,President,,D,Elizabeth Warren ,11,4,1,0,16
Wilson,207,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,207,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,207,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,207,President,,D,Tom Steyer ,0,3,0,0,3
Wilson,207,President,,D,Tulsi Gabbard ,0,0,0,0,0
Wilson,207,President,,D,Michael R. Bloomberg ,9,19,3,0,31
Wilson,207,President,,D,Robby Wells ,0,0,0,0,0
Wilson,207,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,207,President,,D,Pete Buttigieg ,0,4,3,0,7
Wilson,207,President,,D,Amy Klobuchar ,0,8,0,0,8
Wilson,207,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,207,President,,R,R DeLa Fuente Guerra ,3,1,0,0,4
Wilson,207,President,,R,Bill Weld ,0,1,0,0,1
Wilson,207,President,,R,Matthew John Matern ,0,1,0,0,1
Wilson,207,President,,R,Joe Walsh ,1,1,0,0,2
Wilson,207,President,,R,Bob Ely ,1,0,0,0,1
Wilson,207,President,,R,Donald J. Trump ,201,247,7,0,455
Wilson,207,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,207,President,,R,Uncommitted ,11,5,0,0,16
Wilson,208,President,,D,Bernie Sanders ,5,6,0,0,11
Wilson,208,President,,D,Michael Bennet ,0,1,0,0,1
Wilson,208,President,,D,Juli·n Castro ,0,0,0,0,0
Wilson,208,President,,D,Joseph R. Biden ,8,0,0,0,8
Wilson,208,President,,D,Cory Booker ,0,0,0,0,0
Wilson,208,President,,D,Elizabeth Warren ,2,0,0,0,2
Wilson,208,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,208,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,208,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,208,President,,D,Tom Steyer ,0,0,0,0,0
Wilson,208,President,,D,Tulsi Gabbard ,0,0,0,0,0
Wilson,208,President,,D,Michael R. Bloomberg ,4,1,2,0,7
Wilson,208,President,,D,Robby Wells ,0,0,0,0,0
Wilson,208,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,208,President,,D,Pete Buttigieg ,0,1,0,0,1
Wilson,208,President,,D,Amy Klobuchar ,0,0,0,0,0
Wilson,208,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,208,President,,R,R DeLa Fuente Guerra ,1,0,0,0,1
Wilson,208,President,,R,Bill Weld ,0,0,0,0,0
Wilson,208,President,,R,Matthew John Matern ,0,0,0,0,0
Wilson,208,President,,R,Joe Walsh ,0,0,0,0,0
Wilson,208,President,,R,Bob Ely ,0,0,0,0,0
Wilson,208,President,,R,Donald J. Trump ,143,53,2,0,198
Wilson,208,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,208,President,,R,Uncommitted ,5,0,0,0,5
Wilson,209,President,,D,Bernie Sanders ,2,0,0,0,2
Wilson,209,President,,D,Michael Bennet ,0,0,0,0,0
Wilson,209,President,,D,Juli·n Castro ,0,0,0,0,0
Wilson,209,President,,D,Joseph R. Biden ,6,1,0,0,7
Wilson,209,President,,D,Cory Booker ,0,0,0,0,0
Wilson,209,President,,D,Elizabeth Warren ,0,0,0,0,0
Wilson,209,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,209,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,209,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,209,President,,D,Tom Steyer ,0,0,0,0,0
Wilson,209,President,,D,Tulsi Gabbard ,0,0,0,0,0
Wilson,209,President,,D,Michael R. Bloomberg ,0,1,0,0,1
Wilson,209,President,,D,Robby Wells ,0,0,0,0,0
Wilson,209,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,209,President,,D,Pete Buttigieg ,0,1,1,0,2
Wilson,209,President,,D,Amy Klobuchar ,0,0,0,0,0
Wilson,209,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,209,President,,R,R DeLa Fuente Guerra ,0,0,0,0,0
Wilson,209,President,,R,Bill Weld ,0,0,0,0,0
Wilson,209,President,,R,Matthew John Matern ,0,0,0,0,0
Wilson,209,President,,R,Joe Walsh ,0,0,0,0,0
Wilson,209,President,,R,Bob Ely ,0,0,0,0,0
Wilson,209,President,,R,Donald J. Trump ,146,28,1,0,175
Wilson,209,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,209,President,,R,Uncommitted ,5,0,0,0,5
Wilson,310,President,,D,Bernie Sanders ,3,1,2,0,6
Wilson,310,President,,D,Michael Bennet ,0,0,0,0,0
Wilson,310,President,,D,Juli·n Castro ,2,0,0,0,2
Wilson,310,President,,D,Joseph R. Biden ,7,4,2,0,13
Wilson,310,President,,D,Cory Booker ,0,0,0,0,0
Wilson,310,President,,D,Elizabeth Warren ,2,0,0,0,2
Wilson,310,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,310,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,310,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,310,President,,D,Tom Steyer ,0,0,0,0,0
Wilson,310,President,,D,Tulsi Gabbard ,0,1,0,0,1
Wilson,310,President,,D,Michael R. Bloomberg ,1,4,0,0,5
Wilson,310,President,,D,Robby Wells ,0,0,0,0,0
Wilson,310,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,310,President,,D,Pete Buttigieg ,0,0,0,0,0
Wilson,310,President,,D,Amy Klobuchar ,0,0,1,0,1
Wilson,310,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,310,President,,R,R DeLa Fuente Guerra ,0,2,0,0,2
Wilson,310,President,,R,Bill Weld ,0,1,0,0,1
Wilson,310,President,,R,Matthew John Matern ,0,1,0,0,1
Wilson,310,President,,R,Joe Walsh ,0,0,0,0,0
Wilson,310,President,,R,Bob Ely ,0,0,0,0,0
Wilson,310,President,,R,Donald J. Trump ,58,124,2,0,184
Wilson,310,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,310,President,,R,Uncommitted ,2,1,0,0,3
Wilson,311,President,,D,Bernie Sanders ,14,4,0,0,18
Wilson,311,President,,D,Michael Bennet ,0,0,0,0,0
Wilson,311,President,,D,Juli·n Castro ,0,0,0,0,0
Wilson,311,President,,D,Joseph R. Biden ,9,12,4,0,25
Wilson,311,President,,D,Cory Booker ,0,0,0,0,0
Wilson,311,President,,D,Elizabeth Warren ,5,5,0,0,10
Wilson,311,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,311,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,311,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,311,President,,D,Tom Steyer ,1,0,0,0,1
Wilson,311,President,,D,Tulsi Gabbard ,1,0,0,0,1
Wilson,311,President,,D,Michael R. Bloomberg ,7,1,4,0,12
Wilson,311,President,,D,Robby Wells ,0,0,0,0,0
Wilson,311,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,311,President,,D,Pete Buttigieg ,0,4,1,0,5
Wilson,311,President,,D,Amy Klobuchar ,0,4,1,0,5
Wilson,311,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,311,President,,R,R DeLa Fuente Guerra ,0,0,0,0,0
Wilson,311,President,,R,Bill Weld ,2,0,0,0,2
Wilson,311,President,,R,Matthew John Matern ,0,0,0,0,0
Wilson,311,President,,R,Joe Walsh ,0,2,0,0,2
Wilson,311,President,,R,Bob Ely ,1,1,0,0,2
Wilson,311,President,,R,Donald J. Trump ,200,230,17,0,447
Wilson,311,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,311,President,,R,Uncommitted ,6,2,2,0,10
Wilson,312,President,,D,Bernie Sanders ,21,14,0,0,35
Wilson,312,President,,D,Michael Bennet ,0,0,0,0,0
Wilson,312,President,,D,Juli·n Castro ,0,0,0,0,0
Wilson,312,President,,D,Joseph R. Biden ,25,10,1,0,36
Wilson,312,President,,D,Cory Booker ,0,0,0,0,0
Wilson,312,President,,D,Elizabeth Warren ,5,3,0,0,8
Wilson,312,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,312,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,312,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,312,President,,D,Tom Steyer ,1,1,0,0,2
Wilson,312,President,,D,Tulsi Gabbard ,0,0,0,0,0
Wilson,312,President,,D,Michael R. Bloomberg ,7,18,3,0,28
Wilson,312,President,,D,Robby Wells ,0,0,0,0,0
Wilson,312,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,312,President,,D,Pete Buttigieg ,0,8,1,0,9
Wilson,312,President,,D,Amy Klobuchar ,0,3,0,0,3
Wilson,312,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,312,President,,R,R DeLa Fuente Guerra ,1,1,0,0,2
Wilson,312,President,,R,Bill Weld ,2,0,0,0,2
Wilson,312,President,,R,Matthew John Matern ,0,1,0,0,1
Wilson,312,President,,R,Joe Walsh ,0,2,0,0,2
Wilson,312,President,,R,Bob Ely ,0,0,0,0,0
Wilson,312,President,,R,Donald J. Trump ,268,313,17,0,598
Wilson,312,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,312,President,,R,Uncommitted ,3,7,2,0,12
Wilson,313,President,,D,Bernie Sanders ,22,11,3,0,36
Wilson,313,President,,D,Michael Bennet ,0,0,0,0,0
Wilson,313,President,,D,Juli·n Castro ,1,1,0,0,2
Wilson,313,President,,D,Joseph R. Biden ,40,14,5,0,59
Wilson,313,President,,D,Cory Booker ,0,0,0,0,0
Wilson,313,President,,D,Elizabeth Warren ,8,1,1,0,10
Wilson,313,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,313,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,313,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,313,President,,D,Tom Steyer ,0,1,0,0,1
Wilson,313,President,,D,Tulsi Gabbard ,0,0,0,0,0
Wilson,313,President,,D,Michael R. Bloomberg ,7,17,4,0,28
Wilson,313,President,,D,Robby Wells ,0,0,0,0,0
Wilson,313,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,313,President,,D,Pete Buttigieg ,0,5,0,0,5
Wilson,313,President,,D,Amy Klobuchar ,0,3,2,0,5
Wilson,313,President,,D,Marianne Williamson ,1,0,0,0,1
Wilson,313,President,,R,R DeLa Fuente Guerra ,2,1,0,0,3
Wilson,313,President,,R,Bill Weld ,2,1,1,0,4
Wilson,313,President,,R,Matthew John Matern ,2,0,0,0,2
Wilson,313,President,,R,Joe Walsh ,4,3,0,0,7
Wilson,313,President,,R,Bob Ely ,1,0,0,0,1
Wilson,313,President,,R,Donald J. Trump ,292,371,12,0,675
Wilson,313,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,313,President,,R,Uncommitted ,15,10,0,0,25
Wilson,101,Railroad Commissioner,,D,Chrysta CastaÒeda ,58,30,9,0,97
Wilson,101,Railroad Commissioner,,D,Roberto R. Alonzo ,42,20,11,0,73
Wilson,101,Railroad Commissioner,,D,Kelly Stone ,23,13,1,0,37
Wilson,101,Railroad Commissioner,,D,Mark Watson ,13,8,5,0,26
Wilson,101,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",120,78,6,0,204
Wilson,101,Railroad Commissioner,,R,Ryan Sitton ,69,66,5,0,140
Wilson,102,Railroad Commissioner,,D,Chrysta CastaÒeda ,39,29,14,0,82
Wilson,102,Railroad Commissioner,,D,Roberto R. Alonzo ,48,37,22,0,107
Wilson,102,Railroad Commissioner,,D,Kelly Stone ,13,12,3,0,28
Wilson,102,Railroad Commissioner,,D,Mark Watson ,11,7,2,0,20
Wilson,102,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",67,79,1,0,147
Wilson,102,Railroad Commissioner,,R,Ryan Sitton ,30,22,0,0,52
Wilson,103,Railroad Commissioner,,D,Chrysta CastaÒeda ,37,22,15,0,74
Wilson,103,Railroad Commissioner,,D,Roberto R. Alonzo ,39,14,9,0,62
Wilson,103,Railroad Commissioner,,D,Kelly Stone ,9,8,5,0,22
Wilson,103,Railroad Commissioner,,D,Mark Watson ,8,3,2,0,13
Wilson,103,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",96,69,7,0,172
Wilson,103,Railroad Commissioner,,R,Ryan Sitton ,54,41,1,0,96
Wilson,104,Railroad Commissioner,,D,Chrysta CastaÒeda ,18,6,3,0,27
Wilson,104,Railroad Commissioner,,D,Roberto R. Alonzo ,13,5,0,0,18
Wilson,104,Railroad Commissioner,,D,Kelly Stone ,10,0,1,0,11
Wilson,104,Railroad Commissioner,,D,Mark Watson ,3,3,1,0,7
Wilson,104,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",83,70,1,0,154
Wilson,104,Railroad Commissioner,,R,Ryan Sitton ,46,34,1,0,81
Wilson,205,Railroad Commissioner,,D,Chrysta CastaÒeda ,22,15,7,0,44
Wilson,205,Railroad Commissioner,,D,Roberto R. Alonzo ,25,7,10,0,42
Wilson,205,Railroad Commissioner,,D,Kelly Stone ,11,1,0,0,12
Wilson,205,Railroad Commissioner,,D,Mark Watson ,11,1,1,0,13
Wilson,205,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",171,68,3,0,242
Wilson,205,Railroad Commissioner,,R,Ryan Sitton ,78,25,1,0,104
Wilson,206,Railroad Commissioner,,D,Chrysta CastaÒeda ,29,30,16,0,75
Wilson,206,Railroad Commissioner,,D,Roberto R. Alonzo ,43,38,16,0,97
Wilson,206,Railroad Commissioner,,D,Kelly Stone ,10,10,6,0,26
Wilson,206,Railroad Commissioner,,D,Mark Watson ,9,9,0,0,18
Wilson,206,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",117,187,7,0,311
Wilson,206,Railroad Commissioner,,R,Ryan Sitton ,55,73,3,0,131
Wilson,207,Railroad Commissioner,,D,Chrysta CastaÒeda ,24,37,6,0,67
Wilson,207,Railroad Commissioner,,D,Roberto R. Alonzo ,21,15,5,0,41
Wilson,207,Railroad Commissioner,,D,Kelly Stone ,15,13,2,0,30
Wilson,207,Railroad Commissioner,,D,Mark Watson ,5,5,1,0,11
Wilson,207,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",137,134,4,0,275
Wilson,207,Railroad Commissioner,,R,Ryan Sitton ,60,103,3,0,166
Wilson,208,Railroad Commissioner,,D,Chrysta CastaÒeda ,2,4,0,0,6
Wilson,208,Railroad Commissioner,,D,Roberto R. Alonzo ,6,1,2,0,9
Wilson,208,Railroad Commissioner,,D,Kelly Stone ,6,3,0,0,9
Wilson,208,Railroad Commissioner,,D,Mark Watson ,4,1,0,0,5
Wilson,208,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",84,31,0,0,115
Wilson,208,Railroad Commissioner,,R,Ryan Sitton ,47,21,0,0,68
Wilson,209,Railroad Commissioner,,D,Chrysta CastaÒeda ,1,0,0,0,1
Wilson,209,Railroad Commissioner,,D,Roberto R. Alonzo ,2,1,1,0,4
Wilson,209,Railroad Commissioner,,D,Kelly Stone ,4,1,0,0,5
Wilson,209,Railroad Commissioner,,D,Mark Watson ,0,1,0,0,1
Wilson,209,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",102,16,1,0,119
Wilson,209,Railroad Commissioner,,R,Ryan Sitton ,31,5,0,0,36
Wilson,310,Railroad Commissioner,,D,Chrysta CastaÒeda ,3,1,1,0,5
Wilson,310,Railroad Commissioner,,D,Roberto R. Alonzo ,4,2,1,0,7
Wilson,310,Railroad Commissioner,,D,Kelly Stone ,1,2,1,0,4
Wilson,310,Railroad Commissioner,,D,Mark Watson ,2,3,1,0,6
Wilson,310,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",42,67,4,0,113
Wilson,310,Railroad Commissioner,,R,Ryan Sitton ,13,47,0,0,60
Wilson,311,Railroad Commissioner,,D,Chrysta CastaÒeda ,9,6,8,0,23
Wilson,311,Railroad Commissioner,,D,Roberto R. Alonzo ,11,8,2,0,21
Wilson,311,Railroad Commissioner,,D,Kelly Stone ,6,6,0,0,12
Wilson,311,Railroad Commissioner,,D,Mark Watson ,4,5,0,0,9
Wilson,311,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",120,133,16,0,269
Wilson,311,Railroad Commissioner,,R,Ryan Sitton ,60,84,2,0,146
Wilson,312,Railroad Commissioner,,D,Chrysta CastaÒeda ,20,24,1,0,45
Wilson,312,Railroad Commissioner,,D,Roberto R. Alonzo ,10,4,1,0,15
Wilson,312,Railroad Commissioner,,D,Kelly Stone ,8,12,0,0,20
Wilson,312,Railroad Commissioner,,D,Mark Watson ,16,12,2,0,30
Wilson,312,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",157,193,7,0,357
Wilson,312,Railroad Commissioner,,R,Ryan Sitton ,87,82,12,0,181
Wilson,313,Railroad Commissioner,,D,Chrysta CastaÒeda ,24,16,7,0,47
Wilson,313,Railroad Commissioner,,D,Roberto R. Alonzo ,20,14,2,0,36
Wilson,313,Railroad Commissioner,,D,Kelly Stone ,13,8,2,0,23
Wilson,313,Railroad Commissioner,,D,Mark Watson ,14,6,1,0,21
Wilson,313,Railroad Commissioner,,R,"James \Jim\"" Wright"" ",178,219,7,0,404
Wilson,313,Railroad Commissioner,,R,Ryan Sitton ,105,128,5,0,238
Wilson,101,State Representative,44,D,Robert Bohmfalk ,125,61,23,0,209
Wilson,101,State Representative,44,R,John Kuempel ,187,137,9,0,333
Wilson,102,State Representative,44,D,Robert Bohmfalk ,96,73,38,0,207
Wilson,102,State Representative,44,R,John Kuempel ,91,96,2,0,189
Wilson,103,State Representative,44,D,Robert Bohmfalk ,78,40,26,0,144
Wilson,103,State Representative,44,R,John Kuempel ,138,102,8,0,248
Wilson,104,State Representative,44,D,Robert Bohmfalk ,37,13,3,0,53
