office,district,candidate,incumbent,party,votes,pct
U. S. Representative,15,Alexander Hamilton,FALSE,REP,3795,41.49
U. S. Representative,15,Paul B. Haring,FALSE,REP,1954,21.36
U. S. Representative,15,Michael D. Thamm,FALSE,REP,3398,37.15
U. S. Representative,15,Total,,,9147,
U. S. Representative,16,David Brigham,FALSE,REP,4127,53.23
U. S. Representative,16,Bobby Ortiz,FALSE,REP,3626,46.77
U. S. Representative,16,Total,,,7753,
U. S. Representative,17,Dave McIntyre,FALSE,REP,10681,28.2
U. S. Representative,17,Dot Snyder,FALSE,REP,11568,30.54
U. S. Representative,17,Arlene Wohlgemuth,FALSE,REP,15627,41.26
U. S. Representative,17,Total,,,37876,
U. S. Representative,19,Randy Neugebauer,TRUE,REP,24712,100
U. S. Representative,19,Total,,,24712,
U. S. Representative,20,Roger Scott,FALSE,REP,4832,100
U. S. Representative,20,Total,,,4832,
U. S. Representative,21,Lamar Smith,TRUE,REP,28144,100
U. S. Representative,21,Total,,,28144,
U. S. Representative,22,Tom DeLay,TRUE,REP,15490,100
U. S. Representative,22,Total,,,15490,
U. S. Representative,23,Henry Bonilla,TRUE,REP,21299,100
U. S. Representative,23,Total,,,21299,
U. S. Representative,24,Bill Dunn,FALSE,REP,1096,8.88
U. S. Representative,24,Kenny Marchant,FALSE,REP,9073,73.49
U. S. Representative,24,Cynthia Newman,FALSE,REP,1103,8.93
U. S. Representative,24,Terry Waldrum,FALSE,REP,1074,8.7
U. S. Representative,24,Total,,,12346,
U. S. Representative,25,Regner A. Capener,FALSE,REP,1788,32.71
U. S. Representative,25,Rebecca Armendariz Klein,FALSE,REP,3679,67.29
U. S. Representative,25,Total,,,5467,
U. S. Representative,26,Michael C. Burgess,TRUE,REP,17184,100
U. S. Representative,26,Total,,,17184,
U. S. Representative,27,Jesus A. Caquias,FALSE,REP,2401,30.08
U. S. Representative,27,William (Willie) Vaden,FALSE,REP,5582,69.92
U. S. Representative,27,Total,,,7983,
U. S. Representative,28,Chris Bellamy,FALSE,REP,1478,14.94
U. S. Representative,28,"Francisco ""Quico"" Canseco",FALSE,REP,2115,21.38
U. S. Representative,28,James (Jim) F. Hopson,FALSE,REP,4856,49.08
U. S. Representative,28,"Gabriel (Gabe) Perales, Jr.",FALSE,REP,1445,14.6
U. S. Representative,28,Total,,,9894,
U. S. Representative,31,Dirk Armbrust,FALSE,REP,2868,7.88
U. S. Representative,31,John R. Carter,TRUE,REP,25293,69.53
U. S. Representative,31,Wes Riddle,FALSE,REP,8215,22.58
U. S. Representative,31,Total,,,36376,
U. S. Representative,32,Pete Sessions,TRUE,REP,11819,100
U. S. Representative,32,Total,,,11819,
Railroad Commissioner,,Robert Butler,FALSE,REP,133506,23.51
Railroad Commissioner,,Victor G. Carrillo,TRUE,REP,281660,49.6
Railroad Commissioner,,Douglas G. Deffenbaugh,FALSE,REP,73039,12.86
Railroad Commissioner,,K. Dale Henry,FALSE,REP,79630,14.02
Railroad Commissioner,,Total,,,567835,
Justice Supreme Court,3,Harriet O'Neill,TRUE,REP,513200,100
Justice Supreme Court,3,Total,,,513200,
Justice Supreme Court,5,Paul Green,FALSE,REP,294935,53.16
Justice Supreme Court,5,Steven Wayne Smith,TRUE,REP,259877,46.84
Justice Supreme Court,5,Total,,,554812,
Justice Supreme Court,9,Scott Brister,TRUE,REP,499320,100
Justice Supreme Court,9,Total,,,499320,
Judge Court of Criminal Appeals,2,Guy James Gray,FALSE,REP,186193,35.22
Judge Court of Criminal Appeals,2,"Lawrence ""Larry"" Meyers",TRUE,REP,342527,64.78
Judge Court of Criminal Appeals,2,Total,,,528720,
Judge Court of Criminal Appeals,5,Cheryl Johnson,TRUE,REP,290197,54.96
Judge Court of Criminal Appeals,5,Patricia Noble,FALSE,REP,237774,45.04
Judge Court of Criminal Appeals,5,Total,,,527971,
Judge Court of Criminal Appeals,6,Michael E. Keasler,TRUE,REP,298728,57.83
Judge Court of Criminal Appeals,6,Steven M. Porter,FALSE,REP,217868,42.17
Judge Court of Criminal Appeals,6,Total,,,516596,
Member State Board of Education,6,Floy Evans,FALSE,REP,18876,44.27
Member State Board of Education,6,Terri Leo,TRUE,REP,23765,55.73
Member State Board of Education,6,Total,,,42641,
Member State Board of Education,7,David Bradley,TRUE,REP,28735,100
Member State Board of Education,7,Total,,,28735,
Member State Board of Education,8,Linda Bauer,FALSE,REP,25285,41.96
Member State Board of Education,8,Barbara Cargill,FALSE,REP,34968,58.04
Member State Board of Education,8,Total,,,60253,
Member State Board of Education,11,"Patricia ""Pat"" Hardy",FALSE,REP,30537,100
Member State Board of Education,11,Total,,,30537,
Member State Board of Education,14,Gail Lowe,TRUE,REP,29125,59.83
Member State Board of Education,14,Andrea Williams,FALSE,REP,19556,40.17
Member State Board of Education,14,Total,,,48681,
State Senator,4,Tommy Williams,TRUE,REP,18962,100
State Senator,4,Total,,,18962,
State Senator,9,Chris  Harris,TRUE,REP,8180,100
State Senator,9,Total,,,8180,
State Senator,10,Kim Brimer,TRUE,REP,10245,100
State Senator,10,Total,,,10245,
State Senator,11,Mike Jackson,TRUE,REP,13137,100
State Senator,11,Total,,,13137,
State Senator,16,John Carona,TRUE,REP,11693,100
State Senator,16,Total,,,11693,
State Senator,24,Troy Fraser,TRUE,REP,35291,100
State Senator,24,Total,,,35291,
State Senator,26,Jim Valdez,FALSE,REP,5552,100
State Senator,26,Total,,,5552,
State Senator,28,Robert Duncan,TRUE,REP,25268,100
State Senator,28,Total,,,25268,
State Senator,30,Craig L. Estes,TRUE,REP,27396,100
State Senator,30,Total,,,27396,
State Senator,31,Bob Barnes,FALSE,REP,1850,2.72
State Senator,31,Kirk Edwards,FALSE,REP,22486,33.05
State Senator,31,Lee Gibson,FALSE,REP,391,0.57
State Senator,31,Jesse Quackenbush,FALSE,REP,407,0.6
State Senator,31,Kel Seliger,FALSE,REP,41769,61.39
State Senator,31,Don Sparks,FALSE,REP,1140,1.68
State Senator,31,Total,,,68043,
State Representative,1,Marcus (Mark) Graves,FALSE,REP,1788,44.63
State Representative,1,H.E. (Pete) Snow,FALSE,REP,2218,55.37
State Representative,1,Total,,,4006,
State Representative,2,Dan Flynn,TRUE,REP,4040,100
State Representative,2,Total,,,4040,
State Representative,3,Jeff Cunningham,FALSE,REP,954,31.84
State Representative,3,Kirby Hollingsworth,FALSE,REP,2042,68.16
State Representative,3,Total,,,2996,
State Representative,4,Betty Brown,TRUE,REP,6005,100
State Representative,4,Total,,,6005,
State Representative,5,Bryan Hughes,TRUE,REP,6263,100
State Representative,5,Total,,,6263,
State Representative,6,Leo Berman,TRUE,REP,13425,100
State Representative,6,Total,,,13425,
State Representative,7,Dave Alford,FALSE,REP,1566,12.93
State Representative,7,Tommy Merritt,TRUE,REP,8145,67.23
State Representative,7,Tim Vaughn,FALSE,REP,598,4.94
State Representative,7,Ken Walker,FALSE,REP,1807,14.91
State Representative,7,Total,,,12116,
State Representative,8,Byron Cook,TRUE,REP,4450,100
State Representative,8,Total,,,4450,
State Representative,9,"Roy Blake, Jr",FALSE,REP,4859,77.91
State Representative,9,Ron Capps,FALSE,REP,1378,22.09
State Representative,9,Total,,,6237,
State Representative,10,Jim Pitts,TRUE,REP,4732,100
State Representative,10,Total,,,4732,
State Representative,11,Mike Alberts,FALSE,REP,3727,100
State Representative,11,Total,,,3727,
State Representative,12,Jody Anderson,FALSE,REP,1733,46.89
State Representative,12,Billy Clemons,FALSE,REP,1963,53.11
State Representative,12,Total,,,3696,
State Representative,13,Lois W. Kolkhorst,TRUE,REP,8580,100
State Representative,13,Total,,,8580,
State Representative,14,Fred Brown,TRUE,REP,7178,100
State Representative,14,Total,,,7178,
State Representative,15,Rob Eissler,TRUE,REP,7825,100
State Representative,15,Total,,,7825,
State Representative,16,Ruben Hope,TRUE,REP,8096,68.79
State Representative,16,Monte Lane,FALSE,REP,3673,31.21
State Representative,16,Total,,,11769,
State Representative,17,Herman W. Brune,FALSE,REP,1203,17.01
State Representative,17,Jean Killgore,FALSE,REP,2785,39.38
State Representative,17,Cynthia A. Thornton,FALSE,REP,1509,21.33
State Representative,17,Jay Yates,FALSE,REP,1576,22.28
State Representative,17,Total,,,7073,
State Representative,18,John Otto,FALSE,REP,2820,100
State Representative,18,Total,,,2820,
State Representative,19,"Mike ""Tuffy"" Hamilton",TRUE,REP,264,100
State Representative,19,Total,,,264,
State Representative,20,Dan Gattis,TRUE,REP,11310,100
State Representative,20,Total,,,11310,
State Representative,24,Larry  Taylor,FALSE,REP,2831,100
State Representative,24,Total,,,2831,
State Representative,25,Dennis Bonnen,TRUE,REP,6239,100
State Representative,25,Total,,,6239,
State Representative,26,Charlie Howard,FALSE,REP,5150,100
State Representative,26,Total,,,5150,
State Representative,28,Gary Gates,FALSE,REP,3820,38.77
State Representative,28,Glenn Hegar,TRUE,REP,6033,61.23
State Representative,28,Total,,,9853,
State Representative,29,Glenda Dawson,TRUE,REP,4233,100
State Representative,29,Total,,,4233,
State Representative,30,Geanie W. Morrison,TRUE,REP,4314,100
State Representative,30,Total,,,4314,
State Representative,32,Gene Seaman,TRUE,REP,4474,100
State Representative,32,Total,,,4474,
State Representative,34,Terry Arnold,FALSE,REP,2008,100
State Representative,34,Total,,,2008,
State Representative,35,Michael Esparza,FALSE,REP,946,39.57
State Representative,35,Eric Opiela,FALSE,REP,1445,60.43
State Representative,35,Total,,,2391,
State Representative,41,"Rogelio ""Roy"" Ibanez, Jr.",FALSE,REP,465,100
State Representative,41,Total,,,465,
State Representative,43,John T. Hubert,FALSE,REP,843,100
State Representative,43,Total,,,843,
State Representative,44,Edmund Kuempel,TRUE,REP,6866,100
State Representative,44,Total,,,6866,
State Representative,45,Alan A. Askew,FALSE,REP,4909,83.34
State Representative,45,Martin A. Harry,FALSE,REP,981,16.66
State Representative,45,Total,,,5890,
State Representative,47,Terry  Keel,TRUE,REP,6311,100
State Representative,47,Total,,,6311,
State Representative,48,Todd  Baxter,TRUE,REP,6521,100
State Representative,48,Total,,,6521,
State Representative,50,Mike Davis,FALSE,REP,1419,21.94
State Representative,50,Michael  Elkins,FALSE,REP,453,7
State Representative,50,Jack  Stick,TRUE,REP,4596,71.06
State Representative,50,Total,,,6468,
State Representative,52,Mike Krusee,TRUE,REP,7509,100
State Representative,52,Total,,,7509,
State Representative,53,Nicki Harle,FALSE,REP,4255,31.69
State Representative,53,Harvey Hilderbran,TRUE,REP,9173,68.31
State Representative,53,Total,,,13428,
State Representative,54,Suzanna Gratia Hupp,TRUE,REP,4914,100
State Representative,54,Total,,,4914,
State Representative,55,Dianne White Delisi,TRUE,REP,6086,100
State Representative,55,Total,,,6086,
State Representative,56,"Charles ""Doc"" Anderson",FALSE,REP,5211,50.43
State Representative,56,Danny Smith,FALSE,REP,2830,27.39
State Representative,56,Stacie Virden,FALSE,REP,2292,22.18
State Representative,56,Total,,,10333,
State Representative,57,Jeffrey Hibbs,FALSE,REP,2585,100
State Representative,57,Total,,,2585,
State Representative,58,Scott Cain,FALSE,REP,2158,25.54
State Representative,58,Rob Orr,FALSE,REP,2774,32.83
State Representative,58,Sam Walls,FALSE,REP,3518,41.63
State Representative,58,Total,,,8450,
State Representative,59,Sid Miller,TRUE,REP,4509,100
State Representative,59,Total,,,4509,
State Representative,60,James L. ,TRUE,REP,8184,100
State Representative,60,Total,,,8184,
State Representative,61,Phil King,TRUE,REP,8419,100
State Representative,61,Total,,,8419,
State Representative,62,Larry Phillips,TRUE,REP,7763,100
State Representative,62,Total,,,7763,
State Representative,63,Mary Denny,TRUE,REP,4879,100
State Representative,63,Total,,,4879,
State Representative,64,Myra Crownover,TRUE,REP,4839,100
State Representative,64,Total,,,4839,
State Representative,65,Burt Solomons,TRUE,REP,2600,100
State Representative,65,Total,,,2600,
State Representative,66,Brian McCall,TRUE,REP,3416,100
State Representative,66,Total,,,3416,
State Representative,67,Jerry Madden,TRUE,REP,2345,100
State Representative,67,Total,,,2345,
State Representative,68,Rick Hardcastle,TRUE,REP,5673,100
State Representative,68,Total,,,5673,
State Representative,69,Shirley Craft,FALSE,REP,1900,100
State Representative,69,Total,,,1900,
State Representative,70,Ken Paxton,TRUE,REP,4231,100
State Representative,70,Total,,,4231,
State Representative,71,Bob Hunter,TRUE,REP,5894,81.82
State Representative,71,Steve Russell,FALSE,REP,1310,18.18
State Representative,71,Total,,,7204,
State Representative,72,Scott Campbell,TRUE,REP,7651,100
State Representative,72,Total,,,7651,
State Representative,73,Carter Casteel,TRUE,REP,13264,100
State Representative,73,Total,,,13264,
State Representative,77,William M. Leff,FALSE,REP,715,100
State Representative,77,Total,,,715,
State Representative,78,Pat Haggerty,TRUE,REP,2593,70.83
State Representative,78,Peter Peca,FALSE,REP,1068,29.17
State Representative,78,Total,,,3661,
State Representative,79,Dan Chavez,FALSE,REP,1316,100
State Representative,79,Total,,,1316,
State Representative,81,Jason Moore,FALSE,REP,3291,25.66
State Representative,81,"G.E. ""Buddy"" West",TRUE,REP,9533,74.34
State Representative,81,Total,,,12824,
State Representative,82,Tom Craddick,TRUE,REP,10076,100
State Representative,82,Total,,,10076,
State Representative,83,Delwin Jones,TRUE,REP,8261,100
State Representative,83,Total,,,8261,
State Representative,84,Carl H. Isett,TRUE,REP,4149,100
State Representative,84,Total,,,4149,
State Representative,85,Kent Sharp,FALSE,REP,3581,100
State Representative,85,Total,,,3581,
State Representative,86,John Smithee,TRUE,REP,15837,100
State Representative,86,Total,,,15837,
State Representative,87,David Swinford,TRUE,REP,9863,100
State Representative,87,Total,,,9863,
State Representative,88,Warren Chisum,TRUE,REP,11044,100
State Representative,88,Total,,,11044,
State Representative,89,Jodie Laubenberg,TRUE,REP,6635,100
State Representative,89,Total,,,6635,
State Representative,90,Larry Keilberg,FALSE,REP,336,56.47
State Representative,90,Clifford  Proffitt,FALSE,REP,259,43.53
State Representative,90,Total,,,595,
State Representative,91,Bob E.  Griggs,TRUE,REP,1836,100
State Representative,91,Total,,,1836,
State Representative,92,Todd Smith,TRUE,REP,2323,100
State Representative,92,Total,,,2323,
State Representative,93,Toby Goodman,TRUE,REP,1098,69.85
State Representative,93,Larry Kilgore,FALSE,REP,474,30.15
State Representative,93,Total,,,1572,
State Representative,94,Kent  Grusendorf,TRUE,REP,2546,100
State Representative,94,Total,,,2546,
State Representative,96,Joe McHaney,FALSE,REP,508,19.24
State Representative,96,Bill  Zedler,TRUE,REP,2132,80.76
State Representative,96,Total,,,2640,
State Representative,97,Anna  Mowery,TRUE,REP,3569,100
State Representative,97,Total,,,3569,
State Representative,98,Vicki  Truitt,TRUE,REP,2394,100
State Representative,98,Total,,,2394,
State Representative,99,Charlie  Geren,TRUE,REP,3092,100
State Representative,99,Total,,,3092,
State Representative,101,Elvira Reyna,TRUE,REP,1447,100
State Representative,101,Total,,,1447,
State Representative,102,Tony Goolsby,TRUE,REP,2078,100
State Representative,102,Total,,,2078,
State Representative,105,Linda HarperBrown,TRUE,REP,1724,100
State Representative,105,Total,,,1724,
State Representative,106,Ray Allen,TRUE,REP,1412,100
State Representative,106,Total,,,1412,
State Representative,107,Bill Keffer,TRUE,REP,2866,100
State Representative,107,Total,,,2866,
State Representative,108,Dan Branch,TRUE,REP,1971,100
State Representative,108,Total,,,1971,
State Representative,112,Fred Hill,TRUE,REP,2958,100
State Representative,112,Total,,,2958,
State Representative,113,Joe Driver,TRUE,REP,1555,100
State Representative,113,Total,,,1555,
State Representative,114,Will Hartnett,TRUE,REP,2939,100
State Representative,114,Total,,,2939,
State Representative,115,Jim Jackson,FALSE,REP,2829,100
State Representative,115,Total,,,2829,
State Representative,116,Chris Shindler,FALSE,REP,1093,100
State Representative,116,Total,,,1093,
State Representative,117,Ken Mercer,TRUE,REP,1359,100
State Representative,117,Total,,,1359,
State Representative,118,Steve Salyer,FALSE,REP,1230,100
State Representative,118,Total,,,1230,
State Representative,119,Loretta Kusek,FALSE,REP,1078,100
State Representative,119,Total,,,1078,
State Representative,121,Elizabeth Ames Jones,TRUE,REP,3996,100
State Representative,121,Total,,,3996,
State Representative,122,"Frank J. Corte, Jr",TRUE,REP,4450,100
State Representative,122,Total,,,4450,
State Representative,123,Sandra Ojeda Medina,FALSE,REP,1313,100
State Representative,123,Total,,,1313,
State Representative,126,Peggy Hamric,TRUE,REP,5402,100
State Representative,126,Total,,,5402,
State Representative,127,Joe Crabb,TRUE,REP,7147,100
State Representative,127,Total,,,7147,
State Representative,128,Wayne Smith,TRUE,REP,1848,100
State Representative,128,Total,,,1848,
State Representative,129,John E. Davis,TRUE,REP,2416,100
State Representative,129,Total,,,2416,
State Representative,130,Corbin Van Arsdale,TRUE,REP,4980,100
State Representative,130,Total,,,4980,
State Representative,132,Bill Callegari,TRUE,REP,3874,89.78
State Representative,132,Len Messina,FALSE,REP,441,10.22
State Representative,132,Total,,,4315,
State Representative,133,Joe Nixon,TRUE,REP,3308,73.17
State Representative,133,Rick Plezia,FALSE,REP,1213,26.83
State Representative,133,Total,,,4521,
State Representative,134,Martha Wong,TRUE,REP,4927,100
State Representative,134,Total,,,4927,
State Representative,135,Gary Elkins,TRUE,REP,2221,100
State Representative,135,Total,,,2221,
State Representative,136,Beverly Woolley,TRUE,REP,6494,100
State Representative,136,Total,,,6494,
State Representative,137,Ann Witt,FALSE,REP,1291,57.1
State Representative,137,Lee Zieben,FALSE,REP,970,42.9
State Representative,137,Total,,,2261,
State Representative,138,Dwayne Bohac,TRUE,REP,3544,100
State Representative,138,Total,,,3544,
State Representative,140,Don Large,FALSE,REP,510,100
State Representative,140,Total,,,510,
State Representative,142,Matthew Taylor Morones,FALSE,REP,438,100
State Representative,142,Total,,,438,
State Representative,144,Robert E. Talton,TRUE,REP,1479,100
State Representative,144,Total,,,1479,
State Representative,149,Talmadge Heflin,TRUE,REP,2526,100
State Representative,149,Total,,,2526,
State Representative,150,Debbie Riddle,TRUE,REP,5609,100
State Representative,150,Total,,,5609,
"Chief Justice, 1st Court of Appeals",,Sherry Radack,TRUE,REP,94987,100
"Chief Justice, 1st Court of Appeals",,Total,,,94987,
"Chief Justice, 6th Court of Appeals District",,Josh Morriss,TRUE,REP,23352,100
"Chief Justice, 6th Court of Appeals District",,Total,,,23352,
"Chief Justice, 10th Court of Appeals District  Unexpired Term",,Tom Gray,TRUE,REP,31761,100
"Chief Justice, 10th Court of Appeals District  Unexpired Term",,Total,,,31761,
"Chief Justice, 14th Court of Appeals District  Unexpired Term",,Adele Hedges,FALSE,REP,92066,100
"Chief Justice, 14th Court of Appeals District  Unexpired Term",,Total,,,92066,
Justice 1st Court of Appeals District,2  Unexpired Term,Jane Bland,TRUE,REP,91405,100
Justice 1st Court of Appeals District,2  Unexpired Term,Total,,,91405,
Justice 1st Court of Appeals District,4,Evelyn Keyes,TRUE,REP,91917,100
Justice 1st Court of Appeals District,4,Total,,,91917,
Justice 1st Court of Appeals District,6  Unexpired Term,"George C. Hanks, Jr.",TRUE,REP,90942,100
Justice 1st Court of Appeals District,6  Unexpired Term,Total,,,90942,
Justice 2nd Court of Appeals District,3,Anne Gardner,TRUE,REP,47204,100
Justice 2nd Court of Appeals District,3,Total,,,47204,
Justice 2nd Court of Appeals District,4  Unexpired Term,Bob McCoy,TRUE,REP,47160,100
Justice 2nd Court of Appeals District,4  Unexpired Term,Total,,,47160,
Justice 3rd Court of Appeals District,4,Ernest C. Garcia,FALSE,REP,38458,49.51
Justice 3rd Court of Appeals District,4,Bill Green,FALSE,REP,39221,50.49
Justice 3rd Court of Appeals District,4,Total,,,77679,
Justice 3rd Court of Appeals District,6  Unexpired Term,William C. (Bill) Davidson,FALSE,REP,35564,47.63
Justice 3rd Court of Appeals District,6  Unexpired Term,Bob Pemberton,TRUE,REP,39107,52.37
Justice 3rd Court of Appeals District,6  Unexpired Term,Total,,,74671,
Justice 4th Court of Appeals District,6,Sandee Bryan Marion,TRUE,REP,40886,100
Justice 4th Court of Appeals District,6,Total,,,40886,
Justice 4th Court of Appeals District,7  Unexpired Term,Phylis J. Speedlin,TRUE,REP,40251,100
Justice 4th Court of Appeals District,7  Unexpired Term,Total,,,40251,
Justice 5th Court of Appeals District,4,Carolyn Wright,TRUE,REP,50265,100
Justice 5th Court of Appeals District,4,Total,,,50265,
Justice 5th Court of Appeals District,7,Michael J. ,TRUE,REP,49708,100
Justice 5th Court of Appeals District,7,Total,,,49708,
Justice 5th Court of Appeals District,11  Unexpired Term,Douglas S. Lang,TRUE,REP,49237,100
Justice 5th Court of Appeals District,11  Unexpired Term,Total,,,49237,
Justice 5th Court of Appeals District,13  Unexpired Term,Elizabeth Lang Miers,TRUE,REP,49327,100
Justice 5th Court of Appeals District,13  Unexpired Term,Total,,,49327,
Justice 7th Court of Appeals District,4,Jim Campbell,TRUE,REP,44359,100
Justice 7th Court of Appeals District,4,Total,,,44359,
Justice 9th Court of Appeals District,2,Ralph K. Harrison,FALSE,REP,10280,34.7
Justice 9th Court of Appeals District,2,Charles Kreger,FALSE,REP,19342,65.3
Justice 9th Court of Appeals District,2,Total,,,29622,
Justice 10th Court of Appeals District,3,Lynnan Locke Kendrick,FALSE,REP,17242,48.12
Justice 10th Court of Appeals District,3,Felipe Reyna,FALSE,REP,18591,51.88
Justice 10th Court of Appeals District,3,Total,,,35833,
Justice 11th Court of Appeals District,3,Terry McCall,TRUE,REP,28698,100
Justice 11th Court of Appeals District,3,Total,,,28698,
Justice 12th Court of Appeals District,2,Diane DeVasto,TRUE,REP,37884,100
Justice 12th Court of Appeals District,2,Total,,,37884,
Justice 13th Court of Appeals District,3,Alicia Cuellar,FALSE,REP,18417,100
Justice 13th Court of Appeals District,3,Total,,,18417,
Justice 14th Court of Appeals District,2,Leslie Brock Yates,TRUE,REP,90242,100
Justice 14th Court of Appeals District,2,Total,,,90242,
Justice 14th Court of Appeals District,9,Eva Guzman,TRUE,REP,75683,71.17
Justice 14th Court of Appeals District,9,Lloyd Wayne Oliver,FALSE,REP,30661,28.83
Justice 14th Court of Appeals District,9,Total,,,106344,
District Judge,5th Judicial District,Ralph K. Burgess,TRUE,REP,2929,74.83
District Judge,5th Judicial District,Bart Craytor,FALSE,REP,985,25.17
District Judge,5th Judicial District,Total,,,3914,
District Judge,7th Judicial District,Kerry L. Russell,TRUE,REP,14581,100
District Judge,7th Judicial District,Total,,,14581,
District Judge,9th Judicial District,Fred Edwards,TRUE,REP,19060,100
District Judge,9th Judicial District,Total,,,19060,
District Judge,11th Judicial District,Mark Davidson,TRUE,REP,59553,100
District Judge,11th Judicial District,Total,,,59553,
District Judge,12th Judicial District,Bill McAdams,TRUE,REP,4699,100
District Judge,12th Judicial District,Total,,,4699,
District Judge,14th Judicial District,Mary Murphy,TRUE,REP,23303,100
District Judge,14th Judicial District,Total,,,23303,
District Judge,15th Judicial District,Jim  Fallon,FALSE,REP,4136,50.41
District Judge,15th Judicial District,Amos  Mazzant,FALSE,REP,4068,49.59
District Judge,15th Judicial District,Total,,,8204,
District Judge,16th Judicial District,Carmen RiveraWorley,TRUE,REP,11123,100
District Judge,16th Judicial District,Total,,,11123,
District Judge,17th Judicial District,Fred W. Davis,TRUE,REP,18966,100
District Judge,17th Judicial District,Total,,,18966,
District Judge,18th Judicial District,John E. Neill,TRUE,REP,6278,100
District Judge,18th Judicial District,Total,,,6278,
District Judge,19th Judicial District,Ralph T. Strother,TRUE,REP,10104,100
District Judge,19th Judicial District,Total,,,10104,
District Judge,22nd Judicial District,Charles Ramsay,TRUE,REP,8685,100
District Judge,22nd Judicial District,Total,,,8685,
District Judge,23rd Judicial District,Ben Hardin,TRUE,REP,10751,100
District Judge,23rd Judicial District,Total,,,10751,
District Judge,25th Judicial District,Dwight E. Peschel,FALSE,REP,6676,100
District Judge,25th Judicial District,Total,,,6676,
District Judge,2nd 25th Judicial District,W.C. (Bud) Kirkendall,FALSE,REP,6795,100
District Judge,2nd 25th Judicial District,Total,,,6795,
District Judge,26th Judicial District,Billy Ray Stubblefield,TRUE,REP,18363,100
District Judge,26th Judicial District,Total,,,18363,
District Judge,27th Judicial District,Joe Carroll,TRUE,REP,7392,100
District Judge,27th Judicial District,Total,,,7392,
District Judge,33rd Judicial District,"Guilford L. ""Gil"" Jones",TRUE,REP,5819,100
District Judge,33rd Judicial District,Total,,,5819,
District Judge,35th Judicial District,Sky Sudderth,FALSE,REP,1595,100
District Judge,35th Judicial District,Total,,,1595,
District Judge,37th Judicial District,David Berchelmann,TRUE,REP,17871,100
District Judge,37th Judicial District,Total,,,17871,
District Judge,42nd Judicial District,John Weeks,FALSE,REP,6323,100
District Judge,42nd Judicial District,Total,,,6323,
District Judge,43rd Judicial District,Don Chrestman,TRUE,REP,5752,100
District Judge,43rd Judicial District,Total,,,5752,
District Judge,48th Judicial District,David Evans,TRUE,REP,18824,100
District Judge,48th Judicial District,Total,,,18824,
