county,precinct,office,district,party,candidate,votes,mail,provisional,early_voting,election_day
Starr,Precinct 3,Railroad Commissioner,,LBT,Matt Sterett,23,2,0,15,6
Starr,Precinct 3,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",14,0,0,13,1
Starr,Precinct 3,State Senate,21,REP,Frank Pomeroy,233,11,0,179,43
Starr,Precinct 3,State Senate,21,DEM,Judith Zaffirini,629,67,0,469,93
Starr,Precinct 3,State Representative,31,REP,Marian Knowlton,190,3,0,145,42
Starr,Precinct 3,State Representative,31,DEM,Ryan Guillen,806,80,0,603,123
Starr,Precinct 4,Ballots Cast,,,,370,40,0,111,219
Starr,Precinct 4,Ballots Cast Blank,,,,0,0,0,0,0
Starr,Precinct 4,President,,REP,Donald J. Trump,193,12,0,61,120
Starr,Precinct 4,President,,DEM,Joseph R. Biden,169,28,0,49,92
Starr,Precinct 4,President,,LBT,Jo Jorgensen,2,0,0,0,2
Starr,Precinct 4,President,,GRE,Howie Hawkins,0,0,0,0,0
Starr,Precinct 4,President,,,Write-ins,1,0,0,0,1
Starr,Precinct 4,U.S. Senate,,REP,John Cornyn,197,13,0,59,125
Starr,Precinct 4,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",155,27,0,46,82
Starr,Precinct 4,U.S. Senate,,LBT,Kerry Douglas McKennon,2,0,0,0,2
Starr,Precinct 4,U.S. Senate,,GRE,David B. Collins,3,0,0,0,3
Starr,Precinct 4,U.S. Senate,,,Write-ins,0,0,0,0,0
Starr,Precinct 4,U.S. House,28,REP,Sandra Whitten,126,9,0,34,83
Starr,Precinct 4,U.S. House,28,DEM,Henry Cuellar,230,31,0,72,127
Starr,Precinct 4,U.S. House,28,LBT,Bekah Congdon,0,0,0,0,0
Starr,Precinct 4,Railroad Commissioner,,REP,"James ""Jim"" Wright",166,11,0,49,106
Starr,Precinct 4,Railroad Commissioner,,DEM,Chrysta Castaneda,173,28,0,52,93
Starr,Precinct 4,Railroad Commissioner,,LBT,Matt Sterett,6,0,0,0,6
Starr,Precinct 4,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",0,0,0,0,0
Starr,Precinct 4,State Senate,21,REP,Frank Pomeroy,137,8,0,40,89
Starr,Precinct 4,State Senate,21,DEM,Judith Zaffirini,210,31,0,64,115
Starr,Precinct 4,State Representative,31,REP,Marian Knowlton,99,5,0,27,67
Starr,Precinct 4,State Representative,31,DEM,Ryan Guillen,258,35,0,78,145
Starr,Precinct 5,Ballots Cast,,,,70,3,0,27,40
Starr,Precinct 5,Ballots Cast Blank,,,,0,0,0,0,0
Starr,Precinct 5,President,,REP,Donald J. Trump,37,0,0,17,20
Starr,Precinct 5,President,,DEM,Joseph R. Biden,33,3,0,10,20
Starr,Precinct 5,President,,LBT,Jo Jorgensen,0,0,0,0,0
Starr,Precinct 5,President,,GRE,Howie Hawkins,0,0,0,0,0
Starr,Precinct 5,President,,,Write-ins,0,0,0,0,0
Starr,Precinct 5,U.S. Senate,,REP,John Cornyn,32,0,0,17,15
Starr,Precinct 5,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",32,3,0,6,23
Starr,Precinct 5,U.S. Senate,,LBT,Kerry Douglas McKennon,1,0,0,1,0
Starr,Precinct 5,U.S. Senate,,GRE,David B. Collins,0,0,0,0,0
Starr,Precinct 5,U.S. Senate,,,Write-ins,0,0,0,0,0
Starr,Precinct 5,U.S. House,28,REP,Sandra Whitten,20,0,0,10,10
Starr,Precinct 5,U.S. House,28,DEM,Henry Cuellar,45,3,0,15,27
Starr,Precinct 5,U.S. House,28,LBT,Bekah Congdon,1,0,0,1,0
Starr,Precinct 5,Railroad Commissioner,,REP,"James ""Jim"" Wright",27,0,0,12,15
Starr,Precinct 5,Railroad Commissioner,,DEM,Chrysta Castaneda,33,3,0,10,20
Starr,Precinct 5,Railroad Commissioner,,LBT,Matt Sterett,3,0,0,2,1
Starr,Precinct 5,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",0,0,0,0,0
Starr,Precinct 5,State Senate,21,REP,Frank Pomeroy,22,0,0,13,9
Starr,Precinct 5,State Senate,21,DEM,Judith Zaffirini,40,3,0,10,27
Starr,Precinct 5,State Representative,31,REP,Marian Knowlton,18,0,0,11,7
Starr,Precinct 5,State Representative,31,DEM,Ryan Guillen,52,3,0,16,33
Starr,Precinct 6,Ballots Cast,,,,4176,315,0,3233,628
Starr,Precinct 6,Ballots Cast Blank,,,,0,0,0,0,0
Starr,Precinct 6,President,,REP,Donald J. Trump,1781,73,0,1393,315
Starr,Precinct 6,President,,DEM,Joseph R. Biden,2264,233,0,1733,298
Starr,Precinct 6,President,,LBT,Jo Jorgensen,24,0,0,20,4
Starr,Precinct 6,President,,GRE,Howie Hawkins,12,0,0,9,3
Starr,Precinct 6,President,,,Write-ins,4,0,0,4,0
Starr,Precinct 6,U.S. Senate,,REP,John Cornyn,1176,50,0,931,195
Starr,Precinct 6,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",1958,182,0,1525,251
Starr,Precinct 6,U.S. Senate,,LBT,Kerry Douglas McKennon,89,0,0,79,10
Starr,Precinct 6,U.S. Senate,,GRE,David B. Collins,93,1,0,70,22
Starr,Precinct 6,U.S. Senate,,,Write-ins,2,0,0,2,0
Starr,Precinct 6,U.S. House,28,REP,Sandra Whitten,739,23,0,581,135
Starr,Precinct 6,U.S. House,28,DEM,Henry Cuellar,2879,274,0,2215,390
Starr,Precinct 6,U.S. House,28,LBT,Bekah Congdon,62,0,0,55,7
Starr,Precinct 6,Railroad Commissioner,,REP,"James ""Jim"" Wright",992,28,0,801,163
Starr,Precinct 6,Railroad Commissioner,,DEM,Chrysta Castaneda,2063,191,0,1613,259
Starr,Precinct 6,Railroad Commissioner,,LBT,Matt Sterett,91,0,0,78,13
Starr,Precinct 6,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",49,2,0,33,14
Starr,Precinct 6,State Senate,21,REP,Frank Pomeroy,845,20,0,672,153
Starr,Precinct 6,State Senate,21,DEM,Judith Zaffirini,2528,222,0,1978,328
Starr,Precinct 6,State Representative,31,REP,Marian Knowlton,691,17,0,552,122
Starr,Precinct 6,State Representative,31,DEM,Ryan Guillen,2932,282,0,2252,398
Starr,Precinct 7,Ballots Cast,,,,516,61,0,280,175
Starr,Precinct 7,Ballots Cast Blank,,,,0,0,0,0,0
Starr,Precinct 7,President,,REP,Donald J. Trump,239,14,0,141,84
Starr,Precinct 7,President,,DEM,Joseph R. Biden,260,43,0,133,84
Starr,Precinct 7,President,,LBT,Jo Jorgensen,4,1,0,2,1
Starr,Precinct 7,President,,GRE,Howie Hawkins,1,0,0,1,0
Starr,Precinct 7,President,,,Write-ins,0,0,0,0,0
Starr,Precinct 7,U.S. Senate,,REP,John Cornyn,150,13,0,87,50
Starr,Precinct 7,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",230,40,0,121,69
Starr,Precinct 7,U.S. Senate,,LBT,Kerry Douglas McKennon,16,0,0,10,6
Starr,Precinct 7,U.S. Senate,,GRE,David B. Collins,4,0,0,3,1
Starr,Precinct 7,U.S. Senate,,,Write-ins,0,0,0,0,0
Starr,Precinct 7,U.S. House,28,REP,Sandra Whitten,90,5,0,51,34
Starr,Precinct 7,U.S. House,28,DEM,Henry Cuellar,344,52,0,186,106
Starr,Precinct 7,U.S. House,28,LBT,Bekah Congdon,4,0,0,2,2
Starr,Precinct 7,Railroad Commissioner,,REP,"James ""Jim"" Wright",108,6,0,61,41
Starr,Precinct 7,Railroad Commissioner,,DEM,Chrysta Castaneda,255,43,0,145,67
Starr,Precinct 7,Railroad Commissioner,,LBT,Matt Sterett,9,0,0,5,4
Starr,Precinct 7,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",4,0,0,1,3
Starr,Precinct 7,State Senate,21,REP,Frank Pomeroy,97,1,0,58,38
Starr,Precinct 7,State Senate,21,DEM,Judith Zaffirini,307,54,0,162,91
Starr,Precinct 7,State Representative,31,REP,Marian Knowlton,79,2,0,47,30
Starr,Precinct 7,State Representative,31,DEM,Ryan Guillen,348,53,0,190,105
Starr,Precinct 8,Ballots Cast,,,,1850,101,0,1414,335
Starr,Precinct 8,Ballots Cast Blank,,,,1,0,0,1,0
Starr,Precinct 8,President,,REP,Donald J. Trump,856,25,0,648,183
Starr,Precinct 8,President,,DEM,Joseph R. Biden,899,70,0,681,148
Starr,Precinct 8,President,,LBT,Jo Jorgensen,6,0,0,6,0
Starr,Precinct 8,President,,GRE,Howie Hawkins,8,0,0,8,0
Starr,Precinct 8,President,,,Write-ins,9,0,0,9,0
Starr,Precinct 8,U.S. Senate,,REP,John Cornyn,553,15,0,419,119
Starr,Precinct 8,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",762,53,0,577,132
Starr,Precinct 8,U.S. Senate,,LBT,Kerry Douglas McKennon,27,0,0,22,5
Starr,Precinct 8,U.S. Senate,,GRE,David B. Collins,46,3,0,32,11
Starr,Precinct 8,U.S. Senate,,,Write-ins,5,0,0,4,1
Starr,Precinct 8,U.S. House,28,REP,Sandra Whitten,376,6,0,297,73
Starr,Precinct 8,U.S. House,28,DEM,Henry Cuellar,1200,77,0,905,218
Starr,Precinct 8,U.S. House,28,LBT,Bekah Congdon,29,1,0,24,4
Starr,Precinct 8,Railroad Commissioner,,REP,"James ""Jim"" Wright",470,12,0,355,103
Starr,Precinct 8,Railroad Commissioner,,DEM,Chrysta Castaneda,802,54,0,605,143
Starr,Precinct 8,Railroad Commissioner,,LBT,Matt Sterett,25,0,0,22,3
Starr,Precinct 8,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",34,0,0,28,6
Starr,Precinct 8,State Senate,21,REP,Frank Pomeroy,417,6,0,329,82
Starr,Precinct 8,State Senate,21,DEM,Judith Zaffirini,970,68,0,727,175
Starr,Precinct 8,State Representative,31,REP,Marian Knowlton,356,6,0,283,67
Starr,Precinct 8,State Representative,31,DEM,Ryan Guillen,1249,80,0,944,225
Starr,Precinct 9,Ballots Cast,,,,2281,147,0,1748,386
Starr,Precinct 9,Ballots Cast Blank,,,,0,0,0,0,0
Starr,Precinct 9,President,,REP,Donald J. Trump,1084,35,0,833,216
Starr,Precinct 9,President,,DEM,Joseph R. Biden,1111,102,0,848,161
Starr,Precinct 9,President,,LBT,Jo Jorgensen,14,0,0,10,4
Starr,Precinct 9,President,,GRE,Howie Hawkins,7,0,0,7,0
Starr,Precinct 9,President,,,Write-ins,0,0,0,0,0
Starr,Precinct 9,U.S. Senate,,REP,John Cornyn,735,21,0,567,147
Starr,Precinct 9,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",981,78,0,742,161
Starr,Precinct 9,U.S. Senate,,LBT,Kerry Douglas McKennon,41,0,0,36,5
Starr,Precinct 9,U.S. Senate,,GRE,David B. Collins,49,1,0,39,9
Starr,Precinct 9,U.S. Senate,,,Write-ins,1,0,0,1,0
Starr,Precinct 9,U.S. House,28,REP,Sandra Whitten,519,12,0,390,117
Starr,Precinct 9,U.S. House,28,DEM,Henry Cuellar,1419,96,0,1097,226
Starr,Precinct 9,U.S. House,28,LBT,Bekah Congdon,28,0,0,25,3
Starr,Precinct 9,Railroad Commissioner,,REP,"James ""Jim"" Wright",656,14,0,500,142
Starr,Precinct 9,Railroad Commissioner,,DEM,Chrysta Castaneda,1004,82,0,764,158
Starr,Precinct 9,Railroad Commissioner,,LBT,Matt Sterett,50,0,0,39,11
Starr,Precinct 9,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",32,0,0,29,3
Starr,Precinct 9,State Senate,21,REP,Frank Pomeroy,609,15,0,467,127
Starr,Precinct 9,State Senate,21,DEM,Judith Zaffirini,1166,85,0,890,191
Starr,Precinct 9,State Representative,31,REP,Marian Knowlton,494,12,0,377,105
Starr,Precinct 9,State Representative,31,DEM,Ryan Guillen,1456,95,0,1128,233
Starr,Precinct 10,Ballots Cast,,,,3602,152,0,2819,631
Starr,Precinct 10,Ballots Cast Blank,,,,11,5,0,3,3
Starr,Precinct 10,President,,REP,Donald J. Trump,1742,44,0,1354,344
Starr,Precinct 10,President,,DEM,Joseph R. Biden,1783,100,0,1407,276
Starr,Precinct 10,President,,LBT,Jo Jorgensen,17,0,0,14,3
Starr,Precinct 10,President,,GRE,Howie Hawkins,13,0,0,11,2
Starr,Precinct 10,President,,,Write-ins,3,1,0,2,0
Starr,Precinct 10,U.S. Senate,,REP,John Cornyn,1316,33,0,1045,238
Starr,Precinct 10,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",1657,95,0,1329,233
Starr,Precinct 10,U.S. Senate,,LBT,Kerry Douglas McKennon,77,0,0,59,18
Starr,Precinct 10,U.S. Senate,,GRE,David B. Collins,83,1,0,63,19
Starr,Precinct 10,U.S. Senate,,,Write-ins,1,0,0,1,0
Starr,Precinct 10,U.S. House,28,REP,Sandra Whitten,905,19,0,713,173
Starr,Precinct 10,U.S. House,28,DEM,Henry Cuellar,2339,121,0,1857,361
Starr,Precinct 10,U.S. House,28,LBT,Bekah Congdon,46,1,0,38,7
Starr,Precinct 10,Railroad Commissioner,,REP,"James ""Jim"" Wright",1164,29,0,919,216
Starr,Precinct 10,Railroad Commissioner,,DEM,Chrysta Castaneda,1775,100,0,1424,251
Starr,Precinct 10,Railroad Commissioner,,LBT,Matt Sterett,48,0,0,40,8
Starr,Precinct 10,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",40,0,0,29,11
Starr,Precinct 10,State Senate,21,REP,Frank Pomeroy,1005,27,0,791,187
Starr,Precinct 10,State Senate,21,DEM,Judith Zaffirini,2108,104,0,1691,313
Starr,Precinct 10,State Representative,31,REP,Marian Knowlton,795,18,0,627,150
Starr,Precinct 10,State Representative,31,DEM,Ryan Guillen,2474,121,0,1979,374
