county,precinct,office,district,candidate,party,votes,mail,early_voting,election_day
Stonewall,Precinct 3,U.S. Senate,,Write-in,,0,0,0,0
Stonewall,Precinct 3,U.S. Senate,,Over Votes,,0,0,0,0
Stonewall,Precinct 3,U.S. Senate,,Under Votes,,5,2,1,2
Stonewall,Precinct 3,U.S. House,19,Jodey C. Arrington,REP,146,7,105,34
Stonewall,Precinct 3,U.S. House,19,Tom Watson,DEM,24,5,13,6
Stonewall,Precinct 3,U.S. House,19,Joe Burnes,LIB,0,0,0,0
Stonewall,Precinct 3,U.S. House,19,Over Votes,,0,0,0,0
Stonewall,Precinct 3,U.S. House,19,Under Votes,,10,3,6,1
Stonewall,Precinct 3,Railroad Commissioner,,"James ""Jim"" Wright",REP,150,7,110,33
Stonewall,Precinct 3,Railroad Commissioner,,Chrysta Castaneda,DEM,24,5,13,6
Stonewall,Precinct 3,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Stonewall,Precinct 3,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Stonewall,Precinct 3,Railroad Commissioner,,Over Votes,,0,0,0,0
Stonewall,Precinct 3,Railroad Commissioner,,Under Votes,,6,3,1,2
Stonewall,Precinct 3,State Senate,28,Charles Perry,REP,142,7,103,32
Stonewall,Precinct 3,State Senate,28,Over Votes,,0,0,0,0
Stonewall,Precinct 3,State Senate,28,Under Votes,,38,8,21,9
Stonewall,Precinct 3,State Representative,68,Drew Springer,REP,147,7,106,34
Stonewall,Precinct 3,State Representative,68,Patsy Ledbetter,DEM,23,5,12,6
Stonewall,Precinct 3,State Representative,68,Over Votes,,0,0,0,0
Stonewall,Precinct 3,State Representative,68,Under Votes,,10,3,6,1
Stonewall,Precinct 4,Ballots Cast,,,,184,14,121,49
Stonewall,Precinct 4,President,,Donald J. Trump,REP,136,7,86,43
Stonewall,Precinct 4,President,,Joseph R. Biden,DEM,45,5,35,5
Stonewall,Precinct 4,President,,"Jo Jorgensen",LIB,2,2,0,0
Stonewall,Precinct 4,President,,Howie Hawkins,GRN,0,0,0,0
Stonewall,Precinct 4,President,,Write-in,,0,0,0,0
Stonewall,Precinct 4,President,,Over Votes,,0,0,0,0
Stonewall,Precinct 4,President,,Under Votes,,1,0,0,1
Stonewall,Precinct 4,U.S. Senate,,John Cornyn,REP,125,8,80,37
Stonewall,Precinct 4,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,47,5,35,7
Stonewall,Precinct 4,U.S. Senate,,Kerry Douglas McKennon,LIB,2,1,1,0
Stonewall,Precinct 4,U.S. Senate,,David B. Collins,GRN,2,0,1,1
Stonewall,Precinct 4,U.S. Senate,,Write-in,,0,0,0,0
Stonewall,Precinct 4,U.S. Senate,,Over Votes,,0,0,0,0
Stonewall,Precinct 4,U.S. Senate,,Under Votes,,8,0,4,4
Stonewall,Precinct 4,U.S. House,19,Jodey C. Arrington,REP,131,8,80,43
Stonewall,Precinct 4,U.S. House,19,Tom Watson,DEM,40,6,32,2
Stonewall,Precinct 4,U.S. House,19,Joe Burnes,LIB,2,0,1,1
Stonewall,Precinct 4,U.S. House,19,Over Votes,,0,0,0,0
Stonewall,Precinct 4,U.S. House,19,Under Votes,,11,0,8,3
Stonewall,Precinct 4,Railroad Commissioner,,"James ""Jim"" Wright",REP,128,6,82,40
Stonewall,Precinct 4,Railroad Commissioner,,Chrysta Castaneda,DEM,41,4,32,5
Stonewall,Precinct 4,Railroad Commissioner,,Matt Sterett,LIB,3,2,1,0
Stonewall,Precinct 4,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Stonewall,Precinct 4,Railroad Commissioner,,Over Votes,,0,0,0,0
Stonewall,Precinct 4,Railroad Commissioner,,Under Votes,,12,2,6,4
Stonewall,Precinct 4,State Senate,28,Charles Perry,REP,132,9,85,38
Stonewall,Precinct 4,State Senate,28,Over Votes,,0,0,0,0
Stonewall,Precinct 4,State Senate,28,Under Votes,,52,5,36,11
Stonewall,Precinct 4,State Representative,68,Drew Springer,REP,125,8,77,40
Stonewall,Precinct 4,State Representative,68,Patsy Ledbetter,DEM,43,5,33,5
Stonewall,Precinct 4,State Representative,68,Over Votes,,0,0,0,0
Stonewall,Precinct 4,State Representative,68,Under Votes,,16,1,11,4
