candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
Jodey C Arrington,U.S. House,19,REP,Taylor,104 - 0,135,1209,175,1519
Tom Watson,U.S. House,19,DEM,Taylor,104 - 0,74,260,40,374
Joe Bumes,U.S. House,19,LIB,Taylor,104 - 0,2,17,5,24
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,104 - 0,132,1177,175,1484
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,104 - 0,73,250,35,358
Matt Sterett,Railroad Commissioner,,LIB,Taylor,104 - 0,1,30,8,39
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,104 - 0,1,9,1,11
Dawn Buckingham,State Senate,24,REP,Taylor,104 - 0,131,1184,179,1494
Clayton Tucker,State Senate,24,DEM,Taylor,104 - 0,75,275,39,389
Stan Lambert,State Representative,71,REP,Taylor,104 - 0,143,1256,188,1587
Samuel Hatton,State Representative,71,DEM,Taylor,104 - 0,62,212,33,307
Donald J Trump,President,,REP,Taylor,105 - 0,99,983,279,1361
Joseph R Biden,President,,DEM,Taylor,105 - 0,130,511,110,751
Jo Jorgensen,President,,LIB,Taylor,105 - 0,3,36,12,51
Howie Hawkins,President,,GRN,Taylor,105 - 0,0,6,0,6
Abram Loeb (W),President,,,Taylor,105 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,105 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,105 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,105 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,105 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,105 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,105 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,105 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,105 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,105 - 0,101,972,271,1344
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,105 - 0,125,495,100,720
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,105 - 0,4,49,16,69
David B. Collins,U.S. Senate,,GRN,Taylor,105 - 0,0,7,4,11
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,105 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,105 - 0,107,1002,275,1384
Tom Watson,U.S. House,19,DEM,Taylor,105 - 0,121,452,93,666
Joe Bumes,U.S. House,19,LIB,Taylor,105 - 0,4,52,20,76
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,105 - 0,100,971,264,1335
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,105 - 0,117,453,97,667
Matt Sterett,Railroad Commissioner,,LIB,Taylor,105 - 0,7,49,17,73
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,105 - 0,1,28,8,37
Dawn Buckingham,State Senate,24,REP,Taylor,105 - 0,104,1008,273,1385
Clayton Tucker,State Senate,24,DEM,Taylor,105 - 0,123,478,111,712
Stan Lambert,State Representative,71,REP,Taylor,105 - 0,105,1018,287,1410
Samuel Hatton,State Representative,71,DEM,Taylor,105 - 0,118,465,99,682
Donald J Trump,President,,REP,Taylor,106 - 0,75,290,75,440
Joseph R Biden,President,,DEM,Taylor,106 - 0,87,174,56,317
Jo Jorgensen,President,,LIB,Taylor,106 - 0,9,10,12,31
Howie Hawkins,President,,GRN,Taylor,106 - 0,0,0,0,0
Abram Loeb (W),President,,,Taylor,106 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,106 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,106 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,106 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,106 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,106 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,106 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,106 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,106 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,106 - 0,83,278,80,441
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,106 - 0,70,175,49,294
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,106 - 0,11,14,10,35
David B. Collins,U.S. Senate,,GRN,Taylor,106 - 0,1,2,2,5
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,106 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,106 - 0,86,294,78,458
Tom Watson,U.S. House,19,DEM,Taylor,106 - 0,68,143,50,261
Joe Bumes,U.S. House,19,LIB,Taylor,106 - 0,9,21,13,43
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,106 - 0,75,281,79,435
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,106 - 0,60,158,45,263
Matt Sterett,Railroad Commissioner,,LIB,Taylor,106 - 0,9,19,14,42
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,106 - 0,6,8,4,18
Dawn Buckingham,State Senate,24,REP,Taylor,106 - 0,82,294,88,464
Clayton Tucker,State Senate,24,DEM,Taylor,106 - 0,66,158,50,274
Stan Lambert,State Representative,71,REP,Taylor,106 - 0,81,295,87,463
Samuel Hatton,State Representative,71,DEM,Taylor,106 - 0,67,157,52,276
Donald J Trump,President,,REP,Taylor,107 - 0,15,177,140,332
Joseph R Biden,President,,DEM,Taylor,107 - 0,10,39,20,69
Jo Jorgensen,President,,LIB,Taylor,107 - 0,0,3,1,4
Howie Hawkins,President,,GRN,Taylor,107 - 0,0,1,0,1
Abram Loeb (W),President,,,Taylor,107 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,107 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,107 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,107 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,107 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,107 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,107 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,107 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,107 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,107 - 0,11,167,129,307
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,107 - 0,11,37,24,72
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,107 - 0,0,12,4,16
David B. Collins,U.S. Senate,,GRN,Taylor,107 - 0,0,1,3,4
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,107 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,107 - 0,13,173,134,320
Tom Watson,U.S. House,19,DEM,Taylor,107 - 0,10,35,22,67
Joe Bumes,U.S. House,19,LIB,Taylor,107 - 0,0,5,1,6
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,107 - 0,10,176,131,317
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,107 - 0,11,36,22,69
Matt Sterett,Railroad Commissioner,,LIB,Taylor,107 - 0,0,4,2,6
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,107 - 0,0,0,0,0
Charles Perry,State Senate,28,REP,Taylor,107 - 0,12,195,148,355
Stan Lambert,State Representative,71,REP,Taylor,107 - 0,11,175,138,324
Samuel Hatton,State Representative,71,DEM,Taylor,107 - 0,10,37,18,65
Donald J Trump,President,,REP,Taylor,107 - A,0,6,0,6
Joseph R Biden,President,,DEM,Taylor,107 - A,0,0,0,0
Jo Jorgensen,President,,LIB,Taylor,107 - A,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,107 - A,0,0,0,0
Abram Loeb (W),President,,,Taylor,107 - A,0,0,0,0
Brian Carroll (W),President,,,Taylor,107 - A,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,107 - A,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,107 - A,0,0,0,0
Kasey Wells (W),President,,,Taylor,107 - A,0,0,0,0
President R. Boddie (W),President,,,Taylor,107 - A,0,0,0,0
Robert Marrow (W),President,,,Taylor,107 - A,0,0,0,0
Todd Cella (W),President,,,Taylor,107 - A,0,0,0,0
Tom Heofling (W),President,,,Taylor,107 - A,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,107 - A,0,6,0,6
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,107 - A,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,107 - A,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,107 - A,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,107 - A,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,107 - A,0,6,0,6
Tom Watson,U.S. House,19,DEM,Taylor,107 - A,0,0,0,0
Joe Bumes,U.S. House,19,LIB,Taylor,107 - A,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,107 - A,0,6,0,6
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,107 - A,0,0,0,0
Matt Sterett,Railroad Commissioner,,LIB,Taylor,107 - A,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,107 - A,0,0,0,0
Charles Perry,State Senate,28,REP,Taylor,107 - A,0,6,0,6
Stan Lambert,State Representative,71,REP,Taylor,107 - A,0,6,0,6
Samuel Hatton,State Representative,71,DEM,Taylor,107 - A,0,0,0,0
Donald J Trump,President,,REP,Taylor,107 - B,0,12,4,16
Joseph R Biden,President,,DEM,Taylor,107 - B,0,2,1,3
Jo Jorgensen,President,,LIB,Taylor,107 - B,0,1,0,1
Howie Hawkins,President,,GRN,Taylor,107 - B,0,0,0,0
Abram Loeb (W),President,,,Taylor,107 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,107 - B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,107 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,107 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,107 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,107 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,107 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,107 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,107 - B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,107 - B,0,12,4,16
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,107 - B,0,2,1,3
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,107 - B,0,1,0,1
David B. Collins,U.S. Senate,,GRN,Taylor,107 - B,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,107 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,107 - B,0,12,4,16
Tom Watson,U.S. House,19,DEM,Taylor,107 - B,0,2,1,3
Joe Bumes,U.S. House,19,LIB,Taylor,107 - B,0,1,0,1
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,107 - B,0,12,4,16
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,107 - B,0,2,1,3
Matt Sterett,Railroad Commissioner,,LIB,Taylor,107 - B,0,1,0,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,107 - B,0,0,0,0
Charles Perry,State Senate,28,REP,Taylor,107 - B,0,13,5,18
Stan Lambert,State Representative,71,REP,Taylor,107 - B,0,13,4,17
Samuel Hatton,State Representative,71,DEM,Taylor,107 - B,0,2,1,3
Donald J Trump,President,,REP,Taylor,108 - 0,0,3,0,3
Joseph R Biden,President,,DEM,Taylor,108 - 0,0,0,0,0
Jo Jorgensen,President,,LIB,Taylor,108 - 0,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,108 - 0,0,0,0,0
Abram Loeb (W),President,,,Taylor,108 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,108 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,108 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,108 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,108 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,108 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,108 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,108 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,108 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,108 - 0,0,3,0,3
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,108 - 0,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,108 - 0,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,108 - 0,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,108 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,108 - 0,0,3,0,3
Tom Watson,U.S. House,19,DEM,Taylor,108 - 0,0,0,0,0
Joe Bumes,U.S. House,19,LIB,Taylor,108 - 0,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,108 - 0,0,3,0,3
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,108 - 0,0,0,0,0
Matt Sterett,Railroad Commissioner,,LIB,Taylor,108 - 0,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,108 - 0,0,0,0,0
Dawn Buckingham,State Senate,24,REP,Taylor,108 - 0,0,3,0,3
Clayton Tucker,State Senate,24,DEM,Taylor,108 - 0,0,0,0,0
Stan Lambert,State Representative,71,REP,Taylor,108 - 0,0,3,0,3
Samuel Hatton,State Representative,71,DEM,Taylor,108 - 0,0,0,0,0
Donald J Trump,President,,REP,Taylor,108 - J,12,110,64,186
Joseph R Biden,President,,DEM,Taylor,108 - J,6,11,6,23
Jo Jorgensen,President,,LIB,Taylor,108 - J,0,0,1,1
Howie Hawkins,President,,GRN,Taylor,108 - J,0,0,0,0
Abram Loeb (W),President,,,Taylor,108 - J,0,0,0,0
Brian Carroll (W),President,,,Taylor,108 - J,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,108 - J,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,108 - J,0,0,0,0
Kasey Wells (W),President,,,Taylor,108 - J,0,0,0,0
President R. Boddie (W),President,,,Taylor,108 - J,0,0,0,0
Robert Marrow (W),President,,,Taylor,108 - J,0,0,0,0
Todd Cella (W),President,,,Taylor,108 - J,0,0,0,0
Tom Heofling (W),President,,,Taylor,108 - J,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,108 - J,12,108,59,179
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,108 - J,6,10,8,24
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,108 - J,0,1,3,4
David B. Collins,U.S. Senate,,GRN,Taylor,108 - J,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,108 - J,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,108 - J,12,108,62,182
Tom Watson,U.S. House,19,DEM,Taylor,108 - J,6,9,5,20
Joe Bumes,U.S. House,19,LIB,Taylor,108 - J,0,2,3,5
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,108 - J,10,108,59,177
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,108 - J,8,9,5,22
Matt Sterett,Railroad Commissioner,,LIB,Taylor,108 - J,0,2,5,7
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,108 - J,0,0,1,1
Dawn Buckingham,State Senate,24,REP,Taylor,108 - J,12,110,61,183
Clayton Tucker,State Senate,24,DEM,Taylor,108 - J,6,10,9,25
Stan Lambert,State Representative,71,REP,Taylor,108 - J,12,109,64,185
Samuel Hatton,State Representative,71,DEM,Taylor,108 - J,6,10,6,22
Donald J Trump,President,,REP,Taylor,108 - M,4,25,13,42
Joseph R Biden,President,,DEM,Taylor,108 - M,1,2,0,3
Jo Jorgensen,President,,LIB,Taylor,108 - M,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,108 - M,0,0,0,0
Abram Loeb (W),President,,,Taylor,108 - M,0,0,0,0
Brian Carroll (W),President,,,Taylor,108 - M,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,108 - M,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,108 - M,0,0,0,0
Kasey Wells (W),President,,,Taylor,108 - M,0,0,0,0
President R. Boddie (W),President,,,Taylor,108 - M,0,0,0,0
Robert Marrow (W),President,,,Taylor,108 - M,0,0,0,0
Todd Cella (W),President,,,Taylor,108 - M,0,0,0,0
Tom Heofling (W),President,,,Taylor,108 - M,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,108 - M,4,25,13,42
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,108 - M,1,2,0,3
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,108 - M,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,108 - M,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,108 - M,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,108 - M,4,25,12,41
Tom Watson,U.S. House,19,DEM,Taylor,108 - M,1,2,0,3
Joe Bumes,U.S. House,19,LIB,Taylor,108 - M,0,0,1,1
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,108 - M,4,24,13,41
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,108 - M,1,2,0,3
Matt Sterett,Railroad Commissioner,,LIB,Taylor,108 - M,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,108 - M,0,0,0,0
Dawn Buckingham,State Senate,24,REP,Taylor,108 - M,4,25,13,42
Clayton Tucker,State Senate,24,DEM,Taylor,108 - M,1,2,0,3
Stan Lambert,State Representative,71,REP,Taylor,108 - M,4,25,13,42
Samuel Hatton,State Representative,71,DEM,Taylor,108 - M,1,0,0,1
Donald J Trump,President,,REP,Taylor,108 - W,32,428,181,641
Joseph R Biden,President,,DEM,Taylor,108 - W,10,66,11,87
Jo Jorgensen,President,,LIB,Taylor,108 - W,1,3,3,7
Howie Hawkins,President,,GRN,Taylor,108 - W,0,0,1,1
Abram Loeb (W),President,,,Taylor,108 - W,0,0,0,0
Brian Carroll (W),President,,,Taylor,108 - W,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,108 - W,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,108 - W,0,0,0,0
Kasey Wells (W),President,,,Taylor,108 - W,0,0,0,0
President R. Boddie (W),President,,,Taylor,108 - W,0,0,0,0
Robert Marrow (W),President,,,Taylor,108 - W,0,0,0,0
Todd Cella (W),President,,,Taylor,108 - W,0,0,0,0
Tom Heofling (W),President,,,Taylor,108 - W,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,108 - W,34,430,180,644
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,108 - W,8,54,9,71
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,108 - W,1,7,3,11
David B. Collins,U.S. Senate,,GRN,Taylor,108 - W,0,2,2,4
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,108 - W,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,108 - W,35,435,182,652
Tom Watson,U.S. House,19,DEM,Taylor,108 - W,7,52,9,68
Joe Bumes,U.S. House,19,LIB,Taylor,108 - W,1,5,3,9
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,108 - W,34,427,176,637
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,108 - W,5,50,10,65
