county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day,provisional
Van Zandt,1B,Ballots Cast,,,,1042,56,291,690,5
Van Zandt,1B,Ballots Cast,,,REP,911,46,262,598,5
Van Zandt,1B,Ballots Cast,,,DEM,131,10,29,92,0
Van Zandt,1B,President,,"Roque ""Rocky"" De La Fuente Guerrra",REP,0,0,0,0,0
Van Zandt,1B,President,,Matthew John Matern,REP,1,0,0,1,0
Van Zandt,1B,President,,Joe Walsh,REP,3,0,0,3,0
Van Zandt,1B,President,,Donald J. Trump,REP,871,42,252,572,5
Van Zandt,1B,President,,Bill Weld,REP,0,0,0,0,0
Van Zandt,1B,President,,Bob Ely,REP,2,0,1,1,0
Van Zandt,1B,President,,Zoltan G. Istvan,REP,0,0,0,0,0
Van Zandt,1B,President,,Uncommitted,REP,31,4,9,18,0
Van Zandt,1B,U.S. Senate,,Mark Yancey,REP,76,3,25,45,3
Van Zandt,1B,U.S. Senate,,John Anthony Castro,REP,37,0,7,30,0
Van Zandt,1B,U.S. Senate,,Virgil Bierschwale,REP,9,0,1,8,0
Van Zandt,1B,U.S. Senate,,Dwayne Stovall,REP,160,11,45,104,0
Van Zandt,1B,U.S. Senate,,John Cornyn,REP,570,32,170,367,1
Van Zandt,1B,U.S. House,5,Lance Gooden,REP,699,42,202,453,2
Van Zandt,1B,U.S. House,5,Don Hill,REP,150,3,48,97,2
Van Zandt,1B,Railroad Commissioner,,"James ""Jim"" Wright",REP,423,21,126,272,4
Van Zandt,1B,Railroad Commissioner,,Ryan Sitton,REP,354,21,112,221,0
Van Zandt,1B,State Representative,2,Dan Flynn,REP,408,17,110,278,3
Van Zandt,1B,State Representative,2,Bryan Slaton,REP,260,18,90,152,0
Van Zandt,1B,State Representative,2,"Dwayne ""Doc"" Collins",REP,207,11,58,137,1
Van Zandt,1B,President,,Michael R. Bloomberg,DEM,19,2,7,10,0
Van Zandt,1B,President,,Marianne Williamson,DEM,0,0,0,0,0
Van Zandt,1B,President,,Bernie Sanders,DEM,26,0,11,15,0
Van Zandt,1B,President,,Julian Castro,DEM,0,0,0,0,0
Van Zandt,1B,President,,Deval Patrick,DEM,0,0,0,0,0
Van Zandt,1B,President,,Joseph R. Biden,DEM,72,7,7,58,0
Van Zandt,1B,President,,Michael Bennet,DEM,0,0,0,0,0
Van Zandt,1B,President,,Amy Klobuchar,DEM,1,1,0,0,0
Van Zandt,1B,President,,Tom Steyer,DEM,0,0,0,0,0
Van Zandt,1B,President,,Robby Wells,DEM,1,0,0,1,0
Van Zandt,1B,President,,Andrew Yang,DEM,0,0,0,0,0
Van Zandt,1B,President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0,0,0
Van Zandt,1B,President,,John K. Delaney,DEM,0,0,0,0,0
Van Zandt,1B,President,,Pete Buttigieg,DEM,2,0,1,1,0
Van Zandt,1B,President,,Elizabeth Warren,DEM,8,0,3,5,0
Van Zandt,1B,President,,Tulsi Gabbard,DEM,0,0,0,0,0
Van Zandt,1B,President,,Cory Booker,DEM,1,0,0,1,0
Van Zandt,1B,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,54,8,15,31,0
Van Zandt,1B,U.S. Senate,,Michael Cooper,DEM,12,0,4,8,0
Van Zandt,1B,U.S. Senate,,D. R. Hunter,DEM,3,0,0,3,0
Van Zandt,1B,U.S. Senate,,Chris Bell,DEM,16,0,2,14,0
Van Zandt,1B,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,4,0,0,4,0
Van Zandt,1B,U.S. Senate,,Amanda K. Edwards,DEM,7,1,0,6,0
Van Zandt,1B,U.S. Senate,,Adrian Ocegueda,DEM,1,0,0,1,0
Van Zandt,1B,U.S. Senate,,Sema Hernandez,DEM,1,0,0,1,0
Van Zandt,1B,U.S. Senate,,Royce West,DEM,7,0,0,7,0
Van Zandt,1B,U.S. Senate,,Victor Hugo Harris,DEM,3,1,1,1,0
Van Zandt,1B,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,1,0,0,1,0
Van Zandt,1B,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,4,0,2,2,0
Van Zandt,1B,U.S. House,,Carolyn Salter,DEM,90,10,20,60,0
Van Zandt,1B,Railroad Commissioner,,Kelly Stone,DEM,35,4,7,24,0
Van Zandt,1B,Railroad Commissioner,,Chrysta Castaneda,DEM,28,4,5,19,0
Van Zandt,1B,Railroad Commissioner,,Mark Watson,DEM,39,2,8,29,0
Van Zandt,1B,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,11,0,3,8,0
Van Zandt,1B,State Representative,2,Bill Brannon,DEM,99,9,21,69,0
Van Zandt,1C,Registered Voters,,,,0,,,,
Van Zandt,1C,Ballots Cast,,,,552,24,120,408,0
Van Zandt,1C,Ballots Cast,,,REP,495,18,111,366,0
Van Zandt,1C,Ballots Cast,,,DEM,57,6,9,42,0
Van Zandt,1C,President,,"Roque ""Rocky"" De La Fuente Guerrra",REP,0,0,0,0,0
Van Zandt,1C,President,,Matthew John Matern,REP,0,0,0,0,0
Van Zandt,1C,President,,Joe Walsh,REP,0,0,0,0,0
Van Zandt,1C,President,,Donald J. Trump,REP,485,17,111,357,0
Van Zandt,1C,President,,Bill Weld,REP,2,1,0,1,0
Van Zandt,1C,President,,Bob Ely,REP,1,0,0,1,0
Van Zandt,1C,President,,Zoltan G. Istvan,REP,0,0,0,0,0
Van Zandt,1C,President,,Uncommitted,REP,2,0,0,2,0
Van Zandt,1C,U.S. Senate,,Mark Yancey,REP,27,3,5,19,0
Van Zandt,1C,U.S. Senate,,John Anthony Castro,REP,10,0,1,9,0
Van Zandt,1C,U.S. Senate,,Virgil Bierschwale,REP,3,0,1,2,0
Van Zandt,1C,U.S. Senate,,Dwayne Stovall,REP,77,1,22,54,0
Van Zandt,1C,U.S. Senate,,John Cornyn,REP,330,14,74,242,0
Van Zandt,1C,U.S. House,5,Lance Gooden,REP,367,15,85,267,0
Van Zandt,1C,U.S. House,5,Don Hill,REP,85,2,18,65,0
Van Zandt,1C,Railroad Commissioner,,"James ""Jim"" Wright",REP,224,7,51,166,0
Van Zandt,1C,Railroad Commissioner,,Ryan Sitton,REP,184,9,44,131,0
Van Zandt,1C,State Representative,2,Dan Flynn,REP,248,7,52,189,0
Van Zandt,1C,State Representative,2,Bryan Slaton,REP,96,7,20,69,0
Van Zandt,1C,State Representative,2,"Dwayne ""Doc"" Collins",REP,134,4,37,93,0
Van Zandt,1C,President,,Michael R. Bloomberg,DEM,5,1,1,3,0
Van Zandt,1C,President,,Marianne Williamson,DEM,0,0,0,0,0
Van Zandt,1C,President,,Bernie Sanders,DEM,9,0,3,6,0
Van Zandt,1C,President,,Julian Castro,DEM,0,0,0,0,0
Van Zandt,1C,President,,Deval Patrick,DEM,0,0,0,0,0
Van Zandt,1C,President,,Joseph R. Biden,DEM,30,4,3,23,0
Van Zandt,1C,President,,Michael Bennet,DEM,1,0,0,1,0
Van Zandt,1C,President,,Amy Klobuchar,DEM,0,0,0,0,0
Van Zandt,1C,President,,Tom Steyer,DEM,0,0,0,0,0
Van Zandt,1C,President,,Robby Wells,DEM,0,0,0,0,0
Van Zandt,1C,President,,Andrew Yang,DEM,0,0,0,0,0
Van Zandt,1C,President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0,0,0
Van Zandt,1C,President,,John K. Delaney,DEM,0,0,0,0,0
Van Zandt,1C,President,,Pete Buttigieg,DEM,1,1,0,0,0
Van Zandt,1C,President,,Elizabeth Warren,DEM,10,0,2,8,0
Van Zandt,1C,President,,Tulsi Gabbard,DEM,0,0,0,0,0
Van Zandt,1C,President,,Cory Booker,DEM,0,0,0,0,0
Van Zandt,1C,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,20,5,4,11,0
Van Zandt,1C,U.S. Senate,,Michael Cooper,DEM,3,0,0,3,0
Van Zandt,1C,U.S. Senate,,D. R. Hunter,DEM,1,0,0,1,0
Van Zandt,1C,U.S. Senate,,Chris Bell,DEM,8,1,0,7,0
Van Zandt,1C,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,1,0,1,0,0
Van Zandt,1C,U.S. Senate,,Amanda K. Edwards,DEM,6,0,0,6,0
Van Zandt,1C,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0,0
Van Zandt,1C,U.S. Senate,,Sema Hernandez,DEM,4,0,3,1,0
Van Zandt,1C,U.S. Senate,,Royce West,DEM,7,0,1,6,0
Van Zandt,1C,U.S. Senate,,Victor Hugo Harris,DEM,1,0,0,1,0
Van Zandt,1C,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0,0
Van Zandt,1C,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,1,0,0,1,0
Van Zandt,1C,U.S. House,,Carolyn Salter,DEM,45,6,7,32,0
Van Zandt,1C,Railroad Commissioner,,Kelly Stone,DEM,23,6,2,15,0
Van Zandt,1C,Railroad Commissioner,,Chrysta Castaneda,DEM,15,0,3,12,0
Van Zandt,1C,Railroad Commissioner,,Mark Watson,DEM,7,0,1,6,0
Van Zandt,1C,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,4,0,1,3,0
Van Zandt,1C,State Representative,2,Bill Brannon,DEM,47,6,5,36,0
Van Zandt,1D,Registered Voters,,,,0,,,,
Van Zandt,1D,Ballots Cast,,,,467,24,130,311,2
Van Zandt,1D,Ballots Cast,,,REP,427,20,124,281,2
Van Zandt,1D,Ballots Cast,,,DEM,40,4,6,30,0
Van Zandt,1D,President,,"Roque ""Rocky"" De La Fuente Guerrra",REP,2,0,0,2,0
Van Zandt,1D,President,,Matthew John Matern,REP,1,1,0,0,0
Van Zandt,1D,President,,Joe Walsh,REP,4,0,0,4,0
Van Zandt,1D,President,,Donald J. Trump,REP,397,19,117,259,2
Van Zandt,1D,President,,Bill Weld,REP,1,0,0,1,0
Van Zandt,1D,President,,Bob Ely,REP,1,0,0,1,0
Van Zandt,1D,President,,Zoltan G. Istvan,REP,0,0,0,0,0
Van Zandt,1D,President,,Uncommitted,REP,16,0,7,9,0
Van Zandt,1D,U.S. Senate,,Mark Yancey,REP,38,1,6,31,0
Van Zandt,1D,U.S. Senate,,John Anthony Castro,REP,11,0,2,9,0
Van Zandt,1D,U.S. Senate,,Virgil Bierschwale,REP,1,0,1,0,0
Van Zandt,1D,U.S. Senate,,Dwayne Stovall,REP,75,1,27,47,0
Van Zandt,1D,U.S. Senate,,John Cornyn,REP,267,18,78,171,0
Van Zandt,1D,U.S. House,5,Lance Gooden,REP,315,18,84,213,0
Van Zandt,1D,U.S. House,5,Don Hill,REP,79,2,28,49,0
Van Zandt,1D,Railroad Commissioner,,"James ""Jim"" Wright",REP,221,9,55,157,0
Van Zandt,1D,Railroad Commissioner,,Ryan Sitton,REP,143,9,49,85,0
Van Zandt,1D,State Representative,2,Dan Flynn,REP,173,6,39,127,1
Van Zandt,1D,State Representative,2,Bryan Slaton,REP,133,8,37,88,0
Van Zandt,1D,State Representative,2,"Dwayne ""Doc"" Collins",REP,100,5,40,55,0
Van Zandt,1D,President,,Michael R. Bloomberg,DEM,8,1,6,1,0
Van Zandt,1D,President,,Marianne Williamson,DEM,0,0,0,0,0
Van Zandt,1D,President,,Bernie Sanders,DEM,8,2,0,6,0
Van Zandt,1D,President,,Julian Castro,DEM,0,0,0,0,0
Van Zandt,1D,President,,Deval Patrick,DEM,0,0,0,0,0
Van Zandt,1D,President,,Joseph R. Biden,DEM,17,0,0,17,0
Van Zandt,1D,President,,Michael Bennet,DEM,0,0,0,0,0
Van Zandt,1D,President,,Amy Klobuchar,DEM,1,0,0,1,0
Van Zandt,1D,President,,Tom Steyer,DEM,0,0,0,0,0
Van Zandt,1D,President,,Robby Wells,DEM,0,0,0,0,0
Van Zandt,1D,President,,Andrew Yang,DEM,0,0,0,0,0
Van Zandt,1D,President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0,0,0
Van Zandt,1D,President,,John K. Delaney,DEM,0,0,0,0,0
Van Zandt,1D,President,,Pete Buttigieg,DEM,1,1,0,0,0
Van Zandt,1D,President,,Elizabeth Warren,DEM,2,0,0,2,0
Van Zandt,1D,President,,Tulsi Gabbard,DEM,0,0,0,0,0
Van Zandt,1D,President,,Cory Booker,DEM,1,0,0,1,0
Van Zandt,1D,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,13,3,4,6,0
Van Zandt,1D,U.S. Senate,,Michael Cooper,DEM,2,0,0,2,0
Van Zandt,1D,U.S. Senate,,D. R. Hunter,DEM,0,0,0,0,0
Van Zandt,1D,U.S. Senate,,Chris Bell,DEM,2,0,0,2,0
Van Zandt,1D,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,2,0,0,2,0
Van Zandt,1D,U.S. Senate,,Amanda K. Edwards,DEM,2,0,0,2,0
Van Zandt,1D,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0,0
Van Zandt,1D,U.S. Senate,,Sema Hernandez,DEM,4,1,0,3,0
Van Zandt,1D,U.S. Senate,,Royce West,DEM,6,0,2,4,0
Van Zandt,1D,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0,0
Van Zandt,1D,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,1,0,0,1,0
Van Zandt,1D,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,1,0,0,1,0
Van Zandt,1D,U.S. House,,Carolyn Salter,DEM,22,3,4,15,0
Van Zandt,1D,Railroad Commissioner,,Kelly Stone,DEM,9,2,3,4,0
Van Zandt,1D,Railroad Commissioner,,Chrysta Castaneda,DEM,6,1,1,4,0
Van Zandt,1D,Railroad Commissioner,,Mark Watson,DEM,9,0,2,7,0
Van Zandt,1D,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,3,0,0,3,0
Van Zandt,1D,State Representative,2,Bill Brannon,DEM,28,3,4,21,0
Van Zandt,1E,Registered Voters,,,,0,,,, 
Van Zandt,1E,Ballots Cast,,,,252,13,71,168,0
Van Zandt,1E,Ballots Cast,,,REP,202,12,56,134,0
Van Zandt,1E,Ballots Cast,,,DEM,50,1,15,34,0
Van Zandt,1E,President,,"Roque ""Rocky"" De La Fuente Guerrra",REP,0,0,0,0,0
Van Zandt,1E,President,,Matthew John Matern,REP,0,0,0,0,0
Van Zandt,1E,President,,Joe Walsh,REP,0,0,0,0,0
Van Zandt,1E,President,,Donald J. Trump,REP,186,11,52,123,0
Van Zandt,1E,President,,Bill Weld,REP,1,0,1,0,0
Van Zandt,1E,President,,Bob Ely,REP,0,0,0,0,0
Van Zandt,1E,President,,Zoltan G. Istvan,REP,0,0,0,0,0
Van Zandt,1E,President,,Uncommitted,REP,10,1,2,7,0
Van Zandt,1E,U.S. Senate,,Mark Yancey,REP,16,0,4,12,0
Van Zandt,1E,U.S. Senate,,John Anthony Castro,REP,4,0,0,4,0
Van Zandt,1E,U.S. Senate,,Virgil Bierschwale,REP,3,0,1,2,0
Van Zandt,1E,U.S. Senate,,Dwayne Stovall,REP,37,1,12,24,0
Van Zandt,1E,U.S. Senate,,John Cornyn,REP,117,11,32,74,0
Van Zandt,1E,U.S. House,5,Lance Gooden,REP,149,11,45,93,0
Van Zandt,1E,U.S. House,5,Don Hill,REP,39,0,7,32,0
Van Zandt,1E,Railroad Commissioner,,"James ""Jim"" Wright",REP,103,7,24,72,0
Van Zandt,1E,Railroad Commissioner,,Ryan Sitton,REP,69,5,23,41,0
Van Zandt,1E,State Representative,2,Dan Flynn,REP,84,7,20,57,0
Van Zandt,1E,State Representative,2,Bryan Slaton,REP,59,2,19,38,0
Van Zandt,1E,State Representative,2,"Dwayne ""Doc"" Collins",REP,45,2,16,27,0
Van Zandt,1E,President,,Michael R. Bloomberg,DEM,10,0,6,4,0
Van Zandt,1E,President,,Marianne Williamson,DEM,0,0,0,0,0
Van Zandt,1E,President,,Bernie Sanders,DEM,12,1,4,7,0
Van Zandt,1E,President,,Julian Castro,DEM,0,0,0,0,0
Van Zandt,1E,President,,Deval Patrick,DEM,0,0,0,0,0
Van Zandt,1E,President,,Joseph R. Biden,DEM,24,0,3,21,0
Van Zandt,1E,President,,Michael Bennet,DEM,0,0,0,0,0
Van Zandt,1E,President,,Amy Klobuchar,DEM,2,0,2,0,0
Van Zandt,1E,President,,Tom Steyer,DEM,0,0,0,0,0
Van Zandt,1E,President,,Robby Wells,DEM,0,0,0,0,0
Van Zandt,1E,President,,Andrew Yang,DEM,0,0,0,0,0
Van Zandt,1E,President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0,0,0
Van Zandt,1E,President,,John K. Delaney,DEM,0,0,0,0,0
Van Zandt,1E,President,,Pete Buttigieg,DEM,0,0,0,0,0
Van Zandt,1E,President,,Elizabeth Warren,DEM,2,0,0,2,0
Van Zandt,1E,President,,Tulsi Gabbard,DEM,0,0,0,0,0
Van Zandt,1E,President,,Cory Booker,DEM,0,0,0,0,0
Van Zandt,1E,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,11,0,3,8,0
Van Zandt,1E,U.S. Senate,,Michael Cooper,DEM,0,0,0,0,0
Van Zandt,1E,U.S. Senate,,D. R. Hunter,DEM,1,0,1,0,0
Van Zandt,1E,U.S. Senate,,Chris Bell,DEM,5,1,1,3,0
Van Zandt,1E,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,2,0,1,1,0
Van Zandt,1E,U.S. Senate,,Amanda K. Edwards,DEM,1,0,0,1,0
Van Zandt,1E,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0,0
Van Zandt,1E,U.S. Senate,,Sema Hernandez,DEM,2,0,1,1,0
Van Zandt,1E,U.S. Senate,,Royce West,DEM,15,0,3,12,0
Van Zandt,1E,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0,0
Van Zandt,1E,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0,0
Van Zandt,1E,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,2,0,1,1,0
Van Zandt,1E,U.S. House,,Carolyn Salter,DEM,27,1,9,17,0
Van Zandt,1E,Railroad Commissioner,,Kelly Stone,DEM,14,0,4,10,0
Van Zandt,1E,Railroad Commissioner,,Chrysta Castaneda,DEM,6,0,3,3,0
Van Zandt,1E,Railroad Commissioner,,Mark Watson,DEM,9,1,2,6,0
Van Zandt,1E,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,8,0,2,6,0
Van Zandt,1E,State Representative,2,Bill Brannon,DEM,30,1,11,18,0
Van Zandt,2A,Registered Voters,,,,0,,,,
Van Zandt,2A,Ballots Cast,,,,1194,64,685,444,1
Van Zandt,2A,Ballots Cast,,,REP,1067,49,637,380,1
Van Zandt,2A,Ballots Cast,,,DEM,127,15,48,64,0
Van Zandt,2A,President,,"Roque ""Rocky"" De La Fuente Guerrra",REP,1,0,1,0,0
Van Zandt,2A,President,,Matthew John Matern,REP,2,1,1,0,0
Van Zandt,2A,President,,Joe Walsh,REP,5,0,3,2,0
Van Zandt,2A,President,,Donald J. Trump,REP,1018,47,612,358,1
Van Zandt,2A,President,,Bill Weld,REP,6,0,3,3,0
Van Zandt,2A,President,,Bob Ely,REP,1,0,1,0,0
Van Zandt,2A,President,,Zoltan G. Istvan,REP,1,0,1,0,0
Van Zandt,2A,President,,Uncommitted,REP,19,1,9,9,0
Van Zandt,2A,U.S. Senate,,Mark Yancey,REP,66,0,45,21,0
Van Zandt,2A,U.S. Senate,,John Anthony Castro,REP,41,2,20,19,0
Van Zandt,2A,U.S. Senate,,Virgil Bierschwale,REP,11,0,7,4,0
Van Zandt,2A,U.S. Senate,,Dwayne Stovall,REP,129,0,76,52,1
Van Zandt,2A,U.S. Senate,,John Cornyn,REP,732,47,447,238,0
Van Zandt,2A,U.S. House,5,Lance Gooden,REP,833,45,518,270,0
Van Zandt,2A,U.S. House,5,Don Hill,REP,183,3,92,87,1
Van Zandt,2A,Railroad Commissioner,,"James ""Jim"" Wright",REP,497,29,297,170,1
Van Zandt,2A,Railroad Commissioner,,Ryan Sitton,REP,374,19,227,128,0
Van Zandt,2A,State Representative,2,Dan Flynn,REP,498,16,312,169,1
Van Zandt,2A,State Representative,2,Bryan Slaton,REP,295,22,177,96,0
Van Zandt,2A,State Representative,2,"Dwayne ""Doc"" Collins",REP,249,11,133,105,0
Van Zandt,2A,President,,Michael R. Bloomberg,DEM,23,7,10,6,0
Van Zandt,2A,President,,Marianne Williamson,DEM,0,0,0,0,0
Van Zandt,2A,President,,Bernie Sanders,DEM,36,1,14,21,0
Van Zandt,2A,President,,Julian Castro,DEM,0,0,0,0,0
Van Zandt,2A,President,,Deval Patrick,DEM,0,0,0,0,0
Van Zandt,2A,President,,Joseph R. Biden,DEM,52,6,11,35,0
Van Zandt,2A,President,,Michael Bennet,DEM,1,0,0,1,0
Van Zandt,2A,President,,Amy Klobuchar,DEM,4,0,4,0,0
Van Zandt,2A,President,,Tom Steyer,DEM,0,0,0,0,0
Van Zandt,2A,President,,Robby Wells,DEM,0,0,0,0,0
Van Zandt,2A,President,,Andrew Yang,DEM,0,0,0,0,0
Van Zandt,2A,President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0,0,0
Van Zandt,2A,President,,John K. Delaney,DEM,0,0,0,0,0
Van Zandt,2A,President,,Pete Buttigieg,DEM,5,0,5,0,0
Van Zandt,2A,President,,Elizabeth Warren,DEM,5,0,4,1,0
Van Zandt,2A,President,,Tulsi Gabbard,DEM,0,0,0,0,0
Van Zandt,2A,President,,Cory Booker,DEM,0,0,0,0,0
Van Zandt,2A,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,40,6,22,12,0
Van Zandt,2A,U.S. Senate,,Michael Cooper,DEM,5,0,2,3,0
Van Zandt,2A,U.S. Senate,,D. R. Hunter,DEM,5,0,0,5,0
Van Zandt,2A,U.S. Senate,,Chris Bell,DEM,9,0,4,5,0
Van Zandt,2A,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,13,0,7,6,0
Van Zandt,2A,U.S. Senate,,Amanda K. Edwards,DEM,10,3,4,3,0
Van Zandt,2A,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0,0
Van Zandt,2A,U.S. Senate,,Sema Hernandez,DEM,3,0,1,2,0
Van Zandt,2A,U.S. Senate,,Royce West,DEM,15,5,1,9,0
Van Zandt,2A,U.S. Senate,,Victor Hugo Harris,DEM,3,0,1,2,0
Van Zandt,2A,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0,0
Van Zandt,2A,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,10,0,3,7,0
Van Zandt,2A,U.S. House,,Carolyn Salter,DEM,92,13,35,44,0
Van Zandt,2A,Railroad Commissioner,,Kelly Stone,DEM,34,1,17,16,0
Van Zandt,2A,Railroad Commissioner,,Chrysta Castaneda,DEM,31,7,9,15,0
Van Zandt,2A,Railroad Commissioner,,Mark Watson,DEM,22,3,7,12,0
