county,precinct,office,district,party,candidate,votes,election_day,mail,early_voting
Chambers,1,President,,DEM,Cory Booker,0,,,
Chambers,2,President,,DEM,Cory Booker,0,,,
Chambers,3,President,,DEM,Cory Booker,0,,,
Chambers,4,President,,DEM,Cory Booker,1,,,
Chambers,5,President,,DEM,Cory Booker,0,,,
Chambers,6,President,,DEM,Cory Booker,2,,,
Chambers,7,President,,DEM,Cory Booker,1,,,
Chambers,8,President,,DEM,Cory Booker,0,,,
Chambers,9,President,,DEM,Cory Booker,0,,,
Chambers,10,President,,DEM,Cory Booker,0,,,
Chambers,11,President,,DEM,Cory Booker,0,,,
Chambers,12,President,,DEM,Cory Booker,0,,,
Chambers,14,President,,DEM,Cory Booker,0,,,
Chambers,15,President,,DEM,Cory Booker,0,,,
Chambers,1,President,,DEM,Andrew Yang,0,,,
Chambers,2,President,,DEM,Andrew Yang,0,,,
Chambers,3,President,,DEM,Andrew Yang,0,,,
Chambers,4,President,,DEM,Andrew Yang,0,,,
Chambers,5,President,,DEM,Andrew Yang,1,,,
Chambers,6,President,,DEM,Andrew Yang,0,,,
Chambers,7,President,,DEM,Andrew Yang,0,,,
Chambers,8,President,,DEM,Andrew Yang,1,,,
Chambers,9,President,,DEM,Andrew Yang,0,,,
Chambers,10,President,,DEM,Andrew Yang,0,,,
Chambers,11,President,,DEM,Andrew Yang,0,,,
Chambers,12,President,,DEM,Andrew Yang,2,,,
Chambers,14,President,,DEM,Andrew Yang,0,,,
Chambers,15,President,,DEM,Andrew Yang,0,,,
Chambers,1,President,,DEM,Michael R. Bloomberg,1,,,
Chambers,2,President,,DEM,Michael R. Bloomberg,7,,,
Chambers,3,President,,DEM,Michael R. Bloomberg,9,,,
Chambers,4,President,,DEM,Michael R. Bloomberg,25,,,
Chambers,5,President,,DEM,Michael R. Bloomberg,21,,,
Chambers,6,President,,DEM,Michael R. Bloomberg,12,,,
Chambers,7,President,,DEM,Michael R. Bloomberg,14,,,
Chambers,8,President,,DEM,Michael R. Bloomberg,19,,,
Chambers,9,President,,DEM,Michael R. Bloomberg,1,,,
Chambers,10,President,,DEM,Michael R. Bloomberg,21,,,
Chambers,11,President,,DEM,Michael R. Bloomberg,16,,,
Chambers,12,President,,DEM,Michael R. Bloomberg,18,,,
Chambers,14,President,,DEM,Michael R. Bloomberg,1,,,
Chambers,15,President,,DEM,Michael R. Bloomberg,20,,,
Chambers,1,President,,DEM,Amy Klobuchar,0,,,
Chambers,2,President,,DEM,Amy Klobuchar,2,,,
Chambers,3,President,,DEM,Amy Klobuchar,1,,,
Chambers,4,President,,DEM,Amy Klobuchar,2,,,
Chambers,5,President,,DEM,Amy Klobuchar,0,,,
Chambers,6,President,,DEM,Amy Klobuchar,1,,,
Chambers,7,President,,DEM,Amy Klobuchar,3,,,
Chambers,8,President,,DEM,Amy Klobuchar,6,,,
Chambers,9,President,,DEM,Amy Klobuchar,3,,,
Chambers,10,President,,DEM,Amy Klobuchar,7,,,
Chambers,11,President,,DEM,Amy Klobuchar,4,,,
Chambers,12,President,,DEM,Amy Klobuchar,2,,,
Chambers,14,President,,DEM,Amy Klobuchar,0,,,
Chambers,15,President,,DEM,Amy Klobuchar,2,,,
Chambers,1,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,2,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,3,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,4,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,5,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,6,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,7,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,8,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,9,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,10,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,11,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,12,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,14,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,15,President,,DEM,"Roque ""Rocky"" De La Fuente",0,,,
Chambers,1,President,,DEM,Tom Steyer,0,,,
Chambers,2,President,,DEM,Tom Steyer,1,,,
Chambers,3,President,,DEM,Tom Steyer,1,,,
Chambers,4,President,,DEM,Tom Steyer,2,,,
Chambers,5,President,,DEM,Tom Steyer,1,,,
Chambers,6,President,,DEM,Tom Steyer,2,,,
Chambers,7,President,,DEM,Tom Steyer,2,,,
Chambers,8,President,,DEM,Tom Steyer,4,,,
Chambers,9,President,,DEM,Tom Steyer,0,,,
Chambers,10,President,,DEM,Tom Steyer,2,,,
Chambers,11,President,,DEM,Tom Steyer,1,,,
Chambers,12,President,,DEM,Tom Steyer,1,,,
Chambers,14,President,,DEM,Tom Steyer,0,,,
Chambers,15,President,,DEM,Tom Steyer,1,,,
Chambers,1,President,,DEM,Joseph R. Biden,12,,,
Chambers,2,President,,DEM,Joseph R. Biden,15,,,
Chambers,3,President,,DEM,Joseph R. Biden,16,,,
Chambers,4,President,,DEM,Joseph R. Biden,46,,,
Chambers,5,President,,DEM,Joseph R. Biden,45,,,
Chambers,6,President,,DEM,Joseph R. Biden,34,,,
Chambers,7,President,,DEM,Joseph R. Biden,37,,,
Chambers,8,President,,DEM,Joseph R. Biden,71,,,
Chambers,9,President,,DEM,Joseph R. Biden,4,,,
Chambers,10,President,,DEM,Joseph R. Biden,58,,,
Chambers,11,President,,DEM,Joseph R. Biden,55,,,
Chambers,12,President,,DEM,Joseph R. Biden,31,,,
Chambers,14,President,,DEM,Joseph R. Biden,2,,,
Chambers,15,President,,DEM,Joseph R. Biden,80,,,
Chambers,1,President,,DEM,Deval Patrick,0,,,
Chambers,2,President,,DEM,Deval Patrick,0,,,
Chambers,3,President,,DEM,Deval Patrick,0,,,
Chambers,4,President,,DEM,Deval Patrick,0,,,
Chambers,5,President,,DEM,Deval Patrick,0,,,
Chambers,6,President,,DEM,Deval Patrick,0,,,
Chambers,7,President,,DEM,Deval Patrick,0,,,
Chambers,8,President,,DEM,Deval Patrick,0,,,
Chambers,9,President,,DEM,Deval Patrick,0,,,
Chambers,10,President,,DEM,Deval Patrick,0,,,
Chambers,11,President,,DEM,Deval Patrick,0,,,
Chambers,12,President,,DEM,Deval Patrick,0,,,
Chambers,14,President,,DEM,Deval Patrick,0,,,
Chambers,15,President,,DEM,Deval Patrick,0,,,
Chambers,1,President,,DEM,Tulsi Gabbard,0,,,
Chambers,2,President,,DEM,Tulsi Gabbard,0,,,
Chambers,3,President,,DEM,Tulsi Gabbard,0,,,
Chambers,4,President,,DEM,Tulsi Gabbard,0,,,
Chambers,5,President,,DEM,Tulsi Gabbard,1,,,
Chambers,6,President,,DEM,Tulsi Gabbard,0,,,
Chambers,7,President,,DEM,Tulsi Gabbard,1,,,
Chambers,8,President,,DEM,Tulsi Gabbard,0,,,
Chambers,9,President,,DEM,Tulsi Gabbard,0,,,
Chambers,10,President,,DEM,Tulsi Gabbard,1,,,
Chambers,11,President,,DEM,Tulsi Gabbard,0,,,
Chambers,12,President,,DEM,Tulsi Gabbard,0,,,
Chambers,14,President,,DEM,Tulsi Gabbard,0,,,
Chambers,15,President,,DEM,Tulsi Gabbard,1,,,
Chambers,1,President,,DEM,Julian Castro,0,,,
Chambers,2,President,,DEM,Julian Castro,0,,,
Chambers,3,President,,DEM,Julian Castro,0,,,
Chambers,4,President,,DEM,Julian Castro,0,,,
Chambers,5,President,,DEM,Julian Castro,0,,,
Chambers,6,President,,DEM,Julian Castro,0,,,
Chambers,7,President,,DEM,Julian Castro,0,,,
Chambers,8,President,,DEM,Julian Castro,0,,,
Chambers,9,President,,DEM,Julian Castro,0,,,
Chambers,10,President,,DEM,Julian Castro,0,,,
Chambers,11,President,,DEM,Julian Castro,0,,,
Chambers,12,President,,DEM,Julian Castro,0,,,
Chambers,14,President,,DEM,Julian Castro,0,,,
Chambers,15,President,,DEM,Julian Castro,0,,,
Chambers,1,President,,DEM,Elizabeth Warren,2,,,
Chambers,2,President,,DEM,Elizabeth Warren,3,,,
Chambers,3,President,,DEM,Elizabeth Warren,0,,,
Chambers,4,President,,DEM,Elizabeth Warren,19,,,
Chambers,5,President,,DEM,Elizabeth Warren,9,,,
Chambers,6,President,,DEM,Elizabeth Warren,8,,,
Chambers,7,President,,DEM,Elizabeth Warren,5,,,
Chambers,8,President,,DEM,Elizabeth Warren,12,,,
Chambers,9,President,,DEM,Elizabeth Warren,0,,,
Chambers,10,President,,DEM,Elizabeth Warren,13,,,
Chambers,11,President,,DEM,Elizabeth Warren,6,,,
Chambers,12,President,,DEM,Elizabeth Warren,2,,,
Chambers,14,President,,DEM,Elizabeth Warren,2,,,
Chambers,15,President,,DEM,Elizabeth Warren,15,,,
Chambers,1,President,,DEM,Michael Bennet,0,,,
Chambers,2,President,,DEM,Michael Bennet,0,,,
Chambers,3,President,,DEM,Michael Bennet,0,,,
Chambers,4,President,,DEM,Michael Bennet,0,,,
Chambers,5,President,,DEM,Michael Bennet,0,,,
Chambers,6,President,,DEM,Michael Bennet,0,,,
Chambers,7,President,,DEM,Michael Bennet,0,,,
Chambers,8,President,,DEM,Michael Bennet,0,,,
Chambers,9,President,,DEM,Michael Bennet,0,,,
Chambers,10,President,,DEM,Michael Bennet,1,,,
Chambers,11,President,,DEM,Michael Bennet,0,,,
Chambers,12,President,,DEM,Michael Bennet,0,,,
Chambers,14,President,,DEM,Michael Bennet,0,,,
Chambers,15,President,,DEM,Michael Bennet,1,,,
Chambers,1,President,,DEM,Pete Buttigieg,0,,,
Chambers,2,President,,DEM,Pete Buttigieg,0,,,
Chambers,3,President,,DEM,Pete Buttigieg,2,,,
Chambers,4,President,,DEM,Pete Buttigieg,8,,,
Chambers,5,President,,DEM,Pete Buttigieg,4,,,
Chambers,6,President,,DEM,Pete Buttigieg,0,,,
Chambers,7,President,,DEM,Pete Buttigieg,11,,,
Chambers,8,President,,DEM,Pete Buttigieg,7,,,
Chambers,9,President,,DEM,Pete Buttigieg,0,,,
Chambers,10,President,,DEM,Pete Buttigieg,6,,,
Chambers,11,President,,DEM,Pete Buttigieg,3,,,
Chambers,12,President,,DEM,Pete Buttigieg,3,,,
Chambers,14,President,,DEM,Pete Buttigieg,1,,,
Chambers,15,President,,DEM,Pete Buttigieg,3,,,
Chambers,1,President,,DEM,Under Votes,3,,,
Chambers,2,President,,DEM,Under Votes,2,,,
Chambers,3,President,,DEM,Under Votes,1,,,
Chambers,4,President,,DEM,Under Votes,0,,,
Chambers,5,President,,DEM,Under Votes,0,,,
Chambers,6,President,,DEM,Under Votes,3,,,
Chambers,7,President,,DEM,Under Votes,1,,,
Chambers,8,President,,DEM,Under Votes,2,,,
Chambers,9,President,,DEM,Under Votes,0,,,
Chambers,10,President,,DEM,Under Votes,1,,,
Chambers,11,President,,DEM,Under Votes,2,,,
Chambers,12,President,,DEM,Under Votes,3,,,
Chambers,14,President,,DEM,Under Votes,0,,,
Chambers,15,President,,DEM,Under Votes,1,,,
Chambers,1,President,,DEM,Over Votes,0,,,
Chambers,2,President,,DEM,Over Votes,0,,,
Chambers,3,President,,DEM,Over Votes,0,,,
Chambers,4,President,,DEM,Over Votes,0,,,
Chambers,5,President,,DEM,Over Votes,0,,,
Chambers,6,President,,DEM,Over Votes,0,,,
Chambers,7,President,,DEM,Over Votes,0,,,
Chambers,8,President,,DEM,Over Votes,0,,,
Chambers,9,President,,DEM,Over Votes,0,,,
Chambers,10,President,,DEM,Over Votes,0,,,
Chambers,11,President,,DEM,Over Votes,0,,,
Chambers,12,President,,DEM,Over Votes,0,,,
Chambers,14,President,,DEM,Over Votes,0,,,
Chambers,15,President,,DEM,Over Votes,0,,,
Chambers,1,President,,DEM,Rejected Write-ins,0,,,
Chambers,2,President,,DEM,Rejected Write-ins,0,,,
Chambers,3,President,,DEM,Rejected Write-ins,0,,,
Chambers,4,President,,DEM,Rejected Write-ins,0,,,
Chambers,5,President,,DEM,Rejected Write-ins,0,,,
Chambers,6,President,,DEM,Rejected Write-ins,0,,,
Chambers,7,President,,DEM,Rejected Write-ins,0,,,
Chambers,8,President,,DEM,Rejected Write-ins,0,,,
Chambers,9,President,,DEM,Rejected Write-ins,0,,,
Chambers,10,President,,DEM,Rejected Write-ins,0,,,
Chambers,11,President,,DEM,Rejected Write-ins,0,,,
Chambers,12,President,,DEM,Rejected Write-ins,0,,,
Chambers,14,President,,DEM,Rejected Write-ins,0,,,
Chambers,15,President,,DEM,Rejected Write-ins,0,,,
Chambers,1,Ballots Cast,,DEM,,24,12,3,9
Chambers,2,Ballots Cast,,DEM,,39,25,2,12
Chambers,3,Ballots Cast,,DEM,,36,17,10,9
Chambers,4,Ballots Cast,,DEM,,138,64,10,64
Chambers,5,Ballots Cast,,DEM,,105,63,13,29
Chambers,6,Ballots Cast,,DEM,,101,49,11,41
Chambers,7,Ballots Cast,,DEM,,99,49,12,38
Chambers,8,Ballots Cast,,DEM,,166,110,9,47
Chambers,9,Ballots Cast,,DEM,,11,10,0,1
Chambers,10,Ballots Cast,,DEM,,161,73,5,83
Chambers,11,Ballots Cast,,DEM,,124,68,8,48
Chambers,12,Ballots Cast,,DEM,,79,39,5,35
Chambers,14,Ballots Cast,,DEM,,6,0,2,4
Chambers,15,Ballots Cast,,DEM,,183,118,7,58
Chambers,1,U.S. Senate,,DEM,Adrian Ocegueda,0,,,
Chambers,2,U.S. Senate,,DEM,Adrian Ocegueda,4,,,
Chambers,3,U.S. Senate,,DEM,Adrian Ocegueda,1,,,
Chambers,4,U.S. Senate,,DEM,Adrian Ocegueda,4,,,
Chambers,5,U.S. Senate,,DEM,Adrian Ocegueda,1,,,
Chambers,6,U.S. Senate,,DEM,Adrian Ocegueda,3,,,
Chambers,7,U.S. Senate,,DEM,Adrian Ocegueda,4,,,
Chambers,8,U.S. Senate,,DEM,Adrian Ocegueda,10,,,
Chambers,9,U.S. Senate,,DEM,Adrian Ocegueda,2,,,
Chambers,10,U.S. Senate,,DEM,Adrian Ocegueda,8,,,
Chambers,11,U.S. Senate,,DEM,Adrian Ocegueda,6,,,
Chambers,12,U.S. Senate,,DEM,Adrian Ocegueda,1,,,
Chambers,14,U.S. Senate,,DEM,Adrian Ocegueda,0,,,
Chambers,15,U.S. Senate,,DEM,Adrian Ocegueda,16,,,
Chambers,1,U.S. Senate,,DEM,Jack Daniel Foster Jr.,6,,,
Chambers,2,U.S. Senate,,DEM,Jack Daniel Foster Jr.,14,,,
Chambers,3,U.S. Senate,,DEM,Jack Daniel Foster Jr.,11,,,
Chambers,4,U.S. Senate,,DEM,Jack Daniel Foster Jr.,5,,,
Chambers,5,U.S. Senate,,DEM,Jack Daniel Foster Jr.,5,,,
Chambers,6,U.S. Senate,,DEM,Jack Daniel Foster Jr.,27,,,
Chambers,7,U.S. Senate,,DEM,Jack Daniel Foster Jr.,7,,,
Chambers,8,U.S. Senate,,DEM,Jack Daniel Foster Jr.,8,,,
Chambers,9,U.S. Senate,,DEM,Jack Daniel Foster Jr.,1,,,
Chambers,10,U.S. Senate,,DEM,Jack Daniel Foster Jr.,11,,,
Chambers,11,U.S. Senate,,DEM,Jack Daniel Foster Jr.,7,,,
Chambers,12,U.S. Senate,,DEM,Jack Daniel Foster Jr.,20,,,
Chambers,14,U.S. Senate,,DEM,Jack Daniel Foster Jr.,1,,,
Chambers,15,U.S. Senate,,DEM,Jack Daniel Foster Jr.,11,,,
Chambers,1,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",6,,,
Chambers,2,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",5,,,
Chambers,3,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",1,,,
Chambers,4,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",16,,,
Chambers,5,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",12,,,
Chambers,6,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",13,,,
Chambers,7,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",11,,,
Chambers,8,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",15,,,
Chambers,9,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,,,
Chambers,10,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",13,,,
Chambers,11,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",14,,,
Chambers,12,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",4,,,
Chambers,14,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",1,,,
Chambers,15,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",35,,,
Chambers,1,U.S. Senate,,DEM,Royce West,0,,,
Chambers,2,U.S. Senate,,DEM,Royce West,1,,,
Chambers,3,U.S. Senate,,DEM,Royce West,1,,,
Chambers,4,U.S. Senate,,DEM,Royce West,5,,,
Chambers,5,U.S. Senate,,DEM,Royce West,5,,,
Chambers,6,U.S. Senate,,DEM,Royce West,3,,,
Chambers,7,U.S. Senate,,DEM,Royce West,2,,,
Chambers,8,U.S. Senate,,DEM,Royce West,7,,,
Chambers,9,U.S. Senate,,DEM,Royce West,1,,,
Chambers,10,U.S. Senate,,DEM,Royce West,6,,,
Chambers,11,U.S. Senate,,DEM,Royce West,4,,,
Chambers,12,U.S. Senate,,DEM,Royce West,10,,,
Chambers,14,U.S. Senate,,DEM,Royce West,0,,,
Chambers,15,U.S. Senate,,DEM,Royce West,12,,,
Chambers,1,U.S. Senate,,DEM,Michael Cooper,1,,,
Chambers,2,U.S. Senate,,DEM,Michael Cooper,2,,,
Chambers,3,U.S. Senate,,DEM,Michael Cooper,0,,,
Chambers,4,U.S. Senate,,DEM,Michael Cooper,7,,,
Chambers,5,U.S. Senate,,DEM,Michael Cooper,5,,,
Chambers,6,U.S. Senate,,DEM,Michael Cooper,2,,,
Chambers,7,U.S. Senate,,DEM,Michael Cooper,5,,,
Chambers,8,U.S. Senate,,DEM,Michael Cooper,15,,,
Chambers,9,U.S. Senate,,DEM,Michael Cooper,0,,,
Chambers,10,U.S. Senate,,DEM,Michael Cooper,13,,,
Chambers,11,U.S. Senate,,DEM,Michael Cooper,8,,,
Chambers,12,U.S. Senate,,DEM,Michael Cooper,5,,,
Chambers,14,U.S. Senate,,DEM,Michael Cooper,0,,,
Chambers,15,U.S. Senate,,DEM,Michael Cooper,17,,,
Chambers,1,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,,,
Chambers,2,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,,,
Chambers,3,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,3,,,
Chambers,4,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,11,,,
Chambers,5,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,13,,,
Chambers,6,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,5,,,
Chambers,7,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,8,,,
Chambers,8,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,5,,,
Chambers,9,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,,,
Chambers,10,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,18,,,
Chambers,11,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,6,,,
Chambers,12,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,4,,,
Chambers,14,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,2,,,
Chambers,15,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,10,,,
Chambers,1,U.S. Senate,,DEM,Amanda K. Edwards,1,,,
Chambers,2,U.S. Senate,,DEM,Amanda K. Edwards,3,,,
Chambers,3,U.S. Senate,,DEM,Amanda K. Edwards,1,,,
Chambers,4,U.S. Senate,,DEM,Amanda K. Edwards,17,,,
Chambers,5,U.S. Senate,,DEM,Amanda K. Edwards,4,,,
Chambers,6,U.S. Senate,,DEM,Amanda K. Edwards,4,,,
Chambers,7,U.S. Senate,,DEM,Amanda K. Edwards,14,,,
Chambers,8,U.S. Senate,,DEM,Amanda K. Edwards,10,,,
Chambers,9,U.S. Senate,,DEM,Amanda K. Edwards,2,,,
Chambers,10,U.S. Senate,,DEM,Amanda K. Edwards,15,,,
Chambers,11,U.S. Senate,,DEM,Amanda K. Edwards,16,,,
Chambers,12,U.S. Senate,,DEM,Amanda K. Edwards,5,,,
Chambers,14,U.S. Senate,,DEM,Amanda K. Edwards,0,,,
Chambers,15,U.S. Senate,,DEM,Amanda K. Edwards,15,,,
Chambers,1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",2,,,
Chambers,2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",3,,,
Chambers,3,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",5,,,
Chambers,4,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",31,,,
Chambers,5,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",31,,,
Chambers,6,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",20,,,
Chambers,7,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",24,,,
Chambers,8,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",43,,,
Chambers,9,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",3,,,
Chambers,10,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",40,,,
Chambers,11,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",23,,,
Chambers,12,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",7,,,
Chambers,14,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,,,
Chambers,15,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",22,,,
Chambers,1,U.S. Senate,,DEM,Sema Hernandez,2,,,
Chambers,2,U.S. Senate,,DEM,Sema Hernandez,1,,,
Chambers,3,U.S. Senate,,DEM,Sema Hernandez,1,,,
Chambers,4,U.S. Senate,,DEM,Sema Hernandez,5,,,
Chambers,5,U.S. Senate,,DEM,Sema Hernandez,4,,,
Chambers,6,U.S. Senate,,DEM,Sema Hernandez,2,,,
Chambers,7,U.S. Senate,,DEM,Sema Hernandez,4,,,
Chambers,8,U.S. Senate,,DEM,Sema Hernandez,4,,,
Chambers,9,U.S. Senate,,DEM,Sema Hernandez,0,,,
Chambers,10,U.S. Senate,,DEM,Sema Hernandez,8,,,
Chambers,11,U.S. Senate,,DEM,Sema Hernandez,1,,,
Chambers,12,U.S. Senate,,DEM,Sema Hernandez,1,,,
Chambers,14,U.S. Senate,,DEM,Sema Hernandez,1,,,
Chambers,15,U.S. Senate,,DEM,Sema Hernandez,8,,,
Chambers,1,U.S. Senate,,DEM,Chris Bell,1,,,
Chambers,2,U.S. Senate,,DEM,Chris Bell,0,,,
Chambers,3,U.S. Senate,,DEM,Chris Bell,4,,,
Chambers,4,U.S. Senate,,DEM,Chris Bell,18,,,
Chambers,5,U.S. Senate,,DEM,Chris Bell,7,,,
Chambers,6,U.S. Senate,,DEM,Chris Bell,8,,,
Chambers,7,U.S. Senate,,DEM,Chris Bell,7,,,
Chambers,8,U.S. Senate,,DEM,Chris Bell,15,,,
Chambers,9,U.S. Senate,,DEM,Chris Bell,0,,,
Chambers,10,U.S. Senate,,DEM,Chris Bell,11,,,
Chambers,11,U.S. Senate,,DEM,Chris Bell,12,,,
Chambers,12,U.S. Senate,,DEM,Chris Bell,4,,,
Chambers,14,U.S. Senate,,DEM,Chris Bell,0,,,
Chambers,15,U.S. Senate,,DEM,Chris Bell,12,,,
Chambers,1,U.S. Senate,,DEM,D.R. Hunter,0,,,
Chambers,2,U.S. Senate,,DEM,D.R. Hunter,1,,,
Chambers,3,U.S. Senate,,DEM,D.R. Hunter,1,,,
Chambers,4,U.S. Senate,,DEM,D.R. Hunter,1,,,
Chambers,5,U.S. Senate,,DEM,D.R. Hunter,2,,,
Chambers,6,U.S. Senate,,DEM,D.R. Hunter,1,,,
Chambers,7,U.S. Senate,,DEM,D.R. Hunter,0,,,
Chambers,8,U.S. Senate,,DEM,D.R. Hunter,2,,,
Chambers,9,U.S. Senate,,DEM,D.R. Hunter,1,,,
Chambers,10,U.S. Senate,,DEM,D.R. Hunter,0,,,
Chambers,11,U.S. Senate,,DEM,D.R. Hunter,0,,,
Chambers,12,U.S. Senate,,DEM,D.R. Hunter,0,,,
Chambers,14,U.S. Senate,,DEM,D.R. Hunter,0,,,
Chambers,15,U.S. Senate,,DEM,D.R. Hunter,1,,,
Chambers,1,U.S. Senate,,DEM,Victor Hugo Harris,0,,,
Chambers,2,U.S. Senate,,DEM,Victor Hugo Harris,0,,,
