county,precinct,office,district,party,candidate,votes,early_voting,mail,election_day,hand_count
Jasper,Box 2,Railroad Commissioner,,DEM,Chrysta Castaneda,41,17,15,9,0
Jasper,Box 2,Railroad Commissioner,,LIB,Matt Sterett,6,4,1,1,0
Jasper,Box 2,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",2,1,0,1,0
Jasper,Box 2,State Representative,19,REP,James White,493,307,28,156,2
Jasper,Box 3,Registered Voters,,,,1197,,,,
Jasper,Box 3,Ballots Cast,,,,814,576,61,170,7
Jasper,Box 3,President,,REP,Donald J Trump,688,508,43,131,6
Jasper,Box 3,President,,DEM,Joseph R Biden,119,64,17,37,1
Jasper,Box 3,President,,LIB,Jo Jorgensen,4,3,0,1,0
Jasper,Box 3,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 3,President,,,Write-In,1,0,1,0,0
Jasper,Box 3,U.S. Senate,,REP,John Cornyn,678,501,44,127,6
Jasper,Box 3,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",120,63,17,39,1
Jasper,Box 3,U.S. Senate,,LIB,Kerry Douglas McKennon,7,6,0,1,0
Jasper,Box 3,U.S. Senate,,GRN,David B. Collins,2,1,0,1,0
Jasper,Box 3,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 3,U.S. House,36,REP,Brian Babin,700,511,46,137,6
Jasper,Box 3,U.S. House,36,DEM,Rashad Lewis,103,59,15,28,1
Jasper,Box 3,U.S. House,36,LIB,Chad Abbey,5,3,0,2,0
Jasper,Box 3,U.S. House,36,GRN,Hal J. Ridley Jr,1,1,0,0,0
Jasper,Box 3,Railroad Commissioner,,REP,"James ""Jim""Wright",680,501,43,130,6
Jasper,Box 3,Railroad Commissioner,,DEM,Chrysta Castaneda,106,57,17,31,1
Jasper,Box 3,Railroad Commissioner,,LIB,Matt Sterett,10,6,1,3,0
Jasper,Box 3,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,1,0,0,0
Jasper,Box 3,State Representative,19,REP,James White,727,526,51,144,6
Jasper,Box 4,Registered Voters,,,,672,,,,
Jasper,Box 4,Ballots Cast,,,,532,437,39,52,4
Jasper,Box 4,President,,REP,Donald J Trump,458,392,19,43,4
Jasper,Box 4,President,,DEM,Joseph R Biden,64,38,20,6,0
Jasper,Box 4,President,,LIB,Jo Jorgensen,2,2,0,0,0
Jasper,Box 4,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 4,President,,,Write-In,2,2,0,0,0
Jasper,Box 4,U.S. Senate,,REP,John Cornyn,455,389,19,44,3
Jasper,Box 4,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",64,38,20,6,0
Jasper,Box 4,U.S. Senate,,LIB,Kerry Douglas McKennon,2,2,0,0,0
Jasper,Box 4,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0
Jasper,Box 4,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 4,U.S. House,36,REP,Brian Babin,460,394,19,44,3
Jasper,Box 4,U.S. House,36,DEM,Rashad Lewis,58,36,18,4,0
Jasper,Box 4,U.S. House,36,LIB,Chad Abbey,4,3,1,0,0
Jasper,Box 4,U.S. House,36,GRN,Hal J. Ridley Jr,1,0,0,1,0
Jasper,Box 4,Railroad Commissioner,,REP,"James ""Jim""Wright",458,390,20,45,3
Jasper,Box 4,Railroad Commissioner,,DEM,Chrysta Castaneda,60,38,18,4,0
Jasper,Box 4,Railroad Commissioner,,LIB,Matt Sterett,5,4,1,0,0
Jasper,Box 4,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",2,1,0,1,0
Jasper,Box 4,State Representative,19,REP,James White,484,411,23,47,3
Jasper,Box 5,Registered Voters,,,,151,,,,
Jasper,Box 5,Ballots Cast,,,,116,63,7,46,0
Jasper,Box 5,President,,REP,Donald J Trump,102,54,6,42,0
Jasper,Box 5,President,,DEM,Joseph R Biden,13,9,1,3,0
Jasper,Box 5,President,,LIB,Jo Jorgensen,0,0,0,0,0
Jasper,Box 5,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 5,President,,,Write-In,0,0,0,0,0
Jasper,Box 5,U.S. Senate,,REP,John Cornyn,100,54,6,40,0
Jasper,Box 5,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",13,9,1,3,0
Jasper,Box 5,U.S. Senate,,LIB,Kerry Douglas McKennon,1,0,0,1,0
Jasper,Box 5,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0
Jasper,Box 5,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 5,U.S. House,36,REP,Brian Babin,103,55,6,42,0
Jasper,Box 5,U.S. House,36,DEM,Rashad Lewis,10,8,1,1,0
Jasper,Box 5,U.S. House,36,LIB,Chad Abbey,0,0,0,0,0
Jasper,Box 5,U.S. House,36,GRN,Hal J. Ridley Jr,0,0,0,0,0
Jasper,Box 5,Railroad Commissioner,,REP,"James ""Jim""Wright",101,55,6,40,0
Jasper,Box 5,Railroad Commissioner,,DEM,Chrysta Castaneda,10,8,1,1,0
Jasper,Box 5,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0,0
Jasper,Box 5,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0,0
Jasper,Box 5,State Representative,19,REP,James White,111,61,7,43,0
Jasper,Box 6,Registered Voters,,,,1217,,,,
Jasper,Box 6,Ballots Cast,,,,768,615,40,113,0
Jasper,Box 6,President,,REP,Donald J Trump,513,417,20,76,0
Jasper,Box 6,President,,DEM,Joseph R Biden,238,184,20,34,0
Jasper,Box 6,President,,LIB,Jo Jorgensen,5,5,0,0,0
Jasper,Box 6,President,,GRN,Howie Hawkins,1,0,0,1,0
Jasper,Box 6,President,,,Write-In,1,1,0,0,0
Jasper,Box 6,U.S. Senate,,REP,John Cornyn,510,414,22,74,0
Jasper,Box 6,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",226,176,17,33,0
Jasper,Box 6,U.S. Senate,,LIB,Kerry Douglas McKennon,7,4,1,2,0
Jasper,Box 6,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0
Jasper,Box 6,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 6,U.S. House,36,REP,Brian Babin,517,418,23,76,0
Jasper,Box 6,U.S. House,36,DEM,Rashad Lewis,228,180,17,31,0
Jasper,Box 6,U.S. House,36,LIB,Chad Abbey,6,4,0,2,0
Jasper,Box 6,U.S. House,36,GRN,Hal J. Ridley Jr,1,0,0,1,0
Jasper,Box 6,Railroad Commissioner,,REP,"James ""Jim""Wright",508,411,22,75,0
Jasper,Box 6,Railroad Commissioner,,DEM,Chrysta Castaneda,220,172,18,30,0
Jasper,Box 6,Railroad Commissioner,,LIB,Matt Sterett,6,4,0,2,0
Jasper,Box 6,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",5,4,0,1,0
Jasper,Box 6,State Representative,19,REP,James White,593,478,26,89,0
Jasper,Box 7,Registered Voters,,,,800,,,,
Jasper,Box 7,Ballots Cast,,,,460,358,38,62,2
Jasper,Box 7,President,,REP,Donald J Trump,254,213,9,30,2
Jasper,Box 7,President,,DEM,Joseph R Biden,198,140,28,30,0
Jasper,Box 7,President,,LIB,Jo Jorgensen,5,4,0,1,0
Jasper,Box 7,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 7,President,,,Write-In,0,0,0,0,0
Jasper,Box 7,U.S. Senate,,REP,John Cornyn,257,212,10,33,2
Jasper,Box 7,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",185,129,27,29,0
Jasper,Box 7,U.S. Senate,,LIB,Kerry Douglas McKennon,3,3,0,0,0
Jasper,Box 7,U.S. Senate,,GRN,David B. Collins,1,1,0,0,0
Jasper,Box 7,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 7,U.S. House,36,REP,Brian Babin,255,212,11,30,2
Jasper,Box 7,U.S. House,36,DEM,Rashad Lewis,190,133,26,31,0
Jasper,Box 7,U.S. House,36,LIB,Chad Abbey,4,3,0,1,0
Jasper,Box 7,U.S. House,36,GRN,Hal J. Ridley Jr,1,1,0,0,0
Jasper,Box 7,Railroad Commissioner,,REP,"James ""Jim""Wright",266,220,11,33,2
Jasper,Box 7,Railroad Commissioner,,DEM,Chrysta Castaneda,167,115,26,26,0
Jasper,Box 7,Railroad Commissioner,,LIB,Matt Sterett,6,4,0,2,0
Jasper,Box 7,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",3,3,0,0,0
Jasper,Box 7,State Representative,19,REP,James White,352,271,27,52,2
Jasper,Box 8,Registered Voters,,,,992,,,,
Jasper,Box 8,Ballots Cast,,,,615,498,39,77,1
Jasper,Box 8,President,,REP,Donald J Trump,324,269,15,40,0
Jasper,Box 8,President,,DEM,Joseph R Biden,276,220,22,33,1
Jasper,Box 8,President,,LIB,Jo Jorgensen,4,1,1,2,0
Jasper,Box 8,President,,GRN,Howie Hawkins,1,1,0,0,0
Jasper,Box 8,President,,,Write-In,1,0,0,1,0
Jasper,Box 8,U.S. Senate,,REP,John Cornyn,317,264,17,36,0
Jasper,Box 8,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",268,215,21,31,1
Jasper,Box 8,U.S. Senate,,LIB,Kerry Douglas McKennon,7,5,0,2,0
Jasper,Box 8,U.S. Senate,,GRN,David B. Collins,1,0,0,1,0
Jasper,Box 8,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 8,U.S. House,36,REP,Brian Babin,329,268,21,40,0
Jasper,Box 8,U.S. House,36,DEM,Rashad Lewis,267,219,16,31,1
Jasper,Box 8,U.S. House,36,LIB,Chad Abbey,2,1,0,1,0
Jasper,Box 8,U.S. House,36,GRN,Hal J. Ridley Jr,1,0,0,1,0
Jasper,Box 8,Railroad Commissioner,,REP,"James ""Jim""Wright",321,268,17,36,0
Jasper,Box 8,Railroad Commissioner,,DEM,Chrysta Castaneda,251,201,20,29,1
Jasper,Box 8,Railroad Commissioner,,LIB,Matt Sterett,7,6,0,1,0
Jasper,Box 8,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",5,4,0,1,0
Jasper,Box 8,State Representative,19,REP,James White,462,373,30,58,1
Jasper,Box 9,Registered Voters,,,,2023,,,,
Jasper,Box 9,Ballots Cast,,,,1416,1080,70,257,9
Jasper,Box 9,President,,REP,Donald J Trump,1268,985,47,229,7
Jasper,Box 9,President,,DEM,Joseph R Biden,125,79,23,22,1
Jasper,Box 9,President,,LIB,Jo Jorgensen,9,7,0,1,1
Jasper,Box 9,President,,GRN,Howie Hawkins,1,1,0,0,0
Jasper,Box 9,President,,,Write-In,5,2,0,3,0
Jasper,Box 9,U.S. Senate,,REP,John Cornyn,1236,960,48,221,7
Jasper,Box 9,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",128,85,22,20,1
Jasper,Box 9,U.S. Senate,,LIB,Kerry Douglas McKennon,21,14,0,6,1
Jasper,Box 9,U.S. Senate,,GRN,David B. Collins,3,2,0,1,0
Jasper,Box 9,U.S. Senate,,,Write-In,1,0,0,1,0
Jasper,Box 9,U.S. House,36,REP,Brian Babin,1257,974,46,229,8
Jasper,Box 9,U.S. House,36,DEM,Rashad Lewis,116,75,23,17,1
Jasper,Box 9,U.S. House,36,LIB,Chad Abbey,15,10,0,5,0
Jasper,Box 9,U.S. House,36,GRN,Hal J. Ridley Jr,3,1,1,1,0
Jasper,Box 9,Railroad Commissioner,,REP,"James ""Jim""Wright",1246,968,48,223,7
Jasper,Box 9,Railroad Commissioner,,DEM,Chrysta Castaneda,110,70,22,17,1
Jasper,Box 9,Railroad Commissioner,,LIB,Matt Sterett,17,11,0,5,1
Jasper,Box 9,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",4,2,0,2,0
Jasper,Box 9,State Representative,19,REP,James White,1303,1000,59,237,7
Jasper,Box 10,Registered Voters,,,,1858,,,,
Jasper,Box 10,Ballots Cast,,,,1240,962,44,228,6
Jasper,Box 10,President,,REP,Donald J Trump,1126,890,25,207,4
Jasper,Box 10,President,,DEM,Joseph R Biden,105,65,19,19,2
Jasper,Box 10,President,,LIB,Jo Jorgensen,6,4,0,2,0
Jasper,Box 10,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 10,President,,,Write-In,0,0,0,0,0
Jasper,Box 10,U.S. Senate,,REP,John Cornyn,1089,862,25,198,4
Jasper,Box 10,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",105,67,19,17,2
Jasper,Box 10,U.S. Senate,,LIB,Kerry Douglas McKennon,13,10,0,3,0
Jasper,Box 10,U.S. Senate,,GRN,David B. Collins,5,5,0,0,0
Jasper,Box 10,U.S. Senate,,,Write-In,1,1,0,0,0
Jasper,Box 10,U.S. House,36,REP,Brian Babin,1106,873,26,203,4
Jasper,Box 10,U.S. House,36,DEM,Rashad Lewis,97,65,17,13,2
Jasper,Box 10,U.S. House,36,LIB,Chad Abbey,13,10,0,3,0
Jasper,Box 10,U.S. House,36,GRN,Hal J. Ridley Jr,4,2,1,1,0
Jasper,Box 10,Railroad Commissioner,,REP,"James ""Jim""Wright",1101,872,25,200,4
Jasper,Box 10,Railroad Commissioner,,DEM,Chrysta Castaneda,97,60,19,16,2
Jasper,Box 10,Railroad Commissioner,,LIB,Matt Sterett,11,9,0,2,0
Jasper,Box 10,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",2,2,0,0,0
Jasper,Box 10,State Representative,19,REP,James White,1146,904,30,207,5
Jasper,Box 11,Registered Voters,,,,434,,,,
Jasper,Box 11,Ballots Cast,,,,307,212,10,84,1
Jasper,Box 11,President,,REP,Donald J Trump,268,188,6,73,1
Jasper,Box 11,President,,DEM,Joseph R Biden,34,21,4,9,0
Jasper,Box 11,President,,LIB,Jo Jorgensen,1,0,0,1,0
Jasper,Box 11,President,,GRN,Howie Hawkins,1,0,0,1,0
Jasper,Box 11,President,,,Write-In,1,1,0,0,0
Jasper,Box 11,U.S. Senate,,REP,John Cornyn,262,184,6,72,0
Jasper,Box 11,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",39,26,3,10,0
Jasper,Box 11,U.S. Senate,,LIB,Kerry Douglas McKennon,2,1,0,1,0
Jasper,Box 11,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0
Jasper,Box 11,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 11,U.S. House,36,REP,Brian Babin,266,186,6,73,1
Jasper,Box 11,U.S. House,36,DEM,Rashad Lewis,36,24,3,9,0
Jasper,Box 11,U.S. House,36,LIB,Chad Abbey,2,1,0,1,0
Jasper,Box 11,U.S. House,36,GRN,Hal J. Ridley Jr,0,0,0,0,0
Jasper,Box 11,Railroad Commissioner,,REP,"James ""Jim""Wright",261,187,6,67,1
Jasper,Box 11,Railroad Commissioner,,DEM,Chrysta Castaneda,35,22,3,10,0
Jasper,Box 11,Railroad Commissioner,,LIB,Matt Sterett,5,1,0,4,0
Jasper,Box 11,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,1,0,0,0
Jasper,Box 11,State Representative,19,REP,James White,286,199,9,77,1
Jasper,Box 12,Registered Voters,,,,600,,,,
Jasper,Box 12,Ballots Cast,,,,421,268,25,127,1
Jasper,Box 12,President,,REP,Donald J Trump,351,222,14,114,1
Jasper,Box 12,President,,DEM,Joseph R Biden,63,41,10,12,0
Jasper,Box 12,President,,LIB,Jo Jorgensen,4,3,0,1,0
Jasper,Box 12,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 12,President,,,Write-In,1,1,0,0,0
Jasper,Box 12,U.S. Senate,,REP,John Cornyn,349,219,14,115,1
Jasper,Box 12,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",62,42,10,10,0
Jasper,Box 12,U.S. Senate,,LIB,Kerry Douglas McKennon,3,3,0,0,0
Jasper,Box 12,U.S. Senate,,GRN,David B. Collins,1,1,0,0,0
Jasper,Box 12,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 12,U.S. House,36,REP,Brian Babin,351,224,15,111,1
Jasper,Box 12,U.S. House,36,DEM,Rashad Lewis,62,38,9,15,0
Jasper,Box 12,U.S. House,36,LIB,Chad Abbey,2,2,0,0,0
Jasper,Box 12,U.S. House,36,GRN,Hal J. Ridley Jr,2,2,0,0,0
Jasper,Box 12,Railroad Commissioner,,REP,"James ""Jim""Wright",347,223,15,108,1
Jasper,Box 12,Railroad Commissioner,,DEM,Chrysta Castaneda,65,39,10,16,0
Jasper,Box 12,Railroad Commissioner,,LIB,Matt Sterett,3,2,0,1,0
Jasper,Box 12,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,1,0,0,0
Jasper,Box 12,State Representative,19,REP,James White,383,241,21,120,1
Jasper,Box 13,Registered Voters,,,,509,,,,
Jasper,Box 13,Ballots Cast,,,,374,229,14,129,2
Jasper,Box 13,President,,REP,Donald J Trump,295,185,1,107,2
Jasper,Box 13,President,,DEM,Joseph R Biden,75,42,13,20,0
Jasper,Box 13,President,,LIB,Jo Jorgensen,2,1,0,1,0
Jasper,Box 13,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 13,President,,,Write-In,0,0,0,0,0
Jasper,Box 13,U.S. Senate,,REP,John Cornyn,296,186,1,107,2
Jasper,Box 13,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",69,36,12,21,0
Jasper,Box 13,U.S. Senate,,LIB,Kerry Douglas McKennon,2,1,0,1,0
Jasper,Box 13,U.S. Senate,,GRN,David B. Collins,2,2,0,0,0
Jasper,Box 13,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 13,U.S. House,36,REP,Brian Babin,299,189,1,107,2
Jasper,Box 13,U.S. House,36,DEM,Rashad Lewis,67,35,13,19,0
Jasper,Box 13,U.S. House,36,LIB,Chad Abbey,3,2,0,1,0
Jasper,Box 13,U.S. House,36,GRN,Hal J. Ridley Jr,0,0,0,0,0
Jasper,Box 13,Railroad Commissioner,,REP,"James ""Jim""Wright",298,187,2,107,2
Jasper,Box 13,Railroad Commissioner,,DEM,Chrysta Castaneda,65,37,10,18,0
Jasper,Box 13,Railroad Commissioner,,LIB,Matt Sterett,3,1,0,2,0
Jasper,Box 13,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0,0
Jasper,Box 13,State Representative,19,REP,James White,332,207,5,118,2
Jasper,Box 14,Registered Voters,,,,2674,,,,
Jasper,Box 14,Ballots Cast,,,,1681,1316,76,285,4
Jasper,Box 14,President,,REP,Donald J Trump,1372,1094,38,239,1
Jasper,Box 14,President,,DEM,Joseph R Biden,288,208,37,41,2
Jasper,Box 14,President,,LIB,Jo Jorgensen,13,9,0,3,1
Jasper,Box 14,President,,GRN,Howie Hawkins,2,1,0,1,0
Jasper,Box 14,President,,,Write-In,1,1,0,0,0
Jasper,Box 14,U.S. Senate,,REP,John Cornyn,1338,1076,39,223,0
Jasper,Box 14,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",285,206,33,43,3
Jasper,Box 14,U.S. Senate,,LIB,Kerry Douglas McKennon,22,11,2,9,0
Jasper,Box 14,U.S. Senate,,GRN,David B. Collins,5,1,0,4,0
Jasper,Box 14,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 14,U.S. House,36,REP,Brian Babin,1363,1091,41,230,1
Jasper,Box 14,U.S. House,36,DEM,Rashad Lewis,267,192,33,39,3
Jasper,Box 14,U.S. House,36,LIB,Chad Abbey,28,20,1,7,0
Jasper,Box 14,U.S. House,36,GRN,Hal J. Ridley Jr,2,0,0,2,0
Jasper,Box 14,Railroad Commissioner,,REP,"James ""Jim""Wright",1337,1071,40,225,1
Jasper,Box 14,Railroad Commissioner,,DEM,Chrysta Castaneda,276,201,33,40,2
Jasper,Box 14,Railroad Commissioner,,LIB,Matt Sterett,24,16,1,7,0
Jasper,Box 14,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",9,7,0,2,0
Jasper,Box 14,State Representative,19,REP,James White,1509,1184,60,261,4
Jasper,Box 15,Registered Voters,,,,2563,,,,
Jasper,Box 15,Ballots Cast,,,,1903,1558,63,266,16
Jasper,Box 15,President,,REP,Donald J Trump,1696,1407,40,239,10
Jasper,Box 15,President,,DEM,Joseph R Biden,191,140,23,22,6
Jasper,Box 15,President,,LIB,Jo Jorgensen,10,6,0,4,0
Jasper,Box 15,President,,GRN,Howie Hawkins,1,1,0,0,0
Jasper,Box 15,President,,,Write-In,2,2,0,0,0
Jasper,Box 15,U.S. Senate,,REP,John Cornyn,1654,1382,38,225,9
Jasper,Box 15,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",193,136,24,27,6
Jasper,Box 15,U.S. Senate,,LIB,Kerry Douglas McKennon,18,12,1,4,1
Jasper,Box 15,U.S. Senate,,GRN,David B. Collins,2,1,0,1,0
Jasper,Box 15,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 15,U.S. House,36,REP,Brian Babin,1683,1393,40,241,9
Jasper,Box 15,U.S. House,36,DEM,Rashad Lewis,168,124,22,16,6
Jasper,Box 15,U.S. House,36,LIB,Chad Abbey,15,12,0,2,1
Jasper,Box 15,U.S. House,36,GRN,Hal J. Ridley Jr,3,3,0,0,0
Jasper,Box 15,Railroad Commissioner,,REP,"James ""Jim""Wright",1651,1371,41,230,9
Jasper,Box 15,Railroad Commissioner,,DEM,Chrysta Castaneda,171,124,21,20,6
Jasper,Box 15,Railroad Commissioner,,LIB,Matt Sterett,22,18,0,3,1
Jasper,Box 15,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,1,0,0,0
Jasper,Box 15,State Representative,19,REP,James White,1731,1430,50,242,9
Jasper,Box 16,Registered Voters,,,,297,,,,
Jasper,Box 16,Ballots Cast,,,,199,93,4,99,3
Jasper,Box 16,President,,REP,Donald J Trump,189,87,3,96,3
Jasper,Box 16,President,,DEM,Joseph R Biden,9,6,1,2,0
Jasper,Box 16,President,,LIB,Jo Jorgensen,0,0,0,0,0
Jasper,Box 16,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 16,President,,,Write-In,0,0,0,0,0
Jasper,Box 16,U.S. Senate,,REP,John Cornyn,185,85,2,95,3
Jasper,Box 16,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",8,5,1,2,0
Jasper,Box 16,U.S. Senate,,LIB,Kerry Douglas McKennon,2,2,0,0,0
Jasper,Box 16,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0
Jasper,Box 16,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 16,U.S. House,36,REP,Brian Babin,191,89,2,97,3
Jasper,Box 16,U.S. House,36,DEM,Rashad Lewis,4,3,1,0,0
Jasper,Box 16,U.S. House,36,LIB,Chad Abbey,1,0,0,1,0
Jasper,Box 16,U.S. House,36,GRN,Hal J. Ridley Jr,0,0,0,0,0
Jasper,Box 16,Railroad Commissioner,,REP,"James ""Jim""Wright",186,86,2,95,3
Jasper,Box 16,Railroad Commissioner,,DEM,Chrysta Castaneda,5,4,1,0,0
Jasper,Box 16,Railroad Commissioner,,LIB,Matt Sterett,1,1,0,0,0
Jasper,Box 16,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0,0
Jasper,Box 16,State Representative,19,REP,James White,185,87,3,92,3
Jasper,Box 17,Registered Voters,,,,1434,,,,
Jasper,Box 17,Ballots Cast,,,,1026,782,34,205,5
Jasper,Box 17,President,,REP,Donald J Trump,961,740,26,192,3
Jasper,Box 17,President,,DEM,Joseph R Biden,51,37,7,7,0
Jasper,Box 17,President,,LIB,Jo Jorgensen,12,4,0,6,2
Jasper,Box 17,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 17,President,,,Write-In,1,0,1,0,0
Jasper,Box 17,U.S. Senate,,REP,John Cornyn,941,725,25,186,5
Jasper,Box 17,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",52,37,7,8,0
Jasper,Box 17,U.S. Senate,,LIB,Kerry Douglas McKennon,16,6,0,10,0
Jasper,Box 17,U.S. Senate,,GRN,David B. Collins,1,1,0,0,0
Jasper,Box 17,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 17,U.S. House,36,REP,Brian Babin,959,737,25,192,5
Jasper,Box 17,U.S. House,36,DEM,Rashad Lewis,46,34,7,5,0
Jasper,Box 17,U.S. House,36,LIB,Chad Abbey,8,2,0,6,0
Jasper,Box 17,U.S. House,36,GRN,Hal J. Ridley Jr,0,0,0,0,0
Jasper,Box 17,Railroad Commissioner,,REP,"James ""Jim""Wright",948,727,25,191,5
Jasper,Box 17,Railroad Commissioner,,DEM,Chrysta Castaneda,44,33,5,6,0
Jasper,Box 17,Railroad Commissioner,,LIB,Matt Sterett,14,7,1,6,0
