county,precinct,office,district,party,candidate,total,absentee,early_voting,election_day
Yoakum,Precinct 202,U.S. House,19,,Overvotes,0,0,0,0
Yoakum,Precinct 202,U.S. House,19,,Undervotes,14,1,9,4
Yoakum,Precinct 202,Railroad Commissioner,,REP,"James ""Jim""Wright",563,19,450,94
Yoakum,Precinct 202,Railroad Commissioner,,DEM,Chrysta Castaneda,97,7,65,25
Yoakum,Precinct 202,Railroad Commissioner,,LIB,Matt Sterett,11,0,7,4
Yoakum,Precinct 202,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",2,0,1,1
Yoakum,Precinct 202,Railroad Commissioner,,,Overvotes,0,0,0,0
Yoakum,Precinct 202,Railroad Commissioner,,,Undervotes,11,0,8,3
Yoakum,Precinct 202,State Representative,88,REP,Ken King,651,22,509,120
Yoakum,Precinct 202,State Representative,88,,Overvotes,0,0,0,0
Yoakum,Precinct 202,State Representative,88,,Undervotes,33,4,22,7
Yoakum,Precinct 303,Registered Voters,,,,573,,,
Yoakum,Precinct 303,Ballots Cast,,,,342,18,238,86
Yoakum,Precinct 303,Ballots Cast Blank,,,,0,0,0,0
Yoakum,Precinct 303,President,,REP,Donald J Trump,279,11,202,66
Yoakum,Precinct 303,President,,DEM,Joseph R Biden,51,5,28,18
Yoakum,Precinct 303,President,,LIB,Jo Jorgensen,7,2,5,0
Yoakum,Precinct 303,President,,GRN,Howie Hawkins,1,0,0,1
Yoakum,Precinct 303,President,,,Write-in Totals,2,0,2,0
Yoakum,Precinct 303,President,,,Overvotes,0,0,0,0
Yoakum,Precinct 303,President,,,Undervotes,2,0,1,1
Yoakum,Precinct 303,U.S. Senate,,REP,John Cornyn,272,12,196,64
Yoakum,Precinct 303,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",49,5,25,19
Yoakum,Precinct 303,U.S. Senate,,LIB,Kerry Douglas McKennon,4,0,4,0
Yoakum,Precinct 303,U.S. Senate,,GRN,David B. Collins,1,0,1,0
Yoakum,Precinct 303,U.S. Senate,,,Write-in Totals,0,0,0,0
Yoakum,Precinct 303,U.S. Senate,,,Overvotes,0,0,0,0
Yoakum,Precinct 303,U.S. Senate,,,Undervotes,16,1,12,3
Yoakum,Precinct 303,U.S. House,19,REP,Jodey C. Arrington,278,13,197,68
Yoakum,Precinct 303,U.S. House,19,DEM,Tom Watson,45,5,24,16
Yoakum,Precinct 303,U.S. House,19,LIB,Joe Burnes,5,0,4,1
Yoakum,Precinct 303,U.S. House,19,,Overvotes,0,0,0,0
Yoakum,Precinct 303,U.S. House,19,,Undervotes,14,0,13,1
Yoakum,Precinct 303,Railroad Commissioner,,REP,"James ""Jim""Wright",265,12,191,62
Yoakum,Precinct 303,Railroad Commissioner,,DEM,Chrysta Castaneda,49,4,26,19
Yoakum,Precinct 303,Railroad Commissioner,,LIB,Matt Sterett,8,1,6,1
Yoakum,Precinct 303,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",2,0,0,2
Yoakum,Precinct 303,Railroad Commissioner,,,Overvotes,0,0,0,0
Yoakum,Precinct 303,Railroad Commissioner,,,Undervotes,18,1,15,2
Yoakum,Precinct 303,State Representative,88,REP,Ken King,299,15,208,76
Yoakum,Precinct 303,State Representative,88,,Overvotes,0,0,0,0
Yoakum,Precinct 303,State Representative,88,,Undervotes,43,3,30,10
Yoakum,Precinct 305,Registered Voters,,,,438,,,
Yoakum,Precinct 305,Ballots Cast,,,,227,21,170,36
Yoakum,Precinct 305,Ballots Cast Blank,,,,0,0,0,0
Yoakum,Precinct 305,President,,REP,Donald J Trump,164,15,128,21
Yoakum,Precinct 305,President,,DEM,Joseph R Biden,60,6,41,13
Yoakum,Precinct 305,President,,LIB,Jo Jorgensen,3,0,1,2
Yoakum,Precinct 305,President,,GRN,Howie Hawkins,0,0,0,0
Yoakum,Precinct 305,President,,,Write-in Totals,0,0,0,0
Yoakum,Precinct 305,President,,,Overvotes,0,0,0,0
Yoakum,Precinct 305,President,,,Undervotes,0,0,0,0
Yoakum,Precinct 305,U.S. Senate,,REP,John Cornyn,161,14,126,21
Yoakum,Precinct 305,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",56,7,37,12
Yoakum,Precinct 305,U.S. Senate,,LIB,Kerry Douglas McKennon,4,0,3,1
Yoakum,Precinct 305,U.S. Senate,,GRN,David B. Collins,4,0,3,1
Yoakum,Precinct 305,U.S. Senate,,,Write-in Totals,0,0,0,0
Yoakum,Precinct 305,U.S. Senate,,,Overvotes,0,0,0,0
Yoakum,Precinct 305,U.S. Senate,,,Undervotes,2,0,1,1
Yoakum,Precinct 305,U.S. House,19,REP,Jodey C. Arrington,167,15,129,23
Yoakum,Precinct 305,U.S. House,19,DEM,Tom Watson,50,6,35,9
Yoakum,Precinct 305,U.S. House,19,LIB,Joe Burnes,7,0,5,2
Yoakum,Precinct 305,U.S. House,19,,Overvotes,0,0,0,0
Yoakum,Precinct 305,U.S. House,19,,Undervotes,3,0,1,2
Yoakum,Precinct 305,Railroad Commissioner,,REP,"James ""Jim""Wright",159,13,124,22
Yoakum,Precinct 305,Railroad Commissioner,,DEM,Chrysta Castaneda,57,6,42,9
Yoakum,Precinct 305,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0
Yoakum,Precinct 305,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",4,0,3,1
Yoakum,Precinct 305,Railroad Commissioner,,,Overvotes,0,0,0,0
Yoakum,Precinct 305,Railroad Commissioner,,,Undervotes,7,2,1,4
Yoakum,Precinct 305,State Representative,88,REP,Ken King,204,15,157,32
Yoakum,Precinct 305,State Representative,88,,Overvotes,0,0,0,0
Yoakum,Precinct 305,State Representative,88,,Undervotes,23,6,13,4
Yoakum,Precinct 404,Registered Voters,,,,549,,,
Yoakum,Precinct 404,Ballots Cast,,,,380,21,278,81
Yoakum,Precinct 404,Ballots Cast Blank,,,,0,0,0,0
Yoakum,Precinct 404,President,,REP,Donald J Trump,327,13,247,67
Yoakum,Precinct 404,President,,DEM,Joseph R Biden,50,8,29,13
Yoakum,Precinct 404,President,,LIB,Jo Jorgensen,1,0,0,1
Yoakum,Precinct 404,President,,GRN,Howie Hawkins,1,0,1,0
Yoakum,Precinct 404,President,,,Write-in Totals,0,0,0,0
Yoakum,Precinct 404,President,,,Overvotes,0,0,0,0
Yoakum,Precinct 404,President,,,Undervotes,1,0,1,0
Yoakum,Precinct 404,U.S. Senate,,REP,John Cornyn,325,12,247,66
Yoakum,Precinct 404,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",46,8,26,12
Yoakum,Precinct 404,U.S. Senate,,LIB,Kerry Douglas McKennon,3,0,1,2
Yoakum,Precinct 404,U.S. Senate,,GRN,David B. Collins,2,0,1,1
Yoakum,Precinct 404,U.S. Senate,,,Write-in Totals,0,0,0,0
Yoakum,Precinct 404,U.S. Senate,,,Overvotes,0,0,0,0
Yoakum,Precinct 404,U.S. Senate,,,Undervotes,4,1,3,9
Yoakum,Precinct 404,U.S. House,19,REP,Jodey C. Arrington,322,11,247,64
Yoakum,Precinct 404,U.S. House,19,DEM,Tom Watson,45,8,24,13
Yoakum,Precinct 404,U.S. House,19,LIB,Joe Burnes,8,0,5,3
Yoakum,Precinct 404,U.S. House,19,,Overvotes,0,0,0,0
Yoakum,Precinct 404,U.S. House,19,,Undervotes,5,2,2,1
Yoakum,Precinct 404,Railroad Commissioner,,REP,"James ""Jim""Wright",314,11,242,61
Yoakum,Precinct 404,Railroad Commissioner,,DEM,Chrysta Castaneda,53,7,31,15
Yoakum,Precinct 404,Railroad Commissioner,,LIB,Matt Sterett,5,0,2,3
Yoakum,Precinct 404,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",2,1,0,1
Yoakum,Precinct 404,Railroad Commissioner,,,Overvotes,0,0,0,0
Yoakum,Precinct 404,Railroad Commissioner,,,Undervotes,6,2,3,1
Yoakum,Precinct 404,State Representative,88,REP,Ken King,348,14,259,75
Yoakum,Precinct 404,State Representative,88,,Overvotes,0,0,0,0
Yoakum,Precinct 404,State Representative,88,,Undervotes,32,7,19,6
Yoakum,Precinct 406,Registered Voters,,,,580,,,
Yoakum,Precinct 406,Ballots Cast,,,,301,13,230,58
Yoakum,Precinct 406,Ballots Cast Blank,,,,0,0,0,0
Yoakum,Precinct 406,President,,REP,Donald J Trump,217,5,174,38
Yoakum,Precinct 406,President,,DEM,Joseph R Biden,76,8,50,18
Yoakum,Precinct 406,President,,LIB,Jo Jorgensen,6,0,4,2
Yoakum,Precinct 406,President,,GRN,Howie Hawkins,0,0,0,0
Yoakum,Precinct 406,President,,,Write-in Totals,1,0,1,0
Yoakum,Precinct 406,President,,,Overvotes,0,0,0,0
Yoakum,Precinct 406,President,,,Undervotes,1,0,1,0
Yoakum,Precinct 406,U.S. Senate,,REP,John Cornyn,213,5,171,37
Yoakum,Precinct 406,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",68,7,43,18
Yoakum,Precinct 406,U.S. Senate,,LIB,Kerry Douglas McKennon,7,0,6,1
Yoakum,Precinct 406,U.S. Senate,,GRN,David B. Collins,6,0,5,1
Yoakum,Precinct 406,U.S. Senate,,,Write-in Totals,0,0,0,0
Yoakum,Precinct 406,U.S. Senate,,,Overvotes,1,1,0,0
Yoakum,Precinct 406,U.S. Senate,,,Undervotes,6,0,5,1
Yoakum,Precinct 406,U.S. House,19,REP,Jodey C. Arrington,218,5,175,38
Yoakum,Precinct 406,U.S. House,19,DEM,Tom Watson,67,7,44,16
Yoakum,Precinct 406,U.S. House,19,LIB,Joe Burnes,7,0,4,3
Yoakum,Precinct 406,U.S. House,19,,Overvotes,1,1,0,0
Yoakum,Precinct 406,U.S. House,19,,Undervotes,8,0,7,1
Yoakum,Precinct 406,Railroad Commissioner,,REP,"James ""Jim""Wright",209,5,168,36
Yoakum,Precinct 406,Railroad Commissioner,,DEM,Chrysta Castaneda,79,8,50,21
Yoakum,Precinct 406,Railroad Commissioner,,LIB,Matt Sterett,5,0,4,1
Yoakum,Precinct 406,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,0,1,0
Yoakum,Precinct 406,Railroad Commissioner,,,Overvotes,0,0,0,0
Yoakum,Precinct 406,Railroad Commissioner,,,Undervotes,7,0,7,0
Yoakum,Precinct 406,State Representative,88,REP,Ken King,268,6,207,55
Yoakum,Precinct 406,State Representative,88,,Overvotes,0,0,0,0
Yoakum,Precinct 406,State Representative,88,,Undervotes,33,7,23,3
