candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
Kasey Wells (W),President,,,Milam,105,,,,0
President R. Boddie (W),President,,,Milam,105,,,,0
Undervotes,President,,,Milam,105,,,,3
Overvotes,President,,,Milam,105,,,,1
John Cornyn,U.S. Senate,,REP,Milam,105,,,,385
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,105,,,,87
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,105,,,,8
David B. Collins,U.S. Senate,,GRN,Milam,105,,,,4
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,105,,,,0
Undervotes,U.S. Senate,,,Milam,105,,,,16
Overvotes,U.S. Senate,,,Milam,105,,,,0
Pete Sessions,U.S. House,17,REP,Milam,105,,,,390
Rick Kennedy,U.S. House,17,DEM,Milam,105,,,,89
Ted Brown,U.S. House,17,LIB,Milam,105,,,,13
Undervotes,U.S. House,17,,Milam,105,,,,7
Overvotes,U.S. House,17,,Milam,105,,,,1
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,105,,,,385
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,105,,,,78
Matt Sterett,Railroad Commissioner,,LIB,Milam,105,,,,12
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,105,,,,7
Undervotes,Railroad Commissioner,,,Milam,105,,,,18
Overvotes,Railroad Commissioner,,,Milam,105,,,,0
Terry M Wilson,State Representative,20,REP,Milam,105,,,,400
Jessica Tiedt,State Representative,20,DEM,Milam,105,,,,82
Undervotes,State Representative,20,,Milam,105,,,,18
Overvotes,State Representative,20,,Milam,105,,,,0
Registered Voters,,,,Milam,203,,,,384
Ballots Cast,,,,Milam,203,0,0,0,0
Donald J Trump,President,,REP,Milam,203,,,,0
Joseph R Biden,President,,DEM,Milam,203,,,,0
Jo Jorgensen,President,,LIB,Milam,203,,,,0
Howie Hawkins,President,,GRN,Milam,203,,,,0
Todd Cella (W),President,,,Milam,203,,,,0
Abram Loeb (W),President,,,Milam,203,,,,0
Robert Morrow (W),President,,,Milam,203,,,,0
Jesse Cuellar (W),President,,,Milam,203,,,,0
Gloria La Riva (W),President,,,Milam,203,,,,0
Tom Hoefling (W),President,,,Milam,203,,,,0
Brian Carroll (W),President,,,Milam,203,,,,0
Kasey Wells (W),President,,,Milam,203,,,,0
President R. Boddie (W),President,,,Milam,203,,,,0
Undervotes,President,,,Milam,203,,,,0
Overvotes,President,,,Milam,203,,,,0
John Cornyn,U.S. Senate,,REP,Milam,203,,,,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,203,,,,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,203,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,203,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,203,,,,0
Undervotes,U.S. Senate,,,Milam,203,,,,0
Overvotes,U.S. Senate,,,Milam,203,,,,0
Pete Sessions,U.S. House,17,REP,Milam,203,,,,0
Rick Kennedy,U.S. House,17,DEM,Milam,203,,,,0
Ted Brown,U.S. House,17,LIB,Milam,203,,,,0
Undervotes,U.S. House,17,,Milam,203,,,,0
Overvotes,U.S. House,17,,Milam,203,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,203,,,,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,203,,,,0
Matt Sterett,Railroad Commissioner,,LIB,Milam,203,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,203,,,,0
Undervotes,Railroad Commissioner,,,Milam,203,,,,0
Overvotes,Railroad Commissioner,,,Milam,203,,,,0
Terry M Wilson,State Representative,20,REP,Milam,203,,,,0
Jessica Tiedt,State Representative,20,DEM,Milam,203,,,,0
Undervotes,State Representative,20,,Milam,203,,,,0
Overvotes,State Representative,20,,Milam,203,,,,0
Registered Voters,,,,Milam,207,,,,624
Ballots Cast,,,,Milam,207,1,0,0,1
Donald J Trump,President,,REP,Milam,207,,,,0
Joseph R Biden,President,,DEM,Milam,207,,,,1
Jo Jorgensen,President,,LIB,Milam,207,,,,0
Howie Hawkins,President,,GRN,Milam,207,,,,0
Todd Cella (W),President,,,Milam,207,,,,0
Abram Loeb (W),President,,,Milam,207,,,,0
Robert Morrow (W),President,,,Milam,207,,,,0
Jesse Cuellar (W),President,,,Milam,207,,,,0
Gloria La Riva (W),President,,,Milam,207,,,,0
Tom Hoefling (W),President,,,Milam,207,,,,0
Brian Carroll (W),President,,,Milam,207,,,,0
Kasey Wells (W),President,,,Milam,207,,,,0
President R. Boddie (W),President,,,Milam,207,,,,0
Undervotes,President,,,Milam,207,,,,0
Overvotes,President,,,Milam,207,,,,0
John Cornyn,U.S. Senate,,REP,Milam,207,,,,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,207,,,,1
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,207,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,207,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,207,,,,0
Undervotes,U.S. Senate,,,Milam,207,,,,0
Overvotes,U.S. Senate,,,Milam,207,,,,0
Pete Sessions,U.S. House,17,REP,Milam,207,,,,0
Rick Kennedy,U.S. House,17,DEM,Milam,207,,,,1
Ted Brown,U.S. House,17,LIB,Milam,207,,,,0
Undervotes,U.S. House,17,,Milam,207,,,,0
Overvotes,U.S. House,17,,Milam,207,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,207,,,,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,207,,,,0
Matt Sterett,Railroad Commissioner,,LIB,Milam,207,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,207,,,,0
Undervotes,Railroad Commissioner,,,Milam,207,,,,1
Overvotes,Railroad Commissioner,,,Milam,207,,,,0
Terry M Wilson,State Representative,20,REP,Milam,207,,,,0
Jessica Tiedt,State Representative,20,DEM,Milam,207,,,,0
Undervotes,State Representative,20,,Milam,207,,,,1
Overvotes,State Representative,20,,Milam,207,,,,0
Registered Voters,,,,Milam,210,,,,558
Ballots Cast,,,,Milam,210,1,26,5,32
Donald J Trump,President,,REP,Milam,210,,,,29
Joseph R Biden,President,,DEM,Milam,210,,,,3
Jo Jorgensen,President,,LIB,Milam,210,,,,0
Howie Hawkins,President,,GRN,Milam,210,,,,0
Todd Cella (W),President,,,Milam,210,,,,0
Abram Loeb (W),President,,,Milam,210,,,,0
Robert Morrow (W),President,,,Milam,210,,,,0
Jesse Cuellar (W),President,,,Milam,210,,,,0
Gloria La Riva (W),President,,,Milam,210,,,,0
Tom Hoefling (W),President,,,Milam,210,,,,0
Brian Carroll (W),President,,,Milam,210,,,,0
Kasey Wells (W),President,,,Milam,210,,,,0
President R. Boddie (W),President,,,Milam,210,,,,0
Undervotes,President,,,Milam,210,,,,0
Overvotes,President,,,Milam,210,,,,0
John Cornyn,U.S. Senate,,REP,Milam,210,,,,30
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,210,,,,2
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,210,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,210,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,210,,,,0
Undervotes,U.S. Senate,,,Milam,210,,,,0
Overvotes,U.S. Senate,,,Milam,210,,,,0
Pete Sessions,U.S. House,17,REP,Milam,210,,,,30
Rick Kennedy,U.S. House,17,DEM,Milam,210,,,,2
Ted Brown,U.S. House,17,LIB,Milam,210,,,,0
Undervotes,U.S. House,17,,Milam,210,,,,0
Overvotes,U.S. House,17,,Milam,210,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,210,,,,29
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,210,,,,2
Matt Sterett,Railroad Commissioner,,LIB,Milam,210,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,210,,,,0
Undervotes,Railroad Commissioner,,,Milam,210,,,,1
Overvotes,Railroad Commissioner,,,Milam,210,,,,0
Terry M Wilson,State Representative,20,REP,Milam,210,,,,28
Jessica Tiedt,State Representative,20,DEM,Milam,210,,,,3
Undervotes,State Representative,20,,Milam,210,,,,1
Overvotes,State Representative,20,,Milam,210,,,,0
Registered Voters,,,,Milam,212,,,,2041
Ballots Cast,,,,Milam,212,2,18,4,24
Donald J Trump,President,,REP,Milam,212,,,,21
Joseph R Biden,President,,DEM,Milam,212,,,,3
Jo Jorgensen,President,,LIB,Milam,212,,,,0
Howie Hawkins,President,,GRN,Milam,212,,,,0
Todd Cella (W),President,,,Milam,212,,,,0
Abram Loeb (W),President,,,Milam,212,,,,0
Robert Morrow (W),President,,,Milam,212,,,,0
Jesse Cuellar (W),President,,,Milam,212,,,,0
Gloria La Riva (W),President,,,Milam,212,,,,0
Tom Hoefling (W),President,,,Milam,212,,,,0
Brian Carroll (W),President,,,Milam,212,,,,0
Kasey Wells (W),President,,,Milam,212,,,,0
President R. Boddie (W),President,,,Milam,212,,,,0
Undervotes,President,,,Milam,212,,,,0
Overvotes,President,,,Milam,212,,,,0
John Cornyn,U.S. Senate,,REP,Milam,212,,,,21
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,212,,,,3
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,212,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,212,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,212,,,,0
Undervotes,U.S. Senate,,,Milam,212,,,,0
Overvotes,U.S. Senate,,,Milam,212,,,,0
Pete Sessions,U.S. House,17,REP,Milam,212,,,,20
Rick Kennedy,U.S. House,17,DEM,Milam,212,,,,3
Ted Brown,U.S. House,17,LIB,Milam,212,,,,0
Undervotes,U.S. House,17,,Milam,212,,,,1
Overvotes,U.S. House,17,,Milam,212,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,212,,,,20
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,212,,,,4
Matt Sterett,Railroad Commissioner,,LIB,Milam,212,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,212,,,,0
Undervotes,Railroad Commissioner,,,Milam,212,,,,0
Overvotes,Railroad Commissioner,,,Milam,212,,,,0
Terry M Wilson,State Representative,20,REP,Milam,212,,,,20
Jessica Tiedt,State Representative,20,DEM,Milam,212,,,,3
Undervotes,State Representative,20,,Milam,212,,,,1
Overvotes,State Representative,20,,Milam,212,,,,0
Registered Voters,,,,Milam,316,,,,677
Ballots Cast,,,,Milam,316,40,241,196,477
Donald J Trump,President,,REP,Milam,316,,,,373
Joseph R Biden,President,,DEM,Milam,316,,,,101
Jo Jorgensen,President,,LIB,Milam,316,,,,2
Howie Hawkins,President,,GRN,Milam,316,,,,0
Todd Cella (W),President,,,Milam,316,,,,0
Abram Loeb (W),President,,,Milam,316,,,,0
Robert Morrow (W),President,,,Milam,316,,,,0
Jesse Cuellar (W),President,,,Milam,316,,,,0
Gloria La Riva (W),President,,,Milam,316,,,,0
Tom Hoefling (W),President,,,Milam,316,,,,0
Brian Carroll (W),President,,,Milam,316,,,,0
Kasey Wells (W),President,,,Milam,316,,,,0
President R. Boddie (W),President,,,Milam,316,,,,0
Undervotes,President,,,Milam,316,,,,1
Overvotes,President,,,Milam,316,,,,0
John Cornyn,U.S. Senate,,REP,Milam,316,,,,366
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,316,,,,97
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,316,,,,5
David B. Collins,U.S. Senate,,GRN,Milam,316,,,,1
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,316,,,,0
Undervotes,U.S. Senate,,,Milam,316,,,,8
Overvotes,U.S. Senate,,,Milam,316,,,,0
Pete Sessions,U.S. House,17,REP,Milam,316,,,,367
Rick Kennedy,U.S. House,17,DEM,Milam,316,,,,95
Ted Brown,U.S. House,17,LIB,Milam,316,,,,6
Undervotes,U.S. House,17,,Milam,316,,,,9
Overvotes,U.S. House,17,,Milam,316,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,316,,,,365
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,316,,,,92
Matt Sterett,Railroad Commissioner,,LIB,Milam,316,,,,4
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,316,,,,2
Undervotes,Railroad Commissioner,,,Milam,316,,,,14
Overvotes,Railroad Commissioner,,,Milam,316,,,,0
Terry M Wilson,State Representative,20,REP,Milam,316,,,,366
Jessica Tiedt,State Representative,20,DEM,Milam,316,,,,93
Undervotes,State Representative,20,,Milam,316,,,,18
Overvotes,State Representative,20,,Milam,316,,,,0
Registered Voters,,,,Milam,317,,,,1179
Ballots Cast,,,,Milam,317,0,0,0,0
Donald J Trump,President,,REP,Milam,317,,,,0
Joseph R Biden,President,,DEM,Milam,317,,,,0
Jo Jorgensen,President,,LIB,Milam,317,,,,0
Howie Hawkins,President,,GRN,Milam,317,,,,0
Todd Cella (W),President,,,Milam,317,,,,0
Abram Loeb (W),President,,,Milam,317,,,,0
Robert Morrow (W),President,,,Milam,317,,,,0
Jesse Cuellar (W),President,,,Milam,317,,,,0
Gloria La Riva (W),President,,,Milam,317,,,,0
Tom Hoefling (W),President,,,Milam,317,,,,0
Brian Carroll (W),President,,,Milam,317,,,,0
Kasey Wells (W),President,,,Milam,317,,,,0
President R. Boddie (W),President,,,Milam,317,,,,0
Undervotes,President,,,Milam,317,,,,0
Overvotes,President,,,Milam,317,,,,0
John Cornyn,U.S. Senate,,REP,Milam,317,,,,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,317,,,,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,317,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,317,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,317,,,,0
Undervotes,U.S. Senate,,,Milam,317,,,,0
Overvotes,U.S. Senate,,,Milam,317,,,,0
Pete Sessions,U.S. House,17,REP,Milam,317,,,,0
Rick Kennedy,U.S. House,17,DEM,Milam,317,,,,0
Ted Brown,U.S. House,17,LIB,Milam,317,,,,0
Undervotes,U.S. House,17,,Milam,317,,,,0
Overvotes,U.S. House,17,,Milam,317,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,317,,,,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,317,,,,0
Matt Sterett,Railroad Commissioner,,LIB,Milam,317,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,317,,,,0
Undervotes,Railroad Commissioner,,,Milam,317,,,,0
Overvotes,Railroad Commissioner,,,Milam,317,,,,0
Terry M Wilson,State Representative,20,REP,Milam,317,,,,0
Jessica Tiedt,State Representative,20,DEM,Milam,317,,,,0
Undervotes,State Representative,20,,Milam,317,,,,0
Overvotes,State Representative,20,,Milam,317,,,,0
Registered Voters,,,,Milam,318,,,,2450
Ballots Cast,,,,Milam,318,0,0,0,0
Donald J Trump,President,,REP,Milam,318,,,,0
Joseph R Biden,President,,DEM,Milam,318,,,,0
Jo Jorgensen,President,,LIB,Milam,318,,,,0
Howie Hawkins,President,,GRN,Milam,318,,,,0
Todd Cella (W),President,,,Milam,318,,,,0
Abram Loeb (W),President,,,Milam,318,,,,0
Robert Morrow (W),President,,,Milam,318,,,,0
Jesse Cuellar (W),President,,,Milam,318,,,,0
Gloria La Riva (W),President,,,Milam,318,,,,0
Tom Hoefling (W),President,,,Milam,318,,,,0
Brian Carroll (W),President,,,Milam,318,,,,0
Kasey Wells (W),President,,,Milam,318,,,,0
President R. Boddie (W),President,,,Milam,318,,,,0
Undervotes,President,,,Milam,318,,,,0
Overvotes,President,,,Milam,318,,,,0
John Cornyn,U.S. Senate,,REP,Milam,318,,,,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,318,,,,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,318,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,318,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,318,,,,0
Undervotes,U.S. Senate,,,Milam,318,,,,0
Overvotes,U.S. Senate,,,Milam,318,,,,0
Pete Sessions,U.S. House,17,REP,Milam,318,,,,0
Rick Kennedy,U.S. House,17,DEM,Milam,318,,,,0
Ted Brown,U.S. House,17,LIB,Milam,318,,,,0
Undervotes,U.S. House,17,,Milam,318,,,,0
Overvotes,U.S. House,17,,Milam,318,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,318,,,,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,318,,,,0
Matt Sterett,Railroad Commissioner,,LIB,Milam,318,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,318,,,,0
Undervotes,Railroad Commissioner,,,Milam,318,,,,0
Overvotes,Railroad Commissioner,,,Milam,318,,,,0
Terry M Wilson,State Representative,20,REP,Milam,318,,,,0
Jessica Tiedt,State Representative,20,DEM,Milam,318,,,,0
Undervotes,State Representative,20,,Milam,318,,,,0
Overvotes,State Representative,20,,Milam,318,,,,0
Registered Voters,,,,Milam,419,,,,2023
Ballots Cast,,,,Milam,419,0,2,0,2
Donald J Trump,President,,REP,Milam,419,,,,1
Joseph R Biden,President,,DEM,Milam,419,,,,1
Jo Jorgensen,President,,LIB,Milam,419,,,,0
Howie Hawkins,President,,GRN,Milam,419,,,,0
Todd Cella (W),President,,,Milam,419,,,,0
Abram Loeb (W),President,,,Milam,419,,,,0
Robert Morrow (W),President,,,Milam,419,,,,0
Jesse Cuellar (W),President,,,Milam,419,,,,0
Gloria La Riva (W),President,,,Milam,419,,,,0
Tom Hoefling (W),President,,,Milam,419,,,,0
Brian Carroll (W),President,,,Milam,419,,,,0
Kasey Wells (W),President,,,Milam,419,,,,0
President R. Boddie (W),President,,,Milam,419,,,,0
Undervotes,President,,,Milam,419,,,,0
Overvotes,President,,,Milam,419,,,,0
John Cornyn,U.S. Senate,,REP,Milam,419,,,,1
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,419,,,,1
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,419,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,419,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,419,,,,0
Undervotes,U.S. Senate,,,Milam,419,,,,0
Overvotes,U.S. Senate,,,Milam,419,,,,0
Pete Sessions,U.S. House,17,REP,Milam,419,,,,1
Rick Kennedy,U.S. House,17,DEM,Milam,419,,,,1
Ted Brown,U.S. House,17,LIB,Milam,419,,,,0
Undervotes,U.S. House,17,,Milam,419,,,,0
Overvotes,U.S. House,17,,Milam,419,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,419,,,,1
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,419,,,,1
Matt Sterett,Railroad Commissioner,,LIB,Milam,419,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,419,,,,0
Undervotes,Railroad Commissioner,,,Milam,419,,,,0
Overvotes,Railroad Commissioner,,,Milam,419,,,,0
Terry M Wilson,State Representative,20,REP,Milam,419,,,,1
Jessica Tiedt,State Representative,20,DEM,Milam,419,,,,1
Undervotes,State Representative,20,,Milam,419,,,,0
Overvotes,State Representative,20,,Milam,419,,,,0
Registered Voters,,,,Milam,420,,,,2188
Ballots Cast,,,,Milam,420,22,0,0,22
Donald J Trump,President,,REP,Milam,420,,,,10
Joseph R Biden,President,,DEM,Milam,420,,,,11
Jo Jorgensen,President,,LIB,Milam,420,,,,1
Howie Hawkins,President,,GRN,Milam,420,,,,0
Todd Cella (W),President,,,Milam,420,,,,0
Abram Loeb (W),President,,,Milam,420,,,,0
Robert Morrow (W),President,,,Milam,420,,,,0
Jesse Cuellar (W),President,,,Milam,420,,,,0
Gloria La Riva (W),President,,,Milam,420,,,,0
Tom Hoefling (W),President,,,Milam,420,,,,0
Brian Carroll (W),President,,,Milam,420,,,,0
Kasey Wells (W),President,,,Milam,420,,,,0
President R. Boddie (W),President,,,Milam,420,,,,0
Undervotes,President,,,Milam,420,,,,0
Overvotes,President,,,Milam,420,,,,0
John Cornyn,U.S. Senate,,REP,Milam,420,,,,10
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,420,,,,11
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,420,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,420,,,,1
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,420,,,,0
Undervotes,U.S. Senate,,,Milam,420,,,,0
Overvotes,U.S. Senate,,,Milam,420,,,,0
Pete Sessions,U.S. House,17,REP,Milam,420,,,,10
Rick Kennedy,U.S. House,17,DEM,Milam,420,,,,11
Ted Brown,U.S. House,17,LIB,Milam,420,,,,0
Undervotes,U.S. House,17,,Milam,420,,,,1
Overvotes,U.S. House,17,,Milam,420,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,420,,,,10
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,420,,,,10
Matt Sterett,Railroad Commissioner,,LIB,Milam,420,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,420,,,,0
Undervotes,Railroad Commissioner,,,Milam,420,,,,2
Overvotes,Railroad Commissioner,,,Milam,420,,,,0
Terry M Wilson,State Representative,20,REP,Milam,420,,,,12
Jessica Tiedt,State Representative,20,DEM,Milam,420,,,,8
Undervotes,State Representative,20,,Milam,420,,,,2
Overvotes,State Representative,20,,Milam,420,,,,0
Registered Voters,,,,Milam,207 -  MISD,,,,0
Ballots Cast,,,,Milam,207 -  MISD,3,20,4,27
Donald J Trump,President,,REP,Milam,207 -  MISD,,,,24
Joseph R Biden,President,,DEM,Milam,207 -  MISD,,,,3
Jo Jorgensen,President,,LIB,Milam,207 -  MISD,,,,0
Howie Hawkins,President,,GRN,Milam,207 -  MISD,,,,0
Todd Cella (W),President,,,Milam,207 -  MISD,,,,0
Abram Loeb (W),President,,,Milam,207 -  MISD,,,,0
Robert Morrow (W),President,,,Milam,207 -  MISD,,,,0
Jesse Cuellar (W),President,,,Milam,207 -  MISD,,,,0
Gloria La Riva (W),President,,,Milam,207 -  MISD,,,,0
Tom Hoefling (W),President,,,Milam,207 -  MISD,,,,0
Brian Carroll (W),President,,,Milam,207 -  MISD,,,,0
Kasey Wells (W),President,,,Milam,207 -  MISD,,,,0
President R. Boddie (W),President,,,Milam,207 -  MISD,,,,0
Undervotes,President,,,Milam,207 -  MISD,,,,0
Overvotes,President,,,Milam,207 -  MISD,,,,0
John Cornyn,U.S. Senate,,REP,Milam,207 -  MISD,,,,24
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,207 -  MISD,,,,3
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,207 -  MISD,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,207 -  MISD,,,,0
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,207 -  MISD,,,,0
Undervotes,U.S. Senate,,,Milam,207 -  MISD,,,,0
Overvotes,U.S. Senate,,,Milam,207 -  MISD,,,,0
Pete Sessions,U.S. House,17,REP,Milam,207 -  MISD,,,,24
Rick Kennedy,U.S. House,17,DEM,Milam,207 -  MISD,,,,3
Ted Brown,U.S. House,17,LIB,Milam,207 -  MISD,,,,0
Undervotes,U.S. House,17,,Milam,207 -  MISD,,,,0
Overvotes,U.S. House,17,,Milam,207 -  MISD,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,207 -  MISD,,,,23
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,207 -  MISD,,,,3
Matt Sterett,Railroad Commissioner,,LIB,Milam,207 -  MISD,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,207 -  MISD,,,,0
Undervotes,Railroad Commissioner,,,Milam,207 -  MISD,,,,1
Overvotes,Railroad Commissioner,,,Milam,207 -  MISD,,,,0
Terry M Wilson,State Representative,20,REP,Milam,207 -  MISD,,,,22
Jessica Tiedt,State Representative,20,DEM,Milam,207 -  MISD,,,,3
Undervotes,State Representative,20,,Milam,207 -  MISD,,,,2
Overvotes,State Representative,20,,Milam,207 -  MISD,,,,0
Registered Voters,,,,Milam,212 -  MISD,,,,0
Ballots Cast,,,,Milam,212 -  MISD,2,13,1,16
Donald J Trump,President,,REP,Milam,212 -  MISD,,,,15
Joseph R Biden,President,,DEM,Milam,212 -  MISD,,,,1
Jo Jorgensen,President,,LIB,Milam,212 -  MISD,,,,0
Howie Hawkins,President,,GRN,Milam,212 -  MISD,,,,0
Todd Cella (W),President,,,Milam,212 -  MISD,,,,0
Abram Loeb (W),President,,,Milam,212 -  MISD,,,,0
