county,precinct,office,district,party,candidate,votes,election_day,mail,early_voting
Orange,Precinct 15,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 16,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 17,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 18,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 19,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 20,President,,REP,Bob Ely,1,0,0,1
Orange,Precinct 21,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 22,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 23,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 24,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 25,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 26,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 27,President,,REP,Bob Ely,1,0,0,1
Orange,Precinct 28,President,,REP,Bob Ely,1,0,0,1
Orange,Precinct 29,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 30,President,,REP,Bob Ely,1,0,0,1
Orange,Precinct 31,President,,REP,Bob Ely,2,0,0,2
Orange,Precinct 32,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 33,President,,REP,Bob Ely,1,0,0,1
Orange,Precinct 34,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 1,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 2,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 3,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 4,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 5,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 6,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 7,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 8,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 9,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 10,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 11,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 12,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 13,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 14,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 15,President,,REP,Zoltan G. Istvan,1,0,0,1
Orange,Precinct 16,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 17,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 18,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 19,President,,REP,Zoltan G. Istvan,1,0,0,1
Orange,Precinct 20,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 21,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 22,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 23,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 24,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 25,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 26,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 27,President,,REP,Zoltan G. Istvan,1,0,0,1
Orange,Precinct 28,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 29,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 30,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 31,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 32,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 33,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 34,President,,REP,Zoltan G. Istvan,0,0,0,0
Orange,Precinct 1,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 2,President,,REP,Roque Rocky De La Fuente Guerra,2,2,0,0
Orange,Precinct 3,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 4,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 5,President,,REP,Roque Rocky De La Fuente Guerra,1,0,0,1
Orange,Precinct 6,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 7,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 8,President,,REP,Roque Rocky De La Fuente Guerra,3,1,0,2
Orange,Precinct 9,President,,REP,Roque Rocky De La Fuente Guerra,1,0,0,1
Orange,Precinct 10,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 11,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 12,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 13,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 14,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 15,President,,REP,Roque Rocky De La Fuente Guerra,1,0,0,1
Orange,Precinct 16,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 17,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 18,President,,REP,Roque Rocky De La Fuente Guerra,1,0,0,1
Orange,Precinct 19,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 20,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 21,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 22,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 23,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 24,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 25,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 26,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 27,President,,REP,Roque Rocky De La Fuente Guerra,1,0,0,1
Orange,Precinct 28,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 29,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 30,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 31,President,,REP,Roque Rocky De La Fuente Guerra,1,0,0,1
Orange,Precinct 32,President,,REP,Roque Rocky De La Fuente Guerra,1,0,0,1
Orange,Precinct 33,President,,REP,Roque Rocky De La Fuente Guerra,1,0,0,1
Orange,Precinct 34,President,,REP,Roque Rocky De La Fuente Guerra,0,0,0,0
Orange,Precinct 1,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 2,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 3,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 4,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 5,President,,REP,Matthew John Matern,1,0,0,1
Orange,Precinct 6,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 7,President,,REP,Matthew John Matern,1,1,0,0
Orange,Precinct 8,President,,REP,Matthew John Matern,1,0,0,1
Orange,Precinct 9,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 10,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 11,President,,REP,Matthew John Matern,1,1,0,0
Orange,Precinct 12,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 13,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 14,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 15,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 16,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 17,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 18,President,,REP,Matthew John Matern,2,2,0,0
Orange,Precinct 19,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 20,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 21,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 22,President,,REP,Matthew John Matern,1,1,0,0
Orange,Precinct 23,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 24,President,,REP,Matthew John Matern,1,0,0,1
Orange,Precinct 25,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 26,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 27,President,,REP,Matthew John Matern,1,1,0,0
Orange,Precinct 28,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 29,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 30,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 31,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 32,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 33,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 34,President,,REP,Matthew John Matern,0,0,0,0
Orange,Precinct 1,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 2,President,,REP,Joe Walsh,2,1,0,1
Orange,Precinct 3,President,,REP,Joe Walsh,4,1,1,2
Orange,Precinct 4,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 5,President,,REP,Joe Walsh,1,0,0,1
Orange,Precinct 6,President,,REP,Joe Walsh,5,2,0,3
Orange,Precinct 7,President,,REP,Joe Walsh,2,0,0,2
Orange,Precinct 8,President,,REP,Joe Walsh,3,1,0,2
Orange,Precinct 9,President,,REP,Joe Walsh,4,1,0,3
Orange,Precinct 10,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 11,President,,REP,Joe Walsh,1,1,0,0
Orange,Precinct 12,President,,REP,Joe Walsh,2,2,0,0
Orange,Precinct 13,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 14,President,,REP,Joe Walsh,1,1,0,0
Orange,Precinct 15,President,,REP,Joe Walsh,2,2,0,0
Orange,Precinct 16,President,,REP,Joe Walsh,4,1,2,1
Orange,Precinct 17,President,,REP,Joe Walsh,1,1,0,0
Orange,Precinct 18,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 19,President,,REP,Joe Walsh,1,0,0,1
Orange,Precinct 20,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 21,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 22,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 23,President,,REP,Joe Walsh,3,0,0,3
Orange,Precinct 24,President,,REP,Joe Walsh,2,1,0,1
Orange,Precinct 25,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 26,President,,REP,Joe Walsh,3,1,0,2
Orange,Precinct 27,President,,REP,Joe Walsh,4,3,0,1
Orange,Precinct 28,President,,REP,Joe Walsh,6,4,0,2
Orange,Precinct 29,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 30,President,,REP,Joe Walsh,2,1,0,1
Orange,Precinct 31,President,,REP,Joe Walsh,3,1,0,2
Orange,Precinct 32,President,,REP,Joe Walsh,5,2,0,3
Orange,Precinct 33,President,,REP,Joe Walsh,1,0,0,1
Orange,Precinct 34,President,,REP,Joe Walsh,0,0,0,0
Orange,Precinct 1,President,,REP,Bill Weld,1,0,0,1
Orange,Precinct 2,President,,REP,Bill Weld,3,1,0,2
Orange,Precinct 3,President,,REP,Bill Weld,1,0,0,1
Orange,Precinct 4,President,,REP,Bill Weld,0,0,0,0
Orange,Precinct 5,President,,REP,Bill Weld,3,0,0,3
Orange,Precinct 6,President,,REP,Bill Weld,3,1,0,2
Orange,Precinct 7,President,,REP,Bill Weld,1,1,0,0
Orange,Precinct 8,President,,REP,Bill Weld,4,1,0,3
Orange,Precinct 9,President,,REP,Bill Weld,1,0,1,0
Orange,Precinct 10,President,,REP,Bill Weld,3,1,0,2
Orange,Precinct 11,President,,REP,Bill Weld,0,0,0,0
Orange,Precinct 12,President,,REP,Bill Weld,2,0,0,2
Orange,Precinct 13,President,,REP,Bill Weld,2,1,0,1
Orange,Precinct 14,President,,REP,Bill Weld,3,2,0,1
Orange,Precinct 15,President,,REP,Bill Weld,2,1,0,1
Orange,Precinct 16,President,,REP,Bill Weld,0,0,0,0
Orange,Precinct 17,President,,REP,Bill Weld,4,1,2,1
Orange,Precinct 18,President,,REP,Bill Weld,3,2,0,1
Orange,Precinct 19,President,,REP,Bill Weld,1,0,0,1
Orange,Precinct 20,President,,REP,Bill Weld,2,0,0,2
Orange,Precinct 21,President,,REP,Bill Weld,1,1,0,0
Orange,Precinct 22,President,,REP,Bill Weld,1,0,0,1
Orange,Precinct 23,President,,REP,Bill Weld,1,1,0,0
Orange,Precinct 24,President,,REP,Bill Weld,0,0,0,0
Orange,Precinct 25,President,,REP,Bill Weld,3,2,0,1
Orange,Precinct 26,President,,REP,Bill Weld,2,0,0,2
Orange,Precinct 27,President,,REP,Bill Weld,9,0,0,9
Orange,Precinct 28,President,,REP,Bill Weld,6,0,0,6
Orange,Precinct 29,President,,REP,Bill Weld,1,1,0,0
Orange,Precinct 30,President,,REP,Bill Weld,1,0,0,1
Orange,Precinct 31,President,,REP,Bill Weld,4,2,0,2
Orange,Precinct 32,President,,REP,Bill Weld,1,0,0,1
Orange,Precinct 33,President,,REP,Bill Weld,3,1,0,2
Orange,Precinct 34,President,,REP,Bill Weld,4,0,0,4
Orange,Precinct 1,President,,REP,Uncommitted,3,1,0,2
Orange,Precinct 2,President,,REP,Uncommitted,7,3,0,4
Orange,Precinct 3,President,,REP,Uncommitted,5,3,1,1
Orange,Precinct 4,President,,REP,Uncommitted,0,0,0,0
Orange,Precinct 5,President,,REP,Uncommitted,19,10,1,8
Orange,Precinct 6,President,,REP,Uncommitted,16,5,1,10
Orange,Precinct 7,President,,REP,Uncommitted,25,15,0,10
Orange,Precinct 8,President,,REP,Uncommitted,22,4,1,17
Orange,Precinct 9,President,,REP,Uncommitted,9,3,1,5
Orange,Precinct 10,President,,REP,Uncommitted,3,1,0,2
Orange,Precinct 11,President,,REP,Uncommitted,3,2,0,1
Orange,Precinct 12,President,,REP,Uncommitted,9,1,2,6
Orange,Precinct 13,President,,REP,Uncommitted,4,3,0,1
Orange,Precinct 14,President,,REP,Uncommitted,11,4,1,6
Orange,Precinct 15,President,,REP,Uncommitted,10,5,0,5
Orange,Precinct 16,President,,REP,Uncommitted,14,6,0,8
Orange,Precinct 17,President,,REP,Uncommitted,11,7,0,4
Orange,Precinct 18,President,,REP,Uncommitted,7,1,0,6
Orange,Precinct 19,President,,REP,Uncommitted,10,3,2,5
Orange,Precinct 20,President,,REP,Uncommitted,6,1,0,5
Orange,Precinct 21,President,,REP,Uncommitted,1,0,1,0
Orange,Precinct 22,President,,REP,Uncommitted,10,1,4,5
Orange,Precinct 23,President,,REP,Uncommitted,31,13,1,17
Orange,Precinct 24,President,,REP,Uncommitted,10,4,1,5
Orange,Precinct 25,President,,REP,Uncommitted,15,5,1,9
Orange,Precinct 26,President,,REP,Uncommitted,25,4,0,21
Orange,Precinct 27,President,,REP,Uncommitted,18,3,2,13
Orange,Precinct 28,President,,REP,Uncommitted,24,9,2,13
Orange,Precinct 29,President,,REP,Uncommitted,4,2,0,2
Orange,Precinct 30,President,,REP,Uncommitted,11,7,3,1
Orange,Precinct 31,President,,REP,Uncommitted,18,9,0,9
Orange,Precinct 32,President,,REP,Uncommitted,15,2,2,11
Orange,Precinct 33,President,,REP,Uncommitted,12,3,1,8
Orange,Precinct 34,President,,REP,Uncommitted,6,1,1,4
Orange,Precinct 1,U.S. Senate,,REP,Dwayne Stovall,19,8,0,11
Orange,Precinct 2,U.S. Senate,,REP,Dwayne Stovall,27,10,2,15
Orange,Precinct 3,U.S. Senate,,REP,Dwayne Stovall,13,5,1,7
Orange,Precinct 4,U.S. Senate,,REP,Dwayne Stovall,1,1,0,0
Orange,Precinct 5,U.S. Senate,,REP,Dwayne Stovall,28,15,0,13
Orange,Precinct 6,U.S. Senate,,REP,Dwayne Stovall,72,29,4,39
Orange,Precinct 7,U.S. Senate,,REP,Dwayne Stovall,56,27,3,26
Orange,Precinct 8,U.S. Senate,,REP,Dwayne Stovall,88,37,3,48
Orange,Precinct 9,U.S. Senate,,REP,Dwayne Stovall,76,38,4,34
Orange,Precinct 10,U.S. Senate,,REP,Dwayne Stovall,30,9,0,21
Orange,Precinct 11,U.S. Senate,,REP,Dwayne Stovall,20,14,1,5
Orange,Precinct 12,U.S. Senate,,REP,Dwayne Stovall,35,16,1,18
Orange,Precinct 13,U.S. Senate,,REP,Dwayne Stovall,38,13,2,23
Orange,Precinct 14,U.S. Senate,,REP,Dwayne Stovall,43,20,3,20
Orange,Precinct 15,U.S. Senate,,REP,Dwayne Stovall,82,49,2,31
Orange,Precinct 16,U.S. Senate,,REP,Dwayne Stovall,166,81,0,85
Orange,Precinct 17,U.S. Senate,,REP,Dwayne Stovall,109,37,8,64
Orange,Precinct 18,U.S. Senate,,REP,Dwayne Stovall,97,36,3,58
Orange,Precinct 19,U.S. Senate,,REP,Dwayne Stovall,86,27,1,58
Orange,Precinct 20,U.S. Senate,,REP,Dwayne Stovall,67,20,0,47
Orange,Precinct 21,U.S. Senate,,REP,Dwayne Stovall,10,8,0,2
Orange,Precinct 22,U.S. Senate,,REP,Dwayne Stovall,90,51,1,38
Orange,Precinct 23,U.S. Senate,,REP,Dwayne Stovall,183,76,1,106
Orange,Precinct 24,U.S. Senate,,REP,Dwayne Stovall,70,27,5,38
Orange,Precinct 25,U.S. Senate,,REP,Dwayne Stovall,74,38,1,35
Orange,Precinct 26,U.S. Senate,,REP,Dwayne Stovall,131,73,1,57
Orange,Precinct 27,U.S. Senate,,REP,Dwayne Stovall,101,43,2,56
Orange,Precinct 28,U.S. Senate,,REP,Dwayne Stovall,175,73,4,98
Orange,Precinct 29,U.S. Senate,,REP,Dwayne Stovall,55,27,4,24
Orange,Precinct 30,U.S. Senate,,REP,Dwayne Stovall,49,31,1,17
Orange,Precinct 31,U.S. Senate,,REP,Dwayne Stovall,130,66,2,62
