county,precinct,office,district,candidate,party,early_voting,election_day,mail,votes
Hockley,Precinct 15,U.S. House,19,Tom Watson,DEM,20,9,8,37
Hockley,Precinct 15,U.S. House,19,Joe Burnes,LIB,2,4,0,6
Hockley,Precinct 15,Railroad Commissioner,,"James ""Jim"" Wright",REP,125,122,16,263
Hockley,Precinct 15,Railroad Commissioner,,Chrysta Castaneda,DEM,19,9,7,35
Hockley,Precinct 15,Railroad Commissioner,,Matt Sterett,LIB,4,4,0,8
Hockley,Precinct 15,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,1,0,1
Hockley,Precinct 15,State Senate,28,Charles Perry,REP,133,128,20,281
Hockley,Precinct 15,State Representative,88,Ken King,REP,132,125,20,277
Hockley,Precinct 16,President,,Donald J. Trump / Michael R. Pence,REP,913,178,66,1157
Hockley,Precinct 16,President,,Joseph R. Biden / Kamala D. Harris,DEM,138,35,20,193
Hockley,Precinct 16,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,4,3,1,8
Hockley,Precinct 16,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Hockley,Precinct 16,President,,Write-In,,0,0,0,0
Hockley,Precinct 16,U.S. Senate,,John Cornyn,REP,905,176,68,1149
Hockley,Precinct 16,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,134,34,19,187
Hockley,Precinct 16,U.S. Senate,,Kerry Douglas McKennon,LIB,7,4,1,12
Hockley,Precinct 16,U.S. Senate,,David B. Collins,GRN,1,0,0,1
Hockley,Precinct 16,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 16,U.S. House,19,Jodey C. Arrington,REP,928,181,69,1178
Hockley,Precinct 16,U.S. House,19,Tom Watson,DEM,111,29,19,159
Hockley,Precinct 16,U.S. House,19,Joe Burnes,LIB,9,5,1,15
Hockley,Precinct 16,Railroad Commissioner,,"James ""Jim"" Wright",REP,892,177,69,1138
Hockley,Precinct 16,Railroad Commissioner,,Chrysta Castaneda,DEM,127,27,17,171
Hockley,Precinct 16,Railroad Commissioner,,Matt Sterett,LIB,13,5,1,19
Hockley,Precinct 16,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,5,3,0,8
Hockley,Precinct 16,State Senate,28,Charles Perry,REP,961,199,73,1233
Hockley,Precinct 16,State Representative,88,Ken King,REP,941,199,71,1211
Hockley,Precinct 21,President,,Donald J. Trump / Michael R. Pence,REP,763,171,65,999
Hockley,Precinct 21,President,,Joseph R. Biden / Kamala D. Harris,DEM,167,55,26,248
Hockley,Precinct 21,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,5,0,0,5
Hockley,Precinct 21,President,,Howie Hawkins / Angela Walker,GRN,3,0,0,3
Hockley,Precinct 21,President,,Write-In,,2,0,0,2
Hockley,Precinct 21,U.S. Senate,,John Cornyn,REP,753,163,63,979
Hockley,Precinct 21,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,158,49,24,231
Hockley,Precinct 21,U.S. Senate,,Kerry Douglas McKennon,LIB,9,5,1,15
Hockley,Precinct 21,U.S. Senate,,David B. Collins,GRN,3,2,0,5
Hockley,Precinct 21,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 21,U.S. House,19,Jodey C. Arrington,REP,767,169,68,1004
Hockley,Precinct 21,U.S. House,19,Tom Watson,DEM,149,47,23,219
Hockley,Precinct 21,U.S. House,19,Joe Burnes,LIB,11,5,1,17
Hockley,Precinct 21,Railroad Commissioner,,"James ""Jim"" Wright",REP,741,157,61,959
Hockley,Precinct 21,Railroad Commissioner,,Chrysta Castaneda,DEM,155,53,29,237
Hockley,Precinct 21,Railroad Commissioner,,Matt Sterett,LIB,15,4,0,19
Hockley,Precinct 21,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,3,5,0,8
Hockley,Precinct 21,State Senate,28,Charles Perry,REP,829,198,73,1100
Hockley,Precinct 21,State Representative,88,Ken King,REP,802,199,72,1073
Hockley,Precinct 24,President,,Donald J. Trump / Michael R. Pence,REP,359,89,8,456
Hockley,Precinct 24,President,,Joseph R. Biden / Kamala D. Harris,DEM,41,20,7,68
Hockley,Precinct 24,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,2,5,1,8
Hockley,Precinct 24,President,,Howie Hawkins / Angela Walker,GRN,0,2,0,2
Hockley,Precinct 24,President,,Write-In,,0,0,0,0
Hockley,Precinct 24,U.S. Senate,,John Cornyn,REP,351,88,8,447
Hockley,Precinct 24,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,36,19,6,61
Hockley,Precinct 24,U.S. Senate,,Kerry Douglas McKennon,LIB,8,4,0,12
Hockley,Precinct 24,U.S. Senate,,David B. Collins,GRN,1,0,1,2
Hockley,Precinct 24,U.S. Senate,,Write-In,,0,1,0,1
Hockley,Precinct 24,U.S. House,19,Jodey C. Arrington,REP,359,92,9,460
Hockley,Precinct 24,U.S. House,19,Tom Watson,DEM,36,16,6,58
Hockley,Precinct 24,U.S. House,19,Joe Burnes,LIB,2,4,0,6
Hockley,Precinct 24,Railroad Commissioner,,"James ""Jim"" Wright",REP,349,82,9,440
Hockley,Precinct 24,Railroad Commissioner,,Chrysta Castaneda,DEM,37,23,5,65
Hockley,Precinct 24,Railroad Commissioner,,Matt Sterett,LIB,6,4,0,10
Hockley,Precinct 24,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,1,0,2
Hockley,Precinct 24,State Senate,28,Charles Perry,REP,370,103,9,482
Hockley,Precinct 24,State Representative,88,Ken King,REP,365,98,9,472
Hockley,Precinct 32,President,,Donald J. Trump / Michael R. Pence,REP,601,115,38,754
Hockley,Precinct 32,President,,Joseph R. Biden / Kamala D. Harris,DEM,143,65,34,242
Hockley,Precinct 32,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,5,4,0,9
Hockley,Precinct 32,President,,Howie Hawkins / Angela Walker,GRN,0,1,0,1
Hockley,Precinct 32,President,,Write-In,,0,0,0,0
Hockley,Precinct 32,U.S. Senate,,John Cornyn,REP,598,113,37,748
Hockley,Precinct 32,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,130,58,28,216
Hockley,Precinct 32,U.S. Senate,,Kerry Douglas McKennon,LIB,11,7,0,18
Hockley,Precinct 32,U.S. Senate,,David B. Collins,GRN,2,2,0,4
Hockley,Precinct 32,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 32,U.S. House,19,Jodey C. Arrington,REP,604,120,39,763
Hockley,Precinct 32,U.S. House,19,Tom Watson,DEM,121,50,25,196
Hockley,Precinct 32,U.S. House,19,Joe Burnes,LIB,17,9,2,28
Hockley,Precinct 32,Railroad Commissioner,,"James ""Jim"" Wright",REP,585,104,35,724
Hockley,Precinct 32,Railroad Commissioner,,Chrysta Castaneda,DEM,134,64,31,229
Hockley,Precinct 32,Railroad Commissioner,,Matt Sterett,LIB,9,5,0,14
Hockley,Precinct 32,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,3,2,0,5
Hockley,Precinct 32,State Senate,28,Charles Perry,REP,670,145,44,859
Hockley,Precinct 32,State Representative,88,Ken King,REP,655,143,46,844
Hockley,Precinct 33,President,,Donald J. Trump / Michael R. Pence,REP,45,19,3,67
Hockley,Precinct 33,President,,Joseph R. Biden / Kamala D. Harris,DEM,4,1,0,5
Hockley,Precinct 33,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Hockley,Precinct 33,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Hockley,Precinct 33,President,,Write-In,,0,0,0,0
Hockley,Precinct 33,U.S. Senate,,John Cornyn,REP,45,19,3,67
Hockley,Precinct 33,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,4,0,0,4
Hockley,Precinct 33,U.S. Senate,,Kerry Douglas McKennon,LIB,0,1,0,1
Hockley,Precinct 33,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Hockley,Precinct 33,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 33,U.S. House,19,Jodey C. Arrington,REP,45,19,3,67
Hockley,Precinct 33,U.S. House,19,Tom Watson,DEM,4,1,0,5
Hockley,Precinct 33,U.S. House,19,Joe Burnes,LIB,0,0,0,0
Hockley,Precinct 33,Railroad Commissioner,,"James ""Jim"" Wright",REP,43,18,3,64
Hockley,Precinct 33,Railroad Commissioner,,Chrysta Castaneda,DEM,4,1,0,5
Hockley,Precinct 33,Railroad Commissioner,,Matt Sterett,LIB,2,0,0,2
Hockley,Precinct 33,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Hockley,Precinct 33,State Senate,28,Charles Perry,REP,49,19,2,70
Hockley,Precinct 33,State Representative,88,Ken King,REP,47,18,3,68
Hockley,Precinct 35,President,,Donald J. Trump / Michael R. Pence,REP,56,21,1,78
Hockley,Precinct 35,President,,Joseph R. Biden / Kamala D. Harris,DEM,17,2,0,19
Hockley,Precinct 35,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,1,1,2
Hockley,Precinct 35,President,,Howie Hawkins / Angela Walker,GRN,1,0,0,1
Hockley,Precinct 35,President,,Write-In,,0,0,0,0
Hockley,Precinct 35,U.S. Senate,,John Cornyn,REP,54,16,0,70
Hockley,Precinct 35,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,17,4,0,21
Hockley,Precinct 35,U.S. Senate,,Kerry Douglas McKennon,LIB,1,2,1,4
Hockley,Precinct 35,U.S. Senate,,David B. Collins,GRN,1,0,0,1
Hockley,Precinct 35,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 35,U.S. House,19,Jodey C. Arrington,REP,59,20,0,79
Hockley,Precinct 35,U.S. House,19,Tom Watson,DEM,12,3,0,15
Hockley,Precinct 35,U.S. House,19,Joe Burnes,LIB,2,1,1,4
Hockley,Precinct 35,Railroad Commissioner,,"James ""Jim"" Wright",REP,54,17,0,71
Hockley,Precinct 35,Railroad Commissioner,,Chrysta Castaneda,DEM,17,4,0,21
Hockley,Precinct 35,Railroad Commissioner,,Matt Sterett,LIB,0,1,1,2
Hockley,Precinct 35,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,0,1
Hockley,Precinct 35,State Senate,28,Charles Perry,REP,66,21,0,87
Hockley,Precinct 35,State Representative,88,Ken King,REP,65,22,0,87
Hockley,Precinct 36,President,,Donald J. Trump / Michael R. Pence,REP,98,29,4,131
Hockley,Precinct 36,President,,Joseph R. Biden / Kamala D. Harris,DEM,46,21,11,78
Hockley,Precinct 36,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,2,1,0,3
Hockley,Precinct 36,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Hockley,Precinct 36,President,,Write-In,,1,0,0,1
Hockley,Precinct 36,U.S. Senate,,John Cornyn,REP,95,28,5,128
Hockley,Precinct 36,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,48,17,10,75
Hockley,Precinct 36,U.S. Senate,,Kerry Douglas McKennon,LIB,1,1,0,2
Hockley,Precinct 36,U.S. Senate,,David B. Collins,GRN,0,1,0,1
Hockley,Precinct 36,U.S. Senate,,Write-In,,1,0,0,1
Hockley,Precinct 36,U.S. House,19,Jodey C. Arrington,REP,95,31,5,131
Hockley,Precinct 36,U.S. House,19,Tom Watson,DEM,46,13,10,69
Hockley,Precinct 36,U.S. House,19,Joe Burnes,LIB,3,3,0,6
Hockley,Precinct 36,Railroad Commissioner,,"James ""Jim"" Wright",REP,92,27,5,124
Hockley,Precinct 36,Railroad Commissioner,,Chrysta Castaneda,DEM,43,17,10,70
Hockley,Precinct 36,Railroad Commissioner,,Matt Sterett,LIB,7,0,0,7
Hockley,Precinct 36,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,0,1
Hockley,Precinct 36,State Senate,28,Charles Perry,REP,119,36,8,163
Hockley,Precinct 36,State Representative,88,Ken King,REP,106,35,9,150
Hockley,Precinct 43,President,,Donald J. Trump / Michael R. Pence,REP,86,104,2,192
Hockley,Precinct 43,President,,Joseph R. Biden / Kamala D. Harris,DEM,11,9,4,24
Hockley,Precinct 43,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,0,0,1
Hockley,Precinct 43,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Hockley,Precinct 43,President,,Write-In,,0,1,0,1
Hockley,Precinct 43,U.S. Senate,,John Cornyn,REP,87,104,2,193
Hockley,Precinct 43,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,10,10,4,24
Hockley,Precinct 43,U.S. Senate,,Kerry Douglas McKennon,LIB,1,0,0,1
Hockley,Precinct 43,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Hockley,Precinct 43,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 43,U.S. House,19,Jodey C. Arrington,REP,88,106,2,196
Hockley,Precinct 43,U.S. House,19,Tom Watson,DEM,10,6,4,20
Hockley,Precinct 43,U.S. House,19,Joe Burnes,LIB,0,1,0,1
Hockley,Precinct 43,Railroad Commissioner,,"James ""Jim"" Wright",REP,88,103,2,193
Hockley,Precinct 43,Railroad Commissioner,,Chrysta Castaneda,DEM,10,8,4,22
Hockley,Precinct 43,Railroad Commissioner,,Matt Sterett,LIB,0,3,0,3
Hockley,Precinct 43,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Hockley,Precinct 43,State Senate,28,Charles Perry,REP,93,110,6,209
Hockley,Precinct 43,State Representative,88,Ken King,REP,94,106,6,206
Hockley,Precinct 44,President,,Donald J. Trump / Michael R. Pence,REP,255,108,26,389
Hockley,Precinct 44,President,,Joseph R. Biden / Kamala D. Harris,DEM,89,26,11,126
Hockley,Precinct 44,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,3,0,0,3
Hockley,Precinct 44,President,,Howie Hawkins / Angela Walker,GRN,1,0,0,1
Hockley,Precinct 44,President,,Write-In,,0,0,0,0
Hockley,Precinct 44,U.S. Senate,,John Cornyn,REP,254,105,26,385
Hockley,Precinct 44,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,83,27,10,120
Hockley,Precinct 44,U.S. Senate,,Kerry Douglas McKennon,LIB,6,1,0,7
Hockley,Precinct 44,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Hockley,Precinct 44,U.S. Senate,,Write-In,,1,0,0,1
Hockley,Precinct 44,U.S. House,19,Jodey C. Arrington,REP,260,107,27,394
Hockley,Precinct 44,U.S. House,19,Tom Watson,DEM,80,23,10,113
Hockley,Precinct 44,U.S. House,19,Joe Burnes,LIB,7,2,0,9
Hockley,Precinct 44,Railroad Commissioner,,"James ""Jim"" Wright",REP,256,103,27,386
Hockley,Precinct 44,Railroad Commissioner,,Chrysta Castaneda,DEM,82,26,9,117
Hockley,Precinct 44,Railroad Commissioner,,Matt Sterett,LIB,6,3,0,9
Hockley,Precinct 44,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Hockley,Precinct 44,State Senate,28,Charles Perry,REP,288,120,28,436
Hockley,Precinct 44,State Representative,88,Ken King,REP,273,123,28,424
Hockley,Precinct 45,President,,Donald J. Trump / Michael R. Pence,REP,530,156,41,727
Hockley,Precinct 45,President,,Joseph R. Biden / Kamala D. Harris,DEM,144,30,31,205
Hockley,Precinct 45,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,4,0,0,4
Hockley,Precinct 45,President,,Howie Hawkins / Angela Walker,GRN,1,2,2,5
Hockley,Precinct 45,President,,Write-In,,1,0,0,1
Hockley,Precinct 45,U.S. Senate,,John Cornyn,REP,523,149,46,718
Hockley,Precinct 45,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,138,29,27,194
Hockley,Precinct 45,U.S. Senate,,Kerry Douglas McKennon,LIB,10,4,1,15
Hockley,Precinct 45,U.S. Senate,,David B. Collins,GRN,3,4,0,7
Hockley,Precinct 45,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 45,U.S. House,19,Jodey C. Arrington,REP,540,156,48,744
Hockley,Precinct 45,U.S. House,19,Tom Watson,DEM,123,27,26,176
Hockley,Precinct 45,U.S. House,19,Joe Burnes,LIB,14,4,0,18
Hockley,Precinct 45,Railroad Commissioner,,"James ""Jim"" Wright",REP,522,151,47,720
Hockley,Precinct 45,Railroad Commissioner,,Chrysta Castaneda,DEM,134,33,26,193
Hockley,Precinct 45,Railroad Commissioner,,Matt Sterett,LIB,12,2,1,15
Hockley,Precinct 45,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,6,2,0,8
Hockley,Precinct 45,State Senate,28,Charles Perry,REP,599,172,55,826
Hockley,Precinct 45,State Representative,88,Ken King,REP,586,174,53,813
Hockley,Precinct 46,President,,Donald J. Trump / Michael R. Pence,REP,167,183,13,363
Hockley,Precinct 46,President,,Joseph R. Biden / Kamala D. Harris,DEM,36,23,12,71
Hockley,Precinct 46,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,5,1,6
Hockley,Precinct 46,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Hockley,Precinct 46,President,,Write-In,,1,0,0,1
Hockley,Precinct 46,U.S. Senate,,John Cornyn,REP,165,174,16,355
Hockley,Precinct 46,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,31,21,9,61
Hockley,Precinct 46,U.S. Senate,,Kerry Douglas McKennon,LIB,5,8,1,14
Hockley,Precinct 46,U.S. Senate,,David B. Collins,GRN,1,4,0,5
Hockley,Precinct 46,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 46,U.S. House,19,Jodey C. Arrington,REP,166,180,17,363
Hockley,Precinct 46,U.S. House,19,Tom Watson,DEM,31,21,9,61
Hockley,Precinct 46,U.S. House,19,Joe Burnes,LIB,5,8,0,13
Hockley,Precinct 46,Railroad Commissioner,,"James ""Jim"" Wright",REP,168,180,15,363
Hockley,Precinct 46,Railroad Commissioner,,Chrysta Castaneda,DEM,29,18,8,55
Hockley,Precinct 46,Railroad Commissioner,,Matt Sterett,LIB,3,7,0,10
Hockley,Precinct 46,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,2,1,4
Hockley,Precinct 46,State Senate,28,Charles Perry,REP,180,187,19,386
Hockley,Precinct 46,State Representative,88,Ken King,REP,174,191,21,386
