county,precinct,office,district,candidate,party,votes,mail,election_day,early_voting
Terrell,3,U.S. Senate,,DAVID B. COLLINS,GREEN,2,1,0,1
Terrell,3,U.S. Senate,,RICARDO TURULLOLS-BONILLA,,0,0,0,0
Terrell,3,U.S. House,23,TONY GONZALES,REP,98,12,25,61
Terrell,3,U.S. House,23,GINA ORTIZ JONES,DEM,14,1,2,11
Terrell,3,U.S. House,23,BETO VILLELA,LIB,2,1,0,1
Terrell,3,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,89,11,22,56
Terrell,3,Railroad Commissioner,,CHRYSTA CASTAÑEDA,DEM,16,1,4,11
Terrell,3,Railroad Commissioner,,MATT STERETT,LIB,4,1,0,3
Terrell,3,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GREEN,1,1,0,0
Terrell,3,State Senate,19,"PETER P. ""PETE"" FLORES",REP,95,11,24,60
Terrell,3,State Senate,19,ROLAND GUTIERREZ,DEM,14,2,3,9
Terrell,3,State Senate,19,JO-ANNE VALDIVIA,LIB,1,0,0,1
Terrell,3,State Representative,74,RUBEN FALCON,REP,92,11,22,59
Terrell,3,State Representative,74,EDDIE MORALES,DEM,17,2,4,11
Terrell,4,President,,DONALD J. TRUMP / MICHAEL R. PENCE,REP,98,8,24,66
Terrell,4,President,,JOSEPH R. BIDEN / KAMALA D. HARRIS,DEM,13,2,1,10
Terrell,4,President,,"JO JORGENSEN / JEREMY ""SPIKE"" COHEN",LIB,1,0,1,0
Terrell,4,President,,HOWIE HAWKINS / ANGELA WALKER,GREEN,0,0,0,0
Terrell,4,President,,PRESIDENT R. BODDIE / ERIC C. STONEHAM,,0,0,0,0
Terrell,4,President,,BRIAN CARROLL / AMAR PATEL,,0,0,0,0
Terrell,4,President,,TODD CELLA / TIM CELLA,,0,0,0,0
Terrell,4,President,,JESSE CUELLAR / JIMMY MONREAL,,0,0,0,0
Terrell,4,President,,TOM HOEFLING / JIMMY MONREAL,,0,0,0,0
Terrell,4,President,,GLORIA LA RIVA / LEONARD PELTIER,,0,0,0,0
Terrell,4,President,,ABRAM LOEB / JENNIFER JAIRALA,,0,0,0,0
Terrell,4,President,,ROBERT MORROW / ANNE BECKETT,,0,0,0,0
Terrell,4,President,,KASEY WELLS / RACHEL WELLS,,0,0,0,0
Terrell,4,U.S. Senate,,JOHN CORNYN,REP,95,8,25,62
Terrell,4,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,15,2,1,12
Terrell,4,U.S. Senate,,KERRY DOUGLAS MCKENNON,LIB,0,0,0,0
Terrell,4,U.S. Senate,,DAVID B. COLLINS,GREEN,0,0,0,0
Terrell,4,U.S. Senate,,RICARDO TURULLOLS-BONILLA,,0,0,0,0
Terrell,4,U.S. House,23,TONY GONZALES,REP,95,8,23,64
Terrell,4,U.S. House,23,GINA ORTIZ JONES,DEM,17,2,3,12
Terrell,4,U.S. House,23,BETO VILLELA,LIB,0,0,0,0
Terrell,4,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,93,8,25,60
Terrell,4,Railroad Commissioner,,CHRYSTA CASTAÑEDA,DEM,16,2,1,13
Terrell,4,Railroad Commissioner,,MATT STERETT,LIB,0,0,0,0
Terrell,4,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GREEN,1,0,0,1
Terrell,4,State Senate,19,"PETER P. ""PETE"" FLORES",REP,99,8,25,66
Terrell,4,State Senate,19,ROLAND GUTIERREZ,DEM,13,2,0,11
Terrell,4,State Senate,19,JO-ANNE VALDIVIA,LIB,1,0,1,0
Terrell,4,State Representative,74,RUBEN FALCON,REP,96,8,26,62
Terrell,4,State Representative,74,EDDIE MORALES,DEM,14,2,0,12
