county,precinct,office,district,candidate,party,election_day,mail,early_voting,votes
Ward,1E,Railroad Commissioner,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,1W,President,,Michael R. Bloomberg,DEM,9,5,1,15
Ward,1W,President,,Joseph R. Biden,DEM,11,2,0,13
Ward,1W,President,,Bernie Sanders,DEM,7,2,0,9
Ward,1W,President,,Julian Castro,DEM,4,0,0,4
Ward,1W,President,,Elizabeth Warren,DEM,2,0,0,2
Ward,1W,President,,Michael Bennet,DEM,1,0,0,1
Ward,1W,President,,"Roque ""Rocky"" De La Fuente",DEM,1,0,0,1
Ward,1W,President,,Marianne Williamson,DEM,0,0,0,0
Ward,1W,President,,Robby Wells,DEM,0,0,0,0
Ward,1W,President,,Pete Buttigieg,DEM,0,0,0,0
Ward,1W,President,,Tulsi Gabbard,DEM,0,0,0,0
Ward,1W,President,,Tom Steyer,DEM,0,0,0,0
Ward,1W,President,,Deval Patrick,DEM,0,0,0,0
Ward,1W,President,,John K. Delaney,DEM,0,0,0,0
Ward,1W,President,,Cory Booker,DEM,0,0,0,0
Ward,1W,President,,Andrew Yang,DEM,0,0,0,0
Ward,1W,President,,Amy Klobuchar,DEM,0,0,0,0
Ward,1W,President,,Under Votes,DEM,6,1,0,7
Ward,1W,President,,Over Votes,DEM,1,0,0,1
Ward,1W,President,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,1W,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,6,6,0,12
Ward,1W,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,8,1,1,10
Ward,1W,U.S. Senate,,Michael Cooper,DEM,4,0,0,4
Ward,1W,U.S. Senate,,Amanda K. Edwards,DEM,4,0,0,4
Ward,1W,U.S. Senate,,Sema Hernandez,DEM,2,1,0,3
Ward,1W,U.S. Senate,,D. R. Hunter,DEM,1,0,0,1
Ward,1W,U.S. Senate,,Royce West,DEM,1,0,0,1
Ward,1W,U.S. Senate,,Adrian Ocegueda,DEM,1,0,0,1
Ward,1W,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0
Ward,1W,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0
Ward,1W,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0,0
Ward,1W,U.S. Senate,,Chris Bell,DEM,0,0,0,0
Ward,1W,U.S. Senate,,Under Votes,DEM,14,2,0,16
Ward,1W,U.S. Senate,,Over Votes,DEM,1,0,0,1
Ward,1W,U.S. Senate,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,1W,U.S. House,23,Gina Ortiz Jones,DEM,25,7,1,33
Ward,1W,U.S. House,23,Efrain V. Valdez,DEM,3,0,0,3
Ward,1W,U.S. House,23,Ricardo R. Madrid,DEM,3,0,0,3
Ward,1W,U.S. House,23,Jaime Escuder,DEM,1,0,0,1
Ward,1W,U.S. House,23,"Rosalinda ""Rosey"" Ramos Abuabara",DEM,0,1,0,1
Ward,1W,U.S. House,23,Under Votes,DEM,10,2,0,12
Ward,1W,U.S. House,23,Over Votes,DEM,0,0,0,0
Ward,1W,U.S. House,23,Non-Certified Write-ins,DEM,0,0,0,0
Ward,1W,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,15,4,1,20
Ward,1W,Railroad Commissioner,,Chrysta Castaneda,DEM,10,4,0,14
Ward,1W,Railroad Commissioner,,Kelly Stone,DEM,3,1,0,4
Ward,1W,Railroad Commissioner,,Mark Watson,DEM,3,0,0,3
Ward,1W,Railroad Commissioner,,Over Votes,DEM,11,1,0,12
Ward,1W,Railroad Commissioner,,Under Votes,DEM,0,0,0,0
Ward,1W,Railroad Commissioner,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,2,President,,Joseph R. Biden,DEM,22,5,4,31
Ward,2,President,,Bernie Sanders,DEM,17,2,5,24
Ward,2,President,,Michael R. Bloomberg,DEM,9,1,6,16
Ward,2,President,,Elizabeth Warren,DEM,5,0,1,6
Ward,2,President,,Julian Castro,DEM,0,0,5,5
Ward,2,President,,"Roque ""Rocky"" De La Fuente",DEM,0,2,0,2
Ward,2,President,,Tom Steyer,DEM,1,0,1,2
Ward,2,President,,Pete Buttigieg,DEM,1,0,0,1
Ward,2,President,,Deval Patrick,DEM,0,0,1,1
Ward,2,President,,Andrew Yang,DEM,1,0,0,1
Ward,2,President,,Amy Klobuchar,DEM,0,1,0,1
Ward,2,President,,Marianne Williamson,DEM,0,0,0,0
Ward,2,President,,Robby Wells,DEM,0,0,0,0
Ward,2,President,,Michael Bennet,DEM,0,0,0,0
Ward,2,President,,Tulsi Gabbard,DEM,0,0,0,0
Ward,2,President,,John K. Delaney,DEM,0,0,0,0
Ward,2,President,,Cory Booker,DEM,0,0,0,0
Ward,2,President,,Under Votes,DEM,2,0,1,3
Ward,2,President,,Over Votes,DEM,0,0,0,0
Ward,2,President,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,2,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,11,3,4,18
Ward,2,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,12,1,5,18
Ward,2,U.S. Senate,,Sema Hernandez,DEM,8,3,3,14
Ward,2,U.S. Senate,,Michael Cooper,DEM,6,1,2,9
Ward,2,U.S. Senate,,Amanda K. Edwards,DEM,5,0,2,7
Ward,2,U.S. Senate,,Royce West,DEM,2,1,2,5
Ward,2,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,1,1,1,3
Ward,2,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,1,1,1,3
Ward,2,U.S. Senate,,Adrian Ocegueda,DEM,2,0,0,2
Ward,2,U.S. Senate,,Chris Bell,DEM,2,0,0,2
Ward,2,U.S. Senate,,D. R. Hunter,DEM,1,0,0,1
Ward,2,U.S. Senate,,Victor Hugo Harris,DEM,1,0,0,1
Ward,2,U.S. Senate,,Under Votes,DEM,6,0,3,9
Ward,2,U.S. Senate,,Over Votes,DEM,0,0,1,1
Ward,2,U.S. Senate,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,2,U.S. House,23,Gina Ortiz Jones,DEM,41,7,20,68
Ward,2,U.S. House,23,"Rosalinda ""Rosey"" Ramos Abuabara",DEM,5,0,2,7
Ward,2,U.S. House,23,Ricardo R. Madrid,DEM,2,3,0,5
Ward,2,U.S. House,23,Efrain V. Valdez,DEM,2,1,1,4
Ward,2,U.S. House,23,Jaime Escuder,DEM,3,0,0,3
Ward,2,U.S. House,23,Under Votes,DEM,5,0,1,6
Ward,2,U.S. House,23,Over Votes,DEM,0,0,0,0
Ward,2,U.S. House,23,Non-Certified Write-ins,DEM,0,0,0,0
Ward,2,Railroad Commissioner,,Chrysta Castaneda,DEM,15,6,6,27
Ward,2,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,16,4,6,26
Ward,2,Railroad Commissioner,,Kelly Stone,DEM,12,1,5,18
Ward,2,Railroad Commissioner,,Mark Watson,DEM,7,0,4,11
Ward,2,Railroad Commissioner,,Over Votes,DEM,8,0,3,11
Ward,2,Railroad Commissioner,,Under Votes,DEM,0,0,0,0
Ward,2,Railroad Commissioner,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,3N,President,,Michael R. Bloomberg,DEM,8,6,5,19
Ward,3N,President,,Bernie Sanders,DEM,2,1,8,11
Ward,3N,President,,Joseph R. Biden,DEM,7,2,1,10
Ward,3N,President,,Elizabeth Warren,DEM,1,1,1,3
Ward,3N,President,,Michael Bennet,DEM,1,0,0,1
Ward,3N,President,,Julian Castro,DEM,0,0,1,1
Ward,3N,President,,Marianne Williamson,DEM,0,0,0,0
Ward,3N,President,,Robby Wells,DEM,0,0,0,0
Ward,3N,President,,Pete Buttigieg,DEM,0,0,0,0
Ward,3N,President,,Tulsi Gabbard,DEM,0,0,0,0
Ward,3N,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Ward,3N,President,,Tom Steyer,DEM,0,0,0,0
Ward,3N,President,,Deval Patrick,DEM,0,0,0,0
Ward,3N,President,,John K. Delaney,DEM,0,0,0,0
Ward,3N,President,,Cory Booker,DEM,0,0,0,0
Ward,3N,President,,Andrew Yang,DEM,0,0,0,0
Ward,3N,President,,Amy Klobuchar,DEM,0,0,0,0
Ward,3N,President,,Under Votes,DEM,0,0,1,1
Ward,3N,President,,Over Votes,DEM,1,0,0,1
Ward,3N,President,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,3N,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,5,6,5,16
Ward,3N,U.S. Senate,,Michael Cooper,DEM,4,2,3,9
Ward,3N,U.S. Senate,,Amanda K. Edwards,DEM,3,0,2,5
Ward,3N,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,2,1,2,5
Ward,3N,U.S. Senate,,Royce West,DEM,1,0,1,2
Ward,3N,U.S. Senate,,Sema Hernandez,DEM,1,0,1,2
Ward,3N,U.S. Senate,,Chris Bell,DEM,1,0,1,2
Ward,3N,U.S. Senate,,Victor Hugo Harris,DEM,0,0,1,1
Ward,3N,U.S. Senate,,D. R. Hunter,DEM,0,0,0,0
Ward,3N,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0
Ward,3N,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0
Ward,3N,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0,0
Ward,3N,U.S. Senate,,Under Votes,DEM,2,1,1,4
Ward,3N,U.S. Senate,,Over Votes,DEM,1,0,0,1
Ward,3N,U.S. Senate,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,3N,U.S. House,23,Gina Ortiz Jones,DEM,13,8,12,33
Ward,3N,U.S. House,23,Efrain V. Valdez,DEM,4,1,2,7
Ward,3N,U.S. House,23,Ricardo R. Madrid,DEM,2,0,1,3
Ward,3N,U.S. House,23,"Rosalinda ""Rosey"" Ramos Abuabara",DEM,0,1,1,2
Ward,3N,U.S. House,23,Jaime Escuder,DEM,0,0,0,0
Ward,3N,U.S. House,23,Under Votes,DEM,1,0,1,2
Ward,3N,U.S. House,23,Over Votes,DEM,0,0,0,0
Ward,3N,U.S. House,23,Non-Certified Write-ins,DEM,0,0,0,0
Ward,3N,Railroad Commissioner,,Chrysta Castaneda,DEM,6,6,8,20
Ward,3N,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,8,1,4,13
Ward,3N,Railroad Commissioner,,Kelly Stone,DEM,2,2,2,6
Ward,3N,Railroad Commissioner,,Mark Watson,DEM,2,1,2,5
Ward,3N,Railroad Commissioner,,Over Votes,DEM,1,0,1,2
Ward,3N,Railroad Commissioner,,Under Votes,DEM,1,0,0,1
Ward,3N,Railroad Commissioner,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,3S,President,,Joseph R. Biden,DEM,2,0,0,2
Ward,3S,President,,Elizabeth Warren,DEM,2,0,0,2
Ward,3S,President,,Michael R. Bloomberg,DEM,1,0,0,1
Ward,3S,President,,Marianne Williamson,DEM,0,0,0,0
Ward,3S,President,,Robby Wells,DEM,0,0,0,0
Ward,3S,President,,Michael Bennet,DEM,0,0,0,0
Ward,3S,President,,Pete Buttigieg,DEM,0,0,0,0
Ward,3S,President,,Tulsi Gabbard,DEM,0,0,0,0
Ward,3S,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Ward,3S,President,,Bernie Sanders,DEM,0,0,0,0
Ward,3S,President,,Tom Steyer,DEM,0,0,0,0
Ward,3S,President,,Deval Patrick,DEM,0,0,0,0
Ward,3S,President,,John K. Delaney,DEM,0,0,0,0
Ward,3S,President,,Julian Castro,DEM,0,0,0,0
Ward,3S,President,,Cory Booker,DEM,0,0,0,0
Ward,3S,President,,Andrew Yang,DEM,0,0,0,0
Ward,3S,President,,Amy Klobuchar,DEM,0,0,0,0
Ward,3S,President,,Under Votes,DEM,0,0,0,0
Ward,3S,President,,Over Votes,DEM,0,0,0,0
Ward,3S,President,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,3S,U.S. Senate,,Adrian Ocegueda,DEM,2,0,0,2
Ward,3S,U.S. Senate,,Chris Bell,DEM,1,0,0,1
Ward,3S,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,1,0,0,1
Ward,3S,U.S. Senate,,Michael Cooper,DEM,0,0,0,0
Ward,3S,U.S. Senate,,Amanda K. Edwards,DEM,0,0,0,0
Ward,3S,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,0,0,0,0
Ward,3S,U.S. Senate,,D. R. Hunter,DEM,0,0,0,0
Ward,3S,U.S. Senate,,Royce West,DEM,0,0,0,0
Ward,3S,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0
Ward,3S,U.S. Senate,,Sema Hernandez,DEM,0,0,0,0
Ward,3S,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0
Ward,3S,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0,0
Ward,3S,U.S. Senate,,Under Votes,DEM,1,0,0,1
Ward,3S,U.S. Senate,,Over Votes,DEM,0,0,0,0
Ward,3S,U.S. Senate,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,3S,U.S. House,23,Gina Ortiz Jones,DEM,2,0,0,2
Ward,3S,U.S. House,23,Ricardo R. Madrid,DEM,2,0,0,2
Ward,3S,U.S. House,23,Efrain V. Valdez,DEM,0,0,0,0
Ward,3S,U.S. House,23,Jaime Escuder,DEM,0,0,0,0
Ward,3S,U.S. House,23,"Rosalinda ""Rosey"" Ramos Abuabara",DEM,0,0,0,0
Ward,3S,U.S. House,23,Under Votes,DEM,1,0,0,1
Ward,3S,U.S. House,23,Over Votes,DEM,0,0,0,0
Ward,3S,U.S. House,23,Non-Certified Write-ins,DEM,0,0,0,0
Ward,3S,Railroad Commissioner,,Chrysta Castaneda,DEM,2,0,0,2
Ward,3S,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,2,0,0,2
Ward,3S,Railroad Commissioner,,Kelly Stone,DEM,1,0,0,1
Ward,3S,Railroad Commissioner,,Mark Watson,DEM,0,0,0,0
Ward,3S,Railroad Commissioner,,Over Votes,DEM,0,0,0,0
Ward,3S,Railroad Commissioner,,Under Votes,DEM,0,0,0,0
Ward,3S,Railroad Commissioner,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4E,President,,Michael R. Bloomberg,DEM,3,9,3,15
Ward,4E,President,,Bernie Sanders,DEM,4,3,4,11
Ward,4E,President,,Joseph R. Biden,DEM,6,0,1,7
Ward,4E,President,,Elizabeth Warren,DEM,2,1,1,4
Ward,4E,President,,Robby Wells,DEM,0,0,1,1
Ward,4E,President,,Michael Bennet,DEM,0,0,1,1
Ward,4E,President,,Pete Buttigieg,DEM,0,1,0,1
Ward,4E,President,,Julian Castro,DEM,0,0,1,1
Ward,4E,President,,Amy Klobuchar,DEM,0,0,1,1
Ward,4E,President,,Marianne Williamson,DEM,0,0,0,0
Ward,4E,President,,Tulsi Gabbard,DEM,0,0,0,0
Ward,4E,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Ward,4E,President,,Tom Steyer,DEM,0,0,0,0
Ward,4E,President,,Deval Patrick,DEM,0,0,0,0
Ward,4E,President,,John K. Delaney,DEM,0,0,0,0
Ward,4E,President,,Cory Booker,DEM,0,0,0,0
Ward,4E,President,,Andrew Yang,DEM,0,0,0,0
Ward,4E,President,,Under Votes,DEM,0,0,0,0
Ward,4E,President,,Over Votes,DEM,0,0,0,0
Ward,4E,President,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4E,U.S. Senate,,Michael Cooper,DEM,2,2,4,8
Ward,4E,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,2,5,1,8
Ward,4E,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,5,1,2,8
Ward,4E,U.S. Senate,,Royce West,DEM,2,0,2,4
Ward,4E,U.S. Senate,,Chris Bell,DEM,1,1,2,4
Ward,4E,U.S. Senate,,Amanda K. Edwards,DEM,1,1,1,3
Ward,4E,U.S. Senate,,D. R. Hunter,DEM,0,1,0,1
Ward,4E,U.S. Senate,,Sema Hernandez,DEM,0,1,0,1
Ward,4E,U.S. Senate,,Victor Hugo Harris,DEM,0,1,0,1
Ward,4E,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0
Ward,4E,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0
Ward,4E,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0,0
Ward,4E,U.S. Senate,,Under Votes,DEM,2,1,0,3
Ward,4E,U.S. Senate,,Over Votes,DEM,0,0,1,1
Ward,4E,U.S. Senate,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4E,U.S. House,23,Gina Ortiz Jones,DEM,10,14,7,31
Ward,4E,U.S. House,23,Efrain V. Valdez,DEM,0,0,3,3
Ward,4E,U.S. House,23,"Rosalinda ""Rosey"" Ramos Abuabara",DEM,3,0,0,3
Ward,4E,U.S. House,23,Ricardo R. Madrid,DEM,1,0,2,3
Ward,4E,U.S. House,23,Jaime Escuder,DEM,0,0,0,0
Ward,4E,U.S. House,23,Under Votes,DEM,1,0,1,2
Ward,4E,U.S. House,23,Over Votes,DEM,0,0,0,0
Ward,4E,U.S. House,23,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4E,Railroad Commissioner,,Chrysta Castaneda,DEM,5,4,2,11
Ward,4E,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,1,5,5,11
Ward,4E,Railroad Commissioner,,Mark Watson,DEM,3,2,4,9
Ward,4E,Railroad Commissioner,,Kelly Stone,DEM,4,3,0,7
Ward,4E,Railroad Commissioner,,Over Votes,DEM,2,0,2,4
Ward,4E,Railroad Commissioner,,Under Votes,DEM,0,0,0,0
Ward,4E,Railroad Commissioner,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4M,President,,Joseph R. Biden,DEM,4,1,0,5
Ward,4M,President,,Julian Castro,DEM,2,0,0,2
Ward,4M,President,,Michael R. Bloomberg,DEM,1,0,0,1
Ward,4M,President,,Marianne Williamson,DEM,0,0,0,0
Ward,4M,President,,Robby Wells,DEM,0,0,0,0
Ward,4M,President,,Michael Bennet,DEM,0,0,0,0
Ward,4M,President,,Pete Buttigieg,DEM,0,0,0,0
Ward,4M,President,,Tulsi Gabbard,DEM,0,0,0,0
Ward,4M,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Ward,4M,President,,Bernie Sanders,DEM,0,0,0,0
Ward,4M,President,,Tom Steyer,DEM,0,0,0,0
Ward,4M,President,,Deval Patrick,DEM,0,0,0,0
Ward,4M,President,,John K. Delaney,DEM,0,0,0,0
Ward,4M,President,,Cory Booker,DEM,0,0,0,0
Ward,4M,President,,Andrew Yang,DEM,0,0,0,0
Ward,4M,President,,Elizabeth Warren,DEM,0,0,0,0
Ward,4M,President,,Amy Klobuchar,DEM,0,0,0,0
Ward,4M,President,,Under Votes,DEM,1,0,0,1
Ward,4M,President,,Over Votes,DEM,0,0,0,0
Ward,4M,President,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4M,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,2,0,0,2
Ward,4M,U.S. Senate,,Michael Cooper,DEM,1,0,0,1
Ward,4M,U.S. Senate,,Amanda K. Edwards,DEM,1,0,0,1
Ward,4M,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,1,0,0,1
Ward,4M,U.S. Senate,,Adrian Ocegueda,DEM,1,0,0,1
Ward,4M,U.S. Senate,,Sema Hernandez,DEM,1,0,0,1
Ward,4M,U.S. Senate,,Chris Bell,DEM,0,1,0,1
Ward,4M,U.S. Senate,,D. R. Hunter,DEM,0,0,0,0
Ward,4M,U.S. Senate,,Royce West,DEM,0,0,0,0
Ward,4M,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0
Ward,4M,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0
Ward,4M,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,0,0,0,0
Ward,4M,U.S. Senate,,Under Votes,DEM,1,0,0,1
Ward,4M,U.S. Senate,,Over Votes,DEM,0,0,0,0
Ward,4M,U.S. Senate,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4M,U.S. House,23,Gina Ortiz Jones,DEM,6,1,0,7
Ward,4M,U.S. House,23,Efrain V. Valdez,DEM,1,0,0,1
Ward,4M,U.S. House,23,"Rosalinda ""Rosey"" Ramos Abuabara",DEM,1,0,0,1
Ward,4M,U.S. House,23,Jaime Escuder,DEM,0,0,0,0
Ward,4M,U.S. House,23,Ricardo R. Madrid,DEM,0,0,0,0
Ward,4M,U.S. House,23,Under Votes,DEM,0,0,0,0
Ward,4M,U.S. House,23,Over Votes,DEM,0,0,0,0
Ward,4M,U.S. House,23,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4M,Railroad Commissioner,,Chrysta Castaneda,DEM,4,0,0,4
Ward,4M,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,3,1,0,4
Ward,4M,Railroad Commissioner,,Kelly Stone,DEM,0,0,0,0
Ward,4M,Railroad Commissioner,,Mark Watson,DEM,0,0,0,0
Ward,4M,Railroad Commissioner,,Over Votes,DEM,1,0,0,1
Ward,4M,Railroad Commissioner,,Under Votes,DEM,0,0,0,0
Ward,4M,Railroad Commissioner,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4W,President,,Bernie Sanders,DEM,3,1,0,4
Ward,4W,President,,Joseph R. Biden,DEM,2,0,0,2
Ward,4W,President,,Elizabeth Warren,DEM,2,0,0,2
Ward,4W,President,,Michael R. Bloomberg,DEM,0,0,0,0
Ward,4W,President,,Marianne Williamson,DEM,0,0,0,0
Ward,4W,President,,Robby Wells,DEM,0,0,0,0
Ward,4W,President,,Michael Bennet,DEM,0,0,0,0
Ward,4W,President,,Pete Buttigieg,DEM,0,0,0,0
Ward,4W,President,,Tulsi Gabbard,DEM,0,0,0,0
Ward,4W,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Ward,4W,President,,Tom Steyer,DEM,0,0,0,0
Ward,4W,President,,Deval Patrick,DEM,0,0,0,0
Ward,4W,President,,John K. Delaney,DEM,0,0,0,0
Ward,4W,President,,Julian Castro,DEM,0,0,0,0
Ward,4W,President,,Cory Booker,DEM,0,0,0,0
Ward,4W,President,,Andrew Yang,DEM,0,0,0,0
Ward,4W,President,,Amy Klobuchar,DEM,0,0,0,0
Ward,4W,President,,Under Votes,DEM,0,0,0,0
Ward,4W,President,,Over Votes,DEM,0,0,0,0
Ward,4W,President,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4W,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,3,0,0,3
Ward,4W,U.S. Senate,,Michael Cooper,DEM,0,1,0,1
Ward,4W,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,1,0,0,1
Ward,4W,U.S. Senate,,Royce West,DEM,1,0,0,1
Ward,4W,U.S. Senate,,Sema Hernandez,DEM,1,0,0,1
Ward,4W,U.S. Senate,,Victor Hugo Harris,DEM,1,0,0,1
Ward,4W,U.S. Senate,,Amanda K. Edwards,DEM,0,0,0,0
Ward,4W,U.S. Senate,,D. R. Hunter,DEM,0,0,0,0
Ward,4W,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0
Ward,4W,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0
Ward,4W,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0,0
Ward,4W,U.S. Senate,,Chris Bell,DEM,0,0,0,0
Ward,4W,U.S. Senate,,Under Votes,DEM,0,0,0,0
Ward,4W,U.S. Senate,,Over Votes,DEM,0,0,0,0
Ward,4W,U.S. Senate,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,4W,U.S. House,23,Gina Ortiz Jones,DEM,3,1,0,4
Ward,4W,U.S. House,23,"Rosalinda ""Rosey"" Ramos Abuabara",DEM,3,0,0,3
Ward,4W,U.S. House,23,Ricardo R. Madrid,DEM,1,0,0,1
Ward,4W,U.S. House,23,Efrain V. Valdez,DEM,0,0,0,0
Ward,4W,U.S. House,23,Jaime Escuder,DEM,0,0,0,0
