county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day
Sabine,Precinct 2,U.S. House,1,Louie Gohmert,REP,966,63,728,175
Sabine,Precinct 2,U.S. House,1,Hank Gilbert,DEM,115,33,65,17
Sabine,Precinct 2,U.S. House,1,Over Votes,,0,0,0,0
Sabine,Precinct 2,U.S. House,1,Under Votes,,14,1,9,4
Sabine,Precinct 2,Railroad Commissioner,,"James ""Jim"" Wright",REP,968,63,730,175
Sabine,Precinct 2,Railroad Commissioner,,Chrysta Castaneda,DEM,103,31,56,16
Sabine,Precinct 2,Railroad Commissioner,,Matt Sterett,LIB,10,1,7,2
Sabine,Precinct 2,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,5,0,4,1
Sabine,Precinct 2,Railroad Commissioner,,Over Votes,,1,0,1,0
Sabine,Precinct 2,Railroad Commissioner,,Under Votes,,8,2,4,2
Sabine,Precinct 2,State Representative,9,Chris Paddie,REP,978,75,726,177
Sabine,Precinct 2,State Representative,9,Over Votes,,0,0,0,0
Sabine,Precinct 2,State Representative,9,Under Votes,,117,22,76,19
Sabine,Precinct 3,Registered Voters,,,,623,,,
Sabine,Precinct 3,Ballots Cast,,,,376,23,290,63
Sabine,Precinct 3,President,,Donald J. Trump,REP,270,15,204,51
Sabine,Precinct 3,President,,Joseph R. Biden,DEM,101,8,81,12
Sabine,Precinct 3,President,,Jo Jorgensen,LIB,0,0,0,0
Sabine,Precinct 3,President,,Howie Hawkins,GRN,1,0,1,0
Sabine,Precinct 3,President,,Write-In,,0,0,0,0
Sabine,Precinct 3,President,,Over Votes,,0,0,0,0
Sabine,Precinct 3,President,,Under Votes,,4,0,4,0
Sabine,Precinct 3,U.S. Senate,,John Cornyn,REP,260,15,197,48
Sabine,Precinct 3,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,102,8,81,13
Sabine,Precinct 3,U.S. Senate,,Kerry Douglas McKennon,LIB,3,0,2,1
Sabine,Precinct 3,U.S. Senate,,David B. Collins,GRN,3,0,3,0
Sabine,Precinct 3,U.S. Senate,,Write-In,,0,0,0,0
Sabine,Precinct 3,U.S. Senate,,Over Votes,,0,0,0,0
Sabine,Precinct 3,U.S. Senate,,Under Votes,,8,0,7,1
Sabine,Precinct 3,U.S. House,1,Louie Gohmert,REP,260,15,196,49
Sabine,Precinct 3,U.S. House,1,Hank Gilbert,DEM,101,8,80,13
Sabine,Precinct 3,U.S. House,1,Over Votes,,0,0,0,0
Sabine,Precinct 3,U.S. House,1,Under Votes,,15,0,14,1
Sabine,Precinct 3,Railroad Commissioner,,"James ""Jim"" Wright",REP,263,15,199,49
Sabine,Precinct 3,Railroad Commissioner,,Chrysta Castaneda,DEM,99,8,79,12
Sabine,Precinct 3,Railroad Commissioner,,Matt Sterett,LIB,3,0,2,1
Sabine,Precinct 3,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,0,2,0
Sabine,Precinct 3,Railroad Commissioner,,Over Votes,,0,0,0,0
Sabine,Precinct 3,Railroad Commissioner,,Under Votes,,9,0,8,1
Sabine,Precinct 3,State Representative,9,Chris Paddie,REP,282,16,210,56
Sabine,Precinct 3,State Representative,9,Over Votes,,0,0,0,0
Sabine,Precinct 3,State Representative,9,Under Votes,,93,7,79,7
Sabine,Precinct 4,Registered Voters,,,,267,,,
Sabine,Precinct 4,Ballots Cast,,,,196,17,100,79
Sabine,Precinct 4,President,,Donald J. Trump,REP,184,15,94,75
Sabine,Precinct 4,President,,Joseph R. Biden,DEM,12,2,6,4
Sabine,Precinct 4,President,,Jo Jorgensen,LIB,0,0,0,0
Sabine,Precinct 4,President,,Howie Hawkins,GRN,0,0,0,0
Sabine,Precinct 4,President,,Write-In,,0,0,0,0
Sabine,Precinct 4,President,,Over Votes,,0,0,0,0
Sabine,Precinct 4,President,,Under Votes,,0,0,0,0
Sabine,Precinct 4,U.S. Senate,,John Cornyn,REP,184,16,92,76
Sabine,Precinct 4,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,10,1,6,3
Sabine,Precinct 4,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Sabine,Precinct 4,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sabine,Precinct 4,U.S. Senate,,Write-In,,0,0,0,0
Sabine,Precinct 4,U.S. Senate,,Over Votes,,0,0,0,0
Sabine,Precinct 4,U.S. Senate,,Under Votes,,2,0,2,0
Sabine,Precinct 4,U.S. House,1,Louie Gohmert,REP,180,16,90,74
Sabine,Precinct 4,U.S. House,1,Hank Gilbert,DEM,9,1,5,3
Sabine,Precinct 4,U.S. House,1,Over Votes,,0,0,0,0
Sabine,Precinct 4,U.S. House,1,Under Votes,,7,0,5,2
Sabine,Precinct 4,Railroad Commissioner,,"James ""Jim"" Wright",REP,179,16,89,74
Sabine,Precinct 4,Railroad Commissioner,,Chrysta Castaneda,DEM,8,1,3,4
Sabine,Precinct 4,Railroad Commissioner,,Matt Sterett,LIB,1,0,1,0
Sabine,Precinct 4,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,1,0
Sabine,Precinct 4,Railroad Commissioner,,Over Votes,,0,0,0,0
Sabine,Precinct 4,Railroad Commissioner,,Under Votes,,7,0,6,1
Sabine,Precinct 4,State Representative,9,Chris Paddie,REP,169,15,81,73
Sabine,Precinct 4,State Representative,9,Over Votes,,0,0,0,0
Sabine,Precinct 4,State Representative,9,Under Votes,,26,2,18,6
Sabine,Precinct 5,Registered Voters,,,,1360,,,
Sabine,Precinct 5,Ballots Cast,,,,867,37,627,203
Sabine,Precinct 5,President,,Donald J. Trump,REP,794,24,579,191
Sabine,Precinct 5,President,,Joseph R. Biden,DEM,65,12,42,11
Sabine,Precinct 5,President,,Jo Jorgensen,LIB,6,1,4,1
Sabine,Precinct 5,President,,Howie Hawkins,GRN,1,0,1,0
Sabine,Precinct 5,President,,Write-In,,0,0,0,0
Sabine,Precinct 5,President,,Over Votes,,0,0,0,0
Sabine,Precinct 5,President,,Under Votes,,1,0,1,0
Sabine,Precinct 5,U.S. Senate,,John Cornyn,REP,756,23,554,179
Sabine,Precinct 5,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,79,14,54,11
Sabine,Precinct 5,U.S. Senate,,Kerry Douglas McKennon,LIB,11,0,7,4
Sabine,Precinct 5,U.S. Senate,,David B. Collins,GRN,4,0,2,2
Sabine,Precinct 5,U.S. Senate,,Write-In,,0,0,0,0
Sabine,Precinct 5,U.S. Senate,,Over Votes,,0,0,0,0
Sabine,Precinct 5,U.S. Senate,,Under Votes,,17,0,10,7
Sabine,Precinct 5,U.S. House,1,Louie Gohmert,REP,761,25,555,181
Sabine,Precinct 5,U.S. House,1,Hank Gilbert,DEM,79,12,52,15
Sabine,Precinct 5,U.S. House,1,Over Votes,,0,0,0,0
Sabine,Precinct 5,U.S. House,1,Under Votes,,27,0,20,7
Sabine,Precinct 5,Railroad Commissioner,,"James ""Jim"" Wright",REP,767,25,562,180
Sabine,Precinct 5,Railroad Commissioner,,Chrysta Castaneda,DEM,63,11,42,10
Sabine,Precinct 5,Railroad Commissioner,,Matt Sterett,LIB,14,1,10,3
Sabine,Precinct 5,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,4,0,1,3
Sabine,Precinct 5,Railroad Commissioner,,Over Votes,,0,0,0,0
Sabine,Precinct 5,Railroad Commissioner,,Under Votes,,19,0,12,7
Sabine,Precinct 5,State Representative,9,Chris Paddie,REP,753,29,543,181
Sabine,Precinct 5,State Representative,9,Over Votes,,0,0,0,0
Sabine,Precinct 5,State Representative,9,Under Votes,,112,8,82,22
Sabine,Precinct 6,Registered Voters,,,,1808,,,
Sabine,Precinct 6,Ballots Cast,,,,1224,92,831,301
Sabine,Precinct 6,President,,Donald J. Trump,REP,1064,64,739,261
Sabine,Precinct 6,President,,Joseph R. Biden,DEM,150,28,85,37
Sabine,Precinct 6,President,,Jo Jorgensen,LIB,2,0,1,1
Sabine,Precinct 6,President,,Howie Hawkins,GRN,2,0,0,2
Sabine,Precinct 6,President,,Write-In,,1,0,1,0
Sabine,Precinct 6,President,,Over Votes,,0,0,0,0
Sabine,Precinct 6,President,,Under Votes,,5,0,5,0
Sabine,Precinct 6,U.S. Senate,,John Cornyn,REP,1057,64,736,257
Sabine,Precinct 6,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,146,27,83,36
Sabine,Precinct 6,U.S. Senate,,Kerry Douglas McKennon,LIB,6,1,4,1
Sabine,Precinct 6,U.S. Senate,,David B. Collins,GRN,5,0,2,3
Sabine,Precinct 6,U.S. Senate,,Write-In,,1,0,1,0
Sabine,Precinct 6,U.S. Senate,,Over Votes,,0,0,0,0
Sabine,Precinct 6,U.S. Senate,,Under Votes,,9,0,5,4
Sabine,Precinct 6,U.S. House,1,Louie Gohmert,REP,1055,65,734,256
Sabine,Precinct 6,U.S. House,1,Hank Gilbert,DEM,152,26,86,40
Sabine,Precinct 6,U.S. House,1,Over Votes,,0,0,0,0
Sabine,Precinct 6,U.S. House,1,Under Votes,,16,1,10,5
Sabine,Precinct 6,Railroad Commissioner,,"James ""Jim"" Wright",REP,1058,63,737,258
Sabine,Precinct 6,Railroad Commissioner,,Chrysta Castaneda,DEM,139,27,78,34
Sabine,Precinct 6,Railroad Commissioner,,Matt Sterett,LIB,7,1,3,3
Sabine,Precinct 6,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,5,1,3,1
Sabine,Precinct 6,Railroad Commissioner,,Over Votes,,0,0,0,0
Sabine,Precinct 6,Railroad Commissioner,,Under Votes,,15,0,10,5
Sabine,Precinct 6,State Representative,9,Chris Paddie,REP,1062,65,732,265
Sabine,Precinct 6,State Representative,9,Over Votes,,0,0,0,0
Sabine,Precinct 6,State Representative,9,Under Votes,,160,27,97,36
Sabine,Precinct 7,Registered Voters,,,,209,,,
Sabine,Precinct 7,Ballots Cast,,,,127,11,84,32
Sabine,Precinct 7,President,,Donald J. Trump,REP,55,1,45,9
Sabine,Precinct 7,President,,Joseph R. Biden,DEM,71,10,39,22
Sabine,Precinct 7,President,,Jo Jorgensen,LIB,0,0,0,0
Sabine,Precinct 7,President,,Howie Hawkins,GRN,0,0,0,0
Sabine,Precinct 7,President,,Write-In,,0,0,0,0
Sabine,Precinct 7,President,,Over Votes,,0,0,0,0
Sabine,Precinct 7,President,,Under Votes,,1,0,0,1
Sabine,Precinct 7,U.S. Senate,,John Cornyn,REP,52,1,43,8
Sabine,Precinct 7,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,69,9,37,23
Sabine,Precinct 7,U.S. Senate,,Kerry Douglas McKennon,LIB,2,1,1,0
Sabine,Precinct 7,U.S. Senate,,David B. Collins,GRN,3,0,3,0
Sabine,Precinct 7,U.S. Senate,,Write-In,,0,0,0,0
Sabine,Precinct 7,U.S. Senate,,Over Votes,,0,0,0,0
Sabine,Precinct 7,U.S. Senate,,Under Votes,,1,0,0,1
Sabine,Precinct 7,U.S. House,1,Louie Gohmert,REP,58,1,48,9
Sabine,Precinct 7,U.S. House,1,Hank Gilbert,DEM,68,10,36,22
Sabine,Precinct 7,U.S. House,1,Over Votes,,0,0,0,0
Sabine,Precinct 7,U.S. House,1,Under Votes,,1,0,0,1
Sabine,Precinct 7,Railroad Commissioner,,"James ""Jim"" Wright",REP,55,1,45,9
Sabine,Precinct 7,Railroad Commissioner,,Chrysta Castaneda,DEM,69,10,38,21
Sabine,Precinct 7,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Sabine,Precinct 7,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,1,0
Sabine,Precinct 7,Railroad Commissioner,,Over Votes,,0,0,0,0
Sabine,Precinct 7,Railroad Commissioner,,Under Votes,,2,0,0,2
Sabine,Precinct 7,State Representative,9,Chris Paddie,REP,73,4,58,11
Sabine,Precinct 7,State Representative,9,Over Votes,,0,0,0,0
Sabine,Precinct 7,State Representative,9,Under Votes,,53,7,26,20
Sabine,Precinct 8,Registered Voters,,,,332,,,
Sabine,Precinct 8,Ballots Cast,,,,239,16,120,103
Sabine,Precinct 8,President,,Donald J. Trump,REP,208,9,109,90
Sabine,Precinct 8,President,,Joseph R. Biden,DEM,28,7,10,11
Sabine,Precinct 8,President,,Jo Jorgensen,LIB,1,0,1,0
Sabine,Precinct 8,President,,Howie Hawkins,GRN,0,0,0,0
Sabine,Precinct 8,President,,Write-In,,1,0,0,1
Sabine,Precinct 8,President,,Over Votes,,0,0,0,0
Sabine,Precinct 8,President,,Under Votes,,1,0,0,1
Sabine,Precinct 8,U.S. Senate,,John Cornyn,REP,204,9,109,86
Sabine,Precinct 8,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,29,7,9,13
Sabine,Precinct 8,U.S. Senate,,Kerry Douglas McKennon,LIB,2,0,1,1
Sabine,Precinct 8,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sabine,Precinct 8,U.S. Senate,,Write-In,,0,0,0,0
Sabine,Precinct 8,U.S. Senate,,Over Votes,,0,0,0,0
Sabine,Precinct 8,U.S. Senate,,Under Votes,,4,0,1,3
Sabine,Precinct 8,U.S. House,1,Louie Gohmert,REP,208,9,107,92
Sabine,Precinct 8,U.S. House,1,Hank Gilbert,DEM,25,7,10,8
Sabine,Precinct 8,U.S. House,1,Over Votes,,0,0,0,0
Sabine,Precinct 8,U.S. House,1,Under Votes,,6,0,3,3
Sabine,Precinct 8,Railroad Commissioner,,"James ""Jim"" Wright",REP,207,9,109,89
Sabine,Precinct 8,Railroad Commissioner,,Chrysta Castaneda,DEM,25,7,8,10
Sabine,Precinct 8,Railroad Commissioner,,Matt Sterett,LIB,1,0,0,1
Sabine,Precinct 8,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,1,0
Sabine,Precinct 8,Railroad Commissioner,,Over Votes,,0,0,0,0
Sabine,Precinct 8,Railroad Commissioner,,Under Votes,,5,0,2,3
Sabine,Precinct 8,State Representative,9,Chris Paddie,REP,211,10,108,93
Sabine,Precinct 8,State Representative,9,Over Votes,,0,0,0,0
Sabine,Precinct 8,State Representative,9,Under Votes,,28,6,12,10
