county,precinct,office,district,party,candidate,votes,mail,early_voting_paper,early_voting_ivo,election_day_paper,election_day_ivo,early_voting,election_day
Hill,PCT 3,U.S. Senate,,DEM,Royce West,35,5,2,7,6,15,9,21
Hill,PCT 3,U.S. Senate,,DEM,D. R. Hunter,2,0,0,1,1,0,1,1
Hill,PCT 3,U.S. Senate,,DEM,Michael Cooper,6,0,0,2,1,3,2,4
Hill,PCT 3,U.S. Senate,,DEM,Adrian Ocegueda,1,0,0,0,0,1,0,1
Hill,PCT 3,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,12,2,3,1,3,3,4,6
Hill,PCT 3,U.S. Senate,,DEM,Sema Hernandez,11,1,2,0,5,3,2,8
Hill,PCT 3,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",2,0,1,1,0,0,2,0
Hill,PCT 3,U.S. Senate,,DEM,Mary (MJ) Hegar,22,4,4,7,3,4,11,7
Hill,PCT 3,U.S. Senate,,DEM,Amanda K. Edwards,5,0,1,1,0,3,2,3
Hill,PCT 3,U.S. Senate,,DEM,Victor Hugo Harris,2,0,0,0,1,1,0,2
Hill,PCT 3,U.S. Senate,,DEM,Chris Bell,3,0,0,0,1,2,0,3
Hill,PCT 3,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",6,0,0,1,3,2,1,5
Hill,PCT 3,U.S. House,25,DEM,Julie Oliver,62,5,7,13,13,24,20,37
Hill,PCT 3,U.S. House,25,DEM,Heidi Sloan,29,7,5,4,7,6,9,13
Hill,PCT 3,Railroad Commissioner,,DEM,Mark Watson,38,4,5,6,11,12,11,23
Hill,PCT 3,Railroad Commissioner,,DEM,Kelly Stone,19,2,4,5,3,5,9,8
Hill,PCT 3,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",21,2,0,4,3,12,4,15
Hill,PCT 3,Railroad Commissioner,,DEM,Chrysta Castaneda,19,1,4,4,4,6,8,10
Hill,PCT 3,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,34,2,3,7,10,12,10,22
Hill,PCT 3,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,65,7,11,12,11,24,23,35
Hill,PCT 3,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,73,8,10,14,14,27,24,41
Hill,PCT 3,"Justice, Supreme Court, Place 6",,DEM,Larry Praeger,24,2,3,3,8,8,6,16
Hill,PCT 3,"Justice, Supreme Court, P7",,DEM,Staci Williams,74,7,8,17,16,26,25,42
Hill,PCT 3,"Justice, Supreme Court, P7",,DEM,Brandy Voss,25,3,4,1,5,12,5,17
Hill,PCT 3,"Justice, Supreme Court, P8",,DEM,Peter Kelly,42,4,4,8,13,13,12,26
Hill,PCT 3,"Justice, Supreme Court, P8",,DEM,Gisela D. Triana,57,6,9,9,10,23,18,33
Hill,PCT 3,"Judge, CT of Criminal Appeals, P3",,DEM,Elizabeth Davis Frizell,62,8,7,13,12,22,20,34
Hill,PCT 3,"Judge, CT of Criminal Appeals, P3",,DEM,William Pieratt Demond,13,0,2,2,2,7,4,9
Hill,PCT 3,"Judge, CT of Criminal Appeals, P3",,DEM,Dan Wood,24,2,4,3,9,6,7,15
Hill,PCT 3,"Judge, CT of Criminal Appeals, P4",,DEM,Tina Clinton,72,8,7,15,18,24,22,42
Hill,PCT 3,"Judge, CT of Criminal Appeals, P4",,DEM,Steven Miears,24,2,5,2,5,10,7,15
Hill,PCT 3,"Judge, CT of Criminal Appeals, P9",,DEM,Brandon Birmingham,80,9,12,16,16,27,28,43
Hill,PCT 3,"Member, State BoE Dist 14",,DEM,Greg Alvord,81,10,12,16,16,27,28,43
Hill,PCT 3,County Chair,,DEM,Thomas Hanson,92,12,12,17,21,30,29,51
Hill,PCT 3,Proposition #1,,DEM,Yes,105,12,13,20,21,39,33,60
Hill,PCT 3,Proposition #1,,DEM,No,3,0,1,1,1,0,2,1
Hill,PCT 3,Proposition #2,,DEM,Yes,103,12,12,20,20,39,32,59
Hill,PCT 3,Proposition #2,,DEM,No,5,0,2,1,1,1,3,2
Hill,PCT 3,Proposition #3,,DEM,Yes,108,12,14,22,20,40,36,60
Hill,PCT 3,Proposition #3,,DEM,No,1,0,0,0,1,0,0,1
Hill,PCT 3,Proposition #4,,DEM,Yes,106,12,13,22,19,40,35,59
Hill,PCT 3,Proposition #4,,DEM,No,4,0,1,0,3,0,1,3
Hill,PCT 3,Proposition #5,,DEM,Yes,105,11,14,22,18,40,36,58
Hill,PCT 3,Proposition #5,,DEM,No,3,0,0,0,3,0,0,3
Hill,PCT 3,Proposition #6,,DEM,Yes,108,12,14,22,21,39,36,60
Hill,PCT 3,Proposition #6,,DEM,No,1,0,0,0,0,1,0,1
Hill,PCT 3,Proposition #7,,DEM,Yes,105,12,12,21,20,40,33,60
Hill,PCT 3,Proposition #7,,DEM,No,2,0,1,0,1,0,1,1
Hill,PCT 3,Proposition #8,,DEM,Yes,107,12,13,22,21,39,35,60
Hill,PCT 3,Proposition #8,,DEM,No,3,0,1,0,1,1,1,2
Hill,PCT 3,Proposition #9,,DEM,Yes,106,12,14,22,19,39,36,58
Hill,PCT 3,Proposition #9,,DEM,No,3,0,0,0,2,1,0,3
Hill,PCT 3,Proposition #10,,DEM,Yes,105,11,12,21,21,40,33,61
Hill,PCT 3,Proposition #10,,DEM,No,5,1,2,1,1,0,3,1
Hill,PCT 3,Proposition #11,,DEM,Yes,105,11,13,22,19,40,35,59
Hill,PCT 3,Proposition #11,,DEM,No,4,1,1,0,2,0,1,2
Hill,PCT 4,Registered Voters,,,,2313,,,,,,0,0
Hill,PCT 4,Ballots Cast,,DEM,,151,16,42,25,37,31,67,68
Hill,PCT 4,President,,DEM,Bernie Sanders,31,1,7,6,11,6,13,17
Hill,PCT 4,President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0
Hill,PCT 4,President,,DEM,Michael R. Bloomberg,35,3,16,7,2,7,23,9
Hill,PCT 4,President,,DEM,Cory Booker,0,0,0,0,0,0,0,0
Hill,PCT 4,President,,DEM,Deval Patrick,0,0,0,0,0,0,0,0
Hill,PCT 4,President,,DEM,Tom Steyer,0,0,0,0,0,0,0,0
Hill,PCT 4,President,,DEM,Elizabeth Warren,16,0,4,2,5,5,6,10
Hill,PCT 4,President,,DEM,Amy Klobuchar,3,1,1,0,0,1,1,1
Hill,PCT 4,President,,DEM,Julian Castro,1,0,0,0,0,1,0,1
Hill,PCT 4,President,,DEM,Marianne Williamson,0,0,0,0,0,0,0,0
Hill,PCT 4,President,,DEM,Andrew Yang,0,0,0,0,0,0,0,0
Hill,PCT 4,President,,DEM,Robby Wells,0,0,0,0,0,0,0,0
Hill,PCT 4,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0,0,0,0
Hill,PCT 4,President,,DEM,Pete Buttigieg,6,2,1,3,0,0,4,0
Hill,PCT 4,President,,DEM,Michael Bennet,0,0,0,0,0,0,0,0
Hill,PCT 4,President,,DEM,Joseph R. Biden,58,9,13,7,19,10,20,29
Hill,PCT 4,President,,DEM,Tulsi Gabbard,0,0,0,0,0,0,0,0
Hill,PCT 4,U.S. Senate,,DEM,Royce West,35,4,12,5,8,6,17,14
Hill,PCT 4,U.S. Senate,,DEM,D. R. Hunter,0,0,0,0,0,0,0,0
Hill,PCT 4,U.S. Senate,,DEM,Michael Cooper,7,1,5,0,0,1,5,1
Hill,PCT 4,U.S. Senate,,DEM,Adrian Ocegueda,2,0,0,1,1,0,1,1
Hill,PCT 4,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,7,0,2,0,1,4,2,5
Hill,PCT 4,U.S. Senate,,DEM,Sema Hernandez,3,0,0,0,1,2,0,3
Hill,PCT 4,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",0,0,0,0,0,0,0,0
Hill,PCT 4,U.S. Senate,,DEM,Mary (MJ) Hegar,61,9,15,11,15,11,26,26
Hill,PCT 4,U.S. Senate,,DEM,Amanda K. Edwards,6,0,2,1,3,0,3,3
Hill,PCT 4,U.S. Senate,,DEM,Victor Hugo Harris,2,0,0,1,1,0,1,1
Hill,PCT 4,U.S. Senate,,DEM,Chris Bell,6,1,4,1,0,0,5,0
Hill,PCT 4,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",7,0,2,0,2,3,2,5
Hill,PCT 4,U.S. House,25,DEM,Julie Oliver,95,8,29,11,26,21,40,47
Hill,PCT 4,U.S. House,25,DEM,Heidi Sloan,29,6,7,8,4,4,15,8
Hill,PCT 4,Railroad Commissioner,,DEM,Mark Watson,30,5,10,5,7,3,15,10
Hill,PCT 4,Railroad Commissioner,,DEM,Kelly Stone,30,7,8,2,3,10,10,13
Hill,PCT 4,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",20,0,3,4,6,7,7,13
Hill,PCT 4,Railroad Commissioner,,DEM,Chrysta Castaneda,37,2,14,6,10,5,20,15
Hill,PCT 4,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,22,3,4,3,6,6,7,12
Hill,PCT 4,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,95,10,30,15,21,19,45,40
Hill,PCT 4,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,91,12,26,13,20,20,39,40
Hill,PCT 4,"Justice, Supreme Court, Place 6",,DEM,Larry Praeger,29,2,9,5,9,4,14,13
Hill,PCT 4,"Justice, Supreme Court, P7",,DEM,Staci Williams,83,10,22,11,18,22,33,40
Hill,PCT 4,"Justice, Supreme Court, P7",,DEM,Brandy Voss,34,3,12,7,7,5,19,12
Hill,PCT 4,"Justice, Supreme Court, P8",,DEM,Peter Kelly,46,5,14,9,9,9,23,18
Hill,PCT 4,"Justice, Supreme Court, P8",,DEM,Gisela D. Triana,65,8,20,7,15,15,27,30
Hill,PCT 4,"Judge, CT of Criminal Appeals, P3",,DEM,Elizabeth Davis Frizell,92,10,24,15,20,23,39,43
Hill,PCT 4,"Judge, CT of Criminal Appeals, P3",,DEM,William Pieratt Demond,6,0,2,1,2,1,3,3
Hill,PCT 4,"Judge, CT of Criminal Appeals, P3",,DEM,Dan Wood,16,3,9,1,3,0,10,3
Hill,PCT 4,"Judge, CT of Criminal Appeals, P4",,DEM,Tina Clinton,93,10,24,15,21,23,39,44
Hill,PCT 4,"Judge, CT of Criminal Appeals, P4",,DEM,Steven Miears,22,3,11,2,4,2,13,6
Hill,PCT 4,"Judge, CT of Criminal Appeals, P9",,DEM,Brandon Birmingham,108,11,33,15,26,23,48,49
Hill,PCT 4,"Member, State BoE Dist 14",,DEM,Greg Alvord,109,12,34,14,27,22,48,49
Hill,PCT 4,County Chair,,DEM,Thomas Hanson,117,14,36,16,28,23,52,51
Hill,PCT 4,Proposition #1,,DEM,Yes,130,15,31,25,33,26,56,59
Hill,PCT 4,Proposition #1,,DEM,No,13,0,7,0,3,3,7,6
Hill,PCT 4,Proposition #2,,DEM,Yes,135,15,33,25,35,27,58,62
Hill,PCT 4,Proposition #2,,DEM,No,8,0,4,0,1,3,4,4
Hill,PCT 4,Proposition #3,,DEM,Yes,137,15,35,23,35,29,58,64
Hill,PCT 4,Proposition #3,,DEM,No,5,0,2,1,1,1,3,2
Hill,PCT 4,Proposition #4,,DEM,Yes,131,15,29,25,34,28,54,62
Hill,PCT 4,Proposition #4,,DEM,No,11,0,8,0,2,1,8,3
Hill,PCT 4,Proposition #5,,DEM,Yes,135,15,32,25,35,28,57,63
Hill,PCT 4,Proposition #5,,DEM,No,6,0,4,0,1,1,4,2
Hill,PCT 4,Proposition #6,,DEM,Yes,136,15,32,25,36,28,57,64
Hill,PCT 4,Proposition #6,,DEM,No,5,0,4,0,0,1,4,1
Hill,PCT 4,Proposition #7,,DEM,Yes,128,15,30,24,33,26,54,59
Hill,PCT 4,Proposition #7,,DEM,No,13,0,6,1,3,3,7,6
Hill,PCT 4,Proposition #8,,DEM,Yes,133,15,31,25,34,28,56,62
Hill,PCT 4,Proposition #8,,DEM,No,9,1,5,0,1,2,5,3
Hill,PCT 4,Proposition #9,,DEM,Yes,135,15,33,24,35,28,57,63
Hill,PCT 4,Proposition #9,,DEM,No,6,0,3,1,1,1,4,2
Hill,PCT 4,Proposition #10,,DEM,Yes,135,14,34,24,35,28,58,63
Hill,PCT 4,Proposition #10,,DEM,No,6,0,3,1,1,1,4,2
Hill,PCT 4,Proposition #11,,DEM,Yes,120,13,29,24,28,26,53,54
Hill,PCT 4,Proposition #11,,DEM,No,14,2,6,0,4,2,6,6
Hill,PCT 5,Registered Voters,,,,562,,,,,,0,0
Hill,PCT 5,Ballots Cast,,DEM,,26,5,9,2,9,1,11,10
Hill,PCT 5,President,,DEM,Bernie Sanders,8,2,2,0,4,0,2,4
Hill,PCT 5,President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Michael R. Bloomberg,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Cory Booker,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Deval Patrick,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Tom Steyer,1,0,0,1,0,0,1,0
Hill,PCT 5,President,,DEM,Elizabeth Warren,3,1,1,1,0,0,2,0
Hill,PCT 5,President,,DEM,Amy Klobuchar,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Julian Castro,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Marianne Williamson,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Andrew Yang,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Robby Wells,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Pete Buttigieg,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Michael Bennet,0,0,0,0,0,0,0,0
Hill,PCT 5,President,,DEM,Joseph R. Biden,12,2,6,0,4,0,6,4
Hill,PCT 5,President,,DEM,Tulsi Gabbard,2,0,0,0,1,1,0,2
Hill,PCT 5,U.S. Senate,,DEM,Royce West,2,0,1,0,1,0,1,1
Hill,PCT 5,U.S. Senate,,DEM,D. R. Hunter,0,0,0,0,0,0,0,0
Hill,PCT 5,U.S. Senate,,DEM,Michael Cooper,2,2,0,0,0,0,0,0
Hill,PCT 5,U.S. Senate,,DEM,Adrian Ocegueda,3,0,1,0,1,1,1,2
Hill,PCT 5,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,2,0,2,0,0,0,2,0
Hill,PCT 5,U.S. Senate,,DEM,Sema Hernandez,0,0,0,0,0,0,0,0
Hill,PCT 5,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",0,0,0,0,0,0,0,0
Hill,PCT 5,U.S. Senate,,DEM,Mary (MJ) Hegar,10,3,3,1,3,0,4,3
Hill,PCT 5,U.S. Senate,,DEM,Amanda K. Edwards,3,0,1,0,2,0,1,2
Hill,PCT 5,U.S. Senate,,DEM,Victor Hugo Harris,0,0,0,0,0,0,0,0
Hill,PCT 5,U.S. Senate,,DEM,Chris Bell,1,0,0,1,0,0,1,0
Hill,PCT 5,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",2,0,1,0,1,0,1,1
Hill,PCT 5,U.S. House,25,DEM,Julie Oliver,18,3,6,2,7,0,8,7
Hill,PCT 5,U.S. House,25,DEM,Heidi Sloan,7,2,3,0,1,1,3,2
Hill,PCT 5,Railroad Commissioner,,DEM,Mark Watson,9,3,0,2,4,0,2,4
Hill,PCT 5,Railroad Commissioner,,DEM,Kelly Stone,7,0,3,0,4,0,3,4
Hill,PCT 5,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",2,1,1,0,0,0,1,0
Hill,PCT 5,Railroad Commissioner,,DEM,Chrysta Castaneda,8,1,5,0,1,1,5,2
Hill,PCT 5,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,9,1,4,0,4,0,4,4
Hill,PCT 5,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,17,4,5,2,5,1,7,6
Hill,PCT 5,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,18,3,6,2,7,0,8,7
Hill,PCT 5,"Justice, Supreme Court, Place 6",,DEM,Larry Praeger,8,2,3,0,2,1,3,3
Hill,PCT 5,"Justice, Supreme Court, P7",,DEM,Staci Williams,17,3,6,2,6,0,8,6
Hill,PCT 5,"Justice, Supreme Court, P7",,DEM,Brandy Voss,8,2,2,0,3,1,2,4
Hill,PCT 5,"Justice, Supreme Court, P8",,DEM,Peter Kelly,11,3,3,2,3,0,5,3
Hill,PCT 5,"Justice, Supreme Court, P8",,DEM,Gisela D. Triana,13,2,4,0,6,1,4,7
Hill,PCT 5,"Judge, CT of Criminal Appeals, P3",,DEM,Elizabeth Davis Frizell,16,3,5,1,7,0,6,7
Hill,PCT 5,"Judge, CT of Criminal Appeals, P3",,DEM,William Pieratt Demond,2,0,2,0,0,0,2,0
Hill,PCT 5,"Judge, CT of Criminal Appeals, P3",,DEM,Dan Wood,6,2,1,1,1,1,2,2
Hill,PCT 5,"Judge, CT of Criminal Appeals, P4",,DEM,Tina Clinton,18,4,6,1,7,0,7,7
Hill,PCT 5,"Judge, CT of Criminal Appeals, P4",,DEM,Steven Miears,7,1,2,1,2,1,3,3
Hill,PCT 5,"Judge, CT of Criminal Appeals, P9",,DEM,Brandon Birmingham,23,5,7,2,8,1,9,9
Hill,PCT 5,"Member, State BoE Dist 14",,DEM,Greg Alvord,21,5,6,2,7,1,8,8
Hill,PCT 5,County Chair,,DEM,Thomas Hanson,24,5,8,2,8,1,10,9
Hill,PCT 5,Proposition #1,,DEM,Yes,23,5,8,2,8,0,10,8
Hill,PCT 5,Proposition #1,,DEM,No,1,0,0,0,0,1,0,1
Hill,PCT 5,Proposition #2,,DEM,Yes,20,5,6,2,7,0,8,7
Hill,PCT 5,Proposition #2,,DEM,No,3,0,1,0,1,1,1,2
Hill,PCT 5,Proposition #3,,DEM,Yes,22,5,7,2,8,0,9,8
Hill,PCT 5,Proposition #3,,DEM,No,2,0,1,0,0,1,1,1
Hill,PCT 5,Proposition #4,,DEM,Yes,23,5,8,2,8,0,10,8
Hill,PCT 5,Proposition #4,,DEM,No,1,0,0,0,0,1,0,1
Hill,PCT 5,Proposition #5,,DEM,Yes,18,5,7,1,5,0,8,5
Hill,PCT 5,Proposition #5,,DEM,No,5,0,1,0,3,1,1,4
Hill,PCT 5,Proposition #6,,DEM,Yes,21,5,7,2,7,0,9,7
Hill,PCT 5,Proposition #6,,DEM,No,3,0,1,0,1,1,1,2
Hill,PCT 5,Proposition #7,,DEM,Yes,20,5,7,2,6,0,9,6
Hill,PCT 5,Proposition #7,,DEM,No,4,0,1,0,2,1,1,3
Hill,PCT 5,Proposition #8,,DEM,Yes,23,5,8,2,8,0,10,8
Hill,PCT 5,Proposition #8,,DEM,No,1,0,0,0,0,1,0,1
Hill,PCT 5,Proposition #9,,DEM,Yes,24,5,8,2,8,1,10,9
Hill,PCT 5,Proposition #9,,DEM,No,0,0,0,0,0,0,0,0
