county,precinct,office,district,party,candidate,votes,early_voting,early_voting,election_day
Cooke,Pct. 1,Dist Attorney 235th Judicial Dist,,REP,John Warren,792,68,601,123
Cooke,Pct. 1,County Attorney,,REP,Ed Zielinski,791,68,601,122
Cooke,Pct. 1,Sheriff,,REP,Ray Sappington,792,66,604,122
Cooke,Pct. 1,County Tax Assessor-Collector,,REP,Brandy Ann Carr,812,70,617,125
Cooke,Pct. 1,County Commissioner Pct 3,,REP,Adam P. Arendt,796,68,604,124
Cooke,Pct. 1,Constable Pct 2,,REP,Chuck Owen,781,65,594,122
Cooke,Pct. 1,Director GHD,,,Ken Arterbury,265,17,210,38
Cooke,Pct. 1,Director GHD,,,Brian Winters,359,25,282,52
Cooke,Pct. 1,Director GHD,,,Eugene Mills,124,4,97,23
Cooke,Pct. 1,Director GHD,,,Jimmy Mosman,193,15,140,38
Cooke,Pct. 1,Director GHD,,,G.D. Wally Cox,360,31,273,56
Cooke,Pct. 1,Director GHD,,,Kari Hutcherson,380,34,297,49
Cooke,Pct. 2,Registered Voters,,,,275,,,
Cooke,Pct. 2,Ballots Cast,,,,160,34,96,30
Cooke,Pct. 2,Ballots Cast - Blank,,,,0,0,0,0
Cooke,Pct. 2,President,,REP,Donald J. Trump / Michael R. Pence,120,21,76,23
Cooke,Pct. 2,President,,DEM,Joseph R. Biden / Kamala D. Harris,36,10,20,6
Cooke,Pct. 2,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,0,0,0,0
Cooke,Pct. 2,President,,GRN,Howie Hawkins / Angela Walker,0,0,0,0
Cooke,Pct. 2,President,,,Write-ins,1,0,0,1
Cooke,Pct. 2,President,,,Write-In: Abram Loeb/Jennifer Jairala,0,0,0,0
Cooke,Pct. 2,President,,,Write-In: Robert Morrow/Anne Beckett,0,0,0,0
Cooke,Pct. 2,President,,,Write-In: Kasey Wells/Rachel Wells,0,0,0,0
Cooke,Pct. 2,President,,,Write-In: Uncertified,1,0,0,1
Cooke,Pct. 2,President,,,Write-In: President R. boddie/Eric C. Stoneham,0,0,0,0
Cooke,Pct. 2,President,,,Write-In: Brian Carroll/Amar Patel,0,0,0,0
Cooke,Pct. 2,President,,,Write-In: Todd Cella/Tim Cella,0,0,0,0
Cooke,Pct. 2,President,,,Write-In: Jesse Cuellar/Jimmy Monreal,0,0,0,0
Cooke,Pct. 2,President,,,Write-In: Tom Hoefling/Andy Prior,0,0,0,0
Cooke,Pct. 2,President,,,Write-In: Gloria La Riva/Leonard Peltier,0,0,0,0
Cooke,Pct. 2,President,,,Not Assigned,0,0,0,0
Cooke,Pct. 2,U.S. Senate,,REP,John Cornyn,116,23,73,20
Cooke,Pct. 2,U.S. Senate,,DEM,Mary MJ Hegar,39,11,20,8
Cooke,Pct. 2,U.S. Senate,,LBT,Kerry Douglas McKennon,1,0,1,0
Cooke,Pct. 2,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Cooke,Pct. 2,U.S. Senate,,,Write-ins,0,0,0,0
Cooke,Pct. 2,U.S. Senate,,,Write-In: Uncertified,0,0,0,0
Cooke,Pct. 2,U.S. Senate,,,Write-In: Ricardo Turullois-Bonilla,0,0,0,0
Cooke,Pct. 2,U.S. Senate,,,Not Assigned,0,0,0,0
Cooke,Pct. 2,U.S. House,13,REP,Ronny Jackson,120,22,76,22
Cooke,Pct. 2,U.S. House,13,DEM,Gus Trujillo,35,12,17,6
Cooke,Pct. 2,U.S. House,13,LBT,Jack B. Westbrook,0,0,0,0
Cooke,Pct. 2,Railroad Commissioner,,REP,James Jim Wright,117,19,76,22
Cooke,Pct. 2,Railroad Commissioner,,DEM,Chrysta Castaneda,35,12,19,4
Cooke,Pct. 2,Railroad Commissioner,,LBT,Matt Sterett,1,0,1,0
Cooke,Pct. 2,Railroad Commissioner,,GRN,Katija Kat Gruene,1,0,0,1
Cooke,Pct. 2,Chief Justice Supreme Court,,REP,Nathan Hecht,114,19,73,22
Cooke,Pct. 2,Chief Justice Supreme Court,,DEM,Amy Clark Meachum,36,13,18,5
Cooke,Pct. 2,Chief Justice Supreme Court,,LBT,Mark Ash,2,0,2,0
Cooke,Pct. 2,Justice Supreme Court Pl 6,,REP,Jane Bland,118,19,77,22
Cooke,Pct. 2,Justice Supreme Court Pl 6,,DEM,Kathy Cheng,36,12,18,6
Cooke,Pct. 2,Justice Supreme Court Pl 7,,REP,Jeff Boyd,116,19,75,22
Cooke,Pct. 2,Justice Supreme Court Pl 7,,DEM,Staci Williams,35,12,17,6
Cooke,Pct. 2,Justice Supreme Court Pl 7,,LBT,William Bryan Strange III,1,0,1,0
Cooke,Pct. 2,Justice Supreme Court Pl 8,,REP,Brett Busby,114,17,75,22
Cooke,Pct. 2,Justice Supreme Court Pl 8,,DEM,Gisela D. Triana,38,14,18,6
Cooke,Pct. 2,Justice Supreme Court Pl 8,,LBT,Tom Oxford,1,0,1,0
Cooke,Pct. 2,Judge Ct of Crim App Pl 3,,REP,Bert Richardson,117,19,76,22
Cooke,Pct. 2,Judge Ct of Crim App Pl 3,,DEM,Elizabeth Davis Frizell,35,12,17,6
Cooke,Pct. 2,Judge Ct of Crim App Pl 4,,REP,Kevin Patrick Yeary,119,20,77,22
Cooke,Pct. 2,Judge Ct of Crim App Pl 4,,DEM,Tina Clinton,35,11,18,6
Cooke,Pct. 2,Judge Ct of Crim App Pl 9,,REP,David Newell,117,18,77,22
Cooke,Pct. 2,Judge Ct of Crim App Pl 9,,DEM,Brandon Birmingham,36,13,17,6
Cooke,Pct. 2,Member State BoE Dist 15,,REP,Jay Johnson,119,19,78,22
Cooke,Pct. 2,Member State BoE Dist 15,,DEM,John Betancourt,36,12,18,6
Cooke,Pct. 2,State Representative,68,REP,Drew Springer,121,22,77,22
Cooke,Pct. 2,State Representative,68,DEM,Patsy Ledbetter,34,10,18,6
Cooke,Pct. 2,Justice 2nd Ct of App Dist Pl 2,,REP,Dana Womack,131,21,86,24
Cooke,Pct. 2,Justice 2nd Ct of App Dist Pl 6,,REP,Mike Wallach,118,19,77,22
Cooke,Pct. 2,Justice 2nd Ct of App Dist Pl 6,,DEM,Delonia A. Watson,35,12,17,6
Cooke,Pct. 2,Justice 2nd Ct of App Dist Pl 7,,REP,Brian Walker,130,23,83,24
Cooke,Pct. 2,Dist Judge 235th Judicial Dist,,REP,Janelle M. Haverkamp,130,23,82,25
Cooke,Pct. 2,Dist Attorney 235th Judicial Dist,,REP,John Warren,132,23,83,26
Cooke,Pct. 2,County Attorney,,REP,Ed Zielinski,130,23,83,24
Cooke,Pct. 2,Sheriff,,REP,Ray Sappington,130,24,82,24
Cooke,Pct. 2,County Tax Assessor-Collector,,REP,Brandy Ann Carr,131,24,82,25
Cooke,Pct. 2,Justice of the Peace Pct 1,,REP,John J. (Jody) Henry,128,23,81,24
Cooke,Pct. 2,Constable Pct 1,,REP,Mark Westbrook,128,23,80,25
Cooke,Pct. 2,Director GHD,,,Ken Arterbury,45,8,25,12
Cooke,Pct. 2,Director GHD,,,Brian Winters,40,3,28,9
Cooke,Pct. 2,Director GHD,,,Eugene Mills,24,2,11,11
Cooke,Pct. 2,Director GHD,,,Jimmy Mosman,33,3,24,6
Cooke,Pct. 2,Director GHD,,,G.D. Wally Cox,39,8,28,3
Cooke,Pct. 2,Director GHD,,,Kari Hutcherson,40,5,25,10
Cooke,Pct. 3,Registered Voters,,,,457,,,
Cooke,Pct. 3,Ballots Cast,,,,323,27,264,32
Cooke,Pct. 3,Ballots Cast - Blank,,,,0,0,0,0
Cooke,Pct. 3,President,,REP,Donald J. Trump / Michael R. Pence,261,14,223,24
Cooke,Pct. 3,President,,DEM,Joseph R. Biden / Kamala D. Harris,62,13,41,8
Cooke,Pct. 3,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,0,0,0,0
Cooke,Pct. 3,President,,GRN,Howie Hawkins / Angela Walker,0,0,0,0
Cooke,Pct. 3,President,,,Write-ins,0,0,0,0
Cooke,Pct. 3,President,,,Write-In: Abram Loeb/Jennifer Jairala,0,0,0,0
Cooke,Pct. 3,President,,,Write-In: Robert Morrow/Anne Beckett,0,0,0,0
Cooke,Pct. 3,President,,,Write-In: Kasey Wells/Rachel Wells,0,0,0,0
Cooke,Pct. 3,President,,,Write-In: Uncertified,0,0,0,0
Cooke,Pct. 3,President,,,Write-In: President R. boddie/Eric C. Stoneham,0,0,0,0
Cooke,Pct. 3,President,,,Write-In: Brian Carroll/Amar Patel,0,0,0,0
Cooke,Pct. 3,President,,,Write-In: Todd Cella/Tim Cella,0,0,0,0
Cooke,Pct. 3,President,,,Write-In: Jesse Cuellar/Jimmy Monreal,0,0,0,0
Cooke,Pct. 3,President,,,Write-In: Tom Hoefling/Andy Prior,0,0,0,0
Cooke,Pct. 3,President,,,Write-In: Gloria La Riva/Leonard Peltier,0,0,0,0
Cooke,Pct. 3,President,,,Not Assigned,0,0,0,0
Cooke,Pct. 3,U.S. Senate,,REP,John Cornyn,261,13,224,24
Cooke,Pct. 3,U.S. Senate,,DEM,Mary MJ Hegar,56,13,35,8
Cooke,Pct. 3,U.S. Senate,,LBT,Kerry Douglas McKennon,3,1,2,0
Cooke,Pct. 3,U.S. Senate,,GRN,David B. Collins,1,0,1,0
Cooke,Pct. 3,U.S. Senate,,,Write-ins,0,0,0,0
Cooke,Pct. 3,U.S. Senate,,,Write-In: Uncertified,0,0,0,0
Cooke,Pct. 3,U.S. Senate,,,Write-In: Ricardo Turullois-Bonilla,0,0,0,0
Cooke,Pct. 3,U.S. Senate,,,Not Assigned,0,0,0,0
Cooke,Pct. 3,U.S. House,13,REP,Ronny Jackson,256,12,220,24
Cooke,Pct. 3,U.S. House,13,DEM,Gus Trujillo,52,13,35,4
Cooke,Pct. 3,U.S. House,13,LBT,Jack B. Westbrook,10,2,6,2
Cooke,Pct. 3,Railroad Commissioner,,REP,James Jim Wright,262,14,223,25
Cooke,Pct. 3,Railroad Commissioner,,DEM,Chrysta Castaneda,53,12,35,6
Cooke,Pct. 3,Railroad Commissioner,,LBT,Matt Sterett,1,0,1,0
Cooke,Pct. 3,Railroad Commissioner,,GRN,Katija Kat Gruene,2,0,2,0
Cooke,Pct. 3,Chief Justice Supreme Court,,REP,Nathan Hecht,260,14,222,24
Cooke,Pct. 3,Chief Justice Supreme Court,,DEM,Amy Clark Meachum,57,12,39,6
Cooke,Pct. 3,Chief Justice Supreme Court,,LBT,Mark Ash,3,0,2,1
Cooke,Pct. 3,Justice Supreme Court Pl 6,,REP,Jane Bland,265,14,226,25
Cooke,Pct. 3,Justice Supreme Court Pl 6,,DEM,Kathy Cheng,53,12,36,5
Cooke,Pct. 3,Justice Supreme Court Pl 7,,REP,Jeff Boyd,263,14,224,25
Cooke,Pct. 3,Justice Supreme Court Pl 7,,DEM,Staci Williams,51,12,35,4
Cooke,Pct. 3,Justice Supreme Court Pl 7,,LBT,William Bryan Strange III,5,0,3,2
Cooke,Pct. 3,Justice Supreme Court Pl 8,,REP,Brett Busby,263,13,225,25
Cooke,Pct. 3,Justice Supreme Court Pl 8,,DEM,Gisela D. Triana,51,12,33,6
Cooke,Pct. 3,Justice Supreme Court Pl 8,,LBT,Tom Oxford,5,1,4,0
Cooke,Pct. 3,Judge Ct of Crim App Pl 3,,REP,Bert Richardson,265,14,227,24
Cooke,Pct. 3,Judge Ct of Crim App Pl 3,,DEM,Elizabeth Davis Frizell,53,12,35,6
Cooke,Pct. 3,Judge Ct of Crim App Pl 4,,REP,Kevin Patrick Yeary,264,14,225,25
Cooke,Pct. 3,Judge Ct of Crim App Pl 4,,DEM,Tina Clinton,53,12,36,5
Cooke,Pct. 3,Judge Ct of Crim App Pl 9,,REP,David Newell,266,14,228,24
Cooke,Pct. 3,Judge Ct of Crim App Pl 9,,DEM,Brandon Birmingham,50,11,33,6
Cooke,Pct. 3,Member State BoE Dist 15,,REP,Jay Johnson,262,14,225,23
Cooke,Pct. 3,Member State BoE Dist 15,,DEM,John Betancourt,54,12,35,7
Cooke,Pct. 3,State Representative,68,REP,Drew Springer,253,13,215,25
Cooke,Pct. 3,State Representative,68,DEM,Patsy Ledbetter,66,12,48,6
Cooke,Pct. 3,Justice 2nd Ct of App Dist Pl 2,,REP,Dana Womack,297,14,252,31
Cooke,Pct. 3,Justice 2nd Ct of App Dist Pl 6,,REP,Mike Wallach,264,14,226,24
Cooke,Pct. 3,Justice 2nd Ct of App Dist Pl 6,,DEM,Delonia A. Watson,52,12,34,6
Cooke,Pct. 3,Justice 2nd Ct of App Dist Pl 7,,REP,Brian Walker,292,14,250,28
Cooke,Pct. 3,Dist Judge 235th Judicial Dist,,REP,Janelle M. Haverkamp,290,15,244,31
Cooke,Pct. 3,Dist Attorney 235th Judicial Dist,,REP,John Warren,292,14,247,31
Cooke,Pct. 3,County Attorney,,REP,Ed Zielinski,293,14,249,30
Cooke,Pct. 3,Sheriff,,REP,Ray Sappington,297,14,252,31
Cooke,Pct. 3,County Tax Assessor-Collector,,REP,Brandy Ann Carr,296,14,252,30
Cooke,Pct. 3,County Commissioner Pct 3,,REP,Adam P. Arendt,288,14,244,30
Cooke,Pct. 3,Constable Pct 2,,REP,Chuck Owen,287,13,244,30
Cooke,Pct. 3,Director GHD,,,Ken Arterbury,107,6,89,12
Cooke,Pct. 3,Director GHD,,,Brian Winters,138,4,122,12
Cooke,Pct. 3,Director GHD,,,Eugene Mills,44,1,37,6
Cooke,Pct. 3,Director GHD,,,Jimmy Mosman,89,1,79,9
Cooke,Pct. 3,Director GHD,,,G.D. Wally Cox,149,11,130,8
Cooke,Pct. 3,Director GHD,,,Kari Hutcherson,145,9,123,13
Cooke,Pct. 3,Trustee LISD,,,Brian Manhart,3,1,2,0
Cooke,Pct. 3,Trustee LISD,,,Pamela Grewing,3,0,3,0
Cooke,Pct. 3,Trustee LISD,,,Kelly E. Zwinggi,0,0,0,0
Cooke,Pct. 3,Trustee LISD,,,Ben Hawkins,3,0,3,0
Cooke,Pct. 3,Trustee LISD,,,Bridget Anderle,6,1,5,0
Cooke,Pct. 3,Trustee LISD,,,Laurence Williams,1,0,1,0
Cooke,Pct. 3,Trustee LISD,,,Aaron Krebs,11,0,11,0
Cooke,Pct. 4,Registered Voters,,,,577,,,
Cooke,Pct. 4,Ballots Cast,,,,369,25,275,69
Cooke,Pct. 4,Ballots Cast - Blank,,,,0,0,0,0
Cooke,Pct. 4,President,,REP,Donald J. Trump / Michael R. Pence,295,15,228,52
Cooke,Pct. 4,President,,DEM,Joseph R. Biden / Kamala D. Harris,70,9,46,15
Cooke,Pct. 4,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,1,0,0,1
Cooke,Pct. 4,President,,GRN,Howie Hawkins / Angela Walker,0,0,0,0
Cooke,Pct. 4,President,,,Write-ins,1,0,0,1
Cooke,Pct. 4,President,,,Write-In: Abram Loeb/Jennifer Jairala,0,0,0,0
Cooke,Pct. 4,President,,,Write-In: Robert Morrow/Anne Beckett,0,0,0,0
Cooke,Pct. 4,President,,,Write-In: Kasey Wells/Rachel Wells,0,0,0,0
Cooke,Pct. 4,President,,,Write-In: Uncertified,1,0,0,1
Cooke,Pct. 4,President,,,Write-In: President R. boddie/Eric C. Stoneham,0,0,0,0
Cooke,Pct. 4,President,,,Write-In: Brian Carroll/Amar Patel,0,0,0,0
Cooke,Pct. 4,President,,,Write-In: Todd Cella/Tim Cella,0,0,0,0
Cooke,Pct. 4,President,,,Write-In: Jesse Cuellar/Jimmy Monreal,0,0,0,0
Cooke,Pct. 4,President,,,Write-In: Tom Hoefling/Andy Prior,0,0,0,0
Cooke,Pct. 4,President,,,Write-In: Gloria La Riva/Leonard Peltier,0,0,0,0
Cooke,Pct. 4,President,,,Not Assigned,0,0,0,0
Cooke,Pct. 4,U.S. Senate,,REP,John Cornyn,291,15,223,53
Cooke,Pct. 4,U.S. Senate,,DEM,Mary MJ Hegar,69,9,45,15
Cooke,Pct. 4,U.S. Senate,,LBT,Kerry Douglas McKennon,3,0,3,0
Cooke,Pct. 4,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Cooke,Pct. 4,U.S. Senate,,,Write-ins,1,0,1,0
Cooke,Pct. 4,U.S. Senate,,,Write-In: Uncertified,1,0,1,0
Cooke,Pct. 4,U.S. Senate,,,Write-In: Ricardo Turullois-Bonilla,0,0,0,0
Cooke,Pct. 4,U.S. Senate,,,Not Assigned,0,0,0,0
Cooke,Pct. 4,U.S. House,13,REP,Ronny Jackson,291,15,223,53
Cooke,Pct. 4,U.S. House,13,DEM,Gus Trujillo,62,9,40,13
Cooke,Pct. 4,U.S. House,13,LBT,Jack B. Westbrook,8,1,6,1
Cooke,Pct. 4,Railroad Commissioner,,REP,James Jim Wright,290,15,225,50
Cooke,Pct. 4,Railroad Commissioner,,DEM,Chrysta Castaneda,59,10,38,11
Cooke,Pct. 4,Railroad Commissioner,,LBT,Matt Sterett,6,0,4,2
Cooke,Pct. 4,Railroad Commissioner,,GRN,Katija Kat Gruene,4,0,2,2
Cooke,Pct. 4,Chief Justice Supreme Court,,REP,Nathan Hecht,290,15,224,51
Cooke,Pct. 4,Chief Justice Supreme Court,,DEM,Amy Clark Meachum,65,9,42,14
Cooke,Pct. 4,Chief Justice Supreme Court,,LBT,Mark Ash,6,0,4,2
Cooke,Pct. 4,Justice Supreme Court Pl 6,,REP,Jane Bland,294,15,225,54
Cooke,Pct. 4,Justice Supreme Court Pl 6,,DEM,Kathy Cheng,66,10,43,13
Cooke,Pct. 4,Justice Supreme Court Pl 7,,REP,Jeff Boyd,293,15,226,52
Cooke,Pct. 4,Justice Supreme Court Pl 7,,DEM,Staci Williams,66,10,42,14
Cooke,Pct. 4,Justice Supreme Court Pl 7,,LBT,William Bryan Strange III,3,0,2,1
Cooke,Pct. 4,Justice Supreme Court Pl 8,,REP,Brett Busby,291,15,224,52
Cooke,Pct. 4,Justice Supreme Court Pl 8,,DEM,Gisela D. Triana,65,10,42,13
Cooke,Pct. 4,Justice Supreme Court Pl 8,,LBT,Tom Oxford,5,0,3,2
Cooke,Pct. 4,Judge Ct of Crim App Pl 3,,REP,Bert Richardson,292,15,224,53
Cooke,Pct. 4,Judge Ct of Crim App Pl 3,,DEM,Elizabeth Davis Frizell,69,10,45,14
Cooke,Pct. 4,Judge Ct of Crim App Pl 4,,REP,Kevin Patrick Yeary,292,15,225,52
Cooke,Pct. 4,Judge Ct of Crim App Pl 4,,DEM,Tina Clinton,67,10,43,14
Cooke,Pct. 4,Judge Ct of Crim App Pl 9,,REP,David Newell,293,15,225,53
Cooke,Pct. 4,Judge Ct of Crim App Pl 9,,DEM,Brandon Birmingham,65,10,42,13
Cooke,Pct. 4,Member State BoE Dist 15,,REP,Jay Johnson,290,15,224,51
Cooke,Pct. 4,Member State BoE Dist 15,,DEM,John Betancourt,70,10,44,16
Cooke,Pct. 4,State Representative,68,REP,Drew Springer,284,16,215,53
Cooke,Pct. 4,State Representative,68,DEM,Patsy Ledbetter,78,9,54,15
Cooke,Pct. 4,Justice 2nd Ct of App Dist Pl 2,,REP,Dana Womack,333,19,252,62
Cooke,Pct. 4,Justice 2nd Ct of App Dist Pl 6,,REP,Mike Wallach,291,15,224,52
Cooke,Pct. 4,Justice 2nd Ct of App Dist Pl 6,,DEM,Delonia A. Watson,68,10,44,14
Cooke,Pct. 4,Justice 2nd Ct of App Dist Pl 7,,REP,Brian Walker,333,19,251,63
Cooke,Pct. 4,Dist Judge 235th Judicial Dist,,REP,Janelle M. Haverkamp,329,19,247,63
Cooke,Pct. 4,Dist Attorney 235th Judicial Dist,,REP,John Warren,330,18,250,62
Cooke,Pct. 4,County Attorney,,REP,Ed Zielinski,329,19,247,63
Cooke,Pct. 4,Sheriff,,REP,Ray Sappington,330,18,250,62
Cooke,Pct. 4,County Tax Assessor-Collector,,REP,Brandy Ann Carr,336,20,253,63
Cooke,Pct. 4,County Commissioner Pct 1,,REP,Gary Hollowell,324,18,242,64
Cooke,Pct. 4,Justice of the Peace Pct 1,,REP,John J. (Jody) Henry,329,18,248,63
Cooke,Pct. 4,Constable Pct 1,,REP,Mark Westbrook,330,18,250,62
Cooke,Pct. 4,Director GHD,,,Ken Arterbury,123,5,91,27
Cooke,Pct. 4,Director GHD,,,Brian Winters,127,4,99,24
Cooke,Pct. 4,Director GHD,,,Eugene Mills,50,4,32,14
Cooke,Pct. 4,Director GHD,,,Jimmy Mosman,91,5,63,23
Cooke,Pct. 4,Director GHD,,,G.D. Wally Cox,127,9,94,24
Cooke,Pct. 4,Director GHD,,,Kari Hutcherson,159,9,113,37
Cooke,Pct. 4,Council Member WRD3,,,Michael Hill,24,0,17,7
Cooke,Pct. 4,Council Member WRD3,,,Reagan Lynch,16,1,13,2
Cooke,Pct. 5,Registered Voters,,,,1422,,,
Cooke,Pct. 5,Ballots Cast,,,,819,75,599,145
Cooke,Pct. 5,Ballots Cast - Blank,,,,0,0,0,0
Cooke,Pct. 5,President,,REP,Donald J. Trump / Michael R. Pence,582,39,440,103
Cooke,Pct. 5,President,,DEM,Joseph R. Biden / Kamala D. Harris,220,34,148,38
Cooke,Pct. 5,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,7,0,3,4
Cooke,Pct. 5,President,,GRN,Howie Hawkins / Angela Walker,1,0,1,0
Cooke,Pct. 5,President,,,Write-ins,5,0,5,0
Cooke,Pct. 5,President,,,Write-In: Abram Loeb/Jennifer Jairala,0,0,0,0
Cooke,Pct. 5,President,,,Write-In: Robert Morrow/Anne Beckett,0,0,0,0
Cooke,Pct. 5,President,,,Write-In: Kasey Wells/Rachel Wells,0,0,0,0
Cooke,Pct. 5,President,,,Write-In: Uncertified,5,0,5,0
Cooke,Pct. 5,President,,,Write-In: President R. boddie/Eric C. Stoneham,0,0,0,0
Cooke,Pct. 5,President,,,Write-In: Brian Carroll/Amar Patel,0,0,0,0
Cooke,Pct. 5,President,,,Write-In: Todd Cella/Tim Cella,0,0,0,0
Cooke,Pct. 5,President,,,Write-In: Jesse Cuellar/Jimmy Monreal,0,0,0,0
Cooke,Pct. 5,President,,,Write-In: Tom Hoefling/Andy Prior,0,0,0,0
Cooke,Pct. 5,President,,,Write-In: Gloria La Riva/Leonard Peltier,0,0,0,0
Cooke,Pct. 5,President,,,Not Assigned,0,0,0,0
Cooke,Pct. 5,U.S. Senate,,REP,John Cornyn,575,40,437,98
