candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 1 GEN‐ VISD,0,6,4,10
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 1 GEN‐ VISD,0,1,0,1
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
Over Votes,U.S. Senate,,,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 1 GEN‐ VISD,0,1,1,2
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 1 GEN‐ VISD,0,127,13,140
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 1 GEN‐ VISD,0,6,2,8
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 1 GEN‐ VISD,0,1,0,1
Over Votes,U.S. House,13,,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 1 GEN‐ VISD,0,1,1,2
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 1 GEN‐ VISD,0,127,13,140
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 1 GEN‐ VISD,0,5,2,7
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 1 GEN‐ VISD,0,3,1,4
Charles Perry,State Senate,28,,Wilbarger,PCT 1 GEN‐ VISD,0,128,15,143
Over Votes,State Senate,28,,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 1 GEN‐ VISD,0,7,1,8
Drew Springer,State Representative,68,,Wilbarger,PCT 1 GEN‐ VISD,0,125,13,138
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 1 GEN‐ VISD,0,7,2,9
Over Votes,State Representative,68,,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 1 GEN‐ VISD,0,3,1,4
Ballots Cast,,,,Wilbarger,PCT 1 GEN ONLY,,,,211
Donald J Trump,President,,REP,Wilbarger,PCT 1 GEN ONLY,83,59,17,159
Joseph R Biden,President,,DEM,Wilbarger,PCT 1 GEN ONLY,39,6,0,45
Jo Jorgensen,President,,LIB,Wilbarger,PCT 1 GEN ONLY,0,0,0,0
Howie Hawkins,President,,GRN,Wilbarger,PCT 1 GEN ONLY,0,0,0,0
Over Votes,President,,,Wilbarger,PCT 1 GEN ONLY,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 1 GEN ONLY,5,1,1,7
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 1 GEN ONLY,84,56,16,156
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 1 GEN ONLY,31,6,0,37
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 1 GEN ONLY,2,1,0,3
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 1 GEN ONLY,1,0,0,1
Over Votes,U.S. Senate,,,Wilbarger,PCT 1 GEN ONLY,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 1 GEN ONLY,5,3,2,10
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 1 GEN ONLY,83,55,15,153
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 1 GEN ONLY,33,6,0,39
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 1 GEN ONLY,0,2,0,2
Over Votes,U.S. House,13,,Wilbarger,PCT 1 GEN ONLY,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 1 GEN ONLY,5,3,3,11
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 1 GEN ONLY,92,55,15,162
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 1 GEN ONLY,25,5,0,30
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 1 GEN ONLY,0,3,0,3
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 1 GEN ONLY,0,0,0,0
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 1 GEN ONLY,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 1 GEN ONLY,9,3,3,15
Charles Perry,State Senate,28,,Wilbarger,PCT 1 GEN ONLY,89,55,14,158
Over Votes,State Senate,28,,Wilbarger,PCT 1 GEN ONLY,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 1 GEN ONLY,33,11,4,48
Drew Springer,State Representative,68,,Wilbarger,PCT 1 GEN ONLY,80,56,15,151
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 1 GEN ONLY,32,6,0,38
Over Votes,State Representative,68,,Wilbarger,PCT 1 GEN ONLY,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 1 GEN ONLY,9,4,3,16
Ballots Cast,,,,Wilbarger,PCT 19 ALL,,,,743
Donald J Trump,President,,REP,Wilbarger,PCT 19 ALL,0,377,82,459
Joseph R Biden,President,,DEM,Wilbarger,PCT 19 ALL,0,196,62,258
Jo Jorgensen,President,,LIB,Wilbarger,PCT 19 ALL,0,1,1,2
Howie Hawkins,President,,GRN,Wilbarger,PCT 19 ALL,0,2,4,6
Over Votes,President,,,Wilbarger,PCT 19 ALL,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 19 ALL,0,9,9,18
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 19 ALL,0,376,74,450
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 19 ALL,0,177,55,232
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 19 ALL,0,4,3,7
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 19 ALL,0,5,2,7
Over Votes,U.S. Senate,,,Wilbarger,PCT 19 ALL,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 19 ALL,0,23,24,47
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 19 ALL,0,366,76,442
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 19 ALL,0,186,46,232
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 19 ALL,0,6,8,14
Over Votes,U.S. House,13,,Wilbarger,PCT 19 ALL,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 19 ALL,0,27,28,55
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 19 ALL,0,359,75,434
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 19 ALL,0,179,49,228
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 19 ALL,0,8,4,12
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 19 ALL,0,6,2,8
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 19 ALL,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 19 ALL,0,33,28,61
Charles Perry,State Senate,28,,Wilbarger,PCT 19 ALL,0,41,90,501
Over Votes,State Senate,28,,Wilbarger,PCT 19 ALL,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 19 ALL,0,174,68,242
Drew Springer,State Representative,68,,Wilbarger,PCT 19 ALL,0,367,75,442
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 19 ALL,0,185,51,236
Over Votes,State Representative,68,,Wilbarger,PCT 19 ALL,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 19 ALL,0,33,32,65
Ballots Cast,,,,Wilbarger,PCT 19 GEN‐VISD,,,,39
Donald J Trump,President,,REP,Wilbarger,PCT 19 GEN‐VISD,0,28,7,35
Joseph R Biden,President,,DEM,Wilbarger,PCT 19 GEN‐VISD,0,0,1,1
Jo Jorgensen,President,,LIB,Wilbarger,PCT 19 GEN‐VISD,0,2,0,2
Howie Hawkins,President,,GRN,Wilbarger,PCT 19 GEN‐VISD,0,0,0,0
Over Votes,President,,,Wilbarger,PCT 19 GEN‐VISD,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 19 GEN‐VISD,0,0,1,1
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 19 GEN‐VISD,0,28,6,34
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 19 GEN‐VISD,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 19 GEN‐VISD,0,2,0,2
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 19 GEN‐VISD,0,0,0,0
Over Votes,U.S. Senate,,,Wilbarger,PCT 19 GEN‐VISD,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 19 GEN‐VISD,0,0,3,3
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 19 GEN‐VISD,0,26,6,32
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 19 GEN‐VISD,0,2,1,3
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 19 GEN‐VISD,0,2,0,2
Over Votes,U.S. House,13,,Wilbarger,PCT 19 GEN‐VISD,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 19 GEN‐VISD,0,0,2,2
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 19 GEN‐VISD,0,26,6,32
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 19 GEN‐VISD,0,1,1,2
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 19 GEN‐VISD,0,3,0,3
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 19 GEN‐VISD,0,0,0,0
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 19 GEN‐VISD,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 19 GEN‐VISD,0,0,2,2
Charles Perry,State Senate,28,,Wilbarger,PCT 19 GEN‐VISD,0,30,6,36
Over Votes,State Senate,28,,Wilbarger,PCT 19 GEN‐VISD,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 19 GEN‐VISD,0,0,3,3
Drew Springer,State Representative,68,,Wilbarger,PCT 19 GEN‐VISD,0,28,6,34
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 19 GEN‐VISD,0,2,0,2
Over Votes,State Representative,68,,Wilbarger,PCT 19 GEN‐VISD,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 19 GEN‐VISD,0,0,3,3
Ballots Cast,,,,Wilbarger,PCT 19 GEN-ONLY,,,,284
Donald J Trump,President,,REP,Wilbarger,PCT 19 GEN-ONLY,83,104,20,207
Joseph R Biden,President,,DEM,Wilbarger,PCT 19 GEN-ONLY,62,10,2,74
Jo Jorgensen,President,,LIB,Wilbarger,PCT 19 GEN-ONLY,0,0,0,0
Howie Hawkins,President,,GRN,Wilbarger,PCT 19 GEN-ONLY,0,0,0,0
Over Votes,President,,,Wilbarger,PCT 19 GEN-ONLY,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 19 GEN-ONLY,1,2,0,3
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 19 GEN-ONLY,85,105,20,210
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 19 GEN-ONLY,51,7,1,59
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 19 GEN-ONLY,0,1,0,1
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 19 GEN-ONLY,1,0,0,1
Over Votes,U.S. Senate,,,Wilbarger,PCT 19 GEN-ONLY,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 19 GEN-ONLY,9,3,1,13
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 19 GEN-ONLY,80,105,19,204
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 19 GEN-ONLY,55,6,3,64
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 19 GEN-ONLY,1,0,0,1
Over Votes,U.S. House,13,,Wilbarger,PCT 19 GEN-ONLY,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 19 GEN-ONLY,8,5,0,13
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 19 GEN-ONLY,81,105,18,204
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 19 GEN-ONLY,53,5,2,60
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 19 GEN-ONLY,1,0,0,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 19 GEN-ONLY,0,0,1,1
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 19 GEN-ONLY,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 19 GEN-ONLY,11,6,1,18
Charles Perry,State Senate,28,,Wilbarger,PCT 19 GEN-ONLY,87,101,20,208
Over Votes,State Senate,28,,Wilbarger,PCT 19 GEN-ONLY,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 19 GEN-ONLY,57,15,2,74
Drew Springer,State Representative,68,,Wilbarger,PCT 19 GEN-ONLY,77,103,19,199
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 19 GEN-ONLY,58,7,1,66
Over Votes,State Representative,68,,Wilbarger,PCT 19 GEN-ONLY,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 19 GEN-ONLY,9,6,2,17
Ballots Cast,,,,Wilbarger,PCT 20 ALL,,,,472
Donald J Trump,President,,REP,Wilbarger,PCT 20 ALL,0,227,116,343
Joseph R Biden,President,,DEM,Wilbarger,PCT 20 ALL,0,93,29,122
Jo Jorgensen,President,,LIB,Wilbarger,PCT 20 ALL,0,3,0,3
Howie Hawkins,President,,GRN,Wilbarger,PCT 20 ALL,0,0,0,0
Over Votes,President,,,Wilbarger,PCT 20 ALL,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 20 ALL,0,2,2,4
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 20 ALL,0,218,112,330
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 20 ALL,0,88,28,116
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 20 ALL,0,5,2,7
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 20 ALL,0,0,2,2
Over Votes,U.S. Senate,,,Wilbarger,PCT 20 ALL,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 20 ALL,0,14,3,17
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 20 ALL,0,214,102,316
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 20 ALL,0,92,35,127
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 20 ALL,0,6,2,8
Over Votes,U.S. House,13,,Wilbarger,PCT 20 ALL,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 20 ALL,0,13,8,21
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 20 ALL,0,213,105,318
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 20 ALL,0,88,30,118
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 20 ALL,0,3,2,5
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 20 ALL,0,3,2,5
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 20 ALL,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 20 ALL,0,18,8,26
Charles Perry,State Senate,28,,Wilbarger,PCT 20 ALL,0,249,122,371
Over Votes,State Senate,28,,Wilbarger,PCT 20 ALL,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 20 ALL,0,76,25,101
Drew Springer,State Representative,68,,Wilbarger,PCT 20 ALL,0,217,106,323
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 20 ALL,0,87,33,120
Over Votes,State Representative,68,,Wilbarger,PCT 20 ALL,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 20 ALL,0,21,8,29
Ballots Cast,,,,Wilbarger,PCT 20 GEN-VISD,,,,106
Donald J Trump,President,,REP,Wilbarger,PCT 20 GEN-VISD,0,77,14,91
Joseph R Biden,President,,DEM,Wilbarger,PCT 20 GEN-VISD,0,6,3,9
Jo Jorgensen,President,,LIB,Wilbarger,PCT 20 GEN-VISD,0,1,0,1
Howie Hawkins,President,,GRN,Wilbarger,PCT 20 GEN-VISD,0,2,1,3
Over Votes,President,,,Wilbarger,PCT 20 GEN-VISD,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 20 GEN-VISD,0,2,0,2
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 20 GEN-VISD,0,78,14,92
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 20 GEN-VISD,0,5,3,8
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 20 GEN-VISD,0,4,0,4
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 20 GEN-VISD,0,0,1,1
Over Votes,U.S. Senate,,,Wilbarger,PCT 20 GEN-VISD,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 20 GEN-VISD,0,1,0,1
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 20 GEN-VISD,0,73,13,86
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 20 GEN-VISD,0,8,3,11
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 20 GEN-VISD,0,6,1,7
Over Votes,U.S. House,13,,Wilbarger,PCT 20 GEN-VISD,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 20 GEN-VISD,0,1,1,2
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 20 GEN-VISD,0,75,13,88
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 20 GEN-VISD,0,7,3,10
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 20 GEN-VISD,0,2,1,3
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 20 GEN-VISD,0,1,1,2
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 20 GEN-VISD,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 20 GEN-VISD,0,3,0,3
Charles Perry,State Senate,28,,Wilbarger,PCT 20 GEN-VISD,0,78,12,90
Over Votes,State Senate,28,,Wilbarger,PCT 20 GEN-VISD,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 20 GEN-VISD,0,10,6,16
Drew Springer,State Representative,68,,Wilbarger,PCT 20 GEN-VISD,0,76,14,90
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 20 GEN-VISD,0,9,3,12
Over Votes,State Representative,68,,Wilbarger,PCT 20 GEN-VISD,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 20 GEN-VISD,0,3,1,4
Ballots Cast,,,,Wilbarger,PCT 20 GEN ONLY,,,,120
Donald J Trump,President,,REP,Wilbarger,PCT 20 GEN ONLY,42,35,9,86
Joseph R Biden,President,,DEM,Wilbarger,PCT 20 GEN ONLY,26,3,0,29
Jo Jorgensen,President,,LIB,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
Howie Hawkins,President,,GRN,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
Over Votes,President,,,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 20 GEN ONLY,4,1,0,5
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 20 GEN ONLY,43,33,8,84
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 20 GEN ONLY,23,3,1,27
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 20 GEN ONLY,0,1,0,1
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 20 GEN ONLY,1,0,0,1
Over Votes,U.S. Senate,,,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 20 GEN ONLY,4,2,0,6
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 20 GEN ONLY,43,34,9,86
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 20 GEN ONLY,23,4,0,27
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
Over Votes,U.S. House,13,,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 20 GEN ONLY,3,1,0,4
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 20 GEN ONLY,45,35,9,89
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 20 GEN ONLY,23,2,0,25
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 20 GEN ONLY,3,2,0,5
Charles Perry,State Senate,28,,Wilbarger,PCT 20 GEN ONLY,54,36,9,99
Over Votes,State Senate,28,,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 20 GEN ONLY,14,3,0,17
Drew Springer,State Representative,68,,Wilbarger,PCT 20 GEN ONLY,40,35,9,84
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 20 GEN ONLY,24,3,0,27
Over Votes,State Representative,68,,Wilbarger,PCT 20 GEN ONLY,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 20 GEN ONLY,4,1,0,5
Ballots Cast,,,,Wilbarger,PCT 21 ALL,,,,775
Donald J Trump,President,,REP,Wilbarger,PCT 21 ALL,0,539,91,630
Joseph R Biden,President,,DEM,Wilbarger,PCT 21 ALL,0,97,24,121
Jo Jorgensen,President,,LIB,Wilbarger,PCT 21 ALL,0,7,1,8
Howie Hawkins,President,,GRN,Wilbarger,PCT 21 ALL,0,1,0,1
Over Votes,President,,,Wilbarger,PCT 21 ALL,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 21 ALL,0,13,2,15
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 21 ALL,0,534,86,620
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 21 ALL,0,88,25,113
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 21 ALL,0,8,2,10
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 21 ALL,0,1,1,2
Over Votes,U.S. Senate,,,Wilbarger,PCT 21 ALL,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 21 ALL,0,26,4,30
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 21 ALL,0,532,86,618
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 21 ALL,0,83,26,109
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 21 ALL,0,11,2,13
Over Votes,U.S. House,13,,Wilbarger,PCT 21 ALL,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 21 ALL,0,31,4,35
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 21 ALL,0,534,86,620
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 21 ALL,0,77,27,104
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 21 ALL,0,9,0,9
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 21 ALL,0,3,0,3
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 21 ALL,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 21 ALL,0,34,5,39
Charles Perry,State Senate,28,,Wilbarger,PCT 21 ALL,0,563,99,682
Over Votes,State Senate,28,,Wilbarger,PCT 21 ALL,0,0,0,0
