county,precinct,office,district,candidate,party,votes,mail,early_voting,election_day
Camp,Precinct 2002,Ballots Cast Democratic Party,,,,156,23,59,74
Camp,Precinct 2002,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,1,0,1,0
Camp,Precinct 2002,President,,Donald J. Trump,REP,622,23,376,223
Camp,Precinct 2002,President,,Matthew John Matern,REP,0,0,0,0
Camp,Precinct 2002,President,,Joe Walsh,REP,1,0,1,0
Camp,Precinct 2002,President,,Zoltan G. Istvan,REP,0,0,0,0
Camp,Precinct 2002,President,,Bill Weld,REP,1,0,1,0
Camp,Precinct 2002,President,,Bob Ely,REP,0,0,0,0
Camp,Precinct 2002,President,,Uncommitted,REP,27,0,16,11
Camp,Precinct 2002,U S Senate,,John Cornyn,REP,528,20,335,173
Camp,Precinct 2002,U S Senate,,John Anthony Castro,REP,15,0,10,5
Camp,Precinct 2002,U S Senate,,Mark Yancey,REP,25,1,11,13
Camp,Precinct 2002,U S Senate,,Dwayne Stovall,REP,45,2,22,21
Camp,Precinct 2002,U S Senate,,Virgil Bierschwale,REP,2,0,0,2
Camp,Precinct 2002,U S House,4,John Ratcliffe,REP,586,21,362,203
Camp,Precinct 2002,Railroad Commissioner,,"James ""Jim"" Wright",REP,435,14,276,145
Camp,Precinct 2002,Railroad Commissioner,,Ryan Sitton,REP,121,5,70,46
Camp,Precinct 2002,State Senate,1,Bryan Hughes,REP,560,23,346,191
Camp,Precinct 2002,State House,5,Cole Hefner,REP,575,24,352,199
Camp,Precinct 2002,President,,Amy Klobuchar,DEM,5,0,4,1
Camp,Precinct 2002,President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0,0
Camp,Precinct 2002,President,,Cory Booker,DEM,0,0,0,0
Camp,Precinct 2002,President,,Michael R. Bloomberg,DEM,33,8,10,15
Camp,Precinct 2002,President,,Michael Bennet,DEM,2,0,2,0
Camp,Precinct 2002,President,,Elizabeth Warren,DEM,16,5,5,6
Camp,Precinct 2002,President,,Marianne Williamson,DEM,0,0,0,0
Camp,Precinct 2002,President,,Robby Wells,DEM,0,0,0,0
Camp,Precinct 2002,President,,Bernie Sanders,DEM,24,1,10,13
Camp,Precinct 2002,President,,Pete Buttigieg,DEM,5,3,2,0
Camp,Precinct 2002,President,,John K. Delaney,DEM,0,0,0,0
Camp,Precinct 2002,President,,Andrew Yang,DEM,0,0,0,0
Camp,Precinct 2002,President,,Tom Steyer,DEM,1,0,0,1
Camp,Precinct 2002,President,,Julian Castro,DEM,0,0,0,0
Camp,Precinct 2002,President,,Joseph R. Biden,DEM,69,6,26,37
Camp,Precinct 2002,President,,Tulsi Gabbard,DEM,1,0,0,1
Camp,Precinct 2002,President,,Deval Patrick,DEM,0,0,0,0
Camp,Precinct 2002,U S Senate,,Mary (MJ) Hegar,DEM,45,11,15,19
Camp,Precinct 2002,U S Senate,,Amanda K. Edwards,DEM,19,4,9,6
Camp,Precinct 2002,U S Senate,,Royce West,DEM,17,1,7,9
Camp,Precinct 2002,U S Senate,,Adrian Ocegueda,DEM,1,0,0,1
Camp,Precinct 2002,U S Senate,,Chris Bell,DEM,11,1,4,6
Camp,Precinct 2002,U S Senate,,"Annie ""Mama"" Garcia",DEM,11,0,3,8
Camp,Precinct 2002,U S Senate,,Sema Hernandez,DEM,6,1,0,5
Camp,Precinct 2002,U S Senate,,Michael Cooper,DEM,16,3,8,5
Camp,Precinct 2002,U S Senate,,D. R. Hunter,DEM,3,0,2,1
Camp,Precinct 2002,U S Senate,,Victor Hugo Harris,DEM,1,0,1,0
Camp,Precinct 2002,U S Senate,,"Jack Daniel Foster, Jr.",DEM,4,0,2,2
Camp,Precinct 2002,U S Senate,,Cristina Tzintzun Ramirez,DEM,9,0,4,5
Camp,Precinct 2002,U S House,4,Russell Foster,DEM,109,15,43,51
Camp,Precinct 2002,Railroad Commissioner,,Mark Watson,DEM,34,2,15,17
Camp,Precinct 2002,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,28,0,12,16
Camp,Precinct 2002,Railroad Commissioner,,Kelly Stone,DEM,40,5,19,16
Camp,Precinct 2002,Railroad Commissioner,,Chrysta Castaneda,DEM,35,14,7,14
Camp,Precinct 2002,State Senate,,Audrey Spanko,DEM,125,20,47,58
Camp,Precinct 2002,State House,5,Lawyanda Prince,DEM,124,20,46,58
Camp,Precinct 3003,Registered Voters,,,,1734,,,
Camp,Precinct 3003,Ballots Cast Total,,,,502,43,208,251
Camp,Precinct 3003,Ballots Cast Republican Party,,,,268,5,159,104
Camp,Precinct 3003,Ballots Cast Democratic Party,,,,234,38,49,147
Camp,Precinct 3003,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,1,0,1,0
Camp,Precinct 3003,President,,Donald J. Trump,REP,248,5,145,98
Camp,Precinct 3003,President,,Matthew John Matern,REP,0,0,0,0
Camp,Precinct 3003,President,,Joe Walsh,REP,0,0,0,0
Camp,Precinct 3003,President,,Zoltan G. Istvan,REP,0,0,0,0
Camp,Precinct 3003,President,,Bill Weld,REP,1,0,1,0
Camp,Precinct 3003,President,,Bob Ely,REP,0,0,0,0
Camp,Precinct 3003,President,,Uncommitted,REP,17,0,12,5
Camp,Precinct 3003,U S Senate,,John Cornyn,REP,194,5,113,76
Camp,Precinct 3003,U S Senate,,John Anthony Castro,REP,12,0,7,5
Camp,Precinct 3003,U S Senate,,Mark Yancey,REP,21,0,11,10
Camp,Precinct 3003,U S Senate,,Dwayne Stovall,REP,20,0,17,3
Camp,Precinct 3003,U S Senate,,Virgil Bierschwale,REP,2,0,1,1
Camp,Precinct 3003,U S House,4,John Ratcliffe,REP,239,5,147,87
Camp,Precinct 3003,Railroad Commissioner,,"James ""Jim"" Wright",REP,180,4,111,65
Camp,Precinct 3003,Railroad Commissioner,,Ryan Sitton,REP,54,0,30,24
Camp,Precinct 3003,State Senate,1,Bryan Hughes,REP,238,5,149,84
Camp,Precinct 3003,State House,5,Cole Hefner,REP,239,5,149,85
Camp,Precinct 3003,President,,Amy Klobuchar,DEM,4,1,1,2
Camp,Precinct 3003,President,,"Roque ""Rocky"" De La Fuente ",DEM,1,0,0,1
Camp,Precinct 3003,President,,Cory Booker,DEM,1,0,0,1
Camp,Precinct 3003,President,,Michael R. Bloomberg,DEM,39,10,12,17
Camp,Precinct 3003,President,,Michael Bennet,DEM,2,1,1,0
Camp,Precinct 3003,President,,Elizabeth Warren,DEM,6,2,1,3
Camp,Precinct 3003,President,,Marianne Williamson,DEM,0,0,0,0
Camp,Precinct 3003,President,,Robby Wells,DEM,0,0,0,0
Camp,Precinct 3003,President,,Bernie Sanders,DEM,34,2,12,20
Camp,Precinct 3003,President,,Pete Buttigieg,DEM,6,4,2,0
Camp,Precinct 3003,President,,John K. Delaney,DEM,0,0,0,0
Camp,Precinct 3003,President,,Andrew Yang,DEM,0,0,0,0
Camp,Precinct 3003,President,,Tom Steyer,DEM,0,0,0,0
Camp,Precinct 3003,President,,Julian Castro,DEM,0,0,0,0
Camp,Precinct 3003,President,,Joseph R. Biden,DEM,132,17,16,99
Camp,Precinct 3003,President,,Tulsi Gabbard,DEM,0,0,0,0
Camp,Precinct 3003,President,,Deval Patrick,DEM,0,0,0,0
Camp,Precinct 3003,U S Senate,,Mary (MJ) Hegar,DEM,32,2,9,21
Camp,Precinct 3003,U S Senate,,Amanda K. Edwards,DEM,26,4,1,21
Camp,Precinct 3003,U S Senate,,Royce West,DEM,41,8,9,24
Camp,Precinct 3003,U S Senate,,Adrian Ocegueda,DEM,5,1,2,2
Camp,Precinct 3003,U S Senate,,Chris Bell,DEM,18,5,6,7
Camp,Precinct 3003,U S Senate,,"Annie ""Mama"" Garcia",DEM,30,3,4,23
Camp,Precinct 3003,U S Senate,,Sema Hernandez,DEM,2,0,0,2
Camp,Precinct 3003,U S Senate,,Michael Cooper,DEM,26,5,4,17
Camp,Precinct 3003,U S Senate,,D. R. Hunter,DEM,1,0,0,1
Camp,Precinct 3003,U S Senate,,Victor Hugo Harris,DEM,10,3,1,6
Camp,Precinct 3003,U S Senate,,"Jack Daniel Foster, Jr.",DEM,5,0,1,4
Camp,Precinct 3003,U S Senate,,Cristina Tzintzun Ramirez,DEM,6,1,2,3
Camp,Precinct 3003,U S House,4,Russell Foster,DEM,148,27,23,98
Camp,Precinct 3003,Railroad Commissioner,,Mark Watson,DEM,78,9,19,50
Camp,Precinct 3003,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,56,8,8,40
Camp,Precinct 3003,Railroad Commissioner,,Kelly Stone,DEM,35,13,5,17
Camp,Precinct 3003,Railroad Commissioner,,Chrysta Castaneda,DEM,35,2,5,28
Camp,Precinct 3003,State Senate,,Audrey Spanko,DEM,179,32,27,120
Camp,Precinct 3003,State House,5,Lawyanda Prince,DEM,185,32,28,125
Camp,Precinct 4004,Registered Voters,,,,1917,,,
Camp,Precinct 4004,Ballots Cast Total,,,,665,25,357,283
Camp,Precinct 4004,Ballots Cast Republican Party,,,,538,9,315,214
Camp,Precinct 4004,Ballots Cast Democratic Party,,,,127,16,42,69
Camp,Precinct 4004,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,2,0,0,2
Camp,Precinct 4004,President,,Donald J. Trump,REP,512,9,302,201
Camp,Precinct 4004,President,,Matthew John Matern,REP,2,0,0,2
Camp,Precinct 4004,President,,Joe Walsh,REP,2,0,2,0
Camp,Precinct 4004,President,,Zoltan G. Istvan,REP,0,0,0,0
Camp,Precinct 4004,President,,Bill Weld,REP,0,0,0,0
Camp,Precinct 4004,President,,Bob Ely,REP,0,0,0,0
Camp,Precinct 4004,President,,Uncommitted,REP,18,0,10,8
Camp,Precinct 4004,U S Senate,,John Cornyn,REP,425,8,258,159
Camp,Precinct 4004,U S Senate,,John Anthony Castro,REP,24,0,10,14
Camp,Precinct 4004,U S Senate,,Mark Yancey,REP,28,0,14,14
Camp,Precinct 4004,U S Senate,,Dwayne Stovall,REP,31,0,17,14
Camp,Precinct 4004,U S Senate,,Virgil Bierschwale,REP,1,0,1,0
Camp,Precinct 4004,U S House,4,John Ratcliffe,REP,485,9,282,194
Camp,Precinct 4004,Railroad Commissioner,,"James ""Jim"" Wright",REP,339,6,206,127
Camp,Precinct 4004,Railroad Commissioner,,Ryan Sitton,REP,120,3,69,48
Camp,Precinct 4004,State Senate,1,Bryan Hughes,REP,473,9,273,191
Camp,Precinct 4004,State House,5,Cole Hefner,REP,485,9,282,194
Camp,Precinct 4004,President,,Amy Klobuchar,DEM,3,0,2,1
Camp,Precinct 4004,President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0,0
Camp,Precinct 4004,President,,Cory Booker,DEM,0,0,0,0
Camp,Precinct 4004,President,,Michael R. Bloomberg,DEM,18,1,7,10
Camp,Precinct 4004,President,,Michael Bennet,DEM,0,0,0,0
Camp,Precinct 4004,President,,Elizabeth Warren,DEM,5,2,2,1
Camp,Precinct 4004,President,,Marianne Williamson,DEM,0,0,0,0
Camp,Precinct 4004,President,,Robby Wells,DEM,1,0,1,0
Camp,Precinct 4004,President,,Bernie Sanders,DEM,21,2,7,12
Camp,Precinct 4004,President,,Pete Buttigieg,DEM,2,1,1,0
Camp,Precinct 4004,President,,John K. Delaney,DEM,1,1,0,0
Camp,Precinct 4004,President,,Andrew Yang,DEM,0,0,0,0
Camp,Precinct 4004,President,,Tom Steyer,DEM,4,2,0,2
Camp,Precinct 4004,President,,Julian Castro,DEM,0,0,0,0
Camp,Precinct 4004,President,,Joseph R. Biden,DEM,68,5,22,41
Camp,Precinct 4004,President,,Tulsi Gabbard,DEM,2,2,0,0
Camp,Precinct 4004,President,,Deval Patrick,DEM,0,0,0,0
Camp,Precinct 4004,U S Senate,,Mary (MJ) Hegar,DEM,22,1,9,12
Camp,Precinct 4004,U S Senate,,Amanda K. Edwards,DEM,34,4,13,17
Camp,Precinct 4004,U S Senate,,Royce West,DEM,20,5,6,9
Camp,Precinct 4004,U S Senate,,Adrian Ocegueda,DEM,0,0,0,0
Camp,Precinct 4004,U S Senate,,Chris Bell,DEM,10,1,3,6
Camp,Precinct 4004,U S Senate,,"Annie ""Mama"" Garcia",DEM,13,2,5,6
Camp,Precinct 4004,U S Senate,,Sema Hernandez,DEM,1,0,0,1
Camp,Precinct 4004,U S Senate,,Michael Cooper,DEM,5,0,0,5
Camp,Precinct 4004,U S Senate,,D. R. Hunter,DEM,0,0,0,0
Camp,Precinct 4004,U S Senate,,Victor Hugo Harris,DEM,3,0,1,2
Camp,Precinct 4004,U S Senate,,"Jack Daniel Foster, Jr.",DEM,1,0,1,0
Camp,Precinct 4004,U S Senate,,Cristina Tzintzun Ramirez,DEM,5,1,1,3
Camp,Precinct 4004,U S House,4,Russell Foster,DEM,86,11,25,50
Camp,Precinct 4004,Railroad Commissioner,,Mark Watson,DEM,33,5,11,17
Camp,Precinct 4004,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,29,6,7,16
Camp,Precinct 4004,Railroad Commissioner,,Kelly Stone,DEM,24,1,10,13
Camp,Precinct 4004,Railroad Commissioner,,Chrysta Castaneda,DEM,24,2,8,14
Camp,Precinct 4004,State Senate,,Audrey Spanko,DEM,100,14,34,52
Camp,Precinct 4004,State House,5,Lawyanda Prince,DEM,109,15,36,58
