county,precinct,office,district,candidate,party,votes,early_voting,election day,mail
Somervell,Precinct 2,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,9,4,5,0
Somervell,Precinct 2,Railroad Commissioner,,Chrysta Castaneda,DEM,24,9,11,4
Somervell,Precinct 2,Railroad Commissioner,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 2,Railroad Commissioner,,Under Votes,DEM,25,8,14,3
Somervell,Precinct 2,State Senate,22,Robert Vick,DEM,67,25,33,9
Somervell,Precinct 2,State Senate,22,Over Votes,DEM,0,0,0,0
Somervell,Precinct 2,State Senate,22,Under Votes,DEM,34,15,16,3
Somervell,Precinct 3,Registered Voters,,,,1779,,,
Somervell,Precinct 3,Ballots Cast Total,,,,718,357,337,24
Somervell,Precinct 3,Ballots Cast,,,REP,630,320,293,17
Somervell,Precinct 3,Ballots Cast,,,DEM,88,37,44,7
Somervell,Precinct 3,President,,Elizabeth Warren,DEM,9,3,4,2
Somervell,Precinct 3,President,,Robby Wells,DEM,1,0,0,1
Somervell,Precinct 3,President,,Marianne Williamson,DEM,0,0,0,0
Somervell,Precinct 3,President,,Pete Buttigieg,DEM,5,4,1,0
Somervell,Precinct 3,President,,Tulsi Gabbard,DEM,2,0,2,0
Somervell,Precinct 3,President,,Deval Patrick,DEM,0,0,0,0
Somervell,Precinct 3,President,,Michael R. Bloomberg,DEM,26,11,15,0
Somervell,Precinct 3,President,,Bernie Sanders,DEM,17,9,7,1
Somervell,Precinct 3,President,,Julian Castro,DEM,2,1,1,0
Somervell,Precinct 3,President,,Amy Klobuchar,DEM,2,2,0,0
Somervell,Precinct 3,President,,Cory Booker,DEM,0,0,0,0
Somervell,Precinct 3,President,,Andrew Yang,DEM,0,0,0,0
Somervell,Precinct 3,President,,John K. Delaney,DEM,0,0,0,0
Somervell,Precinct 3,President,,Joseph R. Biden,DEM,22,5,14,3
Somervell,Precinct 3,President,,Tom Steyer,DEM,2,2,0,0
Somervell,Precinct 3,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Somervell,Precinct 3,President,,Michael Bennet,DEM,0,0,0,0
Somervell,Precinct 3,President,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 3,President,,Under Votes,DEM,0,0,0,0
Somervell,Precinct 3,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,4,2,1,1
Somervell,Precinct 3,U.S. Senate,,Adrian Ocegueda,DEM,2,1,1,0
Somervell,Precinct 3,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,4,1,3,0
Somervell,Precinct 3,U.S. Senate,,Mary (MJ) Hegar,DEM,26,13,9,4
Somervell,Precinct 3,U.S. Senate,,Sema Hernandez,DEM,9,4,5,0
Somervell,Precinct 3,U.S. Senate,,Chris Bell,DEM,11,3,7,1
Somervell,Precinct 3,U.S. Senate,,Royce West,DEM,8,5,2,1
Somervell,Precinct 3,U.S. Senate,,Michael Cooper,DEM,1,1,0,0
Somervell,Precinct 3,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,8,3,5,0
Somervell,Precinct 3,U.S. Senate,,Victor Hugo Harris,DEM,2,2,0,0
Somervell,Precinct 3,U.S. Senate,,D. R. Hunter,DEM,0,0,0,0
Somervell,Precinct 3,U.S. Senate,,Amanda K. Edwards,DEM,6,1,5,0
Somervell,Precinct 3,U.S. Senate,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 3,U.S. Senate,,Under Votes,DEM,7,1,6,0
Somervell,Precinct 3,U.S. House,25,Heidi Sloan,DEM,41,16,20,5
Somervell,Precinct 3,U.S. House,25,Julie Oliver,DEM,38,17,20,1
Somervell,Precinct 3,U.S. House,25,Over Votes,DEM,0,0,0,0
Somervell,Precinct 3,U.S. House,25,Under Votes,DEM,9,4,4,1
Somervell,Precinct 3,Railroad Commissioner,,Kelly Stone,DEM,31,11,19,1
Somervell,Precinct 3,Railroad Commissioner,,Mark Watson,DEM,17,8,7,2
Somervell,Precinct 3,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,20,10,9,1
Somervell,Precinct 3,Railroad Commissioner,,Chrysta Castaneda,DEM,14,6,5,3
Somervell,Precinct 3,Railroad Commissioner,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 3,Railroad Commissioner,,Under Votes,DEM,6,2,4,0
Somervell,Precinct 3,State Senate,22,Robert Vick,DEM,72,32,37,3
Somervell,Precinct 3,State Senate,22,Over Votes,DEM,0,0,0,0
Somervell,Precinct 3,State Senate,22,Under Votes,DEM,16,5,7,4
Somervell,Precinct 4,Registered Voters,,,,1542,,,
Somervell,Precinct 4,Ballots Cast Total,,,,600,351,229,20
Somervell,Precinct 4,Ballots Cast,,,REP,524,308,200,16
Somervell,Precinct 4,Ballots Cast,,,DEM,78,43,31,4
Somervell,Precinct 4,President,,Elizabeth Warren,DEM,8,4,4,0
Somervell,Precinct 4,President,,Robby Wells,DEM,0,0,0,0
Somervell,Precinct 4,President,,Marianne Williamson,DEM,0,0,0,0
Somervell,Precinct 4,President,,Pete Buttigieg,DEM,3,2,1,0
Somervell,Precinct 4,President,,Tulsi Gabbard,DEM,0,0,0,0
Somervell,Precinct 4,President,,Deval Patrick,DEM,0,0,0,0
Somervell,Precinct 4,President,,Michael R. Bloomberg,DEM,8,6,1,1
Somervell,Precinct 4,President,,Bernie Sanders,DEM,28,14,14,0
Somervell,Precinct 4,President,,Julian Castro,DEM,0,0,0,0
Somervell,Precinct 4,President,,Amy Klobuchar,DEM,3,3,0,0
Somervell,Precinct 4,President,,Cory Booker,DEM,1,0,1,0
Somervell,Precinct 4,President,,Andrew Yang,DEM,1,1,0,0
Somervell,Precinct 4,President,,John K. Delaney,DEM,0,0,0,0
Somervell,Precinct 4,President,,Joseph R. Biden,DEM,25,12,10,3
Somervell,Precinct 4,President,,Tom Steyer,DEM,0,0,0,0
Somervell,Precinct 4,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Somervell,Precinct 4,President,,Michael Bennet,DEM,0,0,0,0
Somervell,Precinct 4,President,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 4,President,,Under Votes,DEM,1,1,0,0
Somervell,Precinct 4,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,4,0,4,0
Somervell,Precinct 4,U.S. Senate,,Adrian Ocegueda,DEM,4,1,3,0
Somervell,Precinct 4,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,6,2,4,0
Somervell,Precinct 4,U.S. Senate,,Mary (MJ) Hegar,DEM,32,21,9,2
Somervell,Precinct 4,U.S. Senate,,Sema Hernandez,DEM,3,3,0,0
Somervell,Precinct 4,U.S. Senate,,Chris Bell,DEM,5,3,2,0
Somervell,Precinct 4,U.S. Senate,,Royce West,DEM,2,2,0,0
Somervell,Precinct 4,U.S. Senate,,Michael Cooper,DEM,0,0,0,0
Somervell,Precinct 4,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,4,0,3,1
Somervell,Precinct 4,U.S. Senate,,Victor Hugo Harris,DEM,2,2,0,0
Somervell,Precinct 4,U.S. Senate,,D. R. Hunter,DEM,2,0,2,0
Somervell,Precinct 4,U.S. Senate,,Amanda K. Edwards,DEM,1,1,0,0
Somervell,Precinct 4,U.S. Senate,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 4,U.S. Senate,,Under Votes,DEM,13,8,4,1
Somervell,Precinct 4,U.S. House,25,Heidi Sloan,DEM,20,7,12,1
Somervell,Precinct 4,U.S. House,25,Julie Oliver,DEM,44,25,17,2
Somervell,Precinct 4,U.S. House,25,Over Votes,DEM,0,0,0,0
Somervell,Precinct 4,U.S. House,25,Under Votes,DEM,14,11,2,1
Somervell,Precinct 4,Railroad Commissioner,,Kelly Stone,DEM,19,12,7,0
Somervell,Precinct 4,Railroad Commissioner,,Mark Watson,DEM,9,5,3,1
Somervell,Precinct 4,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,14,6,8,0
Somervell,Precinct 4,Railroad Commissioner,,Chrysta Castaneda,DEM,20,10,8,2
Somervell,Precinct 4,Railroad Commissioner,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 4,Railroad Commissioner,,Under Votes,DEM,16,10,5,1
Somervell,Precinct 4,State Senate,22,Robert Vick,DEM,60,33,24,3
Somervell,Precinct 4,State Senate,22,Over Votes,DEM,0,0,0,0
Somervell,Precinct 4,State Senate,22,Under Votes,DEM,18,10,7,1
Somervell,Precinct 1,President,,Bill Weld,REP,2,0,1,1
Somervell,Precinct 1,President,,Donald J. Trump,REP,509,274,220,15
Somervell,Precinct 1,President,,Matthew John Matern,REP,3,1,2,0
Somervell,Precinct 1,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,2,0,2,0
Somervell,Precinct 1,President,,Joe Walsh,REP,2,1,1,0
Somervell,Precinct 1,President,,Zoltan G. Istvan,REP,1,1,0,0
Somervell,Precinct 1,President,,Bob Ely,REP,0,0,0,0
Somervell,Precinct 1,President,,Uncommitted,REP,15,8,7,0
Somervell,Precinct 1,President,,Over Votes,REP,0,0,0,0
Somervell,Precinct 1,President,,Under Votes,REP,11,8,3,0
Somervell,Precinct 1,U.S. Senate,,Mark Yancey,REP,30,17,12,1
Somervell,Precinct 1,U.S. Senate,,Dwayne Stovall,REP,97,37,57,3
Somervell,Precinct 1,U.S. Senate,,John Cornyn,REP,328,181,137,10
Somervell,Precinct 1,U.S. Senate,,Virgil Bierschwale,REP,8,7,0,1
Somervell,Precinct 1,U.S. Senate,,John Anthony Castro,REP,11,4,6,1
Somervell,Precinct 1,U.S. Senate,,Over Votes,REP,0,0,0,0
Somervell,Precinct 1,U.S. Senate,,Under Votes,REP,71,47,24,0
Somervell,Precinct 1,U.S. House,25,Keith Neuendorff,REP,42,20,22,0
Somervell,Precinct 1,U.S. House,25,Roger Williams,REP,425,231,178,16
Somervell,Precinct 1,U.S. House,25,Over Votes,REP,0,0,0,0
Somervell,Precinct 1,U.S. House,25,Under Votes,REP,78,42,36,0
Somervell,Precinct 1,Railroad Commissioner,,Ryan Sitton,REP,197,93,100,4
Somervell,Precinct 1,Railroad Commissioner,,"James ""Jim"" Wright",REP,247,136,101,10
Somervell,Precinct 1,Railroad Commissioner,,Over Votes,REP,0,0,0,0
Somervell,Precinct 1,Railroad Commissioner,,Under Votes,REP,101,64,35,2
Somervell,Precinct 1,State Senate,22,Brian Birdwell,REP,425,224,186,15
Somervell,Precinct 1,State Senate,22,Over Votes,REP,0,0,0,0
Somervell,Precinct 1,State Senate,22,Under Votes,REP,120,69,50,1
Somervell,Precinct 1,State Representative,59,Cody Johnson,REP,121,60,61,0
Somervell,Precinct 1,State Representative,59,J. D. Sheffield,REP,146,78,55,13
Somervell,Precinct 1,State Representative,59,Shelby Slawson,REP,239,132,104,3
Somervell,Precinct 1,State Representative,59,Over Votes,REP,1,1,0,0
Somervell,Precinct 1,State Representative,59,Under Votes,REP,38,22,16,0
Somervell,Precinct 2,President,,Bill Weld,REP,7,6,1,0
Somervell,Precinct 2,President,,Donald J. Trump,REP,630,360,247,23
Somervell,Precinct 2,President,,Matthew John Matern,REP,2,1,1,0
Somervell,Precinct 2,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,2,2,0,0
Somervell,Precinct 2,President,,Joe Walsh,REP,3,2,1,0
Somervell,Precinct 2,President,,Zoltan G. Istvan,REP,0,0,0,0
Somervell,Precinct 2,President,,Bob Ely,REP,1,1,0,0
Somervell,Precinct 2,President,,Uncommitted,REP,25,16,9,0
Somervell,Precinct 2,President,,Over Votes,REP,1,0,1,0
Somervell,Precinct 2,President,,Under Votes,REP,25,12,12,1
Somervell,Precinct 2,U.S. Senate,,Mark Yancey,REP,47,28,19,0
Somervell,Precinct 2,U.S. Senate,,Dwayne Stovall,REP,113,62,48,3
Somervell,Precinct 2,U.S. Senate,,John Cornyn,REP,428,269,139,20
Somervell,Precinct 2,U.S. Senate,,Virgil Bierschwale,REP,6,1,5,0
Somervell,Precinct 2,U.S. Senate,,John Anthony Castro,REP,14,7,7,0
Somervell,Precinct 2,U.S. Senate,,Over Votes,REP,1,0,1,0
Somervell,Precinct 2,U.S. Senate,,Under Votes,REP,87,33,53,1
Somervell,Precinct 2,U.S. House,25,Keith Neuendorff,REP,70,38,31,1
Somervell,Precinct 2,U.S. House,25,Roger Williams,REP,522,315,186,21
Somervell,Precinct 2,U.S. House,25,Over Votes,REP,0,0,0,0
Somervell,Precinct 2,U.S. House,25,Under Votes,REP,104,47,55,2
Somervell,Precinct 2,Railroad Commissioner,,Ryan Sitton,REP,249,151,89,9
Somervell,Precinct 2,Railroad Commissioner,,"James ""Jim"" Wright",REP,297,167,116,14
Somervell,Precinct 2,Railroad Commissioner,,Over Votes,REP,0,0,0,0
Somervell,Precinct 2,Railroad Commissioner,,Under Votes,REP,150,82,67,1
Somervell,Precinct 2,State Senate,22,Brian Birdwell,REP,524,313,189,22
Somervell,Precinct 2,State Senate,22,Over Votes,REP,0,0,0,0
Somervell,Precinct 2,State Senate,22,Under Votes,REP,172,87,83,2
Somervell,Precinct 2,State Representative,59,Cody Johnson,REP,170,101,63,6
Somervell,Precinct 2,State Representative,59,J. D. Sheffield,REP,196,119,67,10
Somervell,Precinct 2,State Representative,59,Shelby Slawson,REP,280,158,115,7
Somervell,Precinct 2,State Representative,59,Over Votes,REP,0,0,0,0
Somervell,Precinct 2,State Representative,59,Under Votes,REP,50,22,27,1
Somervell,Precinct 3,President,,Bill Weld,REP,2,0,2,0
Somervell,Precinct 3,President,,Donald J. Trump,REP,572,287,270,15
Somervell,Precinct 3,President,,Matthew John Matern,REP,1,1,0,0
Somervell,Precinct 3,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,1,0,1,0
Somervell,Precinct 3,President,,Joe Walsh,REP,5,3,1,1
Somervell,Precinct 3,President,,Zoltan G. Istvan,REP,0,0,0,0
Somervell,Precinct 3,President,,Bob Ely,REP,9,3,6,0
Somervell,Precinct 3,President,,Uncommitted,REP,30,20,9,1
Somervell,Precinct 3,President,,Over Votes,REP,0,0,0,0
Somervell,Precinct 3,President,,Under Votes,REP,10,6,4,0
Somervell,Precinct 3,U.S. Senate,,Mark Yancey,REP,48,23,25,0
Somervell,Precinct 3,U.S. Senate,,Dwayne Stovall,REP,130,63,67,0
Somervell,Precinct 3,U.S. Senate,,John Cornyn,REP,357,190,153,14
Somervell,Precinct 3,U.S. Senate,,Virgil Bierschwale,REP,5,1,2,2
Somervell,Precinct 3,U.S. Senate,,John Anthony Castro,REP,19,7,12,0
Somervell,Precinct 3,U.S. Senate,,Over Votes,REP,0,0,0,0
Somervell,Precinct 3,U.S. Senate,,Under Votes,REP,71,36,34,1
Somervell,Precinct 3,U.S. House,25,Keith Neuendorff,REP,61,31,27,3
Somervell,Precinct 3,U.S. House,25,Roger Williams,REP,495,248,235,12
Somervell,Precinct 3,U.S. House,25,Over Votes,REP,0,0,0,0
Somervell,Precinct 3,U.S. House,25,Under Votes,REP,74,41,31,2
Somervell,Precinct 3,Railroad Commissioner,,Ryan Sitton,REP,208,97,102,9
Somervell,Precinct 3,Railroad Commissioner,,"James ""Jim"" Wright",REP,309,171,133,5
Somervell,Precinct 3,Railroad Commissioner,,Over Votes,REP,0,0,0,0
Somervell,Precinct 3,Railroad Commissioner,,Under Votes,REP,113,52,58,3
Somervell,Precinct 3,State Senate,22,Brian Birdwell,REP,502,257,232,13
Somervell,Precinct 3,State Senate,22,Over Votes,REP,0,0,0,0
Somervell,Precinct 3,State Senate,22,Under Votes,REP,128,63,61,4
Somervell,Precinct 3,State Representative,59,Cody Johnson,REP,149,83,64,2
Somervell,Precinct 3,State Representative,59,J. D. Sheffield,REP,191,100,84,7
Somervell,Precinct 3,State Representative,59,Shelby Slawson,REP,248,116,125,7
Somervell,Precinct 3,State Representative,59,Over Votes,REP,0,0,0,0
Somervell,Precinct 3,State Representative,59,Under Votes,REP,42,21,20,1
Somervell,Precinct 4,President,,Bill Weld,REP,8,6,2,0
Somervell,Precinct 4,President,,Donald J. Trump,REP,482,286,180,16
Somervell,Precinct 4,President,,Matthew John Matern,REP,1,0,1,0
Somervell,Precinct 4,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,1,0,1,0
Somervell,Precinct 4,President,,Joe Walsh,REP,2,0,2,0
Somervell,Precinct 4,President,,Zoltan G. Istvan,REP,0,0,0,0
Somervell,Precinct 4,President,,Bob Ely,REP,1,1,0,0
Somervell,Precinct 4,President,,Uncommitted,REP,22,12,10,0
Somervell,Precinct 4,President,,Over Votes,REP,0,0,0,0
Somervell,Precinct 4,President,,Under Votes,REP,7,3,4,0
Somervell,Precinct 4,U.S. Senate,,Mark Yancey,REP,46,24,20,2
Somervell,Precinct 4,U.S. Senate,,Dwayne Stovall,REP,84,50,34,0
Somervell,Precinct 4,U.S. Senate,,John Cornyn,REP,310,182,115,13
Somervell,Precinct 4,U.S. Senate,,Virgil Bierschwale,REP,4,3,1,0
Somervell,Precinct 4,U.S. Senate,,John Anthony Castro,REP,17,9,8,0
Somervell,Precinct 4,U.S. Senate,,Over Votes,REP,0,0,0,0
Somervell,Precinct 4,U.S. Senate,,Under Votes,REP,63,40,22,1
Somervell,Precinct 4,U.S. House,25,Keith Neuendorff,REP,54,35,18,1
Somervell,Precinct 4,U.S. House,25,Roger Williams,REP,396,229,153,14
Somervell,Precinct 4,U.S. House,25,Over Votes,REP,0,0,0,0
Somervell,Precinct 4,U.S. House,25,Under Votes,REP,74,44,29,1
Somervell,Precinct 4,Railroad Commissioner,,Ryan Sitton,REP,190,109,73,8
Somervell,Precinct 4,Railroad Commissioner,,"James ""Jim"" Wright",REP,222,126,90,6
Somervell,Precinct 4,Railroad Commissioner,,Over Votes,REP,0,0,0,0
Somervell,Precinct 4,Railroad Commissioner,,Under Votes,REP,112,73,37,2
Somervell,Precinct 4,State Senate,22,Brian Birdwell,REP,397,224,159,14
Somervell,Precinct 4,State Senate,22,Over Votes,REP,0,0,0,0
Somervell,Precinct 4,State Senate,22,Under Votes,REP,127,84,41,2
Somervell,Precinct 4,State Representative,59,Cody Johnson,REP,99,54,44,1
Somervell,Precinct 4,State Representative,59,J. D. Sheffield,REP,151,83,58,10
Somervell,Precinct 4,State Representative,59,Shelby Slawson,REP,246,152,89,5
Somervell,Precinct 4,State Representative,59,Over Votes,REP,1,0,1,0
Somervell,Precinct 4,State Representative,59,Under Votes,REP,27,19,8,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
