county,precinct,office,district,party,candidate,votes,early_voting,mail,election_day
Shelby,9N,Railroad Commissioner,,LBT,Matt Sterett,6,3,0,3
Shelby,9S,Railroad Commissioner,,LBT,Matt Sterett,8,5,1,2
Shelby,1N,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,1,0,0
Shelby,1S,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",6,1,2,3
Shelby,1SE,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",3,2,0,1
Shelby,1SW,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,1,0,0
Shelby,1W,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,1,0,0
Shelby,2,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,1,0,0
Shelby,3,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",0,0,0,0
Shelby,4,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",0,0,0,0
Shelby,5,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",2,1,0,1
Shelby,6,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",0,0,0,0
Shelby,7,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,0,0,1
Shelby,8,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",2,1,1,0
Shelby,9N,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",7,3,0,4
Shelby,9S,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",2,1,0,1
Shelby,1N,State Representative,9,REP,Chris Paddie,787,607,43,137
Shelby,1S,State Representative,9,REP,Chris Paddie,994,758,73,163
Shelby,1SE,State Representative,9,REP,Chris Paddie,526,404,44,78
Shelby,1SW,State Representative,9,REP,Chris Paddie,811,641,45,125
Shelby,1W,State Representative,9,REP,Chris Paddie,261,188,10,63
Shelby,2,State Representative,9,REP,Chris Paddie,500,254,26,220
Shelby,3,State Representative,9,REP,Chris Paddie,210,115,8,87
Shelby,4,State Representative,9,REP,Chris Paddie,467,208,33,226
Shelby,5,State Representative,9,REP,Chris Paddie,1292,733,74,485
Shelby,6,State Representative,9,REP,Chris Paddie,350,196,31,123
Shelby,7,State Representative,9,REP,Chris Paddie,444,267,26,151
Shelby,8,State Representative,9,REP,Chris Paddie,540,288,29,223
Shelby,9N,State Representative,9,REP,Chris Paddie,615,258,32,325
Shelby,9S,State Representative,9,REP,Chris Paddie,561,290,24,247
