county,precinct,office,district,candidate,party,votes,election_day,early_voting,mail
Cottle,Precinct 301,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,35,8,20,7
Cottle,Precinct 301,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Cottle,Precinct 301,U.S. Senate,,David B. Collins,GRN,1,0,1,0
Cottle,Precinct 301,U.S. Senate,,Write-In,,0,0,0,0
Cottle,Precinct 301,U.S. House,13,Ronny Jackson,REP,86,19,59,8
Cottle,Precinct 301,U.S. House,13,Gus Trujillo,DEM,32,4,21,7
Cottle,Precinct 301,U.S. House,13,Jack B. Westbrook,LIB,2,1,1,0
Cottle,Precinct 301,Railroad Commissioner,,"James ""Jim"" Wright",REP,84,18,58,8
Cottle,Precinct 301,Railroad Commissioner,,Chrysta Castaneda,DEM,32,5,20,7
Cottle,Precinct 301,Railroad Commissioner,,Matt Sterett,LIB,1,1,0,0
Cottle,Precinct 301,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,0,2,0
Cottle,Precinct 301,State Senate,28,Charles Perry,REP,103,23,72,8
Cottle,Precinct 301,State Representative,68,Drew Springer,REP,88,19,61,8
Cottle,Precinct 301,State Representative,68,Patsy Ledbetter,DEM,33,5,21,7
Cottle,Precinct 401,Ballots Cast,,,,148,44,91,13
Cottle,Precinct 401,Ballots Cast Blank,,,,0,0,0,0
Cottle,Precinct 401,President,,Donald J. Trump,REP,113,33,72,8
Cottle,Precinct 401,President,,Joseph R. Biden,DEM,31,9,17,5
Cottle,Precinct 401,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,0,1,0
Cottle,Precinct 401,President,,Howie Hawkins / Angela Walker,GRN,2,1,1,0
Cottle,Precinct 401,President,,Write-In,,1,1,0,0
Cottle,Precinct 401,U.S. Senate,,John Cornyn,REP,111,31,72,8
Cottle,Precinct 401,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,32,10,18,4
Cottle,Precinct 401,U.S. Senate,,Kerry Douglas McKennon,LIB,1,0,1,0
Cottle,Precinct 401,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Cottle,Precinct 401,U.S. Senate,,Write-In,,0,0,0,0
Cottle,Precinct 401,U.S. House,13,Ronny Jackson,REP,111,32,71,8
Cottle,Precinct 401,U.S. House,13,Gus Trujillo,DEM,33,10,18,5
Cottle,Precinct 401,U.S. House,13,Jack B. Westbrook,LIB,1,0,1,0
Cottle,Precinct 401,Railroad Commissioner,,"James ""Jim"" Wright",REP,107,29,71,7
Cottle,Precinct 401,Railroad Commissioner,,Chrysta Castaneda,DEM,32,9,19,4
Cottle,Precinct 401,Railroad Commissioner,,Matt Sterett,LIB,2,0,1,1
Cottle,Precinct 401,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,1,0,0
Cottle,Precinct 401,State Senate,28,Charles Perry,REP,131,39,83,9
Cottle,Precinct 401,State Representative,68,Drew Springer,REP,114,32,73,9
Cottle,Precinct 401,State Representative,68,Patsy Ledbetter,DEM,33,11,18,4
