county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day
Sherman,Precinct 102 City and Stratford ISD,President,,Joseph R. Biden / Kamala D. Harris,DEM,24,1,18,5
Sherman,Precinct 102 City and Stratford ISD,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Sherman,Precinct 102 City and Stratford ISD,President,,Howie Hawkins / Angela Walker,GRN,1,1,0,0
Sherman,Precinct 102 City and Stratford ISD,President,,Write-In,,0,0,0,0
Sherman,Precinct 102 City and Stratford ISD,U.S. Senate,,John Cornyn,REP,133,6,98,29
Sherman,Precinct 102 City and Stratford ISD,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,24,2,16,6
Sherman,Precinct 102 City and Stratford ISD,U.S. Senate,,Kerry Douglas McKennon,LIB,1,0,1,0
Sherman,Precinct 102 City and Stratford ISD,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sherman,Precinct 102 City and Stratford ISD,U.S. Senate,,Write-In,,1,1,0,0
Sherman,Precinct 102 City and Stratford ISD,U.S. House,13,Ronny Jackson,REP,129,6,93,30
Sherman,Precinct 102 City and Stratford ISD,U.S. House,13,Gus Trujillo,DEM,28,2,21,5
Sherman,Precinct 102 City and Stratford ISD,U.S. House,13,Jack B. Westbrook,LIB,2,1,1,0
Sherman,Precinct 102 City and Stratford ISD,Railroad Commissioner,,"James ""Jim"" Wright",REP,135,7,97,31
Sherman,Precinct 102 City and Stratford ISD,Railroad Commissioner,,Chrysta Castaneda,DEM,24,1,19,4
Sherman,Precinct 102 City and Stratford ISD,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Sherman,Precinct 102 City and Stratford ISD,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,1,0,0
Sherman,Precinct 102 City and Stratford ISD,State Representative,87,Four Price,REP,152,9,109,34
Sherman,Precinct 201 City and Stratford ISD,Registered Voters,,,,0,,,
Sherman,Precinct 201 City and Stratford ISD,Ballots Cast Total,,,,104,3,86,15
Sherman,Precinct 201 City and Stratford ISD,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 201 City and Stratford ISD,President,,Donald J. Trump / Michael R. Pence,REP,85,2,70,13
Sherman,Precinct 201 City and Stratford ISD,President,,Joseph R. Biden / Kamala D. Harris,DEM,15,1,13,1
Sherman,Precinct 201 City and Stratford ISD,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,0,1,0
Sherman,Precinct 201 City and Stratford ISD,President,,Howie Hawkins / Angela Walker,GRN,2,0,1,1
Sherman,Precinct 201 City and Stratford ISD,President,,Write-In,,0,0,0,0
Sherman,Precinct 201 City and Stratford ISD,U.S. Senate,,John Cornyn,REP,85,2,70,13
Sherman,Precinct 201 City and Stratford ISD,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,16,1,13,2
Sherman,Precinct 201 City and Stratford ISD,U.S. Senate,,Kerry Douglas McKennon,LIB,1,0,1,0
Sherman,Precinct 201 City and Stratford ISD,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sherman,Precinct 201 City and Stratford ISD,U.S. Senate,,Write-In,,0,0,0,0
Sherman,Precinct 201 City and Stratford ISD,U.S. House,13,Ronny Jackson,REP,83,2,70,11
Sherman,Precinct 201 City and Stratford ISD,U.S. House,13,Gus Trujillo,DEM,18,1,14,3
Sherman,Precinct 201 City and Stratford ISD,U.S. House,13,Jack B. Westbrook,LIB,2,0,1,1
Sherman,Precinct 201 City and Stratford ISD,Railroad Commissioner,,"James ""Jim"" Wright",REP,85,2,70,13
Sherman,Precinct 201 City and Stratford ISD,Railroad Commissioner,,Chrysta Castaneda,DEM,15,1,12,2
Sherman,Precinct 201 City and Stratford ISD,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Sherman,Precinct 201 City and Stratford ISD,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,1,0
Sherman,Precinct 201 City and Stratford ISD,State Representative,87,Four Price,REP,94,3,76,15
Sherman,Precinct 202,Registered Voters,,,,0,,,
Sherman,Precinct 202,Ballots Cast Total,,,,84,10,16,58
Sherman,Precinct 202,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 202,President,,Donald J. Trump / Michael R. Pence,REP,79,7,16,56
Sherman,Precinct 202,President,,Joseph R. Biden / Kamala D. Harris,DEM,3,3,0,0
Sherman,Precinct 202,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,0,0,1
Sherman,Precinct 202,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Sherman,Precinct 202,President,,Write-In,,0,0,0,0
Sherman,Precinct 202,U.S. Senate,,John Cornyn,REP,81,7,16,58
Sherman,Precinct 202,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,3,3,0,0
Sherman,Precinct 202,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Sherman,Precinct 202,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sherman,Precinct 202,U.S. Senate,,Write-In,,0,0,0,0
Sherman,Precinct 202,U.S. House,13,Ronny Jackson,REP,79,7,16,56
Sherman,Precinct 202,U.S. House,13,Gus Trujillo,DEM,3,3,0,0
Sherman,Precinct 202,U.S. House,13,Jack B. Westbrook,LIB,2,0,0,2
Sherman,Precinct 202,Railroad Commissioner,,"James ""Jim"" Wright",REP,79,7,16,56
Sherman,Precinct 202,Railroad Commissioner,,Chrysta Castaneda,DEM,3,3,0,0
Sherman,Precinct 202,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Sherman,Precinct 202,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Sherman,Precinct 202,State Representative,87,Four Price,REP,83,9,16,58
Sherman,Precinct 301 City and Stratford ISD,Registered Voters,,,,0,,,
Sherman,Precinct 301 City and Stratford ISD,Ballots Cast Total,,,,70,1,50,19
Sherman,Precinct 301 City and Stratford ISD,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 301 City and Stratford ISD,President,,Donald J. Trump / Michael R. Pence,REP,64,1,44,19
Sherman,Precinct 301 City and Stratford ISD,President,,Joseph R. Biden / Kamala D. Harris,DEM,6,0,6,0
Sherman,Precinct 301 City and Stratford ISD,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Sherman,Precinct 301 City and Stratford ISD,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Sherman,Precinct 301 City and Stratford ISD,President,,Write-In,,0,0,0,0
Sherman,Precinct 301 City and Stratford ISD,U.S. Senate,,John Cornyn,REP,63,1,43,19
Sherman,Precinct 301 City and Stratford ISD,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,6,0,6,0
Sherman,Precinct 301 City and Stratford ISD,U.S. Senate,,Kerry Douglas McKennon,LIB,1,0,1,0
Sherman,Precinct 301 City and Stratford ISD,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sherman,Precinct 301 City and Stratford ISD,U.S. Senate,,Write-In,,0,0,0,0
Sherman,Precinct 301 City and Stratford ISD,U.S. House,13,Ronny Jackson,REP,62,1,44,17
Sherman,Precinct 301 City and Stratford ISD,U.S. House,13,Gus Trujillo,DEM,5,0,5,0
Sherman,Precinct 301 City and Stratford ISD,U.S. House,13,Jack B. Westbrook,LIB,1,0,1,0
Sherman,Precinct 301 City and Stratford ISD,Railroad Commissioner,,"James ""Jim"" Wright",REP,61,1,42,18
Sherman,Precinct 301 City and Stratford ISD,Railroad Commissioner,,Chrysta Castaneda,DEM,3,0,3,0
Sherman,Precinct 301 City and Stratford ISD,Railroad Commissioner,,Matt Sterett,LIB,3,0,3,0
Sherman,Precinct 301 City and Stratford ISD,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Sherman,Precinct 301 City and Stratford ISD,State Representative,87,Four Price,REP,65,1,47,17
Sherman,Precinct 302,Registered Voters,,,,0,,,
Sherman,Precinct 302,Ballots Cast Total,,,,151,14,19,118
Sherman,Precinct 302,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 302,President,,Donald J. Trump / Michael R. Pence,REP,135,10,17,108
Sherman,Precinct 302,President,,Joseph R. Biden / Kamala D. Harris,DEM,13,4,2,7
Sherman,Precinct 302,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,0,0,1
Sherman,Precinct 302,President,,Howie Hawkins / Angela Walker,GRN,1,0,0,1
Sherman,Precinct 302,President,,Write-In,,0,0,0,0
Sherman,Precinct 302,U.S. Senate,,John Cornyn,REP,133,11,15,107
Sherman,Precinct 302,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,12,3,2,7
Sherman,Precinct 302,U.S. Senate,,Kerry Douglas McKennon,LIB,2,0,0,2
Sherman,Precinct 302,U.S. Senate,,David B. Collins,GRN,1,0,0,1
Sherman,Precinct 302,U.S. Senate,,Write-In,,0,0,0,0
Sherman,Precinct 302,U.S. House,13,Ronny Jackson,REP,132,10,15,107
Sherman,Precinct 302,U.S. House,13,Gus Trujillo,DEM,13,4,2,7
Sherman,Precinct 302,U.S. House,13,Jack B. Westbrook,LIB,2,0,0,2
Sherman,Precinct 302,Railroad Commissioner,,"James ""Jim"" Wright",REP,135,12,16,107
Sherman,Precinct 302,Railroad Commissioner,,Chrysta Castaneda,DEM,10,1,2,7
Sherman,Precinct 302,Railroad Commissioner,,Matt Sterett,LIB,3,1,0,2
Sherman,Precinct 302,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Sherman,Precinct 302,State Representative,87,Four Price,REP,146,14,18,114
Sherman,Precinct 401,Registered Voters,,,,0,,,
Sherman,Precinct 401,Ballots Cast Total,,,,342,23,278,41
Sherman,Precinct 401,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 401,President,,Donald J. Trump / Michael R. Pence,REP,308,19,250,39
Sherman,Precinct 401,President,,Joseph R. Biden / Kamala D. Harris,DEM,26,2,22,2
Sherman,Precinct 401,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,4,1,3,0
Sherman,Precinct 401,President,,Howie Hawkins / Angela Walker,GRN,1,0,1,0
Sherman,Precinct 401,President,,Write-In,,0,0,0,0
Sherman,Precinct 401,U.S. Senate,,John Cornyn,REP,316,21,256,39
Sherman,Precinct 401,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,22,2,19,1
Sherman,Precinct 401,U.S. Senate,,Kerry Douglas McKennon,LIB,1,0,0,1
Sherman,Precinct 401,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sherman,Precinct 401,U.S. Senate,,Write-In,,0,0,0,0
Sherman,Precinct 401,U.S. House,13,Ronny Jackson,REP,306,19,248,39
Sherman,Precinct 401,U.S. House,13,Gus Trujillo,DEM,22,2,19,1
Sherman,Precinct 401,U.S. House,13,Jack B. Westbrook,LIB,9,0,8,1
Sherman,Precinct 401,Railroad Commissioner,,"James ""Jim"" Wright",REP,308,18,250,40
Sherman,Precinct 401,Railroad Commissioner,,Chrysta Castaneda,DEM,20,2,17,1
Sherman,Precinct 401,Railroad Commissioner,,Matt Sterett,LIB,5,0,5,0
Sherman,Precinct 401,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,3,0,3,0
Sherman,Precinct 401,State Representative,87,Four Price,REP,330,19,270,41
Sherman,Precinct 102 Stratford ISD,Registered Voters,,,,0,,,
Sherman,Precinct 102 Stratford ISD,Ballots Cast Total,,,,14,0,13,1
Sherman,Precinct 102 Stratford ISD,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 102 Stratford ISD,President,,Donald J. Trump / Michael R. Pence,REP,14,0,13,1
Sherman,Precinct 102 Stratford ISD,President,,Joseph R. Biden / Kamala D. Harris,DEM,0,0,0,0
Sherman,Precinct 102 Stratford ISD,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Sherman,Precinct 102 Stratford ISD,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Sherman,Precinct 102 Stratford ISD,President,,Write-In,,0,0,0,0
Sherman,Precinct 102 Stratford ISD,U.S. Senate,,John Cornyn,REP,14,0,13,1
Sherman,Precinct 102 Stratford ISD,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0,0
Sherman,Precinct 102 Stratford ISD,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Sherman,Precinct 102 Stratford ISD,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sherman,Precinct 102 Stratford ISD,U.S. Senate,,Write-In,,0,0,0,0
Sherman,Precinct 102 Stratford ISD,U.S. House,13,Ronny Jackson,REP,14,0,13,1
Sherman,Precinct 102 Stratford ISD,U.S. House,13,Gus Trujillo,DEM,0,0,0,0
Sherman,Precinct 102 Stratford ISD,U.S. House,13,Jack B. Westbrook,LIB,0,0,0,0
Sherman,Precinct 102 Stratford ISD,Railroad Commissioner,,"James ""Jim"" Wright",REP,14,0,13,1
Sherman,Precinct 102 Stratford ISD,Railroad Commissioner,,Chrysta Castaneda,DEM,0,0,0,0
Sherman,Precinct 102 Stratford ISD,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Sherman,Precinct 102 Stratford ISD,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Sherman,Precinct 102 Stratford ISD,State Representative,87,Four Price,REP,14,0,13,1
Sherman,Precinct 201 Stratford ISD,Registered Voters,,,,0,,,
Sherman,Precinct 201 Stratford ISD,Ballots Cast Total,,,,12,0,11,1
Sherman,Precinct 201 Stratford ISD,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 201 Stratford ISD,President,,Donald J. Trump / Michael R. Pence,REP,11,0,10,1
Sherman,Precinct 201 Stratford ISD,President,,Joseph R. Biden / Kamala D. Harris,DEM,1,0,1,0
Sherman,Precinct 201 Stratford ISD,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Sherman,Precinct 201 Stratford ISD,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Sherman,Precinct 201 Stratford ISD,President,,Write-In,,0,0,0,0
Sherman,Precinct 201 Stratford ISD,U.S. Senate,,John Cornyn,REP,11,0,10,1
Sherman,Precinct 201 Stratford ISD,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,1,0,1,0
Sherman,Precinct 201 Stratford ISD,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Sherman,Precinct 201 Stratford ISD,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sherman,Precinct 201 Stratford ISD,U.S. Senate,,Write-In,,0,0,0,0
Sherman,Precinct 201 Stratford ISD,U.S. House,13,Ronny Jackson,REP,11,0,10,1
Sherman,Precinct 201 Stratford ISD,U.S. House,13,Gus Trujillo,DEM,1,0,1,0
Sherman,Precinct 201 Stratford ISD,U.S. House,13,Jack B. Westbrook,LIB,0,0,0,0
Sherman,Precinct 201 Stratford ISD,Railroad Commissioner,,"James ""Jim"" Wright",REP,10,0,9,1
Sherman,Precinct 201 Stratford ISD,Railroad Commissioner,,Chrysta Castaneda,DEM,1,0,1,0
Sherman,Precinct 201 Stratford ISD,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Sherman,Precinct 201 Stratford ISD,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Sherman,Precinct 201 Stratford ISD,State Representative,87,Four Price,REP,11,0,10,1
Sherman,Precinct 301 County,Registered Voters,,,,0,,,
Sherman,Precinct 301 County,Ballots Cast Total,,,,2,0,2,0
Sherman,Precinct 301 County,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 301 County,President,,Donald J. Trump / Michael R. Pence,REP,2,0,2,0
Sherman,Precinct 301 County,President,,Joseph R. Biden / Kamala D. Harris,DEM,0,0,0,0
Sherman,Precinct 301 County,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Sherman,Precinct 301 County,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Sherman,Precinct 301 County,President,,Write-In,,0,0,0,0
Sherman,Precinct 301 County,U.S. Senate,,John Cornyn,REP,2,0,2,0
Sherman,Precinct 301 County,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0,0
Sherman,Precinct 301 County,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Sherman,Precinct 301 County,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Sherman,Precinct 301 County,U.S. Senate,,Write-In,,0,0,0,0
Sherman,Precinct 301 County,U.S. House,13,Ronny Jackson,REP,2,0,2,0
Sherman,Precinct 301 County,U.S. House,13,Gus Trujillo,DEM,0,0,0,0
Sherman,Precinct 301 County,U.S. House,13,Jack B. Westbrook,LIB,0,0,0,0
Sherman,Precinct 301 County,Railroad Commissioner,,"James ""Jim"" Wright",REP,2,0,2,0
Sherman,Precinct 301 County,Railroad Commissioner,,Chrysta Castaneda,DEM,0,0,0,0
Sherman,Precinct 301 County,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Sherman,Precinct 301 County,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Sherman,Precinct 301 County,State Representative,87,Four Price,REP,2,0,2,0
Sherman,Precinct 301 Stratford ISD,Registered Voters,,,,0,,,
Sherman,Precinct 301 Stratford ISD,Ballots Cast Total,,,,13,0,7,6
Sherman,Precinct 301 Stratford ISD,Ballots Cast Blank,,,,0,0,0,0
Sherman,Precinct 301 Stratford ISD,President,,Donald J. Trump / Michael R. Pence,REP,11,0,6,5
Sherman,Precinct 301 Stratford ISD,President,,Joseph R. Biden / Kamala D. Harris,DEM,0,0,0,0
Sherman,Precinct 301 Stratford ISD,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,2,0,1,1
Sherman,Precinct 301 Stratford ISD,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Sherman,Precinct 301 Stratford ISD,President,,Write-In,,0,0,0,0
Sherman,Precinct 301 Stratford ISD,U.S. Senate,,John Cornyn,REP,11,0,6,5
Sherman,Precinct 301 Stratford ISD,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0,0
Sherman,Precinct 301 Stratford ISD,U.S. Senate,,Kerry Douglas McKennon,LIB,1,0,1,0
Sherman,Precinct 301 Stratford ISD,U.S. Senate,,David B. Collins,GRN,1,0,0,1
Sherman,Precinct 301 Stratford ISD,U.S. Senate,,Write-In,,0,0,0,0
Sherman,Precinct 301 Stratford ISD,U.S. House,13,Ronny Jackson,REP,11,0,6,5
Sherman,Precinct 301 Stratford ISD,U.S. House,13,Gus Trujillo,DEM,1,0,0,1
Sherman,Precinct 301 Stratford ISD,U.S. House,13,Jack B. Westbrook,LIB,1,0,1,0
Sherman,Precinct 301 Stratford ISD,Railroad Commissioner,,"James ""Jim"" Wright",REP,9,0,5,4
Sherman,Precinct 301 Stratford ISD,Railroad Commissioner,,Chrysta Castaneda,DEM,3,0,1,2
Sherman,Precinct 301 Stratford ISD,Railroad Commissioner,,Matt Sterett,LIB,1,0,1,0
Sherman,Precinct 301 Stratford ISD,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Sherman,Precinct 301 Stratford ISD,State Representative,87,Four Price,REP,12,0,6,6
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
