county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day,provisional
Clay,Pct. 8,Railroad Commissioner,,LBT,Matt Sterett,8,0,7,1,
Clay,Pct. 8,Railroad Commissioner,,GRE,Katija “Kat” Gruene,4,0,3,1,
Clay,Pct. 8,"Chief Justice, Supreme Court",,REP,Nathan Hecht,511,17,416,78,
Clay,Pct. 8,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,73,13,51,9,
Clay,Pct. 8,"Chief Justice, Supreme Court",,LBT,Mark Ash,13,0,8,5,
Clay,Pct. 8,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,526,17,427,82,
Clay,Pct. 8,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,69,14,47,8,
Clay,Pct. 8,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,509,17,417,75,
Clay,Pct. 8,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,74,13,48,13,
Clay,Pct. 8,"Justice, Supreme Court, Pl 7",,LBT,William Bryan Strange III,11,0,8,3,
Clay,Pct. 8,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,515,17,419,79,
Clay,Pct. 8,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,68,13,48,7,
Clay,Pct. 8,"Justice, Supreme Court, Pl 8",,LBT,Tom Oxford,11,0,6,5,
Clay,Pct. 8,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,515,17,418,80,
Clay,Pct. 8,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,79,12,56,11,
Clay,Pct. 8,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,522,17,424,81,
Clay,Pct. 8,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,72,13,49,10,
Clay,Pct. 8,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,524,17,426,81,
Clay,Pct. 8,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,71,13,48,10,
Clay,Pct. 8,"Member, State BoE, Dist 15",,REP,Jay Johnson,516,17,419,80,
Clay,Pct. 8,"Member, State BoE, Dist 15",,DEM,John Betancourt,80,14,55,11,
Clay,Pct. 8,State Representative,69,REP,James B. Frank,568,25,458,85,
Clay,Pct. 8,"Justice, 2nd Ct of App Dist, Pl 2",,REP,Dana Womack,574,24,462,88,
Clay,Pct. 8,"Justice, 2nd Ct of App Dist, Pl 6",,REP,Mike Wallach,522,18,420,84,
Clay,Pct. 8,"Justice, 2nd Ct of App Dist, Pl 6",,DEM,Delonia A. Watson,74,12,55,7,
Clay,Pct. 8,"Justice, 2nd Ct of App Dist, Pl 7",,REP,Brian Walker,572,24,461,87,
Clay,Pct. 8,"Dist Judge, 97th Judicial Dist",,REP,Jack McGaughey,576,25,464,87,
Clay,Pct. 8,"Dist Attorney, 97th Judicial Dist",,REP,Casey Polhemus,563,24,453,86,
Clay,Pct. 9,BALLOTS CAST TOTAL,,,,372,24,292,56,
Clay,Pct. 9,BALLOTS CAST BLANK,,,,1,1,0,0,
Clay,Pct. 9,President,,REP,Donald J. Trump / Michael R. Pence,321,15,259,47,
Clay,Pct. 9,President,,DEM,Joseph R. Biden / Kamala D. Harris,44,7,28,9,
Clay,Pct. 9,President,,LBT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",4,0,4,0,
Clay,Pct. 9,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0,
Clay,Pct. 9,President,,,Write-in,0,0,0,0,
Clay,Pct. 9,U.S. Senate,,REP,John Cornyn,314,16,252,46,
Clay,Pct. 9,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",44,6,30,8,
Clay,Pct. 9,U.S. Senate,,LBT,Kerry Douglas McKennon,6,0,6,0,
Clay,Pct. 9,U.S. Senate,,GRE,David B. Collins,0,0,0,0,
Clay,Pct. 9,U.S. Senate,,,Write-in,0,0,0,0,
Clay,Pct. 9,U.S. House,13,REP,Ronny Jackson,315,13,253,49,
Clay,Pct. 9,U.S. House,13,DEM,Gus Trujillo,40,8,26,6,
Clay,Pct. 9,U.S. House,13,LBT,Jack B. Westbrook,9,0,9,0,
Clay,Pct. 9,Railroad Commissioner,,REP,"James ""Jim"" Wright",314,15,252,47,
Clay,Pct. 9,Railroad Commissioner,,DEM,Chrysta Castaneda,41,6,30,5,
Clay,Pct. 9,Railroad Commissioner,,LBT,Matt Sterett,6,1,4,1,
Clay,Pct. 9,Railroad Commissioner,,GRE,Katija “Kat” Gruene,0,0,0,0,
Clay,Pct. 9,"Chief Justice, Supreme Court",,REP,Nathan Hecht,313,14,254,45,
Clay,Pct. 9,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,44,7,29,8,
Clay,Pct. 9,"Chief Justice, Supreme Court",,LBT,Mark Ash,3,1,2,0,
Clay,Pct. 9,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,322,17,260,45,
Clay,Pct. 9,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,39,5,27,7,
Clay,Pct. 9,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,313,13,255,45,
Clay,Pct. 9,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,45,8,30,7,
Clay,Pct. 9,"Justice, Supreme Court, Pl 7",,LBT,William Bryan Strange III,3,1,2,0,
Clay,Pct. 9,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,316,15,255,46,
Clay,Pct. 9,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,41,6,29,6,
Clay,Pct. 9,"Justice, Supreme Court, Pl 8",,LBT,Tom Oxford,5,1,4,0,
Clay,Pct. 9,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,314,15,255,44,
Clay,Pct. 9,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,47,7,32,8,
Clay,Pct. 9,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,319,15,258,46,
Clay,Pct. 9,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,41,6,29,6,
Clay,Pct. 9,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,317,16,256,45,
Clay,Pct. 9,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,43,6,30,7,
Clay,Pct. 9,"Member, State BoE, Dist 15",,REP,Jay Johnson,317,16,257,44,
Clay,Pct. 9,"Member, State BoE, Dist 15",,DEM,John Betancourt,43,6,29,8,
Clay,Pct. 9,State Representative,69,REP,James B. Frank,345,20,273,52,
Clay,Pct. 9,"Justice, 2nd Ct of App Dist, Pl 2",,REP,Dana Womack,344,20,273,51,
Clay,Pct. 9,"Justice, 2nd Ct of App Dist, Pl 6",,REP,Mike Wallach,317,15,256,46,
Clay,Pct. 9,"Justice, 2nd Ct of App Dist, Pl 6",,DEM,Delonia A. Watson,44,7,31,6,
Clay,Pct. 9,"Justice, 2nd Ct of App Dist, Pl 7",,REP,Brian Walker,343,19,273,51,
Clay,Pct. 9,"Dist Judge, 97th Judicial Dist",,REP,Jack McGaughey,346,20,273,53,
Clay,Pct. 9,"Dist Attorney, 97th Judicial Dist",,REP,Casey Polhemus,333,19,264,50,
Clay,Pct. 10,BALLOTS CAST TOTAL,,,,232,16,115,101,
Clay,Pct. 10,BALLOTS CAST BLANK,,,,0,0,0,0,
Clay,Pct. 10,President,,REP,Donald J. Trump / Michael R. Pence,201,12,104,85,
Clay,Pct. 10,President,,DEM,Joseph R. Biden / Kamala D. Harris,24,4,7,13,
Clay,Pct. 10,President,,LBT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",5,0,3,2,
Clay,Pct. 10,President,,GRE,Howie Hawkins / Angela Walker,2,0,1,1,
Clay,Pct. 10,President,,,Write-in,0,0,0,0,
Clay,Pct. 10,U.S. Senate,,REP,John Cornyn,198,10,102,86,
Clay,Pct. 10,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",23,2,7,14,
Clay,Pct. 10,U.S. Senate,,LBT,Kerry Douglas McKennon,3,1,2,0,
Clay,Pct. 10,U.S. Senate,,GRE,David B. Collins,4,1,2,1,
Clay,Pct. 10,U.S. Senate,,,Write-in,0,0,0,0,
Clay,Pct. 10,U.S. House,13,REP,Ronny Jackson,196,11,100,85,
Clay,Pct. 10,U.S. House,13,DEM,Gus Trujillo,25,4,7,14,
Clay,Pct. 10,U.S. House,13,LBT,Jack B. Westbrook,7,0,6,1,
Clay,Pct. 10,Railroad Commissioner,,REP,"James ""Jim"" Wright",194,10,102,82,
Clay,Pct. 10,Railroad Commissioner,,DEM,Chrysta Castaneda,23,3,6,14,
Clay,Pct. 10,Railroad Commissioner,,LBT,Matt Sterett,10,2,4,4,
Clay,Pct. 10,Railroad Commissioner,,GRE,Katija “Kat” Gruene,1,0,1,0,
Clay,Pct. 10,"Chief Justice, Supreme Court",,REP,Nathan Hecht,192,11,98,83,
Clay,Pct. 10,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,27,4,8,15,
Clay,Pct. 10,"Chief Justice, Supreme Court",,LBT,Mark Ash,10,0,7,3,
Clay,Pct. 10,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,206,12,106,88,
Clay,Pct. 10,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,22,3,7,12,
Clay,Pct. 10,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,197,11,102,84,
Clay,Pct. 10,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,21,3,6,12,
Clay,Pct. 10,"Justice, Supreme Court, Pl 7",,LBT,William Bryan Strange III,10,1,5,4,
Clay,Pct. 10,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,195,10,100,85,
Clay,Pct. 10,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,24,4,7,13,
Clay,Pct. 10,"Justice, Supreme Court, Pl 8",,LBT,Tom Oxford,8,1,5,2,
Clay,Pct. 10,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,201,12,103,86,
Clay,Pct. 10,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,25,3,9,13,
Clay,Pct. 10,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,204,12,105,87,
Clay,Pct. 10,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,24,3,8,13,
Clay,Pct. 10,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,202,11,105,86,
Clay,Pct. 10,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,26,4,8,14,
Clay,Pct. 10,"Member, State BoE, Dist 15",,REP,Jay Johnson,200,12,102,86,
Clay,Pct. 10,"Member, State BoE, Dist 15",,DEM,John Betancourt,25,3,10,12,
Clay,Pct. 10,State Representative,69,REP,James B. Frank,220,13,108,99,
Clay,Pct. 10,"Justice, 2nd Ct of App Dist, Pl 2",,REP,Dana Womack,219,13,107,99,
Clay,Pct. 10,"Justice, 2nd Ct of App Dist, Pl 6",,REP,Mike Wallach,205,11,106,88,
Clay,Pct. 10,"Justice, 2nd Ct of App Dist, Pl 6",,DEM,Delonia A. Watson,24,4,7,13,
Clay,Pct. 10,"Justice, 2nd Ct of App Dist, Pl 7",,REP,Brian Walker,220,13,108,99,
Clay,Pct. 10,"Dist Judge, 97th Judicial Dist",,REP,Jack McGaughey,220,13,110,97,
Clay,Pct. 10,"Dist Attorney, 97th Judicial Dist",,REP,Casey Polhemus,210,13,101,96,
Clay,Pct. 11,BALLOTS CAST TOTAL,,,,680,31,502,147,
Clay,Pct. 11,BALLOTS CAST BLANK,,,,0,0,0,0,
Clay,Pct. 11,President,,REP,Donald J. Trump / Michael R. Pence,616,23,464,129,
Clay,Pct. 11,President,,DEM,Joseph R. Biden / Kamala D. Harris,57,8,34,15,
Clay,Pct. 11,President,,LBT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",7,0,4,3,
Clay,Pct. 11,President,,GRE,Howie Hawkins / Angela Walker,0,0,0,0,
Clay,Pct. 11,President,,,Write-in,0,0,0,0,
Clay,Pct. 11,U.S. Senate,,REP,John Cornyn,602,20,458,124,
Clay,Pct. 11,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",59,8,36,15,
Clay,Pct. 11,U.S. Senate,,LBT,Kerry Douglas McKennon,9,0,4,5,
Clay,Pct. 11,U.S. Senate,,GRE,David B. Collins,1,0,0,1,
Clay,Pct. 11,U.S. Senate,,,Write-in,1,0,1,0,
Clay,Pct. 11,U.S. House,13,REP,Ronny Jackson,602,21,456,125,
Clay,Pct. 11,U.S. House,13,DEM,Gus Trujillo,55,7,37,11,
Clay,Pct. 11,U.S. House,13,LBT,Jack B. Westbrook,16,0,6,10,
Clay,Pct. 11,Railroad Commissioner,,REP,"James ""Jim"" Wright",601,20,453,128,
Clay,Pct. 11,Railroad Commissioner,,DEM,Chrysta Castaneda,52,7,33,12,
Clay,Pct. 11,Railroad Commissioner,,LBT,Matt Sterett,14,0,8,6,
Clay,Pct. 11,Railroad Commissioner,,GRE,Katija “Kat” Gruene,3,0,3,0,
Clay,Pct. 11,"Chief Justice, Supreme Court",,REP,Nathan Hecht,597,19,452,126,
Clay,Pct. 11,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,62,7,41,14,
Clay,Pct. 11,"Chief Justice, Supreme Court",,LBT,Mark Ash,10,0,4,6,
Clay,Pct. 11,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,611,19,460,132,
Clay,Pct. 11,"Justice, Supreme Court, Pl 6",,DEM,Kathy Cheng,56,6,37,13,
Clay,Pct. 11,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,605,20,459,126,
Clay,Pct. 11,"Justice, Supreme Court, Pl 7",,DEM,Staci Williams,58,6,39,13,
Clay,Pct. 11,"Justice, Supreme Court, Pl 7",,LBT,William Bryan Strange III,9,0,2,7,
Clay,Pct. 11,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,610,21,461,128,
Clay,Pct. 11,"Justice, Supreme Court, Pl 8",,DEM,Gisela D. Triana,53,6,35,12,
Clay,Pct. 11,"Justice, Supreme Court, Pl 8",,LBT,Tom Oxford,9,0,3,6,
Clay,Pct. 11,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,609,19,458,132,
Clay,Pct. 11,"Judge, Ct of Crim App, Pl 3",,DEM,Elizabeth Davis Frizell,60,7,39,14,
Clay,Pct. 11,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,614,20,460,134,
Clay,Pct. 11,"Judge, Ct of Crim App, Pl 4",,DEM,Tina Clinton,56,7,37,12,
Clay,Pct. 11,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,610,19,458,133,
Clay,Pct. 11,"Judge, Ct of Crim App, Pl 9",,DEM,Brandon Birmingham,56,7,37,12,
Clay,Pct. 11,"Member, State BoE, Dist 15",,REP,Jay Johnson,611,20,458,133,
Clay,Pct. 11,"Member, State BoE, Dist 15",,DEM,John Betancourt,57,7,37,13,
Clay,Pct. 11,State Representative,69,REP,James B. Frank,648,24,483,141,
Clay,Pct. 11,"Justice, 2nd Ct of App Dist, Pl 2",,REP,Dana Womack,646,23,482,141,
Clay,Pct. 11,"Justice, 2nd Ct of App Dist, Pl 6",,REP,Mike Wallach,611,20,460,131,
Clay,Pct. 11,"Justice, 2nd Ct of App Dist, Pl 6",,DEM,Delonia A. Watson,59,7,37,15,
Clay,Pct. 11,"Justice, 2nd Ct of App Dist, Pl 7",,REP,Brian Walker,643,24,479,140,
Clay,Pct. 11,"Dist Judge, 97th Judicial Dist",,REP,Jack McGaughey,649,25,483,141,
Clay,Pct. 11,"Dist Attorney, 97th Judicial Dist",,REP,Casey Polhemus,642,24,480,138,
Clay,Pct. 12,BALLOTS CAST TOTAL,,,,260,12,166,82,
Clay,Pct. 12,BALLOTS CAST BLANK,,,,0,0,0,0,
Clay,Pct. 12,President,,REP,Donald J. Trump / Michael R. Pence,231,7,149,75,
Clay,Pct. 12,President,,DEM,Joseph R. Biden / Kamala D. Harris,26,5,16,5,
Clay,Pct. 12,President,,LBT,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1,0,0,1,
Clay,Pct. 12,President,,GRE,Howie Hawkins / Angela Walker,1,0,0,1,
Clay,Pct. 12,President,,,Write-in,0,0,0,0,
Clay,Pct. 12,U.S. Senate,,REP,John Cornyn,227,7,147,73,
Clay,Pct. 12,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",29,5,18,6,
Clay,Pct. 12,U.S. Senate,,LBT,Kerry Douglas McKennon,3,0,1,2,
Clay,Pct. 12,U.S. Senate,,GRE,David B. Collins,1,0,0,1,
Clay,Pct. 12,U.S. Senate,,,Write-in,0,0,0,0,
Clay,Pct. 12,U.S. House,13,REP,Ronny Jackson,223,7,144,72,
Clay,Pct. 12,U.S. House,13,DEM,Gus Trujillo,31,5,18,8,
Clay,Pct. 12,U.S. House,13,LBT,Jack B. Westbrook,5,0,3,2,
Clay,Pct. 12,Railroad Commissioner,,REP,"James ""Jim"" Wright",224,7,146,71,
Clay,Pct. 12,Railroad Commissioner,,DEM,Chrysta Castaneda,28,5,16,7,
Clay,Pct. 12,Railroad Commissioner,,LBT,Matt Sterett,6,0,3,3,
Clay,Pct. 12,Railroad Commissioner,,GRE,Katija “Kat” Gruene,1,0,1,0,
Clay,Pct. 12,"Chief Justice, Supreme Court",,REP,Nathan Hecht,223,7,144,72,
Clay,Pct. 12,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,27,5,15,7,
Clay,Pct. 12,"Chief Justice, Supreme Court",,LBT,Mark Ash,7,0,5,2,
Clay,Pct. 12,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,229,7,147,75,
