candidate,office,district,party,county,precinct,votes,election_day,early_voting,absentee
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 102,208,19,160,29
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 102,13,3,10,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 102,7,2,5,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 102,840,83,709,48
Michael Antalan,State Senate,18,DEM,Austin,Precinct 102,187,17,142,28
Ben Leman,State Representative,13,REP,Austin,Precinct 102,943,93,792,58
Ballots Cast,,,,Austin,Precinct 103,1157,146,918,93
Donald J Trump,President,,REP,Austin,Precinct 103,974,131,781,62
Joseph R Biden,President,,DEM,Austin,Precinct 103,161,8,123,30
Jo Jorgensen,President,,LIB,Austin,Precinct 103,16,6,10,0
Howie Hawkins,President,,GRN,Austin,Precinct 103,2,0,2,0
Write-In Totals,President,,,Austin,Precinct 103,2,0,1,1
Tom Hoefling (W),President,,,Austin,Precinct 103,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 103,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 103,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 103,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 103,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 103,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 103,2,0,1,1
Brian Carroll (W),President,,,Austin,Precinct 103,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 103,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 103,0,0,0,0
Not Assigned,President,,,Austin,Precinct 103,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 103,981,131,783,67
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 103,140,6,112,22
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 103,20,7,13,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 103,5,1,2,2
Write-In Totals,U.S. Senate,,,Austin,Precinct 103,4,1,3,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 103,4,1,3,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 103,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 103,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 103,995,127,799,69
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 103,128,6,101,21
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 103,24,11,12,1
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 103,967,129,774,64
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 103,142,7,113,22
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 103,19,5,13,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 103,8,4,3,1
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 103,1005,137,796,72
Michael Antalan,State Senate,18,DEM,Austin,Precinct 103,133,8,108,17
Ben Leman,State Representative,13,REP,Austin,Precinct 103,1076,141,860,75
Ballots Cast,,,,Austin,Precinct 104,617,97,476,44
Donald J Trump,President,,REP,Austin,Precinct 104,512,78,401,33
Joseph R Biden,President,,DEM,Austin,Precinct 104,97,18,68,11
Jo Jorgensen,President,,LIB,Austin,Precinct 104,4,1,3,0
Howie Hawkins,President,,GRN,Austin,Precinct 104,1,0,1,0
Write-In Totals,President,,,Austin,Precinct 104,2,0,2,0
Tom Hoefling (W),President,,,Austin,Precinct 104,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 104,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 104,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 104,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 104,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 104,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 104,2,0,2,0
Brian Carroll (W),President,,,Austin,Precinct 104,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 104,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 104,0,0,0,0
Not Assigned,President,,,Austin,Precinct 104,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 104,525,80,407,38
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 104,82,15,61,6
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 104,6,2,4,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 104,1,0,1,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 104,0,0,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 104,0,0,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 104,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 104,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 104,525,77,410,38
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 104,79,14,59,6
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 104,8,4,4,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 104,506,76,399,31
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 104,92,17,65,10
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 104,12,3,7,2
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 104,0,0,0,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 104,520,79,404,37
Michael Antalan,State Senate,18,DEM,Austin,Precinct 104,89,17,65,7
Ben Leman,State Representative,13,REP,Austin,Precinct 104,574,90,449,35
Ballots Cast,,,,Austin,Precinct 205,1465,197,1115,153
Donald J Trump,President,,REP,Austin,Precinct 205,1140,149,898,93
Joseph R Biden,President,,DEM,Austin,Precinct 205,293,43,193,57
Jo Jorgensen,President,,LIB,Austin,Precinct 205,16,2,13,1
Howie Hawkins,President,,GRN,Austin,Precinct 205,0,0,0,0
Write-In Totals,President,,,Austin,Precinct 205,3,1,2,0
Tom Hoefling (W),President,,,Austin,Precinct 205,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 205,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 205,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 205,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 205,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 205,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 205,3,1,2,0
Brian Carroll (W),President,,,Austin,Precinct 205,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 205,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 205,0,0,0,0
Not Assigned,President,,,Austin,Precinct 205,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 205,1157,143,913,101
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 205,250,34,173,43
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 205,23,5,16,2
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 205,6,3,2,1
Write-In Totals,U.S. Senate,,,Austin,Precinct 205,4,4,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 205,4,4,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 205,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 205,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 205,1173,149,920,104
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 205,237,33,161,43
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 205,24,6,17,1
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 205,1142,148,901,93
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 205,254,36,171,47
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 205,26,6,18,2
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 205,12,1,9,2
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 205,1218,159,946,113
Michael Antalan,State Senate,18,DEM,Austin,Precinct 205,221,34,154,33
Ben Leman,State Representative,13,REP,Austin,Precinct 205,1328,176,1034,118
Ballots Cast,,,,Austin,Precinct 206,474,117,314,43
Donald J Trump,President,,REP,Austin,Precinct 206,391,105,266,20
Joseph R Biden,President,,DEM,Austin,Precinct 206,78,12,46,20
Jo Jorgensen,President,,LIB,Austin,Precinct 206,3,0,2,1
Howie Hawkins,President,,GRN,Austin,Precinct 206,1,0,0,1
Write-In Totals,President,,,Austin,Precinct 206,0,0,0,0
Tom Hoefling (W),President,,,Austin,Precinct 206,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 206,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 206,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 206,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 206,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 206,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 206,0,0,0,0
Brian Carroll (W),President,,,Austin,Precinct 206,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 206,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 206,0,0,0,0
Not Assigned,President,,,Austin,Precinct 206,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 206,389,99,269,21
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 206,73,12,41,20
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 206,8,3,4,1
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 206,1,1,0,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 206,0,0,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 206,0,0,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 206,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 206,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 206,400,103,275,22
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 206,62,8,34,20
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 206,9,4,4,1
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 206,398,102,274,22
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 206,66,11,35,20
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 206,3,1,1,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 206,1,0,1,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 206,409,106,279,24
Michael Antalan,State Senate,18,DEM,Austin,Precinct 206,59,10,30,19
Ben Leman,State Representative,13,REP,Austin,Precinct 206,441,112,301,28
Ballots Cast,,,,Austin,Precinct 207 & 208,907,287,560,60
Donald J Trump,President,,REP,Austin,Precinct 207 & 208,763,254,474,35
Joseph R Biden,President,,DEM,Austin,Precinct 207 & 208,133,30,79,24
Jo Jorgensen,President,,LIB,Austin,Precinct 207 & 208,6,2,4,0
Howie Hawkins,President,,GRN,Austin,Precinct 207 & 208,3,1,2,0
Write-In Totals,President,,,Austin,Precinct 207 & 208,1,0,1,0
Tom Hoefling (W),President,,,Austin,Precinct 207 & 208,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 207 & 208,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 207 & 208,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 207 & 208,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 207 & 208,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 207 & 208,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 207 & 208,1,0,1,0
Brian Carroll (W),President,,,Austin,Precinct 207 & 208,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 207 & 208,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 207 & 208,0,0,0,0
Not Assigned,President,,,Austin,Precinct 207 & 208,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 207 & 208,762,249,477,36
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 207 & 208,118,26,68,24
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 207 & 208,14,4,10,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 207 & 208,3,2,1,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 207 & 208,1,1,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 207 & 208,0,0,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 207 & 208,1,1,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 207 & 208,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 207 & 208,776,254,485,37
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 207 & 208,106,20,63,23
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 207 & 208,14,7,7,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 207 & 208,765,248,479,38
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 207 & 208,112,26,69,17
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 207 & 208,11,3,8,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 207 & 208,6,5,1,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 207 & 208,801,265,498,38
Michael Antalan,State Senate,18,DEM,Austin,Precinct 207 & 208,91,18,55,18
Ben Leman,State Representative,13,REP,Austin,Precinct 207 & 208,852,275,534,43
Ballots Cast,,,,Austin,Precinct 209,495,180,281,34
Donald J Trump,President,,REP,Austin,Precinct 209,391,161,217,13
Joseph R Biden,President,,DEM,Austin,Precinct 209,102,18,63,21
Jo Jorgensen,President,,LIB,Austin,Precinct 209,1,1,0,0
Howie Hawkins,President,,GRN,Austin,Precinct 209,0,0,0,0
Write-In Totals,President,,,Austin,Precinct 209,0,0,0,0
Tom Hoefling (W),President,,,Austin,Precinct 209,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 209,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 209,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 209,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 209,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 209,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 209,0,0,0,0
Brian Carroll (W),President,,,Austin,Precinct 209,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 209,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 209,0,0,0,0
Not Assigned,President,,,Austin,Precinct 209,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 209,391,156,221,14
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 209,94,18,57,19
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 209,7,4,2,1
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 209,1,0,1,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 209,0,0,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 209,0,0,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 209,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 209,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 209,406,162,228,16
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 209,86,17,51,18
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 209,2,1,1,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 209,393,156,221,16
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 209,92,19,55,18
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 209,3,3,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 209,3,1,2,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 209,411,164,229,18
Michael Antalan,State Senate,18,DEM,Austin,Precinct 209,76,15,45,16
Ben Leman,State Representative,13,REP,Austin,Precinct 209,445,170,256,19
Ballots Cast,,,,Austin,Precinct 210,567,239,281,47
Donald J Trump,President,,REP,Austin,Precinct 210,477,221,223,33
Joseph R Biden,President,,DEM,Austin,Precinct 210,87,17,57,13
Jo Jorgensen,President,,LIB,Austin,Precinct 210,0,0,0,0
Howie Hawkins,President,,GRN,Austin,Precinct 210,1,0,1,0
Write-In Totals,President,,,Austin,Precinct 210,0,0,0,0
Tom Hoefling (W),President,,,Austin,Precinct 210,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 210,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 210,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 210,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 210,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 210,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 210,0,0,0,0
Brian Carroll (W),President,,,Austin,Precinct 210,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 210,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 210,0,0,0,0
Not Assigned,President,,,Austin,Precinct 210,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 210,474,216,223,35
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 210,81,16,54,11
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 210,3,2,1,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 210,0,0,0,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 210,0,0,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 210,0,0,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 210,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 210,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 210,481,220,225,36
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 210,75,15,50,10
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 210,3,1,2,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 210,471,215,222,34
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 210,75,14,51,10
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 210,7,3,4,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 210,1,1,0,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 210,489,220,233,36
Michael Antalan,State Senate,18,DEM,Austin,Precinct 210,68,15,44,9
Ben Leman,State Representative,13,REP,Austin,Precinct 210,516,226,254,36
Ballots Cast,,,,Austin,Precinct 211,299,53,225,21
Donald J Trump,President,,REP,Austin,Precinct 211,258,49,202,7
Joseph R Biden,President,,DEM,Austin,Precinct 211,38,4,22,12
Jo Jorgensen,President,,LIB,Austin,Precinct 211,2,0,1,1
Howie Hawkins,President,,GRN,Austin,Precinct 211,0,0,0,0
Write-In Totals,President,,,Austin,Precinct 211,1,0,0,1
Tom Hoefling (W),President,,,Austin,Precinct 211,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 211,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 211,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 211,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 211,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 211,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 211,1,0,0,1
Brian Carroll (W),President,,,Austin,Precinct 211,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 211,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 211,0,0,0,0
Not Assigned,President,,,Austin,Precinct 211,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 211,255,45,201,9
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 211,35,6,18,11
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 211,4,1,3,0
David B. Collins,U.S. Senate,,GRN,Austin,Precinct 211,1,0,1,0
Write-In Totals,U.S. Senate,,,Austin,Precinct 211,0,0,0,0
Write-In: Uncertified,U.S. Senate,,,Austin,Precinct 211,0,0,0,0
Ricardo Turullols-Bonilla,U.S. Senate,,,Austin,Precinct 211,0,0,0,0
Not Assigned,U.S. Senate,,,Austin,Precinct 211,0,0,0,0
Michael McCaul,U.S. House,10,REP,Austin,Precinct 211,262,46,207,9
Mike Siegel,U.S. House,10,DEM,Austin,Precinct 211,30,6,14,10
Roy Eriksen,U.S. House,10,LIB,Austin,Precinct 211,4,1,3,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Austin,Precinct 211,253,45,199,9
Chrysta Castaneda,Railroad Commissioner,,DEM,Austin,Precinct 211,36,7,18,11
Matt Sterett,Railroad Commissioner,,LIB,Austin,Precinct 211,4,0,4,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Austin,Precinct 211,4,1,3,0
Lois W. Kolkhorst,State Senate,18,REP,Austin,Precinct 211,261,46,205,10
Michael Antalan,State Senate,18,DEM,Austin,Precinct 211,34,6,17,11
Ben Leman,State Representative,13,REP,Austin,Precinct 211,282,50,217,15
Ballots Cast,,,,Austin,Precinct 312,498,115,360,23
Donald J Trump,President,,REP,Austin,Precinct 312,451,110,330,11
Joseph R Biden,President,,DEM,Austin,Precinct 312,40,4,26,10
Jo Jorgensen,President,,LIB,Austin,Precinct 312,4,1,2,1
Howie Hawkins,President,,GRN,Austin,Precinct 312,1,0,1,0
Write-In Totals,President,,,Austin,Precinct 312,1,0,1,0
Tom Hoefling (W),President,,,Austin,Precinct 312,0,0,0,0
Gloria La Riva (W),President,,,Austin,Precinct 312,0,0,0,0
Abram Loeb (W),President,,,Austin,Precinct 312,0,0,0,0
Robert Marrow (W),President,,,Austin,Precinct 312,0,0,0,0
Kasey Wells (W),President,,,Austin,Precinct 312,0,0,0,0
President R. Boddie (W),President,,,Austin,Precinct 312,0,0,0,0
Write-In: Uncertified,President,,,Austin,Precinct 312,1,0,1,0
Brian Carroll (W),President,,,Austin,Precinct 312,0,0,0,0
Todd Cella (W),President,,,Austin,Precinct 312,0,0,0,0
Jesse Cuellar (W),President,,,Austin,Precinct 312,0,0,0,0
Not Assigned,President,,,Austin,Precinct 312,0,0,0,0
John Cornyn,U.S. Senate,,REP,Austin,Precinct 312,449,111,327,11
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Austin,Precinct 312,40,3,26,11
Kerry Douglas McKennon,U.S. Senate,,LIB,Austin,Precinct 312,2,0,2,0
