id,county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
23,Jim Hogg,Precinct 1,Railroad Commissioner,,,Over Votes,0,0,0,0
24,Jim Hogg,Precinct 1,Railroad Commissioner,,,Under Votes,20,41,31,92
25,Jim Hogg,Precinct 1,State Senate,21,,Frank Pomeroy,5,37,47,89
26,Jim Hogg,Precinct 1,State Senate,21,,Judith Zaffirini,95,198,115,408
27,Jim Hogg,Precinct 1,State Senate,21,,Over Votes,0,0,0,0
28,Jim Hogg,Precinct 1,State Senate,21,,Under Votes,11,22,23,56
29,Jim Hogg,Precinct 1,State Representative,31,,Marian Knowlton,3,39,49,91
30,Jim Hogg,Precinct 1,State Representative,31,,Ryan Guillen,98,192,114,404
31,Jim Hogg,Precinct 1,State Representative,31,,Over Votes,0,0,0,0
32,Jim Hogg,Precinct 1,State Representative,31,,Under Votes,10,26,22,58
33,Jim Hogg,Precinct 2,Ballots Cast,,,,,,,540
34,Jim Hogg,Precinct 2,President,,REP,Donald J Trump,28,93,91,212
35,Jim Hogg,Precinct 2,President,,DEM,Joseph R Biden,92,176,48,316
36,Jim Hogg,Precinct 2,President,,LIB,Jo Jorgensen,1,0,0,1
37,Jim Hogg,Precinct 2,President,,GRN,Howie Hawkins,0,1,0,1
38,Jim Hogg,Precinct 2,President,,,Over Votes,0,1,0,1
39,Jim Hogg,Precinct 2,President,,,Under Votes,1,8,0,9
40,Jim Hogg,Precinct 2,U.S. Senate,,REP,John Cornyn,25,80,75,180
41,Jim Hogg,Precinct 2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",88,164,47,299
42,Jim Hogg,Precinct 2,U.S. Senate,,LIB,Kerry Douglas McKennon,1,2,1,4
43,Jim Hogg,Precinct 2,U.S. Senate,,GRN,David B. Collins,0,3,2,5
44,Jim Hogg,Precinct 2,U.S. Senate,,,Over Votes,0,2,0,2
45,Jim Hogg,Precinct 2,U.S. Senate,,,Under Votes,8,28,14,50
46,Jim Hogg,Precinct 2,U.S. House,15,,Monica De La Cruz-Hernandez,9,58,59,126
47,Jim Hogg,Precinct 2,U.S. House,15,,Vicente Gonzalez,108,199,69,376
48,Jim Hogg,Precinct 2,U.S. House,15,,Ross Lynn Leone,0,0,0,0
49,Jim Hogg,Precinct 2,U.S. House,15,,Over Votes,0,0,0,0
50,Jim Hogg,Precinct 2,U.S. House,15,,Under Votes,5,22,11,38
51,Jim Hogg,Precinct 2,Railroad Commissioner,,REP,"James ""Jim"" Wright",18,59,64,141
52,Jim Hogg,Precinct 2,Railroad Commissioner,,DEM,Chrysta Castaneda,93,182,58,333
53,Jim Hogg,Precinct 2,Railroad Commissioner,,LIB,Matt Sterett,0,3,1,4
54,Jim Hogg,Precinct 2,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,3,1,4
55,Jim Hogg,Precinct 2,Railroad Commissioner,,,Over Votes,0,0,0,0
56,Jim Hogg,Precinct 2,Railroad Commissioner,,,Under Votes,11,32,15,58
57,Jim Hogg,Precinct 2,State Senate,21,,Frank Pomeroy,8,44,45,97
58,Jim Hogg,Precinct 2,State Senate,21,,Judith Zaffirini,108,213,80,401
59,Jim Hogg,Precinct 2,State Senate,21,,Over Votes,0,0,0,0
60,Jim Hogg,Precinct 2,State Senate,21,,Under Votes,6,22,14,42
61,Jim Hogg,Precinct 2,State Representative,31,,Marian Knowlton,9,44,40,93
62,Jim Hogg,Precinct 2,State Representative,31,,Ryan Guillen,109,214,89,412
63,Jim Hogg,Precinct 2,State Representative,31,,Over Votes,0,0,0,0
64,Jim Hogg,Precinct 2,State Representative,31,,Under Votes,4,21,10,35
65,Jim Hogg,Precinct 3,Ballots Cast,,,,,,,483
66,Jim Hogg,Precinct 3,President,,REP,Donald J Trump,34,91,77,202
67,Jim Hogg,Precinct 3,President,,DEM,Joseph R Biden,86,120,57,263
68,Jim Hogg,Precinct 3,President,,LIB,Jo Jorgensen,0,0,0,0
69,Jim Hogg,Precinct 3,President,,GRN,Howie Hawkins,0,1,0,1
70,Jim Hogg,Precinct 3,President,,,Over Votes,1,0,2,3
71,Jim Hogg,Precinct 3,President,,,Under Votes,3,7,4,14
72,Jim Hogg,Precinct 3,U.S. Senate,,REP,John Cornyn,33,73,60,166
73,Jim Hogg,Precinct 3,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",75,115,58,248
74,Jim Hogg,Precinct 3,U.S. Senate,,LIB,Kerry Douglas McKennon,0,3,6,9
75,Jim Hogg,Precinct 3,U.S. Senate,,GRN,David B. Collins,2,1,3,6
76,Jim Hogg,Precinct 3,U.S. Senate,,,Over Votes,0,0,0,0
77,Jim Hogg,Precinct 3,U.S. Senate,,,Under Votes,14,27,13,54
78,Jim Hogg,Precinct 3,U.S. House,15,,Monica De La Cruz-Hernandez,15,61,48,124
79,Jim Hogg,Precinct 3,U.S. House,15,,Vicente Gonzalez,97,133,79,309
80,Jim Hogg,Precinct 3,U.S. House,15,,Ross Lynn Leone,1,0,0,1
81,Jim Hogg,Precinct 3,U.S. House,15,,Over Votes,0,1,0,1
82,Jim Hogg,Precinct 3,U.S. House,15,,Under Votes,11,24,13,48
83,Jim Hogg,Precinct 3,Railroad Commissioner,,REP,"James ""Jim"" Wright",25,62,54,141
84,Jim Hogg,Precinct 3,Railroad Commissioner,,DEM,Chrysta Castaneda,80,122,66,268
85,Jim Hogg,Precinct 3,Railroad Commissioner,,LIB,Matt Sterett,0,0,3,3
86,Jim Hogg,Precinct 3,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
87,Jim Hogg,Precinct 3,Railroad Commissioner,,,Over Votes,0,0,1,1
88,Jim Hogg,Precinct 3,Railroad Commissioner,,,Under Votes,19,35,16,70
89,Jim Hogg,Precinct 3,State Senate,21,,Frank Pomeroy,18,44,35,97
90,Jim Hogg,Precinct 3,State Senate,21,,Judith Zaffirini,90,152,93,335
91,Jim Hogg,Precinct 3,State Senate,21,,Over Votes,0,0,0,0
92,Jim Hogg,Precinct 3,State Senate,21,,Under Votes,16,23,12,51
93,Jim Hogg,Precinct 3,State Representative,31,,Marian Knowlton,14,37,38,89
94,Jim Hogg,Precinct 3,State Representative,31,,Ryan Guillen,99,161,87,347
95,Jim Hogg,Precinct 3,State Representative,31,,Over Votes,0,0,2,2
96,Jim Hogg,Precinct 3,State Representative,31,,Under Votes,11,21,13,45
97,Jim Hogg,Precinct 4,Ballots Cast,,,,,,,506
98,Jim Hogg,Precinct 4,President,,REP,Donald J Trump,24,105,67,196
99,Jim Hogg,Precinct 4,President,,DEM,Joseph R Biden,96,31,66,293
100,Jim Hogg,Precinct 4,President,,LIB,Jo Jorgensen,0,1,2,3
101,Jim Hogg,Precinct 4,President,,GRN,Howie Hawkins,0,0,0,0
102,Jim Hogg,Precinct 4,President,,,Over Votes,1,0,0,1
103,Jim Hogg,Precinct 4,President,,,Under Votes,4,6,3,13
104,Jim Hogg,Precinct 4,U.S. Senate,,REP,John Cornyn,19,85,42,146
105,Jim Hogg,Precinct 4,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",88,124,66,278
106,Jim Hogg,Precinct 4,U.S. Senate,,LIB,Kerry Douglas McKennon,1,2,4,7
107,Jim Hogg,Precinct 4,U.S. Senate,,GRN,David B. Collins,2,2,3,7
108,Jim Hogg,Precinct 4,U.S. Senate,,,Over Votes,0,0,0,0
109,Jim Hogg,Precinct 4,U.S. Senate,,,Under Votes,15,30,23,68
110,Jim Hogg,Precinct 4,U.S. House,15,,Monica De La Cruz-Hernandez,13,68,31,112
111,Jim Hogg,Precinct 4,U.S. House,15,,Vicente Gonzalez,105,144,89,338
112,Jim Hogg,Precinct 4,U.S. House,15,,Ross Lynn Leone,0,4,3,7
113,Jim Hogg,Precinct 4,U.S. House,15,,Over Votes,0,0,0,0
114,Jim Hogg,Precinct 4,U.S. House,15,,Under Votes,7,27,15,49
115,Jim Hogg,Precinct 4,Railroad Commissioner,,REP,"James ""Jim"" Wright",16,70,34,120
116,Jim Hogg,Precinct 4,Railroad Commissioner,,DEM,Chrysta Castaneda,92,121,70,283
117,Jim Hogg,Precinct 4,Railroad Commissioner,,LIB,Matt Sterett,0,3,1,4
118,Jim Hogg,Precinct 4,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,4,3,7
119,Jim Hogg,Precinct 4,Railroad Commissioner,,,Over Votes,0,0,0,0
120,Jim Hogg,Precinct 4,Railroad Commissioner,,,Under Votes,17,45,30,92
121,Jim Hogg,Precinct 4,State Senate,21,,Frank Pomeroy,13,55,29,97
122,Jim Hogg,Precinct 4,State Senate,21,,Judith Zaffirini,105,159,94,358
123,Jim Hogg,Precinct 4,State Senate,21,,Over Votes,0,0,0,0
124,Jim Hogg,Precinct 4,State Senate,21,,Under Votes,7,29,15,51
125,Jim Hogg,Precinct 4,State Representative,31,,Marian Knowlton,10,48,25,83
126,Jim Hogg,Precinct 4,State Representative,31,,Ryan Guillen,108,161,100,369
127,Jim Hogg,Precinct 4,State Representative,31,,Over Votes,0,0,0,0
128,Jim Hogg,Precinct 4,State Representative,31,,Under Votes,7,34,13,54
129,Jim Hogg,Precinct 5,Ballots Cast,,,,,,,11
130,Jim Hogg,Precinct 5,President,,REP,Donald J Trump,0,4,0,4
131,Jim Hogg,Precinct 5,President,,DEM,Joseph R Biden,3,2,2,7
132,Jim Hogg,Precinct 5,President,,LIB,Jo Jorgensen,0,0,0,0
133,Jim Hogg,Precinct 5,President,,GRN,Howie Hawkins,0,0,0,0
134,Jim Hogg,Precinct 5,President,,,Over Votes,0,0,0,0
135,Jim Hogg,Precinct 5,President,,,Under Votes,0,0,0,0
136,Jim Hogg,Precinct 5,U.S. Senate,,REP,John Cornyn,0,4,0,4
137,Jim Hogg,Precinct 5,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",2,2,1,5
138,Jim Hogg,Precinct 5,U.S. Senate,,LIB,Kerry Douglas McKennon,1,0,1,2
139,Jim Hogg,Precinct 5,U.S. Senate,,GRN,David B. Collins,0,0,0,0
140,Jim Hogg,Precinct 5,U.S. Senate,,,Over Votes,0,0,0,0
141,Jim Hogg,Precinct 5,U.S. Senate,,,Under Votes,0,0,0,0
142,Jim Hogg,Precinct 5,U.S. House,15,,Monica De La Cruz-Hernandez,0,4,0,4
143,Jim Hogg,Precinct 5,U.S. House,15,,Vicente Gonzalez,3,2,2,7
144,Jim Hogg,Precinct 5,U.S. House,15,,Ross Lynn Leone,0,0,0,0
145,Jim Hogg,Precinct 5,U.S. House,15,,Over Votes,0,0,0,0
146,Jim Hogg,Precinct 5,U.S. House,15,,Under Votes,0,0,0,0
147,Jim Hogg,Precinct 5,Railroad Commissioner,,REP,"James ""Jim"" Wright",0,4,0,4
148,Jim Hogg,Precinct 5,Railroad Commissioner,,DEM,Chrysta Castaneda,3,2,2,7
149,Jim Hogg,Precinct 5,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0
150,Jim Hogg,Precinct 5,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
151,Jim Hogg,Precinct 5,Railroad Commissioner,,,Over Votes,0,0,0,0
152,Jim Hogg,Precinct 5,Railroad Commissioner,,,Under Votes,0,0,0,0
153,Jim Hogg,Precinct 5,State Senate,21,,Frank Pomeroy,0,4,0,4
154,Jim Hogg,Precinct 5,State Senate,21,,Judith Zaffirini,2,2,2,6
155,Jim Hogg,Precinct 5,State Senate,21,,Over Votes,0,0,0,0
156,Jim Hogg,Precinct 5,State Senate,21,,Under Votes,1,0,0,1
157,Jim Hogg,Precinct 5,State Representative,31,,Marian Knowlton,0,4,0,4
158,Jim Hogg,Precinct 5,State Representative,31,,Ryan Guillen,3,2,2,7
159,Jim Hogg,Precinct 5,State Representative,31,,Over Votes,0,0,0,0
160,Jim Hogg,Precinct 5,State Representative,31,,Under Votes,0,0,0,0
