candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
Tom Hoefling (W),President ,,,Cass,Precinct 5,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 5,0,0,0,0
Over Votes,President ,,,Cass,Precinct 5,0,0,0,0
Under Votes,President ,,,Cass,Precinct 5,0,2,0,2
John Cornyn,U.S. Senate,,,Cass,Precinct 5,48,218,207,473
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 5,36,45,35,116
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 5,0,0,2,2
David B. Collins,U.S. Senate,,,Cass,Precinct 5,1,1,2,4
Over Votes,U.S. Senate,,,Cass,Precinct 5,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 5,3,6,6,15
Pat Fallon,U.S. House,4,,Cass,Precinct 5,46,217,206,469
Russell Foster,U.S. House,4,,Cass,Precinct 5,35,44,30,109
Lou Antonelli,U.S. House,4,,Cass,Precinct 5,0,2,6,8
Tracey Jones (W),U.S. House,4,,Cass,Precinct 5,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 5,0,1,0,1
Tracy Jones (W),U.S. House,4,,Cass,Precinct 5,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 5,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 5,7,6,10,23
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 5,49,216,204,469
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 5,36,43,34,113
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 5,0,2,1,3
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 5,0,2,3,5
Over Votes,Railroad Commissioner,,,Cass,Precinct 5,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 5,3,7,10,20
Bryan Hughes,State Senate,1,,Cass,Precinct 5,47,213,210,470
Audrey Spanko,State Senate,1,,Cass,Precinct 5,35,48,34,117
Over Votes,State Senate,1,,Cass,Precinct 5,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 5,6,9,8,23
Chris Paddie,State Representative,9,,Cass,Precinct 5,59,229,220,508
Over Votes,State Representative,9,,Cass,Precinct 5,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 5,29,41,32,102
Donald J Trump,President ,,,Cass,Precinct 7,76,612,430,1118
Joseph R Biden,President ,,,Cass,Precinct 7,56,145,56,257
Jo Jorgensen ,President ,,,Cass,Precinct 7,0,6,1,7
Howie Hawkins,President ,,,Cass,Precinct 7,0,0,1,1
Tom Hoefling (W),President ,,,Cass,Precinct 7,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 7,0,0,0,0
Over Votes,President ,,,Cass,Precinct 7,1,0,0,1
Under Votes,President ,,,Cass,Precinct 7,1,1,0,2
John Cornyn,U.S. Senate,,,Cass,Precinct 7,77,599,417,1093
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 7,53,136,56,245
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 7,1,4,7,12
David B. Collins,U.S. Senate,,,Cass,Precinct 7,0,3,0,3
Over Votes,U.S. Senate,,,Cass,Precinct 7,1,0,0,1
Under Votes,U.S. Senate,,,Cass,Precinct 7,2,22,8,32
Pat Fallon,U.S. House,4,,Cass,Precinct 7,75,588,408,1071
Russell Foster,U.S. House,4,,Cass,Precinct 7,52,130,59,241
Lou Antonelli,U.S. House,4,,Cass,Precinct 7,1,9,9,19
Tracey Jones (W),U.S. House,4,,Cass,Precinct 7,0,0,1,1
Tracy Jones (W),U.S. House,4,,Cass,Precinct 7,0,7,0,7
Tracy Jones (W),U.S. House,4,,Cass,Precinct 7,0,1,0,1
Over Votes,U.S. House,4,,Cass,Precinct 7,1,0,0,1
Under Votes,U.S. House,4,,Cass,Precinct 7,5,29,11,45
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 7,74,600,409,1083
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 7,54,129,51,234
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 7,2,10,11,23
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 7,0,1,1,2
Over Votes,Railroad Commissioner,,,Cass,Precinct 7,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 7,4,24,16,44
Bryan Hughes,State Senate,1,,Cass,Precinct 7,75,598,418,1091
Audrey Spanko,State Senate,1,,Cass,Precinct 7,52,135,55,242
Over Votes,State Senate,1,,Cass,Precinct 7,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 7,7,31,15,53
Chris Paddie,State Representative,9,,Cass,Precinct 7,88,637,435,1160
Over Votes,State Representative,9,,Cass,Precinct 7,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 7,46,127,53,226
Donald J Trump,President ,,,Cass,Precinct 6,9,206,135,350
Joseph R Biden,President ,,,Cass,Precinct 6,9,26,5,40
Jo Jorgensen ,President ,,,Cass,Precinct 6,0,1,0,1
Howie Hawkins,President ,,,Cass,Precinct 6,0,1,0,1
Tom Hoefling (W),President ,,,Cass,Precinct 6,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 6,0,0,0,0
Over Votes,President ,,,Cass,Precinct 6,0,0,0,0
Under Votes,President ,,,Cass,Precinct 6,0,0,0,0
John Cornyn,U.S. Senate,,,Cass,Precinct 6,9,202,127,338
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 6,9,24,8,41
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 6,0,1,2,3
David B. Collins,U.S. Senate,,,Cass,Precinct 6,0,0,0,0
Over Votes,U.S. Senate,,,Cass,Precinct 6,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 6,0,7,3,10
Pat Fallon,U.S. House,4,,Cass,Precinct 6,8,198,128,334
Russell Foster,U.S. House,4,,Cass,Precinct 6,9,25,6,40
Lou Antonelli,U.S. House,4,,Cass,Precinct 6,0,0,2,2
Tracey Jones (W),U.S. House,4,,Cass,Precinct 6,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 6,0,1,0,1
Tracy Jones (W),U.S. House,4,,Cass,Precinct 6,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 6,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 6,1,10,4,15
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 6,8,201,127,336
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 6,8,25,7,40
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 6,1,0,2,3
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 6,0,0,1,1
Over Votes,Railroad Commissioner,,,Cass,Precinct 6,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 6,1,8,3,12
Bryan Hughes,State Senate,1,,Cass,Precinct 6,8,203,133,344
Audrey Spanko,State Senate,1,,Cass,Precinct 6,9,24,6,39
Over Votes,State Senate,1,,Cass,Precinct 6,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 6,1,7,1,9
Chris Paddie,State Representative,9,,Cass,Precinct 6,9,211,135,355
Over Votes,State Representative,9,,Cass,Precinct 6,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 6,9,23,5,37
Donald J Trump,President ,,,Cass,Precinct 9,67,247,225,539
Joseph R Biden,President ,,,Cass,Precinct 9,54,95,49,198
Jo Jorgensen ,President ,,,Cass,Precinct 9,1,2,2,5
Howie Hawkins,President ,,,Cass,Precinct 9,0,0,0,0
Tom Hoefling (W),President ,,,Cass,Precinct 9,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 9,0,0,0,0
Over Votes,President ,,,Cass,Precinct 9,0,0,0,0
Under Votes,President ,,,Cass,Precinct 9,1,1,5,7
John Cornyn,U.S. Senate,,,Cass,Precinct 9,69,242,220,531
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 9,49,91,53,193
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 9,1,3,3,7
David B. Collins,U.S. Senate,,,Cass,Precinct 9,1,1,2,4
Over Votes,U.S. Senate,,,Cass,Precinct 9,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 9,3,8,3,14
Pat Fallon,U.S. House,4,,Cass,Precinct 9,63,233,221,517
Russell Foster,U.S. House,4,,Cass,Precinct 9,51,86,48,185
Lou Antonelli,U.S. House,4,,Cass,Precinct 9,2,8,3,13
Tracey Jones (W),U.S. House,4,,Cass,Precinct 9,0,1,0,1
Tracy Jones (W),U.S. House,4,,Cass,Precinct 9,0,5,0,5
Tracy Jones (W),U.S. House,4,,Cass,Precinct 9,0,2,0,2
Over Votes,U.S. House,4,,Cass,Precinct 9,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 9,7,10,9,26
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 9,72,240,223,535
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 9,46,84,40,170
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 9,1,9,4,14
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 9,0,1,4,5
Over Votes,Railroad Commissioner,,,Cass,Precinct 9,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 9,4,11,10,25
Bryan Hughes,State Senate,1,,Cass,Precinct 9,64,243,225,532
Audrey Spanko,State Senate,1,,Cass,Precinct 9,51,89,47,187
Over Votes,State Senate,1,,Cass,Precinct 9,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 9,8,13,9,30
Chris Paddie,State Representative,9,,Cass,Precinct 9,69,262,242,573
Over Votes,State Representative,9,,Cass,Precinct 9,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 9,54,83,39,176
Donald J Trump,President ,,,Cass,Precinct 11,18,199,115,332
Joseph R Biden,President ,,,Cass,Precinct 11,35,75,34,144
Jo Jorgensen ,President ,,,Cass,Precinct 11,1,3,0,4
Howie Hawkins,President ,,,Cass,Precinct 11,0,0,0,0
Tom Hoefling (W),President ,,,Cass,Precinct 11,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 11,0,0,0,0
Over Votes,President ,,,Cass,Precinct 11,0,0,0,0
Under Votes,President ,,,Cass,Precinct 11,0,3,1,4
John Cornyn,U.S. Senate,,,Cass,Precinct 11,19,199,109,327
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 11,33,71,34,138
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 11,1,2,1,4
David B. Collins,U.S. Senate,,,Cass,Precinct 11,1,0,1,2
Over Votes,U.S. Senate,,,Cass,Precinct 11,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 11,0,8,5,13
Pat Fallon,U.S. House,4,,Cass,Precinct 11,18,192,114,324
Russell Foster,U.S. House,4,,Cass,Precinct 11,35,70,29,134
Lou Antonelli,U.S. House,4,,Cass,Precinct 11,0,3,1,4
Tracey Jones (W),U.S. House,4,,Cass,Precinct 11,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 11,0,4,0,4
Tracy Jones (W),U.S. House,4,,Cass,Precinct 11,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 11,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 11,1,11,6,18
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 11,19,201,113,333
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 11,35,69,31,135
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 11,0,4,0,4
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 11,0,1,0,1
Over Votes,Railroad Commissioner,,,Cass,Precinct 11,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 11,0,5,6,11
Bryan Hughes,State Senate,1,,Cass,Precinct 11,19,202,110,331
Audrey Spanko,State Senate,1,,Cass,Precinct 11,35,70,31,136
Over Votes,State Senate,1,,Cass,Precinct 11,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 11,0,8,9,17
Chris Paddie,State Representative,9,,Cass,Precinct 11,26,212,119,357
Over Votes,State Representative,9,,Cass,Precinct 11,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 11,28,68,31,127
Donald J Trump,President ,,,Cass,Precinct 15,31,290,50,371
Joseph R Biden,President ,,,Cass,Precinct 15,17,35,5,57
Jo Jorgensen ,President ,,,Cass,Precinct 15,0,2,0,2
Howie Hawkins,President ,,,Cass,Precinct 15,0,0,1,1
Tom Hoefling (W),President ,,,Cass,Precinct 15,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 15,0,0,0,0
Over Votes,President ,,,Cass,Precinct 15,0,0,0,0
Under Votes,President ,,,Cass,Precinct 15,0,1,0,1
John Cornyn,U.S. Senate,,,Cass,Precinct 15,31,284,50,365
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 15,16,34,4,54
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 15,0,3,1,4
David B. Collins,U.S. Senate,,,Cass,Precinct 15,1,3,1,5
Over Votes,U.S. Senate,,,Cass,Precinct 15,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 15,0,4,0,4
Pat Fallon,U.S. House,4,,Cass,Precinct 15,30,269,45,344
Russell Foster,U.S. House,4,,Cass,Precinct 15,17,33,4,54
Lou Antonelli,U.S. House,4,,Cass,Precinct 15,1,2,4,7
Tracey Jones (W),U.S. House,4,,Cass,Precinct 15,0,2,0,2
Tracy Jones (W),U.S. House,4,,Cass,Precinct 15,0,12,1,13
Tracy Jones (W),U.S. House,4,,Cass,Precinct 15,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 15,0,0,0,0
Under Votes,U.S. House,4,,Cass,Precinct 15,0,10,2,12
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 15,32,287,47,366
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 15,15,30,4,49
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 15,1,3,4,8
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 15,0,0,1,1
Over Votes,Railroad Commissioner,,,Cass,Precinct 15,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 15,0,8,0,8
Bryan Hughes,State Senate,1,,Cass,Precinct 15,31,293,50,374
Audrey Spanko,State Senate,1,,Cass,Precinct 15,17,29,6,52
Over Votes,State Senate,1,,Cass,Precinct 15,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 15,0,6,0,6
Chris Paddie,State Representative,9,,Cass,Precinct 15,36,300,54,390
Over Votes,State Representative,9,,Cass,Precinct 15,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 15,12,28,2,42
Donald J Trump,President ,,,Cass,Precinct 12,48,283,122,453
Joseph R Biden,President ,,,Cass,Precinct 12,25,102,46,173
Jo Jorgensen ,President ,,,Cass,Precinct 12,0,3,3,6
Howie Hawkins,President ,,,Cass,Precinct 12,0,2,0,2
Tom Hoefling (W),President ,,,Cass,Precinct 12,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 12,0,0,0,0
Over Votes,President ,,,Cass,Precinct 12,1,0,0,1
Under Votes,President ,,,Cass,Precinct 12,0,0,1,1
John Cornyn,U.S. Senate,,,Cass,Precinct 12,47,283,113,443
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 12,26,94,50,170
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 12,1,2,4,7
David B. Collins,U.S. Senate,,,Cass,Precinct 12,0,0,1,1
Over Votes,U.S. Senate,,,Cass,Precinct 12,0,0,0,0
Under Votes,U.S. Senate,,,Cass,Precinct 12,0,11,4,15
Pat Fallon,U.S. House,4,,Cass,Precinct 12,48,275,118,441
Russell Foster,U.S. House,4,,Cass,Precinct 12,24,91,43,158
Lou Antonelli,U.S. House,4,,Cass,Precinct 12,1,4,9,14
Tracey Jones (W),U.S. House,4,,Cass,Precinct 12,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 12,0,2,0,2
Tracy Jones (W),U.S. House,4,,Cass,Precinct 12,0,2,0,2
Over Votes,U.S. House,4,,Cass,Precinct 12,1,0,0,1
Under Votes,U.S. House,4,,Cass,Precinct 12,0,16,2,18
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 12,46,277,117,440
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 12,26,91,46,163
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 12,0,3,8,11
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 12,0,3,0,3
Over Votes,Railroad Commissioner,,,Cass,Precinct 12,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 12,2,16,1,19
Bryan Hughes,State Senate,1,,Cass,Precinct 12,48,282,117,447
Audrey Spanko,State Senate,1,,Cass,Precinct 12,25,93,54,172
Over Votes,State Senate,1,,Cass,Precinct 12,0,0,0,0
Under Votes,State Senate,1,,Cass,Precinct 12,1,15,1,17
Chris Paddie,State Representative,9,,Cass,Precinct 12,52,301,135,488
Over Votes,State Representative,9,,Cass,Precinct 12,0,0,0,0
Under Votes,State Representative,9,,Cass,Precinct 12,22,89,37,148
Donald J Trump,President ,,,Cass,Precinct 13T,36,451,82,569
Joseph R Biden,President ,,,Cass,Precinct 13T,99,267,74,440
Jo Jorgensen ,President ,,,Cass,Precinct 13T,1,6,3,10
Howie Hawkins,President ,,,Cass,Precinct 13T,0,0,1,1
Tom Hoefling (W),President ,,,Cass,Precinct 13T,0,0,0,0
Gloria La Rivera (W),President ,,,Cass,Precinct 13T,0,0,0,0
Over Votes,President ,,,Cass,Precinct 13T,3,0,0,3
Under Votes,President ,,,Cass,Precinct 13T,1,2,2,5
John Cornyn,U.S. Senate,,,Cass,Precinct 13T,36,442,80,558
"Mary ""MJ"" Hegar",U.S. Senate,,,Cass,Precinct 13T,99,252,70,421
Kerry Douglas McKennon ,U.S. Senate,,,Cass,Precinct 13T,2,10,5,17
David B. Collins,U.S. Senate,,,Cass,Precinct 13T,0,4,2,6
Over Votes,U.S. Senate,,,Cass,Precinct 13T,1,0,0,1
Under Votes,U.S. Senate,,,Cass,Precinct 13T,2,18,5,25
Pat Fallon,U.S. House,4,,Cass,Precinct 13T,35,441,86,562
Russell Foster,U.S. House,4,,Cass,Precinct 13T,100,250,67,417
Lou Antonelli,U.S. House,4,,Cass,Precinct 13T,1,6,6,13
Tracey Jones (W),U.S. House,4,,Cass,Precinct 13T,0,0,0,0
Tracy Jones (W),U.S. House,4,,Cass,Precinct 13T,0,4,0,4
Tracy Jones (W),U.S. House,4,,Cass,Precinct 13T,0,0,0,0
Over Votes,U.S. House,4,,Cass,Precinct 13T,1,0,0,1
Under Votes,U.S. House,4,,Cass,Precinct 13T,3,25,3,31
"James ""Jim"" Wright ",Railroad Commissioner,,,Cass,Precinct 13T,32,450,83,565
Chrysta Castaneda ,Railroad Commissioner,,,Cass,Precinct 13T,98,242,67,407
Matt Sterett ,Railroad Commissioner,,,Cass,Precinct 13T,4,12,5,21
"Katija ""Kat"" Gruene",Railroad Commissioner,,,Cass,Precinct 13T,0,1,2,3
Over Votes,Railroad Commissioner,,,Cass,Precinct 13T,0,0,0,0
Under Votes,Railroad Commissioner,,,Cass,Precinct 13T,6,21,5,32
Bryan Hughes,State Senate,1,,Cass,Precinct 13T,35,455,82,572
Audrey Spanko,State Senate,1,,Cass,Precinct 13T,98,248,75,421
Over Votes,State Senate,1,,Cass,Precinct 13T,0,0,0,0
