candidate,office,district,party,county,precinct,total votes,mail,early voting,election day
David B. Collins,U.S. Senate,,GRN,Goliad,Precinct 21,3,0,2,1
Write-In,U.S. Senate,,NLP,Goliad,Precinct 21,3,1,1,1
Rey Gonzalez,U.S. House,34,REP,Goliad,Precinct 21,363,23,279,61
Filemon B Vela,U.S. House,34,DEM,Goliad,Precinct 21,227,30,151,46
Anthony Cristo,U.S. House,34,LIB,Goliad,Precinct 21,11,1,6,4
Chris B. Royal,U.S. House,34,IND,Goliad,Precinct 21,7,0,7,0
"James ""Jim"" Wright ",Railroad Commissioner,,REP,Goliad,Precinct 21,370,18,287,65
Chrysta Castaneda ,Railroad Commissioner,,DEM,Goliad,Precinct 21,222,35,146,41
Matt Sterett ,Railroad Commissioner,,LIB,Goliad,Precinct 21,8,1,4,3
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Goliad,Precinct 21,1,0,0,1
Lois W. Kolkhorst,State Senate,18,REP,Goliad,Precinct 21,381,23,294,64
Michael Antalan,State Senate,18,DEM,Goliad,Precinct 21,205,30,135,40
Geanie W. Morrison,State Representative,30,REP,Goliad,Precinct 21,452,26,342,84
Registered Voters,,,,Goliad,Precinct 22,290,,,
Ballots Cast ,,,,Goliad,Precinct 22,178,11,91,76
Donald J Trump,President ,,REP,Goliad,Precinct 22,125,4,74,47
Joseph R Biden,President ,,DEM,Goliad,Precinct 22,52,7,16,29
Jo Jorgensen ,President ,,LIB,Goliad,Precinct 22,1,0,1,0
Howie Hawkins,President ,,GRN,Goliad,Precinct 22,0,0,0,0
Write-In,,,,Goliad,Precinct 22,0,0,0,0
John Cornyn,U.S. Senate,,REP,Goliad,Precinct 22,113,4,70,39
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Goliad,Precinct 22,55,7,19,29
Kerry Douglas McKennon ,U.S. Senate,,LIB,Goliad,Precinct 22,1,0,1,0
David B. Collins,U.S. Senate,,GRN,Goliad,Precinct 22,1,0,0,1
Write-In,U.S. Senate,,NLP,Goliad,Precinct 22,0,0,0,0
Rey Gonzalez,U.S. House,34,REP,Goliad,Precinct 22,116,4,70,42
Filemon B Vela,U.S. House,34,DEM,Goliad,Precinct 22,49,7,19,23
Anthony Cristo,U.S. House,34,LIB,Goliad,Precinct 22,1,0,0,1
Chris B. Royal,U.S. House,34,IND,Goliad,Precinct 22,1,0,0,1
"James ""Jim"" Wright ",Railroad Commissioner,,REP,Goliad,Precinct 22,110,4,67,39
Chrysta Castaneda ,Railroad Commissioner,,DEM,Goliad,Precinct 22,52,7,19,26
Matt Sterett ,Railroad Commissioner,,LIB,Goliad,Precinct 22,3,0,2,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Goliad,Precinct 22,0,0,0,0
Lois W. Kolkhorst,State Senate,18,REP,Goliad,Precinct 22,113,4,69,40
Michael Antalan,State Senate,18,DEM,Goliad,Precinct 22,48,7,17,24
Geanie W. Morrison,State Representative,30,REP,Goliad,Precinct 22,130,6,71,53
Registered Voters,,,,Goliad,Precinct 31,838,,,
Ballots Cast ,,,,Goliad,Precinct 31,575,51,417,107
Donald J Trump,President ,,REP,Goliad,Precinct 31,448,19,350,79
Joseph R Biden,President ,,DEM,Goliad,Precinct 31,125,31,66,28
Jo Jorgensen ,President ,,LIB,Goliad,Precinct 31,0,0,0,0
Howie Hawkins,President ,,GRN,Goliad,Precinct 31,0,0,0,0
Write-In,,,,Goliad,Precinct 31,1,0,1,0
John Cornyn,U.S. Senate,,REP,Goliad,Precinct 31,444,20,350,74
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Goliad,Precinct 31,114,30,59,25
Kerry Douglas McKennon ,U.S. Senate,,LIB,Goliad,Precinct 31,2,0,0,2
David B. Collins,U.S. Senate,,GRN,Goliad,Precinct 31,3,0,1,2
Write-In,U.S. Senate,,NLP,Goliad,Precinct 31,2,0,1,1
Rey Gonzalez,U.S. House,34,REP,Goliad,Precinct 31,436,19,341,76
Filemon B Vela,U.S. House,34,DEM,Goliad,Precinct 31,113,26,63,24
Anthony Cristo,U.S. House,34,LIB,Goliad,Precinct 31,5,1,2,2
Chris B. Royal,U.S. House,34,IND,Goliad,Precinct 31,5,3,1,1
"James ""Jim"" Wright ",Railroad Commissioner,,REP,Goliad,Precinct 31,438,23,339,76
Chrysta Castaneda ,Railroad Commissioner,,DEM,Goliad,Precinct 31,111,27,62,22
Matt Sterett ,Railroad Commissioner,,LIB,Goliad,Precinct 31,5,0,5,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Goliad,Precinct 31,3,0,1,2
Lois W. Kolkhorst,State Senate,18,REP,Goliad,Precinct 31,,,,
Michael Antalan,State Senate,18,DEM,Goliad,Precinct 31,,,,
Geanie W. Morrison,State Representative,30,REP,Goliad,Precinct 31,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
