county,precinct,office,district,candidate,party,votes,
Caldwell,Precinct 202,President,,Joseph R. Biden / Kamala D. Harris,DEM,236,
Caldwell,Precinct 202,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,10,
Caldwell,Precinct 202,President,,Howie Hawkins / Angela Walker,GRN,4,
Caldwell,Precinct 202,President,,Write-In,,2,
Caldwell,Precinct 202,U.S. Senate,,John Cornyn,REP,512,
Caldwell,Precinct 202,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,234,
Caldwell,Precinct 202,U.S. Senate,,Kerry Douglas McKennon,LIB,13,
Caldwell,Precinct 202,U.S. Senate,,David B. Collins,GRN,8,
Caldwell,Precinct 202,U.S. Senate,,Write-In,,2,
Caldwell,Precinct 202,U.S. House,27,Michael Cloud,REP,515,
Caldwell,Precinct 202,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,228,
Caldwell,Precinct 202,U.S. House,27,Phil Gray,LIB,20,
Caldwell,Precinct 202,Railroad Commissioner,,"James ""Jim"" Wright",REP,515,
Caldwell,Precinct 202,Railroad Commissioner,,Chrysta Castaneda,DEM,221,
Caldwell,Precinct 202,Railroad Commissioner,,Matt Sterett,LIB,15,
Caldwell,Precinct 202,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,10,
Caldwell,Precinct 202,State Senate,21,Frank Pomeroy,REP,492,
Caldwell,Precinct 202,State Senate,21,Judith Zaffirini,DEM,273,
Caldwell,Precinct 202,State Representative,17,John P. Cyrier,REP,520,
Caldwell,Precinct 202,State Representative,17,Madeline Eden,DEM,243,
Caldwell,Precinct 203,President,,Donald J. Trump / Michael R. Pence,REP,560,
Caldwell,Precinct 203,President,,Joseph R. Biden / Kamala D. Harris,DEM,191,
Caldwell,Precinct 203,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,12,
Caldwell,Precinct 203,President,,Howie Hawkins / Angela Walker,GRN,1,
Caldwell,Precinct 203,President,,Write-In,,0,
Caldwell,Precinct 203,U.S. Senate,,John Cornyn,REP,554,
Caldwell,Precinct 203,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,190,
Caldwell,Precinct 203,U.S. Senate,,Kerry Douglas McKennon,LIB,16,
Caldwell,Precinct 203,U.S. Senate,,David B. Collins,GRN,3,
Caldwell,Precinct 203,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 203,U.S. House,27,Michael Cloud,REP,568,
Caldwell,Precinct 203,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,177,
Caldwell,Precinct 203,U.S. House,27,Phil Gray,LIB,16,
Caldwell,Precinct 203,Railroad Commissioner,,"James ""Jim"" Wright",REP,556,
Caldwell,Precinct 203,Railroad Commissioner,,Chrysta Castaneda,DEM,179,
Caldwell,Precinct 203,Railroad Commissioner,,Matt Sterett,LIB,20,
Caldwell,Precinct 203,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,5,
Caldwell,Precinct 203,State Senate,21,Frank Pomeroy,REP,546,
Caldwell,Precinct 203,State Senate,21,Judith Zaffirini,DEM,211,
Caldwell,Precinct 203,State Representative,17,John P. Cyrier,REP,569,
Caldwell,Precinct 203,State Representative,17,Madeline Eden,DEM,188,
Caldwell,Precinct 204,President,,Donald J. Trump / Michael R. Pence,REP,701,
Caldwell,Precinct 204,President,,Joseph R. Biden / Kamala D. Harris,DEM,251,
Caldwell,Precinct 204,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,11,
Caldwell,Precinct 204,President,,Howie Hawkins / Angela Walker,GRN,3,
Caldwell,Precinct 204,President,,Write-In,,2,
Caldwell,Precinct 204,U.S. Senate,,John Cornyn,REP,700,
Caldwell,Precinct 204,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,246,
Caldwell,Precinct 204,U.S. Senate,,Kerry Douglas McKennon,LIB,13,
Caldwell,Precinct 204,U.S. Senate,,David B. Collins,GRN,3,
Caldwell,Precinct 204,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 204,U.S. House,27,Michael Cloud,REP,712,
Caldwell,Precinct 204,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,224,
Caldwell,Precinct 204,U.S. House,27,Phil Gray,LIB,20,
Caldwell,Precinct 204,Railroad Commissioner,,"James ""Jim"" Wright",REP,677,
Caldwell,Precinct 204,Railroad Commissioner,,Chrysta Castaneda,DEM,247,
Caldwell,Precinct 204,Railroad Commissioner,,Matt Sterett,LIB,21,
Caldwell,Precinct 204,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,10,
Caldwell,Precinct 204,State Senate,21,Frank Pomeroy,REP,683,
Caldwell,Precinct 204,State Senate,21,Judith Zaffirini,DEM,273,
Caldwell,Precinct 204,State Representative,17,John P. Cyrier,REP,717,
Caldwell,Precinct 204,State Representative,17,Madeline Eden,DEM,236,
Caldwell,Precinct 205,President,,Donald J. Trump / Michael R. Pence,REP,186,
Caldwell,Precinct 205,President,,Joseph R. Biden / Kamala D. Harris,DEM,41,
Caldwell,Precinct 205,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,
Caldwell,Precinct 205,President,,Howie Hawkins / Angela Walker,GRN,0,
Caldwell,Precinct 205,President,,Write-In,,1,
Caldwell,Precinct 205,U.S. Senate,,John Cornyn,REP,184,
Caldwell,Precinct 205,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,41,
Caldwell,Precinct 205,U.S. Senate,,Kerry Douglas McKennon,LIB,2,
Caldwell,Precinct 205,U.S. Senate,,David B. Collins,GRN,0,
Caldwell,Precinct 205,U.S. Senate,,Write-In,,0,
Caldwell,Precinct 205,U.S. House,27,Michael Cloud,REP,185,
Caldwell,Precinct 205,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,36,
Caldwell,Precinct 205,U.S. House,27,Phil Gray,LIB,4,
Caldwell,Precinct 205,Railroad Commissioner,,"James ""Jim"" Wright",REP,182,
Caldwell,Precinct 205,Railroad Commissioner,,Chrysta Castaneda,DEM,37,
Caldwell,Precinct 205,Railroad Commissioner,,Matt Sterett,LIB,4,
Caldwell,Precinct 205,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,
Caldwell,Precinct 205,State Senate,21,Frank Pomeroy,REP,180,
Caldwell,Precinct 205,State Senate,21,Judith Zaffirini,DEM,45,
Caldwell,Precinct 205,State Representative,17,John P. Cyrier,REP,187,
Caldwell,Precinct 205,State Representative,17,Madeline Eden,DEM,39,
Caldwell,Precinct 206,President,,Donald J. Trump / Michael R. Pence,REP,360,
Caldwell,Precinct 206,President,,Joseph R. Biden / Kamala D. Harris,DEM,269,
Caldwell,Precinct 206,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,2,
Caldwell,Precinct 206,President,,Howie Hawkins / Angela Walker,GRN,0,
Caldwell,Precinct 206,President,,Write-In,,2,
Caldwell,Precinct 206,U.S. Senate,,John Cornyn,REP,368,
Caldwell,Precinct 206,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,247,
Caldwell,Precinct 206,U.S. Senate,,Kerry Douglas McKennon,LIB,7,
Caldwell,Precinct 206,U.S. Senate,,David B. Collins,GRN,6,
Caldwell,Precinct 206,U.S. Senate,,Write-In,,2,
Caldwell,Precinct 206,U.S. House,27,Michael Cloud,REP,354,
Caldwell,Precinct 206,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,260,
Caldwell,Precinct 206,U.S. House,27,Phil Gray,LIB,17,
Caldwell,Precinct 206,Railroad Commissioner,,"James ""Jim"" Wright",REP,350,
Caldwell,Precinct 206,Railroad Commissioner,,Chrysta Castaneda,DEM,258,
