county,precinct,office,district,candidate,party,votes,election day,early_voting,absentee
Blanco,Pct 201,U.S. Senate,,Mary (MJ) Hegar,DEM,142,62,64,16
Blanco,Pct 201,U.S. Senate,,Sema Hernandez,DEM,8,3,4,1
Blanco,Pct 201,U.S. Senate,,D. R. Hunter,DEM,2,2,0,0
Blanco,Pct 201,U.S. Senate,,Adrian Ocegueda,DEM,4,3,1,0
Blanco,Pct 201,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,13,6,7,0
Blanco,Pct 201,U.S. Senate,,Royce West,DEM,15,6,8,1
Blanco,Pct 201,U.S. House,21,Wendy R. Davis,DEM,226,97,104,25
Blanco,Pct 201,U.S. House,21,Jennie Lou Leeder,DEM,35,17,16,2
Blanco,Pct 201,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,43,15,25,3
Blanco,Pct 201,Railroad Commissioner,,Chrysta Castaneda,DEM,85,43,33,9
Blanco,Pct 201,Railroad Commissioner,,Kelly Stone,DEM,70,27,38,5
Blanco,Pct 201,Railroad Commissioner,,Mark Watson,DEM,43,18,19,6
Blanco,Pct 201,State Senate,24,Clayton Tucker,DEM,222,91,110,21
Blanco,Pct 201,State Representative,45,Liliana Posada,DEM,66,30,27,9
Blanco,Pct 201,State Representative,45,Erin Zwiener,DEM,183,76,90,17
Blanco,Pct 302,Registered Voters,,,,0,,,
Blanco,Pct 302,Ballots Cast,,,,479,235,221,23
Blanco,Pct 302,Ballots Cast,,,REP,302,149,143,10
Blanco,Pct 302,Ballots Cast,,,DEM,177,86,78,13
Blanco,Pct 302,President,,Zoltan G. Istvan,REP,0,0,0,0
Blanco,Pct 302,President,,Donald J. Trump,REP,290,140,141,9
Blanco,Pct 302,President,,Bill Weld,REP,3,3,0,0
Blanco,Pct 302,President,,Roque Rocky De La Fuente Guerra,REP,0,0,0,0
Blanco,Pct 302,President,,Joe Walsh,REP,1,1,0,0
Blanco,Pct 302,President,,Bob Ely,REP,2,1,1,0
Blanco,Pct 302,President,,Matthew John Matern,REP,0,0,0,0
Blanco,Pct 302,President,,Uncommitted,REP,6,4,1,1
Blanco,Pct 302,U.S. Senate,,John Anthony Castro,REP,8,7,1,0
Blanco,Pct 302,U.S. Senate,,Virgil Bierschwale,REP,7,4,3,0
Blanco,Pct 302,U.S. Senate,,Dwayne Stovall,REP,24,17,7,0
Blanco,Pct 302,U.S. Senate,,Mark Yancey,REP,13,5,8,0
Blanco,Pct 302,U.S. Senate,,John Cornyn,REP,241,110,121,10
Blanco,Pct 302,U.S. House,21,Chip Roy,REP,284,140,136,8
Blanco,Pct 302,Railroad Commissioner,,Ryan Sitton,REP,106,56,46,4
Blanco,Pct 302,Railroad Commissioner,,"James ""Jim"" Wright",REP,167,80,82,5
Blanco,Pct 302,State Senate,24,Dawn Buckingham,REP,274,139,126,9
Blanco,Pct 302,State Representative,45,Austin Talley,REP,30,17,12,1
Blanco,Pct 302,State Representative,45,"Kent ""Bud"" Wymore",REP,116,54,59,3
Blanco,Pct 302,State Representative,45,Carrie Isaac,REP,150,75,69,6
Blanco,Pct 302,President,,Michael Bennet,DEM,0,0,0,0
Blanco,Pct 302,President,,Joseph R. Biden,DEM,79,51,24,4
Blanco,Pct 302,President,,Michael R. Bloomberg,DEM,24,7,16,1
Blanco,Pct 302,President,,Cory Booker,DEM,0,0,0,0
Blanco,Pct 302,President,,Pete Buttigieg,DEM,8,0,6,2
Blanco,Pct 302,President,,Julian Castro,DEM,1,0,1,0
Blanco,Pct 302,President,,Roque Rocky De La Fuente,DEM,0,0,0,0
Blanco,Pct 302,President,,John K. Delaney,DEM,0,0,0,0
Blanco,Pct 302,President,,Tulsi Gabbard,DEM,0,0,0,0
Blanco,Pct 302,President,,Amy Klobuchar,DEM,7,0,3,4
Blanco,Pct 302,President,,Deval Patrick,DEM,0,0,0,0
Blanco,Pct 302,President,,Bernie Sanders,DEM,33,21,12,0
Blanco,Pct 302,President,,Tom Steyer,DEM,3,2,1,0
Blanco,Pct 302,President,,Elizabeth Warren,DEM,21,5,14,2
Blanco,Pct 302,President,,Robby Wells,DEM,0,0,0,0
Blanco,Pct 302,President,,Marianne Williamson,DEM,0,0,0,0
Blanco,Pct 302,President,,Andrew Yang,DEM,1,0,1,0
Blanco,Pct 302,U.S. Senate,,Chris Bell,DEM,15,8,7,0
Blanco,Pct 302,U.S. Senate,,Michael Cooper,DEM,5,5,0,0
Blanco,Pct 302,U.S. Senate,,Amanda K. Edwards,DEM,13,9,3,1
Blanco,Pct 302,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,4,4,0,0
Blanco,Pct 302,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,5,2,3,0
Blanco,Pct 302,U.S. Senate,,Victor Hugo Harris,DEM,3,2,1,0
Blanco,Pct 302,U.S. Senate,,Mary (MJ) Hegar,DEM,102,42,51,9
Blanco,Pct 302,U.S. Senate,,Sema Hernandez,DEM,4,2,2,0
Blanco,Pct 302,U.S. Senate,,D. R. Hunter,DEM,0,0,0,0
Blanco,Pct 302,U.S. Senate,,Adrian Ocegueda,DEM,1,1,0,0
Blanco,Pct 302,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,7,2,5,0
Blanco,Pct 302,U.S. Senate,,Royce West,DEM,8,1,4,3
Blanco,Pct 302,U.S. House,21,Wendy R. Davis,DEM,150,72,65,13
Blanco,Pct 302,U.S. House,21,Jennie Lou Leeder,DEM,19,10,9,0
Blanco,Pct 302,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,34,20,13,1
Blanco,Pct 302,Railroad Commissioner,,Chrysta Castaneda,DEM,54,25,26,3
Blanco,Pct 302,Railroad Commissioner,,Kelly Stone,DEM,43,17,22,4
Blanco,Pct 302,Railroad Commissioner,,Mark Watson,DEM,36,21,11,4
Blanco,Pct 302,State Senate,24,Clayton Tucker,DEM,151,69,70,12
Blanco,Pct 302,State Representative,45,Liliana Posada,DEM,27,14,12,1
Blanco,Pct 302,State Representative,45,Erin Zwiener,DEM,141,65,64,12
Blanco,Pct 303,Registered Voters,,,,0,,,
Blanco,Pct 303,Ballots Cast,,,,202,108,83,11
Blanco,Pct 303,Ballots Cast,,,REP,157,79,68,10
Blanco,Pct 303,Ballots Cast,,,DEM,45,29,15,1
Blanco,Pct 303,President,,Zoltan G. Istvan,REP,0,0,0,0
Blanco,Pct 303,President,,Donald J. Trump,REP,152,78,64,10
Blanco,Pct 303,President,,Bill Weld,REP,0,0,0,0
Blanco,Pct 303,President,,Roque Rocky De La Fuente Guerra,REP,0,0,0,0
Blanco,Pct 303,President,,Joe Walsh,REP,0,0,0,0
Blanco,Pct 303,President,,Bob Ely,REP,0,0,0,0
Blanco,Pct 303,President,,Matthew John Matern,REP,0,0,0,0
Blanco,Pct 303,President,,Uncommitted,REP,5,1,4,0
Blanco,Pct 303,U.S. Senate,,John Anthony Castro,REP,3,3,0,0
Blanco,Pct 303,U.S. Senate,,Virgil Bierschwale,REP,0,0,0,0
Blanco,Pct 303,U.S. Senate,,Dwayne Stovall,REP,17,5,11,1
Blanco,Pct 303,U.S. Senate,,Mark Yancey,REP,6,5,1,0
Blanco,Pct 303,U.S. Senate,,John Cornyn,REP,129,65,55,9
Blanco,Pct 303,U.S. House,21,Chip Roy,REP,145,74,62,9
Blanco,Pct 303,Railroad Commissioner,,Ryan Sitton,REP,69,35,26,8
Blanco,Pct 303,Railroad Commissioner,,"James ""Jim"" Wright",REP,76,37,37,2
Blanco,Pct 303,State Senate,24,Dawn Buckingham,REP,148,74,64,10
Blanco,Pct 303,State Representative,45,Austin Talley,REP,31,15,14,2
Blanco,Pct 303,State Representative,45,"Kent ""Bud"" Wymore",REP,51,24,23,4
Blanco,Pct 303,State Representative,45,Carrie Isaac,REP,71,38,29,4
Blanco,Pct 303,President,,Michael Bennet,DEM,0,0,0,0
Blanco,Pct 303,President,,Joseph R. Biden,DEM,19,14,4,1
Blanco,Pct 303,President,,Michael R. Bloomberg,DEM,7,6,1,0
Blanco,Pct 303,President,,Cory Booker,DEM,0,0,0,0
Blanco,Pct 303,President,,Pete Buttigieg,DEM,2,0,2,0
Blanco,Pct 303,President,,Julian Castro,DEM,0,0,0,0
Blanco,Pct 303,President,,Roque Rocky De La Fuente,DEM,0,0,0,0
Blanco,Pct 303,President,,John K. Delaney,DEM,0,0,0,0
Blanco,Pct 303,President,,Tulsi Gabbard,DEM,1,0,1,0
Blanco,Pct 303,President,,Amy Klobuchar,DEM,5,0,5,0
Blanco,Pct 303,President,,Deval Patrick,DEM,0,0,0,0
Blanco,Pct 303,President,,Bernie Sanders,DEM,2,1,1,0
Blanco,Pct 303,President,,Tom Steyer,DEM,0,0,0,0
Blanco,Pct 303,President,,Elizabeth Warren,DEM,9,8,1,0
Blanco,Pct 303,President,,Robby Wells,DEM,0,0,0,0
Blanco,Pct 303,President,,Marianne Williamson,DEM,0,0,0,0
Blanco,Pct 303,President,,Andrew Yang,DEM,0,0,0,0
Blanco,Pct 303,U.S. Senate,,Chris Bell,DEM,2,1,1,0
Blanco,Pct 303,U.S. Senate,,Michael Cooper,DEM,3,3,0,0
Blanco,Pct 303,U.S. Senate,,Amanda K. Edwards,DEM,3,2,1,0
Blanco,Pct 303,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,1,1,0,0
Blanco,Pct 303,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,2,1,0,1
Blanco,Pct 303,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0
Blanco,Pct 303,U.S. Senate,,Mary (MJ) Hegar,DEM,26,15,11,0
Blanco,Pct 303,U.S. Senate,,Sema Hernandez,DEM,2,2,0,0
Blanco,Pct 303,U.S. Senate,,D. R. Hunter,DEM,0,0,0,0
Blanco,Pct 303,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0
Blanco,Pct 303,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,0,0,0,0
Blanco,Pct 303,U.S. Senate,,Royce West,DEM,4,3,1,0
Blanco,Pct 303,U.S. House,21,Wendy R. Davis,DEM,32,22,9,1
Blanco,Pct 303,U.S. House,21,Jennie Lou Leeder,DEM,7,3,4,0
Blanco,Pct 303,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,10,7,2,1
Blanco,Pct 303,Railroad Commissioner,,Chrysta Castaneda,DEM,13,9,4,0
Blanco,Pct 303,Railroad Commissioner,,Kelly Stone,DEM,6,5,1,0
Blanco,Pct 303,Railroad Commissioner,,Mark Watson,DEM,10,6,4,0
Blanco,Pct 303,State Senate,24,Clayton Tucker,DEM,39,27,11,1
Blanco,Pct 303,State Representative,45,Liliana Posada,DEM,11,8,2,1
Blanco,Pct 303,State Representative,45,Erin Zwiener,DEM,29,18,11,0
Blanco,Pct 304,Registered Voters,,,,0,,,
Blanco,Pct 304,Ballots Cast,,,,113,71,35,7
Blanco,Pct 304,Ballots Cast,,,REP,74,49,21,4
Blanco,Pct 304,Ballots Cast,,,DEM,39,22,14,3
Blanco,Pct 304,President,,Zoltan G. Istvan,REP,0,0,0,0
Blanco,Pct 304,President,,Donald J. Trump,REP,73,48,21,4
Blanco,Pct 304,President,,Bill Weld,REP,0,0,0,0
Blanco,Pct 304,President,,Roque Rocky De La Fuente Guerra,REP,0,0,0,0
Blanco,Pct 304,President,,Joe Walsh,REP,0,0,0,0
Blanco,Pct 304,President,,Bob Ely,REP,0,0,0,0
Blanco,Pct 304,President,,Matthew John Matern,REP,0,0,0,0
Blanco,Pct 304,President,,Uncommitted,REP,1,1,0,0
Blanco,Pct 304,U.S. Senate,,John Anthony Castro,REP,3,3,0,0
Blanco,Pct 304,U.S. Senate,,Virgil Bierschwale,REP,0,0,0,0
Blanco,Pct 304,U.S. Senate,,Dwayne Stovall,REP,3,0,3,0
Blanco,Pct 304,U.S. Senate,,Mark Yancey,REP,5,4,0,1
Blanco,Pct 304,U.S. Senate,,John Cornyn,REP,60,39,18,3
Blanco,Pct 304,U.S. House,21,Chip Roy,REP,70,46,20,4
Blanco,Pct 304,Railroad Commissioner,,Ryan Sitton,REP,30,18,9,3
Blanco,Pct 304,Railroad Commissioner,,"James ""Jim"" Wright",REP,38,27,10,1
Blanco,Pct 304,State Senate,24,Dawn Buckingham,REP,64,42,19,3
Blanco,Pct 304,State Representative,45,Austin Talley,REP,11,7,4,0
Blanco,Pct 304,State Representative,45,"Kent ""Bud"" Wymore",REP,18,11,3,4
Blanco,Pct 304,State Representative,45,Carrie Isaac,REP,43,30,13,0
Blanco,Pct 304,President,,Michael Bennet,DEM,1,0,0,1
Blanco,Pct 304,President,,Joseph R. Biden,DEM,15,10,3,2
Blanco,Pct 304,President,,Michael R. Bloomberg,DEM,4,1,3,0
Blanco,Pct 304,President,,Cory Booker,DEM,0,0,0,0
Blanco,Pct 304,President,,Pete Buttigieg,DEM,1,0,1,0
Blanco,Pct 304,President,,Julian Castro,DEM,0,0,0,0
Blanco,Pct 304,President,,Roque Rocky De La Fuente,DEM,0,0,0,0
Blanco,Pct 304,President,,John K. Delaney,DEM,0,0,0,0
Blanco,Pct 304,President,,Tulsi Gabbard,DEM,0,0,0,0
Blanco,Pct 304,President,,Amy Klobuchar,DEM,0,0,0,0
Blanco,Pct 304,President,,Deval Patrick,DEM,0,0,0,0
Blanco,Pct 304,President,,Bernie Sanders,DEM,7,4,3,0
Blanco,Pct 304,President,,Tom Steyer,DEM,0,0,0,0
Blanco,Pct 304,President,,Elizabeth Warren,DEM,11,7,4,0
Blanco,Pct 304,President,,Robby Wells,DEM,0,0,0,0
Blanco,Pct 304,President,,Marianne Williamson,DEM,0,0,0,0
Blanco,Pct 304,President,,Andrew Yang,DEM,0,0,0,0
Blanco,Pct 304,U.S. Senate,,Chris Bell,DEM,3,1,1,1
Blanco,Pct 304,U.S. Senate,,Michael Cooper,DEM,0,0,0,0
Blanco,Pct 304,U.S. Senate,,Amanda K. Edwards,DEM,2,1,1,0
Blanco,Pct 304,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0
Blanco,Pct 304,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,0,0,0,0
Blanco,Pct 304,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0
Blanco,Pct 304,U.S. Senate,,Mary (MJ) Hegar,DEM,20,10,9,1
Blanco,Pct 304,U.S. Senate,,Sema Hernandez,DEM,2,2,0,0
Blanco,Pct 304,U.S. Senate,,D. R. Hunter,DEM,1,1,0,0
Blanco,Pct 304,U.S. Senate,,Adrian Ocegueda,DEM,1,1,0,0
Blanco,Pct 304,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,5,3,2,0
Blanco,Pct 304,U.S. Senate,,Royce West,DEM,3,2,1,0
Blanco,Pct 304,U.S. House,21,Wendy R. Davis,DEM,36,20,14,2
Blanco,Pct 304,U.S. House,21,Jennie Lou Leeder,DEM,3,2,0,1
Blanco,Pct 304,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,5,1,4,0
Blanco,Pct 304,Railroad Commissioner,,Chrysta Castaneda,DEM,19,13,4,2
Blanco,Pct 304,Railroad Commissioner,,Kelly Stone,DEM,5,4,1,0
Blanco,Pct 304,Railroad Commissioner,,Mark Watson,DEM,7,2,4,1
Blanco,Pct 304,State Senate,24,Clayton Tucker,DEM,34,20,12,2
Blanco,Pct 304,State Representative,45,Liliana Posada,DEM,20,13,5,2
Blanco,Pct 304,State Representative,45,Erin Zwiener,DEM,17,7,9,1
Blanco,Pct 401,Registered Voters,,,,0,,,
Blanco,Pct 401,Ballots Cast,,,,920,466,391,63
Blanco,Pct 401,Ballots Cast,,,REP,631,315,289,27
Blanco,Pct 401,Ballots Cast,,,DEM,289,151,102,36
Blanco,Pct 401,President,,Zoltan G. Istvan,REP,0,0,0,0
Blanco,Pct 401,President,,Donald J. Trump,REP,604,299,279,26
Blanco,Pct 401,President,,Bill Weld,REP,4,3,0,1
Blanco,Pct 401,President,,Roque Rocky De La Fuente Guerra,REP,3,2,1,0
Blanco,Pct 401,President,,Joe Walsh,REP,1,1,0,0
Blanco,Pct 401,President,,Bob Ely,REP,2,1,1,0
Blanco,Pct 401,President,,Matthew John Matern,REP,0,0,0,0
Blanco,Pct 401,President,,Uncommitted,REP,13,7,6,0
Blanco,Pct 401,U.S. Senate,,John Anthony Castro,REP,33,25,5,3
Blanco,Pct 401,U.S. Senate,,Virgil Bierschwale,REP,8,5,3,0
Blanco,Pct 401,U.S. Senate,,Dwayne Stovall,REP,60,25,35,0
Blanco,Pct 401,U.S. Senate,,Mark Yancey,REP,27,14,13,0
Blanco,Pct 401,U.S. Senate,,John Cornyn,REP,490,236,231,23
Blanco,Pct 401,U.S. House,21,Chip Roy,REP,589,286,279,24
Blanco,Pct 401,Railroad Commissioner,,Ryan Sitton,REP,258,132,114,12
Blanco,Pct 401,Railroad Commissioner,,"James ""Jim"" Wright",REP,326,151,161,14
Blanco,Pct 401,State Senate,24,Dawn Buckingham,REP,576,275,277,24
Blanco,Pct 401,State Representative,45,Austin Talley,REP,69,32,34,3
Blanco,Pct 401,State Representative,45,"Kent ""Bud"" Wymore",REP,203,95,93,15
Blanco,Pct 401,State Representative,45,Carrie Isaac,REP,346,178,159,9
Blanco,Pct 401,President,,Michael Bennet,DEM,0,0,0,0
Blanco,Pct 401,President,,Joseph R. Biden,DEM,94,71,16,7
Blanco,Pct 401,President,,Michael R. Bloomberg,DEM,27,6,9,12
Blanco,Pct 401,President,,Cory Booker,DEM,0,0,0,0
Blanco,Pct 401,President,,Pete Buttigieg,DEM,18,1,14,3
Blanco,Pct 401,President,,Julian Castro,DEM,0,0,0,0
Blanco,Pct 401,President,,Roque Rocky De La Fuente,DEM,0,0,0,0
Blanco,Pct 401,President,,John K. Delaney,DEM,0,0,0,0
Blanco,Pct 401,President,,Tulsi Gabbard,DEM,1,1,0,0
Blanco,Pct 401,President,,Amy Klobuchar,DEM,12,0,8,4
Blanco,Pct 401,President,,Deval Patrick,DEM,0,0,0,0
Blanco,Pct 401,President,,Bernie Sanders,DEM,81,48,28,5
Blanco,Pct 401,President,,Tom Steyer,DEM,3,0,1,2
Blanco,Pct 401,President,,Elizabeth Warren,DEM,51,23,25,3
Blanco,Pct 401,President,,Robby Wells,DEM,0,0,0,0
Blanco,Pct 401,President,,Marianne Williamson,DEM,0,0,0,0
Blanco,Pct 401,President,,Andrew Yang,DEM,0,0,0,0
Blanco,Pct 401,U.S. Senate,,Chris Bell,DEM,22,11,9,2
Blanco,Pct 401,U.S. Senate,,Michael Cooper,DEM,3,3,0,0
Blanco,Pct 401,U.S. Senate,,Amanda K. Edwards,DEM,35,19,10,6
Blanco,Pct 401,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,4,3,0,1
Blanco,Pct 401,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,27,18,8,1
Blanco,Pct 401,U.S. Senate,,Victor Hugo Harris,DEM,3,2,1,0
Blanco,Pct 401,U.S. Senate,,Mary (MJ) Hegar,DEM,143,72,50,21
Blanco,Pct 401,U.S. Senate,,Sema Hernandez,DEM,7,4,3,0
Blanco,Pct 401,U.S. Senate,,D. R. Hunter,DEM,1,1,0,0
Blanco,Pct 401,U.S. Senate,,Adrian Ocegueda,DEM,3,1,1,1
Blanco,Pct 401,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,25,6,15,4
Blanco,Pct 401,U.S. Senate,,Royce West,DEM,6,4,2,0
Blanco,Pct 401,U.S. House,21,Wendy R. Davis,DEM,242,124,85,33
