county,precinct,office,district,party,candidate,mail,early_voting,election_day_mail,election_day,votes
Atascosa,9,President,,GRN,Howie Hawkins,0,0,0,0,0
Atascosa,10,President,,GRN,Howie Hawkins,0,1,0,1,2
Atascosa,11,President,,GRN,Howie Hawkins,0,1,0,0,1
Atascosa,12,President,,GRN,Howie Hawkins,0,1,0,1,2
Atascosa,13,President,,GRN,Howie Hawkins,0,5,0,0,5
Atascosa,14,President,,GRN,Howie Hawkins,0,1,0,1,2
Atascosa,15,President,,GRN,Howie Hawkins,1,5,0,1,7
Atascosa,16,President,,GRN,Howie Hawkins,0,0,0,0,0
Atascosa,17,President,,GRN,Howie Hawkins,0,3,0,0,3
Atascosa,18,President,,GRN,Howie Hawkins,0,1,0,1,2
Atascosa,19,President,,GRN,Howie Hawkins,0,0,0,0,0
Atascosa,20,President,,GRN,Howie Hawkins,0,5,0,1,6
Atascosa,21,President,,GRN,Howie Hawkins,0,0,0,1,1
Atascosa,22,President,,GRN,Howie Hawkins,0,1,0,0,1
Atascosa,23,President,,GRN,Howie Hawkins,0,2,0,0,2
Atascosa,24,President,,GRN,Howie Hawkins,0,6,0,2,8
Atascosa,1,President,,,Write-ins,0,0,0,0,0
Atascosa,2,President,,,Write-ins,0,0,0,0,0
Atascosa,3,President,,,Write-ins,0,1,0,0,1
Atascosa,4,President,,,Write-ins,0,0,0,0,0
Atascosa,5,President,,,Write-ins,0,2,0,1,3
Atascosa,6,President,,,Write-ins,0,0,0,0,0
Atascosa,7,President,,,Write-ins,0,0,0,0,0
Atascosa,8,President,,,Write-ins,0,0,0,1,1
Atascosa,9,President,,,Write-ins,0,0,0,0,0
Atascosa,10,President,,,Write-ins,0,0,0,0,0
Atascosa,11,President,,,Write-ins,0,0,0,0,0
Atascosa,12,President,,,Write-ins,1,3,0,0,4
Atascosa,13,President,,,Write-ins,0,1,0,3,4
Atascosa,14,President,,,Write-ins,0,0,0,0,0
Atascosa,15,President,,,Write-ins,0,3,0,0,3
Atascosa,16,President,,,Write-ins,0,0,0,0,0
Atascosa,17,President,,,Write-ins,0,1,0,0,1
Atascosa,18,President,,,Write-ins,0,0,0,1,1
Atascosa,19,President,,,Write-ins,0,1,0,0,1
Atascosa,20,President,,,Write-ins,0,2,0,0,2
Atascosa,21,President,,,Write-ins,0,0,0,0,0
Atascosa,22,President,,,Write-ins,0,0,0,0,0
Atascosa,23,President,,,Write-ins,0,0,0,0,0
Atascosa,24,President,,,Write-ins,0,0,0,1,1
Atascosa,1,President,,,Over Votes,3,0,0,0,3
Atascosa,2,President,,,Over Votes,0,0,0,0,0
Atascosa,3,President,,,Over Votes,0,0,0,0,0
Atascosa,4,President,,,Over Votes,0,0,0,0,0
Atascosa,5,President,,,Over Votes,3,0,0,0,3
Atascosa,6,President,,,Over Votes,0,0,0,0,0
Atascosa,7,President,,,Over Votes,2,0,0,0,2
Atascosa,8,President,,,Over Votes,0,0,0,0,0
Atascosa,9,President,,,Over Votes,0,0,0,0,0
Atascosa,10,President,,,Over Votes,0,0,0,0,0
Atascosa,11,President,,,Over Votes,0,0,0,0,0
Atascosa,12,President,,,Over Votes,0,0,0,0,0
Atascosa,13,President,,,Over Votes,0,0,0,0,0
Atascosa,14,President,,,Over Votes,0,0,0,0,0
Atascosa,15,President,,,Over Votes,3,0,0,0,3
Atascosa,16,President,,,Over Votes,0,0,0,0,0
Atascosa,17,President,,,Over Votes,1,0,0,0,1
Atascosa,18,President,,,Over Votes,0,0,0,0,0
Atascosa,19,President,,,Over Votes,0,0,0,0,0
Atascosa,20,President,,,Over Votes,1,0,0,0,1
Atascosa,21,President,,,Over Votes,0,0,0,0,0
Atascosa,22,President,,,Over Votes,0,0,0,0,0
Atascosa,23,President,,,Over Votes,0,0,0,0,0
Atascosa,24,President,,,Over Votes,0,0,0,0,0
Atascosa,1,President,,,Under Votes,0,1,0,0,1
Atascosa,2,President,,,Under Votes,0,0,0,0,0
Atascosa,3,President,,,Under Votes,1,1,0,1,3
Atascosa,4,President,,,Under Votes,0,0,0,0,0
Atascosa,5,President,,,Under Votes,1,1,0,2,4
Atascosa,6,President,,,Under Votes,0,1,0,0,1
Atascosa,7,President,,,Under Votes,2,2,0,2,6
Atascosa,8,President,,,Under Votes,1,1,0,1,3
Atascosa,9,President,,,Under Votes,0,0,0,0,0
Atascosa,10,President,,,Under Votes,0,0,0,1,1
Atascosa,11,President,,,Under Votes,0,1,0,2,3
Atascosa,12,President,,,Under Votes,1,2,0,0,3
Atascosa,13,President,,,Under Votes,3,7,0,2,12
Atascosa,14,President,,,Under Votes,0,0,0,0,0
Atascosa,15,President,,,Under Votes,0,0,0,4,4
Atascosa,16,President,,,Under Votes,1,1,0,0,2
Atascosa,17,President,,,Under Votes,3,7,0,2,12
Atascosa,18,President,,,Under Votes,0,6,0,4,10
Atascosa,19,President,,,Under Votes,0,0,0,1,1
Atascosa,20,President,,,Under Votes,1,5,0,6,12
Atascosa,21,President,,,Under Votes,0,0,0,0,0
Atascosa,22,President,,,Under Votes,0,2,0,0,2
Atascosa,23,President,,,Under Votes,0,0,0,0,0
Atascosa,24,President,,,Under Votes,0,2,0,0,2
Atascosa,1,U.S. Senate,,REP,John Cornyn,25,368,0,65,458
Atascosa,2,U.S. Senate,,REP,John Cornyn,31,329,1,89,450
Atascosa,3,U.S. Senate,,REP,John Cornyn,54,505,0,132,691
Atascosa,4,U.S. Senate,,REP,John Cornyn,2,26,0,46,74
Atascosa,5,U.S. Senate,,REP,John Cornyn,28,492,0,93,613
Atascosa,6,U.S. Senate,,REP,John Cornyn,6,66,0,5,77
Atascosa,7,U.S. Senate,,REP,John Cornyn,37,460,1,155,653
Atascosa,8,U.S. Senate,,REP,John Cornyn,21,182,0,58,261
Atascosa,9,U.S. Senate,,REP,John Cornyn,1,101,0,10,112
Atascosa,10,U.S. Senate,,REP,John Cornyn,16,365,0,156,537
Atascosa,11,U.S. Senate,,REP,John Cornyn,6,11,0,15,32
Atascosa,12,U.S. Senate,,REP,John Cornyn,18,398,0,95,511
Atascosa,13,U.S. Senate,,REP,John Cornyn,64,997,0,151,1212
Atascosa,14,U.S. Senate,,REP,John Cornyn,13,188,0,23,224
Atascosa,15,U.S. Senate,,REP,John Cornyn,39,544,0,124,707
Atascosa,16,U.S. Senate,,REP,John Cornyn,7,83,0,13,103
Atascosa,17,U.S. Senate,,REP,John Cornyn,36,392,0,95,523
Atascosa,18,U.S. Senate,,REP,John Cornyn,38,456,0,213,707
Atascosa,19,U.S. Senate,,REP,John Cornyn,8,195,0,35,238
Atascosa,20,U.S. Senate,,REP,John Cornyn,120,1747,2,272,2141
Atascosa,21,U.S. Senate,,REP,John Cornyn,9,104,0,34,147
Atascosa,22,U.S. Senate,,REP,John Cornyn,21,275,0,120,416
Atascosa,23,U.S. Senate,,REP,John Cornyn,9,196,0,53,258
Atascosa,24,U.S. Senate,,REP,John Cornyn,30,615,0,116,761
Atascosa,1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",29,79,0,18,126
Atascosa,2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",33,229,0,47,309
Atascosa,3,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",51,210,0,41,302
Atascosa,4,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",6,3,0,15,24
Atascosa,5,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",51,320,0,82,453
Atascosa,6,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",1,2,0,1,4
Atascosa,7,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",59,193,0,83,335
Atascosa,8,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",11,83,0,23,117
Atascosa,9,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",2,8,0,2,12
Atascosa,10,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",36,182,0,81,299
Atascosa,11,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",5,0,0,0,5
Atascosa,12,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",33,176,0,50,259
Atascosa,13,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",88,290,0,52,430
Atascosa,14,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",16,49,0,11,76
Atascosa,15,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",96,290,2,65,453
Atascosa,16,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",8,42,0,13,63
Atascosa,17,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",70,424,0,111,605
Atascosa,18,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",47,168,0,125,340
Atascosa,19,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",10,53,0,11,74
Atascosa,20,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",102,401,0,69,572
Atascosa,21,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",7,15,0,3,25
Atascosa,22,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",11,59,0,18,88
Atascosa,23,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",26,122,0,34,182
Atascosa,24,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",57,336,0,42,435
Atascosa,1,U.S. Senate,,LIB,Kerry Douglas McKennon,0,7,0,0,7
Atascosa,2,U.S. Senate,,LIB,Kerry Douglas McKennon,1,7,0,3,11
Atascosa,3,U.S. Senate,,LIB,Kerry Douglas McKennon,0,14,0,5,19
Atascosa,4,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0,0
Atascosa,5,U.S. Senate,,LIB,Kerry Douglas McKennon,1,12,0,5,18
Atascosa,6,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0,0
Atascosa,7,U.S. Senate,,LIB,Kerry Douglas McKennon,0,13,0,3,16
Atascosa,8,U.S. Senate,,LIB,Kerry Douglas McKennon,0,3,0,0,3
Atascosa,9,U.S. Senate,,LIB,Kerry Douglas McKennon,0,1,0,0,1
Atascosa,10,U.S. Senate,,LIB,Kerry Douglas McKennon,1,7,0,3,11
Atascosa,11,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0,0
Atascosa,12,U.S. Senate,,LIB,Kerry Douglas McKennon,0,1,0,6,7
Atascosa,13,U.S. Senate,,LIB,Kerry Douglas McKennon,0,10,0,3,13
Atascosa,14,U.S. Senate,,LIB,Kerry Douglas McKennon,0,4,0,0,4
Atascosa,15,U.S. Senate,,LIB,Kerry Douglas McKennon,2,17,0,10,29
Atascosa,16,U.S. Senate,,LIB,Kerry Douglas McKennon,0,1,0,2,3
Atascosa,17,U.S. Senate,,LIB,Kerry Douglas McKennon,3,12,0,5,20
Atascosa,18,U.S. Senate,,LIB,Kerry Douglas McKennon,0,5,0,10,15
Atascosa,19,U.S. Senate,,LIB,Kerry Douglas McKennon,0,6,0,2,8
Atascosa,20,U.S. Senate,,LIB,Kerry Douglas McKennon,1,25,0,7,33
Atascosa,21,U.S. Senate,,LIB,Kerry Douglas McKennon,2,0,0,0,2
Atascosa,22,U.S. Senate,,LIB,Kerry Douglas McKennon,0,7,0,0,7
Atascosa,23,U.S. Senate,,LIB,Kerry Douglas McKennon,0,9,0,2,11
Atascosa,24,U.S. Senate,,LIB,Kerry Douglas McKennon,0,16,0,4,20
Atascosa,1,U.S. Senate,,GRN,David B. Collins,1,1,0,1,3
Atascosa,2,U.S. Senate,,GRN,David B. Collins,1,2,0,2,5
Atascosa,3,U.S. Senate,,GRN,David B. Collins,1,4,0,3,8
Atascosa,4,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0
Atascosa,5,U.S. Senate,,GRN,David B. Collins,2,5,0,7,14
Atascosa,6,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0
Atascosa,7,U.S. Senate,,GRN,David B. Collins,0,8,0,2,10
Atascosa,8,U.S. Senate,,GRN,David B. Collins,1,0,0,3,4
Atascosa,9,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0
Atascosa,10,U.S. Senate,,GRN,David B. Collins,1,3,0,6,10
Atascosa,11,U.S. Senate,,GRN,David B. Collins,0,1,0,0,1
Atascosa,12,U.S. Senate,,GRN,David B. Collins,0,5,0,2,7
Atascosa,13,U.S. Senate,,GRN,David B. Collins,2,10,0,2,14
Atascosa,14,U.S. Senate,,GRN,David B. Collins,0,2,0,2,4
Atascosa,15,U.S. Senate,,GRN,David B. Collins,0,12,0,4,16
Atascosa,16,U.S. Senate,,GRN,David B. Collins,0,1,0,1,2
Atascosa,17,U.S. Senate,,GRN,David B. Collins,0,5,0,4,9
Atascosa,18,U.S. Senate,,GRN,David B. Collins,0,5,0,5,10
Atascosa,19,U.S. Senate,,GRN,David B. Collins,0,1,0,1,2
Atascosa,20,U.S. Senate,,GRN,David B. Collins,0,8,0,6,14
Atascosa,21,U.S. Senate,,GRN,David B. Collins,0,0,0,2,2
Atascosa,22,U.S. Senate,,GRN,David B. Collins,0,0,0,1,1
Atascosa,23,U.S. Senate,,GRN,David B. Collins,0,1,0,1,2
Atascosa,24,U.S. Senate,,GRN,David B. Collins,0,4,0,0,4
Atascosa,1,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,2,U.S. Senate,,,Write-ins,1,1,0,0,2
Atascosa,3,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,4,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,5,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,6,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,7,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,8,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,9,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,10,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,11,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,12,U.S. Senate,,,Write-ins,1,0,0,0,1
Atascosa,13,U.S. Senate,,,Write-ins,0,1,0,0,1
Atascosa,14,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,15,U.S. Senate,,,Write-ins,1,0,0,1,2
Atascosa,16,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,17,U.S. Senate,,,Write-ins,0,1,0,0,1
Atascosa,18,U.S. Senate,,,Write-ins,0,1,0,1,2
Atascosa,19,U.S. Senate,,,Write-ins,0,0,0,1,1
Atascosa,20,U.S. Senate,,,Write-ins,0,2,0,0,2
Atascosa,21,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,22,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,23,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,24,U.S. Senate,,,Write-ins,0,0,0,0,0
Atascosa,1,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,2,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,3,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,4,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,5,U.S. Senate,,,Over Votes,3,0,0,0,3
Atascosa,6,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,7,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,8,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,9,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,10,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,11,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,12,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,13,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,14,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,15,U.S. Senate,,,Over Votes,1,0,0,0,1
Atascosa,16,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,17,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,18,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,19,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,20,U.S. Senate,,,Over Votes,1,0,0,0,1
Atascosa,21,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,22,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,23,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,24,U.S. Senate,,,Over Votes,0,0,0,0,0
Atascosa,1,U.S. Senate,,,Under Votes,0,4,1,0,5
Atascosa,2,U.S. Senate,,,Under Votes,0,7,0,5,12
Atascosa,3,U.S. Senate,,,Under Votes,5,5,0,6,16
Atascosa,4,U.S. Senate,,,Under Votes,1,1,0,3,5
Atascosa,5,U.S. Senate,,,Under Votes,1,9,0,9,19
Atascosa,6,U.S. Senate,,,Under Votes,0,0,0,0,0
Atascosa,7,U.S. Senate,,,Under Votes,2,7,0,10,19
Atascosa,8,U.S. Senate,,,Under Votes,2,2,0,2,6
Atascosa,9,U.S. Senate,,,Under Votes,0,2,0,0,2
Atascosa,10,U.S. Senate,,,Under Votes,3,12,0,6,21
Atascosa,11,U.S. Senate,,,Under Votes,0,0,0,2,2
Atascosa,12,U.S. Senate,,,Under Votes,3,5,0,1,9
Atascosa,13,U.S. Senate,,,Under Votes,5,15,0,6,26
Atascosa,14,U.S. Senate,,,Under Votes,0,8,0,2,10
Atascosa,15,U.S. Senate,,,Under Votes,8,13,0,7,28
Atascosa,16,U.S. Senate,,,Under Votes,1,4,0,0,5
Atascosa,17,U.S. Senate,,,Under Votes,2,36,0,8,46
Atascosa,18,U.S. Senate,,,Under Votes,0,24,0,14,38
Atascosa,19,U.S. Senate,,,Under Votes,1,3,0,2,6
Atascosa,20,U.S. Senate,,,Under Votes,3,8,0,4,15
Atascosa,21,U.S. Senate,,,Under Votes,1,0,0,0,1
Atascosa,22,U.S. Senate,,,Under Votes,0,7,0,4,11
Atascosa,23,U.S. Senate,,,Under Votes,0,5,0,0,5
Atascosa,24,U.S. Senate,,,Under Votes,0,14,0,1,15
Atascosa,1,U.S. House,28,REP,Sandra Whitten,14,328,1,59,402
Atascosa,2,U.S. House,28,REP,Sandra Whitten,25,307,1,80,413
Atascosa,3,U.S. House,28,REP,Sandra Whitten,34,437,0,93,564
Atascosa,4,U.S. House,28,REP,Sandra Whitten,2,21,0,33,56
Atascosa,5,U.S. House,28,REP,Sandra Whitten,24,436,0,80,540
Atascosa,6,U.S. House,28,REP,Sandra Whitten,4,56,0,4,64
Atascosa,7,U.S. House,28,REP,Sandra Whitten,22,394,0,128,544
Atascosa,8,U.S. House,28,REP,Sandra Whitten,17,150,0,50,217
Atascosa,9,U.S. House,28,REP,Sandra Whitten,1,90,0,8,99
Atascosa,10,U.S. House,28,REP,Sandra Whitten,17,320,0,140,477
Atascosa,11,U.S. House,28,REP,Sandra Whitten,3,10,0,11,24
Atascosa,12,U.S. House,28,REP,Sandra Whitten,13,351,0,85,449
Atascosa,13,U.S. House,28,REP,Sandra Whitten,47,839,0,129,1015
Atascosa,14,U.S. House,28,REP,Sandra Whitten,10,140,0,18,168
Atascosa,15,U.S. House,28,REP,Sandra Whitten,21,466,0,104,591
Atascosa,16,U.S. House,28,REP,Sandra Whitten,3,73,0,6,82
Atascosa,17,U.S. House,28,REP,Sandra Whitten,15,276,0,60,351
Atascosa,18,U.S. House,28,REP,Sandra Whitten,24,366,0,135,525
Atascosa,19,U.S. House,28,REP,Sandra Whitten,3,170,0,29,202
Atascosa,20,U.S. House,28,REP,Sandra Whitten,83,1535,1,238,1857
Atascosa,21,U.S. House,28,REP,Sandra Whitten,9,98,0,32,139
Atascosa,22,U.S. House,28,REP,Sandra Whitten,15,241,0,101,357
Atascosa,23,U.S. House,28,REP,Sandra Whitten,6,179,0,51,236
