county,precinct,office,district,party,candidate,mail,early_voting,election_day,provisional,votes
Williamson,135,Railroad Commissioner,,REP,"James ""Jim"" Wright",59,547,125,3,734
Williamson,135,Railroad Commissioner,,DEM,Chrysta Castañeda,119,1079,120,2,1320
Williamson,135,Railroad Commissioner,,LBT,Matt Sterett,5,73,9,0,87
Williamson,135,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",5,40,8,0,53
Williamson,135,State Representative,52,REP,Lucio Valdez,54,616,129,2,801
Williamson,135,State Representative,52,DEM,James Talarico,113,1115,130,2,1360
Williamson,138,President,,REP,Donald J. Trump/Michael R. Pence,93,1219,125,7,1444
Williamson,138,President,,DEM,Joseph R. Biden/Kamala D. Harris,230,1433,109,5,1777
Williamson,138,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",4,52,5,1,62
Williamson,138,President,,GRE,Howie Hawkins/Angela Walker,1,4,1,0,6
Williamson,138,President,,,Write-in,0,10,2,0,12
Williamson,138,U.S. Senate,,REP,John Cornyn,122,1245,135,7,1509
Williamson,138,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",201,1362,86,6,1655
Williamson,138,U.S. Senate,,LBT,Kerry Douglas McKennon,2,55,6,0,63
Williamson,138,U.S. Senate,,GRE,David B. Collins,0,14,1,0,15
Williamson,138,U.S. Senate,,,Write-in,0,2,0,0,2
Williamson,138,U.S. House,31,REP,John Carter,112,1300,132,7,1551
Williamson,138,U.S. House,31,DEM,Donna Imam,185,1313,90,6,1594
Williamson,138,U.S. House,31,LBT,Clark Patterson,4,71,9,0,84
Williamson,138,U.S. House,31,,Write-in,0,0,0,0,0
Williamson,138,Railroad Commissioner,,REP,"James ""Jim"" Wright",107,1223,117,7,1454
Williamson,138,Railroad Commissioner,,DEM,Chrysta Castañeda,190,1267,89,3,1549
Williamson,138,Railroad Commissioner,,LBT,Matt Sterett,8,90,12,0,110
Williamson,138,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",4,43,5,0,52
Williamson,138,State Representative,52,REP,Lucio Valdez,105,1293,132,7,1537
Williamson,138,State Representative,52,DEM,James Talarico,181,1315,91,3,1590
Williamson,140,President,,REP,Donald J. Trump/Michael R. Pence,55,564,73,45,737
Williamson,140,President,,DEM,Joseph R. Biden/Kamala D. Harris,105,782,54,110,1051
Williamson,140,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",1,23,6,0,30
Williamson,140,President,,GRE,Howie Hawkins/Angela Walker,0,0,1,0,1
Williamson,140,President,,,Write-in,0,5,0,1,6
Williamson,140,U.S. Senate,,REP,John Cornyn,63,593,76,45,777
Williamson,140,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",97,733,47,100,977
Williamson,140,U.S. Senate,,LBT,Kerry Douglas McKennon,0,27,5,1,33
Williamson,140,U.S. Senate,,GRE,David B. Collins,0,7,1,4,12
Williamson,140,U.S. Senate,,,Write-in,0,1,0,0,1
Williamson,140,U.S. House,31,REP,John Carter,61,611,78,49,799
Williamson,140,U.S. House,31,DEM,Donna Imam,96,721,46,104,967
Williamson,140,U.S. House,31,LBT,Clark Patterson,0,32,4,1,37
Williamson,140,U.S. House,31,,Write-in,0,2,0,0,2
Williamson,140,Railroad Commissioner,,REP,"James ""Jim"" Wright",55,591,68,45,759
Williamson,140,Railroad Commissioner,,DEM,Chrysta Castañeda,98,693,43,94,928
Williamson,140,Railroad Commissioner,,LBT,Matt Sterett,0,43,10,4,57
Williamson,140,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",2,26,4,6,38
Williamson,140,State Representative,136,REP,Mike Guevara,57,572,70,51,750
Williamson,140,State Representative,136,DEM,John H. Bucy III,93,719,40,95,947
Williamson,140,State Representative,136,LBT,Brian Elliott,1,54,11,2,68
Williamson,145,President,,REP,Donald J. Trump/Michael R. Pence,40,526,98,1,665
Williamson,145,President,,DEM,Joseph R. Biden/Kamala D. Harris,100,1026,141,4,1271
Williamson,145,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",2,38,11,0,51
Williamson,145,President,,GRE,Howie Hawkins/Angela Walker,0,7,0,0,7
Williamson,145,President,,,Write-in,1,1,1,0,3
Williamson,145,U.S. Senate,,REP,John Cornyn,44,515,98,0,657
Williamson,145,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",97,965,124,4,1190
Williamson,145,U.S. Senate,,LBT,Kerry Douglas McKennon,1,45,13,0,59
Williamson,145,U.S. Senate,,GRE,David B. Collins,0,13,4,0,17
Williamson,145,U.S. Senate,,,Write-in,0,0,0,0,0
Williamson,145,U.S. House,31,REP,John Carter,44,538,110,1,693
Williamson,145,U.S. House,31,DEM,Donna Imam,85,970,120,4,1179
Williamson,145,U.S. House,31,LBT,Clark Patterson,1,51,14,0,66
Williamson,145,U.S. House,31,,Write-in,0,0,0,0,0
Williamson,145,Railroad Commissioner,,REP,"James ""Jim"" Wright",43,492,100,1,636
Williamson,145,Railroad Commissioner,,DEM,Chrysta Castañeda,87,919,116,2,1124
Williamson,145,Railroad Commissioner,,LBT,Matt Sterett,4,66,13,1,84
Williamson,145,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",7,36,9,0,52
Williamson,145,State Representative,52,REP,Lucio Valdez,39,559,110,2,710
Williamson,145,State Representative,52,DEM,James Talarico,89,948,127,2,1166
Williamson,146,President,,REP,Donald J. Trump/Michael R. Pence,72,831,116,5,1024
Williamson,146,President,,DEM,Joseph R. Biden/Kamala D. Harris,290,2270,137,11,2708
Williamson,146,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",2,76,8,1,87
Williamson,146,President,,GRE,Howie Hawkins/Angela Walker,2,13,3,0,18
Williamson,146,President,,,Write-in,1,11,0,0,12
Williamson,146,U.S. Senate,,REP,John Cornyn,80,909,115,5,1109
Williamson,146,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",273,2150,120,11,2554
Williamson,146,U.S. Senate,,LBT,Kerry Douglas McKennon,1,71,15,0,87
Williamson,146,U.S. Senate,,GRE,David B. Collins,3,15,2,0,20
Williamson,146,U.S. Senate,,,Write-in,0,0,0,0,0
Williamson,146,U.S. House,31,REP,John Carter,73,933,108,4,1118
Williamson,146,U.S. House,31,DEM,Donna Imam,257,2142,131,8,2538
Williamson,146,U.S. House,31,LBT,Clark Patterson,4,71,14,2,91
Williamson,146,U.S. House,31,,Write-in,1,1,0,0,2
Williamson,146,Railroad Commissioner,,REP,"James ""Jim"" Wright",77,864,101,3,1045
Williamson,146,Railroad Commissioner,,DEM,Chrysta Castañeda,246,2089,125,9,2469
Williamson,146,Railroad Commissioner,,LBT,Matt Sterett,5,93,19,2,119
Williamson,146,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",9,58,3,0,70
Williamson,146,State Representative,136,REP,Mike Guevara,63,856,108,4,1031
Williamson,146,State Representative,136,DEM,John H. Bucy III,239,2114,128,8,2489
Williamson,146,State Representative,136,LBT,Brian Elliott,5,104,13,1,123
Williamson,147,President,,REP,Donald J. Trump/Michael R. Pence,55,656,116,3,830
Williamson,147,President,,DEM,Joseph R. Biden/Kamala D. Harris,204,1719,133,5,2061
Williamson,147,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",0,39,10,0,49
Williamson,147,President,,GRE,Howie Hawkins/Angela Walker,0,5,2,0,7
Williamson,147,President,,,Write-in,0,7,3,0,10
Williamson,147,U.S. Senate,,REP,John Cornyn,62,678,115,3,858
Williamson,147,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",193,1631,118,4,1946
Williamson,147,U.S. Senate,,LBT,Kerry Douglas McKennon,1,58,13,1,73
Williamson,147,U.S. Senate,,GRE,David B. Collins,0,15,8,0,23
Williamson,147,U.S. Senate,,,Write-in,0,3,0,0,3
Williamson,147,U.S. House,31,REP,John Carter,63,704,118,3,888
Williamson,147,U.S. House,31,DEM,Donna Imam,173,1626,126,4,1929
Williamson,147,U.S. House,31,LBT,Clark Patterson,2,61,13,1,77
Williamson,147,U.S. House,31,,Write-in,0,3,0,0,3
Williamson,147,Railroad Commissioner,,REP,"James ""Jim"" Wright",52,667,108,1,828
Williamson,147,Railroad Commissioner,,DEM,Chrysta Castañeda,177,1573,112,3,1865
Williamson,147,Railroad Commissioner,,LBT,Matt Sterett,5,79,15,1,100
Williamson,147,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",5,42,14,0,61
Williamson,147,State Representative,136,REP,Mike Guevara,46,636,105,1,788
Williamson,147,State Representative,136,DEM,John H. Bucy III,164,1530,115,3,1812
Williamson,147,State Representative,136,LBT,Brian Elliott,3,78,23,1,105
Williamson,149,President,,REP,Donald J. Trump/Michael R. Pence,101,596,98,2,797
Williamson,149,President,,DEM,Joseph R. Biden/Kamala D. Harris,181,971,106,5,1263
Williamson,149,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",2,32,10,0,44
Williamson,149,President,,GRE,Howie Hawkins/Angela Walker,0,6,3,0,9
Williamson,149,President,,,Write-in,1,2,0,0,3
Williamson,149,U.S. Senate,,REP,John Cornyn,114,579,85,1,779
Williamson,149,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",158,924,112,5,1199
Williamson,149,U.S. Senate,,LBT,Kerry Douglas McKennon,6,51,9,0,66
Williamson,149,U.S. Senate,,GRE,David B. Collins,1,11,1,0,13
Williamson,149,U.S. Senate,,,Write-in,0,0,0,0,0
Williamson,149,U.S. House,31,REP,John Carter,119,602,95,2,818
Williamson,149,U.S. House,31,DEM,Donna Imam,147,918,106,4,1175
Williamson,149,U.S. House,31,LBT,Clark Patterson,2,54,10,1,67
Williamson,149,U.S. House,31,,Write-in,0,3,0,0,3
Williamson,149,Railroad Commissioner,,REP,"James ""Jim"" Wright",109,589,86,2,786
Williamson,149,Railroad Commissioner,,DEM,Chrysta Castañeda,149,885,99,4,1137
Williamson,149,Railroad Commissioner,,LBT,Matt Sterett,8,45,12,0,65
Williamson,149,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",3,29,2,0,34
Williamson,149,State Representative,52,REP,Lucio Valdez,106,600,97,1,804
Williamson,149,State Representative,52,DEM,James Talarico,148,913,94,4,1159
Williamson,150,President,,REP,Donald J. Trump/Michael R. Pence,43,497,96,2,638
Williamson,150,President,,DEM,Joseph R. Biden/Kamala D. Harris,119,921,97,4,1141
Williamson,150,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",0,21,7,0,28
Williamson,150,President,,GRE,Howie Hawkins/Angela Walker,2,8,3,0,13
Williamson,150,President,,,Write-in,1,4,0,0,5
Williamson,150,U.S. Senate,,REP,John Cornyn,44,494,86,1,625
Williamson,150,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",116,872,93,4,1085
Williamson,150,U.S. Senate,,LBT,Kerry Douglas McKennon,1,30,10,0,41
Williamson,150,U.S. Senate,,GRE,David B. Collins,2,8,3,0,13
Williamson,150,U.S. Senate,,,Write-in,0,1,0,0,1
Williamson,150,U.S. House,31,REP,John Carter,45,520,97,2,664
Williamson,150,U.S. House,31,DEM,Donna Imam,109,864,88,4,1065
Williamson,150,U.S. House,31,LBT,Clark Patterson,1,37,7,0,45
Williamson,150,U.S. House,31,,Write-in,0,1,1,0,2
Williamson,150,Railroad Commissioner,,REP,"James ""Jim"" Wright",38,479,80,1,598
Williamson,150,Railroad Commissioner,,DEM,Chrysta Castañeda,115,840,94,3,1052
Williamson,150,Railroad Commissioner,,LBT,Matt Sterett,0,47,9,1,57
Williamson,150,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",3,29,7,0,39
Williamson,150,State Representative,52,REP,Lucio Valdez,40,512,89,2,643
Williamson,150,State Representative,52,DEM,James Talarico,111,875,97,2,1085
Williamson,151,President,,REP,Donald J. Trump/Michael R. Pence,34,458,88,1,581
Williamson,151,President,,DEM,Joseph R. Biden/Kamala D. Harris,157,1140,101,4,1402
Williamson,151,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",0,26,13,0,39
Williamson,151,President,,GRE,Howie Hawkins/Angela Walker,0,2,1,0,3
Williamson,151,President,,,Write-in,0,3,4,0,7
Williamson,151,U.S. Senate,,REP,John Cornyn,43,476,88,1,608
Williamson,151,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",148,1072,90,4,1314
Williamson,151,U.S. Senate,,LBT,Kerry Douglas McKennon,1,43,16,0,60
Williamson,151,U.S. Senate,,GRE,David B. Collins,0,13,3,0,16
Williamson,151,U.S. Senate,,,Write-in,0,0,0,0,0
Williamson,151,U.S. House,31,REP,John Carter,42,490,100,2,634
Williamson,151,U.S. House,31,DEM,Donna Imam,139,1086,82,3,1310
Williamson,151,U.S. House,31,LBT,Clark Patterson,1,34,14,0,49
Williamson,151,U.S. House,31,,Write-in,0,0,0,0,0
Williamson,151,Railroad Commissioner,,REP,"James ""Jim"" Wright",37,467,77,2,583
Williamson,151,Railroad Commissioner,,DEM,Chrysta Castañeda,149,1035,81,3,1268
Williamson,151,Railroad Commissioner,,LBT,Matt Sterett,2,52,22,0,76
Williamson,151,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,35,9,0,45
Williamson,151,State Representative,136,REP,Mike Guevara,33,476,82,2,593
Williamson,151,State Representative,136,DEM,John H. Bucy III,143,1037,77,3,1260
Williamson,151,State Representative,136,LBT,Brian Elliott,4,63,20,0,87
Williamson,152,President,,REP,Donald J. Trump/Michael R. Pence,36,426,81,2,545
Williamson,152,President,,DEM,Joseph R. Biden/Kamala D. Harris,97,1043,129,2,1271
Williamson,152,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",0,33,7,0,40
Williamson,152,President,,GRE,Howie Hawkins/Angela Walker,0,8,1,0,9
Williamson,152,President,,,Write-in,1,8,2,0,11
Williamson,152,U.S. Senate,,REP,John Cornyn,36,437,78,2,553
Williamson,152,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",93,1002,116,2,1213
Williamson,152,U.S. Senate,,LBT,Kerry Douglas McKennon,1,38,15,0,54
Williamson,152,U.S. Senate,,GRE,David B. Collins,2,12,5,0,19
Williamson,152,U.S. Senate,,,Write-in,0,0,0,0,0
Williamson,152,U.S. House,31,REP,John Carter,32,439,79,1,551
Williamson,152,U.S. House,31,DEM,Donna Imam,81,1019,119,2,1221
Williamson,152,U.S. House,31,LBT,Clark Patterson,1,37,13,1,52
Williamson,152,U.S. House,31,,Write-in,0,0,0,0,0
Williamson,152,Railroad Commissioner,,REP,"James ""Jim"" Wright",37,403,75,1,516
Williamson,152,Railroad Commissioner,,DEM,Chrysta Castañeda,87,969,115,1,1172
Williamson,152,Railroad Commissioner,,LBT,Matt Sterett,3,53,11,1,68
Williamson,152,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,43,4,1,49
Williamson,152,State Representative,136,REP,Mike Guevara,29,402,78,1,510
Williamson,152,State Representative,136,DEM,John H. Bucy III,82,992,109,1,1184
Williamson,152,State Representative,136,LBT,Brian Elliott,1,69,15,2,87
Williamson,160,President,,REP,Donald J. Trump/Michael R. Pence,74,1190,122,2,1388
Williamson,160,President,,DEM,Joseph R. Biden/Kamala D. Harris,188,1790,126,3,2107
Williamson,160,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",4,53,12,0,69
Williamson,160,President,,GRE,Howie Hawkins/Angela Walker,0,13,2,0,15
Williamson,160,President,,,Write-in,1,12,2,0,15
Williamson,160,U.S. Senate,,REP,John Cornyn,85,1241,124,2,1452
Williamson,160,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",175,1663,105,3,1946
Williamson,160,U.S. Senate,,LBT,Kerry Douglas McKennon,3,69,17,0,89
Williamson,160,U.S. Senate,,GRE,David B. Collins,1,13,6,0,20
Williamson,160,U.S. Senate,,,Write-in,0,1,1,0,2
Williamson,160,U.S. House,31,REP,John Carter,76,1298,135,2,1511
Williamson,160,U.S. House,31,DEM,Donna Imam,164,1644,95,3,1906
Williamson,160,U.S. House,31,LBT,Clark Patterson,2,75,19,0,96
Williamson,160,U.S. House,31,,Write-in,0,2,1,0,3
Williamson,160,Railroad Commissioner,,REP,"James ""Jim"" Wright",75,1214,116,1,1406
Williamson,160,Railroad Commissioner,,DEM,Chrysta Castañeda,162,1587,103,2,1854
Williamson,160,Railroad Commissioner,,LBT,Matt Sterett,3,99,21,0,123
Williamson,160,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",7,49,6,0,62
Williamson,160,State Representative,136,REP,Mike Guevara,65,1187,113,1,1366
Williamson,160,State Representative,136,DEM,John H. Bucy III,152,1601,92,2,1847
Williamson,160,State Representative,136,LBT,Brian Elliott,7,116,28,0,151
Williamson,162,President,,REP,Donald J. Trump/Michael R. Pence,59,463,86,0,608
Williamson,162,President,,DEM,Joseph R. Biden/Kamala D. Harris,181,1184,97,0,1462
Williamson,162,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",0,35,5,0,40
Williamson,162,President,,GRE,Howie Hawkins/Angela Walker,0,5,1,0,6
Williamson,162,President,,,Write-in,0,7,0,0,7
Williamson,162,U.S. Senate,,REP,John Cornyn,71,489,90,0,650
Williamson,162,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",165,1114,92,0,1371
Williamson,162,U.S. Senate,,LBT,Kerry Douglas McKennon,0,43,2,0,45
Williamson,162,U.S. Senate,,GRE,David B. Collins,0,14,1,0,15
Williamson,162,U.S. Senate,,,Write-in,0,1,0,0,1
Williamson,162,U.S. House,31,REP,John Carter,67,492,84,0,643
Williamson,162,U.S. House,31,DEM,Donna Imam,147,1117,90,0,1354
Williamson,162,U.S. House,31,LBT,Clark Patterson,0,41,6,0,47
Williamson,162,U.S. House,31,,Write-in,0,0,0,0,0
Williamson,162,Railroad Commissioner,,REP,"James ""Jim"" Wright",70,468,76,0,614
Williamson,162,Railroad Commissioner,,DEM,Chrysta Castañeda,152,1052,91,0,1295
Williamson,162,Railroad Commissioner,,LBT,Matt Sterett,2,61,6,0,69
Williamson,162,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",0,41,0,0,41
Williamson,162,State Representative,136,REP,Mike Guevara,56,457,80,0,593
Williamson,162,State Representative,136,DEM,John H. Bucy III,135,1091,85,0,1311
Williamson,162,State Representative,136,LBT,Brian Elliott,3,68,6,0,77
Williamson,172,President,,REP,Donald J. Trump/Michael R. Pence,55,717,67,1,840
Williamson,172,President,,DEM,Joseph R. Biden/Kamala D. Harris,113,910,40,0,1063
Williamson,172,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",5,30,6,0,41
Williamson,172,President,,GRE,Howie Hawkins/Angela Walker,0,4,1,0,5
Williamson,172,President,,,Write-in,0,6,0,0,6
Williamson,172,U.S. Senate,,REP,John Cornyn,66,782,78,1,927
Williamson,172,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",103,819,29,0,951
Williamson,172,U.S. Senate,,LBT,Kerry Douglas McKennon,4,23,2,0,29
Williamson,172,U.S. Senate,,GRE,David B. Collins,0,5,1,0,6
Williamson,172,U.S. Senate,,,Write-in,0,0,0,0,0
Williamson,172,U.S. House,31,REP,John Carter,63,818,81,1,963
Williamson,172,U.S. House,31,DEM,Donna Imam,105,790,30,0,925
Williamson,172,U.S. House,31,LBT,Clark Patterson,4,26,1,0,31
Williamson,172,U.S. House,31,,Write-in,0,2,0,0,2
Williamson,172,Railroad Commissioner,,REP,"James ""Jim"" Wright",56,766,71,1,894
Williamson,172,Railroad Commissioner,,DEM,Chrysta Castañeda,101,767,34,0,902
Williamson,172,Railroad Commissioner,,LBT,Matt Sterett,5,43,1,0,49
Williamson,172,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,17,0,0,18
Williamson,172,State Representative,52,REP,Lucio Valdez,54,764,69,1,888
Williamson,172,State Representative,52,DEM,James Talarico,105,803,39,0,947
Williamson,182,President,,REP,Donald J. Trump/Michael R. Pence,69,1510,142,6,1727
Williamson,182,President,,DEM,Joseph R. Biden/Kamala D. Harris,143,1514,58,3,1718
Williamson,182,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",0,36,4,0,40
Williamson,182,President,,GRE,Howie Hawkins/Angela Walker,2,7,1,0,10
Williamson,182,President,,,Write-in,2,5,0,0,7
Williamson,182,U.S. Senate,,REP,John Cornyn,80,1609,141,6,1836
Williamson,182,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",128,1365,47,2,1542
Williamson,182,U.S. Senate,,LBT,Kerry Douglas McKennon,2,39,8,0,49
Williamson,182,U.S. Senate,,GRE,David B. Collins,2,10,3,0,15
Williamson,182,U.S. Senate,,,Write-in,1,1,0,0,2
Williamson,182,U.S. House,31,REP,John Carter,81,1683,144,7,1915
Williamson,182,U.S. House,31,DEM,Donna Imam,122,1292,40,1,1455
Williamson,182,U.S. House,31,LBT,Clark Patterson,2,48,13,0,63
Williamson,182,U.S. House,31,,Write-in,0,1,0,0,1
Williamson,182,Railroad Commissioner,,REP,"James ""Jim"" Wright",78,1571,137,4,1790
Williamson,182,Railroad Commissioner,,DEM,Chrysta Castañeda,115,1285,40,1,1441
Williamson,182,Railroad Commissioner,,LBT,Matt Sterett,6,80,13,0,99
Williamson,182,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",2,19,3,0,24
Williamson,182,State Representative,52,REP,Lucio Valdez,74,1624,146,4,1848
Williamson,182,State Representative,52,DEM,James Talarico,121,1303,39,1,1464
Williamson,185,President,,REP,Donald J. Trump/Michael R. Pence,25,313,38,0,376
Williamson,185,President,,DEM,Joseph R. Biden/Kamala D. Harris,89,768,41,3,901
Williamson,185,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",3,19,2,0,24
Williamson,185,President,,GRE,Howie Hawkins/Angela Walker,0,1,2,0,3
Williamson,185,President,,,Write-in,0,5,0,0,5
Williamson,185,U.S. Senate,,REP,John Cornyn,27,347,42,0,416
Williamson,185,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",82,724,35,2,843
Williamson,185,U.S. Senate,,LBT,Kerry Douglas McKennon,3,15,5,1,24
Williamson,185,U.S. Senate,,GRE,David B. Collins,0,6,2,0,8
Williamson,185,U.S. Senate,,,Write-in,0,1,0,0,1
Williamson,185,U.S. House,31,REP,John Carter,25,343,41,0,409
Williamson,185,U.S. House,31,DEM,Donna Imam,75,726,37,2,840
Williamson,185,U.S. House,31,LBT,Clark Patterson,3,23,3,1,30
Williamson,185,U.S. House,31,,Write-in,0,2,0,0,2
Williamson,185,Railroad Commissioner,,REP,"James ""Jim"" Wright",27,320,40,0,387
Williamson,185,Railroad Commissioner,,DEM,Chrysta Castañeda,75,700,29,2,806
Williamson,185,Railroad Commissioner,,LBT,Matt Sterett,2,35,5,1,43
Williamson,185,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",1,20,4,0,25
Williamson,185,State Representative,136,REP,Mike Guevara,20,324,39,0,383
Williamson,185,State Representative,136,DEM,John H. Bucy III,72,719,33,2,826
Williamson,185,State Representative,136,LBT,Brian Elliott,5,33,4,1,43
Williamson,186,President,,REP,Donald J. Trump/Michael R. Pence,42,631,80,0,753
Williamson,186,President,,DEM,Joseph R. Biden/Kamala D. Harris,111,1302,56,2,1471
Williamson,186,President,,LBT,"Jo Jorgensen/Jeremy ""Spike"" Cohen",0,25,3,0,28
Williamson,186,President,,GRE,Howie Hawkins/Angela Walker,0,5,0,0,5
Williamson,186,President,,,Write-in,0,4,4,0,8
