county,precinct,office,district,candidate,party,votes,election day,early_voting,mail ,provisional,limited
Kleberg,Precinct 11,U.S. Senate,,Chris Bell,DEM,10,3,7,0,0,0
Kleberg,Precinct 11,U.S. Senate,,Sema Hernandez,DEM,11,8,2,1,0,0
Kleberg,Precinct 11,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,20,11,7,2,0,0
Kleberg,Precinct 11,U.S. Senate,,Victor Hugo Harris,DEM,3,2,0,1,0,0
Kleberg,Precinct 11,U.S. Senate,,Amanda K. Edwards,DEM,15,14,1,0,0,0
Kleberg,Precinct 11,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,7,5,0,2,0,0
Kleberg,Precinct 11,U.S. Senate,,Royce West,DEM,15,7,6,2,0,0
Kleberg,Precinct 11,U.S. House,34,Diego Zavala,DEM,50,36,9,5,0,0
Kleberg,Precinct 11,U.S. House,34,Filemon B. Vela,DEM,138,86,36,16,0,0
Kleberg,Precinct 11,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,17,14,2,1,0,0
Kleberg,Precinct 11,Railroad Commissioner,,Chrysta Castaneda,DEM,68,46,14,8,0,0
Kleberg,Precinct 11,Railroad Commissioner,,Mark Watson,DEM,31,19,10,2,0,0
Kleberg,Precinct 11,Railroad Commissioner,,Kelly Stone,DEM,29,20,6,3,0,0
Kleberg,Precinct 11,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,67,50,11,6,0,0
Kleberg,Precinct 11,State Senate,27,"Eddie Lucio, Jr.",DEM,83,54,19,10,0,0
Kleberg,Precinct 11,State Senate,27,Ruben Cortez,DEM,20,15,2,3,0,0
Kleberg,Precinct 11,State Senate,27,Sara Stapleton Barrera,DEM,115,77,28,10,0,0
Kleberg,Precinct 12,Registered Voters,,,,1333,,,,,
Kleberg,Precinct 12,Ballots Cast Total,,,,373,215,144,12,2,0
Kleberg,Precinct 12,Ballots Cast,,,REP,224,132,91,0,1,0
Kleberg,Precinct 12,Ballots Cast,,,DEM,149,83,53,12,1,0
Kleberg,Precinct 12,President,,Michael Bennet,DEM,1,0,1,0,0,0
Kleberg,Precinct 12,President,,Andrew Yang,DEM,0,0,0,0,0,0
Kleberg,Precinct 12,President,,Tulsi Gabbard,DEM,2,2,0,0,0,0
Kleberg,Precinct 12,President,,Elizabeth Warren,DEM,9,6,3,0,0,0
Kleberg,Precinct 12,President,,Julian Castro,DEM,4,2,2,0,0,0
Kleberg,Precinct 12,President,,Pete Buttigieg,DEM,8,1,6,1,0,0
Kleberg,Precinct 12,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0,0,0
Kleberg,Precinct 12,President,,Michael R. Bloomberg,DEM,33,11,14,7,1,0
Kleberg,Precinct 12,President,,Cory Booker,DEM,1,0,1,0,0,0
Kleberg,Precinct 12,President,,Joseph R. Biden,DEM,45,34,10,1,0,0
Kleberg,Precinct 12,President,,Amy Klobuchar,DEM,1,0,1,0,0,0
Kleberg,Precinct 12,President,,Tom Steyer,DEM,0,0,0,0,0,0
Kleberg,Precinct 12,President,,Bernie Sanders,DEM,38,24,13,1,0,0
Kleberg,Precinct 12,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 12,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 12,President,,Marianne Williamson,DEM,0,0,0,0,0,0
Kleberg,Precinct 12,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 12,U.S. Senate,,Adrian Ocegueda,DEM,2,2,0,0,0,0
Kleberg,Precinct 12,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,34,20,12,2,0,0
Kleberg,Precinct 12,U.S. Senate,,D. R. Hunter,DEM,9,2,7,0,0,0
Kleberg,Precinct 12,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,32,23,6,3,0,0
Kleberg,Precinct 12,U.S. Senate,,Michael Cooper,DEM,3,0,2,1,0,0
Kleberg,Precinct 12,U.S. Senate,,Chris Bell,DEM,4,2,2,0,0,0
Kleberg,Precinct 12,U.S. Senate,,Sema Hernandez,DEM,11,7,4,0,0,0
Kleberg,Precinct 12,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,9,4,4,1,0,0
Kleberg,Precinct 12,U.S. Senate,,Victor Hugo Harris,DEM,5,1,4,0,0,0
Kleberg,Precinct 12,U.S. Senate,,Amanda K. Edwards,DEM,7,4,3,0,0,0
Kleberg,Precinct 12,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,1,1,0,0,0,0
Kleberg,Precinct 12,U.S. Senate,,Royce West,DEM,1,0,1,0,0,0
Kleberg,Precinct 12,U.S. House,34,Diego Zavala,DEM,25,12,12,1,0,0
Kleberg,Precinct 12,U.S. House,34,Filemon B. Vela,DEM,90,53,29,7,1,0
Kleberg,Precinct 12,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,11,3,7,1,0,0
Kleberg,Precinct 12,Railroad Commissioner,,Chrysta Castaneda,DEM,37,25,11,1,0,0
Kleberg,Precinct 12,Railroad Commissioner,,Mark Watson,DEM,9,3,5,1,0,0
Kleberg,Precinct 12,Railroad Commissioner,,Kelly Stone,DEM,17,10,6,1,0,0
Kleberg,Precinct 12,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,55,25,24,6,0,0
Kleberg,Precinct 12,State Senate,27,"Eddie Lucio, Jr.",DEM,63,30,26,6,1,0
Kleberg,Precinct 12,State Senate,27,Ruben Cortez,DEM,12,5,6,1,0,0
Kleberg,Precinct 12,State Senate,27,Sara Stapleton Barrera,DEM,59,39,19,1,0,0
Kleberg,Precinct 13/14,Registered Voters,,,,1824,,,,,
Kleberg,Precinct 13/14,Ballots Cast Total,,,,469,279,142,46,2,0
Kleberg,Precinct 13/14,Ballots Cast,,,REP,141,85,53,3,0,0
Kleberg,Precinct 13/14,Ballots Cast,,,DEM,328,194,89,43,2,0
Kleberg,Precinct 13/14,President,,Michael Bennet,DEM,2,0,1,1,0,0
Kleberg,Precinct 13/14,President,,Andrew Yang,DEM,4,3,0,1,0,0
Kleberg,Precinct 13/14,President,,Tulsi Gabbard,DEM,0,0,0,0,0,0
Kleberg,Precinct 13/14,President,,Elizabeth Warren,DEM,20,12,3,4,1,0
Kleberg,Precinct 13/14,President,,Julian Castro,DEM,7,4,2,1,0,0
Kleberg,Precinct 13/14,President,,Pete Buttigieg,DEM,7,0,3,4,0,0
Kleberg,Precinct 13/14,President,,"Roque ""Rocky"" De La Fuente",DEM,2,1,1,0,0,0
Kleberg,Precinct 13/14,President,,Michael R. Bloomberg,DEM,67,30,24,13,0,0
Kleberg,Precinct 13/14,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 13/14,President,,Joseph R. Biden,DEM,127,98,22,7,0,0
Kleberg,Precinct 13/14,President,,Amy Klobuchar,DEM,5,1,4,0,0,0
Kleberg,Precinct 13/14,President,,Tom Steyer,DEM,2,0,0,2,0,0
Kleberg,Precinct 13/14,President,,Bernie Sanders,DEM,76,43,23,9,1,0
Kleberg,Precinct 13/14,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 13/14,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 13/14,President,,Marianne Williamson,DEM,0,0,0,0,0,0
Kleberg,Precinct 13/14,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 13/14,U.S. Senate,,Adrian Ocegueda,DEM,8,6,2,0,0,0
Kleberg,Precinct 13/14,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,64,35,16,12,1,0
Kleberg,Precinct 13/14,U.S. Senate,,D. R. Hunter,DEM,17,9,5,2,1,0
Kleberg,Precinct 13/14,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,95,65,21,9,0,0
Kleberg,Precinct 13/14,U.S. Senate,,Michael Cooper,DEM,10,6,4,0,0,0
Kleberg,Precinct 13/14,U.S. Senate,,Chris Bell,DEM,6,2,4,0,0,0
Kleberg,Precinct 13/14,U.S. Senate,,Sema Hernandez,DEM,27,16,8,3,0,0
Kleberg,Precinct 13/14,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,27,9,12,6,0,0
Kleberg,Precinct 13/14,U.S. Senate,,Victor Hugo Harris,DEM,6,4,1,1,0,0
Kleberg,Precinct 13/14,U.S. Senate,,Amanda K. Edwards,DEM,13,7,4,2,0,0
Kleberg,Precinct 13/14,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,5,5,0,0,0,0
Kleberg,Precinct 13/14,U.S. Senate,,Royce West,DEM,6,4,0,2,0,0
Kleberg,Precinct 13/14,U.S. House,34,Diego Zavala,DEM,53,33,14,4,2,0
Kleberg,Precinct 13/14,U.S. House,34,Filemon B. Vela,DEM,250,140,72,38,0,0
Kleberg,Precinct 13/14,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,6,6,0,0,0,0
Kleberg,Precinct 13/14,Railroad Commissioner,,Chrysta Castaneda,DEM,115,67,35,13,0,0
Kleberg,Precinct 13/14,Railroad Commissioner,,Mark Watson,DEM,39,22,10,6,1,0
Kleberg,Precinct 13/14,Railroad Commissioner,,Kelly Stone,DEM,25,15,10,0,0,0
Kleberg,Precinct 13/14,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,117,72,27,17,1,0
Kleberg,Precinct 13/14,State Senate,27,"Eddie Lucio, Jr.",DEM,133,73,33,27,0,0
Kleberg,Precinct 13/14,State Senate,27,Ruben Cortez,DEM,34,20,11,2,1,0
Kleberg,Precinct 13/14,State Senate,27,Sara Stapleton Barrera,DEM,147,90,42,14,1,0
Kleberg,Precinct 21,Registered Voters,,,,429,,,,,
Kleberg,Precinct 21,Ballots Cast Total,,,,58,38,13,7,0,0
Kleberg,Precinct 21,Ballots Cast,,,REP,14,13,1,0,0,0
Kleberg,Precinct 21,Ballots Cast,,,DEM,44,25,12,7,0,0
Kleberg,Precinct 21,President,,Michael Bennet,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,President,,Andrew Yang,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,President,,Tulsi Gabbard,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,President,,Elizabeth Warren,DEM,1,0,1,0,0,0
Kleberg,Precinct 21,President,,Julian Castro,DEM,3,2,0,1,0,0
Kleberg,Precinct 21,President,,Pete Buttigieg,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,President,,"Roque ""Rocky"" De La Fuente",DEM,1,1,0,0,0,0
Kleberg,Precinct 21,President,,Michael R. Bloomberg,DEM,6,3,1,2,0,0
Kleberg,Precinct 21,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,President,,Joseph R. Biden,DEM,15,8,4,3,0,0
Kleberg,Precinct 21,President,,Amy Klobuchar,DEM,2,1,1,0,0,0
Kleberg,Precinct 21,President,,Tom Steyer,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,President,,Bernie Sanders,DEM,14,9,4,1,0,0
Kleberg,Precinct 21,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,President,,Marianne Williamson,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,U.S. Senate,,Adrian Ocegueda,DEM,2,1,0,1,0,0
Kleberg,Precinct 21,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,10,6,3,1,0,0
Kleberg,Precinct 21,U.S. Senate,,D. R. Hunter,DEM,4,3,1,0,0,0
Kleberg,Precinct 21,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,13,8,3,2,0,0
Kleberg,Precinct 21,U.S. Senate,,Michael Cooper,DEM,2,0,2,0,0,0
Kleberg,Precinct 21,U.S. Senate,,Chris Bell,DEM,1,1,0,0,0,0
Kleberg,Precinct 21,U.S. Senate,,Sema Hernandez,DEM,4,2,1,1,0,0
Kleberg,Precinct 21,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,1,0,1,0,0,0
Kleberg,Precinct 21,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,U.S. Senate,,Amanda K. Edwards,DEM,2,1,0,1,0,0
Kleberg,Precinct 21,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0,0,0
Kleberg,Precinct 21,U.S. Senate,,Royce West,DEM,0,0,0,0,0,0
Kleberg,Precinct 21,U.S. House,34,Diego Zavala,DEM,9,6,3,0,0,0
Kleberg,Precinct 21,U.S. House,34,Filemon B. Vela,DEM,29,14,8,7,0,0
Kleberg,Precinct 21,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,2,2,0,0,0,0
Kleberg,Precinct 21,Railroad Commissioner,,Chrysta Castaneda,DEM,18,11,5,2,0,0
Kleberg,Precinct 21,Railroad Commissioner,,Mark Watson,DEM,1,0,0,1,0,0
Kleberg,Precinct 21,Railroad Commissioner,,Kelly Stone,DEM,1,1,0,0,0,0
Kleberg,Precinct 21,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,20,11,6,3,0,0
Kleberg,Precinct 21,State Senate,27,"Eddie Lucio, Jr.",DEM,16,9,3,4,0,0
Kleberg,Precinct 21,State Senate,27,Ruben Cortez,DEM,7,3,4,0,0,0
Kleberg,Precinct 21,State Senate,27,Sara Stapleton Barrera,DEM,17,10,4,3,0,0
Kleberg,Precinct 22,Registered Voters,,,,926,,,,,
Kleberg,Precinct 22,Ballots Cast Total,,,,222,130,81,11,0,0
Kleberg,Precinct 22,Ballots Cast,,,REP,77,44,33,0,0,0
Kleberg,Precinct 22,Ballots Cast,,,DEM,145,86,48,11,0,0
Kleberg,Precinct 22,President,,Michael Bennet,DEM,1,1,0,0,0,0
Kleberg,Precinct 22,President,,Andrew Yang,DEM,0,0,0,0,0,0
Kleberg,Precinct 22,President,,Tulsi Gabbard,DEM,3,1,2,0,0,0
Kleberg,Precinct 22,President,,Elizabeth Warren,DEM,11,6,2,3,0,0
Kleberg,Precinct 22,President,,Julian Castro,DEM,2,1,1,0,0,0
Kleberg,Precinct 22,President,,Pete Buttigieg,DEM,2,0,2,0,0,0
Kleberg,Precinct 22,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0,0,0
Kleberg,Precinct 22,President,,Michael R. Bloomberg,DEM,20,7,11,2,0,0
Kleberg,Precinct 22,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 22,President,,Joseph R. Biden,DEM,54,39,12,3,0,0
Kleberg,Precinct 22,President,,Amy Klobuchar,DEM,2,0,1,1,0,0
Kleberg,Precinct 22,President,,Tom Steyer,DEM,1,0,1,0,0,0
Kleberg,Precinct 22,President,,Bernie Sanders,DEM,45,28,16,1,0,0
Kleberg,Precinct 22,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 22,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 22,President,,Marianne Williamson,DEM,1,1,0,0,0,0
Kleberg,Precinct 22,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 22,U.S. Senate,,Adrian Ocegueda,DEM,4,3,0,1,0,0
Kleberg,Precinct 22,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,24,15,9,0,0,0
Kleberg,Precinct 22,U.S. Senate,,D. R. Hunter,DEM,4,2,1,1,0,0
Kleberg,Precinct 22,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,51,34,16,1,0,0
Kleberg,Precinct 22,U.S. Senate,,Michael Cooper,DEM,5,3,2,0,0,0
Kleberg,Precinct 22,U.S. Senate,,Chris Bell,DEM,4,2,2,0,0,0
Kleberg,Precinct 22,U.S. Senate,,Sema Hernandez,DEM,12,5,7,0,0,0
Kleberg,Precinct 22,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,7,5,0,2,0,0
Kleberg,Precinct 22,U.S. Senate,,Victor Hugo Harris,DEM,3,1,2,0,0,0
Kleberg,Precinct 22,U.S. Senate,,Amanda K. Edwards,DEM,8,5,2,1,0,0
Kleberg,Precinct 22,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,3,1,1,1,0,0
Kleberg,Precinct 22,U.S. Senate,,Royce West,DEM,4,2,2,0,0,0
Kleberg,Precinct 22,U.S. House,34,Diego Zavala,DEM,28,18,9,1,0,0
Kleberg,Precinct 22,U.S. House,34,Filemon B. Vela,DEM,89,50,32,7,0,0
Kleberg,Precinct 22,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,11,8,2,1,0,0
Kleberg,Precinct 22,Railroad Commissioner,,Chrysta Castaneda,DEM,54,31,21,2,0,0
Kleberg,Precinct 22,Railroad Commissioner,,Mark Watson,DEM,13,6,4,3,0,0
Kleberg,Precinct 22,Railroad Commissioner,,Kelly Stone,DEM,18,11,7,0,0,0
Kleberg,Precinct 22,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,40,27,11,2,0,0
Kleberg,Precinct 22,State Senate,27,"Eddie Lucio, Jr.",DEM,52,31,15,6,0,0
Kleberg,Precinct 22,State Senate,27,Ruben Cortez,DEM,23,15,8,0,0,0
Kleberg,Precinct 22,State Senate,27,Sara Stapleton Barrera,DEM,58,33,22,3,0,0
Kleberg,Precinct 23,Registered Voters,,,,1238,,,,,
Kleberg,Precinct 23,Ballots Cast Total,,,,244,149,67,25,3,0
Kleberg,Precinct 23,Ballots Cast,,,REP,72,43,29,0,0,0
Kleberg,Precinct 23,Ballots Cast,,,DEM,172,106,38,25,3,0
Kleberg,Precinct 23,President,,Michael Bennet,DEM,1,0,1,0,0,0
Kleberg,Precinct 23,President,,Andrew Yang,DEM,0,0,0,0,0,0
Kleberg,Precinct 23,President,,Tulsi Gabbard,DEM,0,0,0,0,0,0
Kleberg,Precinct 23,President,,Elizabeth Warren,DEM,9,5,2,2,0,0
Kleberg,Precinct 23,President,,Julian Castro,DEM,11,5,4,2,0,0
Kleberg,Precinct 23,President,,Pete Buttigieg,DEM,2,0,2,0,0,0
Kleberg,Precinct 23,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0,0,0
Kleberg,Precinct 23,President,,Michael R. Bloomberg,DEM,28,10,9,8,1,0
Kleberg,Precinct 23,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 23,President,,Joseph R. Biden,DEM,59,43,7,8,1,0
Kleberg,Precinct 23,President,,Amy Klobuchar,DEM,2,0,1,1,0,0
Kleberg,Precinct 23,President,,Tom Steyer,DEM,0,0,0,0,0,0
Kleberg,Precinct 23,President,,Bernie Sanders,DEM,58,42,12,3,1,0
Kleberg,Precinct 23,President,,John K. Delaney,DEM,0,0,0,0,0,0
Kleberg,Precinct 23,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 23,President,,Marianne Williamson,DEM,0,0,0,0,0,0
Kleberg,Precinct 23,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 23,U.S. Senate,,Adrian Ocegueda,DEM,9,5,1,3,0,0
Kleberg,Precinct 23,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,37,21,13,3,0,0
Kleberg,Precinct 23,U.S. Senate,,D. R. Hunter,DEM,8,3,1,4,0,0
Kleberg,Precinct 23,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,55,41,10,4,0,0
Kleberg,Precinct 23,U.S. Senate,,Michael Cooper,DEM,7,3,2,2,0,0
Kleberg,Precinct 23,U.S. Senate,,Chris Bell,DEM,7,3,2,1,1,0
Kleberg,Precinct 23,U.S. Senate,,Sema Hernandez,DEM,12,6,4,1,1,0
Kleberg,Precinct 23,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,14,10,2,1,1,0
Kleberg,Precinct 23,U.S. Senate,,Victor Hugo Harris,DEM,2,2,0,0,0,0
Kleberg,Precinct 23,U.S. Senate,,Amanda K. Edwards,DEM,5,5,0,0,0,0
Kleberg,Precinct 23,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0,0,0
Kleberg,Precinct 23,U.S. Senate,,Royce West,DEM,4,1,1,2,0,0
Kleberg,Precinct 23,U.S. House,34,Diego Zavala,DEM,37,26,7,4,0,0
Kleberg,Precinct 23,U.S. House,34,Filemon B. Vela,DEM,117,68,26,20,3,0
Kleberg,Precinct 23,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,9,6,2,1,0,0
Kleberg,Precinct 23,Railroad Commissioner,,Chrysta Castaneda,DEM,57,41,9,6,1,0
Kleberg,Precinct 23,Railroad Commissioner,,Mark Watson,DEM,14,9,5,0,0,0
Kleberg,Precinct 23,Railroad Commissioner,,Kelly Stone,DEM,22,11,6,4,1,0
Kleberg,Precinct 23,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,67,38,15,13,1,0
Kleberg,Precinct 23,State Senate,27,"Eddie Lucio, Jr.",DEM,67,40,13,14,0,0
Kleberg,Precinct 23,State Senate,27,Ruben Cortez,DEM,23,16,2,4,1,0
Kleberg,Precinct 23,State Senate,27,Sara Stapleton Barrera,DEM,74,44,21,7,2,0
Kleberg,Precinct 24,Registered Voters,,,,1169,,,,,
Kleberg,Precinct 24,Ballots Cast Total,,,,237,134,81,22,0,0
Kleberg,Precinct 24,Ballots Cast,,,REP,101,58,43,0,0,0
Kleberg,Precinct 24,Ballots Cast,,,DEM,136,76,38,22,0,0
Kleberg,Precinct 24,President,,Michael Bennet,DEM,1,1,0,0,0,0
Kleberg,Precinct 24,President,,Andrew Yang,DEM,4,0,2,2,0,0
Kleberg,Precinct 24,President,,Tulsi Gabbard,DEM,1,1,0,0,0,0
Kleberg,Precinct 24,President,,Elizabeth Warren,DEM,18,12,6,0,0,0
Kleberg,Precinct 24,President,,Julian Castro,DEM,2,1,0,1,0,0
Kleberg,Precinct 24,President,,Pete Buttigieg,DEM,3,1,0,2,0,0
Kleberg,Precinct 24,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0,0,0
Kleberg,Precinct 24,President,,Michael R. Bloomberg,DEM,15,4,7,4,0,0
Kleberg,Precinct 24,President,,Cory Booker,DEM,0,0,0,0,0,0
Kleberg,Precinct 24,President,,Joseph R. Biden,DEM,50,33,9,8,0,0
Kleberg,Precinct 24,President,,Amy Klobuchar,DEM,3,0,2,1,0,0
Kleberg,Precinct 24,President,,Tom Steyer,DEM,0,0,0,0,0,0
Kleberg,Precinct 24,President,,Bernie Sanders,DEM,33,19,11,3,0,0
Kleberg,Precinct 24,President,,John K. Delaney,DEM,1,1,0,0,0,0
Kleberg,Precinct 24,President,,Deval Patrick,DEM,0,0,0,0,0,0
Kleberg,Precinct 24,President,,Marianne Williamson,DEM,1,1,0,0,0,0
Kleberg,Precinct 24,President,,Robby Wells,DEM,0,0,0,0,0,0
Kleberg,Precinct 24,U.S. Senate,,Adrian Ocegueda,DEM,3,3,0,0,0,0
Kleberg,Precinct 24,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,29,16,6,7,0,0
Kleberg,Precinct 24,U.S. Senate,,D. R. Hunter,DEM,11,7,2,2,0,0
Kleberg,Precinct 24,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,29,15,13,1,0,0
Kleberg,Precinct 24,U.S. Senate,,Michael Cooper,DEM,1,1,0,0,0,0
Kleberg,Precinct 24,U.S. Senate,,Chris Bell,DEM,6,3,2,1,0,0
Kleberg,Precinct 24,U.S. Senate,,Sema Hernandez,DEM,15,8,4,3,0,0
Kleberg,Precinct 24,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,12,6,3,3,0,0
Kleberg,Precinct 24,U.S. Senate,,Victor Hugo Harris,DEM,4,2,2,0,0,0
Kleberg,Precinct 24,U.S. Senate,,Amanda K. Edwards,DEM,3,2,1,0,0,0
Kleberg,Precinct 24,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,2,0,2,0,0,0
Kleberg,Precinct 24,U.S. Senate,,Royce West,DEM,4,3,0,1,0,0
Kleberg,Precinct 24,U.S. House,34,Diego Zavala,DEM,26,17,8,1,0,0
Kleberg,Precinct 24,U.S. House,34,Filemon B. Vela,DEM,92,49,26,17,0,0
Kleberg,Precinct 24,U.S. House,34,"Osbert Rodriguez Haro, III",DEM,5,2,2,1,0,0
Kleberg,Precinct 24,Railroad Commissioner,,Chrysta Castaneda,DEM,47,28,13,6,0,0
Kleberg,Precinct 24,Railroad Commissioner,,Mark Watson,DEM,14,11,2,1,0,0
Kleberg,Precinct 24,Railroad Commissioner,,Kelly Stone,DEM,17,9,6,2,0,0
Kleberg,Precinct 24,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,42,21,13,8,0,0
Kleberg,Precinct 24,State Senate,27,"Eddie Lucio, Jr.",DEM,51,21,20,10,0,0
Kleberg,Precinct 24,State Senate,27,Ruben Cortez,DEM,13,6,3,4,0,0
Kleberg,Precinct 24,State Senate,27,Sara Stapleton Barrera,DEM,63,44,12,7,0,0
Kleberg,Precinct 31,Registered Voters,,,,1403,,,,,
Kleberg,Precinct 31,Ballots Cast Total,,,,376,224,131,21,0,0
Kleberg,Precinct 31,Ballots Cast,,,REP,201,118,78,5,0,0
Kleberg,Precinct 31,Ballots Cast,,,DEM,175,106,53,16,0,0
Kleberg,Precinct 31,President,,Michael Bennet,DEM,4,3,1,0,0,0
Kleberg,Precinct 31,President,,Andrew Yang,DEM,0,0,0,0,0,0
