candidate,office,district,party,county,precinct,votes,election_day,early_voting,absentee,provisional
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 2,106,40,51,12,3
Ballots Cast,,,,Bosque,Precinct 3,822,149,624,48,1
Ballots Cast Blank,,,,Bosque,Precinct 3,1,0,1,0,0
Donald J Trump,President,,REP,Bosque,Precinct 3,684,128,527,28,1
Joseph R Biden,President,,DEM,Bosque,Precinct 3,121,18,87,16,0
Jo Jorgensen,President,,LIB,Bosque,Precinct 3,10,0,7,3,0
Howie Hawkins,President,,GRN,Bosque,Precinct 3,1,0,1,0,0
Write-In Totals,President,,,Bosque,Precinct 3,2,1,0,1,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 3,683,128,523,31,1
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 3,109,16,78,15,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 3,8,1,7,0,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 3,5,1,3,1,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 3,1,0,1,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 3,667,121,513,32,1
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 3,113,20,78,15,0
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 3,12,2,10,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 3,662,120,509,32,1
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 3,111,20,77,14,0
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 3,12,1,10,1,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 3,8,1,7,0,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 3,674,121,521,31,1
Robert Vick,State Senate,22,DEM,Bosque,Precinct 3,112,21,75,16,0
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 3,664,123,508,32,1
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 3,111,18,78,15,0
Ballots Cast,,,,Bosque,Precinct 4,405,61,314,29,1
Ballots Cast Blank,,,,Bosque,Precinct 4,0,0,0,0,0
Donald J Trump,President,,REP,Bosque,Precinct 4,350,51,281,17,1
Joseph R Biden,President,,DEM,Bosque,Precinct 4,51,7,32,12,0
Jo Jorgensen,President,,LIB,Bosque,Precinct 4,3,3,0,0,0
Howie Hawkins,President,,GRN,Bosque,Precinct 4,0,0,0,0,0
Write-In Totals,President,,,Bosque,Precinct 4,0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 4,335,50,268,16,1
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 4,47,6,30,11,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 4,9,2,7,0,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 4,6,2,4,0,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 4,0,0,0,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 4,340,49,272,18,1
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 4,47,6,30,11,0
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 4,9,4,5,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 4,337,49,271,16,1
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 4,47,6,29,12,0
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 4,7,1,5,1,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 4,4,1,3,0,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 4,338,51,269,17,1
Robert Vick,State Senate,22,DEM,Bosque,Precinct 4,53,7,34,12,0
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 4,342,53,271,17,1
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 4,48,5,31,12,0
Ballots Cast,,,,Bosque,Precinct 5,1239,363,746,124,6
Ballots Cast Blank,,,,Bosque,Precinct 5,0,0,0,0,0
Donald J Trump,President,,REP,Bosque,Precinct 5,980,313,597,65,5
Joseph R Biden,President,,DEM,Bosque,Precinct 5,243,45,141,56,1
Jo Jorgensen,President,,LIB,Bosque,Precinct 5,6,3,2,1,0
Howie Hawkins,President,,GRN,Bosque,Precinct 5,1,0,1,0,0
Write-In Totals,President,,,Bosque,Precinct 5,0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 5,964,300,592,66,6
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 5,232,47,132,53,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 5,14,6,7,1,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 5,11,3,7,1,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 5,3,2,1,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 5,985,307,604,69,5
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 5,218,44,121,52,1
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 5,17,7,8,2,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 5,973,307,592,68,6
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 5,211,42,119,50,0
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 5,16,5,9,2,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 5,7,0,6,1,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 5,992,314,601,71,6
Robert Vick,State Senate,22,DEM,Bosque,Precinct 5,223,43,129,51,0
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 5,986,315,599,66,6
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 5,214,37,121,56,0
Ballots Cast,,,,Bosque,Precinct 6,954,348,520,81,5
Ballots Cast Blank,,,,Bosque,Precinct 6,0,0,0,0,0
Donald J Trump,President,,REP,Bosque,Precinct 6,774,302,427,41,4
Joseph R Biden,President,,DEM,Bosque,Precinct 6,168,42,86,40,0
Jo Jorgensen,President,,LIB,Bosque,Precinct 6,5,1,4,0,0
Howie Hawkins,President,,GRN,Bosque,Precinct 6,1,1,0,0,0
Write-In Totals,President,,,Bosque,Precinct 6,2,1,1,0,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 6,758,295,413,45,5
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 6,165,42,89,34,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 6,16,5,10,1,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 6,2,1,1,0,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 6,0,0,0,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 6,773,295,426,47,5
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 6,157,41,82,34,0
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 6,13,9,4,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 6,757,290,414,49,4
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 6,155,39,85,31,0
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 6,26,15,10,1,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 6,0,0,0,0,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 6,787,306,430,48,3
Robert Vick,State Senate,22,DEM,Bosque,Precinct 6,149,38,78,33,0
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 6,776,300,425,46,5
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 6,157,39,83,35,0
Ballots Cast,,,,Bosque,Precinct 7,537,158,336,41,2
Ballots Cast Blank,,,,Bosque,Precinct 7,0,0,0,0,0
Donald J Trump,President,,REP,Bosque,Precinct 7,449,137,291,20,1
Joseph R Biden,President,,DEM,Bosque,Precinct 7,78,20,37,20,1
Jo Jorgensen,President,,LIB,Bosque,Precinct 7,4,1,3,0,0
Howie Hawkins,President,,GRN,Bosque,Precinct 7,1,0,1,0,0
Write-In Totals,President,,,Bosque,Precinct 7,0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 7,445,129,294,21,1
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 7,75,22,34,18,1
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 7,6,3,3,0,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 7,5,1,3,1,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 7,0,0,0,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 7,443,128,293,21,1
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 7,81,24,38,18,1
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 7,8,4,3,1,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 7,444,131,293,19,1
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 7,77,22,36,18,1
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 7,8,3,4,1,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 7,2,0,1,1,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 7,452,136,295,20,1
Robert Vick,State Senate,22,DEM,Bosque,Precinct 7,76,20,36,19,1
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 7,451,134,294,22,1
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 7,75,19,39,16,1
Ballots Cast,,,,Bosque,Precinct 8,1677,225,1269,178,5
Ballots Cast Blank,,,,Bosque,Precinct 8,0,0,0,0,0
Donald J Trump,President,,REP,Bosque,Precinct 8,1322,176,1030,112,4
Joseph R Biden,President,,DEM,Bosque,Precinct 8,322,39,219,63,1
Jo Jorgensen,President,,LIB,Bosque,Precinct 8,22,8,14,0,0
Howie Hawkins,President,,GRN,Bosque,Precinct 8,3,0,2,1,0
Write-In Totals,President,,,Bosque,Precinct 8,3,1,2,0,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 8,1306,170,1014,118,4
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 8,298,39,204,54,1
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 8,24,8,16,0,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 8,14,4,9,1,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 8,0,0,0,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 8,1314,168,1028,114,4
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 8,303,45,200,57,1
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 8,24,9,14,1,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 8,1300,168,1015,113,4
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 8,281,39,190,51,1
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 8,35,13,21,1,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 8,9,2,5,2,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 8,1338,178,1042,114,4
Robert Vick,State Senate,22,DEM,Bosque,Precinct 8,288,39,194,54,1
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 8,1325,173,1032,117,3
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 8,282,41,189,51,1
Ballots Cast,,,,Bosque,Precinct 9,648,110,479,56,3
Ballots Cast Blank,,,,Bosque,Precinct 9,0,0,0,0,0
Donald J Trump,President,,REP,Bosque,Precinct 9,530,87,399,42,2
Joseph R Biden,President,,DEM,Bosque,Precinct 9,107,22,71,13,1
Jo Jorgensen,President,,LIB,Bosque,Precinct 9,5,1,4,0,0
Howie Hawkins,President,,GRN,Bosque,Precinct 9,0,0,0,0,0
Write-In Totals,President,,,Bosque,Precinct 9,0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 9,524,83,397,42,2
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 9,105,19,71,14,1
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 9,5,1,4,0,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 9,2,2,0,0,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 9,1,0,1,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 9,528,85,398,43,2
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 9,106,21,71,13,1
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 9,5,1,4,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 9,519,84,390,43,2
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 9,104,21,70,12,1
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 9,8,1,6,1,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 9,4,1,3,0,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 9,533,87,401,43,2
Robert Vick,State Senate,22,DEM,Bosque,Precinct 9,102,20,68,13,1
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 9,524,84,396,42,2
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 9,107,22,70,14,1
Ballots Cast,,,,Bosque,Precinct 10,1069,468,549,50,2
Ballots Cast Blank,,,,Bosque,Precinct 10,0,0,0,0,0
Donald J Trump,President,,REP,Bosque,Precinct 10,846,385,429,30,2
Joseph R Biden,President,,DEM,Bosque,Precinct 10,203,72,111,20,0
Jo Jorgensen,President,,LIB,Bosque,Precinct 10,14,8,6,0,0
Howie Hawkins,President,,GRN,Bosque,Precinct 10,0,0,0,0,0
Write-In Totals,President,,,Bosque,Precinct 10,1,1,0,0,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 10,837,378,424,33,2
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 10,199,73,110,16,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 10,12,6,6,0,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 10,5,2,3,0,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 10,0,0,0,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 10,847,381,432,32,2
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 10,192,72,104,16,0
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 10,14,6,8,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 10,848,390,425,31,2
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 10,181,61,104,16,0
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 10,9,4,5,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 10,12,5,6,1,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 10,872,392,446,32,2
Robert Vick,State Senate,22,DEM,Bosque,Precinct 10,178,66,95,17,0
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 10,863,388,439,34,2
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 10,183,69,101,13,0
Ballots Cast,,,,Bosque,Precinct 11,657,258,353,46,0
Ballots Cast Blank,,,,Bosque,Precinct 11,0,0,0,0,0
Donald J Trump,President,,REP,Bosque,Precinct 11,542,221,293,28,0
Joseph R Biden,President,,DEM,Bosque,Precinct 11,98,27,56,15,0
Jo Jorgensen,President,,LIB,Bosque,Precinct 11,8,6,2,0,0
Howie Hawkins,President,,GRN,Bosque,Precinct 11,4,1,1,2,0
Write-In Totals,President,,,Bosque,Precinct 11,1,1,0,0,0
John Cornyn,U.S. Senate,,REP,Bosque,Precinct 11,537,221,285,31,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Bosque,Precinct 11,98,28,56,14,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Bosque,Precinct 11,10,4,5,1,0
David B. Collins,U.S. Senate,,GRN,Bosque,Precinct 11,4,2,2,0,0
Write-In Totals,U.S. Senate,,,Bosque,Precinct 11,1,1,0,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 11,546,224,291,31,0
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 11,90,26,51,13,0
Bill Kelsey,U.S. House,23,LIB,Bosque,Precinct 11,10,5,3,2,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Bosque,Precinct 11,548,225,292,31,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Bosque,Precinct 11,90,27,50,13,0
Matt Sterett,Railroad Commissioner,,LIB,Bosque,Precinct 11,9,3,4,2,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Bosque,Precinct 11,4,1,3,0,0
Brian Birdwell,State Senate,22,REP,Bosque,Precinct 11,567,229,305,33,0
Robert Vick,State Senate,22,DEM,Bosque,Precinct 11,80,27,40,13,0
DeWayne Burns,State Representative,58,REP,Bosque,Precinct 11,554,223,300,31,0
Cindy Rocha,State Representative,58,DEM,Bosque,Precinct 11,91,32,45,14,0
