county,precinct,reg_voters,office,district,candidate,party,election_day,absentee,early_voting,votes
Zapata,1,1765,"Justice, Supreme Court, Place 8",,Peter Kelly,DEM,44,5,157,206
Zapata,1,1765,"Justice, Supreme Court, Place 8",,Gisela D. Triana,DEM,87,8,295,390
Zapata,1,1765,"Justice, Supreme Court, Place 8",,Under Votes,DEM,129,16,336,481
Zapata,1,1765,"Justice, Supreme Court, Place 8",,Over Votes,DEM,0,0,0,0
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 3",,Dan Wood,DEM,42,4,140,186
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 3",,William Pieratt Demond,DEM,20,2,81,103
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 3",,Elizabeth Davis Frizell,DEM,66,7,215,288
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 3",,Under Votes,DEM,132,16,352,500
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 3",,Over Votes,DEM,0,0,0,0
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 4",,Steven Miears,DEM,44,2,164,210
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 4",,Tina Clinton,DEM,85,11,269,365
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 4",,Under Votes,DEM,131,16,354,501
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 4",,Over Votes,DEM,0,0,1,1
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 9",,Brandon Birmingham,DEM,121,13,374,508
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 9",,Under Votes,DEM,139,16,414,569
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 9",,Over Votes,DEM,0,0,0,0
Zapata,1,1765,"Member, State Board of Education, District 1",,Georgina Perez,DEM,123,13,403,539
Zapata,1,1765,"Member, State Board of Education, District 1",,Under Votes,DEM,137,16,385,538
Zapata,1,1765,"Member, State Board of Education, District 1",,Over Votes,DEM,0,0,0,0
Zapata,1,1765,State Senate,21,Judith Zaffirini,DEM,173,18,533,724
Zapata,1,1765,State Senate,21,Under Votes,DEM,87,11,255,353
Zapata,1,1765,State Senate,21,Over Votes,DEM,0,0,0,0
Zapata,1,1765,State Representative,80,Danny Valdez,DEM,62,9,208,279
Zapata,1,1765,State Representative,80,Tracy King,DEM,160,19,474,653
Zapata,1,1765,State Representative,80,Under Votes,DEM,38,1,104,143
Zapata,1,1765,State Representative,80,Over Votes,DEM,0,0,2,2
Zapata,1,1765,"Chief Justice, 4th Court of Appeals District",,Rebeca Martinez,DEM,136,14,419,569
Zapata,1,1765,"Chief Justice, 4th Court of Appeals District",,Under Votes,DEM,124,15,369,508
Zapata,1,1765,"Chief Justice, 4th Court of Appeals District",,Over Votes,DEM,0,0,0,0
Zapata,1,1765,"District Attorney, 49th Judicial District",,Isidro R. Alaniz,DEM,163,16,472,651
Zapata,1,1765,County Attorney,,"S. Alfonso ""Poncho"" Figueroa",DEM,161,18,459,638
Zapata,1,1765,Sheriff,,Raymundo Del Bosque,DEM,111,8,383,502
Zapata,1,1765,Sheriff,,Ramon E. Montes,DEM,112,19,324,455
Zapata,1,1765,Sheriff,,"Sigifredo ""Sigi"" Gonzalez Jr",DEM,33,2,72,107
Zapata,1,1765,Sheriff,,Under Votes,DEM,4,0,8,12
Zapata,1,1765,Sheriff,,Over Votes,DEM,0,0,1,1
Zapata,1,1765,County Tax Assessor-Collector,,Delia R. Mendoza,DEM,139,21,410,570
Zapata,1,1765,County Tax Assessor-Collector,,Adriana Caballero Figueroa,DEM,109,6,331,446
Zapata,1,1765,"County Commissioner, Precinct 1",,Paco Mendoza,DEM,177,2,46,225
Zapata,1,1765,"County Commissioner, Precinct 1",,Ismael Morales Jr,DEM,71,0,1,72
Zapata,1,1765,"Constable, Precinct 1",,Mario H. Garcia Jr,DEM,158,20,495,673
Zapata,1,1765,County Chairman,,Jorge Montes III,DEM,152,17,447,616
Zapata,1,1765,President,,Bob Ely,REP,0,0,0,0
Zapata,1,1765,President,,Zoltan G. Istvan,REP,0,0,0,0
Zapata,1,1765,President,,Donald J. Trump,REP,4,0,4,8
Zapata,1,1765,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,0,0,0,0
Zapata,1,1765,President,,Joe Walsh,REP,0,0,0,0
Zapata,1,1765,President,,Bill Weld,REP,0,0,0,0
Zapata,1,1765,President,,Matthew John Matern,REP,0,0,0,0
Zapata,1,1765,President,,Uncommitted,REP,0,0,0,0
Zapata,1,1765,U.S. Senate,,Mark Yancey,REP,0,0,1,1
Zapata,1,1765,U.S. Senate,,John Anthony Castro,REP,1,0,1,2
Zapata,1,1765,U.S. Senate,,Dwayne Stovall,REP,0,0,1,1
Zapata,1,1765,U.S. Senate,,John Cornyn,REP,2,0,1,3
Zapata,1,1765,U.S. Senate,,Virgil Bierschwale,REP,0,0,0,0
Zapata,1,1765,U.S. House,28,Sandra Whitten,REP,2,0,4,6
Zapata,1,1765,Railroad Commissioner,,Ryan Sitton,REP,1,0,2,3
Zapata,1,1765,Railroad Commissioner,,"James ""Jim"" Wright",REP,1,0,2,3
Zapata,1,1765,"Chief Justice, Supreme Court",,Nathan Hecht,REP,2,0,4,6
Zapata,1,1765,"Justice, Supreme Court, Place 6 Unexpired Term",,Jane Bland,REP,2,0,4,6
Zapata,1,1765,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,3,0,4,7
Zapata,1,1765,"Justice, Supreme Court, Place 8",,Brett Busby,REP,2,0,4,6
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 3",,Bert Richardson,REP,2,0,4,6
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 3",,Gina Parker,REP,0,0,0,0
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 4",,Kevin Patrick Yeary,REP,2,0,4,6
Zapata,1,1765,"Judge, Court of Criminal Appeals, Place 9",,David Newell,REP,2,0,4,6
Zapata,1,1765,"Member, State Board of Education, District 1",,Jennifer Ivey,REP,2,0,4,6
Zapata,1,1765,State Senate,21,Frank Pomeroy,REP,2,0,4,6
Zapata,1,1765,State Senate,21,Under Votes,REP,2,0,0,2
Zapata,1,1765,State Senate,21,Over Votes,REP,0,0,0,0
Zapata,1,1765,"Chief Justice, 4th Court of Appeals District",,Renee Yanta,REP,2,0,4,6
Zapata,1,1765,Proposition #1,,Yes,DEM,168,19,493,680
Zapata,1,1765,Proposition #1,,No,DEM,20,0,46,66
Zapata,1,1765,Proposition #2,,Yes,DEM,182,17,563,762
Zapata,1,1765,Proposition #2,,No,DEM,16,1,43,60
Zapata,1,1765,Proposition #3,,Yes,DEM,179,17,543,739
Zapata,1,1765,Proposition #3,,No,DEM,13,1,35,49
Zapata,1,1765,Proposition #4,,Yes,DEM,186,17,545,748
Zapata,1,1765,Proposition #4,,No,DEM,10,1,37,48
Zapata,1,1765,Proposition #5,,Yes,DEM,186,17,550,753
Zapata,1,1765,Proposition #5,,No,DEM,10,1,26,37
Zapata,1,1765,Proposition #6,,Yes,DEM,182,17,542,741
Zapata,1,1765,Proposition #6,,No,DEM,14,1,34,49
Zapata,1,1765,Proposition #7,,Yes,DEM,173,16,516,705
Zapata,1,1765,Proposition #7,,No,DEM,19,1,55,75
Zapata,1,1765,Proposition #8,,Yes,DEM,166,17,509,692
Zapata,1,1765,Proposition #8,,No,DEM,23,1,48,72
Zapata,1,1765,Proposition #9,,Yes,DEM,176,19,516,711
Zapata,1,1765,Proposition #9,,No,DEM,13,0,35,48
Zapata,1,1765,Proposition #10,,Yes,DEM,159,18,469,646
Zapata,1,1765,Proposition #10,,No,DEM,29,0,81,110
Zapata,1,1765,Proposition #11,,Yes,DEM,159,17,497,673
Zapata,1,1765,Proposition #11,,No,DEM,29,1,60,90
Zapata,1,1765,Proposition 1,,Yes,REP,1,0,2,3
Zapata,1,1765,Proposition 1,,No,REP,1,0,2,3
Zapata,1,1765,Proposition 2,,Yes,REP,1,0,3,4
Zapata,1,1765,Proposition 2,,No,REP,0,0,1,1
Zapata,1,1765,Proposition 3,,Yes,REP,1,0,3,4
Zapata,1,1765,Proposition 3,,No,REP,0,0,0,0
Zapata,1,1765,Proposition 4,,Yes,REP,1,0,3,4
Zapata,1,1765,Proposition 4,,No,REP,0,0,1,1
Zapata,1,1765,Proposition 5,,Yes,REP,1,0,3,4
Zapata,1,1765,Proposition 5,,No,REP,0,0,1,1
Zapata,1,1765,Proposition 6,,Yes,REP,1,0,3,4
Zapata,1,1765,Proposition 6,,No,REP,0,0,1,1
Zapata,1,1765,Proposition 7,,Yes,REP,1,0,4,5
Zapata,1,1765,Proposition 7,,No,REP,0,0,0,0
Zapata,1,1765,Proposition 8,,Yes,REP,2,0,4,6
Zapata,1,1765,Proposition 8,,No,REP,0,0,0,0
Zapata,1,1765,Proposition 9,,Yes,REP,3,0,4,7
Zapata,1,1765,Proposition 9,,No,REP,0,0,0,0
Zapata,1,1765,Proposition 10,,Yes,REP,2,0,4,6
Zapata,1,1765,Proposition 10,,No,REP,0,0,0,0
Zapata,1 - A,100,President,,Joseph R. Biden,DEM,9,1,3,13
Zapata,1 - A,100,President,,Amy Klobuchar,DEM,0,0,3,3
Zapata,1 - A,100,President,,Robby Wells,DEM,0,0,0,0
Zapata,1 - A,100,President,,Michael R. Bloomberg,DEM,8,0,4,12
Zapata,1 - A,100,President,,Andrew Yang,DEM,0,0,0,0
Zapata,1 - A,100,President,,Marianne Williamson,DEM,0,0,0,0
Zapata,1 - A,100,President,,Tom Steyer,DEM,0,0,0,0
Zapata,1 - A,100,President,,Deval Patrick,DEM,0,0,0,0
Zapata,1 - A,100,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,2,2
Zapata,1 - A,100,President,,Pete Buttigieg,DEM,0,0,0,0
Zapata,1 - A,100,President,,John K. Delaney,DEM,0,0,0,0
Zapata,1 - A,100,President,,Elizabeth Warren,DEM,0,0,0,0
Zapata,1 - A,100,President,,Cory Booker,DEM,0,0,0,0
Zapata,1 - A,100,President,,Bernie Sanders,DEM,8,0,4,12
Zapata,1 - A,100,President,,Julián Castro,DEM,3,0,1,4
Zapata,1 - A,100,President,,Michael Bennet,DEM,1,0,0,1
Zapata,1 - A,100,President,,Tulsi Gabbard,DEM,0,0,0,0
Zapata,1 - A,100,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,8,1,5,14
Zapata,1 - A,100,U.S. Senate,,Michael Cooper,DEM,1,0,1,2
Zapata,1 - A,100,U.S. Senate,,Sema Hernandez,DEM,3,0,0,3
Zapata,1 - A,100,U.S. Senate,,Jack Daniel Foster Jr,DEM,1,0,0,1
Zapata,1 - A,100,U.S. Senate,,Chris Bell,DEM,2,0,0,2
Zapata,1 - A,100,U.S. Senate,,Amanda K. Edwards,DEM,1,0,0,1
Zapata,1 - A,100,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,1,1
Zapata,1 - A,100,U.S. Senate,,"Annie ""Mam·"" Garcia",DEM,4,0,5,9
Zapata,1 - A,100,U.S. Senate,,Adrian Ocegueda,DEM,1,0,0,1
Zapata,1 - A,100,U.S. Senate,,Victor Hugo Harris,DEM,1,0,1,2
Zapata,1 - A,100,U.S. Senate,,D.R. Hunter,DEM,0,0,1,1
Zapata,1 - A,100,U.S. Senate,,Royce West,DEM,1,0,0,1
Zapata,1 - A,100,U.S. House,28,Jessica Cisneros,DEM,7,0,8,15
Zapata,1 - A,100,U.S. House,28,Henry Cuellar,DEM,25,1,15,41
Zapata,1 - A,100,Railroad Commissioner,,Kelly Stone,DEM,0,0,1,1
Zapata,1 - A,100,Railroad Commissioner,,Mark Watson,DEM,1,0,0,1
Zapata,1 - A,100,Railroad Commissioner,,Chrysta CastaÒeda,DEM,10,0,5,15
Zapata,1 - A,100,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,14,1,10,25
Zapata,1 - A,100,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,12,0,12,24
Zapata,1 - A,100,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,12,1,3,16
Zapata,1 - A,100,"Justice, Supreme Court, Place 6 Unexpired Term",,Larry Praeger,DEM,15,0,9,24
Zapata,1 - A,100,"Justice, Supreme Court, Place 6 Unexpired Term",,Kathy Cheng,DEM,5,1,5,11
Zapata,1 - A,100,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,14,0,9,23
Zapata,1 - A,100,"Justice, Supreme Court, Place 7",,Brandy Voss,DEM,6,1,5,12
Zapata,1 - A,100,"Justice, Supreme Court, Place 8",,Peter Kelly,DEM,7,1,5,13
Zapata,1 - A,100,"Justice, Supreme Court, Place 8",,Gisela D. Triana,DEM,16,0,10,26
Zapata,1 - A,100,"Judge, Court of Criminal Appeals, Place 3",,Dan Wood,DEM,4,1,5,10
Zapata,1 - A,100,"Judge, Court of Criminal Appeals, Place 3",,William Pieratt Demond,DEM,8,0,0,8
Zapata,1 - A,100,"Judge, Court of Criminal Appeals, Place 3",,Elizabeth Davis Frizell,DEM,9,0,8,17
Zapata,1 - A,100,"Judge, Court of Criminal Appeals, Place 4",,Steven Miears,DEM,12,0,3,15
Zapata,1 - A,100,"Judge, Court of Criminal Appeals, Place 4",,Tina Clinton,DEM,9,1,10,20
Zapata,1 - A,100,"Judge, Court of Criminal Appeals, Place 9",,Brandon Birmingham,DEM,12,1,11,24
Zapata,1 - A,100,"Member, State Board of Education, District 1",,Georgina Perez,DEM,13,1,11,25
Zapata,1 - A,100,State Senate,21,Judith Zaffirini,DEM,19,1,18,38
Zapata,1 - A,100,State Representative,80,Danny Valdez,DEM,15,0,4,19
Zapata,1 - A,100,State Representative,80,Tracy King,DEM,12,1,16,29
Zapata,1 - A,100,"Chief Justice, 4th Court of Appeals District",,Rebeca Martinez,DEM,14,1,15,30
Zapata,1 - A,100,"District Attorney, 49th Judicial District",,Isidro R. Alaniz,DEM,14,1,15,30
Zapata,1 - A,100,County Attorney,,"S. Alfonso ""Poncho"" Figueroa",DEM,13,1,17,31
Zapata,1 - A,100,Sheriff,,Raymundo Del Bosque,DEM,15,0,14,29
Zapata,1 - A,100,Sheriff,,Ramon E. Montes,DEM,14,1,10,25
Zapata,1 - A,100,Sheriff,,"Sigifredo ""Sigi"" Gonzalez Jr",DEM,5,0,2,7
Zapata,1 - A,100,County Tax Assessor-Collector,,Delia R. Mendoza,DEM,27,1,12,40
Zapata,1 - A,100,County Tax Assessor-Collector,,Adriana Caballero Figueroa,DEM,5,0,11,16
Zapata,1 - A,100,"County Commissioner, Precinct 1",,Paco Mendoza,DEM,21,1,21,43
Zapata,1 - A,100,"County Commissioner, Precinct 1",,Ismael Morales Jr,DEM,12,0,4,16
Zapata,1 - A,100,"Constable, Precinct 1",,Mario H. Garcia Jr,DEM,15,1,13,29
Zapata,1 - A,100,County Chairman,,Jorge Montes III,DEM,16,1,14,31
Zapata,1 - A,100,President,,Bob Ely,REP,0,0,0,0
Zapata,1 - A,100,President,,Zoltan G. Istvan,REP,0,0,0,0
Zapata,1 - A,100,President,,Donald J. Trump,REP,2,0,0,2
Zapata,1 - A,100,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,0,0,0,0
Zapata,1 - A,100,President,,Joe Walsh,REP,0,0,0,0
Zapata,1 - A,100,President,,Bill Weld,REP,0,0,0,0
Zapata,1 - A,100,President,,Matthew John Matern,REP,0,0,0,0
Zapata,1 - A,100,President,,Uncommitted,REP,0,0,0,0
Zapata,1 - A,100,U.S. Senate,,Mark Yancey,REP,0,0,0,0
Zapata,1 - A,100,U.S. Senate,,John Anthony Castro,REP,0,0,0,0
Zapata,1 - A,100,U.S. Senate,,Dwayne Stovall,REP,0,0,0,0
Zapata,1 - A,100,U.S. Senate,,John Cornyn,REP,1,0,0,1
Zapata,1 - A,100,U.S. Senate,,Virgil Bierschwale,REP,0,0,0,0
Zapata,1 - A,100,U.S. House,28,Sandra Whitten,REP,2,0,0,2
Zapata,1 - A,100,Railroad Commissioner,,Ryan Sitton,REP,1,0,0,1
Zapata,1 - A,100,Railroad Commissioner,,"James ""Jim"" Wright",REP,1,0,0,1
Zapata,1 - A,100,"Chief Justice, Supreme Court",,Nathan Hecht,REP,2,0,0,2
Zapata,1 - A,100,"Justice, Supreme Court, Place 6 Unexpired Term",,Jane Bland,REP,2,0,0,2
Zapata,1 - A,100,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,2,0,0,2
Zapata,1 - A,100,"Justice, Supreme Court, Place 8",,Brett Busby,REP,2,0,0,2
Zapata,1 - A,100,"Judge, Court of Criminal Appeals, Place 3",,Bert Richardson,REP,0,0,0,0
Zapata,1 - A,100,"Judge, Court of Criminal Appeals, Place 3",,Gina Parker,REP,1,0,0,1
Zapata,1 - A,100,"Judge, Court of Criminal Appeals, Place 4",,Kevin Patrick Yeary,REP,1,0,0,1
Zapata,1 - A,100,"Judge, Court of Criminal Appeals, Place 9",,David Newell,REP,1,0,0,1
Zapata,1 - A,100,"Member, State Board of Education, District 1",,Jennifer Ivey,REP,2,0,0,2
Zapata,1 - A,100,State Senate,21,Frank Pomeroy,REP,2,0,0,2
Zapata,1 - A,100,"Chief Justice, 4th Court of Appeals District",,Renee Yanta,REP,2,0,0,2
Zapata,1 - A,100,Proposition #1,,Yes,DEM,25,1,16,42
Zapata,1 - A,100,Proposition #1,,No,DEM,1,0,2,3
Zapata,1 - A,100,Proposition #2,,Yes,DEM,29,1,16,46
Zapata,1 - A,100,Proposition #2,,No,DEM,1,0,2,3
Zapata,1 - A,100,Proposition #3,,Yes,DEM,28,1,18,47
Zapata,1 - A,100,Proposition #3,,No,DEM,1,0,0,1
Zapata,1 - A,100,Proposition #4,,Yes,DEM,28,1,18,47
Zapata,1 - A,100,Proposition #4,,No,DEM,1,0,0,1
Zapata,1 - A,100,Proposition #5,,Yes,DEM,30,1,16,47
Zapata,1 - A,100,Proposition #5,,No,DEM,0,0,2,2
Zapata,1 - A,100,Proposition #6,,Yes,DEM,30,1,17,48
Zapata,1 - A,100,Proposition #6,,No,DEM,0,0,0,0
Zapata,1 - A,100,Proposition #7,,Yes,DEM,27,1,16,44
Zapata,1 - A,100,Proposition #7,,No,DEM,3,0,2,5
Zapata,1 - A,100,Proposition #8,,Yes,DEM,28,1,17,46
Zapata,1 - A,100,Proposition #8,,No,DEM,1,0,0,1
Zapata,1 - A,100,Proposition #9,,Yes,DEM,27,1,16,44
Zapata,1 - A,100,Proposition #9,,No,DEM,0,0,0,0
Zapata,1 - A,100,Proposition #10,,Yes,DEM,24,1,16,41
Zapata,1 - A,100,Proposition #10,,No,DEM,3,0,0,3
Zapata,1 - A,100,Proposition #11,,Yes,DEM,25,1,16,42
Zapata,1 - A,100,Proposition #11,,No,DEM,0,0,0,0
Zapata,1 - A,100,Proposition 1,,Yes,REP,1,0,0,1
Zapata,1 - A,100,Proposition 1,,No,REP,0,0,0,0
Zapata,1 - A,100,Proposition 2,,Yes,REP,2,0,0,2
Zapata,1 - A,100,Proposition 2,,No,REP,0,0,0,0
Zapata,1 - A,100,Proposition 3,,Yes,REP,0,0,0,0
Zapata,1 - A,100,Proposition 3,,No,REP,1,0,0,1
Zapata,1 - A,100,Proposition 4,,Yes,REP,1,0,0,1
Zapata,1 - A,100,Proposition 4,,No,REP,0,0,0,0
Zapata,1 - A,100,Proposition 5,,Yes,REP,2,0,0,2
Zapata,1 - A,100,Proposition 5,,No,REP,0,0,0,0
Zapata,1 - A,100,Proposition 6,,Yes,REP,2,0,0,2
Zapata,1 - A,100,Proposition 6,,No,REP,0,0,0,0
Zapata,1 - A,100,Proposition 7,,Yes,REP,2,0,0,2
Zapata,1 - A,100,Proposition 7,,No,REP,0,0,0,0
Zapata,1 - A,100,Proposition 8,,Yes,REP,1,0,0,1
Zapata,1 - A,100,Proposition 8,,No,REP,0,0,0,0
Zapata,1 - A,100,Proposition 9,,Yes,REP,2,0,0,2
Zapata,1 - A,100,Proposition 9,,No,REP,0,0,0,0
Zapata,1 - A,100,Proposition 10,,Yes,REP,2,0,0,2
Zapata,1 - A,100,Proposition 10,,No,REP,0,0,0,0
Zapata,1 - B,129,President,,Joseph R. Biden,DEM,6,3,2,11
Zapata,1 - B,129,President,,Amy Klobuchar,DEM,1,0,0,1
Zapata,1 - B,129,President,,Robby Wells,DEM,0,0,1,1
Zapata,1 - B,129,President,,Michael R. Bloomberg,DEM,7,1,6,14
Zapata,1 - B,129,President,,Andrew Yang,DEM,0,0,0,0
Zapata,1 - B,129,President,,Marianne Williamson,DEM,0,0,1,1
Zapata,1 - B,129,President,,Tom Steyer,DEM,0,0,0,0
Zapata,1 - B,129,President,,Deval Patrick,DEM,0,0,1,1
Zapata,1 - B,129,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,3,3
Zapata,1 - B,129,President,,Pete Buttigieg,DEM,0,0,1,1
Zapata,1 - B,129,President,,John K. Delaney,DEM,0,0,0,0
Zapata,1 - B,129,President,,Elizabeth Warren,DEM,1,1,0,2
Zapata,1 - B,129,President,,Cory Booker,DEM,0,0,0,0
Zapata,1 - B,129,President,,Bernie Sanders,DEM,5,0,6,11
Zapata,1 - B,129,President,,Julián Castro,DEM,1,0,2,3
Zapata,1 - B,129,President,,Michael Bennet,DEM,1,0,0,1
Zapata,1 - B,129,President,,Tulsi Gabbard,DEM,0,0,0,0
Zapata,1 - B,129,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,4,1,6,11
Zapata,1 - B,129,U.S. Senate,,Michael Cooper,DEM,4,0,1,5
Zapata,1 - B,129,U.S. Senate,,Sema Hernandez,DEM,0,0,3,3
Zapata,1 - B,129,U.S. Senate,,Jack Daniel Foster Jr,DEM,1,0,1,2
Zapata,1 - B,129,U.S. Senate,,Chris Bell,DEM,1,0,0,1
Zapata,1 - B,129,U.S. Senate,,Amanda K. Edwards,DEM,1,0,0,1
Zapata,1 - B,129,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,1,1
Zapata,1 - B,129,U.S. Senate,,"Annie ""Mam·"" Garcia",DEM,4,0,7,11
Zapata,1 - B,129,U.S. Senate,,Adrian Ocegueda,DEM,0,0,1,1
Zapata,1 - B,129,U.S. Senate,,Victor Hugo Harris,DEM,1,0,0,1
Zapata,1 - B,129,U.S. Senate,,D.R. Hunter,DEM,0,0,1,1
Zapata,1 - B,129,U.S. Senate,,Royce West,DEM,0,0,1,1
Zapata,1 - B,129,U.S. House,28,Jessica Cisneros,DEM,5,0,8,13
Zapata,1 - B,129,U.S. House,28,Henry Cuellar,DEM,17,6,22,45
Zapata,1 - B,129,Railroad Commissioner,,Kelly Stone,DEM,1,0,1,2
Zapata,1 - B,129,Railroad Commissioner,,Mark Watson,DEM,0,0,1,1
Zapata,1 - B,129,Railroad Commissioner,,Chrysta CastaÒeda,DEM,2,1,7,10
Zapata,1 - B,129,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,12,0,14,26
Zapata,1 - B,129,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,8,1,16,25
Zapata,1 - B,129,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,6,0,8,14
Zapata,1 - B,129,"Justice, Supreme Court, Place 6 Unexpired Term",,Larry Praeger,DEM,11,0,13,24
