candidate,office,district,party,county,precinct,votes,mail,early_voting,limited,election_day,provisional
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 1A,4,1,3,0,0,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 1A,1,1,0,0,0,0
Write-In,U.S. Senate,,,Leon,Precinct 1A,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 1A,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 1A,3,0,2,0,1,0
Pete Sessions,U.S. House,17,REP,Leon,Precinct 1A,155,9,127,0,19,0
Rick Kennedy,U.S. House,17,DEM,Leon,Precinct 1A,16,3,12,0,1,0
Ted Brown,U.S. House,17,LIB,Leon,Precinct 1A,3,1,2,0,0,0
Over Votes,U.S. House,17,,Leon,Precinct 1A,0,0,0,0,0,0
Under Votes,U.S. House,17,,Leon,Precinct 1A,8,0,0,7,1,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 1A,158,10,126,4,18,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 1A,18,3,12,2,1,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 1A,3,0,3,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 1A,0,0,0,0,0,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 1A,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 1A,3,0,0,1,2,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 1A,155,10,127,0,18,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 1A,17,3,13,0,1,0
Over Votes,State Representative,57,,Leon,Precinct 1A,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 1A,10,0,1,7,2,0
Registered Voters,,,,Leon,Precinct 2,373,,,,,
Ballots Cast,,,,Leon,Precinct 2,295,22,150,0,123,0
Donald J Trump,President,,REP,Leon,Precinct 2,258,11,135,0,112,0
Joseph R Biden,President,,DEM,Leon,Precinct 2,34,10,14,0,10,0
Jo Jorgensen,President,,LIB,Leon,Precinct 2,2,1,0,0,1,0
Howie Hawkins,President,,GRN,Leon,Precinct 2,0,0,0,0,0,0
Write-In,President,,,Leon,Precinct 2,1,0,1,0,0,0
Over Votes,President,,,Leon,Precinct 2,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 2,0,0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 2,252,11,133,0,108,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 2,29,9,12,0,8,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 2,4,1,0,0,3,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 2,1,0,1,0,0,0
Write-In,U.S. Senate,,,Leon,Precinct 2,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 2,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 2,9,1,4,0,4,0
Kevin Brady,U.S. House,8,REP,Leon,Precinct 2,259,11,135,0,113,0
Elizabeth Hernandez,U.S. House,8,DEM,Leon,Precinct 2,29,10,11,0,8,0
Chris Duncan,U.S. House,8,LIB,Leon,Precinct 2,0,0,0,0,0,0
Over Votes,U.S. House,8,,Leon,Precinct 2,0,0,0,0,0,0
Under Votes,U.S. House,8,,Leon,Precinct 2,7,1,4,0,2,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 2,249,12,130,0,107,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 2,31,8,14,0,9,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 2,3,1,0,0,2,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 2,1,0,0,0,1,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 2,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 2,11,1,6,0,4,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 2,264,13,138,0,113,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 2,25,8,9,0,8,0
Over Votes,State Representative,57,,Leon,Precinct 2,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 2,6,1,3,0,2,0
Registered Voters,,,,Leon,Precinct 3,638,,,,,
Ballots Cast,,,,Leon,Precinct 3,478,35,339,1,103,0
Donald J Trump,President,,REP,Leon,Precinct 3,420,23,304,1,92,0
Joseph R Biden,President,,DEM,Leon,Precinct 3,53,11,31,0,11,0
Jo Jorgensen,President,,LIB,Leon,Precinct 3,3,0,3,0,0,0
Howie Hawkins,President,,GRN,Leon,Precinct 3,0,0,0,0,0,0
Write-In,President,,,Leon,Precinct 3,1,1,0,0,0,0
Over Votes,President,,,Leon,Precinct 3,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 3,1,0,1,0,0,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 3,415,26,299,1,89,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 3,54,9,34,0,11,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 3,4,0,3,0,1,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 3,1,0,1,0,0,0
Write-In,U.S. Senate,,,Leon,Precinct 3,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 3,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 3,4,0,2,0,2,0
Kevin Brady,U.S. House,8,REP,Leon,Precinct 3,422,26,307,1,88,0
Elizabeth Hernandez,U.S. House,8,DEM,Leon,Precinct 3,46,9,27,0,10,0
Chris Duncan,U.S. House,8,LIB,Leon,Precinct 3,4,0,2,0,2,0
Over Votes,U.S. House,8,,Leon,Precinct 3,0,0,0,0,0,0
Under Votes,U.S. House,8,,Leon,Precinct 3,6,0,3,0,3,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 3,420,26,303,1,90,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 3,50,9,32,0,9,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 3,5,0,3,0,2,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 3,0,0,0,0,0,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 3,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 3,3,0,1,0,2,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 3,425,26,308,1,90,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 3,50,9,30,0,11,0
Over Votes,State Representative,57,,Leon,Precinct 3,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 3,3,0,1,0,2,0
Registered Voters,,,,Leon,Precinct 4,953,,,,,
Ballots Cast,,,,Leon,Precinct 4,695,55,260,2,378,0
Donald J Trump,President,,REP,Leon,Precinct 4,600,41,227,2,330,0
Joseph R Biden,President,,DEM,Leon,Precinct 4,83,11,30,0,42,0
Jo Jorgensen,President,,LIB,Leon,Precinct 4,3,1,1,0,1,0
Howie Hawkins,President,,GRN,Leon,Precinct 4,1,0,1,0,0,0
Write-In,President,,,Leon,Precinct 4,2,1,0,0,1,0
Over Votes,President,,,Leon,Precinct 4,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 4,6,1,1,0,4,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 4,597,43,225,2,327,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 4,77,11,28,0,38,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 4,7,1,3,0,3,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 4,4,0,3,0,1,0
Write-In,U.S. Senate,,,Leon,Precinct 4,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 4,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 4,10,0,1,0,9,0
Kevin Brady,U.S. House,8,REP,Leon,Precinct 4,602,43,228,2,329,0
Elizabeth Hernandez,U.S. House,8,DEM,Leon,Precinct 4,75,10,29,0,36,0
Chris Duncan,U.S. House,8,LIB,Leon,Precinct 4,4,2,1,0,1,0
Over Votes,U.S. House,8,,Leon,Precinct 4,0,0,0,0,0,0
Under Votes,U.S. House,8,,Leon,Precinct 4,14,0,2,0,12,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 4,595,43,226,2,324,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 4,74,11,27,0,36,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 4,9,1,2,0,6,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 4,3,0,1,0,2,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 4,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 4,14,0,4,0,10,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 4,609,43,229,1,336,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 4,71,11,27,0,33,0
Over Votes,State Representative,57,,Leon,Precinct 4,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 4,15,1,4,1,9,0
Registered Voters,,,,Leon,Precinct 5,555,,,,,
Ballots Cast,,,,Leon,Precinct 5,450,32,246,1,171,0
Donald J Trump,President,,REP,Leon,Precinct 5,399,27,218,1,153,0
Joseph R Biden,President,,DEM,Leon,Precinct 5,46,5,26,0,15,0
Jo Jorgensen,President,,LIB,Leon,Precinct 5,4,0,1,0,3,0
Howie Hawkins,President,,GRN,Leon,Precinct 5,1,0,1,0,0,0
Write-In,President,,,Leon,Precinct 5,0,0,0,0,0,0
Over Votes,President,,,Leon,Precinct 5,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 5,0,0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 5,388,27,212,1,148,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 5,48,5,28,0,15,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 5,5,0,2,0,3,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 5,2,0,0,0,2,0
Write-In,U.S. Senate,,,Leon,Precinct 5,1,0,1,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 5,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 5,6,0,3,0,3,0
Kevin Brady,U.S. House,8,REP,Leon,Precinct 5,395,27,217,1,150,0
Elizabeth Hernandez,U.S. House,8,DEM,Leon,Precinct 5,44,5,26,0,13,0
Chris Duncan,U.S. House,8,LIB,Leon,Precinct 5,7,0,2,0,5,0
Over Votes,U.S. House,8,,Leon,Precinct 5,0,0,0,0,0,0
Under Votes,U.S. House,8,,Leon,Precinct 5,4,0,1,0,3,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 5,388,27,212,1,148,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 5,47,5,27,0,15,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 5,9,0,4,0,5,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 5,0,0,0,0,0,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 5,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 5,6,0,3,0,3,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 5,398,27,219,1,151,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 5,49,5,26,0,18,0
Over Votes,State Representative,57,,Leon,Precinct 5,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 5,3,0,1,0,2,0
Registered Voters,,,,Leon,Precinct 5A,65,,,,,
Ballots Cast,,,,Leon,Precinct 5A,40,1,29,0,10,0
Donald J Trump,President,,REP,Leon,Precinct 5A,39,1,28,0,10,0
Joseph R Biden,President,,DEM,Leon,Precinct 5A,0,0,0,0,0,0
Jo Jorgensen,President,,LIB,Leon,Precinct 5A,1,0,1,0,0,0
Howie Hawkins,President,,GRN,Leon,Precinct 5A,0,0,0,0,0,0
Write-In,President,,,Leon,Precinct 5A,0,0,0,0,0,0
Over Votes,President,,,Leon,Precinct 5A,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 5A,0,0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 5A,38,1,28,0,9,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 5A,0,0,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 5A,1,0,1,0,0,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 5A,0,0,0,0,0,0
Write-In,U.S. Senate,,,Leon,Precinct 5A,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 5A,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 5A,1,0,0,0,1,0
Pete Sessions,U.S. House,17,REP,Leon,Precinct 5A,39,1,28,0,10,0
Rick Kennedy,U.S. House,17,DEM,Leon,Precinct 5A,0,0,0,0,0,0
Ted Brown,U.S. House,17,LIB,Leon,Precinct 5A,1,0,1,0,0,0
Over Votes,U.S. House,17,,Leon,Precinct 5A,0,0,0,0,0,0
Under Votes,U.S. House,17,,Leon,Precinct 5A,0,0,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 5A,39,1,28,0,10,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 5A,0,0,0,0,0,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 5A,1,0,1,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 5A,0,0,0,0,0,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 5A,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 5A,0,0,0,0,0,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 5A,40,1,29,0,10,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 5A,0,0,0,0,0,0
Over Votes,State Representative,57,,Leon,Precinct 5A,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 5A,0,0,0,0,0,0
Registered Voters,,,,Leon,Precinct 6,1146,,,,,
Ballots Cast,,,,Leon,Precinct 6,930,91,400,4,435,0
Donald J Trump,President,,REP,Leon,Precinct 6,826,69,363,3,391,0
Joseph R Biden,President,,DEM,Leon,Precinct 6,96,22,31,1,42,0
Jo Jorgensen,President,,LIB,Leon,Precinct 6,7,0,5,0,2,0
Howie Hawkins,President,,GRN,Leon,Precinct 6,0,0,0,0,0,0
Write-In,President,,,Leon,Precinct 6,0,0,0,0,0,0
Over Votes,President,,,Leon,Precinct 6,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 6,1,0,1,0,0,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 6,823,70,360,3,390,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 6,91,21,33,1,36,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 6,9,0,4,0,5,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 6,4,0,1,0,3,0
Write-In,U.S. Senate,,,Leon,Precinct 6,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 6,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 6,3,0,2,0,1,0
Kevin Brady,U.S. House,8,REP,Leon,Precinct 6,835,68,368,3,396,0
Elizabeth Hernandez,U.S. House,8,DEM,Leon,Precinct 6,78,22,29,0,27,0
Chris Duncan,U.S. House,8,LIB,Leon,Precinct 6,8,0,2,0,6,0
Over Votes,U.S. House,8,,Leon,Precinct 6,0,0,0,0,0,0
Under Votes,U.S. House,8,,Leon,Precinct 6,9,1,1,1,6,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 6,827,68,363,3,393,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 6,80,22,28,1,29,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 6,11,0,5,0,6,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 6,1,0,0,0,1,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 6,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 6,11,1,4,0,6,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 6,833,67,368,0,398,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 6,82,22,28,0,32,0
Over Votes,State Representative,57,,Leon,Precinct 6,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 6,15,2,4,4,5,0
Registered Voters,,,,Leon,Precinct 7,659,,,,,
Ballots Cast,,,,Leon,Precinct 7,492,39,245,1,207,0
Donald J Trump,President,,REP,Leon,Precinct 7,455,29,229,1,196,0
Joseph R Biden,President,,DEM,Leon,Precinct 7,32,9,15,0,8,0
Jo Jorgensen,President,,LIB,Leon,Precinct 7,1,0,1,0,0,0
Howie Hawkins,President,,GRN,Leon,Precinct 7,0,0,0,0,0,0
Write-In,President,,,Leon,Precinct 7,1,0,0,0,1,0
Over Votes,President,,,Leon,Precinct 7,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 7,3,1,0,0,2,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 7,450,30,227,0,193,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 7,35,9,15,0,11,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 7,1,0,0,0,1,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 7,2,0,1,0,1,0
Write-In,U.S. Senate,,,Leon,Precinct 7,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 7,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 7,4,0,2,1,1,0
Pete Sessions,U.S. House,17,REP,Leon,Precinct 7,441,27,223,0,191,0
Rick Kennedy,U.S. House,17,DEM,Leon,Precinct 7,41,11,17,0,13,0
Ted Brown,U.S. House,17,LIB,Leon,Precinct 7,3,0,2,0,1,0
Over Votes,U.S. House,17,,Leon,Precinct 7,0,0,0,0,0,0
Under Votes,U.S. House,17,,Leon,Precinct 7,7,1,3,1,2,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 7,441,29,225,0,187,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 7,34,9,15,0,10,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 7,2,0,0,0,2,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 7,4,0,1,0,3,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 7,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 7,11,1,4,1,5,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 7,447,30,226,0,191,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 7,34,9,15,0,10,0
Over Votes,State Representative,57,,Leon,Precinct 7,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 7,11,0,4,1,6,0
Registered Voters,,,,Leon,Precinct 8,1105,,,,,
Ballots Cast,,,,Leon,Precinct 8,790,45,409,7,329,0
Donald J Trump,President,,REP,Leon,Precinct 8,684,35,353,6,290,0
Joseph R Biden,President,,DEM,Leon,Precinct 8,97,9,53,1,34,0
Jo Jorgensen,President,,LIB,Leon,Precinct 8,4,0,2,0,2,0
Howie Hawkins,President,,GRN,Leon,Precinct 8,2,0,1,0,1,0
Write-In,President,,,Leon,Precinct 8,1,0,0,0,1,0
Over Votes,President,,,Leon,Precinct 8,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 8,2,1,0,0,1,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 8,668,33,346,6,283,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 8,92,9,51,1,31,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 8,10,0,5,0,5,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 8,8,1,4,0,3,0
Write-In,U.S. Senate,,,Leon,Precinct 8,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 8,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 8,12,2,3,0,7,0
Pete Sessions,U.S. House,17,REP,Leon,Precinct 8,673,33,351,1,288,0
Rick Kennedy,U.S. House,17,DEM,Leon,Precinct 8,92,9,50,0,33,0
Ted Brown,U.S. House,17,LIB,Leon,Precinct 8,8,1,5,0,2,0
Over Votes,U.S. House,17,,Leon,Precinct 8,0,0,0,0,0,0
Under Votes,U.S. House,17,,Leon,Precinct 8,17,2,3,6,6,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 8,676,34,352,6,284,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 8,84,8,45,0,31,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 8,10,0,6,0,4,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 8,2,0,1,0,1,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 8,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 8,18,3,5,1,9,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 8,687,35,362,2,288,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 8,86,8,45,0,33,0
Over Votes,State Representative,57,,Leon,Precinct 8,0,0,0,0,0,0
Under Votes,State Representative,57,,Leon,Precinct 8,17,2,2,5,8,0
Registered Voters,,,,Leon,Precinct 9,329,,,,,
Ballots Cast,,,,Leon,Precinct 9,254,15,165,1,73,0
Donald J Trump,President,,REP,Leon,Precinct 9,234,11,154,1,68,0
Joseph R Biden,President,,DEM,Leon,Precinct 9,19,4,11,0,4,0
Jo Jorgensen,President,,LIB,Leon,Precinct 9,1,0,0,0,1,0
Howie Hawkins,President,,GRN,Leon,Precinct 9,0,0,0,0,0,0
Write-In,President,,,Leon,Precinct 9,0,0,0,0,0,0
Over Votes,President,,,Leon,Precinct 9,0,0,0,0,0,0
Under Votes,President,,,Leon,Precinct 9,0,0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Leon,Precinct 9,221,11,144,1,65,0
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Leon,Precinct 9,21,4,13,0,4,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Leon,Precinct 9,3,0,1,0,2,0
David B. Collins,U.S. Senate,,GRN,Leon,Precinct 9,1,0,1,0,0,0
Write-In,U.S. Senate,,,Leon,Precinct 9,0,0,0,0,0,0
Over Votes,U.S. Senate,,,Leon,Precinct 9,0,0,0,0,0,0
Under Votes,U.S. Senate,,,Leon,Precinct 9,8,0,6,0,2,0
Pete Sessions,U.S. House,17,REP,Leon,Precinct 9,227,11,149,1,66,0
Rick Kennedy,U.S. House,17,DEM,Leon,Precinct 9,18,4,11,0,3,0
Ted Brown,U.S. House,17,LIB,Leon,Precinct 9,3,0,1,0,2,0
Over Votes,U.S. House,17,,Leon,Precinct 9,0,0,0,0,0,0
Under Votes,U.S. House,17,,Leon,Precinct 9,6,0,4,0,2,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Leon,Precinct 9,227,11,150,1,65,0
Chrysta Castaneda,Railroad Commissioner,,DEM,Leon,Precinct 9,17,4,10,0,3,0
Matt Sterett,Railroad Commissioner,,LIB,Leon,Precinct 9,1,0,0,0,1,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Leon,Precinct 9,1,0,0,0,1,0
Over Votes,Railroad Commissioner,,,Leon,Precinct 9,0,0,0,0,0,0
Under Votes,Railroad Commissioner,,,Leon,Precinct 9,8,0,5,0,3,0
Trent Ashby,State Representative,57,REP,Leon,Precinct 9,228,13,150,0,65,0
Jason Rogers,State Representative,57,DEM,Leon,Precinct 9,16,2,10,0,4,0
Over Votes,State Representative,57,,Leon,Precinct 9,0,0,0,0,0,0
