candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
Tony Gonzales,U.S. House,23,REP,Medina,1B,89,864,76,1029
Gina Ortiz Jones,U.S. House,23,DEM,Medina,1B,29,153,14,196
Beto Villela,U.S. House,23,LIB,Medina,1B,0,15,3,18
Under Votes,U.S. House,23,,Medina,1B,11,23,2,36
Over Votes,U.S. House,23,,Medina,1B,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,1B,86,840,76,1002
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,1B,33,158,14,205
Matt Sterett,Railroad Commissioner,,LIB,Medina,1B,1,20,2,23
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,1B,3,8,1,12
Under Votes,Railroad Commissioner,,,Medina,1B,6,29,2,37
Over Votes,Railroad Commissioner,,,Medina,1B,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,1B,86,872,82,1040
Roland Gutierrez,State Senate,19,DEM,Medina,1B,29,143,8,180
Jo-Anne Valdivia,State Senate,19,LIB,Medina,1B,4,14,2,20
Under Votes,State Senate,19,,Medina,1B,10,26,3,39
Over Votes,State Senate,19,,Medina,1B,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,1B,83,870,82,1035
Joe P. Herrera,State Representative,53,DEM,Medina,1B,29,154,8,191
Under Votes,State Representative,53,,Medina,1B,17,31,5,53
Over Votes,State Representative,53,,Medina,1B,0,0,0,0
Donald J Trump,President,,REP,Medina,1C,118,1192,308,1618
Joseph R Biden,President,,DEM,Medina,1C,88,532,90,710
Jo Jorgensen,President,,LIB,Medina,1C,1,25,3,29
Howie Hawkins,President,,GRN,Medina,1C,0,6,0,6
Jesse Cuellar (W),President,,,Medina,1C,0,0,0,0
Tom Heofling (W),President,,,Medina,1C,0,0,0,0
Robert Marrow (W),President,,,Medina,1C,0,0,0,0
Kasey Wells (W),President,,,Medina,1C,0,1,0,1
Abram Loeb (W),President,,,Medina,1C,0,0,0,0
Todd Cella (W),President,,,Medina,1C,0,0,0,0
President R. Boddie (W),President,,,Medina,1C,0,0,0,0
Gloria La Rivera (W),President,,,Medina,1C,0,0,0,0
Brian Carroll (W),President,,,Medina,1C,0,1,0,1
Under Votes,President,,,Medina,1C,2,3,2,7
Over Votes,President,,,Medina,1C,0,0,0,0
John Cornyn,U.S. Senate,,REP,Medina,1C,121,1215,304,1640
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,1C,78,483,86,647
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,1C,1,24,4,29
David B. Collins,U.S. Senate,,GRN,Medina,1C,0,10,0,10
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,1C,0,0,0,0
Under Votes,U.S. Senate,,,Medina,1C,9,28,9,46
Over Votes,U.S. Senate,,,Medina,1C,0,0,0,0
Tony Gonzales,U.S. House,23,REP,Medina,1C,118,1227,307,1652
Gina Ortiz Jones,U.S. House,23,DEM,Medina,1C,75,474,81,630
Beto Villela,U.S. House,23,LIB,Medina,1C,4,38,6,48
Under Votes,U.S. House,23,,Medina,1C,12,21,9,42
Over Votes,U.S. House,23,,Medina,1C,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,1C,107,1191,295,1593
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,1C,83,483,85,651
Matt Sterett,Railroad Commissioner,,LIB,Medina,1C,2,30,5,37
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,1C,2,20,6,28
Under Votes,Railroad Commissioner,,,Medina,1C,15,36,12,63
Over Votes,Railroad Commissioner,,,Medina,1C,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,1C,107,1208,308,1623
Roland Gutierrez,State Senate,19,DEM,Medina,1C,75,465,73,613
Jo-Anne Valdivia,State Senate,19,LIB,Medina,1C,4,56,12,72
Under Votes,State Senate,19,,Medina,1C,22,31,10,63
Over Votes,State Senate,19,,Medina,1C,1,0,0,1
Andrew S Murr,State Representative,53,REP,Medina,1C,103,1219,312,1634
Joe P. Herrera,State Representative,53,DEM,Medina,1C,78,495,81,654
Under Votes,State Representative,53,,Medina,1C,28,46,10,84
Over Votes,State Representative,53,,Medina,1C,0,0,0,0
Donald J Trump,President,,REP,Medina,1D,83,1141,125,1349
Joseph R Biden,President,,DEM,Medina,1D,82,309,58,449
Jo Jorgensen,President,,LIB,Medina,1D,1,7,4,12
Howie Hawkins,President,,GRN,Medina,1D,1,1,1,3
Gloria La Rivera (W),President,,,Medina,1D,0,0,0,0
Abram Loeb (W),President,,,Medina,1D,0,0,0,0
Robert Marrow (W),President,,,Medina,1D,0,0,0,0
Todd Cella (W),President,,,Medina,1D,0,0,0,0
Tom Heofling (W),President,,,Medina,1D,1,0,0,1
President R. Boddie (W),President,,,Medina,1D,0,0,0,0
Jesse Cuellar (W),President,,,Medina,1D,0,0,0,0
Brian Carroll (W),President,,,Medina,1D,0,0,0,0
Kasey Wells (W),President,,,Medina,1D,0,0,0,0
Under Votes,President,,,Medina,1D,0,4,1,5
Over Votes,President,,,Medina,1D,0,0,0,0
John Cornyn,U.S. Senate,,REP,Medina,1D,89,1129,121,1339
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,1D,74,278,54,406
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,1D,1,12,7,20
David B. Collins,U.S. Senate,,GRN,Medina,1D,1,7,0,8
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,1D,0,0,0,0
Under Votes,U.S. Senate,,,Medina,1D,3,36,7,46
Over Votes,U.S. Senate,,,Medina,1D,0,0,0,0
Tony Gonzales,U.S. House,23,REP,Medina,1D,85,1139,115,1339
Gina Ortiz Jones,U.S. House,23,DEM,Medina,1D,76,278,58,412
Beto Villela,U.S. House,23,LIB,Medina,1D,2,15,14,31
Under Votes,U.S. House,23,,Medina,1D,5,30,2,37
Over Votes,U.S. House,23,,Medina,1D,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,1D,79,1100,112,1291
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,1D,76,284,62,422
Matt Sterett,Railroad Commissioner,,LIB,Medina,1D,3,15,5,23
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,1D,2,10,3,15
Under Votes,Railroad Commissioner,,,Medina,1D,8,53,7,68
Over Votes,Railroad Commissioner,,,Medina,1D,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,1D,86,1136,117,1339
Roland Gutierrez,State Senate,19,DEM,Medina,1D,68,263,59,390
Jo-Anne Valdivia,State Senate,19,LIB,Medina,1D,3,22,7,32
Under Votes,State Senate,19,,Medina,1D,11,41,6,58
Over Votes,State Senate,19,,Medina,1D,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,1D,73,1122,115,1310
Joe P. Herrera,State Representative,53,DEM,Medina,1D,79,287,66,432
Under Votes,State Representative,53,,Medina,1D,16,53,8,77
Over Votes,State Representative,53,,Medina,1D,0,0,0,0
Donald J Trump,President,,REP,Medina,2A,68,965,104,1137
Joseph R Biden,President,,DEM,Medina,2A,67,708,66,841
Jo Jorgensen,President,,LIB,Medina,2A,2,23,5,30
Howie Hawkins,President,,GRN,Medina,2A,0,3,0,3
Gloria La Rivera (W),President,,,Medina,2A,0,0,0,0
Tom Heofling (W),President,,,Medina,2A,0,0,0,0
Kasey Wells (W),President,,,Medina,2A,0,0,0,0
President R. Boddie (W),President,,,Medina,2A,0,0,0,0
Robert Marrow (W),President,,,Medina,2A,0,0,0,0
Todd Cella (W),President,,,Medina,2A,0,0,0,0
Brian Carroll (W),President,,,Medina,2A,0,0,0,0
Jesse Cuellar (W),President,,,Medina,2A,0,0,0,0
Abram Loeb (W),President,,,Medina,2A,0,0,0,0
Under Votes,President,,,Medina,2A,1,9,1,11
Over Votes,President,,,Medina,2A,0,0,0,0
John Cornyn,U.S. Senate,,REP,Medina,2A,70,977,103,1150
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,2A,61,657,60,778
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,2A,3,41,7,51
David B. Collins,U.S. Senate,,GRN,Medina,2A,0,7,1,8
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,2A,0,0,0,0
Under Votes,U.S. Senate,,,Medina,2A,4,26,5,35
Over Votes,U.S. Senate,,,Medina,2A,0,0,0,0
Tony Gonzales,U.S. House,23,REP,Medina,2A,67,1005,104,1176
Gina Ortiz Jones,U.S. House,23,DEM,Medina,2A,61,639,57,757
Beto Villela,U.S. House,23,LIB,Medina,2A,4,39,11,54
Under Votes,U.S. House,23,,Medina,2A,6,25,4,35
Over Votes,U.S. House,23,,Medina,2A,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,2A,67,959,105,1131
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,2A,63,648,53,764
Matt Sterett,Railroad Commissioner,,LIB,Medina,2A,1,47,5,53
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,2A,2,13,3,18
Under Votes,Railroad Commissioner,,,Medina,2A,5,41,10,56
Over Votes,Railroad Commissioner,,,Medina,2A,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,2A,63,986,102,1151
Roland Gutierrez,State Senate,19,DEM,Medina,2A,58,614,54,726
Jo-Anne Valdivia,State Senate,19,LIB,Medina,2A,2,64,10,76
Under Votes,State Senate,19,,Medina,2A,15,44,10,69
Over Votes,State Senate,19,,Medina,2A,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,2A,57,982,105,1144
Joe P. Herrera,State Representative,53,DEM,Medina,2A,55,667,60,782
Under Votes,State Representative,53,,Medina,2A,26,59,11,96
Over Votes,State Representative,53,,Medina,2A,0,0,0,0
Donald J Trump,President,,REP,Medina,2B,107,1540,95,1742
Joseph R Biden,President,,DEM,Medina,2B,96,440,37,573
Jo Jorgensen,President,,LIB,Medina,2B,2,11,2,15
Howie Hawkins,President,,GRN,Medina,2B,0,2,2,4
Gloria La Rivera (W),President,,,Medina,2B,0,0,0,0
President R. Boddie (W),President,,,Medina,2B,0,0,0,0
Robert Marrow (W),President,,,Medina,2B,0,0,0,0
Brian Carroll (W),President,,,Medina,2B,0,0,0,0
Kasey Wells (W),President,,,Medina,2B,0,0,0,0
Todd Cella (W),President,,,Medina,2B,0,0,0,0
Jesse Cuellar (W),President,,,Medina,2B,0,0,0,0
Abram Loeb (W),President,,,Medina,2B,0,0,0,0
Tom Heofling (W),President,,,Medina,2B,0,0,0,0
Under Votes,President,,,Medina,2B,1,8,2,11
Over Votes,President,,,Medina,2B,4,0,0,4
John Cornyn,U.S. Senate,,REP,Medina,2B,117,1566,92,1775
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,2B,87,379,39,505
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,2B,1,15,4,20
David B. Collins,U.S. Senate,,GRN,Medina,2B,0,5,2,7
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,2B,0,0,0,0
Under Votes,U.S. Senate,,,Medina,2B,4,36,1,41
Over Votes,U.S. Senate,,,Medina,2B,1,0,0,1
Tony Gonzales,U.S. House,23,REP,Medina,2B,106,1566,96,1768
Gina Ortiz Jones,U.S. House,23,DEM,Medina,2B,86,381,39,506
Beto Villela,U.S. House,23,LIB,Medina,2B,3,21,1,25
Under Votes,U.S. House,23,,Medina,2B,14,33,2,49
Over Votes,U.S. House,23,,Medina,2B,1,0,0,1
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,2B,102,1513,89,1704
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,2B,86,385,34,505
Matt Sterett,Railroad Commissioner,,LIB,Medina,2B,4,28,5,37
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,2B,1,14,5,20
Under Votes,Railroad Commissioner,,,Medina,2B,17,61,5,83
Over Votes,Railroad Commissioner,,,Medina,2B,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,2B,112,1541,98,1751
Roland Gutierrez,State Senate,19,DEM,Medina,2B,72,356,37,465
Jo-Anne Valdivia,State Senate,19,LIB,Medina,2B,7,42,0,49
Under Votes,State Senate,19,,Medina,2B,19,62,3,84
Over Votes,State Senate,19,,Medina,2B,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,2B,99,1553,95,1747
Joe P. Herrera,State Representative,53,DEM,Medina,2B,77,379,40,496
Under Votes,State Representative,53,,Medina,2B,34,69,3,106
Over Votes,State Representative,53,,Medina,2B,0,0,0,0
Donald J Trump,President,,REP,Medina,2C,119,1717,192,2028
Joseph R Biden,President,,DEM,Medina,2C,105,582,76,763
Jo Jorgensen,President,,LIB,Medina,2C,0,19,9,28
Howie Hawkins,President,,GRN,Medina,2C,1,5,0,6
Jesse Cuellar (W),President,,,Medina,2C,0,0,0,0
Todd Cella (W),President,,,Medina,2C,0,0,0,0
Brian Carroll (W),President,,,Medina,2C,0,0,0,0
President R. Boddie (W),President,,,Medina,2C,0,0,0,0
Tom Heofling (W),President,,,Medina,2C,0,0,0,0
Abram Loeb (W),President,,,Medina,2C,0,0,0,0
Gloria La Rivera (W),President,,,Medina,2C,0,0,0,0
Robert Marrow (W),President,,,Medina,2C,0,0,0,0
Kasey Wells (W),President,,,Medina,2C,0,0,0,0
Under Votes,President,,,Medina,2C,1,14,2,17
Over Votes,President,,,Medina,2C,0,0,0,0
John Cornyn,U.S. Senate,,REP,Medina,2C,131,1723,202,2056
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,2C,90,535,61,686
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,2C,2,29,7,38
David B. Collins,U.S. Senate,,GRN,Medina,2C,1,7,4,12
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,2C,0,0,0,0
Under Votes,U.S. Senate,,,Medina,2C,2,43,5,50
Over Votes,U.S. Senate,,,Medina,2C,0,0,0,0
Tony Gonzales,U.S. House,23,REP,Medina,2C,117,1734,192,2043
Gina Ortiz Jones,U.S. House,23,DEM,Medina,2C,96,520,64,680
Beto Villela,U.S. House,23,LIB,Medina,2C,7,44,15,66
Under Votes,U.S. House,23,,Medina,2C,6,39,8,53
Over Votes,U.S. House,23,,Medina,2C,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,2C,120,1684,187,1991
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,2C,95,546,69,710
Matt Sterett,Railroad Commissioner,,LIB,Medina,2C,4,35,8,47
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,2C,1,17,4,22
Under Votes,Railroad Commissioner,,,Medina,2C,6,55,11,72
Over Votes,Railroad Commissioner,,,Medina,2C,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,2C,122,1742,194,2058
Roland Gutierrez,State Senate,19,DEM,Medina,2C,87,493,58,638
Jo-Anne Valdivia,State Senate,19,LIB,Medina,2C,5,51,16,72
Under Votes,State Senate,19,,Medina,2C,12,51,11,74
Over Votes,State Senate,19,,Medina,2C,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,2C,96,1717,180,1993
Joe P. Herrera,State Representative,53,DEM,Medina,2C,96,555,82,733
Under Votes,State Representative,53,,Medina,2C,34,65,17,116
Over Votes,State Representative,53,,Medina,2C,0,0,0,0
Donald J Trump,President,,REP,Medina,3A,52,403,104,559
Joseph R Biden,President,,DEM,Medina,3A,40,109,56,205
Jo Jorgensen,President,,LIB,Medina,3A,0,2,0,2
Howie Hawkins,President,,GRN,Medina,3A,0,1,0,1
Gloria La Rivera (W),President,,,Medina,3A,0,0,0,0
Robert Marrow (W),President,,,Medina,3A,0,0,0,0
Tom Heofling (W),President,,,Medina,3A,0,0,0,0
Abram Loeb (W),President,,,Medina,3A,0,0,0,0
President R. Boddie (W),President,,,Medina,3A,0,0,0,0
Jesse Cuellar (W),President,,,Medina,3A,0,0,0,0
Todd Cella (W),President,,,Medina,3A,0,0,0,0
Kasey Wells (W),President,,,Medina,3A,0,0,0,0
Brian Carroll (W),President,,,Medina,3A,0,0,0,0
Under Votes,President,,,Medina,3A,0,0,0,0
Over Votes,President,,,Medina,3A,0,0,0,0
John Cornyn,U.S. Senate,,REP,Medina,3A,53,400,99,552
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,3A,38,97,54,189
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,3A,0,5,3,8
David B. Collins,U.S. Senate,,GRN,Medina,3A,0,2,0,2
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,3A,0,0,0,0
Under Votes,U.S. Senate,,,Medina,3A,1,11,4,16
Over Votes,U.S. Senate,,,Medina,3A,0,0,0,0
Tony Gonzales,U.S. House,23,REP,Medina,3A,52,391,105,548
Gina Ortiz Jones,U.S. House,23,DEM,Medina,3A,38,108,45,191
Beto Villela,U.S. House,23,LIB,Medina,3A,1,6,5,12
Under Votes,U.S. House,23,,Medina,3A,1,10,5,16
Over Votes,U.S. House,23,,Medina,3A,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,3A,48,387,99,534
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,3A,41,103,55,199
Matt Sterett,Railroad Commissioner,,LIB,Medina,3A,0,5,3,8
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,3A,1,3,0,4
Under Votes,Railroad Commissioner,,,Medina,3A,2,17,3,22
Over Votes,Railroad Commissioner,,,Medina,3A,0,0,0,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,3A,51,392,100,543
Roland Gutierrez,State Senate,19,DEM,Medina,3A,36,96,52,184
Jo-Anne Valdivia,State Senate,19,LIB,Medina,3A,0,10,2,12
Under Votes,State Senate,19,,Medina,3A,5,17,6,28
Over Votes,State Senate,19,,Medina,3A,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,3A,46,397,96,539
Joe P. Herrera,State Representative,53,DEM,Medina,3A,38,104,58,200
Under Votes,State Representative,53,,Medina,3A,8,14,6,28
Over Votes,State Representative,53,,Medina,3A,0,0,0,0
Donald J Trump,President,,REP,Medina,3B,22,274,39,335
Joseph R Biden,President,,DEM,Medina,3B,28,53,11,92
Jo Jorgensen,President,,LIB,Medina,3B,0,1,1,2
Howie Hawkins,President,,GRN,Medina,3B,0,2,0,2
Abram Loeb (W),President,,,Medina,3B,0,0,0,0
President R. Boddie (W),President,,,Medina,3B,0,0,0,0
Todd Cella (W),President,,,Medina,3B,0,0,0,0
Brian Carroll (W),President,,,Medina,3B,0,0,0,0
Gloria La Rivera (W),President,,,Medina,3B,0,0,0,0
Tom Heofling (W),President,,,Medina,3B,0,0,0,0
Kasey Wells (W),President,,,Medina,3B,0,0,0,0
Jesse Cuellar (W),President,,,Medina,3B,0,0,0,0
Robert Marrow (W),President,,,Medina,3B,0,0,0,0
Under Votes,President,,,Medina,3B,1,0,0,1
Over Votes,President,,,Medina,3B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Medina,3B,23,268,39,330
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,3B,26,45,9,80
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,3B,0,4,1,5
David B. Collins,U.S. Senate,,GRN,Medina,3B,0,1,0,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,3B,0,0,0,0
Under Votes,U.S. Senate,,,Medina,3B,2,12,2,16
Over Votes,U.S. Senate,,,Medina,3B,0,0,0,0
Tony Gonzales,U.S. House,23,REP,Medina,3B,22,266,39,327
Gina Ortiz Jones,U.S. House,23,DEM,Medina,3B,26,43,10,79
Beto Villela,U.S. House,23,LIB,Medina,3B,0,9,1,10
Under Votes,U.S. House,23,,Medina,3B,3,12,1,16
Over Votes,U.S. House,23,,Medina,3B,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,3B,20,258,36,314
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,3B,25,51,9,85
Matt Sterett,Railroad Commissioner,,LIB,Medina,3B,0,7,3,10
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,3B,1,1,0,2
Under Votes,Railroad Commissioner,,,Medina,3B,5,13,3,21
Over Votes,Railroad Commissioner,,,Medina,3B,0,0,,0
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,3B,21,269,39,329
Roland Gutierrez,State Senate,19,DEM,Medina,3B,25,44,7,76
Jo-Anne Valdivia,State Senate,19,LIB,Medina,3B,2,6,2,10
Under Votes,State Senate,19,,Medina,3B,3,11,3,17
Over Votes,State Senate,19,,Medina,3B,0,0,0,0
Andrew S Murr,State Representative,53,REP,Medina,3B,20,270,40,330
Joe P. Herrera,State Representative,53,DEM,Medina,3B,25,46,8,79
Under Votes,State Representative,53,,Medina,3B,6,14,3,23
Over Votes,State Representative,53,,Medina,3B,0,0,0,0
Donald J Trump,President,,REP,Medina,3C,74,916,148,1138
Joseph R Biden,President,,DEM,Medina,3C,77,399,93,569
Jo Jorgensen,President,,LIB,Medina,3C,2,8,2,12
Howie Hawkins,President,,GRN,Medina,3C,0,0,1,1
Gloria La Rivera (W),President,,,Medina,3C,0,0,0,0
President R. Boddie (W),President,,,Medina,3C,0,0,0,0
Abram Loeb (W),President,,,Medina,3C,0,0,0,0
Todd Cella (W),President,,,Medina,3C,0,0,0,0
Tom Heofling (W),President,,,Medina,3C,0,0,0,0
Robert Marrow (W),President,,,Medina,3C,0,0,0,0
Kasey Wells (W),President,,,Medina,3C,0,0,0,0
Brian Carroll (W),President,,,Medina,3C,0,1,0,1
Jesse Cuellar (W),President,,,Medina,3C,0,0,0,0
Under Votes,President,,,Medina,3C,2,3,0,5
Over Votes,President,,,Medina,3C,1,0,0,1
John Cornyn,U.S. Senate,,REP,Medina,3C,72,887,149,1108
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Medina,3C,76,383,80,539
Kerry Douglas McKennon,U.S. Senate,,LIB,Medina,3C,1,24,6,31
David B. Collins,U.S. Senate,,GRN,Medina,3C,0,4,2,6
Ricardo Turullois Bonilla (W),U.S. Senate,,,Medina,3C,0,1,0,1
Under Votes,U.S. Senate,,,Medina,3C,6,28,7,41
Over Votes,U.S. Senate,,,Medina,3C,1,0,0,1
Tony Gonzales,U.S. House,23,REP,Medina,3C,73,909,145,1127
Gina Ortiz Jones,U.S. House,23,DEM,Medina,3C,74,368,79,521
Beto Villela,U.S. House,23,LIB,Medina,3C,5,27,9,41
Under Votes,U.S. House,23,,Medina,3C,4,23,11,38
Over Votes,U.S. House,23,,Medina,3C,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Medina,3C,69,866,146,1081
Chrysta Castaneda,Railroad Commissioner,,DEM,Medina,3C,73,373,81,527
Matt Sterett,Railroad Commissioner,,LIB,Medina,3C,2,35,4,41
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Medina,3C,0,12,3,15
Under Votes,Railroad Commissioner,,,Medina,3C,11,41,10,62
Over Votes,Railroad Commissioner,,,Medina,3C,1,0,0,1
"Peter P. ""Pete"" Flores",State Senate,19,REP,Medina,3C,70,893,158,1121
Roland Gutierrez,State Senate,19,DEM,Medina,3C,71,353,66,490
Jo-Anne Valdivia,State Senate,19,LIB,Medina,3C,3,43,8,54
Under Votes,State Senate,19,,Medina,3C,12,38,12,62
Over Votes,State Senate,19,,Medina,3C,0,0,0,0
