county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Wise,01 - D2,"JUSTICE, SUPREME COURT, PLACE 7",,DEM,Staci Williams,0,0,0,0
Wise,01 - D2,"JUSTICE, SUPREME COURT, PLACE 7",,LIB,William Bryan Strange III,0,0,0,0
Wise,01 - D2,"JUSTICE, SUPREME COURT, PLACE 8",,REP,Brett Busby,0,0,0,0
Wise,01 - D2,"JUSTICE, SUPREME COURT, PLACE 8",,DEM,Gisela D. Triana,0,0,0,0
Wise,01 - D2,"JUSTICE, SUPREME COURT, PLACE 8",,LIB,Tom Oxford,0,0,0,0
Wise,01 - D2,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 3",,REP,Bert Richardson,0,0,0,0
Wise,01 - D2,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 3",,DEM,Elizabeth Davis Frizell,0,0,0,0
Wise,01 - D2,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 4",,REP,Kevin Patrick Yeary,0,0,0,0
Wise,01 - D2,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 4",,DEM,Tina Clinton,0,0,0,0
Wise,01 - D2,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 9",,REP,David Newell,0,0,0,0
Wise,01 - D2,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 9",,DEM,Brandon Birmingham,0,0,0,0
Wise,01 - D2,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 14",,REP,Sue Melton-Malone,0,0,0,0
Wise,01 - D2,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 14",,DEM,Greg Alvord,0,0,0,0
Wise,01 - D2,State Representative,61,REP,Phil King,0,0,0,0
Wise,01 - D2,State Representative,61,DEM,Christopher Cox,0,0,0,0
Wise,01 - D2,State Representative,61,LIB,J.K. Stephenson,0,0,0,0
Wise,01 - D2,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 2",,REP,Dana Womack,0,0,0,0
Wise,01 - D2,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 6 (UNEXPIRED TERM)",,REP,Mike Wallach,0,0,0,0
Wise,01 - D2,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 6 (UNEXPIRED TERM)",,DEM,Delonia A. Watson,0,0,0,0
Wise,01 - D2,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 7",,REP,Brian Walker,0,0,0,0
Wise,01 - D2,"DISTRICT ATTORNEY, 271ST JUDICIAL DISTRICT",,REP,Greg Lowery,0,0,0,0
Wise,01 - D2,"JUDGE, COUNTY COURT AT LAW NUMBER 2",,REP,Stephen J. Wren,0,0,0,0
Wise,01 - D2,COUNTY ATTORNEY,,REP,James M. Stainton,0,0,0,0
Wise,01 - D2,SHERIFF,,REP,Lane Akin,0,0,0,0
Wise,01 - D2,COUNTY TAX ASSESSOR-COLLECTOR,,REP,Monte S. Shaw,0,0,0,0
Wise,01 - D2,"COUNTY COMMISSIONER, PRECINCT 1",,REP,"John ""Biff"" Hayes",0,0,0,0
Wise,01 - D2,"CONSTABLE, PRECINCT 1",,REP,Rex Hoskins,0,0,0,0
Wise,01 - D3,Registered Voters,,,,2,,,
Wise,01 - D3,Ballots Cast,,,,3,,,
Wise,01 - D3,President,,REP,Donald J. Trump/Michael R. Pence,3,2,1,0
Wise,01 - D3,President,,DEM,Joseph R. Biden/Kamala D. Harris,0,0,0,0
Wise,01 - D3,President,,LIB,"Jo Jorgensen/Jeremy ""Spike"" Cohen",0,0,0,0
Wise,01 - D3,President,,GRN,Howie Hawkins/Angela Walker,0,0,0,0
Wise,01 - D3,President,,"",Abram Loeb/Jennifer Jairala,0,0,0,0
Wise,01 - D3,President,,"",Brian Carroll/Amar Patel,0,0,0,0
