county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day,provisional
Hood,Precinct 12,U.S. Senate,,Write-In,,0,0,0,0,0
Hood,Precinct 12,U.S. Senate,,Over Votes,,0,0,0,0,0
Hood,Precinct 12,U.S. Senate,,Under Votes,,22,3,13,6,0
Hood,Precinct 12,U.S. House,11,August Pfluger,REP,915,67,662,183,3
Hood,Precinct 12,U.S. House,11,Jon Mark Hogg,DEM,218,33,152,33,0
Hood,Precinct 12,U.S. House,11,Wacey Alpha Cody,LIB,27,1,12,14,0
Hood,Precinct 12,U.S. House,11,Over Votes,,0,0,0,0,0
Hood,Precinct 12,U.S. House,11,Under Votes,,53,11,34,8,0
Hood,Precinct 12,Railroad Commissioner,,"James ""Jim"" Wright",REP,935,76,673,183,3
Hood,Precinct 12,Railroad Commissioner,,Chrysta Castaneda,DEM,196,30,135,31,0
Hood,Precinct 12,Railroad Commissioner,,Matt Sterett,LIB,31,2,21,8,0
Hood,Precinct 12,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,11,1,5,5,0
Hood,Precinct 12,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Hood,Precinct 12,Railroad Commissioner,,Under Votes,,40,3,26,11,0
Hood,Precinct 12,State Senate,22,Brian Birdwell,REP,955,72,691,189,3
Hood,Precinct 12,State Senate,22,Robert Vick,DEM,217,31,148,38,0
Hood,Precinct 12,State Senate,22,Over Votes,,0,0,0,0,0
Hood,Precinct 12,State Senate,22,Under Votes,,41,9,21,11,0
Hood,Precinct 12,State Representative,60,Glenn Rogers,REP,1012,75,729,205,3
Hood,Precinct 12,State Representative,60,Over Votes,,0,0,0,0,0
Hood,Precinct 12,State Representative,60,Under Votes,,201,37,131,33,0
Hood,Precinct 11,Registered Voters,,,,2106,,,,
Hood,Precinct 11,Ballots Cast,,,,1441,127,998,305,11
Hood,Precinct 11,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,1151,85,813,246,7
Hood,Precinct 11,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,266,39,174,49,4
Hood,Precinct 11,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,13,0,8,5,0
Hood,Precinct 11,President / Vice President,,Howie Hawkins / Angela Walker,GRN,4,1,1,2,0
Hood,Precinct 11,President / Vice President,,Write-In,,4,1,1,2,0
Hood,Precinct 11,President / Vice President,,Over Votes,,0,0,0,0,0
Hood,Precinct 11,President / Vice President,,Under Votes,,3,1,1,1,0
Hood,Precinct 11,U.S. Senate,,John Cornyn,REP,1120,93,780,240,7
Hood,Precinct 11,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,248,32,169,43,4
Hood,Precinct 11,U.S. Senate,,Kerry Douglas McKennon,LIB,31,1,18,12,0
Hood,Precinct 11,U.S. Senate,,David B. Collins,GRN,11,0,8,3,0
Hood,Precinct 11,U.S. Senate,,Write-In,,1,0,1,0,0
Hood,Precinct 11,U.S. Senate,,Over Votes,,0,0,0,0,0
Hood,Precinct 11,U.S. Senate,,Under Votes,,30,1,22,7,0
Hood,Precinct 11,U.S. House,11,August Pfluger,REP,1093,70,784,232,7
Hood,Precinct 11,U.S. House,11,Jon Mark Hogg,DEM,251,38,160,49,4
Hood,Precinct 11,U.S. House,11,Wacey Alpha Cody,LIB,31,0,17,14,0
Hood,Precinct 11,U.S. House,11,Over Votes,,0,0,0,0,0
Hood,Precinct 11,U.S. House,11,Under Votes,,66,19,37,10,0
Hood,Precinct 11,Railroad Commissioner,,"James ""Jim"" Wright",REP,1114,86,783,238,7
Hood,Precinct 11,Railroad Commissioner,,Chrysta Castaneda,DEM,241,33,162,42,4
Hood,Precinct 11,Railroad Commissioner,,Matt Sterett,LIB,28,3,15,10,0
Hood,Precinct 11,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,10,0,5,5,0
Hood,Precinct 11,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Hood,Precinct 11,Railroad Commissioner,,Under Votes,,48,5,33,10,0
Hood,Precinct 11,State Senate,22,Brian Birdwell,REP,1132,74,800,251,7
Hood,Precinct 11,State Senate,22,Robert Vick,DEM,246,36,163,43,4
Hood,Precinct 11,State Senate,22,Over Votes,,0,0,0,0,0
Hood,Precinct 11,State Senate,22,Under Votes,,63,17,35,11,0
Hood,Precinct 11,State Representative,60,Glenn Rogers,REP,1220,79,861,271,9
Hood,Precinct 11,State Representative,60,Over Votes,,0,0,0,0,0
Hood,Precinct 11,State Representative,60,Under Votes,,221,48,137,34,2
Hood,Precinct 10,Registered Voters,,,,5152,,,,
Hood,Precinct 10,Ballots Cast,,,,4044,466,2793,752,33
Hood,Precinct 10,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,3326,306,2363,632,25
Hood,Precinct 10,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,638,151,384,95,8
Hood,Precinct 10,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,44,3,24,17,0
Hood,Precinct 10,President / Vice President,,Howie Hawkins / Angela Walker,GRN,15,2,11,2,0
Hood,Precinct 10,President / Vice President,,Write-In,,9,0,5,4,0
Hood,Precinct 10,President / Vice President,,Over Votes,,0,0,0,0,0
Hood,Precinct 10,President / Vice President,,Under Votes,,12,4,6,2,0
Hood,Precinct 10,U.S. Senate,,John Cornyn,REP,3321,317,2358,623,23
Hood,Precinct 10,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,578,134,353,83,8
Hood,Precinct 10,U.S. Senate,,Kerry Douglas McKennon,LIB,68,5,31,30,2
Hood,Precinct 10,U.S. Senate,,David B. Collins,GRN,19,2,15,2,0
Hood,Precinct 10,U.S. Senate,,Write-In,,4,0,3,1,0
Hood,Precinct 10,U.S. Senate,,Over Votes,,0,0,0,0,0
Hood,Precinct 10,U.S. Senate,,Under Votes,,54,8,33,13,0
Hood,Precinct 10,U.S. House,11,August Pfluger,REP,3269,284,2355,606,24
Hood,Precinct 10,U.S. House,11,Jon Mark Hogg,DEM,558,132,343,75,8
Hood,Precinct 10,U.S. House,11,Wacey Alpha Cody,LIB,74,1,32,41,0
Hood,Precinct 10,U.S. House,11,Over Votes,,0,0,0,0,0
Hood,Precinct 10,U.S. House,11,Under Votes,,143,49,63,30,1
Hood,Precinct 10,Railroad Commissioner,,"James ""Jim"" Wright",REP,3281,312,2325,621,23
Hood,Precinct 10,Railroad Commissioner,,Chrysta Castaneda,DEM,567,134,360,67,6
Hood,Precinct 10,Railroad Commissioner,,Matt Sterett,LIB,79,4,43,30,2
Hood,Precinct 10,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,16,0,7,8,1
Hood,Precinct 10,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Hood,Precinct 10,Railroad Commissioner,,Under Votes,,101,16,58,26,1
Hood,Precinct 10,State Senate,22,Brian Birdwell,REP,3355,300,2393,638,24
Hood,Precinct 10,State Senate,22,Robert Vick,DEM,570,123,354,86,7
Hood,Precinct 10,State Senate,22,Over Votes,,0,0,0,0,0
Hood,Precinct 10,State Senate,22,Under Votes,,119,43,46,28,2
Hood,Precinct 10,State Representative,60,Glenn Rogers,REP,3489,315,2483,666,25
Hood,Precinct 10,State Representative,60,Over Votes,,0,0,0,0,0
Hood,Precinct 10,State Representative,60,Under Votes,,555,151,310,86,8
Hood,Precinct 9,Registered Voters,,,,4641,,,,
Hood,Precinct 9,Ballots Cast,,,,3471,322,2511,620,18
Hood,Precinct 9,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,2863,213,2102,535,13
Hood,Precinct 9,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,547,104,370,68,5
Hood,Precinct 9,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,40,3,26,11,0
Hood,Precinct 9,President / Vice President,,Howie Hawkins / Angela Walker,GRN,3,0,0,3,0
Hood,Precinct 9,President / Vice President,,Write-In,,8,1,5,2,0
Hood,Precinct 9,President / Vice President,,Over Votes,,0,0,0,0,0
Hood,Precinct 9,President / Vice President,,Under Votes,,10,1,8,1,0
Hood,Precinct 9,U.S. Senate,,John Cornyn,REP,2831,230,2075,514,12
Hood,Precinct 9,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,509,86,352,66,5
Hood,Precinct 9,U.S. Senate,,Kerry Douglas McKennon,LIB,60,4,38,18,0
Hood,Precinct 9,U.S. Senate,,David B. Collins,GRN,15,0,8,7,0
Hood,Precinct 9,U.S. Senate,,Write-In,,1,0,1,0,0
Hood,Precinct 9,U.S. Senate,,Over Votes,,0,0,0,0,0
Hood,Precinct 9,U.S. Senate,,Under Votes,,55,2,37,15,1
Hood,Precinct 9,U.S. House,11,August Pfluger,REP,2788,192,2067,517,12
Hood,Precinct 9,U.S. House,11,Jon Mark Hogg,DEM,496,87,337,67,5
Hood,Precinct 9,U.S. House,11,Wacey Alpha Cody,LIB,63,3,43,17,0
Hood,Precinct 9,U.S. House,11,Over Votes,,0,0,0,0,0
Hood,Precinct 9,U.S. House,11,Under Votes,,124,40,64,19,1
Hood,Precinct 9,Railroad Commissioner,,"James ""Jim"" Wright",REP,2780,217,2037,513,13
Hood,Precinct 9,Railroad Commissioner,,Chrysta Castaneda,DEM,497,88,347,58,4
Hood,Precinct 9,Railroad Commissioner,,Matt Sterett,LIB,83,5,52,26,0
Hood,Precinct 9,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,19,1,14,4,0
Hood,Precinct 9,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Hood,Precinct 9,Railroad Commissioner,,Under Votes,,92,11,61,19,1
Hood,Precinct 9,State Senate,22,Brian Birdwell,REP,2857,204,2111,529,13
Hood,Precinct 9,State Senate,22,Robert Vick,DEM,501,79,347,70,5
Hood,Precinct 9,State Senate,22,Over Votes,,0,0,0,0,0
Hood,Precinct 9,State Senate,22,Under Votes,,113,39,53,21,0
Hood,Precinct 9,State Representative,60,Glenn Rogers,REP,3000,223,2202,561,14
Hood,Precinct 9,State Representative,60,Over Votes,,0,0,0,0,0
Hood,Precinct 9,State Representative,60,Under Votes,,471,99,309,59,4
Hood,Precinct 8,Registered Voters,,,,3068,,,,
Hood,Precinct 8,Ballots Cast,,,,2286,210,1673,385,18
Hood,Precinct 8,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,1863,139,1389,322,13
Hood,Precinct 8,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,390,69,262,54,5
Hood,Precinct 8,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,18,2,13,3,0
Hood,Precinct 8,President / Vice President,,Howie Hawkins / Angela Walker,GRN,2,0,1,1,0
Hood,Precinct 8,President / Vice President,,Write-In,,6,0,2,4,0
Hood,Precinct 8,President / Vice President,,Over Votes,,0,0,0,0,0
Hood,Precinct 8,President / Vice President,,Under Votes,,7,0,6,1,0
Hood,Precinct 8,U.S. Senate,,John Cornyn,REP,1841,141,1371,316,13
Hood,Precinct 8,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,357,62,241,49,5
Hood,Precinct 8,U.S. Senate,,Kerry Douglas McKennon,LIB,35,1,24,10,0
Hood,Precinct 8,U.S. Senate,,David B. Collins,GRN,15,3,12,0,0
Hood,Precinct 8,U.S. Senate,,Write-In,,2,0,1,1,0
Hood,Precinct 8,U.S. Senate,,Over Votes,,0,0,0,0,0
Hood,Precinct 8,U.S. Senate,,Under Votes,,36,3,24,9,0
Hood,Precinct 8,U.S. House,11,August Pfluger,REP,1824,128,1371,311,14
Hood,Precinct 8,U.S. House,11,Jon Mark Hogg,DEM,338,59,230,45,4
Hood,Precinct 8,U.S. House,11,Wacey Alpha Cody,LIB,52,2,34,16,0
Hood,Precinct 8,U.S. House,11,Over Votes,,0,0,0,0,0
Hood,Precinct 8,U.S. House,11,Under Votes,,72,21,38,13,0
Hood,Precinct 8,Railroad Commissioner,,"James ""Jim"" Wright",REP,1820,136,1358,312,14
Hood,Precinct 8,Railroad Commissioner,,Chrysta Castaneda,DEM,349,62,241,42,4
Hood,Precinct 8,Railroad Commissioner,,Matt Sterett,LIB,53,1,36,16,0
Hood,Precinct 8,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,7,3,3,1,0
Hood,Precinct 8,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Hood,Precinct 8,Railroad Commissioner,,Under Votes,,57,8,35,14,0
Hood,Precinct 8,State Senate,22,Brian Birdwell,REP,1867,129,1406,318,14
Hood,Precinct 8,State Senate,22,Robert Vick,DEM,360,63,239,54,4
Hood,Precinct 8,State Senate,22,Over Votes,,0,0,0,0,0
Hood,Precinct 8,State Senate,22,Under Votes,,59,18,28,13,0
Hood,Precinct 8,State Representative,60,Glenn Rogers,REP,1972,144,1475,340,13
Hood,Precinct 8,State Representative,60,Over Votes,,0,0,0,0,0
Hood,Precinct 8,State Representative,60,Under Votes,,314,66,198,45,5
Hood,Precinct 7,Registered Voters,,,,958,,,,
