candidate,office,district,party,county,precinct,early_voting,election_day,votes
Over Votes,State Representative,9,,Harrison,Precinct 1,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 1,318,25,343
Ballots Cast,,,,Harrison,Precinct 2,,,1100
Donald J Trump,President,,REP,Harrison,Precinct 2,300,79,379
Joseph R Biden,President,,DEM,Harrison,Precinct 2,601,99,700
Jo Jorgensen,President,,LIB,Harrison,Precinct 2,3,1,4
Howie Hawkins,President,,GRN,Harrison,Precinct 2,4,0,4
President R. Boddie (W),President,,,Harrison,Precinct 2,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 2,0,2,2
Todd Cella (W),President,,,Harrison,Precinct 2,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 2,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 2,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 2,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 2,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 2,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 2,0,0,0
Over Votes,President,,,Harrison,Precinct 2,5,1,6
Under Votes,President,,,Harrison,Precinct 2,3,2,5
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 2,298,78,376
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 2,581,100,681
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 2,8,3,11
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 2,9,0,9
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 2,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 2,2,1,3
Under Votes,U.S. Senate,,,Harrison,Precinct 2,18,2,20
Louie Gohmert,U.S. House,1,,Harrison,Precinct 2,312,81,393
Hank Gilbert,U.S. House,1,,Harrison,Precinct 2,582,100,682
Over Votes,U.S. House,1,,Harrison,Precinct 2,0,1,1
Under Votes,U.S. House,1,,Harrison,Precinct 2,22,2,24
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 2,296,79,375
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 2,575,91,666
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 2,10,7,17
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 2,5,1,6
Over Votes,Railroad Commissioner,,,Harrison,Precinct 2,3,1,4
Under Votes,Railroad Commissioner,,,Harrison,Precinct 2,27,5,32
Bryan Hughes,State Senate,1,,Harrison,Precinct 2,313,83,396
Audrey Spanko,State Senate,1,,Harrison,Precinct 2,576,92,668
Over Votes,State Senate,1,,Harrison,Precinct 2,0,1,1
Under Votes,State Senate,1,,Harrison,Precinct 2,27,8,35
Chris Paddie,State Representative,9,,Harrison,Precinct 2,442,132,574
Over Votes,State Representative,9,,Harrison,Precinct 2,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 2,474,52,526
Ballots Cast,,,,Harrison,Precinct 3,,,1008
Donald J Trump,President,,REP,Harrison,Precinct 3,79,17,96
Joseph R Biden,President,,DEM,Harrison,Precinct 3,807,88,895
Jo Jorgensen,President,,LIB,Harrison,Precinct 3,3,3,6
Howie Hawkins,President,,GRN,Harrison,Precinct 3,2,0,2
President R. Boddie (W),President,,,Harrison,Precinct 3,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 3,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 3,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 3,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 3,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 3,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 3,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 3,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 3,0,0,0
Over Votes,President,,,Harrison,Precinct 3,6,1,7
Under Votes,President,,,Harrison,Precinct 3,2,0,2
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 3,83,13,96
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 3,766,86,852
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 3,11,3,14
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 3,6,2,8
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 3,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 3,2,0,2
Under Votes,U.S. Senate,,,Harrison,Precinct 3,31,5,36
Louie Gohmert,U.S. House,1,,Harrison,Precinct 3,99,16,115
Hank Gilbert,U.S. House,1,,Harrison,Precinct 3,763,82,845
Over Votes,U.S. House,1,,Harrison,Precinct 3,1,0,1
Under Votes,U.S. House,1,,Harrison,Precinct 3,36,11,47
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 3,85,11,96
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 3,756,82,838
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 3,7,3,10
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 3,10,1,11
Over Votes,Railroad Commissioner,,,Harrison,Precinct 3,1,0,1
Under Votes,Railroad Commissioner,,,Harrison,Precinct 3,40,12,52
Bryan Hughes,State Senate,1,,Harrison,Precinct 3,100,17,117
Audrey Spanko,State Senate,1,,Harrison,Precinct 3,754,79,833
Over Votes,State Senate,1,,Harrison,Precinct 3,1,0,1
Under Votes,State Senate,1,,Harrison,Precinct 3,44,13,57
Chris Paddie,State Representative,9,,Harrison,Precinct 3,311,40,351
Over Votes,State Representative,9,,Harrison,Precinct 3,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 3,588,69,657
Ballots Cast,,,,Harrison,Precinct 4,,,1123
Donald J Trump,President,,REP,Harrison,Precinct 4,574,99,673
Joseph R Biden,President,,DEM,Harrison,Precinct 4,378,58,436
Jo Jorgensen,President,,LIB,Harrison,Precinct 4,3,4,7
Howie Hawkins,President,,GRN,Harrison,Precinct 4,1,0,1
President R. Boddie (W),President,,,Harrison,Precinct 4,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 4,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 4,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 4,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 4,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 4,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 4,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 4,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 4,0,0,0
Over Votes,President,,,Harrison,Precinct 4,0,0,0
Under Votes,President,,,Harrison,Precinct 4,5,1,6
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 4,563,93,656
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 4,372,59,431
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 4,8,3,11
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 4,2,0,2
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 4,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 4,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 4,16,7,23
Louie Gohmert,U.S. House,1,,Harrison,Precinct 4,556,92,648
Hank Gilbert,U.S. House,1,,Harrison,Precinct 4,382,59,441
Over Votes,U.S. House,1,,Harrison,Precinct 4,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 4,23,11,34
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 4,556,90,646
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 4,364,58,422
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 4,10,2,12
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 4,5,1,6
Over Votes,Railroad Commissioner,,,Harrison,Precinct 4,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 4,26,11,37
Bryan Hughes,State Senate,1,,Harrison,Precinct 4,572,96,668
Audrey Spanko,State Senate,1,,Harrison,Precinct 4,362,55,417
Over Votes,State Senate,1,,Harrison,Precinct 4,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 4,27,11,38
Chris Paddie,State Representative,9,,Harrison,Precinct 4,671,118,789
Over Votes,State Representative,9,,Harrison,Precinct 4,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 4,290,44,334
Ballots Cast,,,,Harrison,Precinct 5,,,695
Donald J Trump,President,,REP,Harrison,Precinct 5,471,80,551
Joseph R Biden,President,,DEM,Harrison,Precinct 5,128,7,135
Jo Jorgensen,President,,LIB,Harrison,Precinct 5,5,0,5
Howie Hawkins,President,,GRN,Harrison,Precinct 5,1,0,1
President R. Boddie (W),President,,,Harrison,Precinct 5,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 5,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 5,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 5,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 5,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 5,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 5,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 5,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 5,0,0,0
Over Votes,President,,,Harrison,Precinct 5,1,0,1
Under Votes,President,,,Harrison,Precinct 5,2,0,2
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 5,465,75,540
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 5,119,7,126
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 5,9,2,11
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 5,3,0,3
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 5,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 5,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 5,12,3,15
Louie Gohmert,U.S. House,1,,Harrison,Precinct 5,476,76,552
Hank Gilbert,U.S. House,1,,Harrison,Precinct 5,117,7,124
Over Votes,U.S. House,1,,Harrison,Precinct 5,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 5,15,4,19
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 5,461,76,537
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 5,114,6,120
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 5,10,2,12
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 5,6,0,6
Over Votes,Railroad Commissioner,,,Harrison,Precinct 5,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 5,17,3,20
Bryan Hughes,State Senate,1,,Harrison,Precinct 5,475,77,552
Audrey Spanko,State Senate,1,,Harrison,Precinct 5,117,6,123
Over Votes,State Senate,1,,Harrison,Precinct 5,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 5,16,4,20
Chris Paddie,State Representative,9,,Harrison,Precinct 5,501,74,575
Over Votes,State Representative,9,,Harrison,Precinct 5,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 5,107,13,120
Ballots Cast,,,,Harrison,Precinct 6,,,1164
Donald J Trump,President,,REP,Harrison,Precinct 6,802,157,959
Joseph R Biden,President,,DEM,Harrison,Precinct 6,163,27,190
Jo Jorgensen,President,,LIB,Harrison,Precinct 6,9,1,10
Howie Hawkins,President,,GRN,Harrison,Precinct 6,1,0,1
President R. Boddie (W),President,,,Harrison,Precinct 6,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 6,0,1,1
Todd Cella (W),President,,,Harrison,Precinct 6,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 6,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 6,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 6,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 6,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 6,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 6,0,1,1
Over Votes,President,,,Harrison,Precinct 6,0,1,1
Under Votes,President,,,Harrison,Precinct 6,0,1,1
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 6,771,153,924
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 6,163,29,192
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 6,14,6,20
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 6,7,0,7
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 6,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 6,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 6,20,1,21
Louie Gohmert,U.S. House,1,,Harrison,Precinct 6,795,159,954
Hank Gilbert,U.S. House,1,,Harrison,Precinct 6,160,29,189
Over Votes,U.S. House,1,,Harrison,Precinct 6,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 6,20,1,21
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 6,771,158,929
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 6,150,23,173
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 6,18,4,22
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 6,6,1,7
Over Votes,Railroad Commissioner,,,Harrison,Precinct 6,1,0,1
Under Votes,Railroad Commissioner,,,Harrison,Precinct 6,29,3,32
Bryan Hughes,State Senate,1,,Harrison,Precinct 6,787,160,947
Audrey Spanko,State Senate,1,,Harrison,Precinct 6,162,25,187
Over Votes,State Senate,1,,Harrison,Precinct 6,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 6,26,4,30
Chris Paddie,State Representative,9,,Harrison,Precinct 6,829,171,1000
Over Votes,State Representative,9,,Harrison,Precinct 6,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 6,146,18,164
Ballots Cast,,,,Harrison,Precinct 7,,,639
Donald J Trump,President,,REP,Harrison,Precinct 7,362,97,459
Joseph R Biden,President,,DEM,Harrison,Precinct 7,147,23,170
Jo Jorgensen,President,,LIB,Harrison,Precinct 7,5,2,7
Howie Hawkins,President,,GRN,Harrison,Precinct 7,1,0,1
President R. Boddie (W),President,,,Harrison,Precinct 7,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 7,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 7,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 7,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 7,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 7,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 7,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 7,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 7,0,0,0
Over Votes,President,,,Harrison,Precinct 7,0,0,0
Under Votes,President,,,Harrison,Precinct 7,2,0,2
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 7,360,94,454
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 7,147,25,172
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 7,5,3,8
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 7,1,0,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 7,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 7,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 7,4,0,4
Louie Gohmert,U.S. House,1,,Harrison,Precinct 7,369,97,466
Hank Gilbert,U.S. House,1,,Harrison,Precinct 7,144,23,167
Over Votes,U.S. House,1,,Harrison,Precinct 7,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 7,4,2,6
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 7,359,96,455
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 7,137,19,156
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 7,12,4,16
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 7,2,1,3
Over Votes,Railroad Commissioner,,,Harrison,Precinct 7,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 7,7,2,9
Bryan Hughes,State Senate,1,,Harrison,Precinct 7,368,97,465
Audrey Spanko,State Senate,1,,Harrison,Precinct 7,141,21,162
Over Votes,State Senate,1,,Harrison,Precinct 7,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 7,8,4,12
Chris Paddie,State Representative,9,,Harrison,Precinct 7,420,103,523
Over Votes,State Representative,9,,Harrison,Precinct 7,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 7,97,19,116
Ballots Cast,,,,Harrison,Precinct 8,,,1846
Donald J Trump,President,,REP,Harrison,Precinct 8,1108,174,1282
Joseph R Biden,President,,DEM,Harrison,Precinct 8,470,53,523
Jo Jorgensen,President,,LIB,Harrison,Precinct 8,20,8,28
Howie Hawkins,President,,GRN,Harrison,Precinct 8,0,1,1
President R. Boddie (W),President,,,Harrison,Precinct 8,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 8,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 8,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 8,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 8,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 8,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 8,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 8,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 8,0,0,0
Over Votes,President,,,Harrison,Precinct 8,2,0,2
Under Votes,President,,,Harrison,Precinct 8,9,1,10
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 8,1121,166,1287
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 8,447,55,502
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 8,15,6,21
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 8,6,0,6
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 8,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 8,2,0,2
Under Votes,U.S. Senate,,,Harrison,Precinct 8,18,10,28
Louie Gohmert,U.S. House,1,,Harrison,Precinct 8,1115,178,1293
Hank Gilbert,U.S. House,1,,Harrison,Precinct 8,475,50,525
Over Votes,U.S. House,1,,Harrison,Precinct 8,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 8,19,9,28
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 8,1112,161,1273
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 8,414,49,463
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 8,23,11,34
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 8,11,2,13
Over Votes,Railroad Commissioner,,,Harrison,Precinct 8,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 8,49,14,63
Bryan Hughes,State Senate,1,,Harrison,Precinct 8,1151,178,1329
Audrey Spanko,State Senate,1,,Harrison,Precinct 8,426,46,472
Over Votes,State Senate,1,,Harrison,Precinct 8,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 8,32,13,45
Chris Paddie,State Representative,9,,Harrison,Precinct 8,1263,202,1465
Over Votes,State Representative,9,,Harrison,Precinct 8,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 8,346,35,381
Ballots Cast,,,,Harrison,Precinct 9,,,1052
Donald J Trump,President,,REP,Harrison,Precinct 9,670,104,774
Joseph R Biden,President,,DEM,Harrison,Precinct 9,234,30,264
Jo Jorgensen,President,,LIB,Harrison,Precinct 9,5,2,7
Howie Hawkins,President,,GRN,Harrison,Precinct 9,4,0,4
President R. Boddie (W),President,,,Harrison,Precinct 9,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 9,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 9,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 9,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 9,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 9,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 9,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 9,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 9,0,0,0
Over Votes,President,,,Harrison,Precinct 9,1,0,1
Under Votes,President,,,Harrison,Precinct 9,2,0,2
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 9,664,100,764
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 9,226,30,256
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 9,10,3,13
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 9,3,0,3
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 9,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 9,1,0,1
Under Votes,U.S. Senate,,,Harrison,Precinct 9,12,3,15
Louie Gohmert,U.S. House,1,,Harrison,Precinct 9,674,106,780
Hank Gilbert,U.S. House,1,,Harrison,Precinct 9,227,26,253
Over Votes,U.S. House,1,,Harrison,Precinct 9,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 9,15,4,19
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 9,659,97,756
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 9,213,30,243
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 9,19,3,22
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 9,9,2,11
Over Votes,Railroad Commissioner,,,Harrison,Precinct 9,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 9,16,4,20
Bryan Hughes,State Senate,1,,Harrison,Precinct 9,680,102,782
Audrey Spanko,State Senate,1,,Harrison,Precinct 9,218,28,246
Over Votes,State Senate,1,,Harrison,Precinct 9,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 9,18,6,24
Chris Paddie,State Representative,9,,Harrison,Precinct 9,722,111,833
Over Votes,State Representative,9,,Harrison,Precinct 9,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 9,194,25,219
Ballots Cast,,,,Harrison,Precinct 10,,,801
Donald J Trump,President,,REP,Harrison,Precinct 10,538,63,601
Joseph R Biden,President,,DEM,Harrison,Precinct 10,170,21,191
Jo Jorgensen,President,,LIB,Harrison,Precinct 10,4,0,4
Howie Hawkins,President,,GRN,Harrison,Precinct 10,2,0,2
President R. Boddie (W),President,,,Harrison,Precinct 10,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 10,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 10,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 10,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 10,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 10,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 10,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 10,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 10,0,0,0
Over Votes,President,,,Harrison,Precinct 10,0,0,0
Under Votes,President,,,Harrison,Precinct 10,3,0,3
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 10,545,58,603
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 10,153,22,175
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 10,7,2,9
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 10,1,0,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 10,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 10,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 10,11,2,13
Louie Gohmert,U.S. House,1,,Harrison,Precinct 10,552,61,613
Hank Gilbert,U.S. House,1,,Harrison,Precinct 10,151,19,170
Over Votes,U.S. House,1,,Harrison,Precinct 10,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 10,14,4,18
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 10,530,56,586
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 10,145,20,165
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 10,6,2,8
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 10,4,1,5
Over Votes,Railroad Commissioner,,,Harrison,Precinct 10,1,0,1
Under Votes,Railroad Commissioner,,,Harrison,Precinct 10,31,5,36
Bryan Hughes,State Senate,1,,Harrison,Precinct 10,549,62,611
