county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day,provisional_early_voting,provisional_election_day
Freestone,#2 Falrfield Dogan,U.S. Senate,,REP,John Cornyn,765,41,593,128,3,0
Freestone,#2 Falrfield Dogan,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",277,56,178,43,0,0
Freestone,#2 Falrfield Dogan,U.S. Senate,,LIB,Kerry Douglas McKennon,16,2,6,8,0,0
Freestone,#2 Falrfield Dogan,U.S. Senate,,GRN,David B. Collins,5,0,4,1,0,0
Freestone,#2 Falrfield Dogan,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#2 Falrfield Dogan,U.S. House,17,REP,Pete Sessions,778,40,611,124,3,0
Freestone,#2 Falrfield Dogan,U.S. House,17,DEM,Rick Kennedy,259,57,158,44,0,0
Freestone,#2 Falrfield Dogan,U.S. House,17,LIB,Ted Brown,23,0,12,11,0,0
Freestone,#2 Falrfield Dogan,Railroad Commissioner,,REP,"James ""Jim"" Wright",754,41,587,123,3,0
Freestone,#2 Falrfield Dogan,Railroad Commissioner,,DEM,Chrysta Castaneda,269,55,173,41,0,0
Freestone,#2 Falrfield Dogan,Railroad Commissioner,,LIB,Matt Sterett,17,0,8,9,0,0
Freestone,#2 Falrfield Dogan,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",6,0,3,3,0,0
Freestone,#2 Falrfield Dogan,State Representative,8,REP,Cody Harris,821,51,641,126,3,0
Freestone,#2 Falrfield Dogan,State Representative,8,LIB,R. Edwin Adams,151,28,92,31,0,0
Freestone,#3 Donie,Ballots Cast,,,,121,6,39,76,0,0
Freestone,#3 Donie,President,,REP,Donald J Trump,115,6,37,72,0,0
Freestone,#3 Donie,President,,DEM,Joseph R Biden,6,0,2,4,0,0
Freestone,#3 Donie,President,,LIB,Jo Jorgensen,0,0,0,0,0,0
Freestone,#3 Donie,President,,GRN,Howie Hawkins,0,0,0,0,0,0
Freestone,#3 Donie,President,,,Write-In,0,0,0,0,0,0
Freestone,#3 Donie,U.S. Senate,,REP,John Cornyn,113,6,35,72,0,0
Freestone,#3 Donie,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",5,0,3,2,0,0
Freestone,#3 Donie,U.S. Senate,,LIB,Kerry Douglas McKennon,1,0,1,0,0,0
Freestone,#3 Donie,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0,0
Freestone,#3 Donie,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#3 Donie,U.S. House,17,REP,Pete Sessions,115,6,36,73,0,0
Freestone,#3 Donie,U.S. House,17,DEM,Rick Kennedy,4,0,2,2,0,0
Freestone,#3 Donie,U.S. House,17,LIB,Ted Brown,0,0,0,0,0,0
Freestone,#3 Donie,Railroad Commissioner,,REP,"James ""Jim"" Wright",113,6,36,71,0,0
Freestone,#3 Donie,Railroad Commissioner,,DEM,Chrysta Castaneda,5,0,2,3,0,0
Freestone,#3 Donie,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0,0,0
Freestone,#3 Donie,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0,0,0
Freestone,#3 Donie,State Representative,8,REP,Cody Harris,113,6,36,71,0,0
Freestone,#3 Donie,State Representative,8,LIB,R. Edwin Adams,4,0,2,2,0,0
Freestone,#4 Cotton Gin,Ballots Cast,,,,335,21,175,135,1,3
Freestone,#4 Cotton Gin,President,,REP,Donald J Trump,294,10,157,123,1,3
Freestone,#4 Cotton Gin,President,,DEM,Joseph R Biden,40,11,18,11,0,0
Freestone,#4 Cotton Gin,President,,LIB,Jo Jorgensen,1,0,0,1,0,0
Freestone,#4 Cotton Gin,President,,GRN,Howie Hawkins,0,0,0,0,0,0
Freestone,#4 Cotton Gin,President,,,Write-In,0,0,0,0,0,0
Freestone,#4 Cotton Gin,U.S. Senate,,REP,John Cornyn,281,10,152,115,1,3
Freestone,#4 Cotton Gin,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",36,11,17,8,0,0
Freestone,#4 Cotton Gin,U.S. Senate,,LIB,Kerry Douglas McKennon,5,0,3,2,0,0
Freestone,#4 Cotton Gin,U.S. Senate,,GRN,David B. Collins,3,0,0,3,0,0
Freestone,#4 Cotton Gin,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#4 Cotton Gin,U.S. House,17,REP,Pete Sessions,288,10,152,122,1,3
Freestone,#4 Cotton Gin,U.S. House,17,DEM,Rick Kennedy,35,11,16,8,0,0
Freestone,#4 Cotton Gin,U.S. House,17,LIB,Ted Brown,4,0,2,2,0,0
Freestone,#4 Cotton Gin,Railroad Commissioner,,REP,"James ""Jim"" Wright",280,10,149,117,1,3
Freestone,#4 Cotton Gin,Railroad Commissioner,,DEM,Chrysta Castaneda,37,11,17,9,0,0
Freestone,#4 Cotton Gin,Railroad Commissioner,,LIB,Matt Sterett,6,0,4,2,0,0
Freestone,#4 Cotton Gin,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",2,0,1,1,0,0
Freestone,#4 Cotton Gin,State Representative,8,REP,Cody Harris,292,11,154,123,1,3
Freestone,#4 Cotton Gin,State Representative,8,LIB,R. Edwin Adams,24,6,11,7,0,0
Freestone,#5 Teague,Ballots Cast,,,,1554,112,1180,255,1,6
Freestone,#5 Teague,President,,REP,Donald J Trump,1178,44,930,197,1,6
Freestone,#5 Teague,President,,DEM,Joseph R Biden,360,63,243,54,0,0
Freestone,#5 Teague,President,,LIB,Jo Jorgensen,6,2,2,2,0,0
Freestone,#5 Teague,President,,GRN,Howie Hawkins,4,0,3,1,0,0
Freestone,#5 Teague,President,,,Write-In,0,0,0,0,0,0
Freestone,#5 Teague,U.S. Senate,,REP,John Cornyn,1158,44,924,184,1,5
Freestone,#5 Teague,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",347,65,224,58,0,0
Freestone,#5 Teague,U.S. Senate,,LIB,Kerry Douglas McKennon,19,1,13,5,0,0
Freestone,#5 Teague,U.S. Senate,,GRN,David B. Collins,8,0,5,3,0,0
Freestone,#5 Teague,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#5 Teague,U.S. House,17,REP,Pete Sessions,1162,42,928,187,1,4
Freestone,#5 Teague,U.S. House,17,DEM,Rick Kennedy,343,64,224,55,0,0
Freestone,#5 Teague,U.S. House,17,LIB,Ted Brown,21,2,11,7,0,1
Freestone,#5 Teague,Railroad Commissioner,,REP,"James ""Jim"" Wright",1151,43,912,190,1,5
Freestone,#5 Teague,Railroad Commissioner,,DEM,Chrysta Castaneda,335,65,219,51,0,0
Freestone,#5 Teague,Railroad Commissioner,,LIB,Matt Sterett,23,3,14,6,0,0
Freestone,#5 Teague,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",9,0,7,2,0,0
Freestone,#5 Teague,State Representative,8,REP,Cody Harris,1221,52,965,198,1,5
Freestone,#5 Teague,State Representative,8,LIB,R. Edwin Adams,197,24,136,37,0,0
Freestone,#6 Kirvin,Ballots Cast,,,,374,16,215,143,0,0
Freestone,#6 Kirvin,President,,REP,Donald J Trump,329,8,194,127,0,0
Freestone,#6 Kirvin,President,,DEM,Joseph R Biden,41,8,20,13,0,0
Freestone,#6 Kirvin,President,,LIB,Jo Jorgensen,4,0,1,3,0,0
Freestone,#6 Kirvin,President,,GRN,Howie Hawkins,0,0,0,0,0,0
Freestone,#6 Kirvin,President,,,Write-In,0,0,0,0,0,0
Freestone,#6 Kirvin,U.S. Senate,,REP,John Cornyn,324,9,189,126,0,0
Freestone,#6 Kirvin,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",35,7,16,12,0,0
Freestone,#6 Kirvin,U.S. Senate,,LIB,Kerry Douglas McKennon,7,0,5,2,0,0
Freestone,#6 Kirvin,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0,0
Freestone,#6 Kirvin,U.S. Senate,,,Write-In,1,0,1,0,0,0
Freestone,#6 Kirvin,U.S. House,17,REP,Pete Sessions,326,8,189,129,0,0
Freestone,#6 Kirvin,U.S. House,17,DEM,Rick Kennedy,33,8,15,10,0,0
Freestone,#6 Kirvin,U.S. House,17,LIB,Ted Brown,12,0,8,4,0,0
Freestone,#6 Kirvin,Railroad Commissioner,,REP,"James ""Jim"" Wright",312,8,181,123,0,0
Freestone,#6 Kirvin,Railroad Commissioner,,DEM,Chrysta Castaneda,37,8,18,11,0,0
Freestone,#6 Kirvin,Railroad Commissioner,,LIB,Matt Sterett,10,0,6,4,0,0
Freestone,#6 Kirvin,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",5,0,4,1,0,0
Freestone,#6 Kirvin,State Representative,8,REP,Cody Harris,336,10,195,131,0,0
Freestone,#6 Kirvin,State Representative,8,LIB,R. Edwin Adams,19,2,13,4,0,0
Freestone,#7 Wortham,Ballots Cast,,,,556,36,232,288,0,0
Freestone,#7 Wortham,President,,REP,Donald J Trump,433,20,176,237,0,0
Freestone,#7 Wortham,President,,DEM,Joseph R Biden,109,15,51,43,0,0
Freestone,#7 Wortham,President,,LIB,Jo Jorgensen,7,1,2,4,0,0
Freestone,#7 Wortham,President,,GRN,Howie Hawkins,4,0,1,3,0,0
Freestone,#7 Wortham,President,,,Write-In,3,0,2,1,0,0
Freestone,#7 Wortham,U.S. Senate,,REP,John Cornyn,431,21,178,232,0,0
Freestone,#7 Wortham,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",105,14,48,43,0,0
Freestone,#7 Wortham,U.S. Senate,,LIB,Kerry Douglas McKennon,5,0,2,3,0,0
Freestone,#7 Wortham,U.S. Senate,,GRN,David B. Collins,2,0,0,2,0,0
Freestone,#7 Wortham,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#7 Wortham,U.S. House,17,REP,Pete Sessions,436,21,182,233,0,0
Freestone,#7 Wortham,U.S. House,17,DEM,Rick Kennedy,100,14,44,42,0,0
Freestone,#7 Wortham,U.S. House,17,LIB,Ted Brown,10,0,2,8,0,0
Freestone,#7 Wortham,Railroad Commissioner,,REP,"James ""Jim"" Wright",423,21,174,228,0,0
Freestone,#7 Wortham,Railroad Commissioner,,DEM,Chrysta Castaneda,103,14,51,38,0,0
Freestone,#7 Wortham,Railroad Commissioner,,LIB,Matt Sterett,11,0,1,10,0,0
Freestone,#7 Wortham,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",3,0,1,2,0,0
Freestone,#7 Wortham,State Representative,8,REP,Cody Harris,448,19,189,240,0,0
Freestone,#7 Wortham,State Representative,8,LIB,R. Edwin Adams,68,8,30,30,0,0
Freestone,#8 St. Elmo,Ballots Cast,,,,438,44,244,146,0,4
Freestone,#8 St. Elmo,President,,REP,Donald J Trump,360,27,199,131,0,3
Freestone,#8 St. Elmo,President,,DEM,Joseph R Biden,71,17,41,13,0,0
Freestone,#8 St. Elmo,President,,LIB,Jo Jorgensen,2,0,1,1,0,0
Freestone,#8 St. Elmo,President,,GRN,Howie Hawkins,3,0,2,1,0,0
Freestone,#8 St. Elmo,President,,,Write-In,0,0,0,0,0,0
Freestone,#8 St. Elmo,U.S. Senate,,REP,John Cornyn,359,27,202,126,0,4
Freestone,#8 St. Elmo,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",71,17,38,16,0,0
Freestone,#8 St. Elmo,U.S. Senate,,LIB,Kerry Douglas McKennon,4,0,1,3,0,0
Freestone,#8 St. Elmo,U.S. Senate,,GRN,David B. Collins,2,0,1,1,0,0
Freestone,#8 St. Elmo,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#8 St. Elmo,U.S. House,17,REP,Pete Sessions,360,27,200,129,0,4
Freestone,#8 St. Elmo,U.S. House,17,DEM,Rick Kennedy,69,17,39,13,0,0
Freestone,#8 St. Elmo,U.S. House,17,LIB,Ted Brown,7,0,3,4,0,0
Freestone,#8 St. Elmo,Railroad Commissioner,,REP,"James ""Jim"" Wright",360,27,200,129,0,4
Freestone,#8 St. Elmo,Railroad Commissioner,,DEM,Chrysta Castaneda,65,16,36,13,0,0
Freestone,#8 St. Elmo,Railroad Commissioner,,LIB,Matt Sterett,6,0,4,2,0,0
Freestone,#8 St. Elmo,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,0,1,0,0,0
Freestone,#8 St. Elmo,State Representative,8,REP,Cody Harris,378,31,209,134,0,4
Freestone,#8 St. Elmo,State Representative,8,LIB,R. Edwin Adams,42,9,24,9,0,0
Freestone,#9 Teague,Ballots Cast,,,,398,30,282,86,0,0
Freestone,#9 Teague,President,,REP,Donald J Trump,317,16,229,72,0,0
Freestone,#9 Teague,President,,DEM,Joseph R Biden,79,14,51,14,0,0
Freestone,#9 Teague,President,,LIB,Jo Jorgensen,1,0,1,0,0,0
Freestone,#9 Teague,President,,GRN,Howie Hawkins,0,0,0,0,0,0
Freestone,#9 Teague,President,,,Write-In,0,0,0,0,0,0
Freestone,#9 Teague,U.S. Senate,,REP,John Cornyn,310,17,226,67,0,0
Freestone,#9 Teague,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",76,13,47,16,0,0
Freestone,#9 Teague,U.S. Senate,,LIB,Kerry Douglas McKennon,4,0,4,0,0,0
Freestone,#9 Teague,U.S. Senate,,GRN,David B. Collins,4,0,2,2,0,0
Freestone,#9 Teague,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#9 Teague,U.S. House,17,REP,Pete Sessions,315,17,228,70,0,0
Freestone,#9 Teague,U.S. House,17,DEM,Rick Kennedy,74,13,47,14,0,0
Freestone,#9 Teague,U.S. House,17,LIB,Ted Brown,5,0,4,1,0,0
Freestone,#9 Teague,Railroad Commissioner,,REP,"James ""Jim"" Wright",309,16,226,67,0,0
Freestone,#9 Teague,Railroad Commissioner,,DEM,Chrysta Castaneda,69,12,44,13,0,0
Freestone,#9 Teague,Railroad Commissioner,,LIB,Matt Sterett,5,0,5,0,0,0
Freestone,#9 Teague,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",3,0,0,3,0,0
Freestone,#9 Teague,State Representative,8,REP,Cody Harris,326,18,236,72,0,0
Freestone,#9 Teague,State Representative,8,LIB,R. Edwin Adams,42,4,29,9,0,0
Freestone,#10 Freestone,Ballots Cast,,,,248,16,125,107,0,0
Freestone,#10 Freestone,President,,REP,Donald J Trump,225,13,110,102,0,0
Freestone,#10 Freestone,President,,DEM,Joseph R Biden,21,3,15,3,0,0
Freestone,#10 Freestone,President,,LIB,Jo Jorgensen,2,0,0,2,0,0
Freestone,#10 Freestone,President,,GRN,Howie Hawkins,0,0,0,0,0,0
Freestone,#10 Freestone,President,,,Write-In,0,0,0,0,0,0
Freestone,#10 Freestone,U.S. Senate,,REP,John Cornyn,218,13,109,96,0,0
Freestone,#10 Freestone,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",19,3,13,3,0,0
Freestone,#10 Freestone,U.S. Senate,,LIB,Kerry Douglas McKennon,6,0,1,5,0,0
Freestone,#10 Freestone,U.S. Senate,,GRN,David B. Collins,1,0,0,1,0,0
Freestone,#10 Freestone,U.S. Senate,,,Write-In,1,0,0,1,0,0
Freestone,#10 Freestone,U.S. House,17,REP,Pete Sessions,222,13,111,98,0,0
Freestone,#10 Freestone,U.S. House,17,DEM,Rick Kennedy,20,3,13,4,0,0
Freestone,#10 Freestone,U.S. House,17,LIB,Ted Brown,5,0,0,5,0,0
Freestone,#10 Freestone,Railroad Commissioner,,REP,"James ""Jim"" Wright",222,13,111,98,0,0
Freestone,#10 Freestone,Railroad Commissioner,,DEM,Chrysta Castaneda,19,3,12,4,0,0
Freestone,#10 Freestone,Railroad Commissioner,,LIB,Matt Sterett,4,0,0,4,0,0
Freestone,#10 Freestone,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0,0,0
Freestone,#10 Freestone,State Representative,8,REP,Cody Harris,233,15,118,100,0,0
Freestone,#10 Freestone,State Representative,8,LIB,R. Edwin Adams,9,0,3,6,0,0
Freestone,#11 Butler,Ballots Cast,,,,431,41,286,103,0,1
Freestone,#11 Butler,President,,REP,Donald J Trump,240,11,168,61,0,0
Freestone,#11 Butler,President,,DEM,Joseph R Biden,187,30,115,41,0,1
Freestone,#11 Butler,President,,LIB,Jo Jorgensen,2,0,1,1,0,0
Freestone,#11 Butler,President,,GRN,Howie Hawkins,1,0,1,0,0,0
Freestone,#11 Butler,President,,,Write-In,0,0,0,0,0,0
Freestone,#11 Butler,U.S. Senate,,REP,John Cornyn,235,13,167,55,0,0
Freestone,#11 Butler,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",168,27,102,38,0,1
Freestone,#11 Butler,U.S. Senate,,LIB,Kerry Douglas McKennon,9,0,4,5,0,0
Freestone,#11 Butler,U.S. Senate,,GRN,David B. Collins,5,0,4,1,0,0
Freestone,#11 Butler,U.S. Senate,,,Write-In,1,0,0,1,0,0
Freestone,#11 Butler,U.S. House,17,REP,Pete Sessions,238,10,171,57,0,0
Freestone,#11 Butler,U.S. House,17,DEM,Rick Kennedy,169,25,104,39,0,1
Freestone,#11 Butler,U.S. House,17,LIB,Ted Brown,7,1,3,3,0,0
Freestone,#11 Butler,Railroad Commissioner,,REP,"James ""Jim"" Wright",235,13,164,58,0,0
Freestone,#11 Butler,Railroad Commissioner,,DEM,Chrysta Castaneda,170,26,107,36,0,1
Freestone,#11 Butler,Railroad Commissioner,,LIB,Matt Sterett,8,1,5,2,0,0
Freestone,#11 Butler,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,0,0,1,0,0
Freestone,#11 Butler,State Representative,8,REP,Cody Harris,273,18,188,66,0,1
Freestone,#11 Butler,State Representative,8,LIB,R. Edwin Adams,86,11,55,20,0,0
Freestone,#12 Liberty,Ballots Cast,,,,138,10,90,37,0,1
Freestone,#12 Liberty,President,,REP,Donald J Trump,100,2,70,28,0,0
Freestone,#12 Liberty,President,,DEM,Joseph R Biden,34,8,19,7,0,0
Freestone,#12 Liberty,President,,LIB,Jo Jorgensen,2,0,1,0,0,1
Freestone,#12 Liberty,President,,GRN,Howie Hawkins,0,0,0,0,0,0
Freestone,#12 Liberty,President,,,Write-In,0,0,0,0,0,0
Freestone,#12 Liberty,U.S. Senate,,REP,John Cornyn,97,4,66,27,0,0
Freestone,#12 Liberty,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",30,6,17,7,0,0
Freestone,#12 Liberty,U.S. Senate,,LIB,Kerry Douglas McKennon,5,0,3,1,0,1
Freestone,#12 Liberty,U.S. Senate,,GRN,David B. Collins,2,0,2,0,0,0
Freestone,#12 Liberty,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#12 Liberty,U.S. House,17,REP,Pete Sessions,100,2,68,30,0,0
Freestone,#12 Liberty,U.S. House,17,DEM,Rick Kennedy,31,8,17,6,0,0
Freestone,#12 Liberty,U.S. House,17,LIB,Ted Brown,6,0,4,1,0,1
Freestone,#12 Liberty,Railroad Commissioner,,REP,"James ""Jim"" Wright",99,3,67,29,0,0
Freestone,#12 Liberty,Railroad Commissioner,,DEM,Chrysta Castaneda,32,7,19,6,0,0
Freestone,#12 Liberty,Railroad Commissioner,,LIB,Matt Sterett,4,0,2,1,0,1
Freestone,#12 Liberty,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0,0,0
Freestone,#12 Liberty,State Representative,8,REP,Cody Harris,104,6,68,29,0,1
Freestone,#12 Liberty,State Representative,8,LIB,R. Edwin Adams,12,0,9,3,0,0
Freestone,#13 Dew,Ballots Cast,,,,260,18,154,88,0,0
Freestone,#13 Dew,President,,REP,Donald J Trump,239,10,146,83,0,0
Freestone,#13 Dew,President,,DEM,Joseph R Biden,17,8,7,2,0,0
Freestone,#13 Dew,President,,LIB,Jo Jorgensen,3,0,0,3,0,0
Freestone,#13 Dew,President,,GRN,Howie Hawkins,0,0,0,0,0,0
Freestone,#13 Dew,President,,,Write-In,0,0,0,0,0,0
Freestone,#13 Dew,U.S. Senate,,REP,John Cornyn,230,10,142,78,0,0
Freestone,#13 Dew,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",22,8,10,4,0,0
Freestone,#13 Dew,U.S. Senate,,LIB,Kerry Douglas McKennon,4,0,0,4,0,0
Freestone,#13 Dew,U.S. Senate,,GRN,David B. Collins,1,0,1,0,0,0
Freestone,#13 Dew,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#13 Dew,U.S. House,17,REP,Pete Sessions,235,9,144,82,0,0
Freestone,#13 Dew,U.S. House,17,DEM,Rick Kennedy,22,8,10,4,0,0
Freestone,#13 Dew,U.S. House,17,LIB,Ted Brown,3,1,0,2,0,0
Freestone,#13 Dew,Railroad Commissioner,,REP,"James ""Jim"" Wright",233,9,144,80,0,0
Freestone,#13 Dew,Railroad Commissioner,,DEM,Chrysta Castaneda,20,8,8,4,0,0
Freestone,#13 Dew,Railroad Commissioner,,LIB,Matt Sterett,4,1,1,2,0,0
Freestone,#13 Dew,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,0,0,1,0,0
Freestone,#13 Dew,State Representative,8,REP,Cody Harris,238,11,146,81,0,0
Freestone,#13 Dew,State Representative,8,LIB,R. Edwin Adams,13,3,5,5,0,0
Freestone,#14 Lanley,Ballots Cast,,,,366,28,241,97,0,0
Freestone,#14 Lanley,President,,REP,Donald J Trump,299,17,203,79,0,0
Freestone,#14 Lanley,President,,DEM,Joseph R Biden,64,11,36,17,0,0
Freestone,#14 Lanley,President,,LIB,Jo Jorgensen,2,0,1,1,0,0
Freestone,#14 Lanley,President,,GRN,Howie Hawkins,0,0,0,0,0,0
Freestone,#14 Lanley,President,,,Write-In,0,0,0,0,0,0
Freestone,#14 Lanley,U.S. Senate,,REP,John Cornyn,292,17,196,79,0,0
Freestone,#14 Lanley,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",61,10,35,16,0,0
Freestone,#14 Lanley,U.S. Senate,,LIB,Kerry Douglas McKennon,3,0,3,0,0,0
Freestone,#14 Lanley,U.S. Senate,,GRN,David B. Collins,1,0,1,0,0,0
Freestone,#14 Lanley,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#14 Lanley,U.S. House,17,REP,Pete Sessions,291,17,198,76,0,0
Freestone,#14 Lanley,U.S. House,17,DEM,Rick Kennedy,59,9,34,16,0,0
Freestone,#14 Lanley,U.S. House,17,LIB,Ted Brown,8,0,5,3,0,0
Freestone,#14 Lanley,Railroad Commissioner,,REP,"James ""Jim"" Wright",291,16,197,78,0,0
Freestone,#14 Lanley,Railroad Commissioner,,DEM,Chrysta Castaneda,57,9,33,15,0,0
Freestone,#14 Lanley,Railroad Commissioner,,LIB,Matt Sterett,7,1,5,1,0,0
Freestone,#14 Lanley,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0,0,0
Freestone,#14 Lanley,State Representative,8,REP,Cody Harris,304,18,205,81,0,0
Freestone,#14 Lanley,State Representative,8,LIB,R. Edwin Adams,31,1,22,8,0,0
Freestone,#15 Streetman,Ballots Cast,,,,243,13,108,116,0,6
Freestone,#15 Streetman,President,,REP,Donald J Trump,208,9,91,103,0,5
Freestone,#15 Streetman,President,,DEM,Joseph R Biden,29,4,16,9,0,0
Freestone,#15 Streetman,President,,LIB,Jo Jorgensen,4,0,1,2,0,1
Freestone,#15 Streetman,President,,GRN,Howie Hawkins,1,0,0,1,0,0
Freestone,#15 Streetman,President,,,Write-In,0,0,0,0,0,0
Freestone,#15 Streetman,U.S. Senate,,REP,John Cornyn,203,9,89,99,0,6
Freestone,#15 Streetman,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",31,4,17,10,0,0
Freestone,#15 Streetman,U.S. Senate,,LIB,Kerry Douglas McKennon,2,0,1,1,0,0
Freestone,#15 Streetman,U.S. Senate,,GRN,David B. Collins,2,0,1,1,0,0
Freestone,#15 Streetman,U.S. Senate,,,Write-In,0,0,0,0,0,0
Freestone,#15 Streetman,U.S. House,17,REP,Pete Sessions,204,7,91,100,0,6
Freestone,#15 Streetman,U.S. House,17,DEM,Rick Kennedy,30,4,17,9,0,0
Freestone,#15 Streetman,U.S. House,17,LIB,Ted Brown,2,0,0,2,0,0
Freestone,#15 Streetman,Railroad Commissioner,,REP,"James ""Jim"" Wright",203,9,87,101,0,6
Freestone,#15 Streetman,Railroad Commissioner,,DEM,Chrysta Castaneda,31,3,18,10,0,0
Freestone,#15 Streetman,Railroad Commissioner,,LIB,Matt Sterett,4,1,1,2,0,0
Freestone,#15 Streetman,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0,0,0
Freestone,#15 Streetman,State Representative,8,REP,Cody Harris,207,6,94,101,0,6
Freestone,#15 Streetman,State Representative,8,LIB,R. Edwin Adams,20,2,9,9,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
