precinct,county,office,district,party,candidate,early_voting,election_day,mail,votes
401,Hall,Registered Voters,,,,,,,318
402,Hall,Registered Voters,,,,,,,198
101,Hall,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,0,0,0
101,Hall,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,1,0,1
101,Hall,U.S. Senate,,DEM,Royce West,0,1,0,1
101,Hall,U.S. Senate,,DEM,Michael Cooper,0,1,0,1
101,Hall,U.S. Senate,,DEM,Adrian Ocegueda,0,1,0,1
101,Hall,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,0,0
101,Hall,U.S. Senate,,DEM,Amanda K. Edwards,0,0,2,2
101,Hall,U.S. Senate,,DEM,D.R. Hunter,0,0,0,0
101,Hall,U.S. Senate,,DEM,Jack Daniel Foster Jr.,0,1,0,1
101,Hall,U.S. Senate,,DEM,Victor Jugo Harris,0,2,0,2
101,Hall,U.S. Senate,,DEM,Chris Bell,1,2,3,6
101,Hall,U.S. Senate,,DEM,Sema Hernandez,0,0,0,0
201,Hall,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,0,0,0
201,Hall,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,2,0,2
201,Hall,U.S. Senate,,DEM,Royce West,0,0,0,0
201,Hall,U.S. Senate,,DEM,Michael Cooper,0,1,0,1
201,Hall,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0
201,Hall,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,0,0
201,Hall,U.S. Senate,,DEM,Amanda K. Edwards,0,0,0,0
201,Hall,U.S. Senate,,DEM,D.R. Hunter,0,0,0,0
201,Hall,U.S. Senate,,DEM,Jack Daniel Foster Jr.,0,1,0,1
201,Hall,U.S. Senate,,DEM,Victor Jugo Harris,0,0,0,0
201,Hall,U.S. Senate,,DEM,Chris Bell,0,0,0,0
201,Hall,U.S. Senate,,DEM,Sema Hernandez,0,0,0,0
202,Hall,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,2,0,2
202,Hall,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,1,0,1
202,Hall,U.S. Senate,,DEM,Royce West,0,0,1,1
202,Hall,U.S. Senate,,DEM,Michael Cooper,0,0,0,0
202,Hall,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0
202,Hall,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,0,0
202,Hall,U.S. Senate,,DEM,Amanda K. Edwards,0,1,0,1
202,Hall,U.S. Senate,,DEM,D.R. Hunter,0,1,0,1
202,Hall,U.S. Senate,,DEM,Jack Daniel Foster Jr.,0,1,0,1
202,Hall,U.S. Senate,,DEM,Victor Jugo Harris,1,2,0,3
202,Hall,U.S. Senate,,DEM,Chris Bell,0,1,2,3
202,Hall,U.S. Senate,,DEM,Sema Hernandez,0,0,0,0
301,Hall,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,2,1,3
301,Hall,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,0,0,0
301,Hall,U.S. Senate,,DEM,Royce West,2,0,0,2
301,Hall,U.S. Senate,,DEM,Michael Cooper,0,1,0,1
301,Hall,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0
301,Hall,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,0,0
301,Hall,U.S. Senate,,DEM,Amanda K. Edwards,0,0,0,0
301,Hall,U.S. Senate,,DEM,D.R. Hunter,0,0,0,0
301,Hall,U.S. Senate,,DEM,Jack Daniel Foster Jr.,0,0,0,0
301,Hall,U.S. Senate,,DEM,Victor Jugo Harris,0,0,0,0
301,Hall,U.S. Senate,,DEM,Chris Bell,1,0,0,1
301,Hall,U.S. Senate,,DEM,Sema Hernandez,0,1,0,1
302,Hall,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",3,3,0,6
302,Hall,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,0,0,0
302,Hall,U.S. Senate,,DEM,Royce West,1,0,0,1
302,Hall,U.S. Senate,,DEM,Michael Cooper,0,1,0,1
302,Hall,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0
302,Hall,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",1,0,0,1
302,Hall,U.S. Senate,,DEM,Amanda K. Edwards,2,0,0,2
302,Hall,U.S. Senate,,DEM,D.R. Hunter,0,0,0,0
302,Hall,U.S. Senate,,DEM,Jack Daniel Foster Jr.,0,1,0,1
302,Hall,U.S. Senate,,DEM,Victor Jugo Harris,0,1,0,1
302,Hall,U.S. Senate,,DEM,Chris Bell,0,0,0,0
302,Hall,U.S. Senate,,DEM,Sema Hernandez,0,1,0,1
401,Hall,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,0,1,1
401,Hall,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,5,0,5
401,Hall,U.S. Senate,,DEM,Royce West,0,2,0,2
401,Hall,U.S. Senate,,DEM,Michael Cooper,0,1,0,1
401,Hall,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0
401,Hall,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,0,0
401,Hall,U.S. Senate,,DEM,Amanda K. Edwards,0,3,0,3
401,Hall,U.S. Senate,,DEM,D.R. Hunter,0,0,0,0
401,Hall,U.S. Senate,,DEM,Jack Daniel Foster Jr.,0,0,1,1
401,Hall,U.S. Senate,,DEM,Victor Jugo Harris,0,1,0,1
401,Hall,U.S. Senate,,DEM,Chris Bell,0,1,0,1
401,Hall,U.S. Senate,,DEM,Sema Hernandez,0,0,0,0
402,Hall,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,0,0,0
402,Hall,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,1,0,1
402,Hall,U.S. Senate,,DEM,Royce West,0,0,0,0
402,Hall,U.S. Senate,,DEM,Michael Cooper,0,0,0,0
402,Hall,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0
402,Hall,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,1,1
402,Hall,U.S. Senate,,DEM,Amanda K. Edwards,0,0,0,0
402,Hall,U.S. Senate,,DEM,D.R. Hunter,0,0,0,0
402,Hall,U.S. Senate,,DEM,Jack Daniel Foster Jr.,0,0,0,0
402,Hall,U.S. Senate,,DEM,Victor Jugo Harris,0,0,0,0
402,Hall,U.S. Senate,,DEM,Chris Bell,0,2,0,2
402,Hall,U.S. Senate,,DEM,Sema Hernandez,0,0,0,0
101,Hall,U.S. House,13,DEM,Gus Trujillo,0,4,0,4
101,Hall,U.S. House,13,DEM,Timothy W. Gassaway,0,1,4,5
101,Hall,U.S. House,13,DEM,Greg Sagan,1,3,2,6
201,Hall,U.S. House,13,DEM,Gus Trujillo,0,3,0,3
201,Hall,U.S. House,13,DEM,Timothy W. Gassaway,0,0,0,0
201,Hall,U.S. House,13,DEM,Greg Sagan,0,0,0,0
202,Hall,U.S. House,13,DEM,Gus Trujillo,1,4,0,5
202,Hall,U.S. House,13,DEM,Timothy W. Gassaway,0,0,2,2
202,Hall,U.S. House,13,DEM,Greg Sagan,0,3,0,3
301,Hall,U.S. House,13,DEM,Gus Trujillo,0,1,1,2
301,Hall,U.S. House,13,DEM,Timothy W. Gassaway,1,1,0,2
301,Hall,U.S. House,13,DEM,Greg Sagan,2,1,0,3
302,Hall,U.S. House,13,DEM,Gus Trujillo,3,2,0,5
302,Hall,U.S. House,13,DEM,Timothy W. Gassaway,2,1,0,3
302,Hall,U.S. House,13,DEM,Greg Sagan,1,5,0,6
401,Hall,U.S. House,13,DEM,Gus Trujillo,0,3,1,4
401,Hall,U.S. House,13,DEM,Timothy W. Gassaway,0,1,0,1
401,Hall,U.S. House,13,DEM,Greg Sagan,0,7,1,8
402,Hall,U.S. House,13,DEM,Gus Trujillo,0,1,0,1
402,Hall,U.S. House,13,DEM,Timothy W. Gassaway,0,0,1,1
402,Hall,U.S. House,13,DEM,Greg Sagan,0,1,0,1
101,Hall,Railroad Commissioner,,DEM,Mark Watson,1,2,4,7
101,Hall,Railroad Commissioner,,DEM,"Roberto R. ""Beto: Alonza",0,4,2,6
101,Hall,Railroad Commissioner,,DEM,Chrysta Castaneda,0,0,0,0
101,Hall,Railroad Commissioner,,DEM,Kelly Stone,0,3,0,3
201,Hall,Railroad Commissioner,,DEM,Mark Watson,0,2,0,2
201,Hall,Railroad Commissioner,,DEM,"Roberto R. ""Beto: Alonza",0,1,0,1
201,Hall,Railroad Commissioner,,DEM,Chrysta Castaneda,0,0,0,0
201,Hall,Railroad Commissioner,,DEM,Kelly Stone,0,0,0,0
202,Hall,Railroad Commissioner,,DEM,Mark Watson,0,2,2,4
202,Hall,Railroad Commissioner,,DEM,"Roberto R. ""Beto: Alonza",1,4,0,5
202,Hall,Railroad Commissioner,,DEM,Chrysta Castaneda,0,1,0,1
202,Hall,Railroad Commissioner,,DEM,Kelly Stone,0,1,0,1
301,Hall,Railroad Commissioner,,DEM,Mark Watson,1,2,0,3
301,Hall,Railroad Commissioner,,DEM,"Roberto R. ""Beto: Alonza",0,0,0,0
301,Hall,Railroad Commissioner,,DEM,Chrysta Castaneda,1,1,1,3
301,Hall,Railroad Commissioner,,DEM,Kelly Stone,1,1,0,2
302,Hall,Railroad Commissioner,,DEM,Mark Watson,1,3,0,4
302,Hall,Railroad Commissioner,,DEM,"Roberto R. ""Beto: Alonza",3,2,0,5
302,Hall,Railroad Commissioner,,DEM,Chrysta Castaneda,1,0,0,1
302,Hall,Railroad Commissioner,,DEM,Kelly Stone,3,1,0,4
401,Hall,Railroad Commissioner,,DEM,Mark Watson,0,3,0,3
401,Hall,Railroad Commissioner,,DEM,"Roberto R. ""Beto: Alonza",0,1,0,1
401,Hall,Railroad Commissioner,,DEM,Chrysta Castaneda,0,7,1,8
401,Hall,Railroad Commissioner,,DEM,Kelly Stone,0,2,1,3
402,Hall,Railroad Commissioner,,DEM,Mark Watson,0,1,1,2
402,Hall,Railroad Commissioner,,DEM,"Roberto R. ""Beto: Alonza",0,0,0,0
402,Hall,Railroad Commissioner,,DEM,Chrysta Castaneda,0,2,0,2
402,Hall,Railroad Commissioner,,DEM,Kelly Stone,0,0,0,0
101,Hall,State Representative,68,DEM,Patsy Ledbetter,1,6,6,13
201,Hall,State Representative,68,DEM,Patsy Ledbetter,0,1,0,1
202,Hall,State Representative,68,DEM,Patsy Ledbetter,0,6,2,8
301,Hall,State Representative,68,DEM,Patsy Ledbetter,3,4,1,8
302,Hall,State Representative,68,DEM,Patsy Ledbetter,5,4,0,9
401,Hall,State Representative,68,DEM,Patsy Ledbetter,0,10,2,12
402,Hall,State Representative,68,DEM,Patsy Ledbetter,0,1,1,2
101,Hall,Ballots Cast,,REP,,,,,107
201,Hall,Ballots Cast,,REP,,,,,22
202,Hall,Ballots Cast,,REP,,,,,118
301,Hall,Ballots Cast,,REP,,,,,31
302,Hall,Ballots Cast,,REP,,,,,82
401,Hall,Ballots Cast,,REP,,,,,103
402,Hall,Ballots Cast,,REP,,,,,44
101,Hall,President,,REP,Matthew John Matern,1,0,0,1
101,Hall,President,,REP,Joe Walsh,0,1,0,1
101,Hall,President,,REP,Bob Ely,0,0,0,0
101,Hall,President,,REP,Donald J. Trump,36,54,3,93
101,Hall,President,,REP,Zoltan G. Istvan,0,0,0,0
101,Hall,President,,REP,"Roque ""Rocky"" De La Fuenta Guerra",0,0,0,0
101,Hall,President,,REP,Bill Weld,0,1,0,1
101,Hall,President,,REP,Uncommitted,1,0,0,1
201,Hall,President,,REP,Matthew John Matern,0,0,0,0
201,Hall,President,,REP,Joe Walsh,0,0,0,0
201,Hall,President,,REP,Bob Ely,0,0,0,0
201,Hall,President,,REP,Donald J. Trump,7,15,0,22
201,Hall,President,,REP,Zoltan G. Istvan,0,0,0,0
201,Hall,President,,REP,"Roque ""Rocky"" De La Fuenta Guerra",0,0,0,0
201,Hall,President,,REP,Bill Weld,0,0,0,0
201,Hall,President,,REP,Uncommitted,0,0,0,0
202,Hall,President,,REP,Matthew John Matern,0,0,0,0
202,Hall,President,,REP,Joe Walsh,0,1,0,1
202,Hall,President,,REP,Bob Ely,0,0,0,0
202,Hall,President,,REP,Donald J. Trump,47,65,2,114
202,Hall,President,,REP,Zoltan G. Istvan,1,0,0,1
202,Hall,President,,REP,"Roque ""Rocky"" De La Fuenta Guerra",0,1,0,1
202,Hall,President,,REP,Bill Weld,0,0,0,0
202,Hall,President,,REP,Uncommitted,0,1,0,1
301,Hall,President,,REP,Matthew John Matern,0,0,0,0
301,Hall,President,,REP,Joe Walsh,0,1,0,1
301,Hall,President,,REP,Bob Ely,0,0,0,0
301,Hall,President,,REP,Donald J. Trump,2,28,0,30
301,Hall,President,,REP,Zoltan G. Istvan,0,0,0,0
301,Hall,President,,REP,"Roque ""Rocky"" De La Fuenta Guerra",0,0,0,0
301,Hall,President,,REP,Bill Weld,0,0,0,0
301,Hall,President,,REP,Uncommitted,0,0,0,0
302,Hall,President,,REP,Matthew John Matern,0,0,0,0
302,Hall,President,,REP,Joe Walsh,0,0,0,0
302,Hall,President,,REP,Bob Ely,0,0,0,0
302,Hall,President,,REP,Donald J. Trump,20,56,3,79
302,Hall,President,,REP,Zoltan G. Istvan,0,0,0,0
302,Hall,President,,REP,"Roque ""Rocky"" De La Fuenta Guerra",0,0,0,0
302,Hall,President,,REP,Bill Weld,0,0,0,0
302,Hall,President,,REP,Uncommitted,2,1,0,3
401,Hall,President,,REP,Matthew John Matern,0,0,0,0
401,Hall,President,,REP,Joe Walsh,0,0,0,0
401,Hall,President,,REP,Bob Ely,0,0,0,0
401,Hall,President,,REP,Donald J. Trump,8,94,0,102
401,Hall,President,,REP,Zoltan G. Istvan,0,0,0,0
401,Hall,President,,REP,"Roque ""Rocky"" De La Fuenta Guerra",0,0,0,0
401,Hall,President,,REP,Bill Weld,0,0,0,0
401,Hall,President,,REP,Uncommitted,0,0,0,0
402,Hall,President,,REP,Matthew John Matern,0,0,0,0
402,Hall,President,,REP,Joe Walsh,0,0,0,0
402,Hall,President,,REP,Bob Ely,0,0,0,0
402,Hall,President,,REP,Donald J. Trump,16,25,2,43
402,Hall,President,,REP,Zoltan G. Istvan,0,0,0,0
402,Hall,President,,REP,"Roque ""Rocky"" De La Fuenta Guerra",0,0,0,0
402,Hall,President,,REP,Bill Weld,0,0,0,0
402,Hall,President,,REP,Uncommitted,0,0,0,0
101,Hall,U.S. Senate,,REP,John Cornyn,26,37,3,66
101,Hall,U.S. Senate,,REP,Virgil Bierschwale,1,1,0,2
101,Hall,U.S. Senate,,REP,Mark Yancey,5,5,0,10
101,Hall,U.S. Senate,,REP,John Anthony Castro,2,2,0,4
101,Hall,U.S. Senate,,REP,Dwayne Stovall,1,3,0,4
201,Hall,U.S. Senate,,REP,John Cornyn,5,14,0,19
201,Hall,U.S. Senate,,REP,Virgil Bierschwale,0,0,0,0
201,Hall,U.S. Senate,,REP,Mark Yancey,0,0,0,0
201,Hall,U.S. Senate,,REP,John Anthony Castro,0,0,0,0
201,Hall,U.S. Senate,,REP,Dwayne Stovall,1,0,0,1
202,Hall,U.S. Senate,,REP,John Cornyn,39,46,2,87
202,Hall,U.S. Senate,,REP,Virgil Bierschwale,0,4,0,4
202,Hall,U.S. Senate,,REP,Mark Yancey,2,5,0,7
202,Hall,U.S. Senate,,REP,John Anthony Castro,2,3,0,5
202,Hall,U.S. Senate,,REP,Dwayne Stovall,4,3,0,7
301,Hall,U.S. Senate,,REP,John Cornyn,2,22,0,24
301,Hall,U.S. Senate,,REP,Virgil Bierschwale,0,0,0,0
301,Hall,U.S. Senate,,REP,Mark Yancey,0,1,0,1
301,Hall,U.S. Senate,,REP,John Anthony Castro,0,1,0,1
301,Hall,U.S. Senate,,REP,Dwayne Stovall,0,2,0,2
302,Hall,U.S. Senate,,REP,John Cornyn,17,45,3,65
302,Hall,U.S. Senate,,REP,Virgil Bierschwale,1,0,0,1
302,Hall,U.S. Senate,,REP,Mark Yancey,1,4,0,5
302,Hall,U.S. Senate,,REP,John Anthony Castro,0,2,0,2
302,Hall,U.S. Senate,,REP,Dwayne Stovall,1,2,0,3
401,Hall,U.S. Senate,,REP,John Cornyn,17,59,0,60
401,Hall,U.S. Senate,,REP,Virgil Bierschwale,1,1,0,1
401,Hall,U.S. Senate,,REP,Mark Yancey,1,0,0,1
401,Hall,U.S. Senate,,REP,John Anthony Castro,0,1,0,1
401,Hall,U.S. Senate,,REP,Dwayne Stovall,1,25,0,29
402,Hall,U.S. Senate,,REP,John Cornyn,12,21,0,33
402,Hall,U.S. Senate,,REP,Virgil Bierschwale,0,1,0,1
402,Hall,U.S. Senate,,REP,Mark Yancey,1,1,0,2
402,Hall,U.S. Senate,,REP,John Anthony Castro,0,0,1,1
402,Hall,U.S. Senate,,REP,Dwayne Stovall,2,0,0,2
101,Hall,U.S. House,13,REP,Chris Ekstrom,5,11,0,16
101,Hall,U.S. House,13,REP,Jason Foglesong,1,0,0,1
101,Hall,U.S. House,13,REP,"Catherine ""I Swear"" Carr",0,0,0,0
101,Hall,U.S. House,13,REP,Jamie Culley,0,0,0,0
101,Hall,U.S. House,13,REP,Richard Herman,1,0,0,1
101,Hall,U.S. House,13,REP,Matt McArthur,0,0,0,0
101,Hall,U.S. House,13,REP,Vance Snider II,0,7,0,7
101,Hall,U.S. House,13,REP,Lee Harvey,2,0,0,2
101,Hall,U.S. House,13,REP,Diane Knowlton,0,0,0,0
101,Hall,U.S. House,13,REP,Monique Worthy,0,1,0,1
101,Hall,U.S. House,13,REP,Mark Neese,0,0,0,0
101,Hall,U.S. House,13,REP,Elaine Hays,0,0,0,0
101,Hall,U.S. House,13,REP,Josh Winegarner,20,21,2,43
101,Hall,U.S. House,13,REP,Asusena Resendiz,0,0,0,0
101,Hall,U.S. House,13,REP,Ronny Jackson,9,10,1,20
201,Hall,U.S. House,13,REP,Chris Ekstrom,0,0,0,0
201,Hall,U.S. House,13,REP,Jason Foglesong,0,0,0,0
201,Hall,U.S. House,13,REP,"Catherine ""I Swear"" Carr",0,0,0,0
201,Hall,U.S. House,13,REP,Jamie Culley,0,0,0,0
201,Hall,U.S. House,13,REP,Richard Herman,0,1,0,1
201,Hall,U.S. House,13,REP,Matt McArthur,0,0,0,0
201,Hall,U.S. House,13,REP,Vance Snider II,0,0,0,0
201,Hall,U.S. House,13,REP,Lee Harvey,0,0,0,0
201,Hall,U.S. House,13,REP,Diane Knowlton,0,0,0,0
201,Hall,U.S. House,13,REP,Monique Worthy,0,0,0,0
201,Hall,U.S. House,13,REP,Mark Neese,0,0,0,0
201,Hall,U.S. House,13,REP,Elaine Hays,0,4,0,4
201,Hall,U.S. House,13,REP,Josh Winegarner,5,9,0,14
201,Hall,U.S. House,13,REP,Asusena Resendiz,0,0,0,0
201,Hall,U.S. House,13,REP,Ronny Jackson,1,1,0,2
202,Hall,U.S. House,13,REP,Chris Ekstrom,9,19,0,28
202,Hall,U.S. House,13,REP,Jason Foglesong,0,1,0,1
202,Hall,U.S. House,13,REP,"Catherine ""I Swear"" Carr",0,0,0,0
202,Hall,U.S. House,13,REP,Jamie Culley,0,0,0,0
202,Hall,U.S. House,13,REP,Richard Herman,1,0,0,1
202,Hall,U.S. House,13,REP,Matt McArthur,0,1,0,1
202,Hall,U.S. House,13,REP,Vance Snider II,3,4,0,7
202,Hall,U.S. House,13,REP,Lee Harvey,1,2,0,3
202,Hall,U.S. House,13,REP,Diane Knowlton,0,0,0,0
202,Hall,U.S. House,13,REP,Monique Worthy,0,1,0,1
202,Hall,U.S. House,13,REP,Mark Neese,0,0,0,0
202,Hall,U.S. House,13,REP,Elaine Hays,1,0,0,1
202,Hall,U.S. House,13,REP,Josh Winegarner,19,25,0,44
202,Hall,U.S. House,13,REP,Asusena Resendiz,1,1,0,2
202,Hall,U.S. House,13,REP,Ronny Jackson,12,9,,21
