county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
Brazos,6,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,21,3,9,9,0
Brazos,6,District Clerk,,DEM,Searcy L. Toliver,21,3,9,9,0
Brazos,7,U.S. House,10,DEM,Linda Nuno,45,4,20,21,0
Brazos,7,Governor,,DEM,Inocencio (Inno) Barrientez,0,0,0,0,0
Brazos,7,Governor,,DEM,Michael Cooper,1,0,0,1,0
Brazos,7,Governor,,DEM,Joy Diaz,2,0,1,1,0
Brazos,7,Governor,,DEM,Beto O'Rourke,44,4,21,19,0
Brazos,7,Governor,,DEM,Rich Wakeland,0,0,0,0,0
Brazos,7,Lieutenant Governor,,DEM,Michelle Beckley,18,3,9,6,0
Brazos,7,Lieutenant Governor,,DEM,Mike Collier,17,1,7,9,0
Brazos,7,Lieutenant Governor,,DEM,Carla Brailey,10,0,6,4,0
Brazos,7,Attorney General,,DEM,Mike Fields,9,1,2,6,0
Brazos,7,Attorney General,,DEM,"S. ""TBone"" Raynor",3,0,1,2,0
Brazos,7,Attorney General,,DEM,Rochelle Mercedes Garza,21,3,11,7,0
Brazos,7,Attorney General,,DEM,Joe Jaworski,10,0,7,3,0
Brazos,7,Attorney General,,DEM,Lee Merritt,4,0,2,2,0
Brazos,7,Comptroller of Public Accounts,,DEM,Tim Mahoney,9,0,4,5,0
Brazos,7,Comptroller of Public Accounts,,DEM,Janet T. Dudding,16,3,7,6,0
Brazos,7,Comptroller of Public Accounts,,DEM,Angel Luis Vega,17,1,9,7,0
Brazos,7,Commissioner of the General Land Office,,DEM,Sandragrace Martinez,19,3,8,8,0
Brazos,7,Commissioner of the General Land Office,,DEM,Michael Lange,11,0,6,5,0
Brazos,7,Commissioner of the General Land Office,,DEM,Jay Kleberg,9,1,4,4,0
Brazos,7,Commissioner of the General Land Office,,DEM,Jinny Suh,6,0,3,3,0
Brazos,7,Commissioner of Agriculture,,DEM,Susan Hays,33,3,20,10,0
Brazos,7,Commissioner of Agriculture,,DEM,Ed Ireson,11,1,1,9,0
Brazos,7,Railroad Commissioner,,DEM,Luke Warford,45,4,22,19,0
Brazos,7,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,45,4,22,19,0
Brazos,7,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,45,4,22,19,0
Brazos,7,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,46,4,22,20,0
Brazos,7,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,45,4,22,19,0
Brazos,7,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,45,4,22,19,0
Brazos,7,District Clerk,,DEM,Searcy L. Toliver,45,4,22,19,0
Brazos,8,U.S. House,10,DEM,Linda Nuno,65,10,16,39,0
Brazos,8,Governor,,DEM,Inocencio (Inno) Barrientez,1,0,0,1,0
Brazos,8,Governor,,DEM,Michael Cooper,4,0,1,3,0
Brazos,8,Governor,,DEM,Joy Diaz,1,1,0,0,0
Brazos,8,Governor,,DEM,Beto O'Rourke,58,9,15,34,0
Brazos,8,Governor,,DEM,Rich Wakeland,1,0,0,1,0
Brazos,8,Lieutenant Governor,,DEM,Michelle Beckley,18,4,3,11,0
Brazos,8,Lieutenant Governor,,DEM,Mike Collier,26,5,5,16,0
Brazos,8,Lieutenant Governor,,DEM,Carla Brailey,19,1,7,11,0
Brazos,8,Attorney General,,DEM,Mike Fields,8,2,4,2,0
Brazos,8,Attorney General,,DEM,"S. ""TBone"" Raynor",2,0,2,0,0
Brazos,8,Attorney General,,DEM,Rochelle Mercedes Garza,21,1,2,18,0
Brazos,8,Attorney General,,DEM,Joe Jaworski,22,6,7,9,0
Brazos,8,Attorney General,,DEM,Lee Merritt,11,1,1,9,0
Brazos,8,Comptroller of Public Accounts,,DEM,Tim Mahoney,8,1,2,5,0
Brazos,8,Comptroller of Public Accounts,,DEM,Janet T. Dudding,48,9,10,29,0
Brazos,8,Comptroller of Public Accounts,,DEM,Angel Luis Vega,8,0,3,5,0
Brazos,8,Commissioner of the General Land Office,,DEM,Sandragrace Martinez,17,1,2,14,0
Brazos,8,Commissioner of the General Land Office,,DEM,Michael Lange,12,1,1,10,0
Brazos,8,Commissioner of the General Land Office,,DEM,Jay Kleberg,17,5,5,7,0
Brazos,8,Commissioner of the General Land Office,,DEM,Jinny Suh,18,3,8,7,0
Brazos,8,Commissioner of Agriculture,,DEM,Susan Hays,65,10,16,39,0
Brazos,8,Commissioner of Agriculture,,DEM,Ed Ireson,0,0,0,0,0
Brazos,8,Railroad Commissioner,,DEM,Luke Warford,63,10,16,37,0
Brazos,8,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,62,10,16,36,0
Brazos,8,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,62,10,15,37,0
Brazos,8,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,62,10,15,37,0
Brazos,8,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,62,10,15,37,0
Brazos,8,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,62,10,15,37,0
Brazos,8,District Clerk,,DEM,Searcy L. Toliver,63,10,16,37,0
Brazos,9,U.S. House,10,DEM,Linda Nuno,59,3,24,32,0
Brazos,9,Governor,,DEM,Inocencio (Inno) Barrientez,1,0,0,1,0
Brazos,9,Governor,,DEM,Michael Cooper,0,0,0,0,0
Brazos,9,Governor,,DEM,Joy Diaz,2,0,0,2,0
Brazos,9,Governor,,DEM,Beto O'Rourke,59,6,24,29,0
Brazos,9,Governor,,DEM,Rich Wakeland,0,0,0,0,0
Brazos,9,Lieutenant Governor,,DEM,Michelle Beckley,22,1,9,12,0
Brazos,9,Lieutenant Governor,,DEM,Mike Collier,28,2,11,15,0
Brazos,9,Lieutenant Governor,,DEM,Carla Brailey,8,0,3,5,0
Brazos,9,Attorney General,,DEM,Mike Fields,10,0,4,6,0
Brazos,9,Attorney General,,DEM,"S. ""TBone"" Raynor",5,0,2,3,0
Brazos,9,Attorney General,,DEM,Rochelle Mercedes Garza,21,1,8,12,0
Brazos,9,Attorney General,,DEM,Joe Jaworski,16,2,7,7,0
Brazos,9,Attorney General,,DEM,Lee Merritt,6,0,2,4,0
Brazos,9,Comptroller of Public Accounts,,DEM,Tim Mahoney,7,0,3,4,0
Brazos,9,Comptroller of Public Accounts,,DEM,Janet T. Dudding,44,3,18,23,0
Brazos,9,Comptroller of Public Accounts,,DEM,Angel Luis Vega,8,1,2,5,0
Brazos,9,Commissioner of the General Land Office,,DEM,Sandragrace Martinez,14,1,3,10,0
Brazos,9,Commissioner of the General Land Office,,DEM,Michael Lange,5,0,1,4,0
Brazos,9,Commissioner of the General Land Office,,DEM,Jay Kleberg,18,2,6,10,0
Brazos,9,Commissioner of the General Land Office,,DEM,Jinny Suh,21,0,13,8,0
Brazos,9,Commissioner of Agriculture,,DEM,Susan Hays,53,3,19,31,0
Brazos,9,Commissioner of Agriculture,,DEM,Ed Ireson,5,0,4,1,0
Brazos,9,Railroad Commissioner,,DEM,Luke Warford,59,3,24,32,0
Brazos,9,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,59,3,24,32,0
Brazos,9,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,59,3,24,32,0
Brazos,9,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,59,3,24,32,0
Brazos,9,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,59,3,24,32,0
Brazos,9,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,59,3,24,32,0
Brazos,9,District Clerk,,DEM,Searcy L. Toliver,59,4,24,31,0
Brazos,10,U.S. House,10,DEM,Linda Nuno,108,7,49,52,0
Brazos,10,Governor,,DEM,Inocencio (Inno) Barrientez,1,0,0,1,0
Brazos,10,Governor,,DEM,Michael Cooper,6,0,2,4,0
Brazos,10,Governor,,DEM,Joy Diaz,1,0,0,1,0
Brazos,10,Governor,,DEM,Beto O'Rourke,102,8,49,45,0
Brazos,10,Governor,,DEM,Rich Wakeland,3,0,0,3,0
Brazos,10,Lieutenant Governor,,DEM,Michelle Beckley,34,2,19,13,0
Brazos,10,Lieutenant Governor,,DEM,Mike Collier,51,4,23,24,0
Brazos,10,Lieutenant Governor,,DEM,Carla Brailey,27,2,9,16,0
Brazos,10,Attorney General,,DEM,Mike Fields,14,2,4,8,0
Brazos,10,Attorney General,,DEM,"S. ""TBone"" Raynor",4,0,3,1,0
Brazos,10,Attorney General,,DEM,Rochelle Mercedes Garza,54,4,24,26,0
Brazos,10,Attorney General,,DEM,Joe Jaworski,27,2,10,15,0
Brazos,10,Attorney General,,DEM,Lee Merritt,11,0,8,3,0
Brazos,10,Comptroller of Public Accounts,,DEM,Tim Mahoney,24,1,10,13,0
Brazos,10,Comptroller of Public Accounts,,DEM,Janet T. Dudding,71,7,33,31,0
Brazos,10,Comptroller of Public Accounts,,DEM,Angel Luis Vega,15,0,7,8,0
Brazos,10,Commissioner of the General Land Office,,DEM,Sandragrace Martinez,29,2,15,12,0
Brazos,10,Commissioner of the General Land Office,,DEM,Michael Lange,19,2,6,11,0
Brazos,10,Commissioner of the General Land Office,,DEM,Jay Kleberg,32,3,14,15,0
Brazos,10,Commissioner of the General Land Office,,DEM,Jinny Suh,30,1,15,14,0
Brazos,10,Commissioner of Agriculture,,DEM,Susan Hays,89,8,41,40,0
Brazos,10,Commissioner of Agriculture,,DEM,Ed Ireson,19,0,8,11,0
Brazos,10,Railroad Commissioner,,DEM,Luke Warford,107,7,48,52,0
Brazos,10,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,106,7,48,51,0
Brazos,10,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,106,7,48,51,0
Brazos,10,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,106,7,48,51,0
Brazos,10,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,106,7,48,51,0
Brazos,10,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,106,7,48,51,0
Brazos,10,District Clerk,,DEM,Searcy L. Toliver,105,7,48,50,0
Brazos,11,U.S. House,10,DEM,Linda Nuno,111,9,34,68,0
Brazos,11,Governor,,DEM,Inocencio (Inno) Barrientez,0,0,0,0,0
Brazos,11,Governor,,DEM,Michael Cooper,4,1,2,1,0
Brazos,11,Governor,,DEM,Joy Diaz,6,0,1,5,0
Brazos,11,Governor,,DEM,Beto O'Rourke,102,8,32,62,0
Brazos,11,Governor,,DEM,Rich Wakeland,0,0,0,0,0
Brazos,11,Lieutenant Governor,,DEM,Michelle Beckley,27,1,9,17,0
Brazos,11,Lieutenant Governor,,DEM,Mike Collier,48,8,13,27,0
Brazos,11,Lieutenant Governor,,DEM,Carla Brailey,31,0,11,20,0
Brazos,11,Attorney General,,DEM,Mike Fields,14,1,5,8,0
Brazos,11,Attorney General,,DEM,"S. ""TBone"" Raynor",1,0,1,0,0
Brazos,11,Attorney General,,DEM,Rochelle Mercedes Garza,54,5,15,34,0
Brazos,11,Attorney General,,DEM,Joe Jaworski,15,2,6,7,0
Brazos,11,Attorney General,,DEM,Lee Merritt,23,1,7,15,0
Brazos,11,Comptroller of Public Accounts,,DEM,Tim Mahoney,13,3,4,6,0
Brazos,11,Comptroller of Public Accounts,,DEM,Janet T. Dudding,75,6,25,44,0
