county,precinct,office,district,party,candidate,votes,early_voting,election_votes
Brazoria,1,County Judge,,DEM,Robert Pruett,310,191,119
Brazoria,1,"Judge, County Court at Law #1 & Probate Court",,REP,Jerri Lee Mills,907,591,316
Brazoria,1,"Judge, County Court at Law #2 & Probate Court",,REP,Marc Wayne Holder,926,597,329
Brazoria,1,"Judge, County Court at Law #3 & Probate Court",,REP,Jeremy Warren,908,591,317
Brazoria,1,"Judge, County Court at Law #4 & Probate Court",,REP,Lori Rickert,908,587,321
Brazoria,1,District Clerk,,REP,Rhonda Cross Barchak,908,588,320
Brazoria,1,County Clerk,,REP,Joyce Hudman,903,585,318
Brazoria,1,County Treasurer,,REP,Cathy Campbell,892,584,308
Brazoria,1,"Justice of the Peace, Precinct 1, Place 2",,REP,Milan Miller,827,541,286
Brazoria,1,"Justice of the Peace, Precinct 1, Place 2",,DEM,Steve Upton,367,225,142
Brazoria,2,Straight Party,,REP,Republican Party,617,417,200
Brazoria,2,Straight Party,,DEM,Democratic Party,170,96,74
Brazoria,2,Straight Party,,LIB,Libertarian Party,2,2,0
Brazoria,2,Straight Party,,GRN,Green Party,0,0,0
Brazoria,2,U.S. Senate,,REP,John Cornyn,983,661,322
Brazoria,2,U.S. Senate,,DEM,David M. Alameel,282,177,105
Brazoria,2,U.S. Senate,,LIB,Rebecca Paddock,43,27,16
Brazoria,2,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",8,7,1
Brazoria,2,U.S. Senate,,,Mohammed Tahiro,0,0,0
Brazoria,2,U.S. House,14,REP,Randy Weber,1009,677,332
Brazoria,2,U.S. House,14,DEM,Donald G. Brown,295,187,108
Brazoria,2,U.S. House,14,LIB,John Wieder,27,18,9
Brazoria,2,Governor,,REP,Greg Abbott,981,652,329
Brazoria,2,Governor,,DEM,Wendy R. Davis,354,226,128
Brazoria,2,Governor,,LIB,Kathie Glass,9,7,2
Brazoria,2,Governor,,GRN,Brandon Parmer,4,4,0
Brazoria,2,Governor,,,Sarah M. Pavitt,1,1,0
Brazoria,2,Lieutenant Governor,,REP,Dan Patrick,981,661,320
Brazoria,2,Lieutenant Governor,,DEM,Leticia Van de Putte,336,211,125
Brazoria,2,Lieutenant Governor,,LIB,Robert D. Butler,18,11,7
Brazoria,2,Lieutenant Governor,,GRN,Chandrakantha Courtney,5,5,0
Brazoria,2,Attorney General,,REP,Ken Paxton,986,660,326
Brazoria,2,Attorney General,,DEM,Sam Houston,326,206,120
Brazoria,2,Attorney General,,LIB,Jamie Balagia,23,15,8
Brazoria,2,Attorney General,,GRN,Jamar Osborne,6,4,2
Brazoria,2,Comptroller of Public Accounts,,REP,Glenn Hegar,945,635,310
Brazoria,2,Comptroller of Public Accounts,,DEM,Mike Collier,339,217,122
Brazoria,2,Comptroller of Public Accounts,,LIB,Ben Sanders,34,21,13
Brazoria,2,Comptroller of Public Accounts,,GRN,Deb Shafto,7,6,1
Brazoria,2,Commissioner of the General Land Office,,REP,George P. Bush,986,665,321
Brazoria,2,Commissioner of the General Land Office,,DEM,John Cook,301,187,114
Brazoria,2,Commissioner of the General Land Office,,LIB,Justin Knight,28,19,9
Brazoria,2,Commissioner of the General Land Office,,GRN,Valerie Alessi,18,11,7
Brazoria,2,Commissioner of Agriculture,,REP,Sid Miller,950,637,313
Brazoria,2,Commissioner of Agriculture,,DEM,Jim Hogan,322,205,117
Brazoria,2,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,32,24,8
Brazoria,2,Commissioner of Agriculture,,GRN,Kenneth Kendrick,19,13,6
Brazoria,2,Railroad Commissioner,,REP,Ryan Sitton,960,649,311
Brazoria,2,Railroad Commissioner,,DEM,Steve Brown,313,193,120
Brazoria,2,Railroad Commissioner,,LIB,Mark A. Miller,33,22,11
Brazoria,2,Railroad Commissioner,,GRN,Martina Salinas,11,11,0
Brazoria,2,"Chief Justice, Supreme Court",,REP,Nathan Hecht,966,650,316
Brazoria,2,"Chief Justice, Supreme Court",,DEM,William Moody,320,206,114
Brazoria,2,"Chief Justice, Supreme Court",,LIB,Tom Oxford,35,24,11
Brazoria,2,"Justice, Supreme Court, Place 6, Unexpired Term",,REP,Jeff Brown,980,663,317
Brazoria,2,"Justice, Supreme Court, Place 6, Unexpired Term",,DEM,Lawrence Edward Meyers,305,191,114
Brazoria,2,"Justice, Supreme Court, Place 6, Unexpired Term",,LIB,Mark Ash,29,18,11
Brazoria,2,"Justice, Supreme Court, Place 7",,REP,Jeff Boyd,964,653,311
Brazoria,2,"Justice, Supreme Court, Place 7",,DEM,Gina Benavides,312,195,117
Brazoria,2,"Justice, Supreme Court, Place 7",,LIB,Don Fulton,27,15,12
Brazoria,2,"Justice, Supreme Court, Place 7",,GRN,Charles E. Waterbury,9,8,1
Brazoria,2,"Justice, Supreme Court, Place 8",,REP,Phil Johnson,1000,678,322
Brazoria,2,"Justice, Supreme Court, Place 8",,LIB,RS Roberto Koelsch,89,54,35
Brazoria,2,"Justice, Supreme Court, Place 8",,GRN,Jim Chisolm,50,33,17
Brazoria,2,"Judge, Court of Criminal Appeals Place 3",,REP,Bert Richardson,961,647,314
Brazoria,2,"Judge, Court of Criminal Appeals Place 3",,DEM,John Granberg,311,197,114
Brazoria,2,"Judge, Court of Criminal Appeals Place 3",,LIB,Mark W. Bennett,36,25,11
Brazoria,2,"Judge, Court of Criminal Appeals Place 4",,REP,Kevin Patrick Yeary,990,666,324
Brazoria,2,"Judge, Court of Criminal Appeals Place 4",,LIB,Quanah Parker,102,66,36
Brazoria,2,"Judge, Court of Criminal Appeals Place 4",,GRN,Judith Sanders-Castro,49,35,14
Brazoria,2,"Judge, Court of Criminal Appeals Place 9",,REP,David Newell,1003,680,323
Brazoria,2,"Judge, Court of Criminal Appeals Place 9",,LIB,"William Bryan Strange, III",97,60,37
Brazoria,2,"Judge, Court of Criminal Appeals Place 9",,GRN,George Joseph Altgelt,40,27,13
Brazoria,2,"Member, State Board of Education, District 7",,REP,David Bradley,953,641,312
Brazoria,2,"Member, State Board of Education, District 7",,DEM,Kathy King,341,211,130
Brazoria,2,"Member, State Board of Education, District 7",,LIB,Megan DaGata,27,24,3
Brazoria,2,State Senate,17,REP,Joan Huffman,1003,675,328
Brazoria,2,State Senate,17,DEM,Rita Lucido,289,183,106
Brazoria,2,State Senate,17,LIB,George Hardy,21,14,7
Brazoria,2,State Senate,17,GRN,David Courtney,15,10,5
Brazoria,2,State House,25,REP,Dennis Bonnen,1090,730,360
Brazoria,2,"Chief Justice, 14th Court of Appeals District",,REP,Kem Thompson Frost,975,661,314
Brazoria,2,"Chief Justice, 14th Court of Appeals District",,DEM,Kyle Carter,333,206,127
Brazoria,2,"Justice, 1st Court of Appeals District, Place 3",,REP,Russell Lloyd,971,655,316
Brazoria,2,"Justice, 1st Court of Appeals District, Place 3",,DEM,Jim Sharp,339,215,124
Brazoria,2,"Justice, 1st Court of Appeals District, Place 5",,REP,Laura Carter Higley,1043,704,339
Brazoria,2,"Justice, 14th Court of Appeals District, Place 4, Unexpired Term",,REP,Marc Brown,1042,703,339
Brazoria,2,"Justice, 14th Court of Appeals District, Place 7",,REP,Ken Wise,991,669,322
Brazoria,2,"Justice, 14th Court of Appeals District, Place 7",,DEM,Gordon Goodman,316,198,118
Brazoria,2,"District Judge, 149th Judicial District",,REP,Terri Tipton Holder,1055,711,344
Brazoria,2,"District Judge, 239th Judicial District",,REP,Pat Sebesta,1065,716,349
Brazoria,2,"District Judge, 300th Judicial District",,REP,K. Randall Hufstetler,1042,699,343
Brazoria,2,"District Judge, 412th Judicial District",,REP,Ed Denman,1042,704,338
Brazoria,2,Criminal District Attorney,,REP,Jeri Yenne,1036,692,344
Brazoria,2,County Judge,,REP,Matt Sebesta,1021,687,334
Brazoria,2,County Judge,,DEM,Robert Pruett,313,195,118
Brazoria,2,"Judge, County Court at Law #1 & Probate Court",,REP,Jerri Lee Mills,1041,701,340
Brazoria,2,"Judge, County Court at Law #2 & Probate Court",,REP,Marc Wayne Holder,1042,703,339
Brazoria,2,"Judge, County Court at Law #3 & Probate Court",,REP,Jeremy Warren,1040,702,338
Brazoria,2,"Judge, County Court at Law #4 & Probate Court",,REP,Lori Rickert,1040,703,337
Brazoria,2,District Clerk,,REP,Rhonda Cross Barchak,1032,694,338
Brazoria,2,County Clerk,,REP,Joyce Hudman,1057,709,348
Brazoria,2,County Treasurer,,REP,Cathy Campbell,1031,696,335
Brazoria,2,"County Commissioner, Precinct 4",,REP,David Linder,1012,677,335
Brazoria,2,"County Commissioner, Precinct 4",,DEM,Alan Kolodny,316,198,118
Brazoria,2,"Justice of the Peace, Precinct 4, Place 2",,REP,Sherry Kersh,1068,711,357
Brazoria,3,Straight Party,,REP,Republican Party,458,310,148
Brazoria,3,Straight Party,,DEM,Democratic Party,113,69,44
Brazoria,3,Straight Party,,LIB,Libertarian Party,4,2,2
Brazoria,3,Straight Party,,GRN,Green Party,1,1,0
Brazoria,3,U.S. Senate,,REP,John Cornyn,744,481,263
Brazoria,3,U.S. Senate,,DEM,David M. Alameel,185,116,69
Brazoria,3,U.S. Senate,,LIB,Rebecca Paddock,39,21,18
Brazoria,3,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",7,4,3
Brazoria,3,U.S. Senate,,,Mohammed Tahiro,0,0,0
Brazoria,3,U.S. House,22,REP,Pete Olson,744,478,266
Brazoria,3,U.S. House,22,DEM,Frank Briscoe,207,134,73
Brazoria,3,U.S. House,22,LIB,Rob Lapham,29,14,15
Brazoria,3,Governor,,REP,Greg Abbott,745,479,266
Brazoria,3,Governor,,DEM,Wendy R. Davis,227,139,88
Brazoria,3,Governor,,LIB,Kathie Glass,16,10,6
Brazoria,3,Governor,,GRN,Brandon Parmer,3,3,0
Brazoria,3,Governor,,,Sarah M. Pavitt,0,0,0
Brazoria,3,Lieutenant Governor,,REP,Dan Patrick,725,468,257
Brazoria,3,Lieutenant Governor,,DEM,Leticia Van de Putte,227,143,84
Brazoria,3,Lieutenant Governor,,LIB,Robert D. Butler,28,14,14
Brazoria,3,Lieutenant Governor,,GRN,Chandrakantha Courtney,6,3,3
Brazoria,3,Attorney General,,REP,Ken Paxton,740,479,261
Brazoria,3,Attorney General,,DEM,Sam Houston,214,132,82
Brazoria,3,Attorney General,,LIB,Jamie Balagia,27,12,15
Brazoria,3,Attorney General,,GRN,Jamar Osborne,5,4,1
Brazoria,3,Comptroller of Public Accounts,,REP,Glenn Hegar,713,459,254
Brazoria,3,Comptroller of Public Accounts,,DEM,Mike Collier,219,141,78
Brazoria,3,Comptroller of Public Accounts,,LIB,Ben Sanders,37,17,20
Brazoria,3,Comptroller of Public Accounts,,GRN,Deb Shafto,6,5,1
Brazoria,3,Commissioner of the General Land Office,,REP,George P. Bush,729,473,256
Brazoria,3,Commissioner of the General Land Office,,DEM,John Cook,206,128,78
Brazoria,3,Commissioner of the General Land Office,,LIB,Justin Knight,32,16,16
Brazoria,3,Commissioner of the General Land Office,,GRN,Valerie Alessi,8,6,2
Brazoria,3,Commissioner of Agriculture,,REP,Sid Miller,710,465,245
Brazoria,3,Commissioner of Agriculture,,DEM,Jim Hogan,213,131,82
Brazoria,3,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,37,15,22
Brazoria,3,Commissioner of Agriculture,,GRN,Kenneth Kendrick,15,10,5
Brazoria,3,Railroad Commissioner,,REP,Ryan Sitton,718,464,254
Brazoria,3,Railroad Commissioner,,DEM,Steve Brown,209,128,81
Brazoria,3,Railroad Commissioner,,LIB,Mark A. Miller,39,24,15
Brazoria,3,Railroad Commissioner,,GRN,Martina Salinas,13,9,4
Brazoria,3,"Chief Justice, Supreme Court",,REP,Nathan Hecht,732,477,255
Brazoria,3,"Chief Justice, Supreme Court",,DEM,William Moody,213,132,81
Brazoria,3,"Chief Justice, Supreme Court",,LIB,Tom Oxford,29,13,16
Brazoria,3,"Justice, Supreme Court, Place 6, Unexpired Term",,REP,Jeff Brown,733,470,263
Brazoria,3,"Justice, Supreme Court, Place 6, Unexpired Term",,DEM,Lawrence Edward Meyers,208,134,74
Brazoria,3,"Justice, Supreme Court, Place 6, Unexpired Term",,LIB,Mark Ash,33,17,16
Brazoria,3,"Justice, Supreme Court, Place 7",,REP,Jeff Boyd,728,472,256
Brazoria,3,"Justice, Supreme Court, Place 7",,DEM,Gina Benavides,212,133,79
Brazoria,3,"Justice, Supreme Court, Place 7",,LIB,Don Fulton,31,14,17
Brazoria,3,"Justice, Supreme Court, Place 7",,GRN,Charles E. Waterbury,3,2,1
Brazoria,3,"Justice, Supreme Court, Place 8",,REP,Phil Johnson,759,489,270
Brazoria,3,"Justice, Supreme Court, Place 8",,LIB,RS Roberto Koelsch,60,33,27
Brazoria,3,"Justice, Supreme Court, Place 8",,GRN,Jim Chisolm,51,32,19
Brazoria,3,"Judge, Court of Criminal Appeals Place 3",,REP,Bert Richardson,728,471,257
Brazoria,3,"Judge, Court of Criminal Appeals Place 3",,DEM,John Granberg,200,124,76
Brazoria,3,"Judge, Court of Criminal Appeals Place 3",,LIB,Mark W. Bennett,42,22,20
Brazoria,3,"Judge, Court of Criminal Appeals Place 4",,REP,Kevin Patrick Yeary,761,484,277
Brazoria,3,"Judge, Court of Criminal Appeals Place 4",,LIB,Quanah Parker,55,33,22
Brazoria,3,"Judge, Court of Criminal Appeals Place 4",,GRN,Judith Sanders-Castro,58,38,20
Brazoria,3,"Judge, Court of Criminal Appeals Place 9",,REP,David Newell,768,492,276
Brazoria,3,"Judge, Court of Criminal Appeals Place 9",,LIB,"William Bryan Strange, III",55,29,26
Brazoria,3,"Judge, Court of Criminal Appeals Place 9",,GRN,George Joseph Altgelt,45,32,13
Brazoria,3,"Member, State Board of Education, District 7",,REP,David Bradley,718,463,255
Brazoria,3,"Member, State Board of Education, District 7",,DEM,Kathy King,225,140,85
Brazoria,3,"Member, State Board of Education, District 7",,LIB,Megan DaGata,30,17,13
Brazoria,3,State House,29,REP,Ed Thompson,793,503,290
Brazoria,3,"Chief Justice, 14th Court of Appeals District",,REP,Kem Thompson Frost,745,477,268
Brazoria,3,"Chief Justice, 14th Court of Appeals District",,DEM,Kyle Carter,215,134,81
Brazoria,3,"Justice, 1st Court of Appeals District, Place 3",,REP,Russell Lloyd,742,478,264
Brazoria,3,"Justice, 1st Court of Appeals District, Place 3",,DEM,Jim Sharp,224,138,86
Brazoria,3,"Justice, 1st Court of Appeals District, Place 5",,REP,Laura Carter Higley,781,494,287
Brazoria,3,"Justice, 14th Court of Appeals District, Place 4, Unexpired Term",,REP,Marc Brown,778,492,286
Brazoria,3,"Justice, 14th Court of Appeals District, Place 7",,REP,Ken Wise,758,483,275
Brazoria,3,"Justice, 14th Court of Appeals District, Place 7",,DEM,Gordon Goodman,209,131,78
Brazoria,3,"District Judge, 149th Judicial District",,REP,Terri Tipton Holder,786,499,287
Brazoria,3,"District Judge, 239th Judicial District",,REP,Pat Sebesta,791,504,287
Brazoria,3,"District Judge, 300th Judicial District",,REP,K. Randall Hufstetler,781,496,285
Brazoria,3,"District Judge, 412th Judicial District",,REP,Ed Denman,775,490,285
Brazoria,3,Criminal District Attorney,,REP,Jeri Yenne,777,493,284
Brazoria,3,County Judge,,REP,Matt Sebesta,768,489,279
Brazoria,3,County Judge,,DEM,Robert Pruett,206,129,77
Brazoria,3,"Judge, County Court at Law #1 & Probate Court",,REP,Jerri Lee Mills,782,498,284
Brazoria,3,"Judge, County Court at Law #2 & Probate Court",,REP,Marc Wayne Holder,779,494,285
Brazoria,3,"Judge, County Court at Law #3 & Probate Court",,REP,Jeremy Warren,776,492,284
Brazoria,3,"Judge, County Court at Law #4 & Probate Court",,REP,Lori Rickert,784,498,286
Brazoria,3,District Clerk,,REP,Rhonda Cross Barchak,781,498,283
Brazoria,3,County Clerk,,REP,Joyce Hudman,787,498,289
Brazoria,3,County Treasurer,,REP,Cathy Campbell,780,496,284
Brazoria,3,"Justice of the Peace, Precinct 3, Place 2",,REP,Gordon Starkenburg,783,496,287
Brazoria,4,Straight Party,,REP,Republican Party,431,254,177
Brazoria,4,Straight Party,,DEM,Democratic Party,162,109,53
Brazoria,4,Straight Party,,LIB,Libertarian Party,3,1,2
Brazoria,4,Straight Party,,GRN,Green Party,2,0,2
Brazoria,4,U.S. Senate,,REP,John Cornyn,765,472,293
Brazoria,4,U.S. Senate,,DEM,David M. Alameel,249,165,84
Brazoria,4,U.S. Senate,,LIB,Rebecca Paddock,44,24,20
Brazoria,4,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",5,1,4
Brazoria,4,U.S. Senate,,,Mohammed Tahiro,0,0,0
Brazoria,4,U.S. House,14,REP,Randy Weber,781,492,289
Brazoria,4,U.S. House,14,DEM,Donald G. Brown,258,165,93
Brazoria,4,U.S. House,14,LIB,John Wieder,26,14,12
Brazoria,4,Governor,,REP,Greg Abbott,784,491,293
Brazoria,4,Governor,,DEM,Wendy R. Davis,276,179,97
Brazoria,4,Governor,,LIB,Kathie Glass,21,11,10
Brazoria,4,Governor,,GRN,Brandon Parmer,3,0,3
Brazoria,4,Governor,,,Sarah M. Pavitt,0,0,0
Brazoria,4,Lieutenant Governor,,REP,Dan Patrick,769,489,280
Brazoria,4,Lieutenant Governor,,DEM,Leticia Van de Putte,277,177,100
Brazoria,4,Lieutenant Governor,,LIB,Robert D. Butler,26,11,15
Brazoria,4,Lieutenant Governor,,GRN,Chandrakantha Courtney,4,0,4
Brazoria,4,Attorney General,,REP,Ken Paxton,777,492,285
Brazoria,4,Attorney General,,DEM,Sam Houston,270,171,99
Brazoria,4,Attorney General,,LIB,Jamie Balagia,25,11,14
Brazoria,4,Attorney General,,GRN,Jamar Osborne,4,0,4
Brazoria,4,Comptroller of Public Accounts,,REP,Glenn Hegar,740,466,274
Brazoria,4,Comptroller of Public Accounts,,DEM,Mike Collier,284,182,102
Brazoria,4,Comptroller of Public Accounts,,LIB,Ben Sanders,36,18,18
Brazoria,4,Comptroller of Public Accounts,,GRN,Deb Shafto,8,4,4
Brazoria,4,Commissioner of the General Land Office,,REP,George P. Bush,772,484,288
Brazoria,4,Commissioner of the General Land Office,,DEM,John Cook,262,168,94
Brazoria,4,Commissioner of the General Land Office,,LIB,Justin Knight,37,22,15
Brazoria,4,Commissioner of the General Land Office,,GRN,Valerie Alessi,8,4,4
Brazoria,4,Commissioner of Agriculture,,REP,Sid Miller,739,470,269
Brazoria,4,Commissioner of Agriculture,,DEM,Jim Hogan,282,173,109
Brazoria,4,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,35,18,17
Brazoria,4,Commissioner of Agriculture,,GRN,Kenneth Kendrick,14,10,4
Brazoria,4,Railroad Commissioner,,REP,Ryan Sitton,737,464,273
Brazoria,4,Railroad Commissioner,,DEM,Steve Brown,282,172,110
Brazoria,4,Railroad Commissioner,,LIB,Mark A. Miller,35,22,13
Brazoria,4,Railroad Commissioner,,GRN,Martina Salinas,8,6,2
Brazoria,4,"Chief Justice, Supreme Court",,REP,Nathan Hecht,753,479,274
Brazoria,4,"Chief Justice, Supreme Court",,DEM,William Moody,277,169,108
Brazoria,4,"Chief Justice, Supreme Court",,LIB,Tom Oxford,31,19,12
Brazoria,4,"Justice, Supreme Court, Place 6, Unexpired Term",,REP,Jeff Brown,763,484,279
Brazoria,4,"Justice, Supreme Court, Place 6, Unexpired Term",,DEM,Lawrence Edward Meyers,265,165,100
Brazoria,4,"Justice, Supreme Court, Place 6, Unexpired Term",,LIB,Mark Ash,29,16,13
Brazoria,4,"Justice, Supreme Court, Place 7",,REP,Jeff Boyd,757,481,276
Brazoria,4,"Justice, Supreme Court, Place 7",,DEM,Gina Benavides,261,159,102
Brazoria,4,"Justice, Supreme Court, Place 7",,LIB,Don Fulton,34,22,12
Brazoria,4,"Justice, Supreme Court, Place 7",,GRN,Charles E. Waterbury,7,3,4
Brazoria,4,"Justice, Supreme Court, Place 8",,REP,Phil Johnson,788,499,289
Brazoria,4,"Justice, Supreme Court, Place 8",,LIB,RS Roberto Koelsch,81,44,37
Brazoria,4,"Justice, Supreme Court, Place 8",,GRN,Jim Chisolm,25,11,14
Brazoria,4,"Judge, Court of Criminal Appeals Place 3",,REP,Bert Richardson,742,474,268
Brazoria,4,"Judge, Court of Criminal Appeals Place 3",,DEM,John Granberg,269,167,102
Brazoria,4,"Judge, Court of Criminal Appeals Place 3",,LIB,Mark W. Bennett,47,23,24
Brazoria,4,"Judge, Court of Criminal Appeals Place 4",,REP,Kevin Patrick Yeary,779,491,288
Brazoria,4,"Judge, Court of Criminal Appeals Place 4",,LIB,Quanah Parker,95,55,40
Brazoria,4,"Judge, Court of Criminal Appeals Place 4",,GRN,Judith Sanders-Castro,23,11,12
Brazoria,4,"Judge, Court of Criminal Appeals Place 9",,REP,David Newell,791,500,291
Brazoria,4,"Judge, Court of Criminal Appeals Place 9",,LIB,"William Bryan Strange, III",86,45,41
Brazoria,4,"Judge, Court of Criminal Appeals Place 9",,GRN,George Joseph Altgelt,23,11,12
Brazoria,4,"Member, State Board of Education, District 7",,REP,David Bradley,735,463,272
Brazoria,4,"Member, State Board of Education, District 7",,DEM,Kathy King,301,190,111
