county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional
Howard,12,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,57,20,34,3,0
Howard,12,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,11,4,7,0,0
Howard,12,Commissioner of General Land Office,NA,REP,Dawn Buckingham,69,40,27,2,0
Howard,12,Commissioner of General Land Office,NA,DEM,Jay Kleberg,62,21,38,3,0
Howard,12,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",7,1,6,0,0
Howard,12,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,12,Commissioner of Agriculture,NA,REP,Sid Miller,71,41,29,1,0
Howard,12,Commissioner of Agriculture,NA,DEM,Susan Hays,66,21,41,4,0
Howard,12,Railroad Commissioner,NA,REP,Wayne Christian,66,38,26,2,0
Howard,12,Railroad Commissioner,NA,DEM,Luke Warford,60,21,36,3,0
Howard,12,Railroad Commissioner,NA,LIB,Jaime Andres Diez,9,3,6,0,0
Howard,12,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,3,0,3,0,0
Howard,12,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,69,39,28,2,0
Howard,12,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,67,21,43,3,0
Howard,12,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,2,1,1,0,0
Howard,12,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,69,39,29,1,0
Howard,12,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,64,19,42,3,0
Howard,12,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,73,40,31,2,0
Howard,12,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,66,22,41,3,0
Howard,12,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,69,42,26,1,0
Howard,12,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,68,20,45,3,0
Howard,12,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",68,39,28,1,0
Howard,12,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,67,21,43,3,0
Howard,12,County Judge,NA,REP,Randy S. Johnson,80,43,35,2,0
Howard,12,County Judge,NA,DEM,Steven Hobbs,64,22,39,3,0
Howard,12a,U.S. House,19,REP,Jodey C. Arrington,29,17,12,0,0
Howard,12a,U.S. House,19,IND,Ind Nathan Lewis,7,2,5,0,0
Howard,12a,Governor,NA,REP,Greg Abbott,31,20,11,0,0
Howard,12a,Governor,NA,DEM,Beto O'Rourke,4,0,4,0,0
Howard,12a,Governor,NA,LIB,Mark Tippetts,1,0,1,0,0
Howard,12a,Governor,NA,GRN,Delilah Barrios,1,0,1,0,0
Howard,12a,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,12a,Lieutenant Governor,NA,REP,Dan Patrick,32,19,13,0,0
Howard,12a,Lieutenant Governor,NA,DEM,Mike Collier,5,1,4,0,0
Howard,12a,Lieutenant Governor,NA,LIB,Shanna Steele,0,0,0,0,0
Howard,12a,Attorney General,NA,REP,Ken Paxton,31,18,13,0,0
Howard,12a,Attorney General,NA,DEM,Rochelle Mercedes Garza,5,1,4,0,0
Howard,12a,Attorney General,NA,LIB,Mark Ash,0,0,0,0,0
Howard,12a,Comptroller of Public Accounts,NA,REP,Glenn Hegar,30,17,13,0,0
Howard,12a,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,5,1,4,0,0
Howard,12a,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,0,0,0,0,0
Howard,12a,Commissioner of General Land Office,NA,REP,Dawn Buckingham,29,17,12,0,0
Howard,12a,Commissioner of General Land Office,NA,DEM,Jay Kleberg,5,1,4,0,0
Howard,12a,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",1,0,1,0,0
Howard,12a,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,12a,Commissioner of Agriculture,NA,REP,Sid Miller,30,17,13,0,0
Howard,12a,Commissioner of Agriculture,NA,DEM,Susan Hays,5,1,4,0,0
Howard,12a,Railroad Commissioner,NA,REP,Wayne Christian,29,17,12,0,0
Howard,12a,Railroad Commissioner,NA,DEM,Luke Warford,5,1,4,0,0
Howard,12a,Railroad Commissioner,NA,LIB,Jaime Andres Diez,0,0,0,0,0
Howard,12a,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,1,0,1,0,0
Howard,12a,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,29,17,12,0,0
Howard,12a,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,5,1,4,0,0
Howard,12a,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,1,0,1,0,0
Howard,12a,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,28,15,13,0,0
Howard,12a,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,5,1,4,0,0
Howard,12a,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,32,19,13,0,0
Howard,12a,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,5,1,4,0,0
Howard,12a,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,32,19,13,0,0
Howard,12a,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,5,1,4,0,0
Howard,12a,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",32,19,13,0,0
Howard,12a,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,5,1,4,0,0
Howard,12a,County Judge,NA,REP,Randy S. Johnson,32,20,12,0,0
Howard,12a,County Judge,NA,DEM,Steven Hobbs,5,0,5,0,0
Howard,13,U.S. House,19,REP,Jodey C. Arrington,82,57,22,3,0
Howard,13,U.S. House,19,IND,Ind Nathan Lewis,24,13,7,4,0
Howard,13,Governor,NA,REP,Greg Abbott,78,56,18,4,0
Howard,13,Governor,NA,DEM,Beto O'Rourke,33,18,11,4,0
Howard,13,Governor,NA,LIB,Mark Tippetts,2,1,1,0,0
Howard,13,Governor,NA,GRN,Delilah Barrios,1,1,0,0,0
Howard,13,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,13,Lieutenant Governor,NA,REP,Dan Patrick,75,55,17,3,0
Howard,13,Lieutenant Governor,NA,DEM,Mike Collier,29,17,8,4,0
Howard,13,Lieutenant Governor,NA,LIB,Shanna Steele,9,4,4,1,0
Howard,13,Attorney General,NA,REP,Ken Paxton,78,57,18,3,0
Howard,13,Attorney General,NA,DEM,Rochelle Mercedes Garza,31,17,10,4,0
Howard,13,Attorney General,NA,LIB,Mark Ash,2,0,1,1,0
Howard,13,Comptroller of Public Accounts,NA,REP,Glenn Hegar,79,56,19,4,0
Howard,13,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,27,16,7,4,0
Howard,13,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,7,3,4,0,0
Howard,13,Commissioner of General Land Office,NA,REP,Dawn Buckingham,79,57,19,3,0
Howard,13,Commissioner of General Land Office,NA,DEM,Jay Kleberg,30,16,9,5,0
Howard,13,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",2,1,1,0,0
Howard,13,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,13,Commissioner of Agriculture,NA,REP,Sid Miller,82,57,21,4,0
Howard,13,Commissioner of Agriculture,NA,DEM,Susan Hays,28,16,8,4,0
Howard,13,Railroad Commissioner,NA,REP,Wayne Christian,76,54,18,4,0
Howard,13,Railroad Commissioner,NA,DEM,Luke Warford,26,15,8,3,0
Howard,13,Railroad Commissioner,NA,LIB,Jaime Andres Diez,7,4,3,0,0
Howard,13,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,2,1,0,1,0
Howard,13,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,76,54,19,3,0
Howard,13,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,31,18,8,5,0
Howard,13,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,4,2,2,0,0
Howard,13,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,82,58,20,4,0
Howard,13,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,31,18,9,4,0
Howard,13,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,81,57,20,4,0
Howard,13,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,32,19,9,4,0
Howard,13,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,81,57,20,4,0
Howard,13,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,32,18,10,4,0
Howard,13,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",82,58,21,3,0
Howard,13,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,30,17,8,5,0
Howard,13,County Judge,NA,REP,Randy S. Johnson,82,57,21,4,0
Howard,13,County Judge,NA,DEM,Steven Hobbs,28,16,8,4,0
Howard,14,U.S. House,19,REP,Jodey C. Arrington,31,19,10,2,0
Howard,14,U.S. House,19,IND,Ind Nathan Lewis,4,3,0,1,0
Howard,14,Governor,NA,REP,Greg Abbott,33,20,10,3,0
Howard,14,Governor,NA,DEM,Beto O'Rourke,7,4,1,2,0
Howard,14,Governor,NA,LIB,Mark Tippetts,0,0,0,0,0
Howard,14,Governor,NA,GRN,Delilah Barrios,0,0,0,0,0
Howard,14,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,14,Lieutenant Governor,NA,REP,Dan Patrick,32,19,10,3,0
Howard,14,Lieutenant Governor,NA,DEM,Mike Collier,7,4,1,2,0
Howard,14,Lieutenant Governor,NA,LIB,Shanna Steele,0,0,0,0,0
Howard,14,Attorney General,NA,REP,Ken Paxton,32,19,10,3,0
Howard,14,Attorney General,NA,DEM,Rochelle Mercedes Garza,7,4,1,2,0
Howard,14,Attorney General,NA,LIB,Mark Ash,0,0,0,0,0
Howard,14,Comptroller of Public Accounts,NA,REP,Glenn Hegar,32,19,10,3,0
Howard,14,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,7,4,1,2,0
Howard,14,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,0,0,0,0,0
Howard,14,Commissioner of General Land Office,NA,REP,Dawn Buckingham,32,19,10,3,0
Howard,14,Commissioner of General Land Office,NA,DEM,Jay Kleberg,7,4,1,2,0
Howard,14,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",0,0,0,0,0
Howard,14,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,14,Commissioner of Agriculture,NA,REP,Sid Miller,32,19,10,3,0
Howard,14,Commissioner of Agriculture,NA,DEM,Susan Hays,7,4,1,2,0
Howard,14,Railroad Commissioner,NA,REP,Wayne Christian,31,18,10,3,0
Howard,14,Railroad Commissioner,NA,DEM,Luke Warford,7,4,1,2,0
Howard,14,Railroad Commissioner,NA,LIB,Jaime Andres Diez,0,0,0,0,0
Howard,14,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,0,0,0,0,0
Howard,14,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,32,19,10,3,0
Howard,14,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,7,4,1,2,0
Howard,14,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,0,0,0,0,0
Howard,14,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,32,19,10,3,0
Howard,14,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,7,4,1,2,0
Howard,14,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,32,19,10,3,0
Howard,14,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,7,4,1,2,0
Howard,14,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,31,18,10,3,0
Howard,14,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,7,5,1,1,0
Howard,14,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",32,19,10,3,0
Howard,14,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,7,4,1,2,0
Howard,14,County Judge,NA,REP,Randy S. Johnson,31,18,10,3,0
Howard,14,County Judge,NA,DEM,Steven Hobbs,7,4,1,2,0
Howard,16,U.S. House,19,REP,Jodey C. Arrington,29,14,10,5,0
Howard,16,U.S. House,19,IND,Ind Nathan Lewis,15,8,6,1,0
Howard,16,Governor,NA,REP,Greg Abbott,31,14,12,5,0
Howard,16,Governor,NA,DEM,Beto O'Rourke,14,7,5,2,0
Howard,16,Governor,NA,LIB,Mark Tippetts,1,0,1,0,0
Howard,16,Governor,NA,GRN,Delilah Barrios,1,1,0,0,0
Howard,16,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,16,Lieutenant Governor,NA,REP,Dan Patrick,30,14,11,5,0
Howard,16,Lieutenant Governor,NA,DEM,Mike Collier,13,7,5,1,0
Howard,16,Lieutenant Governor,NA,LIB,Shanna Steele,2,0,1,1,0
Howard,16,Attorney General,NA,REP,Ken Paxton,27,12,10,5,0
Howard,16,Attorney General,NA,DEM,Rochelle Mercedes Garza,15,8,5,2,0
Howard,16,Attorney General,NA,LIB,Mark Ash,4,2,2,0,0
Howard,16,Comptroller of Public Accounts,NA,REP,Glenn Hegar,29,14,10,5,0
Howard,16,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,13,7,4,2,0
Howard,16,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,4,1,3,0,0
Howard,16,Commissioner of General Land Office,NA,REP,Dawn Buckingham,31,16,10,5,0
Howard,16,Commissioner of General Land Office,NA,DEM,Jay Kleberg,13,6,5,2,0
Howard,16,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",2,0,2,0,0
Howard,16,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,16,Commissioner of Agriculture,NA,REP,Sid Miller,32,15,12,5,0
Howard,16,Commissioner of Agriculture,NA,DEM,Susan Hays,13,7,4,2,0
Howard,16,Railroad Commissioner,NA,REP,Wayne Christian,30,14,11,5,0
Howard,16,Railroad Commissioner,NA,DEM,Luke Warford,13,6,5,2,0
Howard,16,Railroad Commissioner,NA,LIB,Jaime Andres Diez,3,2,1,0,0
Howard,16,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,0,0,0,0,0
Howard,16,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,30,15,10,5,0
Howard,16,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,13,7,5,1,0
Howard,16,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,2,0,2,0,0
Howard,16,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,31,15,11,5,0
Howard,16,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,13,7,5,1,0
Howard,16,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,30,14,12,4,0
Howard,16,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,14,8,5,1,0
Howard,16,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,32,15,12,5,0
Howard,16,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,13,7,5,1,0
Howard,16,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",30,14,11,5,0
Howard,16,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,14,8,5,1,0
Howard,16,County Judge,NA,REP,Randy S. Johnson,30,14,11,5,0
Howard,16,County Judge,NA,DEM,Steven Hobbs,15,8,6,1,0
Howard,103,U.S. House,19,REP,Jodey C. Arrington,60,32,25,3,0
Howard,103,U.S. House,19,IND,Ind Nathan Lewis,10,5,4,1,0
Howard,103,Governor,NA,REP,Greg Abbott,60,33,24,3,0
Howard,103,Governor,NA,DEM,Beto O'Rourke,13,5,7,1,0
Howard,103,Governor,NA,LIB,Mark Tippetts,0,0,0,0,0
Howard,103,Governor,NA,GRN,Delilah Barrios,1,0,1,0,0
Howard,103,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,103,Lieutenant Governor,NA,REP,Dan Patrick,57,31,23,3,0
Howard,103,Lieutenant Governor,NA,DEM,Mike Collier,13,6,6,1,0
Howard,103,Lieutenant Governor,NA,LIB,Shanna Steele,2,1,1,0,0
Howard,103,Attorney General,NA,REP,Ken Paxton,58,31,25,2,0
Howard,103,Attorney General,NA,DEM,Rochelle Mercedes Garza,12,6,5,1,0
Howard,103,Attorney General,NA,LIB,Mark Ash,2,1,1,0,0
Howard,103,Comptroller of Public Accounts,NA,REP,Glenn Hegar,55,31,22,2,0
Howard,103,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,11,5,5,1,0
Howard,103,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,3,2,1,0,0
Howard,103,Commissioner of General Land Office,NA,REP,Dawn Buckingham,57,32,23,2,0
Howard,103,Commissioner of General Land Office,NA,DEM,Jay Kleberg,11,5,5,1,0
Howard,103,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",1,0,1,0,0
Howard,103,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,103,Commissioner of Agriculture,NA,REP,Sid Miller,57,32,23,2,0
Howard,103,Commissioner of Agriculture,NA,DEM,Susan Hays,14,6,7,1,0
Howard,103,Railroad Commissioner,NA,REP,Wayne Christian,57,32,23,2,0
Howard,103,Railroad Commissioner,NA,DEM,Luke Warford,9,3,5,1,0
Howard,103,Railroad Commissioner,NA,LIB,Jaime Andres Diez,3,2,1,0,0
Howard,103,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,2,1,1,0,0
Howard,103,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,55,30,23,2,0
Howard,103,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,13,5,7,1,0
Howard,103,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,2,2,0,0,0
Howard,103,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,56,31,23,2,0
Howard,103,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,13,5,7,1,0
Howard,103,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,58,33,23,2,0
Howard,103,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,13,4,8,1,0
Howard,103,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,57,32,23,2,0
Howard,103,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,13,5,7,1,0
Howard,103,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",58,33,23,2,0
Howard,103,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,12,4,7,1,0
Howard,103,County Judge,NA,REP,Randy S. Johnson,61,34,24,3,0
Howard,103,County Judge,NA,DEM,Steven Hobbs,12,4,7,1,0
Howard,104,U.S. House,19,REP,Jodey C. Arrington,60,48,9,3,0
Howard,104,U.S. House,19,IND,Ind Nathan Lewis,4,1,1,2,0
Howard,104,Governor,NA,REP,Greg Abbott,62,48,11,3,0
Howard,104,Governor,NA,DEM,Beto O'Rourke,4,1,1,2,0
Howard,104,Governor,NA,LIB,Mark Tippetts,0,0,0,0,0
Howard,104,Governor,NA,GRN,Delilah Barrios,0,0,0,0,0
Howard,104,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,104,Lieutenant Governor,NA,REP,Dan Patrick,61,47,11,3,0
Howard,104,Lieutenant Governor,NA,DEM,Mike Collier,3,1,0,2,0
Howard,104,Lieutenant Governor,NA,LIB,Shanna Steele,2,1,1,0,0
Howard,104,Attorney General,NA,REP,Ken Paxton,58,45,10,3,0
Howard,104,Attorney General,NA,DEM,Rochelle Mercedes Garza,3,1,0,2,0
Howard,104,Attorney General,NA,LIB,Mark Ash,3,2,1,0,0
Howard,104,Comptroller of Public Accounts,NA,REP,Glenn Hegar,61,48,10,3,0
Howard,104,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,1,1,0,0,0
Howard,104,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,3,0,1,2,0
Howard,104,Commissioner of General Land Office,NA,REP,Dawn Buckingham,62,47,12,3,0
Howard,104,Commissioner of General Land Office,NA,DEM,Jay Kleberg,3,1,0,2,0
Howard,104,Commissioner of General Land Office,NA,GRN,"Alfred Molison, Jr.",0,0,0,0,0
Howard,104,Commissioner of General Land Office,NA,NON,Write-in,0,0,0,0,0
Howard,104,Commissioner of Agriculture,NA,REP,Sid Miller,62,48,11,3,0
Howard,104,Commissioner of Agriculture,NA,DEM,Susan Hays,4,1,1,2,0
Howard,104,Railroad Commissioner,NA,REP,Wayne Christian,61,48,10,3,0
Howard,104,Railroad Commissioner,NA,DEM,Luke Warford,1,1,0,0,0
Howard,104,Railroad Commissioner,NA,LIB,Jaime Andres Diez,4,0,2,2,0
Howard,104,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,0,0,0,0,0
Howard,104,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,60,47,10,3,0
Howard,104,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,3,1,0,2,0
Howard,104,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,1,0,1,0,0
Howard,104,"Justice, Supreme Court, Place 5",NA,REP,Rebecca Huddle,60,47,10,3,0
Howard,104,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,4,1,1,2,0
Howard,104,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,61,48,10,3,0
Howard,104,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,4,1,1,2,0
Howard,104,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,61,48,10,3,0
Howard,104,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,4,1,1,2,0
Howard,104,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",61,48,10,3,0
Howard,104,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,3,1,1,1,0
Howard,104,County Judge,NA,REP,Randy S. Johnson,60,48,9,3,0
Howard,104,County Judge,NA,DEM,Steven Hobbs,4,1,1,2,0
Howard,24,U.S. House,19,REP,Jodey C. Arrington,221,144,69,8,0
Howard,24,U.S. House,19,IND,Ind Nathan Lewis,34,27,5,2,0
Howard,24,Governor,NA,REP,Greg Abbott,215,138,68,9,0
Howard,24,Governor,NA,DEM,Beto O'Rourke,44,34,8,2,0
Howard,24,Governor,NA,LIB,Mark Tippetts,2,2,0,0,0
Howard,24,Governor,NA,GRN,Delilah Barrios,2,2,0,0,0
Howard,24,Governor,NA,NON,Write-in,0,0,0,0,0
Howard,24,Lieutenant Governor,NA,REP,Dan Patrick,209,134,66,9,0
Howard,24,Lieutenant Governor,NA,DEM,Mike Collier,47,37,8,2,0
Howard,24,Lieutenant Governor,NA,LIB,Shanna Steele,6,4,2,0,0
