county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional,limited
Collin,2,U.S. House,32,DEM,Colin Allred,0,0,0,0,0,0
Collin,2,U.S. House,32,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,U.S. House,32,NON,UNDER VOTES,0,0,0,0,0,0
Collin,2,Governor,NA,REP,Greg Abbott,1043,693,315,35,0,0
Collin,2,Governor,NA,DEM,Beto O'Rourke,1018,701,274,42,1,0
Collin,2,Governor,NA,LIB,Mark Tippetts,15,7,8,0,0,0
Collin,2,Governor,NA,GRN,Delilah Barrios,3,1,2,0,0,0
Collin,2,Governor,NA,NON,Write-in,0,0,0,0,0,0
Collin,2,Governor,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,Governor,NA,NON,UNDER VOTES,5,4,0,1,0,0
Collin,2,Lieutenant Governor,NA,REP,Dan Patrick,1008,667,306,35,0,0
Collin,2,Lieutenant Governor,NA,DEM,Mike Collier,1001,697,261,42,1,0
Collin,2,Lieutenant Governor,NA,LIB,Shanna Steele,54,33,21,0,0,0
Collin,2,Lieutenant Governor,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,Lieutenant Governor,NA,NON,UNDER VOTES,21,9,11,1,0,0
Collin,2,Attorney General,NA,REP,Ken Paxton,980,644,302,34,0,0
Collin,2,Attorney General,NA,DEM,Rochelle Mercedes Garza,991,689,261,40,1,0
Collin,2,Attorney General,NA,LIB,Mark Ash,77,57,20,0,0,0
Collin,2,Attorney General,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,Attorney General,NA,NON,UNDER VOTES,36,16,16,4,0,0
Collin,2,Comptroller of Public Accounts,NA,REP,Glenn Hegar,1043,697,311,35,0,0
Collin,2,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,949,666,241,41,1,0
Collin,2,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,53,25,28,0,0,0
Collin,2,Comptroller of Public Accounts,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,Comptroller of Public Accounts,NA,NON,UNDER VOTES,39,18,19,2,0,0
Collin,2,Commissioner of the General Land Office,NA,REP,Dawn Buckingham,1032,691,307,34,0,0
Collin,2,Commissioner of the General Land Office,NA,DEM,Jay Kleberg,966,671,252,42,1,0
Collin,2,Commissioner of the General Land Office,NA,GRN,"Alfred Molison, Jr",48,25,22,1,0,0
Collin,2,Commissioner of the General Land Office,NA,NON,Write-in,0,0,0,0,0,0
Collin,2,Commissioner of the General Land Office,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,Commissioner of the General Land Office,NA,NON,UNDER VOTES,38,19,18,1,0,0
Collin,2,Commissioner of Agriculture,NA,REP,Sid Miller,1037,683,320,34,0,0
Collin,2,Commissioner of Agriculture,NA,DEM,Susan Hays,1002,699,260,42,1,0
Collin,2,Commissioner of Agriculture,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,Commissioner of Agriculture,NA,NON,UNDER VOTES,45,24,19,2,0,0
Collin,2,Railroad Commissioner,NA,REP,Wayne Christian,1009,673,302,34,0,0
Collin,2,Railroad Commissioner,NA,DEM,Luke Warford,936,665,229,41,1,0
Collin,2,Railroad Commissioner,NA,LIB,Jaime Andres Diez,69,33,35,1,0,0
Collin,2,Railroad Commissioner,NA,GRN,Hunter Wayne Crow,30,16,13,1,0,0
Collin,2,Railroad Commissioner,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,Railroad Commissioner,NA,NON,UNDER VOTES,40,19,20,1,0,0
Collin,2,"Justice, Supreme Court, Place 3",NA,REP,Debra Lehrmann,1032,691,307,34,0,0
Collin,2,"Justice, Supreme Court, Place 3",NA,DEM,Erin A. Nowell,963,671,250,41,1,0
Collin,2,"Justice, Supreme Court, Place 3",NA,LIB,Thomas Edward Oxford,49,24,24,1,0,0
Collin,2,"Justice, Supreme Court, Place 3",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"Justice, Supreme Court, Place 3",NA,NON,UNDER VOTES,40,20,18,2,0,0
Collin,2,"Justice, Supreme Court, Place 5",NA,REP,Rebeca Huddle,1053,702,315,36,0,0
Collin,2,"Justice, Supreme Court, Place 5",NA,DEM,Amanda Reichek,986,682,263,40,1,0
Collin,2,"Justice, Supreme Court, Place 5",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"Justice, Supreme Court, Place 5",NA,NON,UNDER VOTES,45,22,21,2,0,0
Collin,2,"Justice, Supreme Court, Place 9",NA,REP,Evan Young,1048,697,315,36,0,0
Collin,2,"Justice, Supreme Court, Place 9",NA,DEM,Julia Maldonado,995,688,265,41,1,0
Collin,2,"Justice, Supreme Court, Place 9",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"Justice, Supreme Court, Place 9",NA,NON,UNDER VOTES,41,21,19,1,0,0
Collin,2,"Judge, Court of Criminal Appeals, Place 5",NA,REP,Scott Walker,1040,689,316,35,0,0
Collin,2,"Judge, Court of Criminal Appeals, Place 5",NA,DEM,Dana Huffman,992,690,260,41,1,0
Collin,2,"Judge, Court of Criminal Appeals, Place 5",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"Judge, Court of Criminal Appeals, Place 5",NA,NON,UNDER VOTES,52,27,23,2,0,0
Collin,2,"Judge, Court of Criminal Appeals, Place 6",NA,REP,"Jesse F. McClure, III",1043,693,315,35,0,0
Collin,2,"Judge, Court of Criminal Appeals, Place 6",NA,DEM,Robert Johnson,992,688,262,41,1,0
Collin,2,"Judge, Court of Criminal Appeals, Place 6",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"Judge, Court of Criminal Appeals, Place 6",NA,NON,UNDER VOTES,49,25,22,2,0,0
Collin,2,"Member, State Board of Education, District 12 Ccd",NA,REP,Pam Little,1012,676,301,35,0,0
Collin,2,"Member, State Board of Education, District 12 Ccd",NA,DEM,Alex Cornwallis,959,663,253,42,1,0
Collin,2,"Member, State Board of Education, District 12 Ccd",NA,LIB,Christy Mowrey,69,43,26,0,0,0
Collin,2,"Member, State Board of Education, District 12 Ccd",NA,NON,Write-in,0,0,0,0,0,0
Collin,2,"Member, State Board of Education, District 12 Ccd",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"Member, State Board of Education, District 12 Ccd",NA,NON,UNDER VOTES,44,24,19,1,0,0
Collin,2,State Senate,2,REP,Bob Hall,0,0,0,0,0,0
Collin,2,State Senate,2,DEM,Prince S. Giadolor,0,0,0,0,0,0
Collin,2,State Senate,2,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,State Senate,2,NON,UNDER VOTES,0,0,0,0,0,0
Collin,2,State Senate,8,REP,Angela Paxton,989,647,310,32,0,0
Collin,2,State Senate,8,DEM,Jonathan Cocks,973,685,245,42,1,0
Collin,2,State Senate,8,LIB,Edward Kless,68,45,23,0,0,0
Collin,2,State Senate,8,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,State Senate,8,NON,UNDER VOTES,54,29,21,4,0,0
Collin,2,State House,33,REP,Justin Holland,0,0,0,0,0,0
Collin,2,State House,33,DEM,Graeson Lynskey,0,0,0,0,0,0
Collin,2,State House,33,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,State House,33,NON,UNDER VOTES,0,0,0,0,0,0
Collin,2,State House,61,REP,Frederick Frazier,0,0,0,0,0,0
Collin,2,State House,61,DEM,Sheena King,0,0,0,0,0,0
Collin,2,State House,61,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,State House,61,NON,UNDER VOTES,0,0,0,0,0,0
Collin,2,State House,66,REP,Matt Shaheen,0,0,0,0,0,0
Collin,2,State House,66,DEM,Jesse Ringness,0,0,0,0,0,0
Collin,2,State House,66,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,State House,66,NON,UNDER VOTES,0,0,0,0,0,0
Collin,2,State House,67,REP,Jeff Leach,1047,696,316,35,0,0
Collin,2,State House,67,DEM,Kevin Morris,986,683,260,42,1,0
Collin,2,State House,67,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,State House,67,NON,UNDER VOTES,51,27,23,1,0,0
Collin,2,State House,70,REP,Jamee Jolly,0,0,0,0,0,0
Collin,2,State House,70,DEM,Mihaela Elizabeth Plesa,0,0,0,0,0,0
Collin,2,State House,70,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,State House,70,NON,UNDER VOTES,0,0,0,0,0,0
Collin,2,"Justice, 5th Court of Appeals District, Place 4",NA,REP,Emily A. Miskel,1048,691,320,37,0,0
Collin,2,"Justice, 5th Court of Appeals District, Place 4",NA,DEM,Maricela Moore,984,687,255,41,1,0
Collin,2,"Justice, 5th Court of Appeals District, Place 4",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"Justice, 5th Court of Appeals District, Place 4",NA,NON,UNDER VOTES,52,28,24,0,0,0
Collin,2,"Justice, 5th Court of Appeals District, Place 7",NA,REP,Kristina Williams,1041,690,315,36,0,0
Collin,2,"Justice, 5th Court of Appeals District, Place 7",NA,DEM,Nancy Kennedy,987,686,258,42,1,0
Collin,2,"Justice, 5th Court of Appeals District, Place 7",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"Justice, 5th Court of Appeals District, Place 7",NA,NON,UNDER VOTES,56,30,26,0,0,0
Collin,2,County Judge Ccd,NA,REP,Chris Hill,1042,687,319,36,0,0
Collin,2,County Judge Ccd,NA,DEM,Joshua Murray,990,688,259,42,1,0
Collin,2,County Judge Ccd,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,County Judge Ccd,NA,NON,UNDER VOTES,52,31,21,0,0,0
Collin,2,District Clerk Ccd,NA,REP,Mike Gould,1049,693,320,36,0,0
Collin,2,District Clerk Ccd,NA,DEM,David Brignac,968,674,251,42,1,0
Collin,2,District Clerk Ccd,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,District Clerk Ccd,NA,NON,UNDER VOTES,67,39,28,0,0,0
Collin,2,"County Commissioner, Precinct 4",NA,REP,Duncan Webb,0,0,0,0,0,0
Collin,2,"County Commissioner, Precinct 4",NA,DEM,Jeffrey Williams,0,0,0,0,0,0
Collin,2,"County Commissioner, Precinct 4",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"County Commissioner, Precinct 4",NA,NON,UNDER VOTES,0,0,0,0,0,0
Collin,2,"Justice of the Peace, Precinct 2",NA,REP,Ellen Skinner,0,0,0,0,0,0
Collin,2,"Justice of the Peace, Precinct 2",NA,DEM,Jennifer McKenzie,0,0,0,0,0,0
Collin,2,"Justice of the Peace, Precinct 2",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"Justice of the Peace, Precinct 2",NA,NON,UNDER VOTES,0,0,0,0,0,0
Collin,2,"Justice of the Peace, Precinct 3",NA,REP,Mike Missildine,0,0,0,0,0,0
Collin,2,"Justice of the Peace, Precinct 3",NA,DEM,Irvin Lynn Barrett,0,0,0,0,0,0
Collin,2,"Justice of the Peace, Precinct 3",NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,2,"Justice of the Peace, Precinct 3",NA,NON,UNDER VOTES,0,0,0,0,0,0
Collin,3,Ballots Cast Total,NA,"NA",,835,520,295,20,0,0
Collin,3,U.S. House,3,REP,Keith Self,253,161,87,5,0,0
Collin,3,U.S. House,3,DEM,Sandeep Srivastava,523,322,187,14,0,0
Collin,3,U.S. House,3,LIB,Christopher Claytor,21,14,7,0,0,0
Collin,3,U.S. House,3,NON,OVER VOTES,0,0,0,0,0,0
Collin,3,U.S. House,3,NON,UNDER VOTES,38,23,14,1,0,0
Collin,3,U.S. House,4,REP,Pat Fallon,0,0,0,0,0,0
Collin,3,U.S. House,4,DEM,Iro Omere,0,0,0,0,0,0
Collin,3,U.S. House,4,LIB,John Simmons,0,0,0,0,0,0
Collin,3,U.S. House,4,NON,OVER VOTES,0,0,0,0,0,0
Collin,3,U.S. House,4,NON,UNDER VOTES,0,0,0,0,0,0
Collin,3,U.S. House,32,REP,Antonio Swad,0,0,0,0,0,0
Collin,3,U.S. House,32,DEM,Colin Allred,0,0,0,0,0,0
Collin,3,U.S. House,32,NON,OVER VOTES,0,0,0,0,0,0
Collin,3,U.S. House,32,NON,UNDER VOTES,0,0,0,0,0,0
Collin,3,Governor,NA,REP,Greg Abbott,249,163,82,4,0,0
Collin,3,Governor,NA,DEM,Beto O'Rourke,565,350,199,16,0,0
Collin,3,Governor,NA,LIB,Mark Tippetts,13,4,9,0,0,0
Collin,3,Governor,NA,GRN,Delilah Barrios,3,1,2,0,0,0
Collin,3,Governor,NA,NON,Write-in,1,0,1,0,0,0
Collin,3,Governor,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,3,Governor,NA,NON,UNDER VOTES,4,2,2,0,0,0
Collin,3,Lieutenant Governor,NA,REP,Dan Patrick,236,148,83,5,0,0
Collin,3,Lieutenant Governor,NA,DEM,Mike Collier,536,339,183,14,0,0
Collin,3,Lieutenant Governor,NA,LIB,Shanna Steele,34,17,17,0,0,0
Collin,3,Lieutenant Governor,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,3,Lieutenant Governor,NA,NON,UNDER VOTES,29,16,12,1,0,0
Collin,3,Attorney General,NA,REP,Ken Paxton,228,144,80,4,0,0
Collin,3,Attorney General,NA,DEM,Rochelle Mercedes Garza,535,339,182,14,0,0
Collin,3,Attorney General,NA,LIB,Mark Ash,38,17,20,1,0,0
Collin,3,Attorney General,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,3,Attorney General,NA,NON,UNDER VOTES,34,20,13,1,0,0
Collin,3,Comptroller of Public Accounts,NA,REP,Glenn Hegar,243,157,81,5,0,0
Collin,3,Comptroller of Public Accounts,NA,DEM,Janet T. Dudding,510,316,180,14,0,0
Collin,3,Comptroller of Public Accounts,NA,LIB,V. Alonzo Echevarria-Garza,42,26,16,0,0,0
Collin,3,Comptroller of Public Accounts,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,3,Comptroller of Public Accounts,NA,NON,UNDER VOTES,40,21,18,1,0,0
Collin,3,Commissioner of the General Land Office,NA,REP,Dawn Buckingham,239,152,83,4,0,0
Collin,3,Commissioner of the General Land Office,NA,DEM,Jay Kleberg,527,328,184,15,0,0
Collin,3,Commissioner of the General Land Office,NA,GRN,"Alfred Molison, Jr",20,10,10,0,0,0
Collin,3,Commissioner of the General Land Office,NA,NON,Write-in,2,0,2,0,0,0
Collin,3,Commissioner of the General Land Office,NA,NON,OVER VOTES,0,0,0,0,0,0
Collin,3,Commissioner of the General Land Office,NA,NON,UNDER VOTES,47,30,16,1,0,0
Collin,3,Commissioner of Agriculture,NA,REP,Sid Miller,246,156,86,4,0,0
Collin,3,Commissioner of Agriculture,NA,DEM,Susan Hays,544,337,192,15,0,0
Collin,3,Commissioner of Agriculture,NA,NON,OVER VOTES,0,0,0,0,0,0
