county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day,provisional
Kleberg,0002 Pct 13,Comptroller of Public Accounts,,DEM,Janet T Dudding,138,25,67,46,0
Kleberg,0002 Pct 13,Comptroller of Public Accounts,,LIB,V Alonzo Echevarria-Garza,16,1,10,5,0
Kleberg,0002 Pct 13,Comm General Land Office,,REP,Dawn Buckingham,81,3,48,30,0
Kleberg,0002 Pct 13,Comm General Land Office,,DEM,Jay Kleberg,162,27,80,55,0
Kleberg,0002 Pct 13,Comm General Land Office,,GRN,"Alfredo Molison, Jr",3,0,3,0,0
Kleberg,0002 Pct 13,Comm General Land Office,,,WRITE-IN,0,0,0,0,0
Kleberg,0002 Pct 13,Commissioner of Agriculture,,REP,Sid Miller,97,3,59,35,0
Kleberg,0002 Pct 13,Commissioner of Agriculture,,DEM,Susan Hays,148,27,71,50,0
Kleberg,0002 Pct 13,Railroad Commissioner,,REP,Wayne Christian,93,3,59,31,0
Kleberg,0002 Pct 13,Railroad Commissioner,,DEM,Luke Warford,135,27,61,47,0
Kleberg,0002 Pct 13,Railroad Commissioner,,LIB,Jaime Andres Diez,14,0,9,5,0
Kleberg,0002 Pct 13,Railroad Commissioner,,GRN,Hunter Wayne Crow,4,0,2,2,0
Kleberg,0002 Pct 13,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,96,3,60,33,0
Kleberg,0002 Pct 13,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,145,27,66,52,0
Kleberg,0002 Pct 13,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,4,0,4,0,0
Kleberg,0002 Pct 13,"Justice, Supreme Court, Place 5",,REP,Rebeca Huddle,97,3,60,34,0
Kleberg,0002 Pct 13,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,144,27,66,51,0
Kleberg,0002 Pct 13,"Justice, Supreme Court, Place 9",,REP,Evan Young,90,3,58,29,0
Kleberg,0002 Pct 13,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,155,27,73,55,0
Kleberg,0002 Pct 13,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,101,3,65,33,0
Kleberg,0002 Pct 13,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,145,27,67,51,0
Kleberg,0002 Pct 13,"Judge, Court of Criminal Appeals, Place 6",,REP,"Jesse F McClure, III",99,4,61,34,0
Kleberg,0002 Pct 13,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,144,26,68,50,0
Kleberg,0002 Pct 13,"Member, State Board of Education",2,REP,LJ Francis,91,3,56,32,0
Kleberg,0002 Pct 13,"Member, State Board of Education",2,DEM,Victor Perez,155,27,76,52,0
Kleberg,0002 Pct 13,State Senate,27,REP,Adam Hinojosa,107,5,65,37,0
Kleberg,0002 Pct 13,State Senate,27,DEM,Moragan LaMantia,135,25,63,47,0
Kleberg,0002 Pct 13,"Justice, 13th Court of Appeals District, Place 3",,REP,Aaron Pena,99,3,62,34,0
Kleberg,0002 Pct 13,"Justice, 13th Court of Appeals District, Place 3",,DEM,Leticia Hinojosa,147,26,70,51,0
Kleberg,0002 Pct 13,County Judge,,REP,Rudy Madrid,149,11,87,51,0
Kleberg,0002 Pct 13,County Judge,,DEM,Al Garcia,99,19,46,34,0
Kleberg,0002 Pct 13,"Judge, County Court at Law",,REP,J Dean Craig,97,4,62,31,0
Kleberg,0002 Pct 13,"Judge, County Court at Law",,DEM,Jaime E Carrillo,150,26,70,54,0
Kleberg,0002 Pct 13,County Clerk,,REP,"Salvador ""Sonny"" Barrera, III",123,5,74,44,0
Kleberg,0002 Pct 13,County Clerk,,DEM,Andre Ortiz,125,25,59,41,0
Kleberg,0002 Pct 13,"Justice of the Peace, Pct 1",,REP,"Ventura ""Sonny"" Gonzalez, III",100,5,61,34,0
Kleberg,0002 Pct 13,"Justice of the Peace, Pct 1",,DEM,Andy Gonzalez,147,25,71,51,0
Kleberg,0003 Pct 14,REGISTERED VOTERS,,,,1372,,,,
Kleberg,0003 Pct 14,BALLOTS CAST,,,,556,27,302,226,1
Kleberg,0003 Pct 14,U.S. House,34,REP,Mayra Flores,277,6,156,115,0
Kleberg,0003 Pct 14,U.S. House,34,DEM,Vicente Gonzalez,262,20,138,103,1
Kleberg,0003 Pct 14,U.S. House,34,IND,Chris Royal,11,0,3,8,0
Kleberg,0003 Pct 14,Governor,,REP,Greg Abbott,274,6,157,111,0
Kleberg,0003 Pct 14,Governor,,DEM,Beto O-Rourke,271,21,139,110,1
Kleberg,0003 Pct 14,Governor,,LIB,Mark Tippetts,3,0,1,2,0
Kleberg,0003 Pct 14,Governor,,GRN,Delilah Barrios,5,0,3,2,0
Kleberg,0003 Pct 14,Governor,,,WRITE-IN,1,0,1,0,0
Kleberg,0003 Pct 14,Lieutenant Governor,,REP,Dan Patrick,274,6,156,112,0
Kleberg,0003 Pct 14,Lieutenant Governor,,DEM,Mike Collier,261,21,134,105,1
Kleberg,0003 Pct 14,Lieutenant Governor,,LIB,Shanna Steele,12,0,4,8,0
Kleberg,0003 Pct 14,Attorney General,,REP,Ken Paxton,266,6,151,109,0
Kleberg,0003 Pct 14,Attorney General,,DEM,Rochelle Mercedes Garza,270,21,140,108,1
Kleberg,0003 Pct 14,Attorney General,,LIB,Mark Ash,13,0,4,9,0
Kleberg,0003 Pct 14,Comptroller of Public Accounts,,REP,Glenn Hegar,267,5,151,111,0
Kleberg,0003 Pct 14,Comptroller of Public Accounts,,DEM,Janet T Dudding,254,21,131,101,1
Kleberg,0003 Pct 14,Comptroller of Public Accounts,,LIB,V Alonzo Echevarria-Garza,20,0,7,13,0
Kleberg,0003 Pct 14,Comm General Land Office,,REP,Dawn Buckingham,219,5,123,91,0
Kleberg,0003 Pct 14,Comm General Land Office,,DEM,Jay Kleberg,322,21,170,130,1
Kleberg,0003 Pct 14,Comm General Land Office,,GRN,"Alfredo Molison, Jr",4,0,1,3,0
Kleberg,0003 Pct 14,Comm General Land Office,,,WRITE-IN,1,0,0,1,0
Kleberg,0003 Pct 14,Commissioner of Agriculture,,REP,Sid Miller,256,5,144,107,0
Kleberg,0003 Pct 14,Commissioner of Agriculture,,DEM,Susan Hays,286,21,146,118,1
Kleberg,0003 Pct 14,Railroad Commissioner,,REP,Wayne Christian,256,5,142,109,0
Kleberg,0003 Pct 14,Railroad Commissioner,,DEM,Luke Warford,251,21,130,99,1
Kleberg,0003 Pct 14,Railroad Commissioner,,LIB,Jaime Andres Diez,22,0,9,13,0
Kleberg,0003 Pct 14,Railroad Commissioner,,GRN,Hunter Wayne Crow,8,0,4,4,0
Kleberg,0003 Pct 14,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,265,5,149,111,0
Kleberg,0003 Pct 14,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,259,21,133,104,1
Kleberg,0003 Pct 14,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,12,0,3,9,0
Kleberg,0003 Pct 14,"Justice, Supreme Court, Place 5",,REP,Rebeca Huddle,267,5,151,111,0
Kleberg,0003 Pct 14,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,269,21,135,112,1
Kleberg,0003 Pct 14,"Justice, Supreme Court, Place 9",,REP,Evan Young,257,5,148,104,0
Kleberg,0003 Pct 14,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,286,21,143,121,1
Kleberg,0003 Pct 14,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,266,5,153,108,0
Kleberg,0003 Pct 14,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,271,21,134,115,1
Kleberg,0003 Pct 14,"Judge, Court of Criminal Appeals, Place 6",,REP,"Jesse F McClure, III",267,5,154,108,0
Kleberg,0003 Pct 14,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,269,21,132,115,1
Kleberg,0003 Pct 14,"Member, State Board of Education",2,REP,LJ Francis,251,5,145,101,0
Kleberg,0003 Pct 14,"Member, State Board of Education",2,DEM,Victor Perez,288,21,143,123,1
Kleberg,0003 Pct 14,State Senate,27,REP,Adam Hinojosa,290,5,165,120,0
Kleberg,0003 Pct 14,State Senate,27,DEM,Moragan LaMantia,254,21,127,105,1
Kleberg,0003 Pct 14,"Justice, 13th Court of Appeals District, Place 3",,REP,Aaron Pena,253,5,146,102,0
Kleberg,0003 Pct 14,"Justice, 13th Court of Appeals District, Place 3",,DEM,Leticia Hinojosa,282,21,138,122,1
Kleberg,0003 Pct 14,County Judge,,REP,Rudy Madrid,366,17,207,142,0
Kleberg,0003 Pct 14,County Judge,,DEM,Al Garcia,182,10,89,82,1
Kleberg,0003 Pct 14,"Judge, County Court at Law",,REP,J Dean Craig,251,5,141,105,0
Kleberg,0003 Pct 14,"Judge, County Court at Law",,DEM,Jaime E Carrillo,299,19,159,120,1
Kleberg,0003 Pct 14,County Clerk,,REP,"Salvador ""Sonny"" Barrera, III",301,8,172,121,0
Kleberg,0003 Pct 14,County Clerk,,DEM,Andre Ortiz,243,17,123,103,0
Kleberg,0003 Pct 14,"Justice of the Peace, Pct 1",,REP,"Ventura ""Sonny"" Gonzalez, III",266,8,149,109,0
Kleberg,0003 Pct 14,"Justice of the Peace, Pct 1",,DEM,Andy Gonzalez,284,17,150,116,1
Kleberg,0004 Pct 21,REGISTERED VOTERS,,,,1610,,,,
Kleberg,0004 Pct 21,BALLOTS CAST,,,,797,40,479,278,0
Kleberg,0004 Pct 21,U.S. House,34,REP,Mayra Flores,490,21,294,175,0
Kleberg,0004 Pct 21,U.S. House,34,DEM,Vicente Gonzalez,285,19,174,92,0
Kleberg,0004 Pct 21,U.S. House,34,IND,Chris Royal,16,0,5,11,0
Kleberg,0004 Pct 21,Governor,,REP,Greg Abbott,493,21,299,173,0
Kleberg,0004 Pct 21,Governor,,DEM,Beto O-Rourke,298,18,177,103,0
Kleberg,0004 Pct 21,Governor,,LIB,Mark Tippetts,3,0,1,2,0
Kleberg,0004 Pct 21,Governor,,GRN,Delilah Barrios,0,0,0,0,0
Kleberg,0004 Pct 21,Governor,,,WRITE-IN,0,0,0,0,0
Kleberg,0004 Pct 21,Lieutenant Governor,,REP,Dan Patrick,478,22,288,168,0
Kleberg,0004 Pct 21,Lieutenant Governor,,DEM,Mike Collier,297,17,177,103,0
Kleberg,0004 Pct 21,Lieutenant Governor,,LIB,Shanna Steele,14,0,7,7,0
Kleberg,0004 Pct 21,Attorney General,,REP,Ken Paxton,475,22,288,165,0
Kleberg,0004 Pct 21,Attorney General,,DEM,Rochelle Mercedes Garza,295,17,176,102,0
Kleberg,0004 Pct 21,Attorney General,,LIB,Mark Ash,18,0,7,11,0
Kleberg,0004 Pct 21,Comptroller of Public Accounts,,REP,Glenn Hegar,480,22,285,173,0
Kleberg,0004 Pct 21,Comptroller of Public Accounts,,DEM,Janet T Dudding,275,15,168,92,0
Kleberg,0004 Pct 21,Comptroller of Public Accounts,,LIB,V Alonzo Echevarria-Garza,28,1,14,13,0
Kleberg,0004 Pct 21,Comm General Land Office,,REP,Dawn Buckingham,412,17,244,151,0
Kleberg,0004 Pct 21,Comm General Land Office,,DEM,Jay Kleberg,371,21,226,124,0
Kleberg,0004 Pct 21,Comm General Land Office,,GRN,"Alfredo Molison, Jr",7,1,3,3,0
Kleberg,0004 Pct 21,Comm General Land Office,,,WRITE-IN,0,0,0,0,0
Kleberg,0004 Pct 21,Commissioner of Agriculture,,REP,Sid Miller,480,23,288,169,0
Kleberg,0004 Pct 21,Commissioner of Agriculture,,DEM,Susan Hays,309,16,184,109,0
Kleberg,0004 Pct 21,Railroad Commissioner,,REP,Wayne Christian,477,23,286,168,0
Kleberg,0004 Pct 21,Railroad Commissioner,,DEM,Luke Warford,272,16,162,94,0
Kleberg,0004 Pct 21,Railroad Commissioner,,LIB,Jaime Andres Diez,31,0,18,13,0
Kleberg,0004 Pct 21,Railroad Commissioner,,GRN,Hunter Wayne Crow,6,0,3,3,0
Kleberg,0004 Pct 21,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,488,20,295,173,0
Kleberg,0004 Pct 21,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,282,19,168,95,0
Kleberg,0004 Pct 21,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,15,0,5,10,0
Kleberg,0004 Pct 21,"Justice, Supreme Court, Place 5",,REP,Rebeca Huddle,493,22,294,177,0
Kleberg,0004 Pct 21,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,296,17,178,101,0
Kleberg,0004 Pct 21,"Justice, Supreme Court, Place 9",,REP,Evan Young,474,20,287,167,0
Kleberg,0004 Pct 21,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,314,19,184,111,0
Kleberg,0004 Pct 21,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,485,21,292,172,0
Kleberg,0004 Pct 21,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,301,18,177,106,0
Kleberg,0004 Pct 21,"Judge, Court of Criminal Appeals, Place 6",,REP,"Jesse F McClure, III",495,22,296,177,0
Kleberg,0004 Pct 21,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,293,17,175,101,0
Kleberg,0004 Pct 21,"Member, State Board of Education",2,REP,LJ Francis,484,22,289,173,0
Kleberg,0004 Pct 21,"Member, State Board of Education",2,DEM,Victor Perez,304,17,182,105,0
Kleberg,0004 Pct 21,State Senate,27,REP,Adam Hinojosa,503,23,298,182,0
Kleberg,0004 Pct 21,State Senate,27,DEM,Moragan LaMantia,285,16,173,96,0
Kleberg,0004 Pct 21,"Justice, 13th Court of Appeals District, Place 3",,REP,Aaron Pena,468,20,281,167,0
Kleberg,0004 Pct 21,"Justice, 13th Court of Appeals District, Place 3",,DEM,Leticia Hinojosa,321,19,191,111,0
Kleberg,0004 Pct 21,County Judge,,REP,Rudy Madrid,558,25,332,201,0
Kleberg,0004 Pct 21,County Judge,,DEM,Al Garcia,232,14,141,77,0
Kleberg,0004 Pct 21,"Judge, County Court at Law",,REP,J Dean Craig,467,25,279,163,0
Kleberg,0004 Pct 21,"Judge, County Court at Law",,DEM,Jaime E Carrillo,323,14,194,115,0
Kleberg,0004 Pct 21,County Clerk,,REP,"Salvador ""Sonny"" Barrera, III",520,23,312,185,0
Kleberg,0004 Pct 21,County Clerk,,DEM,Andre Ortiz,267,16,158,93,0
Kleberg,0004 Pct 21,"Justice of the Peace, Pct 2",,REP,Brandon Wayne Barrera,528,28,313,187,0
Kleberg,0004 Pct 21,"Justice of the Peace, Pct 2",,DEM,Nick Prado,259,10,159,90,0
Kleberg,0004 Pct 21,Kleberg County Special Election,,,FOR,2,0,1,1,0
Kleberg,0004 Pct 21,Kleberg County Special Election,,,AGAINST,1,0,1,0,0
Kleberg,0005 Pct 22/23,REGISTERED VOTERS,,,,1154,,,,
Kleberg,0005 Pct 22/23,BALLOTS CAST,,,,434,19,260,155,0
Kleberg,0005 Pct 22/23,U.S. House,34,REP,Mayra Flores,206,7,120,79,0
Kleberg,0005 Pct 22/23,U.S. House,34,DEM,Vicente Gonzalez,207,11,128,68,0
Kleberg,0005 Pct 22/23,U.S. House,34,IND,Chris Royal,10,1,4,5,0
Kleberg,0005 Pct 22/23,Governor,,REP,Greg Abbott,214,9,123,82,0
Kleberg,0005 Pct 22/23,Governor,,DEM,Beto O-Rourke,213,9,134,70,0
Kleberg,0005 Pct 22/23,Governor,,LIB,Mark Tippetts,3,1,0,2,0
Kleberg,0005 Pct 22/23,Governor,,GRN,Delilah Barrios,1,0,0,1,0
Kleberg,0005 Pct 22/23,Governor,,,WRITE-IN,0,0,0,0,0
Kleberg,0005 Pct 22/23,Lieutenant Governor,,REP,Dan Patrick,204,8,122,74,0
Kleberg,0005 Pct 22/23,Lieutenant Governor,,DEM,Mike Collier,205,11,124,70,0
Kleberg,0005 Pct 22/23,Lieutenant Governor,,LIB,Shanna Steele,13,0,5,8,0
Kleberg,0005 Pct 22/23,Attorney General,,REP,Ken Paxton,195,7,113,75,0
Kleberg,0005 Pct 22/23,Attorney General,,DEM,Rochelle Mercedes Garza,213,12,133,68,0
Kleberg,0005 Pct 22/23,Attorney General,,LIB,Mark Ash,13,0,5,8,0
Kleberg,0005 Pct 22/23,Comptroller of Public Accounts,,REP,Glenn Hegar,192,7,108,77,0
Kleberg,0005 Pct 22/23,Comptroller of Public Accounts,,DEM,Janet T Dudding,197,11,124,62,0
Kleberg,0005 Pct 22/23,Comptroller of Public Accounts,,LIB,V Alonzo Echevarria-Garza,23,1,11,11,0
Kleberg,0005 Pct 22/23,Comm General Land Office,,REP,Dawn Buckingham,166,6,97,63,0
Kleberg,0005 Pct 22/23,Comm General Land Office,,DEM,Jay Kleberg,254,12,155,87,0
Kleberg,0005 Pct 22/23,Comm General Land Office,,GRN,"Alfredo Molison, Jr",3,0,1,2,0
Kleberg,0005 Pct 22/23,Comm General Land Office,,,WRITE-IN,1,1,0,0,0
Kleberg,0005 Pct 22/23,Commissioner of Agriculture,,REP,Sid Miller,201,7,119,75,0
Kleberg,0005 Pct 22/23,Commissioner of Agriculture,,DEM,Susan Hays,220,12,132,76,0
Kleberg,0005 Pct 22/23,Railroad Commissioner,,REP,Wayne Christian,192,8,110,74,0
Kleberg,0005 Pct 22/23,Railroad Commissioner,,DEM,Luke Warford,195,10,124,61,0
Kleberg,0005 Pct 22/23,Railroad Commissioner,,LIB,Jaime Andres Diez,25,1,12,12,0
Kleberg,0005 Pct 22/23,Railroad Commissioner,,GRN,Hunter Wayne Crow,7,0,4,3,0
Kleberg,0005 Pct 22/23,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,200,8,118,74,0
Kleberg,0005 Pct 22/23,"Justice, Supreme Court, Place 3",,DEM,Erin A Nowell,203,10,123,70,0
Kleberg,0005 Pct 22/23,"Justice, Supreme Court, Place 3",,LIB,Thomas Edward Oxford,9,1,2,6,0
Kleberg,0005 Pct 22/23,"Justice, Supreme Court, Place 5",,REP,Rebeca Huddle,202,9,114,79,0
Kleberg,0005 Pct 22/23,"Justice, Supreme Court, Place 5",,DEM,Amanda Reichek,215,10,134,71,0
Kleberg,0005 Pct 22/23,"Justice, Supreme Court, Place 9",,REP,Evan Young,192,7,113,72,0
Kleberg,0005 Pct 22/23,"Justice, Supreme Court, Place 9",,DEM,Julia Maldonado,228,12,138,78,0
Kleberg,0005 Pct 22/23,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,198,9,115,74,0
Kleberg,0005 Pct 22/23,"Judge, Court of Criminal Appeals, Place 5",,DEM,Dana Huffman,222,10,135,77,0
Kleberg,0005 Pct 22/23,"Judge, Court of Criminal Appeals, Place 6",,REP,"Jesse F McClure, III",207,8,116,83,0
Kleberg,0005 Pct 22/23,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Johnson,213,11,135,67,0
Kleberg,0005 Pct 22/23,"Member, State Board of Education",2,REP,LJ Francis,198,8,116,74,0
Kleberg,0005 Pct 22/23,"Member, State Board of Education",2,DEM,Victor Perez,226,11,137,78,0
Kleberg,0005 Pct 22/23,State Senate,27,REP,Adam Hinojosa,229,9,133,87,0
Kleberg,0005 Pct 22/23,State Senate,27,DEM,Moragan LaMantia,194,10,120,64,0
Kleberg,0005 Pct 22/23,"Justice, 13th Court of Appeals District, Place 3",,REP,Aaron Pena,200,8,115,77,0
Kleberg,0005 Pct 22/23,"Justice, 13th Court of Appeals District, Place 3",,DEM,Leticia Hinojosa,222,11,137,74,0
Kleberg,0005 Pct 22/23,County Judge,,REP,Rudy Madrid,260,10,147,103,0
Kleberg,0005 Pct 22/23,County Judge,,DEM,Al Garcia,166,9,107,50,0
Kleberg,0005 Pct 22/23,"Judge, County Court at Law",,REP,J Dean Craig,195,6,112,77,0
Kleberg,0005 Pct 22/23,"Judge, County Court at Law",,DEM,Jaime E Carrillo,230,13,140,77,0
Kleberg,0005 Pct 22/23,County Clerk,,REP,"Salvador ""Sonny"" Barrera, III",217,8,126,83,0
Kleberg,0005 Pct 22/23,County Clerk,,DEM,Andre Ortiz,204,11,124,69,0
Kleberg,0005 Pct 22/23,"Justice of the Peace, Pct 2",,REP,Brandon Wayne Barrera,218,6,125,87,0
