county,precinct,office,district,candidate,early_voting,election_day,votes
Hockley,Prec 16,RAILROAD COMMISSIONER,,CHRIS KENNEDY,14,6,20
Hockley,Prec 16,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,704,259,963
Hockley,Prec 16,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,48,42,90
Hockley,Prec 16,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,18,10,       *28
Hockley,Prec 16,STATE SENATE,28,ROBERT DUNCAN,707,282,989
Hockley,Prec 16,STATE SENATE,28,M J  (SMITTY) SMITH,85,46,     *132
Hockley,Prec 16,STATE HOUSE,88,KEN KING,743,301,   *1045
Hockley,Prec 21,PRESIDENT,,MITT ROMNEY,589,259,     *849
Hockley,Prec 21,PRESIDENT,,BARACK OBAMA,115,132,247
Hockley,Prec 21,PRESIDENT,,GARY JOHNSON,3,3,6
Hockley,Prec 21,PRESIDENT,,JILL STEIN,2,0,2
Hockley,Prec 21,PRESIDENT,,WRITE IN:,1,0,1
Hockley,Prec 21,U.S. Senate,,TED CRUZ,552,272,     *825
Hockley,Prec 21,U.S. Senate,,PAUL SADLER,134,102,236
Hockley,Prec 21,U.S. Senate,,JOHN JAY MYERS,11,10,21
Hockley,Prec 21,U.S. Senate,,DAVID B. COLLINS,3,2,5
Hockley,Prec 21,U.S. House,19,RANDY NEUGEBAUER,578,298,     *877
Hockley,Prec 21,U.S. House,19,RICHARD (CHIP) PETERSON,91,73,164
Hockley,Prec 21,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,552,248,     *801
Hockley,Prec 21,RAILROAD COMMISSIONER,,DALE HENRY,107,115,222
Hockley,Prec 21,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,12,6,18
Hockley,Prec 21,RAILROAD COMMISSIONER,,CHRIS KENNEDY,11,11,22
Hockley,Prec 21,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,565,259,     *825
Hockley,Prec 21,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,55,95,150
Hockley,Prec 21,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,20,11,31
Hockley,Prec 21,STATE SENATE,28,ROBERT DUNCAN,584,284,    *869
Hockley,Prec 21,STATE SENATE,28,M J  (SMITTY) SMITH,79,83,162
Hockley,Prec 21,STATE HOUSE,88,KEN KING,605,327,    *933
Hockley,Prec 24,PRESIDENT,,MITT ROMNEY,264,186,450
Hockley,Prec 24,PRESIDENT,,BARACK OBAMA,40,42,82
Hockley,Prec 24,PRESIDENT,,GARY JOHNSON,3,5,8
Hockley,Prec 24,PRESIDENT,,JILL STEIN,1,1,2
Hockley,Prec 24,PRESIDENT,,WRITE IN:,0,1,1
Hockley,Prec 24,U.S. Senate,,TED CRUZ,253,174,427
Hockley,Prec 24,U.S. Senate,,PAUL SADLER,39,32,71
Hockley,Prec 24,U.S. Senate,,JOHN JAY MYERS,4,17,21
Hockley,Prec 24,U.S. Senate,,DAVID B. COLLINS,2,1,3
Hockley,Prec 24,U.S. House,19,RANDY NEUGEBAUER,271,190,461
Hockley,Prec 24,U.S. House,19,RICHARD (CHIP) PETERSON,21,23,44
Hockley,Prec 24,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,239,171,410
Hockley,Prec 24,RAILROAD COMMISSIONER,,DALE HENRY,43,34,77
Hockley,Prec 24,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,1,8,9
Hockley,Prec 24,RAILROAD COMMISSIONER,,CHRIS KENNEDY,6,7,13
Hockley,Prec 24,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,245,170,415
Hockley,Prec 24,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,19,32,51
Hockley,Prec 24,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,7,3,10
Hockley,Prec 24,STATE SENATE,28,ROBERT DUNCAN,269,192,461
Hockley,Prec 24,STATE SENATE,28,M J  (SMITTY) SMITH,19,20,39
Hockley,Prec 24,STATE HOUSE,88,KEN KING,263,199,462
Hockley,Prec 32,PRESIDENT,,MITT ROMNEY,383,195,578
Hockley,Prec 32,PRESIDENT,,BARACK OBAMA,108,156,     *265
Hockley,Prec 32,PRESIDENT,,GARY JOHNSON,9,4,13
Hockley,Prec 32,PRESIDENT,,JILL STEIN,1,0,1
Hockley,Prec 32,PRESIDENT,,WRITE IN:,0,0,0
Hockley,Prec 32,U.S. Senate,,TED CRUZ,378,196,574
Hockley,Prec 32,U.S. Senate,,PAUL SADLER,95,129,    *225
Hockley,Prec 32,U.S. Senate,,JOHN JAY MYERS,10,13,23
Hockley,Prec 32,U.S. Senate,,DAVID B. COLLINS,3,6,9
Hockley,Prec 32,U.S. House,19,RANDY NEUGEBAUER,397,240,    *638
Hockley,Prec 32,U.S. House,19,RICHARD (CHIP) PETERSON,57,72,129
Hockley,Prec 32,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,363,195,558
Hockley,Prec 32,RAILROAD COMMISSIONER,,DALE HENRY,97,131,    *229
Hockley,Prec 32,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,7,5,12
Hockley,Prec 32,RAILROAD COMMISSIONER,,CHRIS KENNEDY,7,13,20
Hockley,Prec 32,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,358,198,556
Hockley,Prec 32,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,63,89,    *153
Hockley,Prec 32,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,11,9,20
Hockley,Prec 32,STATE SENATE,28,ROBERT DUNCAN,379,209,    *589
Hockley,Prec 32,STATE SENATE,28,M J  (SMITTY) SMITH,62,97,159
Hockley,Prec 32,STATE HOUSE,88,KEN KING,400,292,    *673
Hockley,Prec 33,PRESIDENT,,MITT ROMNEY,23,8,49
Hockley,Prec 33,PRESIDENT,,BARACK OBAMA,1,1,5
Hockley,Prec 33,PRESIDENT,,GARY JOHNSON,0,0,0
Hockley,Prec 33,PRESIDENT,,JILL STEIN,0,0,0
Hockley,Prec 33,PRESIDENT,,WRITE IN:,0,0,0
Hockley,Prec 33,U.S. Senate,,TED CRUZ,20,24,44
Hockley,Prec 33,U.S. Senate,,PAUL SADLER,4,3,7
Hockley,Prec 33,U.S. Senate,,JOHN JAY MYERS,0,0,0
Hockley,Prec 33,U.S. Senate,,DAVID B. COLLINS,0,0,0
Hockley,Prec 33,U.S. House,19,RANDY NEUGEBAUER,24,26,50
Hockley,Prec 33,U.S. House,19,RICHARD (CHIP) PETERSON,0,2,2
Hockley,Prec 33,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,23,24,47
Hockley,Prec 33,RAILROAD COMMISSIONER,,DALE HENRY,1,2,3
Hockley,Prec 33,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,0,1,1
Hockley,Prec 33,RAILROAD COMMISSIONER,,CHRIS KENNEDY,0,0,0
Hockley,Prec 33,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,22,24,46
Hockley,Prec 33,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,1,2,3
Hockley,Prec 33,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,0,0,0
Hockley,Prec 33,STATE SENATE,28,ROBERT DUNCAN,24,23,47
Hockley,Prec 33,STATE SENATE,28,M J  (SMITTY) SMITH,0,3,3
Hockley,Prec 33,STATE HOUSE,88,KEN KING,24,25,49
Hockley,Prec 35,PRESIDENT,,MITT ROMNEY,57,29,86
Hockley,Prec 35,PRESIDENT,,BARACK OBAMA,16,16,32
Hockley,Prec 35,PRESIDENT,,GARY JOHNSON,2,1,3
Hockley,Prec 35,PRESIDENT,,JILL STEIN,0,1,1
Hockley,Prec 35,PRESIDENT,,WRITE IN:,0,0,0
Hockley,Prec 35,U.S. Senate,,TED CRUZ,54,28,82
Hockley,Prec 35,U.S. Senate,,PAUL SADLER,13,14,27
Hockley,Prec 35,U.S. Senate,,JOHN JAY MYERS,3,0,3
Hockley,Prec 35,U.S. Senate,,DAVID B. COLLINS,2,3,5
Hockley,Prec 35,U.S. House,19,RANDY NEUGEBAUER,59,32,91
Hockley,Prec 35,U.S. House,19,RICHARD (CHIP) PETERSON,8,9,17
Hockley,Prec 35,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,49,28,77
Hockley,Prec 35,RAILROAD COMMISSIONER,,DALE HENRY,17,12,29
Hockley,Prec 35,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,2,2,4
Hockley,Prec 35,RAILROAD COMMISSIONER,,CHRIS KENNEDY,1,1,2
Hockley,Prec 35,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,52,28,80
Hockley,Prec 35,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,11,9,20
Hockley,Prec 35,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,2,2,4
Hockley,Prec 35,STATE SENATE,28,ROBERT DUNCAN,58,33,91
Hockley,Prec 35,STATE SENATE,28,M J  (SMITTY) SMITH,8,7,15
Hockley,Prec 35,STATE HOUSE,88,KEN KING,61,36,97
Hockley,Prec 36,PRESIDENT,,MITT ROMNEY,62,38,100
Hockley,Prec 36,PRESIDENT,,BARACK OBAMA,44,47,91
Hockley,Prec 36,PRESIDENT,,GARY JOHNSON,0,1,1
Hockley,Prec 36,PRESIDENT,,JILL STEIN,0,0,0
Hockley,Prec 36,PRESIDENT,,WRITE IN:,0,0,0
Hockley,Prec 36,U.S. Senate,,TED CRUZ,58,43,101
Hockley,Prec 36,U.S. Senate,,PAUL SADLER,40,35,75
Hockley,Prec 36,U.S. Senate,,JOHN JAY MYERS,3,3,6
Hockley,Prec 36,U.S. Senate,,DAVID B. COLLINS,0,0,0
Hockley,Prec 36,U.S. House,19,RANDY NEUGEBAUER,59,49,108
Hockley,Prec 36,U.S. House,19,RICHARD (CHIP) PETERSON,21,20,41
Hockley,Prec 36,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,51,35,86
Hockley,Prec 36,RAILROAD COMMISSIONER,,DALE HENRY,45,39,84
Hockley,Prec 36,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,1,2,3
Hockley,Prec 36,RAILROAD COMMISSIONER,,CHRIS KENNEDY,2,5,7
Hockley,Prec 36,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,47,35,82
Hockley,Prec 36,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,29,29,58
Hockley,Prec 36,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,1,1,2
Hockley,Prec 36,STATE SENATE,28,ROBERT DUNCAN,57,46,103
Hockley,Prec 36,STATE SENATE,28,M J  (SMITTY) SMITH,26,20,46
Hockley,Prec 36,STATE HOUSE,88,KEN KING,63,58,121
Hockley,Prec 43,PRESIDENT,,MITT ROMNEY,48,109,157
Hockley,Prec 43,PRESIDENT,,BARACK OBAMA,6,24,      *31
Hockley,Prec 43,PRESIDENT,,GARY JOHNSON,0,2,2
Hockley,Prec 43,PRESIDENT,,JILL STEIN,0,2,2
Hockley,Prec 43,PRESIDENT,,WRITE IN:,0,1,1
Hockley,Prec 43,U.S. Senate,,TED CRUZ,41,102,143
Hockley,Prec 43,U.S. Senate,,PAUL SADLER,9,27,     *37
Hockley,Prec 43,U.S. Senate,,JOHN JAY MYERS,1,3,4
Hockley,Prec 43,U.S. Senate,,DAVID B. COLLINS,1,0,1
Hockley,Prec 43,U.S. House,19,RANDY NEUGEBAUER,44,114,    *159
Hockley,Prec 43,U.S. House,19,RICHARD (CHIP) PETERSON,9,15,24
Hockley,Prec 43,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,42,98,140
Hockley,Prec 43,RAILROAD COMMISSIONER,,DALE HENRY,8,25,      *34
Hockley,Prec 43,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,2,3,5
Hockley,Prec 43,RAILROAD COMMISSIONER,,CHRIS KENNEDY,0,3,3
Hockley,Prec 43,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,40,102,142
Hockley,Prec 43,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,9,15,      *25
Hockley,Prec 43,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,1,3,4
Hockley,Prec 43,STATE SENATE,28,ROBERT DUNCAN,42,105,147
Hockley,Prec 43,STATE SENATE,28,M J  (SMITTY) SMITH,10,23,      *34
Hockley,Prec 43,STATE HOUSE,88,KEN KING,48,113,    *162
Hockley,Prec 44,PRESIDENT,,MITT ROMNEY,176,180,     *357
Hockley,Prec 44,PRESIDENT,,BARACK OBAMA,50,99,149
Hockley,Prec 44,PRESIDENT,,GARY JOHNSON,2,2,4
Hockley,Prec 44,PRESIDENT,,JILL STEIN,0,1,1
Hockley,Prec 44,PRESIDENT,,WRITE IN:,0,1,1
Hockley,Prec 44,U.S. Senate,,TED CRUZ,160,178,338
Hockley,Prec 44,U.S. Senate,,PAUL SADLER,46,85,131
Hockley,Prec 44,U.S. Senate,,JOHN JAY MYERS,13,8,      *22
Hockley,Prec 44,U.S. Senate,,DAVID B. COLLINS,2,5,7
Hockley,Prec 44,U.S. House,19,RANDY NEUGEBAUER,161,207,368
Hockley,Prec 44,U.S. House,19,RICHARD (CHIP) PETERSON,46,52,       *99
Hockley,Prec 44,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,155,171,      *327
Hockley,Prec 44,RAILROAD COMMISSIONER,,DALE HENRY,45,83,128
Hockley,Prec 44,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,11,8,19
Hockley,Prec 44,RAILROAD COMMISSIONER,,CHRIS KENNEDY,6,9,15
Hockley,Prec 44,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,153,171,     *325
Hockley,Prec 44,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,38,66,104
Hockley,Prec 44,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,7,10,17
Hockley,Prec 44,STATE SENATE,28,ROBERT DUNCAN,165,189,354
Hockley,Prec 44,STATE SENATE,28,M J  (SMITTY) SMITH,37,61,       *99
Hockley,Prec 44,STATE HOUSE,88,KEN KING,167,220,      *388
Hockley,Prec 45,PRESIDENT,,MITT ROMNEY,402,216,618
Hockley,Prec 45,PRESIDENT,,BARACK OBAMA,94,92,     *187
Hockley,Prec 45,PRESIDENT,,GARY JOHNSON,4,5,9
Hockley,Prec 45,PRESIDENT,,JILL STEIN,2,1,3
Hockley,Prec 45,PRESIDENT,,WRITE IN:,1,0,1
Hockley,Prec 45,U.S. Senate,,TED CRUZ,390,218,608
Hockley,Prec 45,U.S. Senate,,PAUL SADLER,87,80,     *168
Hockley,Prec 45,U.S. Senate,,JOHN JAY MYERS,10,9,19
Hockley,Prec 45,U.S. Senate,,DAVID B. COLLINS,5,3,8
Hockley,Prec 45,U.S. House,19,RANDY NEUGEBAUER,397,239,     *637
Hockley,Prec 45,U.S. House,19,RICHARD (CHIP) PETERSON,74,52,126
Hockley,Prec 45,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,368,202,570
Hockley,Prec 45,RAILROAD COMMISSIONER,,DALE HENRY,87,82,     *170
Hockley,Prec 45,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,9,9,18
Hockley,Prec 45,RAILROAD COMMISSIONER,,CHRIS KENNEDY,15,11,26
Hockley,Prec 45,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,377,208,585
Hockley,Prec 45,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,57,64,121
Hockley,Prec 45,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,13,9,     *23
Hockley,Prec 45,STATE SENATE,28,ROBERT DUNCAN,402,231,633
Hockley,Prec 45,STATE SENATE,28,M J  (SMITTY) SMITH,65,53,     *119
Hockley,Prec 45,STATE HOUSE,88,KEN KING,424,257,681
Hockley,Prec 46,PRESIDENT,,MITT ROMNEY,72,214,     *287
Hockley,Prec 46,PRESIDENT,,BARACK OBAMA,13,58,71
Hockley,Prec 46,PRESIDENT,,GARY JOHNSON,0,4,4
Hockley,Prec 46,PRESIDENT,,JILL STEIN,0,1,1
Hockley,Prec 46,PRESIDENT,,WRITE IN:,0,1,1
Hockley,Prec 46,U.S. Senate,,TED CRUZ,68,202,     *271
Hockley,Prec 46,U.S. Senate,,PAUL SADLER,14,59,73
Hockley,Prec 46,U.S. Senate,,JOHN JAY MYERS,2,8,10
Hockley,Prec 46,U.S. Senate,,DAVID B. COLLINS,1,3,4
Hockley,Prec 46,U.S. House,19,RANDY NEUGEBAUER,70,222,     *293
Hockley,Prec 46,U.S. House,19,RICHARD (CHIP) PETERSON,8,32,40
Hockley,Prec 46,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,69,206,     *276
Hockley,Prec 46,RAILROAD COMMISSIONER,,DALE HENRY,12,52,64
Hockley,Prec 46,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,1,6,7
Hockley,Prec 46,RAILROAD COMMISSIONER,,CHRIS KENNEDY,2,4,6
Hockley,Prec 46,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,70,209,     *280
Hockley,Prec 46,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,6,26,32
Hockley,Prec 46,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,0,11,11
Hockley,Prec 46,STATE SENATE,28,ROBERT DUNCAN,68,217,     *286
Hockley,Prec 46,STATE SENATE,28,M J  (SMITTY) SMITH,11,35,46
Hockley,Prec 46,STATE HOUSE,88,KEN KING,71,231,     *303
Hockley,Prov,PRESIDENT,,MITT ROMNEY,,3,
Hockley,Prov,PRESIDENT,,BARACK OBAMA,,4,
Hockley,Prov,PRESIDENT,,GARY JOHNSON,,0,
Hockley,Prov,PRESIDENT,,JILL STEIN,,0,
Hockley,Prov,PRESIDENT,,WRITE IN:,,0,
Hockley,Prov,U.S. Senate,,TED CRUZ,,3,
Hockley,Prov,U.S. Senate,,PAUL SADLER,,4,
Hockley,Prov,U.S. Senate,,JOHN JAY MYERS,,1,
Hockley,Prov,U.S. Senate,,DAVID B. COLLINS,,0,
Hockley,Prov,U.S. House,19,RANDY NEUGEBAUER,,6,
Hockley,Prov,U.S. House,19,RICHARD (CHIP) PETERSON,,1,
Hockley,Prov,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,,4,
Hockley,Prov,RAILROAD COMMISSIONER,,DALE HENRY,,3,
Hockley,Prov,RAILROAD COMMISSIONER,,VIVEKANANDA (VIK) WALL,,0,
Hockley,Prov,RAILROAD COMMISSIONER,,CHRIS KENNEDY,,0,
Hockley,Prov,RAILROAD COMMISSIONER,UNEXPIRED,BARRY SMITHERMAN,,3,
Hockley,Prov,RAILROAD COMMISSIONER,UNEXPIRED,JAIME O PEREZ,,2,
Hockley,Prov,RAILROAD COMMISSIONER,UNEXPIRED,JOSH WENDEL,,2,
Hockley,Prov,STATE SENATE,28,ROBERT DUNCAN,,3,
Hockley,Prov,STATE SENATE,28,M J  (SMITTY) SMITH,,4,
Hockley,Prov,STATE HOUSE,88,KEN KING,,6,
