county,precint,office,district,candidate,party,votes
Crane,Precinct 3,State Senator,28,OVER VOTES,,0
Crane,Precinct 4,State Senator,28,OVER VOTES,,2
Crane,Precinct 1,State Senator,28,UNDER VOTES,,59
Crane,Precinct 2,State Senator,28,UNDER VOTES,,59
Crane,Precinct 3,State Senator,28,UNDER VOTES,,78
Crane,Precinct 4,State Senator,28,UNDER VOTES,,48
Crane,Precinct 1,State House,82,Tom Craddick,REP,384
Crane,Precinct 2,State House,82,Tom Craddick,REP,304
Crane,Precinct 3,State House,82,Tom Craddick,REP,171
Crane,Precinct 4,State House,82,Tom Craddick,REP,179
Crane,Precinct 1,State House,82,OVER VOTES,,0
Crane,Precinct 2,State House,82,OVER VOTES,,0
Crane,Precinct 3,State House,82,OVER VOTES,,0
Crane,Precinct 4,State House,82,OVER VOTES,,0
Crane,Precinct 1,State House,82,UNDER VOTES,,59
Crane,Precinct 2,State House,82,UNDER VOTES,,63
Crane,Precinct 3,State House,82,UNDER VOTES,,86
Crane,Precinct 4,State House,82,UNDER VOTES,,54
