county,precinct,office,district,candidate,party,votes,early_voting,election_day,mail
EDWARDS,PRECINCT 1,Railroad Commissioner,Unexpired Term,UNDER VOTES,,58,30,20,8
EDWARDS,PRECINCT 2,Railroad Commissioner,Unexpired Term,UNDER VOTES,,46,29,15,2
EDWARDS,PRECINCT 3,Railroad Commissioner,Unexpired Term,UNDER VOTES,,49,22,26,1
EDWARDS,PRECINCT 4,Railroad Commissioner,Unexpired Term,UNDER VOTES,,48,21,23,4
EDWARDS,PRECINCT 1,State Senator, District 19,Michael Berlanga,REP,67,19,45,3
EDWARDS,PRECINCT 2,State Senator, District 19,Michael Berlanga,REP,221,110,88,22
EDWARDS,PRECINCT 3,State Senator, District 19,Michael Berlanga,REP,161,47,104,10
EDWARDS,PRECINCT 4,State Senator, District 19,Michael Berlanga,REP,90,25,55,10
EDWARDS,PRECINCT 1,State Senator, District 19,Carlos I. Uresti,DEM,56,30,19,7
EDWARDS,PRECINCT 2,State Senator, District 19,Carlos I. Uresti,DEM,63,41,21,1
EDWARDS,PRECINCT 3,State Senator, District 19,Carlos I. Uresti,DEM,53,24,27,2
EDWARDS,PRECINCT 4,State Senator, District 19,Carlos I. Uresti,DEM,48,23,20,5
EDWARDS,PRECINCT 1,State Senator, District 19,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 2,State Senator, District 19,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 3,State Senator, District 19,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 4,State Senator, District 19,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 1,State Senator, District 19,UNDER VOTES,,30,14,13,3
EDWARDS,PRECINCT 2,State Senator, District 19,UNDER VOTES,,28,16,10,2
EDWARDS,PRECINCT 3,State Senator, District 19,UNDER VOTES,,35,16,18,1
EDWARDS,PRECINCT 4,State Senator, District 19,UNDER VOTES,,32,18,13,1
EDWARDS,PRECINCT 1,State House,District 53,Harvey Hilderbran,REP,79,22,54,3
EDWARDS,PRECINCT 2,State House,District 53,Harvey Hilderbran,REP,249,128,98,23
EDWARDS,PRECINCT 3,State House,District 53,Harvey Hilderbran,REP,178,52,115,11
EDWARDS,PRECINCT 4,State House,District 53,Harvey Hilderbran,REP,97,33,55,9
EDWARDS,PRECINCT 1,State House,District 53,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 2,State House,District 53,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 3,State House,District 53,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 4,State House,District 53,OVER VOTES,,0,0,0,0
EDWARDS,PRECINCT 1,State House,District 53,UNDER VOTES,,74,41,23,10
EDWARDS,PRECINCT 2,State House,District 53,UNDER VOTES,,63,39,21,2
EDWARDS,PRECINCT 3,State House,District 53,UNDER VOTES,,71,35,34,2
EDWARDS,PRECINCT 4,State House,District 53,UNDER VOTES,,73,33,33,7
