county,office,district,candidate,incumbent,party,votes,pct
COLORADO,U. S. Senator,,Grady Yarbrough,FALSE,DEM,24,27.27
COLORADO,U. S. Senator,,Total,,,88,
COLORADO,Member State Board of Education,2,"Ruben Cortez, Jr.",FALSE,DEM,32,40.51
COLORADO,Member State Board of Education,2,Celeste Zepeda Sanchez,FALSE,DEM,47,59.49
COLORADO,Member State Board of Education,2,Total,,,79,
COMAL,U. S. Senator,,Paul Sadler,FALSE,DEM,243,79.41
COMAL,U. S. Senator,,Grady Yarbrough,FALSE,DEM,63,20.59
COMAL,U. S. Senator,,Total,,,306,
COMANCHE,U. S. Senator,,Paul Sadler,FALSE,DEM,34,64.15
COMANCHE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,19,35.85
COMANCHE,U. S. Senator,,Total,,,53,
CONCHO,U. S. Senator,,Paul Sadler,FALSE,DEM,4,50
CONCHO,U. S. Senator,,Grady Yarbrough,FALSE,DEM,4,50
CONCHO,U. S. Senator,,Total,,,8,
COOKE,U. S. Senator,,Paul Sadler,FALSE,DEM,66,66
COOKE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,34,34
COOKE,U. S. Senator,,Total,,,100,
CORYELL,U. S. Senator,,Paul Sadler,FALSE,DEM,97,59.51
CORYELL,U. S. Senator,,Grady Yarbrough,FALSE,DEM,66,40.49
CORYELL,U. S. Senator,,Total,,,163,
COTTLE,U. S. Senator,,Paul Sadler,FALSE,DEM,15,65.22
COTTLE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,8,34.78
COTTLE,U. S. Senator,,Total,,,23,
CRANE,U. S. Senator,,Paul Sadler,FALSE,DEM,6,66.67
CRANE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,3,33.33
CRANE,U. S. Senator,,Total,,,9,
CRANE,U. S. Representative,23,Pete P. Gallego,FALSE,DEM,7,77.78
CRANE,U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,2,22.22
CRANE,U. S. Representative,23,Total,,,9,
